漢字	IPA	釋義
勺	çjʊ5	
勾	cjɔ1-	
勾	kəw1=	
勿	ɸu7	
匀	wən2	
包	pɔ1	
化	xwa5	
北	pɛ7	
匙	ʂʅ2	
匙	tʂʰʅ3	又
匠	dzjaŋ6	
匡	cʰjaŋ1	
匣	çja7	
匪	xwej3	
匹	pʰi7	
区	tʂʰʯ1	
医	i1	
匾	pĩ3	
十	ʂʅ5	
千	tsʰĩ1	
升	ʂən1	
午	u3	
半	pĩ5	
华	xwa2	中～；～山；姓
协	çjɛ7	
卑	pɛ1	
卒	tsəw7	兵～
卓	tsʊ7	
单	tæ̃1	
卖	mæ̃5	
南	næ̃2	
博	pʊ7	
占	cĩ5-	～领
占	cĩ1	～卜
占	tʂĩ5=	～领
卢	nəw2	
卤	nəw3	
卦	kwa5	
卧	ŋʊ6-	
卧	ŋʊ5=	
卫	wej5	
卯	mɔ3	
印	jən5	
危	wej2	
即	tsi7	
卵	nwĩ3-	～子
卵	nʊ3=	虫～
卷	tʂɻʷĩ3	～起
卷	tʂɻʷĩ5	书～
卸	sjɛ7	
卿	cʰjən1	
厂	tʂʰaŋ3	
厅	tʰjən1	
历	ni7	～史；日～
厉	ni6-	
厉	ni5=	
压	ŋæ̃7-	
压	ja7=	
厌	ĩ5	
厕	sɿ5	茅～
厕	tsʰɛ7	～所
厘	ni2	
厚	xɔ6-	
厚	çjɔ6-	
厚	xəw6=	
原	wĩ2	
厢	sjaŋ1	
厥	tʂɻʷɛ7	
厦	çja6	偏～；～门
厨	dʐʯ2	
厮	sɿ1	
去	cʰi5-	
去	tʂʰʯ5=	
县	çĩ6-	
县	çĩ5=	
参	sĩ1-	人～
参	tsʰæ̃1	
参	sən1=	人～
又	jʊ6-	
又	jʊ5=	
叉	tsʰwa1-	
叉	tsʰa1=	
及	cʰi7	
友	jʊ3	
双	saŋ1	
反	xwæ̃3	
发	xwa7	出～；头～
叔	ʂəw7	
取	tsʰi3	
受	ʂəw6-	
受	ʂəw5=	
变	pĩ5	
叙	dzi6-	
叙	tsi5=	
叛	pʰĩ5	
叟	sɔ3	
叠	tʰjɛ5	
口	cʰjɔ3-	
口	kʰəw3=	
古	ku3	
句	tʂʯ5	
另	njən6-	
另	njən5=	
叨	tɔ1	唠～
叩	cʰjɔ5-	～头
叩	kʰəw5=	～头
只	tʂɻʷa7-	一～
只	tʂʅ7=	～有；一～
叫	cjɔ5	
召	dʐɔ6-	
召	tʂɔ5=	
可	kʰʊ3	
台	dɛ2	～州；写字～
史	ʂʅ3	
右	jʊ6-	
右	jʊ5=	
叶	jɛ5	
号	xɔ6-	～码
号	xɔ2	呼～
号	xɔ5=	～码
司	sɿ1	
叹	tʰæ̃5	
吃	cʰja7-	
吃	cʰi7=	
各	kʊ7	
合	kʊ7	～线
合	xʊ7	～作；升～
吉	ci7	
吊	tjɔ5	
同	dən2	
名	mjæ̃2-	
名	mjən2=	
后	xɔ6-	前～；皇～
后	çjɔ6-	前～；皇～
后	xəw6=	前～；皇～
吏	ni5	
吐	tʰəw3	～痰；呕～
向	çjaŋ5	
吓	xwa7-	
吓	xɛ7=	
吕	nɛ3	姓
君	tʂɻʷən1	
吝	njən5	
吞	tʰĩ1-	
吞	tʰən1=	
吟	ɲjən2	
否	xɔ3-	
否	xəw3=	
含	xæ̃2	
听	tʰjən5=	～见；～任
启	cʰi3	
吴	u2	
吵	tsʰɔ3	
吸	cʰi7	
吹	tʂʰʯ1-	
吹	tʂʰɻʷej1=	
吻	wən3	
吾	u2	
呆	ŋɛ2	
呈	dʐən2	
告	kɔ5	
呕	ɲjɔ3-	
呕	ŋəw3=	
员	wĩ2	
呛	kʰaŋ3	俗，咳嗽
呢	ɲĩ2	～绒
周	tʂəw1	
味	wej6	
呼	ɸu2	
命	mjæ̃6-	
命	mjən6-	
命	mjən5=	
和	xʊ2	～气；～面
咎	cjʊ5	
咏	wən5	
咒	tʂəw5	
咨	tsɿ1	
咬	ŋɔ3-	
咬	jɔ3=	
咳	kʰɛ7	
咸	xæ̃2	～阳；～淡
咽	ĩ5	
哀	ŋɛ1	
品	pʰjən3	
哄	xən3	
响	çjaŋ3	
哑	ŋwa3-	
哑	ja3=	
哥	kʊ1	
哪	na3	～个
哭	kʰu7	
哲	tʂɛ7	
哶	mĩ1	洋～～：蜻蜓
哽	kaŋ3-	～住
哽	kən3=	～咽
唆	sʊ1	啰～
唇	ʂən2	
唐	daŋ2	
唠	nɔ1	～叨
唤	xwĩ5	
售	dʐəw6	
唯	wej2	
唱	tʂʰaŋ5	
啃	kʰən3	
啄	tsʊ7	
商	ʂaŋ1	
啰	nʊ1	～唆
啼	di2	
啾	tsʰjʊ1	打喷～
喂	ʯ5-	饲
喂	wej5=	饲
善	çĩ6-	
善	çĩ5=	
喉	xɔ2-	
喉	çjɔ2-	
喉	xəw2=	
喊	xæ̃3	
喘	tʂʰɻʷĩ3	
喜	çi3	
喝	xwɛ7-	～酒；～采
喝	xʊ7=	～酒；～采
喧	ʂɻʷĩ1	
喷	pʰən5	～香
喷	xwən5	～水；～嚏
喻	ʯ6-	
喻	ʯ5=	
嗅	çjʊ5	～觉
嗅	çjən5	用鼻子闻
嗉	səw5	～子
嗓	saŋ3	
嗜	ʂʅ6	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗽	səw5	咳～
嘉	cja1	
嘘	ʂʯ1	
嘱	tʂəw7	
嘴	tsi3-	
嘴	tsɛ3=	
嘻	çi1	
器	cʰi5	
嚎	xɔ2	
嚣	çjɔ1	
嚷	jaŋ6-	
嚷	jaŋ5=	
嚼	tsʰjʊ5	
囊	naŋ2	
囚	dzjʊ2	
四	sɿ5	
回	xwɛ2	
因	jən1	
团	dwĩ2	
囤	dən2	
园	wĩ2	
困	kʰwən6	
囱	tsʰən1	
围	wej2	
固	ku5	
国	kwɛ7	
图	dəw2	
圆	wĩ2	
圈	tʂʰɻʷĩ1	圆～
圞	nwĩ2	圆
土	tʰəw3	
圣	ʂən5	
在	dzɛ6-	
在	dɛ6	口
在	tsɛ5=	
圭	kwej1	
地	di6-	
地	ti5=	
圳	tʂɻʷən5	水沟
场	dʐaŋ2	
址	tʂʅ3	
均	tʂɻʷən1	
坍	tʰæ̃1	
坎	kʰæ̃3	
坏	xwa6-	
坏	xwa5=	
坐	dzʊ6-	
坐	tsʊ5=	
坑	kʰaŋ1-	
坑	kʰən1=	
块	kʰwa3	
坚	cĩ1	
坛	dæ̃2	
坝	pɰa5	堤～；平川
坞	u1	
坟	xwən2	
坡	pʰʊ1	
坤	kʰwən1	
坦	tʰæ̃3	
坨	dʊ2	
坪	bjæ̃2-	
坪	bjən2=	
坯	pʰɛ1	
坳	ŋɔ5	山～
坼	tsʰwa7	开裂
垂	dʐɻʷej2	
垄	nən3	
型	çjən2	
垒	nɛ3	
垛	dʊ6	叠
垦	kʰən3	
垫	dĩ6-	～被
垫	tĩ5=	
垮	kʰwa3	
埂	kən3	田～
埃	ŋɛ1	
埋	mæ̃2	
城	dʐən2	
域	ʯ5-	
域	ʯ7=	
埠	bu6	
培	bɛ2	
基	ci1	
堂	daŋ2	
堆	tɛ1	
堡	pɔ3	
堤	di2	
堪	kʰæ̃1	
堵	təw3	
塅	dwĩ6	地名：竹鸡～
塌	tʰa7	
塍	ʂən2	田～
塑	sʊ7	～料
塔	tʰa7	
塘	daŋ2	
塞	sɛ7	
塡	dĩ2	
境	cjən5	
墓	mʊ6-	
墓	mʊ5=	
墙	dzjaŋ2	
增	tsĩ1-	
增	tsən1=	
墟	ʂʯ1	
墨	mɛ7	
墩	tən3	
壁	pja7-	
壁	pi7=	
壕	xɔ2	
壤	jaŋ6-	土～
壤	jaŋ5=	土～
士	sɿ6-	
士	sɿ5=	
壬	jən2	
壮	tsaŋ5	
声	ʂæ̃1-	
声	ʂən1=	
壳	kʰʊ7	
壶	ɸu2	
壻	si7	女～
处	tʂʰʯ3	相～
处	tʂʰʯ5	～所
备	bɛ6-	
备	pɛ5=	
复	ɸu7	～杂
复	ɸu7	～原；～兴
夏	çja6	
夔	ɡwej2	
夕	si5-	
夕	si7=	
外	wɛ6	
多	tʊ1	
夜	ja6-	
夜	jɛ6	
够	kɔ5	
大	da6-	～小；～夫，～黄
大	ta5=	～小；～夫，～黄
天	tʰĩ1	
太	tʰa5	
夫	ɸu1	
夭	jɔ1	
央	jaŋ1	
夯	xæ̃1	打～
失	ʂʅ7	
头	djɔ2-	
头	dəw2=	
夷	i2	
夸	kʰwa1	
夹	ka7-	～杂；～衣
夹	cja7=	～杂；～衣
夺	tʊ7	
夺	tʂʊ7	又
奇	ɟi2	
奈	na5	
奉	xwən6-	
奉	xwən5=	
奋	xwən5	
奎	ɡwej2	
奏	tsjɔ5-	
奏	tsəw5=	
契	cʰi5	
奔	pən1	～跑
奔	pən5	投～
奖	tsjaŋ3	
套	tʰɔ5	
奚	çi1	
奠	dĩ6-	
奠	tĩ5=	
奢	ʂɻʷa1-	
奢	ʂɛ1=	
奥	ŋɔ5	
女	ɳʯ3	
奴	nəw2	
奶	na3	
奸	kæ̃1	
好	xɔ3	～坏
好	xɔ5	喜～
如	ʯ2	
妃	xwej1	
妄	waŋ6-	
妄	waŋ5=	
妇	ɸu6-	
妇	ɸu5=	
妈	mɰa1	
妈	mæ̃1	姆～：母亲
妊	jən5	
妓	ci5	
妖	jɔ1	
妙	mjɔ6-	
妙	mjɔ5=	
妥	tʰʊ3	
妨	xaŋ2	
妹	mɛ6-	
妹	mɛ5=	
妻	tsʰi1	
妾	tsʰjɛ7	
姆	m̩3	～妈：母亲
姊	tsɿ3	
始	ʂʅ3	
姐	tsja3-	
姐	tsjɛ3=	
姑	ku1	
姓	cja3	
姓	sjən5	
委	wej3	
姘	pʰjən1	～头
姚	jɔ2	
姜	cjaŋ1	生～；姓
姨	i2	
姻	jən1	
姿	tsɿ1	
威	wej1	
娇	cjɔ1	
娑	sʊ1	
娘	ɲjaŋ2	
娠	ʂən1	
娩	mĩ3	
娭	ŋæ̃1	～毑：祖母
娱	ʯ2	
娶	tsʰi5	
婆	bu2-	
婆	bʊ2=	
婚	xwən1	
婴	jən1	
婶	ʂən3	
媒	mɛ2	
媚	mĩ2	
媳	si7	
嫁	ka5-	
嫁	kwa5-	
嫁	cja5=	
嫂	sɔ3	
嫌	çĩ2	
嫖	bjɔ2	
嫡	ti7	
嫩	nən6-	
嫩	nən5=	
嬉	çi1	
孀	saŋ1	
子	tsɿ3	
孔	kʰən3	
孕	jən6-	
孕	jən5=	
字	dzɿ6	
字	sɿ6	又
存	dzən2	
孙	sən1	
孝	xɔ5-	
孝	çjɔ5=	
孟	mən6-	
孟	mən5=	
季	ci5	
孤	ku1	
学	çjʊ7	
孩	xɛ2-	
孵	ɸu1	
孽	ɲjɛ7	
宁	ɲjən2	安～
宁	ɲjən6	～可
宅	tsʰɛ7	
宇	ʯ3	
守	ʂəw3	
安	ŋæ̃1	
宋	sən5	
完	xwĩ2	
完	wĩ2	又
宏	xən2	
宗	tsən1	
官	kwĩ1	
宙	tʂəw5	
定	djən6-	
定	tjən5=	
宛	wĩ3	
宜	ɲĩ2	
宝	pɔ3	
实	ʂʅ7	
宠	tʂʰən3	
审	ʂən3	
客	kʰɛ7	
宣	ʂɻʷĩ1	
室	ʂʅ7	
宦	xwæ̃5	
宪	çĩ5	
宫	kən1	
宰	tsɛ3	
害	xɛ6-	
害	xɛ5=	
宴	ĩ5	
宵	sjɔ1	
家	ka1-	～庭
家	kwa1-	～庭
家	cja1	～具
家	cja1=	～庭
容	jən2	
宽	kʰwĩ1	
宾	pjən1	
宿	sjʊ5	星～
宿	səw7	～舍
寂	tsʰi7	
寄	ci5	
寅	jən2	
密	mĩ7	
寇	cʰjɔ5-	
寇	kʰəw5=	
富	ɸu5	
寒	xwĩ2-	
寒	xæ̃2=	
寓	ʯ6	
寝	tsʰjən3	
寞	mʊ7	
察	tsʰa7	
寡	kwa3	
寥	njɔ1	
寨	dza6-	
寨	tsa5=	
寸	tsʰən5	
对	tɛ5	
寺	dzɿ6-	
寺	sɿ5=	
寻	dzjən2	
导	tɔ5	
寿	ʂəw6-	
寿	ʂəw5=	
封	xwən1	
射	ʂɛ6-	
射	ʂɛ5=	
将	tsjaŋ1	～来
将	tsjaŋ5	大～
尊	tsən1	
小	sjɔ3	
少	ʂɔ3	多～
少	ʂɔ5	～年
尔	ɛ3	
尖	tsĩ1	
尘	dʐən2	
尚	ʂaŋ6-	
尚	ʂaŋ5=	
尝	ʂaŋ2	
尤	jʊ2	
尧	ɲjɔ2	
就	dzjʊ6-	
就	tsjʊ5=	
尸	ʂʅ1	～位；死～
尹	wən3	
尺	tʂʰɻʷa7-	
尺	tʂʰʅ7=	
尼	ɲĩ2	
尽	dzjən6	～力
尾	wej3	
尿	ɲjɔ6	
局	tʂʯ7	
屁	pʰi5	
层	dzĩ2-	
层	dzən2=	
居	tʂʯ1	
屈	tʂʰʯ7	
屉	tʰi7	
届	ka5	
屋	u7	
屎	ʂʅ3	
屏	bjən2	
屐	ci1	木～
屑	sjɛ7	不～；～子灰
展	cĩ3	
屙	ʊ1	
属	ʂəw5	
屠	dəw2	
屡	nɛ3	
履	ni3	
屯	dən2	
山	sæ̃1	
岁	si5-	
岁	sɛ5=	
岂	cʰi3	
岐	ɟi2	
岔	tsʰwa5-	～路
岔	tsʰa5=	～路
岗	kaŋ1	
岛	tɔ3	
岩	ŋæ̃2	
岭	njæ̃3-	
岭	njən3=	
岳	jʊ7	姓
岸	wĩ6-	
岸	ŋæ̃6=	
峯	xwən1	
崇	dzən2	
崑	kʰwən1	
崔	tsʰɛ1	姓
崙	nən2	
崩	pən1	
崽	tsɛ3	
嵌	kʰæ̃5	
嵩	sən1	
嶽	jʊ7	五～
川	tʂʰɻʷĩ1	
州	tʂəw1	
巡	dzən2	
巢	dzɔ2	
工	kən1	
左	tsʊ3	
巧	cʰjɔ3	
巨	dʐʯ6-	
巨	tʂʯ5=	
巩	kən3	
巫	u1	
差	tsʰwa1-	～别
差	tsʰa1	出～
差	tsʰa1=	～别
己	ci3	
已	i3	
巳	dzɿ6	辰～
巴	pɰa1	
巷	xaŋ6-	
巷	xaŋ5=	
巾	cjən1	
币	pɛ5-	
币	bɛ6-	
币	pi5=	
市	ʂʅ6	
布	pu5	～匹；公～
帅	sa5-	
帅	sɛ5=	
帆	xwæ̃2	
师	sɿ1	
希	çi1	
帐	tʂaŋ5	
帕	pʰɰa7-	
帕	pʰɛ7=	
帖	tʰjɛ7	
帘	nĩ2	
帚	tʂəw3	
帛	pʰɛ5	
帝	ti5	
带	ta5	
席	si7	
帮	paŋ1	
帷	wej2	
常	ʂaŋ2	
帽	mɔ6	
幅	ɸu7	
幔	mæ̃6-	
幔	mæ̃5=	
幕	mʊ6-	
幕	mʊ5=	
干	kwĩ1-	～湿
干	kæ̃1	～涉
干	kæ̃5	～部
干	kæ̃1=	～湿
平	bjæ̃2-	
平	bjən2=	
年	ɲĩ2	
并	pjən5	合～；～且
幸	çjən6-	
幸	çjən5=	
幺	jɔ1	～二三
幻	xwĩ5	
幼	jʊ5	
幽	jʊ1	
广	kaŋ3	
庄	tsaŋ1	
庆	cʰjən5	
庇	pʰi3	
床	dzaŋ2	
序	dzi6-	
序	tsi5=	
庐	nəw2	茅～
库	kʰu5	
应	jən5	～当，响～
底	ti3	
店	tĩ5	
庙	mjɔ6-	
庙	mjɔ5=	
庚	cĩ1-	
庚	kən1=	
府	ɸu3	
庞	baŋ2	
废	xwej5	
度	dəw6-	
度	təw5=	
座	dzʊ6-	
座	tsʊ5=	
庭	djən2	
庵	wĩ1-	
庵	ŋæ̃1=	
庶	ʂʯ5	
康	kʰaŋ1	
庸	jən2	
廉	nĩ2	
廊	naŋ2	
廓	kʊ7	
廖	njɔ6-	姓
廖	njɔ5=	姓
延	ĩ2	
廷	djən2	
建	cĩ5	
开	kʰɛ1	
异	i6-	
异	i5=	
弃	cʰi5	
弄	nən6-	
弄	nən5=	
弊	pɛ5-	
弊	pi5=	
式	ʂʅ5	
弓	kən1	
引	jən3	
弘	xwən2	
弟	di6-	
弟	ti5=	
张	tʂaŋ1	
弥	mĩ2	
弦	çĩ2-	
弦	ʂɻʷĩ2=	
弯	wæ̃1	
弱	ɲjʊ7	
弹	dæ̃6-	子～
弹	dæ̃2	～琴
弹	tæ̃5=	子～
强	ɟjaŋ2	～大
强	cʰjaŋ3	勉～
弼	pʰi7	
归	kwej1	
当	taŋ1	应～
当	taŋ5	典～
录	nəw7	
形	çjən2	
彩	tsʰɛ3	
彪	pjɔ1	
彬	pjən1	
彭	bĩ2-	
彭	bən2=	
影	jæ̃3-	
影	jən3=	
彷	xaŋ3	～佛
役	ʯ5	
彻	tʂʰɛ7	
彼	pi3	
彿	ɸu7	彷～
往	waŋ3	
征	tʂən1	～求
征	tʂən1	长～
征	tʂən5	又
径	cjən5	
待	dɛ6-	
待	tɛ5=	
很	çĩ3-	
很	xən3=	
律	ni7	
徐	dzi2	
徒	dəw2	
得	tɛ7	
徛	ɟi6	站立
御	ʯ5	防～；～用
循	dzən2	
微	wej2	
德	tɛ7	
徽	xwej1	
心	sjən1	
必	pi7	
忆	i5	
忌	ɟi6-	
忌	ci5=	
忍	jən3	
忏	tsʰæ̃5	
忒	tʰjɛ7	太
志	tʂʅ5	
忘	waŋ2	
忙	maŋ2	
忠	tʂən1	
忧	jʊ1	
快	kʰwa5	
念	ɲĩ6-	
念	ɲĩ5=	
忽	ɸu7	
忿	xwən5	
怀	xwa2	
态	tʰa5	
怄	ɲjɔ5-	～气
怄	ŋəw5=	～气
怒	nəw6-	
怒	nəw5=	
怕	pʰɰa5	
怖	pu5	
怜	nĩ2-	
怜	njən2=	
思	sɿ1	
怠	dɛ6-	
怠	tɛ5=	
怡	i2	
急	ci7	
性	sjən5	
怨	wĩ5	
怪	kwa5	
怯	cʰjɛ7	
怱	tsʰən1	
总	tsən3	
恋	nĩ5	
恐	kʰən3	
恒	xən2	
恕	ʂʯ5	
恢	xwɛ1	
恤	si7	
恨	xən5	
恩	ɲĩ1-	
恩	ŋən1=	
恭	kən1	
