#http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=C 	聲韻 	聲調 	字元 	字數
202 	mei 	陰平55 	黴		1
203 	mei 	陽平213 	獼, 玫, 楣, 眉, 梅, 煤, 枚, 媒, 彌		9
204 	mei 	上聲42 	每, 美		2
205 	mei 	去聲35 	媚, 昧, 魅, 寐, 妹		5
206 	mau 	陰平55 	貓		1
207 	mau 	陽平213 	錨, 髦, 毛, 茅, 矛		5
208 	mau 	上聲42 	牡		1
209 	mau 	去聲35 	貌, 懋, 帽, 冒, 茂, 貿, 冇		7
210 	miau 	陰平55 	瞄		1
211 	miau 	陽平213 	苗, 描		2
212 	miau 	上聲42 	渺, 秒, 藐		3
213 	miau 	去聲35 	妙, 繆, 廟, 謬		4
214 	məu 	陽平213 	眸, 謀, 牟		3
215 	məu 	上聲42 	牡, 某, 畝		3
216 	man 	陽平213 	饅, 蠻, 瞞		3
217 	man 	上聲42 	滿		1
218 	man 	去聲35 	幔, 漫, 慢, 曼		4
219 	miɛn 	陽平213 	綿, 眠, 棉		3
220 	miɛn 	上聲42 	冕, 娩, 勉, 緬, 免		5
221 	miɛn 	去聲35 	麵, 面		2
222 	mən 	陰平55 	捫, 䊟		2
223 	mən 	陽平213 	門		1
224 	mən 	去聲35 	悶		1
225 	min 	陽平213 	盟, 明, 螟, 茗, 民, 鳴, 名, 瞑, 銘, 冥		10
226 	min 	上聲42 	閔, 閩, 敏, 泯, 皿, 憫		6
227 	min 	去聲35 	命		1
228 	maŋ 	陽平213 	茫, 虻, 芒, 盲, 忙, 氓		6
229 	maŋ 	上聲42 	蟒, 莽		2
230 	moŋ 	陰平55 	蒙		1
231 	moŋ 	陽平213 	穆, 萌, 蒙, 濛, 朦		5
232 	moŋ 	上聲42 	懵, 猛, 拇		3
233 	moŋ 	去聲35 	夢, 孟		2
234 	fa 	陽平213 	法, 發, 髮, 罰, 閥, 伐, 乏, 筏		8
235 	fu 	陰平55 	麩, 俘, 孚, 膚, 敷, 夫		6
236 	fu 	陽平213 	拂, 弗, 沸, 馥, 福, 幅, 復, 蝠, 覆, 彿, 複, 腹, 伏, 服, 符, 佛, 扶, 芙		18
237 	fu 	上聲42 	釜, 腐, 輔, 斧, 腑, 府, 俯, 甫, 撫		9
238 	fu 	去聲35 	附, 父, 婦, 付, 賦, 赴, 訃, 傅, 阜, 富, 負, 副		12
239 	fei 	陰平55 	妃, 霏, 非, 扉, 飛		5
240 	fei 	陽平213 	肥		1
241 	fei 	上聲42 	誹, 翡, 匪		3
242 	fei 	去聲35 	肺, 吠, 廢, 沸, 疿, 費		6
243 	fəu 	陽平213 	蜉, 浮		2
244 	fəu 	上聲42 	否		1
245 	fan 	陰平55 	藩, 翻, 番		3
246 	fan 	陽平213 	梵, 礬, 帆, 繁, 煩, 凡		6
247 	fan 	上聲42 	返, 反		2
248 	fan 	去聲35 	犯, 飯, 泛, 範, 畈, 販, 范		7
249 	fən 	陰平55 	紛, 芬, 分		3
250 	fən 	陽平213 	墳, 焚, 汾		3
251 	fən 	上聲42 	粉		1
252 	fən 	去聲35 	氛, 奮, 憤, 糞, 忿, 份		6
253 	faŋ 	陰平55 	芳, 方		2
254 	faŋ 	陽平213 	防, 妨, 肪, 房		4
255 	faŋ 	上聲42 	舫, 訪, 彷, 仿, 倣, 紡		6
256 	faŋ 	去聲35 	放		1
257 	foŋ 	陰平55 	封, 豐, 瘋, 楓, 蜂, 鋒, 峯, 風		8
258 	foŋ 	陽平213 	逢, 馮, 縫		3
259 	foŋ 	上聲42 	諷		1
260 	foŋ 	去聲35 	鳳, 縫, 俸, 奉		4
261 	ta 	陽平213 	搭, 噠, 達, 躂, 答		5
262 	ta 	上聲42 	打		1
263 	ta 	去聲35 	大		1
264 	tuo 	陰平55 	多		1
265 	tuo 	陽平213 	奪, 掇, 踱		3
266 	tuo 	上聲42 	躱, 朶		2
267 	tuo 	去聲35 	墮, 刴, 惰, 舵, 馱		5
268 	tɤ 	陽平213 	德, 得		2
269 	tie 	陰平55 	爹		1
270 	tie 	陽平213 	迭, 蝶, 碟, 疊, 跌, 諜		6
271 	ti 	陰平55 	低		1
272 	ti 	陽平213 	糴, 笛, 滴, 狄, 敵, 的, 嫡, 滌		8
273 	ti 	上聲42 	牴, 底		2
274 	ti 	去聲35 	遞, 棣, 弟, 第, 帝, 地, 隸		7
275 	tai 	陰平55 	獃		1
276 	tai 	上聲42 	逮, 歹		2
277 	tai 	去聲35 	貸, 代, 袋, 大, 怠, 待, 帶, 殆, 戴, 逮		10
278 	tei 	陰平55 	堆		1
279 	tei 	去聲35 	兌, 碓, 對, 隊		4
280 	tau 	陰平55 	叨, 刀		2
281 	tau 	上聲42 	倒, 搗, 島, 禱		4
282 	tau 	去聲35 	到, 道, 倒, 導, 稻		5
283 	tiau 	陰平55 	貂, 雕, 碉, 凋, 刁		5
284 	tiau 	上聲42 	屌		1
285 	tiau 	去聲35 	調, 弔, 掉, 釣		4
286 	təu 	陰平55 	都, 兜		2
287 	təu 	陽平213 	築, 牘, 督, 犢, 篤, 獨, 瀆, 毒		8
288 	təu 	上聲42 	賭, 堵, 肚, 抖, 斗, 陡, 睹		7
289 	təu 	去聲35 	豆, 度, 蠹, 荳, 渡, 鬥, 妬, 鍍, 逗, 杜		10
290 	tiəu 	陰平55 	丟		1
291 	tan 	陰平55 	耽, 丹, 單, 擔, 端		5
292 	tan 	上聲42 	膽, 短		2
293 	tan 	去聲35 	誕, 緞, 但, 憚, 段, 蛋, 彈, 旦, 斷		9
294 	tiɛn 	陰平55 	顛, 掂, 巔, 玷, 滇		5
295 	tiɛn 	上聲42 	點, 典		2
296 	tiɛn 	去聲35 	佃, 墊, 店, 奠, 惦, 電, 澱, 殿		8
297 	tən 	陰平55 	噸, 墩, 登, 蹲, 燈, 敦		6
298 	tən 	上聲42 	等, 戥, 躉		3
299 	tən 	去聲35 	遁, 鈍, 盾, 頓, 瞪, 凳, 鄧		7
300 	tin 	陰平55 	虰, 疔, 釘, 叮, 丁		5
301 	tin 	上聲42 	頂, 鼎		2
302 	tin 	去聲35 	訂, 釘, 錠, 定		4
303 	taŋ 	陰平55 	噹, 鐺, 當		3
304 	taŋ 	上聲42 	黨, 檔		2
305 	taŋ 	去聲35 	蕩, 當, 宕		3
306 	toŋ 	陰平55 	冬, 東, 咚		3
307 	toŋ 	上聲42 	懂, 董		2
308 	toŋ 	去聲35 	洞, 棟, 凍, 侗, 動, 恫		6
309 	tʰa 	陰平55 	他, 她, 它		3
310 	tʰa 	陽平213 	獺, 塔, 踏, 塌, 榻		5
311 	tʰuo 	陰平55 	拖		1
312 	tʰuo 	陽平213 	駝, 沱, 陀, 託, 托, 馱, 鐸, 脫		8
313 	tʰuo 	上聲42 	妥		1
314 	tʰuo 	去聲35 	唾		1
315 	tʰɤ 	陽平213 	忒, 特		2
316 	tʰie 	陽平213 	帖, 貼, 鐵		3
317 	tʰi 	陰平55 	梯		1
318 	tʰi 	陽平213 	題, 踢, 堤, 剔, 提, 蹄, 涕, 啼		8
319 	tʰi 	上聲42 	體		1
320 	tʰi 	去聲35 	剃, 屉, 嚏		3
321 	tʰai 	陰平55 	胎		1
322 	tʰai 	陽平213 	苔, 抬, 臺		3
323 	tʰai 	去聲35 	汰, 泰, 態, 太		4
324 	tʰei 	陰平55 	推		1
325 	tʰei 	陽平213 	頹		1
326 	tʰei 	上聲42 	腿		1
