"繁体"	"简体"	"IPA"	"注释"	"来源"		"#符號說明："	"音標後的“-”表示文讀；“=”表示讀書音，口語中不用；“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"憑"	"凭"	"biɪn2"	"~据"	"墳派"			
"頻"	"频"	"biɪn2"		"墳派"			
"顰"	"颦"	"biɪn2"		"墳派"			
"伻"	"伻"	"biɪn2"		"墳派"			
"牝"	"牝"	"biɪn4"		"墳派"			
"病"	"病"	"biɪn6"		"墳派"			
"彈"	"弹"	"dɛ2"		"墳派"			
"痰"	"痰"	"dɛ2"	"~盂"	"墳派"			
"談"	"谈"	"dɛ2"		"墳派"			
"壇"	"坛"	"dɛ2"		"墳派"			
"檀"	"檀"	"dɛ2"	"~香"	"墳派"			
"澹"	"澹"	"dɛ2"		"墳派"			
"坛"	"坛"	"dɛ2"		"墳派"			
"郯"	"郯"	"dɛ2"		"墳派"			
"惔"	"惔"	"dɛ2"		"墳派"			
"譚"	"谭"	"dɛ2"		"墳派"			
"淡"	"淡"	"dɛ4"		"墳派"			
"澹"	"澹"	"dɛ4"		"墳派"			
"憺"	"憺"	"dɛ4"		"墳派"			
"啖"	"啖"	"dɛ4"		"墳派"			
"啗"	"啗"	"dɛ4"		"墳派"			
"噉"	"噉"	"dɛ4"		"墳派"			
"嚪"	"嚪"	"dɛ4"		"墳派"			
"但"	"但"	"dɛ6"		"墳派"			
"蛋"	"蛋"	"dɛ6"	"鸡~"	"墳派"			
"彈"	"弹"	"dɛ6"		"墳派"			
"憚"	"惮"	"dɛ6"	"肆无忌~"	"墳派"			
"田"	"田"	"diɛ2"	"租~"	"墳派"			
"鈿"	"钿"	"diɛ2"		"墳派"			
"畋"	"畋"	"diɛ2"		"墳派"			
"沺"	"沺"	"diɛ2"		"墳派"			
"甜"	"甜"	"diɛ2"		"墳派"			
"填"	"填"	"diɛ2"		"墳派"			
"滇"	"滇"	"diɛ2"		"墳派"			
"蹎"	"蹎"	"diɛ2"		"墳派"			
"闐"	"阗"	"diɛ2"		"墳派"			
"磌"	"磌"	"diɛ2"		"墳派"			
"佃"	"佃"	"diɛ2"		"墳派"			
"鋋"	"鋋"	"diɛ2"		"墳派"			
"湉"	"湉"	"diɛ2"		"墳派"			
"恬"	"恬"	"diɛ2"		"墳派"			
"殄"	"殄"	"diɛ4"		"墳派"			
"簟"	"簟"	"diɛ4"		"墳派"			
"佃"	"佃"	"diɛ6"	"~户"	"墳派"			
"殿"	"殿"	"diɛ6"		"墳派"			
"澱"	"淀"	"diɛ6"		"墳派"			
"墊"	"垫"	"diɛ6"	"~子"	"墳派"			
"電"	"电"	"diɛ6"	"~报"	"墳派"			
"甸"	"甸"	"diɛ6"		"墳派"			
"奠"	"奠"	"diɛ6"		"墳派"			
"靛"	"靛"	"diɛ6"	"~青"	"墳派"			
"庭"	"庭"	"diɪn2"		"墳派"			
"廷"	"廷"	"diɪn2"		"墳派"			
"亭"	"亭"	"diɪn2"	"~子"	"墳派"			
"停"	"停"	"diɪn2"		"墳派"			
"蜓"	"蜓"	"diɪn2"	"蜻~"	"墳派"			
"錠"	"锭"	"diɪn6"	"银~"	"墳派"			
"定"	"定"	"diɪn6"	"~盘星"	"墳派"			
"㾃"	"㾃"	"dᵊu2"		"墳派"			
"酡"	"酡"	"dᵊu2"		"墳派"			
"砣"	"砣"	"dᵊu2"		"墳派"			
"跎"	"跎"	"dᵊu2"		"墳派"			
"駝"	"驼"	"dᵊu2"		"墳派"			
"鮀"	"鮀"	"dᵊu2"		"墳派"			
"紽"	"紽"	"dᵊu2"		"墳派"			
"陀"	"陀"	"dᵊu2"		"墳派"			
"佗"	"佗"	"dᵊu2"		"墳派"			
"沱"	"沱"	"dᵊu2"		"墳派"			
"鼉"	"鼍"	"dᵊu2"		"墳派"			
"徒"	"徒"	"dᵊu2"		"墳派"			
"圖"	"图"	"dᵊu2"		"墳派"			
"途"	"途"	"dᵊu2"		"墳派"			
"荼"	"荼"	"dᵊu2"		"墳派"			
"菟"	"菟"	"dᵊu2"		"墳派"			
"稌"	"稌"	"dᵊu2"		"墳派"			
"峹"	"峹"	"dᵊu2"		"墳派"			
"嵞"	"嵞"	"dᵊu2"	"~山，即会稽山"	"墳派"			
"酴"	"酴"	"dᵊu2"		"墳派"			
"屠"	"屠"	"dᵊu2"	"姓"	"墳派"			
"陀"	"陀"	"dᵊu2"		"墳派"			
"瘏"	"瘏"	"dᵊu2"		"墳派"			
"鴕"	"鸵"	"dᵊu2"	"~鸟"	"墳派"			
"堶"	"堶"	"dᵊu2"		"墳派"			
"肚"	"肚"	"dᵊu4"	"~皮"	"墳派"			
"杜"	"杜"	"dᵊu4"	"姓"	"墳派"			
"橢"	"椭"	"dᵊu6"		"墳派"			
"墮"	"堕"	"dᵊu6"		"墳派"			
"嶞"	"嶞"	"dᵊu6"		"墳派"			
"舵"	"舵"	"dᵊu6"		"墳派"			
"渡"	"渡"	"dᵊu6"		"墳派"			
"惰"	"惰"	"dᵊu6"		"墳派"			
"大"	"大"	"dᵊu6"		"墳派"			
"度"	"度"	"dᵊu6"		"墳派"			
"鍍"	"镀"	"dᵊu6"	"~金"	"墳派"			
"慈"	"慈"	"dzɿ2"		"墳派"			
"磁"	"磁"	"dzɿ2"	"~石"	"墳派"			
"辭"	"辞"	"dzɿ2"		"墳派"			
"詞"	"词"	"dzɿ2"		"墳派"			
"嗣"	"嗣"	"dzɿ6"		"墳派"			
"瀉"	"泻"	"dzɑ6"		"墳派"			
"財"	"财"	"dzᴇ2"		"墳派"			
"才"	"才"	"dzᴇ2"		"墳派"			
"材"	"材"	"dzᴇ2"		"墳派"			
"裁"	"裁"	"dzᴇ2"		"墳派"			
"垂"	"垂"	"dzᴇ2"		"墳派"			
"隋"	"隋"	"dzᴇ2"	"~朝"	"墳派"			
"瑞"	"瑞"	"dzᴇ4"		"墳派"			
"在"	"在"	"dzᴇ6"		"墳派"			
"罪"	"罪"	"dzᴇ6"		"墳派"			
"遂"	"遂"	"dzᴇ6"		"墳派"			
"穗"	"穗"	"dzᴇ6"		"墳派"			
"利"	"利"	"dzᴇ6"		"墳派"			
"宅"	"宅"	"dzɑʔ8"		"墳派"			
"鍘"	"铡"	"dzɑʔ8"		"墳派"			
"讒"	"谗"	"dzɛ2"		"墳派"			
"鑱"	"镵"	"dzɛ2"		"墳派"			
"殘"	"残"	"dzɛ2"		"墳派"			
"纔"	"纔"	"dzɛ2"	"剛~"	"墳派"			
"涎"	"涎"	"dzɛ2"		"墳派"			
"慚"	"惭"	"dzɛ2"		"墳派"			
"棧"	"栈"	"dzɛ6"		"墳派"			
"站"	"站"	"dzɛ6"	"车~"	"墳派"			
"賺"	"赚"	"dzɛ6"	"~铜钿"	"墳派"			
"撰"	"撰"	"dzɛ6"		"墳派"			
"綻"	"绽"	"dzɛ6"		"墳派"			
"暫"	"暂"	"dzɛ6"	"~时去一歇歇"	"墳派"			
"饌"	"馔"	"dzɛ6"		"墳派"			
"澄"	"澄"	"dzã2"		"墳派"			
"橙"	"橙"	"dzã2"		"墳派"			
"曹"	"曹"	"dzæ2"		"墳派"			
"嘈"	"嘈"	"dzæ2"		"墳派"			
"螬"	"螬"	"dzæ2"		"墳派"			
"槽"	"槽"	"dzæ2"		"墳派"			
"漕"	"漕"	"dzæ2"		"墳派"			
"皂"	"皂"	"dzæ6"		"墳派"			
"造"	"造"	"dzæ6"		"墳派"			
"澤"	"泽"	"dzəʔ8"		"墳派"			
"賊"	"贼"	"dzəʔ8"		"墳派"			
"擇"	"择"	"dzəʔ8"		"墳派"			
"雜"	"杂"	"dzəʔ8"		"墳派"			
"存"	"存"	"dzən2"		"墳派"			
"曾"	"曾"	"dzən2"		"墳派"			
"層"	"层"	"dzən2"		"墳派"			
"蹭"	"蹭"	"dzən6"		"墳派"			
"贈"	"赠"	"dzən6"		"墳派"			
"愁"	"愁"	"dzøʏ2"		"墳派"			
"囚"	"囚"	"dzøʏ2"		"墳派"			
"袖"	"袖"	"dzøʏ6"		"墳派"			
"驟"	"骤"	"dzøʏ6"		"墳派"			
"齊"	"齐"	"dzi2"		"墳派"			
"臍"	"脐"	"dzi2"		"墳派"			
"徐"	"徐"	"dzi2"		"墳派"			
"蠐"	"蛴"	"dzi2"		"墳派"			
"鱭"	"鲚"	"dzi6"		"墳派"			
"薺"	"荠"	"dzi8"		"墳派"			
"聚"	"聚"	"dzi8"		"墳派"			
"序"	"序"	"dzi8"		"墳派"			
"敘"	"叙"	"dzi8"		"墳派"			
"署"	"署"	"dzi8"		"墳派"			
"邪"	"邪"	"dziɑ2"	"总覅走~路"	"墳派"			
"斜"	"斜"	"dziɑ2"		"墳派"			
"謝"	"谢"	"dziɑ6"		"墳派"			
"榭"	"榭"	"dziɑ6"		"墳派"			
"嚼"	"嚼"	"dziɑʔ8"		"墳派"			
"祥"	"祥"	"dziã2"		"墳派"			
"詳"	"详"	"dziã2"		"墳派"			
"牆"	"墙"	"dziã2"		"墳派"			
"庠"	"庠"	"dziã2"		"墳派"			
"薔"	"蔷"	"dziã2"		"墳派"			
"翔"	"翔"	"dziã2"		"墳派"			
"檣"	"樯"	"dziã2"		"墳派"			
"像"	"像"	"dziã6"		"墳派"			
"象"	"象"	"dziã6"		"墳派"			
"匠"	"匠"	"dziã6"		"墳派"			
"樵"	"樵"	"dziæ2"		"墳派"			
"瞧"	"瞧"	"dziæ2"		"墳派"			
"焦"	"焦"	"dziæ2"		"墳派"			
"錢"	"钱"	"dziɛ2"	"姓"	"墳派"			
"泉"	"泉"	"dziɛ2"	"~水"	"墳派"			
"潛"	"潜"	"dziɛ2"		"墳派"			
"旋"	"旋"	"dziɛ2"	"周~"	"墳派"			
"全"	"全"	"dziɛ2"		"墳派"			
"前"	"前"	"dziɛ2"		"墳派"			
"痊"	"痊"	"dziɛ2"		"墳派"			
"漸"	"渐"	"dziɛ6"		"墳派"			
"截"	"截"	"dziɪʔ8"		"墳派"			
"夕"	"夕"	"dziɪʔ8"		"墳派"			
"席"	"席"	"dziɪʔ8"		"墳派"			
"絕"	"绝"	"dziɪʔ8"		"墳派"			
"籍"	"籍"	"dziɪʔ8"		"墳派"			
"習"	"习"	"dziɪʔ8"		"墳派"			
"疾"	"疾"	"dziɪʔ8"		"墳派"			
"寂"	"寂"	"dziɪʔ8"		"墳派"			
"襲"	"袭"	"dziɪʔ8"		"墳派"			
"嫉"	"嫉"	"dziɪʔ8"		"墳派"			
"尋"	"寻"	"dziɪn2"		"墳派"			
"情"	"情"	"dziɪn2"	"水火弗留~"	"墳派"			
"秦"	"秦"	"dziɪn2"	"姓"	"墳派"			
"撏"	"挦"	"dziɪn2"		"墳派"			
"循"	"循"	"dziɪn2"		"墳派"			
"巡"	"巡"	"dziɪn2"		"墳派"			
"晴"	"晴"	"dziɪn2"		"墳派"			
"盡"	"尽"	"dziɪn6"	"~心竭力"	"墳派"			
"靜"	"静"	"dziɪn6"		"墳派"			
"就"	"就"	"dziʏ6"		"墳派"			
"查"	"查"	"dzo2"		"墳派"			
"茶"	"茶"	"dzo2"		"墳派"			
"蛇"	"蛇"	"dzo6"		"墳派"			
"麝"	"麝"	"dzo6"		"墳派"			
"社"	"社"	"dzo6"		"墳派"			
"俗"	"俗"	"dzoʔ8"		"墳派"			
"鑿"	"凿"	"dzoʔ8"	"斧头吃~子，~子吃木头"	"墳派"			
"族"	"族"	"dzoʔ8"		"墳派"			
"蜀"	"蜀"	"dzoʔ8"		"墳派"			
"續"	"续"	"dzoʔ8"		"墳派"			
"啄"	"啄"	"dzoʔ8"		"墳派"			
"攢"	"攒"	"dzø2"		"墳派"			
"蠶"	"蚕"	"dzø2"		"墳派"			
"戎"	"戎"	"dzoŋ2"		"墳派"			
"崇"	"崇"	"dzoŋ2"		"墳派"			
"誦"	"诵"	"dzoŋ6"		"墳派"			
"頌"	"颂"	"dzoŋ6"		"墳派"			
"訟"	"讼"	"dzoŋ6"		"墳派"			
"藏"	"藏"	"dzɑ̃2"		"墳派"			
"償"	"偿"	"dzɑ̃2"		"墳派"			
"鋤"	"锄"	"dzᵊu2"		"墳派"			
"坐"	"坐"	"dzᵊu6"		"墳派"			
"助"	"助"	"dzᵊu6"	"帮~"	"墳派"			
"座"	"座"	"dzᵊu6"	"~位"	"墳派"			
"番"	"番"	"fɛ1"	"经一~长一智"	"墳派"			
"繙"	"繙"	"fɛ1"		"墳派"			
"翻"	"翻"	"fɛ1"		"墳派"			
"𠯘"	"𠯘"	"fɛ1"		"墳派"			
"拚"	"拚"	"fɛ1"		"墳派"			
"反"	"反"	"fɛ3"		"墳派"			
"阪"	"阪"	"fɛ3"		"墳派"			
"返"	"返"	"fɛ3"		"墳派"			
"販"	"贩"	"fɛ5"		"墳派"			
"泛"	"泛"	"fɛ5"		"墳派"			
"汎"	"汎"	"fɛ5"		"墳派"			
"氾"	"氾"	"fɛ5"		"墳派"			
"渢"	"沨"	"fɛ5"		"墳派"			
"譒"	"譒"	"fɛ5"		"墳派"			
"寰"	"寰"	"ɡuɛ2"		"墳派"			
"儇"	"儇"	"ɡuɛ2"		"墳派"			
"圜"	"圜"	"ɡuɛ2"		"墳派"			
"闤"	"阛"	"ɡuɛ2"		"墳派"			
"鬟"	"鬟"	"ɡuɛ2"		"墳派"			
"摜"	"掼"	"ɡuɛ6"	"~稻"	"墳派"			
"乾"	"乾"	"dʑiɛ2"		"墳派"			
"虔"	"虔"	"dʑiɛ2"		"墳派"			
"掮"	"掮"	"dʑiɛ2"	"~耜头"	"墳派"			
"揵"	"揵"	"dʑiɛ2"		"墳派"			
"鍵"	"键"	"dʑiɛ2"		"墳派"			
"犍"	"犍"	"dʑiɛ2"		"墳派"			
"捷"	"捷"	"dʑiɛ2"		"墳派"			
"鈐"	"钤"	"dʑiɛ2"		"墳派"			
"黔"	"黔"	"dʑiɛ2"		"墳派"			
"儉"	"俭"	"dʑiɛ4"	"~朴"	"墳派"			
"件"	"件"	"dʑiɛ4"		"墳派"			
"鍵"	"键"	"dʑiɛ4"		"墳派"			
"楗"	"楗"	"dʑiɛ4"		"墳派"			
"揵"	"揵"	"dʑiɛ4"		"墳派"			
"件"	"件"	"dʑiɛ6"		"墳派"			
"儉"	"俭"	"dʑiɛ6"		"墳派"			
"健"	"健"	"dʑiɛ6"	"康~"	"墳派"			
"鯨"	"鲸"	"dʑiɪn2"		"墳派"			
"覲"	"觐"	"dʑiɪn6"		"墳派"			
"勁"	"劲"	"dʑiɪn6"		"墳派"			
"琴"	"琴"	"dʑiən2"	"口~"	"墳派"			
"禽"	"禽"	"dʑiən2"		"墳派"			
"擒"	"擒"	"dʑiən2"		"墳派"			
"芹"	"芹"	"dʑiən2"	"~菜"	"墳派"			
"近"	"近"	"dʑiən6"		"墳派"			
"窘"	"窘"	"dʑyən4"		"墳派"			
"箘"	"箘"	"dʑyən4"		"墳派"			
"郡"	"郡"	"dʑyən6"	"吴~"	"墳派"			
"甝"	"甝"	"hɛ1"		"墳派"			
"喊"	"喊"	"hɛ3"	"叫~"	"墳派"			
"海"	"海"	"hɛ3"		"墳派"			
"闞"	"阚"	"hɛ3"		"墳派"			
"醢"	"醢"	"hɛ3"		"墳派"			
"呵"	"呵"	"hᵊu1"	"~斥"	"墳派"			
"訶"	"诃"	"hᵊu1"		"墳派"			
"滹"	"滹"	"hᵊu1"		"墳派"			
"虖"	"虖"	"hᵊu1"		"墳派"			
"火"	"火"	"hᵊu3"		"墳派"			
"虎"	"虎"	"hᵊu3"	"老~"	"墳派"			
"琥"	"琥"	"hᵊu3"		"墳派"			
"滸"	"浒"	"hᵊu3"	"水~"	"墳派"			
"貨"	"货"	"hᵊu5"		"墳派"			
"戽"	"戽"	"hᵊu5"		"墳派"			
"荷"	"荷"	"hᵊu5"	"薄~"	"墳派"			
"甩"	"甩"	"huɛ5"	"滥~"	"墳派"			
"花"	"花"	"huo1"		"墳派"			
"化"	"化"	"huo5"		"墳派"			
"駭"	"骇"	"ɕiᴇ3="	"惊~"	"墳派"			
"軒"	"轩"	"ɕiɛ1"	"翻~"	"墳派"			
"掀"	"掀"	"ɕiɛ1"	"~起来"	"墳派"			
"蜆"	"蚬"	"ɕiɛ3"	"~子山"	"墳派"			
"險"	"险"	"ɕiɛ3"		"墳派"			
"顯"	"显"	"ɕiɛ3"		"墳派"			
"獫"	"猃"	"ɕiɛ3"		"墳派"			
"玁"	"玁"	"ɕiɛ3"		"墳派"			
"嶮"	"崄"	"ɕiɛ3"		"墳派"			
"僴"	"僴"	"ɕiɛ3"		"墳派"			
"撊"	"撊"	"ɕiɛ3"		"墳派"			
"伣"	"伣"	"ɕiɛ5"		"墳派"			
"莧"	"苋"	"ɕiɛ5"		"墳派"			
"憲"	"宪"	"ɕiɛ5"	"~法"	"墳派"			
"獻"	"献"	"ɕiɛ5"		"墳派"			
"幰"	"幰"	"ɕiɛ5"		"墳派"			
"靴"	"靴"	"ɕiu1"	"钉~"	"墳派"			
"馨"	"馨"	"ɕiɪn1"	"~香"	"墳派"			
"興"	"兴"	"ɕiɪn1"	"~盛"	"墳派"			
"興"	"兴"	"ɕiɪn5"		"墳派"			
"欣"	"欣"	"ɕiən1"	"~喜"	"墳派"			
"勳"	"勳"	"ɕyən1"		"墳派"			
"薰"	"薰"	"ɕyən1"	"~风"	"墳派"			
"醺"	"醺"	"ɕyən1"	"醉~~"	"墳派"			
"塤"	"埙"	"ɕyən1"		"墳派"			
"獯"	"獯"	"ɕyən1"		"墳派"			
"曛"	"曛"	"ɕyən1"		"墳派"			
"焄"	"焄"	"ɕyən1"		"墳派"			
"纁"	"纁"	"ɕyən1"		"墳派"			
"勳"	"勋"	"ɕyən1"		"墳派"			
"訓"	"训"	"ɕyən5"	"教~"	"墳派"			
"也"	"也"	"iɑ3"		"墳派"			
"醃"	"腌"	"iᴇ1"	"~猪肉"	"墳派"			
"魘"	"魇"	"iᴇ3"		"墳派"			
"掩"	"掩"	"iᴇ3"	"遮~"	"墳派"			
"也"	"也"	"iᴇ3"		"墳派"			
"夜"	"夜"	"iᴇ5"		"墳派"			
"懈"	"懈"	"iᴇ5="		"墳派"			
"咽"	"咽"	"iɛ1"	"～喉"	"墳派"			
"胭"	"胭"	"iɛ1"		"墳派"			
"蔫"	"蔫"	"iɛ1"	"颜色忒~"	"墳派"			
"嫣"	"嫣"	"iɛ1"		"墳派"			
"淹"	"淹"	"iɛ1"		"墳派"			
"閹"	"阉"	"iɛ1"		"墳派"			
"崦"	"崦"	"iɛ1"		"墳派"			
"晻"	"晻"	"iɛ1"		"墳派"			
"弇"	"弇"	"iɛ1"		"墳派"			
"媕"	"媕"	"iɛ1"		"墳派"			
"奄"	"奄"	"iɛ3"		"墳派"			
"晻"	"晻"	"iɛ3"		"墳派"			
"罨"	"罨"	"iɛ3"		"墳派"			
"掩"	"掩"	"iɛ3"		"墳派"			
"媕"	"媕"	"iɛ3"		"墳派"			
"渰"	"渰"	"iɛ3"		"墳派"			
"𩼴"	"𩼴"	"iɛ3"		"墳派"			
"檿"	"檿"	"iɛ3"		"墳派"			
"魘"	"魇"	"iɛ3"		"墳派"			
"偃"	"偃"	"iɛ3"		"墳派"			
"揜"	"揜"	"iɛ3"		"墳派"			
"蝘"	"蝘"	"iɛ3"		"墳派"			
"堰"	"堰"	"iɛ3"		"墳派"			
"鰋"	"鰋"	"iɛ3"		"墳派"			
"演"	"演"	"iɛ3"	"~戏"	"墳派"			
"戭"	"戭"	"iɛ3"		"墳派"			
"睍"	"睍"	"iɛ3"		"墳派"			
"眼"	"眼"	"iɛ3="		"墳派"			
"兗"	"兖"	"iɛ3"		"墳派"			
"衍"	"衍"	"iɛ3"		"墳派"			
"琰"	"琰"	"iɛ3"		"墳派"			
"剡"	"剡"	"iɛ3"		"墳派"			
"扊"	"扊"	"iɛ3"	"～扅，指门闩"	"墳派"			
"焱"	"焱"	"iɛ3"		"墳派"			
"咽"	"咽"	"iɛ5"		"墳派"			
"煙"	"煙"	"iɛ5"		"墳派"			
