# 	聲韻 	聲調 	字元 	字數	#http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=B
1 	ər 	陽平42 	而, 兒		2
43 	iã 	陽平42 	研, 芫, 沿, 緣, 簷, 炎, 言, 巖, 閻, 鹽, 嚴, 顔, 延		13
44 	iã 	上聲55 	兗, 演, 眼, 衍, 掩		5
45 	iã 	去聲21 	嚥, 驗, 宴, 豔, 厭, 燕, 諺, 雁, 晏, 硯, 堰, 釅		12
46 	yã 	陰平213 	冤, 淵, 鴛		3
47 	yã 	陽平42 	園, 員, 袁, 源, 元, 原, 援, 緣, 轅, 圓, 猿, 垣		12
48 	yã 	上聲55 	遠, 阮		2
49 	yã 	去聲21 	院, 願, 怨		3
50 	iẽ 	陰平213 	吟, 姻, 因, 陰, 音, 殷		6
51 	iẽ 	陽平42 	寅, 銀, 淫		3
52 	iẽ 	上聲55 	吟, 尹, 癮, 引, 飲, 隱		6
53 	iẽ 	去聲21 	印, 窨, 飲		3
54 	yẽ 	陰平213 	暈		1
55 	yẽ 	陽平42 	芸, 云, 勻, 雲		4
56 	yẽ 	上聲55 	允		1
57 	yẽ 	去聲21 	韻, 熨, 孕, 運, 鄆, 潤, 閏		7
58 	iaŋ 	陰平213 	秧, 殃, 央		3
59 	iaŋ 	陽平42 	仰, 羊, 洋, 楊, 陽, 揚		6
60 	iaŋ 	上聲55 	癢, 仰, 養		3
61 	iaŋ 	去聲21 	恙, 樣		2
62 	iaŋ 	輕聲 	鴦		1
63 	iŋ 	陰平213 	鷹, 英, 櫻, 嬰, 鸚, 鶯, 纓, 應		8
64 	iŋ 	陽平42 	贏, 盈, 營, 凝, 蠅, 穎, 迎, 塋, 螢		9
65 	iŋ 	上聲55 	影		1
66 	iŋ 	去聲21 	應, 硬		2
67 	yŋ 	陰平213 	雍, 擁		2
68 	yŋ 	上聲55 	詠, 甬, 泳, 湧, 永, 勇, 踴		7
69 	yŋ 	去聲21 	傭, 用		2
70 	pə 	陰平213 	播, 簸, 玻, 波, 勃, 粕, 撥, 菠, 剝, 博, 泊, 搏, 渤		13
71 	pə 	陽平42 	箔, 鈸, 鵓, 駁, 薄, 脖, 笸		7
72 	pə 	去聲21 	簸		1
73 	pi 	陰平213 	屄		1
74 	pi 	陽平42 	鼻, 荸, 逼		3
75 	pi 	上聲55 	秕, 比, 鄙, 必		4
76 	pi 	去聲21 	碧, 璧, 潷, 鄙, 避, 臂, 畢, 幣, 弊, 斃, 陛, 壁, 閉, 蔽, 敝, 篦, 闢		17
77 	pu 	陰平213 	撥, 不		2
78 	pu 	陽平42 	醭, 不		2
79 	pu 	上聲55 	卜, 補, 鴇		3
80 	pu 	去聲21 	布, 佈, 簿, 怖, 步, 部		6
81 	pu 	輕聲 	埠		1
82 	pa 	陰平213 	芭, 巴, 八, 疤, 扒, 剝, 吧		7
83 	pa 	陽平42 	雹, 拔, 跋		3
84 	pa 	上聲55 	把, 靶		2
85 	pa 	去聲21 	壩, 霸, 欛, 罷, 垻, 爸, 耙		7
86 	pa 	輕聲 	叭, 琶		2
87 	piə 	陰平213 	鼈, 憋, 癟		3
88 	piə 	陽平42 	別		1
89 	piə 	上聲55 	蹩		1
90 	piə 	去聲21 	別		1
91 	pɛ 	陰平213 	伯		1
92 	pɛ 	陽平42 	白, 別		2
93 	pɛ 	上聲55 	擺		1
94 	pɛ 	去聲21 	稗, 敗, 拜		3
95 	pei 	陰平213 	卑, 筆, 擘, 彼, 泊, 柏, 百, 北, 碑, 杯, 悲, 伯		12
96 	pei 	陽平42 	白, 帛		2
97 	pei 	去聲21 	被, 臂, 背, 備, 倍, 輩, 貝		7
98 	pei 	輕聲 	壁, 珀		2
99 	pɔ 	陰平213 	包, 褒, 鮑, 雹		4
100 	pɔ 	上聲55 	保, 寶, 鴇, 飽, 堡		5
101 	pɔ 	去聲21 	暴, 瀑, 報, 抱, 豹, 趵, 飽, 爆		8
102 	piɔ 	陰平213 	標, 臕, 彪		3
103 	piɔ 	上聲55 	裱, 表, 錶		3
104 	piɔ 	去聲21 	鰾		1
105 	pã 	陰平213 	般, 扳, 班, 搬, 斑, 頒		6
106 	pã 	上聲55 	板, 版		2
107 	pã 	去聲21 	瓣, 柈, 絆, 辦, 半, 扮, 拌		7
108 	piã 	陰平213 	邊, 蝙, 鞭, 編		4
109 	piã 	上聲55 	貶, 匾, 扁		3
110 	piã 	去聲21 	變, 遍, 辮, 辯, 辨, 便		6
111 	pẽ 	陰平213 	奔, 錛		2
112 	pẽ 	陽平42 	甭		1
113 	pẽ 	上聲55 	本		1
114 	pẽ 	去聲21 	逩, 笨		2
115 	piẽ 	陰平213 	斌, 彬, 濱, 賓		4
116 	piẽ 	去聲21 	殯, 鬢		2
117 	paŋ 	陰平213 	幫, 梆, 邦		3
118 	paŋ 	上聲55 	膀, 綁, 榜		3
119 	paŋ 	去聲21 	謗, 磅, 棒, 蚌		4
120 	pəŋ 	陰平213 	嘣, 繃, 崩		3
121 	pəŋ 	陽平42 	甭		1
122 	pəŋ 	去聲21 	蹦, 泵, 迸		3
123 	piŋ 	陰平213 	冰, 兵, 丙		3
124 	piŋ 	上聲55 	餅, 稟, 秉		3
125 	piŋ 	去聲21 	並, 併, 摒, 病		4
126 	pʰə 	陰平213 	潑, 坡, 頗, 膊		4
127 	pʰə 	陽平42 	婆		1
128 	pʰə 	去聲21 	破		1
129 	pʰə 	輕聲 	膊		1
130 	pʰi 	陰平213 	劈, 僻, 霹, 匹, 疋, 蚍, 批, 闢		8
131 	pʰi 	陽平42 	枇, 啤, 琵, 脾, 疲, 皮		6
132 	pʰi 	上聲55 	癖, 劈, 脾, 譬, 痞		5
133 	pʰi 	去聲21 	屁		1
134 	pʰu 	陰平213 	捕, 撲, 樸, 朴, 鋪		5
135 	pʰu 	陽平42 	蒲, 菩, 葡, 撲		4
136 	pʰu 	上聲55 	璞, 脯, 浦, 蒲, 哺, 埠, 普, 圃, 仆, 堡, 譜, 僕		12
137 	pʰu 	去聲21 	鋪, 堡		2
138 	pʰa 	陰平213 	乓, 趴, 啪		3
139 	pʰa 	陽平42 	耙, 爬, 扒		3
140 	pʰa 	去聲21 	怕, 帕		2
141 	pʰiə 	陰平213 	瞥, 撇		2
142 	pʰiə 	上聲55 	撇, 苤		2
143 	pʰɛ 	陽平42 	牌, 排		2
144 	pʰɛ 	上聲55 	排		1
145 	pʰɛ 	去聲21 	派		1
146 	pʰei 	陰平213 	不, 迫, 魄, 胚, 拍, 披, 坯		7
147 	pʰei 	陽平42 	賠, 培, 陪, 裴		4
148 	pʰei 	去聲21 	佩, 沛, 配, 轡		4
149 	pʰɔ 	陰平213 	剖, 拋, 泡, 胞		4
150 	pʰɔ 	陽平42 	袍, 刨		2
151 	pʰɔ 	上聲55 	跑		1
152 	pʰɔ 	去聲21 	泡, 炮		2
153 	pʰiɔ 	陰平213 	漂, 飄		2
154 	pʰiɔ 	陽平42 	嫖, 瓢		2
155 	pʰiɔ 	去聲21 	票, 漂		2
156 	pʰã 	陰平213 	攀, 潘		2
157 	pʰã 	陽平42 	蟠, 盤		2
158 	pʰã 	去聲21 	盼, 叛, 判, 襻		4
159 	pʰiã 	陰平213 	偏, 篇		2
160 	pʰiã 	陽平42 	緶, 便		2
161 	pʰiã 	上聲55 	諞		1
162 	pʰiã 	去聲21 	騙, 片		2
163 	pʰiã 	輕聲 	腆		1
164 	pʰẽ 	陰平213 	噴		1
165 	pʰẽ 	陽平42 	盆		1
166 	pʰẽ 	去聲21 	噴		1
167 	pʰiẽ 	陰平213 	姘, 拼, 拚		3
168 	pʰiẽ 	陽平42 	頻, 貧		2
169 	pʰiẽ 	上聲55 	品		1
170 	pʰiẽ 	去聲21 	聘, 姘, 牝		3
171 	pʰaŋ 	陰平213 	滂, 乓		2
172 	pʰaŋ 	陽平42 	旁, 螃, 龐		3
173 	pʰaŋ 	上聲55 	耪		1
174 	pʰaŋ 	去聲21 	判, 肨		2
175 	pʰəŋ 	陰平213 	烹, 嘭, 怦, 澎		4
176 	pʰəŋ 	陽平42 	篷, 鵬, 蓬, 朋, 彭, 膨, 棚		7
177 	pʰəŋ 	上聲55 	捧		1
178 	pʰəŋ 	去聲21 	碰		1
179 	pʰiŋ 	陰平213 	乒		1
180 	pʰiŋ 	陽平42 	評, 平, 萍, 屏, 憑, 坪, 瓶, 蘋		8
181 	mə 	陰平213 	摸		1
182 	mə 	陽平42 	摩, 魔, 漠, 模, 膜, 饃, 磨, 蘑, 摹, 麼		10
183 	mə 	上聲55 	模, 抹		2
184 	mə 	去聲21 	茉, 沫, 沒, 陌, 末, 磨, 莫		7
185 	mi 	陰平213 	覓, 瞇		2
186 	mi 	陽平42 	彌, 謎, 糜, 瞇, 靡, 迷		6
187 	mi 	上聲55 	蟻, 靡, 米		3
188 	mi 	去聲21 	蜜, 覓, 祕, 泌, 密, 膩		6
189 	mu 	陰平213 	木		1
190 	mu 	陽平42 	歿, 模, 沒, 謀		4
191 	mu 	上聲55 	模, 某, 畝, 牡, 母, 拇		6
192 	mu 	去聲21 	幕, 募, 木, 牧, 牟, 目, 慕, 穆, 墓, 侔, 暮, 沐, 苜, 睦		14
193 	ma 	陰平213 	嬤, 媽, 麻, 抹		4
194 	ma 	陽平42 	麻, 蟆, 痳, 嘛		4
195 	ma 	上聲55 	馬, 螞, 碼, 嗎		4
196 	ma 	去聲21 	螞, 罵		2
197 	ma 	輕聲 	蟆		1
198 	miə 	陰平213 	咩		1
199 	miə 	陽平42 	篾		1
200 	miə 	去聲21 	滅, 蔑		2
201 	mɛ 	陽平42 	埋		1
202 	mɛ 	上聲55 	買		1
203 	mɛ 	去聲21 	邁, 賣		2
204 	mei 	陰平213 	沒		1
205 	mei 	陽平42 	枚, 黴, 煤, 梅, 沒, 玫, 媒, 眉		8
206 	mei 	上聲55 	每, 美		2
207 	mei 	去聲21 	麥, 脈, 謎, 邁, 默, 昧, 妹, 墨		8
208 	mɔ 	陰平213 	貓		1
209 	mɔ 	陽平42 	錨, 茅, 髦, 貓, 矛, 毛		6
210 	mɔ 	上聲55 	卯, 毛		2
211 	mɔ 	去聲21 	帽, 冒, 貿, 貌, 茂		5
212 	miɔ 	陰平213 	喵		1
213 	miɔ 	陽平42 	瞄, 描, 苗		3
214 	miɔ 	上聲55 	藐, 渺, 秒, 淼		4
215 	miɔ 	去聲21 	廟, 妙		2
216 	mã 	陽平42 	埋, 鰻, 蠻, 饅, 瞞		5
217 	mã 	上聲55 	滿		1
218 	mã 	去聲21 	蔓, 慢, 幔, 漫, 曼		5
219 	miã 	陽平42 	棉, 眠, 綿		3
220 	miã 	上聲55 	娩, 勉, 免, 靦		4
221 	miã 	去聲21 	麵, 面		2
222 	mẽ 	陰平213 	悶, 燜		2
223 	mẽ 	陽平42 	門		1
224 	mẽ 	去聲21 	悶		1
225 	miẽ 	陽平42 	民		1
226 	miẽ 	上聲55 	抿, 憫, 閩, 泯, 敏		5
227 	maŋ 	陰平213 	牤		1
228 	maŋ 	陽平42 	盲, 茫, 芒, 忙		4
229 	maŋ 	上聲55 	莽, 蟒, 盲, 氓		4
230 	məŋ 	陰平213 	蒙		1
231 	məŋ 	陽平42 	萌, 濛, 矇, 檬, 盟, 蒙		6
232 	məŋ 	上聲55 	虻, 蒙, 猛, 蠓		4
233 	məŋ 	去聲21 	孟, 夢		2
234 	miŋ 	陽平42 	明, 鳴, 名, 溟, 盟, 冥, 銘		7
235 	miŋ 	去聲21 	命		1
236 	fə 	陽平42 	縛, 彿, 佛		3
237 	fu 	陰平213 	福, 佛, 彿, 幅, 複, 腹, 蝮, 復, 夫, 麩, 伕, 膚, 拂		13
238 	fu 	陽平42 	覆, 俘, 孵, 符, 芙, 扶, 弗, 服, 伏, 訃, 腐, 附, 浮, 敷		14
239 	fu 	上聲55 	脯, 輔, 撫, 腑, 斧, 甫, 俯, 府		8
240 	fu 	去聲21 	洑, 付, 富, 服, 負, 父, 賦, 傅, 婦, 副, 赴		11
241 	fu 	輕聲 	咐		1
242 	fa 	陰平213 	髮, 發, 法		3
243 	fa 	陽平42 	乏, 閥, 筏, 罰, 伐		5
244 	fei 	陰平213 	菲, 匪, 翡, 妃, 飛, 非		6
245 	fei 	陽平42 	肥		1
246 	fei 	上聲55 	榧		1
247 	fei 	去聲21 	沸, 費, 廢, 疿, 肺, 吠		6
248 	fɔ 	上聲55 	否		1
249 	fã 	陰平213 	幡, 帆, 番, 翻		4
250 	fã 	陽平42 	繁, 凡, 範, 煩, 番, 藩		6
251 	fã 	上聲55 	反, 返		2
252 	fã 	去聲21 	販, 泛, 犯, 飯, 范		5
253 	fẽ 	陰平213 	紛, 芬, 吩, 分		4
254 	fẽ 	陽平42 	墳		1
255 	fẽ 	上聲55 	焚, 粉		2
256 	fẽ 	去聲21 	奮, 憤, 份, 忿, 糞		5
257 	fẽ 	輕聲 	噴		1
258 	faŋ 	陰平213 	妨, 方, 坊, 芳		4
259 	faŋ 	陽平42 	肪, 房		2
260 	faŋ 	上聲55 	倣, 紡, 防, 妨, 仿, 彷, 訪		7
261 	faŋ 	去聲21 	放		1
262 	faŋ 	輕聲 	縫		1
263 	fəŋ 	陰平213 	瘋, 豐, 蜂, 風, 諷, 封, 烽		7
264 	fəŋ 	陽平42 	鋒, 峯, 馮, 縫, 逢		5
265 	fəŋ 	去聲21 	俸, 鳳, 縫, 奉		4
266 	və 	陰平213 	窩, 沃, 握, 倭, 蝸		5
267 	və 	上聲55 	我		1
268 	və 	去聲21 	臥		1
269 	va 	陰平213 	挖, 窪, 哇		3
270 	va 	陽平42 	娃, 蝸, 蛙		3
271 	va 	上聲55 	瓦		1
272 	va 	去聲21 	瓦, 襪		2
273 	vɛ 	陰平213 	歪, 餧		2
274 	vɛ 	去聲21 	外		1
275 	vɛ 	輕聲 	味		1
276 	vei 	陰平213 	威, 偎		2
277 	vei 	陽平42 	為, 圍		2
278 	vei 	上聲55 	偉, 委, 僞, 唯, 慰, 尾, 違, 危, 惟, 葦, 維, 桅, 微, 薇		14
279 	vei 	去聲21 	餧, 魏, 衛, 為, 蝟, 胃, 畏, 未, 味, 位, 緯, 渭		12
280 	vã 	陰平213 	豌, 灣, 彎, 剜		4
281 	vã 	陽平42 	頑, 丸, 玩, 完		4
282 	vã 	上聲55 	惋, 晚, 挽, 婉, 碗, 皖, 綰		7
283 	vã 	去聲21 	蔓, 萬, 腕		3
284 	vẽ 	陰平213 	溫, 瘟		2
285 	vẽ 	陽平42 	蚊, 聞, 文, 紋		4
286 	vẽ 	上聲55 	吻, 刎, 穩		3
287 	vẽ 	去聲21 	㼂, 問		2
288 	vaŋ 	陰平213 	汪		1
289 	vaŋ 	陽平42 	王, 亡, 芒		3
290 	vaŋ 	上聲55 	往, 網, 枉		3
291 	vaŋ 	去聲21 	妄, 旺, 往, 忘, 望		5
292 	vəŋ 	陰平213 	翁		1
293 	vəŋ 	去聲21 	甕		1
294 	tə 	陰平213 	德, 得, 嘚		3
295 	tə 	陽平42 	得		1
296 	tə 	去聲21 	嘚		1
297 	ti 	陰平213 	滴, 低, 堤, 提		4
298 	ti 	陽平42 	嘀, 提, 滌, 迪, 荻, 笛, 的, 嫡, 敵, 糴, 狄		11
299 	ti 	上聲55 	的, 底, 抵, 牴		4
300 	ti 	去聲21 	地, 蒂, 遞, 弟, 帝, 第		6
301 	tu 	陰平213 	篤, 嘟, 突, 都, 督		5
302 	tu 	陽平42 	牘, 毒, 讀, 獨		4
303 	tu 	上聲55 	堵, 睹, 肚, 賭		4
304 	tu 	去聲21 	㞘, 妬, 肚, 渡, 鍍, 杜, 度		7
305 	ta 	陰平213 	嗒, 搭, 答, 耷		4
306 	ta 	陽平42 	達, 沓, 瘩, 打		4
307 	ta 	上聲55 	打		1
308 	ta 	去聲21 	大		1
309 	tiə 	陰平213 	爹, 跌		2
310 	tiə 	陽平42 	迭, 諜, 疊, 蝶, 牒, 碟		6
311 	tuə 	陰平213 	啄, 哆, 多, 掇		4
312 	tuə 	陽平42 	奪, 鐸		2
313 	tuə 	上聲55 	朶, , 躱		3
314 	tuə 	去聲21 	惰, 墮, 馱, 舵, 跺, , 刴		7
315 	tuə 	輕聲 	朶		1
316 	tɛ 	陰平213 	待, 獃		2
317 	tɛ 	上聲55 	在, 歹, 逮		3
318 	tɛ 	去聲21 	袋, 貸, 戴, 帶, 大, 代, 待, 怠		8
319 	tei 	陰平213 	德, 得		2
320 	tei 	陽平42 	特		1
321 	tuei 	陰平213 	堆		1
322 	tuei 	去聲21 	對, 兌, 隊		3
323 	tɔ 	陰平213 	刀, 叨		2
324 	tɔ 	上聲55 	搗, 導, 島, 倒, 禱, 悼		6
325 	tɔ 	去聲21 	到, 盜, 道, 稻, 倒		5
326 	tɔ 	輕聲 	朶, 掇		2
327 	tiɔ 	陰平213 	貂, 雕, 刁		3
328 	tiɔ 	上聲55 	屌		1
329 	tiɔ 	去聲21 	掉, 釣, 弔, 調		4
330 	tou 	陰平213 	都, 哆, 兜		3
331 	tou 	上聲55 	斗, 抖, 陡		3
332 	tou 	去聲21 	逗, 豆, 痘, 鬥		4
333 	tiou 	陰平213 	丟		1
334 	tã 	陰平213 	丹, 耽, 擔, 單		4
335 	tã 	上聲55 	膽, 撣		2
336 	tã 	去聲21 	蛋, 淡, 擔, 彈, 誕, 但, 旦		7
337 	tiã 	陰平213 	掂, 巔, 顛		3
338 	tiã 	上聲55 	典, 碘, 點		3
339 	tiã 	去聲21 	佃, 店, 墊, 殿, 電		5
340 	tuã 	陰平213 	端		1
341 	tuã 	上聲55 	短		1
342 	tuã 	去聲21 	斷, 緞, 段, 鍛		4
343 	tuẽ 	陰平213 	墩, 蹲, 敦, 噸		4
344 	tuẽ 	上聲55 	躉, 盹		2
345 	tuẽ 	去聲21 	囤, 盾, 燉, 頓, 遁, 鈍		6
346 	tuẽ 	輕聲 	飩		1
347 	taŋ 	陰平213 	襠, 當, 噹		3
348 	taŋ 	上聲55 	擋, 黨		2
349 	taŋ 	去聲21 	擋, 當, 檔, 蕩, 宕		5
350 	təŋ 	陰平213 	燈, 噔, 登		3
351 	təŋ 	上聲55 	等		1
352 	təŋ 	去聲21 	瞪, 鄧, 凳		3
353 	tiŋ 	陰平213 	丁, 釘		2
354 	tiŋ 	上聲55 	頂, 鼎		2
355 	tiŋ 	去聲21 	錠, 腚, 定, 釘, 訂		5
356 	tuŋ 	陰平213 	冬, 凍, 東		3
357 	tuŋ 	陽平42 	咚		1
358 	tuŋ 	上聲55 	董, 懂		2
359 	tuŋ 	去聲21 	棟, 動, 洞, 凍, 侗		5
360 	tʰə 	陽平42 	特		1
361 	tʰi 	陰平213 	踢, 梯, 剔, 體		4
362 	tʰi 	陽平42 	涕, 蹄, 啼, 提, 題		5
363 	tʰi 	上聲55 	體		1
364 	tʰi 	去聲21 	涕, 惕, 剔, 屉, 替, 嚏		6
365 	tʰu 	陰平213 	禿		1
366 	tʰu 	陽平42 	徒, 途, 屠, 圖, 塗		5
367 	tʰu 	上聲55 	吐, 土		2
368 	tʰu 	去聲21 	吐, 兔		2
369 	tʰa 	陰平213 	榻, 獺, 塔, 褟, 趿, 塌, 溻		7
370 	tʰa 	上聲55 	它, 他, 她		3
371 	tʰiə 	陰平213 	鐵, 貼, 帖		3
372 	tʰuə 	陰平213 	託, 拓, 庹, 托, 拖, 脫		6
373 	tʰuə 	陽平42 	馱, 砣, 駝, 唾, 鴕, 陀, 橢		7
374 	tʰuə 	上聲55 	妥		1
375 	tʰɛ 	陰平213 	苔, 胎, 態		3
376 	tʰɛ 	陽平42 	抬, 臺, 苔		3
377 	tʰɛ 	去聲21 	泰, 太		2
378 	tʰei 	陽平42 	頹		1
379 	tʰuei 	陰平213 	忒, 推		2
380 	tʰuei 	陽平42 	頹		1
381 	tʰuei 	上聲55 	腿		1
382 	tʰuei 	去聲21 	退, 蛻, 褪		3
383 	tʰɔ 	陰平213 	掏, 濤, 滔		3
384 	tʰɔ 	陽平42 	陶, 逃, 桃, 討		4
385 	tʰɔ 	去聲21 	套		1
386 	tʰɔ 	輕聲 	萄		1
387 	tʰiɔ 	陰平213 	挑		1
388 	tʰiɔ 	陽平42 	條, 笤, 調		3
389 	tʰiɔ 	上聲55 	挑		1
390 	tʰiɔ 	去聲21 	眺, 糶, 跳		3
391 	tʰou 	陰平213 	偷		1
392 	tʰou 	陽平42 	投, 頭		2
393 	tʰou 	上聲55 	㪗		1
394 	tʰou 	去聲21 	透		1
395 	tʰou 	輕聲 	斗		1
396 	tʰã 	陰平213 	坍, 灘, 貪, 攤, 癱		5
397 	tʰã 	陽平42 	壇, 彈, 曇, 檀, 覃, 罈, 談, 譚, 痰, 潭, 糰		11
398 	tʰã 	上聲55 	毯, 袒, 坦		3
399 	tʰã 	去聲21 	炭, 探, 嘆		3
400 	tʰiã 	陰平213 	天, 添		2
401 	tʰiã 	陽平42 	塡, 田, 甜		3
402 	tʰiã 	上聲55 	舔		1
403 	tʰuã 	陰平213 	湍		1
404 	tʰuã 	陽平42 	團		1
405 	tʰuẽ 	陰平213 	吞		1
406 	tʰuẽ 	陽平42 	囤, 豚, 臀, 屯		4
407 	tʰuẽ 	去聲21 	褪		1
408 	tʰaŋ 	陰平213 	蹚, 湯		2
409 	tʰaŋ 	陽平42 	堂, 棠, 唐, 塘, 搪, 糖		6
410 	tʰaŋ 	上聲55 	躺, 淌		2
411 	tʰaŋ 	去聲21 	趟, 燙		2
412 	tʰəŋ 	陰平213 	熥, 騰		2
413 	tʰəŋ 	陽平42 	疼, 謄, 騰, 藤		4
414 	tʰiŋ 	陰平213 	汀, 聽, 廳		3
415 	tʰiŋ 	陽平42 	庭, 亭, 停, 廷		4
416 	tʰiŋ 	上聲55 	梃, 艇, 挺		3
417 	tʰiŋ 	輕聲 	蜓		1
418 	tʰuŋ 	陰平213 	通		1
419 	tʰuŋ 	陽平42 	桐, 瞳, 童, 同, 銅		5
420 	tʰuŋ 	上聲55 	統, 桶, 筒		3
421 	tʰuŋ 	去聲21 	痛		1
422 	nu 	陽平42 	努, 奴, 農		3
423 	nu 	去聲21 	怒		1
424 	na 	陰平213 	納, 呐		2
425 	na 	陽平42 	拿		1
426 	na 	上聲55 	哪		1
427 	na 	去聲21 	納, 娜, 那, 捺		4
428 	nuə 	陽平42 	糯, 挪, 諾, 懦		4
429 	nɛ 	上聲55 	奶, 乃		2
430 	nɛ 	去聲21 	耐, 奈		2
431 	nei 	上聲55 	餒		1
432 	nei 	去聲21 	內		1
433 	nɔ 	陰平213 	孬		1
434 	nɔ 	陽平42 	撓		1
435 	nɔ 	上聲55 	腦, 惱		2
436 	nɔ 	去聲21 	鬧		1
437 	nã 	陽平42 	難, 南, 男		3
438 	nã 	上聲55 	暖		1
439 	nã 	去聲21 	難		1
440 	nuã 	上聲55 	暖		1
441 	naŋ 	陰平213 	齉		1
442 	naŋ 	陽平42 	囊		1
443 	naŋ 	上聲55 	暖, 攘		2
444 	nəŋ 	陽平42 	能		1
445 	nəŋ 	去聲21 	那, 弄		2
446 	nuŋ 	陽平42 	農, 膿, 濃		3
447 	nuŋ 	去聲21 	弄		1
448 	lə 	陰平213 	勒		1
449 	lə 	輕聲 	了		1
450 	li 	陽平42 	離, 梨, 璃, 籬, 黎, 釐, 劙, 犁, 狸, 藜		10
451 	li 	上聲55 	李, 鯉, 里, 裏, 理, 履, 禮		7
452 	li 	去聲21 	立, 莉, 荔, 吏, 離, 笠, 粒, 痢, 例, 蒞, 厲, 隸, 礫, 利, 栗, 棣, 勵, 靂, 歷, 力, 曆, 麗		22
453 	lu 	陰平213 	擼		1
454 	lu 	陽平42 	如, 顱, 盧, 蘆, 爐, 廬		6
455 	lu 	上聲55 	櫓, 儒, 戮, 虜, 魯, 乳, 汝, 滷, 辱		9
456 	lu 	去聲21 	陸, 褥, 鷺, 轆, 露, 賂, 路, 祿, 鹿, 入, 綠, 錄, 碌		13
457 	lu 	輕聲 	嚕		1
458 	ly 	陰平213 	捋		1
459 	ly 	陽平42 	驢		1
460 	ly 	上聲55 	理, 屢, 陸, 縷, 捋, 侶, 閭, 旅, 呂, 鋁		10
461 	ly 	去聲21 	率, 碌, 律, 綠, 慮, 濾		6
462 	la 	陰平213 	垃, 啦, 邋, 拉		4
463 	la 	陽平42 	落, 拉, 旯		3
464 	la 	上聲55 	喇		1
465 	la 	去聲21 	辣, 臘, 落, 蠟		4
466 	la 	輕聲 	啦, 蜊		2
467 	lia 	上聲55 	倆		1
