饿	ŋuɔ32				
外	ŋuɔi32				
岸	ŋuɔn32				
鱼	ŋui21				
如	ŋui22				
遇	ŋui32				
言	ŋun22				
原	ŋun22				
闰	ŋun32				
软	ŋun33				
月	ŋut32				
把	pa55				
败	pai32				
币	pai32				
拜	pai33				
摆	pai55				
白	pak32				
百	pak33				
北	pak55				
扮	pan32				
办	pan32				
班	pan33				
板	pan55				
八	pat33	pat55			
抱	pɑu32				
包	pɑu33				
宝	pɑu55				
饱	pɑu55				
薄	pɔk32				
缚	pɔk33				
帮	pɔŋ33				
绑	pɔŋ55				
鼻	pei32				
碑	pei33				
比	pei55				
便	pen32				
变	pen33				
冰	pen33				
兵	pen33				
扁	pen55				
别	pet32				
憋	pet33				
壁	pet33				
逼	pet55				
爬	pʰa22				
排	pʰai22				
牌	pʰai22				
派	pʰai33				
拍	pʰak33				
棒	pʰaŋ21				
朋	pʰaŋ22				
棚	pʰaŋ22				
炮	pʰɑu33				
被	pʰei21				
皮	pʰei22				
屁	pʰei33				
骗	pʰen33				
片	pʰen33				
劈	pʰiak33				
踢	pʰiak33				
瓶	pʰiaŋ21	pʰen22			
平	pʰiaŋ22	pʰen22			
票	pʰieu33				
贫	pʰin22				
匹	pʰit55				
铺	pʰu33				
谱	pʰu55				
婆	pʰuɔ22				
破	pʰuɔ33				
赔	pʰuɔi22				
配	pʰuɔi33				
盘	pʰuɔn22				
判	pʰuɔn33				
盆	pʰun22				
病	piaŋ32				
柄	piaŋ33				
饼	piaŋ55				
表	pieu55				
品	pin55				
笔	pit55				
簿	pu32				
步	pu32				
布	pu33				
贝	puɔi33				
杯	puɔi33				
背	puɔi33				
胖	puɔn32				
搬	puɔn33				
半	puɔn33				
本	puɔn55				
拨	puɔt32				
泼	puɔt32				
沙	sa33				
晒	sai33				
世	sai33				
衫	sam33				
山	san33				
闩	san33				
生	saŋ33				
省	saŋ55				
杀	sat33				
索	sɔk55				
霜	sɔŋ33				
双	sɔŋ33				
熟	səɯk32				
赎	səɯk32				
属	səɯk32				
缩	səɯk33				
叔	səɯk55				
绳	sen22				
善	sen32				
扇	sen33				
升	sen33				
食	set32				
设	set55				
虱	set55				
色	set55				
式	set55				
愁	seu22				
瘦	seu33				
时	si22				
竖	si32				
树	si32				
柿	si32				
市	si32				
书	si33				
输	si33				
试	si33				
鼠	si55				
石	siak32	siak21			
勺	siak55				
尝	siaŋ22				
城	siaŋ22				
伤	siaŋ33				
上	siaŋ33				
声	siaŋ33	sen33			
舌	siet32				
烧	sieu33				
蛇	siɛ22				
射	siɛ32				
深	sim33				
神	sin22				
辰	sin22				
身	sin33				
十	sip32				
实	sit32				
失	sit55				
寿	siu32				
手	siu55				
数	su33				
数	su55				
所	suɔ55				
使	suɔi55				
船	suɔn22				
垂	sui22				
水	sui55				
唇	sun22				
纯	sun22				
顺	sun32				
僧	taŋ33				
杂	tap32				
集	tap32				
灶	tɑu32				
糙	tɑu32				
造	tɑu32				
早	tɑu55				
作	tɔk55				
姐	tei55				
族	təɯk32				
足	təɯk55				
粽	təɯŋ21				
静	ten32				
垫	ten33				
剪	ten55				
截	tet32				
席	tet32				
积	tet55				
节	tet55	tet33			
走	teu55				
贼	tʰak32				
蚕	tʰam22				
参	tʰam33				
层	tʰaŋ22				
草	tʰɑu55				
仓	tʰɔŋ33				
窗	tʰɔŋ33				
葱	tʰəɯŋ21				
松	tʰəɯŋ22				
钱	tʰen22				
前	tʰen22				
清	tʰen33				
浅	tʰen55				
切	tʰet33				
凑	tʰeu33				
青	tʰiaŋ33	tʰen33			
抢	tʰiaŋ55				
签	tʰiem33				
斜	tʰiɛ22				
寻	tʰim22				
亲	tʰin33				
七	tʰit55				
坐	tʰuɔ33				
错	tʰuɔ33				
财	tʰuɔi22				
菜	tʰuɔi33				
徐	tʰui22				
随	tʰui22				
取	tʰui55				
全	tʰun22				
传	tʰun22				
村	tʰun33				
寸	tʰun33				
雀	tiak55				
像	tiaŋ32				
浆	tiaŋ33				
匠	tiaŋ33				
井	tiaŋ55				
尖	tiem33				
接	tiep33				
焦	tieu33				
谢	tiɛ32				
借	tiɛ33				
浸	tim33				
进	tin33				
习	tip32				
袖	tiu32				
酒	tiu55				
字	tu32				
寺	tu32				
租	tu33				
做	tu33				
资	tu33				
紫	tu55				
子	tu55				
左	tuɔ55				
罪	tui32				
醉	tui33				
嘴	tui55				
蹲	tun33				
俊	tun33				
绝	tut32				
卒	tut55				
制	ʦai33				
择	ʦak32				
摘	ʦak32				
窄	ʦak33				
侧	ʦak55				
赚	ʦan32				
争	ʦaŋ33				
闸	ʦap32				
扎	ʦat33				
罩	ʦɑu33				
抓	ʦɑu55				
找	ʦɑu55				
撞	ʦɔŋ32				
装	ʦɔŋ33				
壮	ʦɔŋ33				
桩	ʦɔŋ33				
镯	ʦəɯk32				
竹	ʦəɯk55				
粥	ʦəɯk55				
烛	ʦəɯk55				
重	ʦəɯŋ32				
中	ʦəɯŋ33				
终	ʦəɯŋ33				
种	ʦəɯŋ33				
肿	ʦəɯŋ55				
剩	ʦen32				
战	ʦen33				
证	ʦen33				
贞	ʦen33				
正	ʦen33				
整	ʦen55				
直	ʦet32				
织	ʦet55				
茶	ʦʰa22				
柴	ʦʰai22				
拆	ʦʰak33				
测	ʦʰak55				
策	ʦʰak55				
杉	ʦʰam33				
铲	ʦʰan55				
产	ʦʰan55				
插	ʦʰap33				
擦	ʦʰat33				
刷	ʦʰat33				
抄	ʦʰɑu33				
床	ʦʰɔŋ22				
疮	ʦʰɔŋ33				
厂	ʦʰɔŋ55				
畜	ʦʰəɯk55				
虫	ʦʰəɯŋ22				
充	ʦʰəɯŋ33				
冲	ʦʰəɯŋ33				
缠	ʦʰen22				
程	ʦʰen22				
秤	ʦʰen33	ʦʰen21			
抽	ʦʰeu33				
池	ʦʰi22				
迟	ʦʰi22				
尺	ʦʰiak33				
桌	ʦʰiak55				
长	ʦʰiaŋ22				
唱	ʦʰiaŋ33				
撤	ʦʰiet55				
朝	ʦʰieu22				
车	ʦʰiɛ33				
沉	ʦʰim22				
陈	ʦʰin22				
绸	ʦʰiu22				
臭	ʦʰiu33				
锄	ʦʰuɔ22				
初	ʦʰuɔ33				
柱	ʦʰui21				
除	ʦʰui22				
锤	ʦʰui22				
吹	ʦʰui33				
传	ʦʰun22				
春	ʦʰun33				
出	ʦʰut55				
住	ʦi32				
治	ʦi32				
猪	ʦi33				
知	ʦi33				
主	ʦi55				
纸	ʦi55				
指	ʦi55				
着	ʦiak32				
张	ʦiaŋ33				
章	ʦiaŋ33				
占	ʦiem33				
折	ʦiep33				
照	ʦieu33				
针	ʦim33				
镇	ʦin33				
震	ʦin55				
汁	ʦip55				
侄	ʦit32				
州	ʦiu33				
转	ʦuɔn55				
追	ʦui33				
砖	ʦun33				
准	ʦun55				
华	ʋa22				
话	ʋa32				
怀	ʋai22				
坏	ʋai32				
歪	ʋai55				
或	ʋak32				
划	ʋak32				
画	ʋak32				
还	ʋan22				
还	ʋan22				
弯	ʋan33				
横	ʋaŋ22				
滑	ʋat32				
挖	ʋat33				
