字目	读音	注释	声母	韵母	声调	重复数	潮语拼音	罗马字拼音	(声母)	(声母序)	(韵母序)	(调序)	同音字个数	ID(暂定)	音节序(暂定)	文白区别工程
比	=D12&E12&F12		p	i	53	=COUNTIF(A:A,A12)	=IF(D12=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D12=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D12=0,"〇",D12)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I12)	1760	=IF(B12=B11,P11,P11+1)	=IF(LEN(C12)-LEN(SUBSTITUTE(C12,"白",""))=1,"白",(IF(LEN(C12)-LEN(SUBSTITUTE(C12,"文",""))=1,"文",(IF(LEN(C12)-LEN(SUBSTITUTE(C12,"训",""))=1,"训","无")))))
畀	=D13&E13&F13		p	i	53	=COUNTIF(A:A,A13)	=IF(D13=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D13=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D13=0,"〇",D13)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I13)	6738	=IF(B13=B12,P12,P12+1)	=IF(LEN(C13)-LEN(SUBSTITUTE(C13,"白",""))=1,"白",(IF(LEN(C13)-LEN(SUBSTITUTE(C13,"文",""))=1,"文",(IF(LEN(C13)-LEN(SUBSTITUTE(C13,"训",""))=1,"训","无")))))
被	=D14&E14&F14		p	i	13	=COUNTIF(A:A,A14)	=IF(D14=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D14=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D14=0,"〇",D14)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I14)	1772	=IF(B14=B13,P13,P13+1)	=IF(LEN(C14)-LEN(SUBSTITUTE(C14,"白",""))=1,"白",(IF(LEN(C14)-LEN(SUBSTITUTE(C14,"文",""))=1,"文",(IF(LEN(C14)-LEN(SUBSTITUTE(C14,"训",""))=1,"训","无")))))
幣	=D15&E15&F15		p	i	13	=COUNTIF(A:A,A15)	=IF(D15=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D15=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D15=0,"〇",D15)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I15)	1780	=IF(B15=B14,P14,P14+1)	=IF(LEN(C15)-LEN(SUBSTITUTE(C15,"白",""))=1,"白",(IF(LEN(C15)-LEN(SUBSTITUTE(C15,"文",""))=1,"文",(IF(LEN(C15)-LEN(SUBSTITUTE(C15,"训",""))=1,"训","无")))))
備	=D16&E16&F16		p	i	13	=COUNTIF(A:A,A16)	=IF(D16=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D16=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D16=0,"〇",D16)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I16)	1781	=IF(B16=B15,P15,P15+1)	=IF(LEN(C16)-LEN(SUBSTITUTE(C16,"白",""))=1,"白",(IF(LEN(C16)-LEN(SUBSTITUTE(C16,"文",""))=1,"文",(IF(LEN(C16)-LEN(SUBSTITUTE(C16,"训",""))=1,"训","无")))))
憊	=D17&E17&F17		p	i	13	=COUNTIF(A:A,A17)	=IF(D17=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D17=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D17=0,"〇",D17)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I17)	1782	=IF(B17=B16,P16,P16+1)	=IF(LEN(C17)-LEN(SUBSTITUTE(C17,"白",""))=1,"白",(IF(LEN(C17)-LEN(SUBSTITUTE(C17,"文",""))=1,"文",(IF(LEN(C17)-LEN(SUBSTITUTE(C17,"训",""))=1,"训","无")))))
婢	=D18&E18&F18		p	i	13	=COUNTIF(A:A,A18)	=IF(D18=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D18=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D18=0,"〇",D18)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I18)	6012	=IF(B18=B17,P17,P17+1)	=IF(LEN(C18)-LEN(SUBSTITUTE(C18,"白",""))=1,"白",(IF(LEN(C18)-LEN(SUBSTITUTE(C18,"文",""))=1,"文",(IF(LEN(C18)-LEN(SUBSTITUTE(C18,"训",""))=1,"训","无")))))
背	=D19&E19&F19	提重物	p	i	21	=COUNTIF(A:A,A19)	=IF(D19=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D19=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D19=0,"〇",D19)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I19)	1764	=IF(B19=B18,P18,P18+1)	=IF(LEN(C19)-LEN(SUBSTITUTE(C19,"白",""))=1,"白",(IF(LEN(C19)-LEN(SUBSTITUTE(C19,"文",""))=1,"文",(IF(LEN(C19)-LEN(SUBSTITUTE(C19,"训",""))=1,"训","无")))))
臂	=D20&E20&F20		p	i	21	=COUNTIF(A:A,A20)	=IF(D20=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D20=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D20=0,"〇",D20)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I20)	1765	=IF(B20=B19,P19,P19+1)	=IF(LEN(C20)-LEN(SUBSTITUTE(C20,"白",""))=1,"白",(IF(LEN(C20)-LEN(SUBSTITUTE(C20,"文",""))=1,"文",(IF(LEN(C20)-LEN(SUBSTITUTE(C20,"训",""))=1,"训","无")))))
秘	=D21&E21&F21		p	i	21	=COUNTIF(A:A,A21)	=IF(D21=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D21=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D21=0,"〇",D21)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I21)	1766	=IF(B21=B20,P20,P20+1)	=IF(LEN(C21)-LEN(SUBSTITUTE(C21,"白",""))=1,"白",(IF(LEN(C21)-LEN(SUBSTITUTE(C21,"文",""))=1,"文",(IF(LEN(C21)-LEN(SUBSTITUTE(C21,"训",""))=1,"训","无")))))
泌	=D22&E22&F22		p	i	21	=COUNTIF(A:A,A22)	=IF(D22=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D22=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D22=0,"〇",D22)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I22)	1767	=IF(B22=B21,P21,P21+1)	=IF(LEN(C22)-LEN(SUBSTITUTE(C22,"白",""))=1,"白",(IF(LEN(C22)-LEN(SUBSTITUTE(C22,"文",""))=1,"文",(IF(LEN(C22)-LEN(SUBSTITUTE(C22,"训",""))=1,"训","无")))))
庇	=D23&E23&F23		p	i	21	=COUNTIF(A:A,A23)	=IF(D23=0,VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!A:B,2,FALSE)&VLOOKUP(E:E,拼音!F:G,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D23=0,VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE),VLOOKUP(D:D,拼音!C:D,2,FALSE)&VLOOKUP(E:E,拼音!H:I,2,FALSE)&VLOOKUP(草稿!F:F,拼音!K:L,2,FALSE))	=IF(D23=0,"〇",D23)	=VLOOKUP(J:J,拼音!C:E,3,FALSE)	=VLOOKUP(E:E,拼音!H:J,3,FALSE)	=VLOOKUP(F:F,拼音!K:O,5,FALSE)	=COUNTIF(I:I,I23)	1768	=IF(B23=B22,P22,P22+1)	=IF(LEN(C23)-LEN(SUBSTITUTE(C23,"白",""))=1,"白",(IF(LEN(C23)-LEN(SUBSTITUTE(C23,"文",""))=1,"文",(IF(LEN(C23)-LEN(SUBSTITUTE(C23,"训",""))=1,"训","无")))))
