调值	[1](阴平31 [2]阳平35 [3]上声213 [5]去声52 [7]阴入5 [8]阳入45 [0]轻声)		
要	iɔ	5	
邮	iəɯ	2	
油	iəɯ	2	
蚰	iəɯ	2	
有	iəɯ	3	
热	iəʔ	8	白，发~
揖	iəʔ	7	作~
染	iɪ	3	
烟	iɪ	1	
言	iɪ	2	
炎	iɪ	2	
阎	iɪ	2	
䞁	iɪ	5	量，比
爷	iɪ	2	文，小~：叔叔
页	iɪʔ	5	
一	iɪʔ	7	
衣	iᶨ	1	
饴	iᶨ	2	
以	iᶨ	3	
椅	iᶨ	3	
意	iᶨ	5	
音	iŋ	1	
印	iŋ	5	
应	iŋ	1	
应	iŋ	5	
樱	iŋ	1	
鹦	iŋ	1	
瀴	iŋ	5	冷、凉
萤	iŋ	2	
圆	io	2	
院	io	5	
愿	io	5	
雄	ioŋ	2	白，~鸡
用	ioŋ	5	
䔨	ioŋ	1	~菜
玉	ioʔ	7	白
欲	ioʔ	7	
月	ioʔ	8	
抈	ioʔ	7	折
尬	kɑ	5	
加	kɑ	1	白，~子：围嘴
家	kɑ	1	白
架	kɑ	5	白
肝	kæɳ	1	文
尴	kæɳ	1	
敢	kæɳ	3	文
间	kæɳ	1	白
间	kæɳ	5	白
拣	kæɳ	3	
减	kæɳ	3	白
裥	kæɳ	3	衣服上打的褶
碱	kæɳ	3	
夹	kæʔ	7	
甲	kæʔ	7	白，马~
轧	kæʔ	8	挤，压
肛	kɑŋ	1	
𠵹	kɑŋ	1	~丧：吵架
江	kɑŋ	1	白
讲	kɑŋ	3	白
疙	kɑʔ	7	癞~宝：癞蛤蟆
个	kɑʔ	7	昨~
各	kɑʔ	7	
角	kɑʔ	7	
觉	kɑʔ	7	白
高	kɔ	1	
膏	kɔ	1	
糕	kɔ	1	
告	kɔ	5	
绞	kɔ	3	拧
叫	kɔ	5	白，~花子
觉	kɔ	5	白
狗	kei	3	
哥	kəɯ	1	
个	kəɯ	5	
锅	kəɯ	1	
果	kəɯ	3	
过	kəɯ	5	
根	kəŋ	1	
庚	kəŋ	1	
羹	kəŋ	1	
今	kəŋ	1	白，~朝
胳	kəʔ	7	~膊
割	kəʔ	7	
隔	kəʔ	7	
盖	kɛ	5	
街	kɛ	1	
解	kɛ	3	白
解	kɛ	5	锯
戒	kɛ	5	
居	kɛ	1	白，拥有
卡	kʰɑ	3	
揢	kʰɑ	3	卡住
砍	kʰæɳ	3	
看	kʰæɳ	1	文
看	kʰæɳ	5	文
掐	kʰæʔ	7	白
扛	kʰɑŋ	2	
囥	kʰɑŋ	5	藏
坑	kʰɑŋ	1	茅~
抠	kʰei	1	
眍	kʰei	1	眼睛深凹
口	kʰei	3	
窠	kʰəɯ	1	
掯	kʰəŋ	5	手按
瞌	kʰəʔ	7	
客	kʰəʔ	7	
隑	kʰɛ	5	斜靠
开	kʰɛ	1	
揩	kʰɛ	1	
去	kʰɛ	5	这~
□	kʰo	1	棉花~人：喻男性不育者
看	kʰo	1	白
看	kʰo	5	白
矻	kʰo	5	~𡔇：土块
宽	kʰo	1	
空	kʰoŋ	1	
空	kʰoŋ	5	
裤	kʰu	5	
环	kʰuæɳ	2	
筐	kʰuɑŋ	1	
葵	kʰuei	2	
捆	kʰuəŋ	3	
困	kʰuəŋ	5	
睏	kʰuəŋ	5	
块	kʰuɛ	5	
快	kʰuɛ	5	
筷	kʰuɛ	5	
肝	ko	1	白
敢	ko	3	白
擀	ko	3	
干	ko	1	
幹	ko	5	
个	ko	5	百十来~
观	ko	1	
观	ko	5	
官	ko	1	
棺	ko	1	
罐	ko	5	
乾	ko	1	
肛	koŋ	1	胴~：肛门
工	koŋ	1	
公	koŋ	1	
角	koʔ	7	
姑	ku	1	
古	ku	3	
故	ku	5	
瓜	kuɑ	1	
挂	kuɑ	5	
关	kuæɳ	1	
掼	kuæɳ	5	
刮	kuæʔ	7	
光	kuɑŋ	1	
龟	kuei	1	
柜	kuei	5	
贵	kuei	5	
跪	kuei	5	
滚	kuəŋ	3	
棍	kuəŋ	5	
乖	kuɛ	1	
拐	kuɛ	3	
怪	kuɛ	5	
骨	kuoʔ	7	
郭	kuoʔ	7	
国	kuoʔ	7	
拉	lɑ	1	
癞	lɑ	2	~子：秃子
𡔇	lɑ	1	矻~：土块
哪	lɑ	3	
遗	lɑ	2	~屎
蓝	læɳ	2	
烂	læɳ	5	
蜡	læʔ	8	
辣	læʔ	8	
郎	lɑŋ	2	
榔	lɑŋ	2	
螂	lɑŋ	2	
㫰	lɑŋ	5	
落	lɑʔ	8	
牢	lɔ	2	
老	lɔ	3	
了	lə	0	
雷	lei	2	
泪	lei	5	
流	lei	2	
蝼	lei	2	
啰	ləɯ	1	
萝	ləɯ	2	
脶	ləɯ	2	指纹
螺	ləɯ	1	
螺	ləɯ	2	
那	ləɯ	5	白
塄	ləŋ	2	做~子：在耕地上培成的成型土埂
冷	ləŋ	3	
愣	ləŋ	5	
轮	ləŋ	2	~盘
擸	ləʔ	8	~𢶍：垃圾
来	lɛ	2	
癞	lɛ	5	
良	liɑŋ	2	
凉	liɑŋ	2	
梁	liɑŋ	2	
粱	liɑŋ	2	
两	liɑŋ	3	
亮	liɑŋ	5	
辆	liɑŋ	5	
晾	liɑŋ	5	
了	liɔ	3	
䩍	liɔ	2	脸色苍白
料	liɔ	5	
力	liəʔ	8	
猎	liəʔ	8	
□	liɪ	2	让带水物自行滴干
连	liɪ	2	
莲	liɪ	2	
脸	liɪ	3	
列	liɪʔ	8	
梨	liᶨ	2	
劙	liᶨ	5	用刀割
里	liᶨ	3	
裏	liᶨ	3	
利	liᶨ	5	
拎	liŋ	1	
邻	liŋ	2	
林	liŋ	2	
凌	liŋ	2	
领	liŋ	3	
乱	lo	5	
龙	loŋ	2	
聋	loŋ	2	
笼	loŋ	2	
弄	loŋ	5	白，~堂
芦	lu	2	
炉	lu	2	
攎	lu	2	收拢一起
路	lu	5	
露	lu	5	
乳	lu	3	
轮	luəŋ	2	三~车
六	luəʔ	8	
鹿	luəʔ	8	
绿	luəʔ	8	
吕	lyᶨ	3	
妈	mɑ	1	
麻	mɑ	2	
嫲	mɑ	3	~~：老婆
马	mɑ	3	
码	mɑ	3	
蚂	mɑ	3	
蛮	mæɳ	2	
慢	mæɳ	5	
抹	mæʔ	8	
麻	mɑŋ	0	另读，肉~：疼
芒	mɑŋ	2	
盲	mɑŋ	2	
抹	mɑʔ	8	~布
猫	mɔ	2	白
猫	mɔ	1	文
毛	mɔ	2	
茅	mɔ	2	
帽	mɔ	5	
眉	mei	2	
媒	mei	2	
美	mei	3	
么	məɯ	0	
摩	məɯ	2	
母	məɯ	3	
母	məɯ	3	
墓	məɯ	5	
门	məŋ	2	
们	məŋ	0	
幪	məŋ	3	密
明	məŋ	2	白，~朝
物	məʔ	8	~事
买	mɛ	3	
卖	mɛ	5	
庙	miɔ	5	
棉	miɪ	2	
面	miɪ	5	
麪	miɪ	5	
迷	miᶨ	2	
谜	miᶨ	2	
米	miᶨ	3	
渳	miᶨ	1	小口少量喝
名	miŋ	2	
明	miŋ	2	文
脗	miŋ	3	合拢缝隙
馒	mo	2	
满	mo	3	
漫	mo	1	
麦	moʔ	8	
木	moʔ	8	
□	mu	2	膝头~子：膝盖
拇	mu	0	
墓	mu	5	
拿	nɑ	2	
那	nɑ	5	文
罱	næɳ	5	~泥
难	næɳ	2	
难	næɳ	5	
脑	nɔ	3	
闹	nɔ	5	
怒	nəɯ	5	
嫩	nəŋ	5	
奶	nɛ	3	
奶	nɛ	1	~子：乳房
娘	niɑŋ	2	
掿	niɑʔ	8	揉
尿	niɔ	5	文
镊	niəʔ	7	
热	niəʔ	8	~水瓶、眼~
年	niɪ	2	
严	niɪ	2	
日	niɪʔ	8	过生~
泥	niᶨ	2	
你	niᶨ	3	
男	no	2	
南	no	2	
弄	noŋ	5	文
女	nyᶨ	3	
垩	ŋɑ	1	施肥，~田
丫	ŋɑ	1	~头
鸦	ŋɑ	1	~雀：喜鹊
牙	ŋɑ	2	白
伢	ŋɑ	2	
挜	ŋɑ	1	强加，或善意给
□	ŋæɳ	5	~ iɑŋ1：订婚
按	ŋæɳ	5	文
淹	ŋæɳ	1	
眼	ŋæɳ	3	白
雁	ŋæɳ	5	白，风~：风筝
压	ŋæʔ	7	
轧	ŋæʔ	8	
齾	ŋæʔ	8	弄缺
项	ŋɑŋ	5	颈~
熬	ŋɔ	2	
袄	ŋɔ	3	
拗	ŋɔ	1	~子：有脚脚盆
牛	ŋei	2	
纽	ŋei	3	
耳	ŋəɯ	1	~屎耙子
我	ŋəɯ	3	
硬	ŋəŋ	5	
额	ŋəʔ	8	
艾	ŋɛ	5	
呆	ŋɛ	2	
岸	ŋo	5	白，河~
岸	o	5	文
按	o	5	白
豌	o	1	
完	o	2	白
碗	o	3	
腕	o	5	白
横	oŋ	2	白
横	oŋ	5	白
屋	oʔ	7	
□	pɑ	1	牙齿不齐，向口外突出
巴	pɑ	1	
扒	pɑ	1	
疤	pɑ	1	
把	pɑ	3	
把	pɑ	5	
班	pæɳ	1	
板	pæɳ	3	
八	pæʔ	7	
帮	pɑŋ	1	
浜	pɑŋ	1	
绑	pɑŋ	3	
膀	pɑŋ	3	
棒	pɑŋ	5	
薄	pɑʔ	8	
包	pɔ	1	
饱	pɔ	3	
宝	pɔ	3	
保	pɔ	3	
杯	pei	1	
碑	pei	1	
背	pei	1	
背	pei	5	
倍	pei	5	
被	pei	5	
褙	pei	5	~花儿：绣花
笨	pəŋ	5	
荸	pəʔ	7	
膊	pəʔ	7	胳~
不	pəʔ	7	
摆	pɛ	3	
耙	pʰɑ	2	
爬	pʰɑ	2	
怕	pʰɑ	5	
攀	pʰæɳ	1	
爿	pʰæɳ	2	竹~：竹片
襻	pʰæɳ	5	器具的提梁
膀	pʰɑŋ	2	腿
傍	pʰɑŋ	5	~晚
旁	pʰɑŋ	2	
胖	pʰɑŋ	5	
炮	pʰɔ	5	
婆	pʰəɯ	2	
破	pʰəɯ	5	
剖	pʰəɯ	5	
埲	pʰəŋ	1	~尘：尘土
盆	pʰəŋ	2	
朋	pʰəŋ	2	
蓬	pʰəŋ	2	
飘	pʰiɔ	1	
漂	pʰiɔ	1	
漂	pʰiɔ	5	
撇	pʰiəʔ	7	
□	pʰiɪ	5	小孩好动
便	pʰiɪ	2	
骗	pʰiɪ	5	
匹	pʰiɪʔ	7	
𠜱	pʰiᶨ	1	用刀平着切肉
皮	pʰiᶨ	2	
屁	pʰiᶨ	5	
姘	pʰiŋ	1	
平	pʰiŋ	2	
瓶	pʰiŋ	2	
盘	pʰo	2	
婆	pʰo	2	~~
□	pʰoʔ	7	肥而松
拍	pʰoʔ	7	
潽	pʰu	1	满溢
菩	pʰu	2	
葡	pʰu	2	
边	piɪ	1	
变	piɪ	5	
便	piɪ	1	大~
鼻	piɪʔ	8	
笔	piɪʔ	7	
壁	piɪʔ	7	
别	piɪʔ	8	
鐾	piᶨ	5	在粗糙的表面摩擦
冰	piŋ	1	
兵	piŋ	1	
并	piŋ	5	
病	piŋ	1	
白	poʔ	8	白
白	poʔ	7	文，~头公：白头翁
百	poʔ	7	
薄	poʔ	7	~刀：菜刀
北	poʔ	7	
卜	poʔ	7	
蔔	poʔ	8	萝~
布	pu	5	
步	pu	5	
部	pu	5	
伏	pu	5	孵
撒	sɑ	1	
撒	sɑ	3	
沙	sɑ	1	
痧	sɑ	1	起~：中暑
蛇	sɑ	2	
射	sɑ	5	
三	sæɳ	1	
伞	sæɳ	3	
散	sæɳ	3	
散	sæɳ	5	
山	sæɳ	1	
衫	sæɳ	1	
萨	sæʔ	7	
桑	sɑŋ	1	
丧	sɑŋ	5	
伤	sɑŋ	1	
上	sɑŋ	5	
裳	sɑŋ	5	
勺	sɑʔ	8	
射	sɑʔ	8	~尿
嗦	sɑʔ	7	
索	sɑʔ	7	
□	sɔ	1	舞~：人躺在地上乱蹬
扫	sɔ	3	
扫	sɔ	5	~帚
嫂	sɔ	3	
瘙	sɔ	1	~子：粉刺
烧	sɔ	1	
少	sɔ	3	
少	sɔ	5	
收	sei	1	
手	sei	3	
受	sei	5	
馊	sei	1	
梳	səɯ	1	~头
唆	səɯ	1	
所	səɯ	3	
辰	səŋ	2	~光
蹲	səŋ	2	
身	səŋ	1	
婶	səŋ	3	
甚	səŋ	5	
生	səŋ	1	
声	səŋ	1	
牲	səŋ	1	
绳	səŋ	2	
塞	səʔ	7	
舌	səʔ	7	
甚	səʔ	8	~底：什么
虱	səʔ	7	
十	səʔ	8	
石	səʔ	8	
食	səʔ	8	
𢶍	səʔ	8	擸~:垃圾
塞	sɛ	5	
蓑	so	1	~衣
松	soŋ	1	
送	soŋ	5	
叔	soʔ	7	
续	soʔ	7	
师	sɿ	1	
屎	sɿ	3	
事	sɿ	5	
司	sɿ	1	
思	sɿ	1	
死	sɿ	3	
四	sɿ	5	
霜	suɑŋ	1	
爽	suɑŋ	3	
尿	suei	1	白
谁	suei	2	
水	suei	3	
俗	suəʔ	8	
缩	suəʔ	7	
打	tɑ	3	
大	tɑ	1	文
大	tɑ	5	文
爹	tɑ	5	~~:伯伯
单	tæɳ	1	
胆	tæɳ	3	
蛋	tæɳ	5	
搭	tæʔ	7	
当	tɑŋ	1	
当	tɑŋ	5	
党	tɑŋ	3	
宕	tɑŋ	5	
荡	tɑŋ	5	
蕩	tɑŋ	5	
盪	tɑŋ	5	
耷	tɑʔ	7	凸
沰	tɑʔ	7	
刀	tɔ	1	
到	tɔ	5	
倒	tɔ	3	
倒	tɔ	5	
稻	tɔ	5	
朵	tɔ	0	耳~
桃	tɔ	2	
茄	tɕʰiɑ	2	
掐	tɕʰiæʔ	7	文
腔	tɕʰiɑŋ	1	
墙	tɕʰiɑŋ	2	
雀	tɕʰiɑʔ	7	
确	tɕʰiɑʔ	7	
缲	tɕʰiɔ	1	卷衣边缝上
桥	tɕʰiɔ	2	
巧	tɕʰiɔ	3	
翘	tɕʰiɔ	5	
丘	tɕʰiəɯ	1	
秋	tɕʰiəɯ	1	
鳅	tɕʰiəɯ	1	
搝	tɕʰiəɯ	3	
吃	tɕʰiəʔ	7	
七	tɕʰiəʔ	7	
缠	tɕʰiɪ	2	
千	tɕʰiɪ	1	
扦	tɕʰiɪ	5	插
前	tɕʰiɪ	2	
钱	tɕʰiɪ	2	
钳	tɕʰiɪ	2	
乾	tɕʰiɪ	2	
挦	tɕʰiɪ	2	拔禽兽毛
戚	tɕʰiɪʔ	7	
奇	tɕʰiᶨ	2	
起	tɕʰiᶨ	3	
气	tɕʰiᶨ	5	
娶	tɕʰiᶨ	3	
亲	tɕʰiŋ	1	
揿	tɕʰiŋ	5	按
青	tɕʰiŋ	1	
轻	tɕʰiŋ	1	
清	tɕʰiŋ	1	
情	tɕʰiŋ	2	
船	tɕʰio	2	
权	tɕʰio	2	
全	tɕʰio	2	
拳	tɕʰio	2	
琼	tɕʰioŋ	2	
出	tɕʰioʔ	7	
缺	tɕʰioʔ	7	
雀	tɕʰioʔ	7	
春	tɕʰyəŋ	1	
皴	tɕʰyəŋ	1	
寸	tɕʰyəŋ	5	
裙	tɕʰyəŋ	2	
群	tɕʰyəŋ	2	
厨	tɕʰyᶨ	2	
厨	tɕʰyᶨ	2	
橱	tɕʰyᶨ	2	
楚	tɕʰyᶨ	3	
醋	tɕʰyᶨ	5	
渠	tɕʰyᶨ	2	
去	tɕʰyᶨ	5	
加	tɕiɑ	1	文
家	tɕiɑ	1	文
贾	tɕiɑ	3	
架	tɕiɑ	5	文
蠽	tɕiɑ	2	~蝼：知了
姐	tɕiɑ	3	白，~~
间	tɕiæɳ	1	
间	tɕiæɳ	5	
减	tɕiæɳ	3	文
甲	tɕiæʔ	7	文
江	tɕiɑŋ	1	文
将	tɕiɑŋ	1	
将	tɕiɑŋ	5	
姜	tɕiɑŋ	1	
讲	tɕiɑŋ	3	文
犟	tɕiɑŋ	5	
□	tɕiɑʔ	7	~猪：公猪
甲	tɕiɑʔ	7	~鱼
脚	tɕiɑʔ	7	
觉	tɕiɑʔ	7	文
□	tɕiɔ	0	人称复数
焦	tɕiɔ	1	
挢	tɕiɔ	5	撬
饺	tɕiɔ	3	
叫	tɕiɔ	5	
叫	tɕiɔ	5	文
觉	tɕiɔ	5	文
九	tɕiəɯ	3	
酒	tɕiəɯ	3	
旧	tɕiəɯ	5	
就	tɕiəɯ	5	
舅	tɕiəɯ	5	
急	tɕiəʔ	7	
接	tɕiəʔ	7	
结	tɕiəʔ	7	
姐	tɕiɛ	3	文
解	tɕiɛ	3	文
尖	tɕiɪ	1	
肩	tɕiɪ	1	
搛	tɕiɪ	1	~菜
检	tɕiɪ	3	
剪	tɕiɪ	3	
见	tɕiɪ	5	
毽	tɕiɪ	5	
溅	tɕiɪ	5	
欠	tɕiɪ	5	
积	tɕiɪʔ	7	
脊	tɕiɪʔ	7	
机	tɕiᶨ	1	
鸡	tɕiᶨ	1	
箕	tɕiᶨ	1	
挤	tɕiᶨ	3	
记	tɕiᶨ	5	
荠	tɕiᶨ	1	
济	tɕiᶨ	3	~手：左手
济	tɕiᶨ	5	
寄	tɕiᶨ	5	
奇	tɕiᶨ	1	
巾	tɕiŋ	1	
今	tɕiŋ	1	文
紧	tɕiŋ	3	
近	tɕiŋ	5	
经	tɕiŋ	1	
精	tɕiŋ	1	
颈	tɕiŋ	3	
净	tɕiŋ	5	
敬	tɕiŋ	5	
绢	tɕio	1	
脚	tɕioʔ	7	百~：蜈蚣
抓	tɕyɑ	1	
菌	tɕyəŋ	1	
蕈	tɕyəŋ	1	~子：蘑菇
局	tɕyəʔ	8	
橘	tɕyəʔ	7	
绝	tɕyəʔ	8	
居	tɕyᶨ	1	文
句	tɕyᶨ	5	
苣	tɕyᶨ	5	
锯	tɕyᶨ	5	
朱	tɕyᶨ	1	
珠	tɕyᶨ	1	
猪	tɕyᶨ	1	
蛛	tɕyᶨ	1	
柱	tɕyᶨ	5	
疰	tɕyᶨ	5	~夏
著	tɕyᶨ	5	
箸	tɕyᶨ	5	
祖	tɕyᶨ	3	
斗	tei	3	
斗	tei	5	
豆	tei	5	
对	tei	5	
多	təɯ	1	
朵	təɯ	3	
躲	təɯ	3	
灯	təŋ	1	
凳	təŋ	5	
驐	təŋ	5	阉割
夺	təʔ	8	
大	tɛ	5	白，~蒜
呆	tɛ	1	
带	tɛ	5	
待	tɛ	5	
他	tʰɑ	1	
坍	tʰæɳ	1	
坍	tʰæɳ	5	~tsoŋ1：丢脸
摊	tʰæɳ	1	
滩	tʰæɳ	1	
瘫	tʰæɳ	1	
痰	tʰæɳ	2	
叹	tʰæɳ	5	
搨	tʰæʔ	7	涂
踏	tʰæʔ	7	
蹋	tʰæʔ	7	
𢴳	tʰɑŋ	1	挡、用手推
堂	tʰɑŋ	2	
塘	tʰɑŋ	2	
糖	tʰɑŋ	2	
烫	tʰɑŋ	5	
趟	tʰɑŋ	5	
掏	tʰɔ	1	
逃	tʰɔ	2	
桃	tʰɔ	2	
萄	tʰɔ	2	
偷	tʰei	1	
头	tʰei	2	
推	tʰei	1	
退	tʰei	5	
蜕	tʰəɯ	5	
拖	tʰəɯ	1	
驼	tʰəɯ	2	
疼	tʰəŋ	2	
吞	tʰəŋ	1	
台	tʰɛ	2	
太	tʰɛ	5	
调	tʰiɔ	2	
条	tʰiɔ	2	
踢	tʰiəʔ	7	
铁	tʰiəʔ	7	
天	tʰiɪ	1	
添	tʰiɪ	1	
田	tʰiɪ	2	
填	tʰiɪ	2	
掭	tʰiɪ	1	延火
踢	tʰiɪʔ	7	
体	tʰiᶨ	3	
剃	tʰiᶨ	5	
厅	tʰiŋ	1	
蜓	tʰiŋ	2	
□	tʰo	5	ho5 ~：吸吐
团	tʰo	2	
通	tʰoŋ	1	
同	tʰoŋ	2	
筒	tʰoŋ	1	烟~：烟囱
筒	tʰoŋ	3	
图	tʰu	2	
土	tʰu	3	
吐	tʰu	3	
吐	tʰu	5	
拖	tʰu	1	
唾	tʰu	5	
推	tʰuei	1	~板
脱	tʰuəʔ	7	
的	ti	0	
底	tiɑ	3	~辰光
爹	tiɑ	5	~~：爸爸
刁	tiɔ	1	
调	tiɔ	5	
掉	tiɔ	5	
点	tiɪ	3	
电	tiɪ	5	
店	tiɪ	5	
的	tiɪʔ	7	
滴	tiɪʔ	7	
扚	tiɪʔ	7	
渧	tiɪʔ	7	滴下
地	tiᶨ	5	文
地	tiᶨ	1	白
底	tiᶨ	3	
弟	tiᶨ	5	
第	tiᶨ	5	
澄	tiŋ	5	沉淀
钉	tiŋ	1	
钉	tiŋ	1	
钉	tiŋ	5	
顶	tiŋ	3	
定	tiŋ	5	
短	to	3	
东	toŋ	1	
冬	toŋ	1	
动	toŋ	5	
冻	toŋ	5	
洞	toŋ	5	
胴	toŋ	5	~肛：肛门
□	toʔ	5	拿着物体权衡轻重
厾	toʔ	7	丢、扔、甩
𧰵	toʔ	7	缝纫
沰	toʔ	7	
灒	tsæɳ	5	物体突然跃起
㜺	tsæɳ	3	美好
盏	tsæɳ	3	
栈	tsæɳ	5	~房：旅馆
劗	tsæɳ	1	剁、用力斩
杂	tsæʔ	7	
扎	tsæʔ	7	
□	tsɑŋ	5	~螺：蜗牛
髒	tsɑŋ	1	
脏	tsɑŋ	1	
葬	tsɑŋ	5	
臟	tsɑŋ	5	内~
张	tsɑŋ	1	
章	tsɑŋ	1	
长	tsɑŋ	3	
丈	tsɑŋ	5	
仗	tsɑŋ	5	
杖	tsɑŋ	5	
帐	tsɑŋ	5	
账	tsɑŋ	5	
桩	tsɑŋ	1	
着	tsɑʔ	7	~棋：下棋；穿衣服
着	tsɑʔ	8	~火
斫	tsɑʔ	7	
作	tsɑʔ	7	
朝	tsɔ	1	
遭	tsɔ	1	
糟	tsɔ	1	
早	tsɔ	3	
枣	tsɔ	3	
澡	tsɔ	3	
灶	tsɔ	5	
招	tsɔ	1	
爪	tsɔ	3	
照	tsɔ	5	
帚	tsei	3	
走	tsei	3	
左	tsəɯ	3	
座	tsəɯ	5	
做	tsəɯ	5	
僧	tsəŋ	1	存疑
怎	tsəŋ	3	
针	tsəŋ	1	
蒸	tsəŋ	1	
正	tsəŋ	1	
正	tsəŋ	5	
