#参考资料 《宣州片吴语音韵研究》
#调值 [1]阴平53 [2]阳平31 [3]上声55 [5]去声35 [7]入声214

#ɿ
ts [1]知支资脂滋辎之 [3]挤紫纸姊指子滓止 [5]制智致至置治志
l [2]罗脶 [7]落
ɦɾ [2]驼 [7]毒
ts [7]作桌捉
tsʰ [1]搓 [7]错戳
s [3]锁 [7]索
ɦz [5]坐座 [7]昨
k [1]哥锅 [3]果 [5]个过 [7]各胳郭角
kʰ [1]棵 [3]可 [5]课 [7]阔扩确壳
ŋ [2]鹅讹 [5]饿
x [3]火 [5]货 [7]霍
ɣ [2]河和 [3]祸 [5]贺 [7]学
Ø [7]鹤

#io
tɕ [7]脚
tɕʰ [7]雀鹊
ȵ [7]弱
ɕ [7]屑削
Ø [7]约药岳

#a
p [1]巴 [3]把 [5]霸 [7]八
pʰ [5]怕
m [2]麻 [3]马
f [7]法发
v [7]挖袜
ɦv [2]爬 [5]耙罢 [7]拔罚
t [1]爹 [3]打 [7]答
tʰ [7]踏塔獭
l [3]哪 [7]纳拉蜡捺辣
ɦɾ [5]大 [7]达
ts [1]渣抓 [5]榨 [7]扎
tsʰ [1]叉 [5]岔 [7]插擦察
s [1]沙杉 [3]洒 [7]萨杀
ɦz [2]茶查 [7]杂炸铡
k [1]家 [5]价 [7]夹甲
kʰ [7]掐
ŋ [1]丫 [2]牙 [3]哑 [7]鸭轧
x [1]虾 [7]瞎
ɣ [3]下{底下} [5]下{下降}

#ia
tɕ [3]假{真假}
ɦʑ [2]邪

#ua
s [7]刷
k [1]瓜 [3]寡 [5]卦 [7]刮
kʰ [3]侉 [7]括
x [1]花 [5]化
ɣ [2]划 [5]画话 [7]滑划
Ø [3]瓦 [5]彀

#ə
m [7]没
ts [7]折质卒责
tsʰ [7]册
s [7]设虱失
ɦz [7]实
kʰ [7]磕刻
ɣ [7]合

#uə
k [7]国
x [7]喝豁
ɣ [7]活或

#ɛ
p [5]拜 [7]北百
pʰ [5]派
m [2]埋 [3]买 [5]卖 [7]末墨默麦
ɦv [2]排牌 [5]稗败 [7]白
t [1]呆 [5]戴带
tʰ [1]胎 [5]态太 [7]脱突
l [2]来 [3]乃奶 [5]耐奈赖 [7]勒
ɦɾ [2]台 [5]贷待代 [7]夺特
ts [1]栽斋 [3]者宰 [5]蔗再债 [7]浙则摘只
tsʰ [1]猜钗 [3]彩 [5]菜蔡 [7]彻侧测尺
s [1]鳃筛摔 [5]赛晒帅 [7]色释
ɦz [2]才豺柴 [3]在 [7]舌侄泽石
k [1]该街 [3]改解 [5]概盖戒械 [7]葛革
kʰ [1]开揩 [3]凯楷 [5]慨
ŋ [1]哀 [2]捱 [3]矮 [5]碍爱艾蔼隘 [7]轭
x [3]海
ɣ [2]鞋还{还有} [3]亥 [5]害蟹 [7]核{审核}
Ø [2]儿而 [3]尔耳 [5]二饵

#iɛ
p [7]憋
pʰ [7]撇
m [7]灭篾
tʰ [7]帖铁
l [7]猎烈劣
ɦɾ [7]碟
tɕ [3]姐 [5]借 [7]接劫节结决
tɕʰ [3]且 [7]切缺
ȵ [7]业热孽捏
ɕ [1]靴些 [3]写 [5]泻 [7]薛雪血穴
ɦʑ [7]杰绝
Ø [3]也 [5]夜 [7]叶月越

#uɛ
k [1]乖 [3]拐 [5]怪
kʰ [5]块会筷
ɣ [2]槐 [5]坏 [7]获
Ø [1]歪 [5]外

#ɔ
p [1]褒包 [3]保饱 [5]报爆
pʰ [1]抛 [5]炮炮
m [2]毛茅矛 [3]卯牡 [5]冒貌
ɦv [2]袍跑 [5]抱暴鲍雹
t [1]刀 [3]岛 [5]到
tʰ [1]掏 [3]讨 [5]套
l [2]劳挠 [3]脑老 [5]涝闹
ɦɾ [2]桃 [5]稻盗
ts [1]遭朝{明朝}招 [3]早爪找 [5]灶罩笊照
tsʰ [1]操抄超 [3]草吵 [5]糙
s [1]臊捎烧 [3]嫂少 [5]扫稍少
ɦz [2]曹巢潮 [3]绍 [5]造赵兆召邵
k [1]高教 [3]稿搞 [5]告酵窖觉
kʰ [1]敲 [3]考 [5]靠
ŋ [2]熬 [3]袄咬 [5]傲懊
x [1]蒿 [3]好 [5]耗
ɣ [2]豪 [5]浩号

#iɔ
p [1]标彪 [3]表
pʰ [1]飘 [3]漂 [5]票
m [1]猫 [2]苗 [3]秒 [5]庙
ɦv [2]瓢
t [1]刁 [5]钓掉
tʰ [1]挑 [5]跳
l [2]燎聊 [3]了 [5]疗料廖
ɦɾ [2]条 [5]调
ts [1]焦
s [3]小
tɕ [1]交娇浇 [3]矫侥饺 [5]教叫
tɕʰ [1]锹 [3]巧悄 [5]俏窍
ȵ [3]鸟 [5]绕尿
ɕ [1]消箫 [5]孝笑
ɦʑ [2]淆桥 [5]校轿
Ø [1]腰幺 [2]摇尧 [3]舀 [5]要耀

#əu
m [2]谋
t [1]兜 [3]抖 [5]斗
tʰ [1]偷 [5]透
l [2]楼 [3]篓 [5]漏
ɦɾ [2]头 [5]豆
ts [1]周 [3]走肘帚 [5]奏昼皱咒
tsʰ [1]抽 [3]丑丑 [5]凑臭
s [1]馊收 [3]手 [5]瘦兽
ɦz [2]绸愁仇 [5]受寿
ɣ [2]猴 [5]厚候

#iu
l [2]流 [3]柳 [5]溜
tɕ [1]揪阄 [3]酒九纠 [5]救 [7]橘菊
tɕʰ [1]秋丘 [7]曲曲
ȵ [2]柔牛 [3]纽 [7]肉
ɕ [1]修休 [3]朽 [5]锈
ɦʑ [2]囚求 [5]就袖舅旧
k [1]钩 [3]狗 [5]够
kʰ [1]抠 [3]口 [5]扣
ŋ [1]瓯 [3]藕呕 [5]偶怄
Ø [1]优幽 [2]邮油 [3]有酉 [5]又釉幼 [7]役育狱

#ei
p [1]蓖杯碑悲 [5]贝辈备
pʰ [1]坯 [5]沛配
m [2]梅霉 [3]每美 [5]妹
f [1]非妃 [3]匪 [5]废肺痱费
v [2]微 [3]尾
ɦv [2]培肥 [5]倍背
t [1]堆 [5]对队兑 [7]得滴
tʰ [1]梯推 [3]腿 [5]退 [7]踢
l [2]雷 [3]儡累垒 [5]内累芮累类
ts [1]追锥 [3]嘴 [5]最泪醉 [7]蛰直植
tsʰ [1]车催吹 [5]脆翠
s [1]赊虽 [3]舍髓水 [5]舍碎岁税粹 [7]湿锡
ɦz [2]蛇随垂槌 [5]射罪遂坠 [7]十贼食
tɕʰ [3]扯
k [7]格
kʰ [7]客
ŋ [7]额
x [7]黑吓

#ui
k [1]闺规龟归 [3]诡轨鬼 [5]鳜桂贵
kʰ [1]魁亏 [3]傀 [5]愧
x [1]灰挥 [3]贿毁 [5]晦讳
ɣ [2]回葵 [5]会惠跪柜
Ø [1]煨威 [2]危为维围 [3]委唯苇 [5]卫伪喂为位味魏慰胃

#õ
p [1]搬 [5]扮半
pʰ [1]潘 [5]判叛
m [2]瞒 [3]满
ɦv [2]盘 [5]伴
t [1]端 [3]短 [5]锻
tʰ [1]贪 [5]探
l [2]男 [3]暖卵 [5]乱
ɦɾ [2]团 [5]断段
ts [1]簪毡钻砖 [3]展纂转 [5]蘸战钻转
tsʰ [1]参汆穿 [3]喘 [5]窜串
s [1]酸闩 [3]陕闪 [5]扇算
ɦz [2]蚕缠传船 [5]善
ɦʑ [5]篆传
k [1]官 [3]管 [5]罐
kʰ [1]宽 [3]款
n [5]糯
x [1]欢
ɣ [5]换
Ø [1]豌 [2]完 [3]皖碗

#iõ
Ø [3]软

#ẽ
k [1]甘肝 [3]感敢赶
kʰ [1]龛刊 [5]看
ŋ [1]安 [5]暗岸按
x [5]汉
ɣ [2]寒 [5]汗

#ɪ̃
p [1]鞭边 [3]贬扁 [5]变遍
pʰ [1]偏 [5]骗片
m [2]棉眠 [3]免 [5]面面
ɦv [2]便 [5]辨便辫
t [1]掂颠 [3]点典 [5]店
tʰ [1]添天 [3]舔腆
l [2]帘连莲 [3]敛脸 [5]殓练
ɦɾ [2]甜田 [5]簟电
ts [1]尖煎笺 [3]剪 [5]占箭举
tsʰ [1]迁千 [3]浅
s [1]仙鲜先宣 [3]癣选 [5]线
ɦz [2]钱前全 [3]渐 [5]贱羡
tɕ [1]监兼奸犍肩捐 [3]减碱检俭简谏键茧卷 [5]剑建健见卷
tɕʰ [1]签谦牵圈 [3]遣 [5]劝
ȵ [2]黏严鲇年研 [3]染碾撵阮 [5]验酽念砚
ɕ [1]喧 [3]险显 [5]献楦
ɦʑ [2]钳嫌闲乾贤旋权 [3]限 [5]件县
Ø [1]烟冤 [2]炎盐颜延言圆缘沿元园 [3]掩演远 [5]厌艳燕院愿怨

#ã
p [1]班帮邦 [3]板榜绑 [5]谤
pʰ [1]攀滂 [5]盼襻绊胖
m [2]蛮忙 [3]莽 [5]慢
f [1]藩翻方芳 [3]反仿纺 [5]贩放访
v [1]弯 [3]网 [5]万望
ɦv [2]烦矾旁房 [5]范办饭
t [1]耽担单当 [3]胆掸党 [5]担旦当
tʰ [1]坍滩汤 [3]毯坦躺 [5]炭趟
l [2]篮难兰狼 [3]览懒朗 [5]滥难烂浪
ɦɾ [2]潭谈坛堂 [3]淡 [5]蛋荡宕
ts [1]脏张庄章桩 [3]斩盏长掌 [5]站站赞葬帐壮障
tsʰ [1]搀餐苍疮昌窗 [3]惨铲产闯厂 [5]灿畅创唱
s [1]三衫山删桑霜伤双 [3]伞嗓爽赏 [5]散丧双
ɦz [2]惭馋残床常 [5]暂脏状上尚
k [1]间缸江 [3]讲 [5]干杠降虹
kʰ [1]铅康 [3]坎舰慷 [5]抗
ŋ [1]庵淹 [5]眼雁
x [1]夯 [3]喊
ɣ [2]含咸衔还{还原}杭 [3]旱项 [5]苋

#iã
l [2]粮 [3]两{斤两} [5]亮
ts [1]将 [3]奖 [5]酱
tsʰ [1]枪 [3]抢
s [1]相 [3]想 [5]相
ɦz [2]墙详长 [5]匠象丈
tɕ [1]姜
tɕʰ [1]羌
ȵ [2]娘 [5]酿仰
ɕ [1]乡 [3]响 [5]向
ɦʑ [2]强降 [5]强
Ø [1]央 [2]羊 [3]养 [5]样

#uã
k [1]关光 [3]广 [5]惯
kʰ [1]筐狂 [5]旷况矿
x [1]慌 [3]谎
ɣ [3]晃 [5]幻
Ø [1]汪 [2]黄王 [3]晚枉往 [5]旺

#ən
p [1]奔 [3]本 [5]奔笨
pʰ [1]喷烹
m [2]门明{明朝} [5]闷
f [1]分芬 [3]粉 [5]粪
v [2]文蚊 [5]问
ɦv [2]盆坟彭 [5]份
t [1]墩蹲登灯 [3]等 [5]顿凳邓瞪
tʰ [1]吞
l [2]论伦能楞 [5]嫩论冷
ɦɾ [2]饨 [5]盾
ts [1]针珍真尊遵增蒸争贞侦正 [3]枕疹准整 [5]镇震赠症郑政
tsʰ [1]村皴椿春称撑 [3]蠢 [5]趁衬寸秤
s [1]森深身孙升生甥声 [3]沈损笋省 [5]渗舜胜圣
ɦz [2]沉陈神臣存唇纯曾乘承程成 [5]阵顺剩
k [1]今跟庚耕 [3]埂耿 [5]更
kʰ [1]坑 [3]垦肯
ŋ [1]恩樱 [5]硬
x [1]亨
ɣ [2]痕恒 [3]杏 [5]很恨横

#in
p [1]彬冰兵 [3]禀丙饼 [5]鬓柄并
pʰ [1]拼拼 [3]品 [5]聘
m [2]民鸣名铭 [3]敏 [5]命
ɦv [2]贫凭平瓶 [5]病
t [1]丁 [3]顶 [5]钉
tʰ [1]听 [3]挺
l [2]林邻零 [3]檩领 [5]赁吝令
ɦɾ [2]停 [5]定
ts [1]津精 [3]尽井 [5]浸
tsʰ [1]侵亲清青 [3]寝请 [5]亲
s [1]心新星 [3]醒 [5]信性
ɦz [2]寻秦情 [5]尽静净
tɕ [1]金巾斤均军京鲸经 [3]紧谨景颈 [5]禁进劲菌镜竞
tɕʰ [1]钦卿轻 [3]锦 [5]庆磬
ȵ [2]人银宁 [3]忍 [5]认
ɕ [1]熏兴 [5]训兴
ɦʑ [2]琴勤巡群裙行形 [5]近行
Ø [1]音因殷鹰鹦英婴 [2]淫寅匀云蝇赢营萤 [3]饮引隐影永 [5]荫印熨运应映

#un
k [3]滚 [5]棍
kʰ [1]昆坤 [3]捆 [5]困
x [1]婚荤
ɣ [2]魂横 [5]混
Ø [1]温 [3]稳

#oŋ
p [1]崩
pʰ [5]喷
m [2]萌蒙 [3]猛蠓 [5]孟梦
f [1]风丰封蜂 [5]讽
ɦv [2]朋棚篷冯逢 [5]凤缝
t [1]东冬 [3]懂 [5]栋
tʰ [1]通 [3]桶 [5]痛统
l [2]聋农浓龙 [5]弄
ɦɾ [2]同 [5]动洞
ts [1]鬃宗忠终钟 [3]总肿 [5]粽综中众纵种
tsʰ [1]葱充冲 [2]从 [3]宠 [5]铳
s [1]松嵩 [5]送宋
ɦz [2]丛虫崇松重 [5]重
k [1]公弓恭 [3]巩 [5]贡供共
kʰ [1]空 [3]孔恐 [5]控
x [1]轰烘 [3]哄
ɣ [2]洪宏 [5]哄

#yŋ
ɕ [1]兄凶
ɦʑ [2]穷雄
Ø [1]允绒雍 [2]荣容 [3]勇 [5]用

#n̩
Ø [3]你
