漢字	IPA	注释
熹	hi⁴⁵	
嬉	hi⁴⁵	
嘻	hi⁴⁵	
熙	hi⁴⁵	
稀	hi⁴⁵	
烯	hi⁴⁵	
牺	hi⁴⁵	
唏	hi⁴⁵	
希	hi⁴⁵	
欺	hi⁴⁵	
饷	hiaŋ³⁵	
响	hiaŋ³⁵	
享	hiaŋ³⁵	
向	hiaŋ⁴⁴³	
香	hiaŋ⁴⁵	
乡	hiaŋ⁴⁵	
险	him³⁵	
欠	him⁴⁴³	
谦	him⁴⁵	
蚬	hin³⁵	
显	hin³⁵	
缱	hin³⁵	
遣	hin³⁵	
献	hin⁴⁴³	
宪	hin⁴⁴³	
芡	hin⁴⁴³	
轩	hin⁴⁵	
掀	hin⁴⁵	
牵	hin⁴⁵	
胁	hip⁴	
协	hip⁴	
怯	hip⁴	
歉	hip⁴	
晓	hiu³⁵	
翘	hiu⁴⁴³	
窍	hiu⁴⁴³	
嚣	hiu⁴⁵	
侥	hiu⁴⁵	
河	ho²¹	
何	ho²¹	
可	ho³⁵	
坷	ho⁴⁵	
苛	ho⁴⁵	
呵	ho⁴⁵	
诃	ho⁴⁵	
贺	ho⁵²	
靴	hœ⁴⁵	
海	hoi³⁵	
开	hoi⁴⁵	
害	hoi⁵²	
亥	hoi⁵²	
旱	hɵn²¹	
寒	hɵn²¹	
韩	hɵn²¹	
鼾	hɵn²¹	
犬	hɵn³⁵	
侃	hɵn³⁵	
刊	hɵn³⁵	
罕	hɵn³⁵	
劝	hɵn⁴⁴³	
汉	hɵn⁴⁴³	
喧	hɵn⁴⁵	
圈	hɵn⁴⁵	
瀚	hɵn⁵²	
翰	hɵn⁵²	
焊	hɵn⁵²	
汗	hɵn⁵²	
雄	hoŋ²¹	
鸿	hoŋ²¹	
洪	hoŋ²¹	
虹	hoŋ²¹	
红	hoŋ²¹	
恐	hoŋ³⁵	
孔	hoŋ³⁵	
控	hoŋ⁴⁴³	
烘	hoŋ⁴⁴³	
哄	hoŋ⁴⁴³	
胸	hoŋ⁴⁵	
恟	hoŋ⁴⁵	
汹	hoŋ⁴⁵	
匈	hoŋ⁴⁵	
凶	hoŋ⁴⁵	
崆	hoŋ⁴⁵	
空	hoŋ⁴⁵	
血	hɵt⁴	
渴	hɵt⁴	
喝	hɵt⁴	
煦	hy³⁵	
栩	hy³⁵	
诩	hy³⁵	
许	hy³⁵	
去	hy⁴⁴³	
嘘	hy⁴⁵	
虚	hy⁴⁵	
椅	i³⁵	
倚	i³⁵	
漪	i³⁵	
臆	i⁴⁴³	
薏	i⁴⁴³	
意	i⁴⁴³	
依	i⁴⁵	
医	i⁴⁵	
衣	i⁴⁵	
伊	i⁴⁵	
夜	ja⁵²	
跃	jak⁴	
约	jak⁴	
药	jak⁵²	
弱	jak⁵²	
若	jak⁵²	
虐	jak⁵²	
疟	jak⁵²	
淫	jɐm²¹	
吟	jɐm²¹	
饮	jɐm³⁵	
音	jɐm⁴⁵	
阴	jɐm⁴⁵荫（树～）	
任	jɐm⁵²	
壬	jɐm⁵²	
赁	jɐm⁵²	
赢	jɐn²¹	
赢	jɐn²¹	
蝇	jɐn²¹	
楹	jɐn²¹	
营	jɐn²¹	
萤	jɐn²¹	
莹	jɐn²¹	
盈	jɐn²¹	
荧	jɐn²¹	
迎	jɐn²¹	
瘾	jɐn²¹	
引	jɐn²¹	
寅	jɐn²¹	
益	jɐn²¹	
荥	jɐn²¹	
型	jɐn²¹	
形	jɐn²¹	
刑	jɐn²¹	
仍	jɐn²¹	
仁	jɐn²¹	
人	jɐn²¹	
凝	jɐn²¹	
隐	jɐn³⁵	
忍	jɐn³⁵	
印	jɐn⁴⁴³	
鹰	jɐn⁴⁵	
鹦	jɐn⁴⁵	
樱	jɐn⁴⁵	
缨	jɐn⁴⁵	
嘤	jɐn⁴⁵	
婴	jɐn⁴⁵	
英	jɐn⁴⁵	
殷	jɐn⁴⁵	
姻	jɐn⁴⁵	
茵	jɐn⁴⁵	
因	jɐn⁴⁵	
欣	jɐn⁴⁵	
恩	jɐn⁴⁵	
孕	jɐn⁵²	
衅	jɐn⁵²	
润	jɐn⁵²	
闰	jɐn⁵²	
纫	jɐn⁵²	
仞	jɐn⁵²	
认	jɐn⁵²	
刃	jɐn⁵²	
痒	jaŋ²¹	
氧	jaŋ²¹	
养	jaŋ²¹	
仰	jaŋ²¹	
洋	jaŋ²¹	
疡	jaŋ²¹	
佯	jaŋ²¹	
杨	jaŋ²¹	
阳	jaŋ²¹	
羊	jaŋ²¹	
扬	jaŋ²¹	
嚷	jaŋ²¹	
攘	jaŋ²¹	
壤	jaŋ²¹	
怏	jaŋ⁴⁵	
鸯	jaŋ⁴⁵	
殃	jaŋ⁴⁵	
泱	jaŋ⁴⁵	
央	jaŋ⁴⁵	
样	jaŋ⁵²	
让	jaŋ⁵²	
熠	jɐp⁴⁵	
邑	jɐp⁴⁵	
揖	jɐp⁴⁵	
泣	jɐp⁴⁵	
膉	jɐt⁴⁵	
抑	jɐt⁴⁵	
壹	jɐt⁴⁵	
一	jɐt⁴⁵	
翼	jɐt⁵²	
蜴	jɐt⁵²	
溢	jɐt⁵²	
翌	jɐt⁵²	
逸	jɐt⁵²	
疫	jɐt⁵²	
弈	jɐt⁵²	
轶	jɐt⁵²	
驿	jɐt⁵²	
易	jɐt⁵²	
译	jɐt⁵²	
役	jɐt⁵²	
亦	jɐt⁵²	
腋	jɐt⁵²	
液	jɐt⁵²	
日	jɐt⁵²	
由	jɐu²¹	文，理～
悠	jɐu²¹	文，～～
诱	jɐu²¹	文
莠	jɐu²¹	文
酉	jɐu²¹	文
油	jɐu²¹	文
游	jɐu²¹	
犹	jɐu²¹	
邮	jɐu²¹	
尤	jɐu²¹	
揉	jɐu²¹	
柔	jɐu²¹	
由	jɐu³⁵	文，单用
釉	jɐu³⁵	
幼	jɐu⁴⁴³	文
忧	jɐu⁴⁵	文
优	jɐu⁴⁵	文
休	jɐu⁴⁵	文
幽	jɐu⁴⁵	
丘	jɐu⁴⁵	
冶	je²¹	
揶	je²¹	
耶	je²¹	
椰	je²¹	
野	jɛ²¹	文，田～
爷	jɛ²¹	
惹	jɛ³⁵	
谊	ji²¹	
议	ji²¹	
矣	ji²¹	
以	ji²¹	
已	ji²¹	
彝	ji²¹	
疑	ji²¹	
颐	ji²¹	
痍	ji²¹	
移	ji²¹	
胰	ji²¹	
姨	ji²¹	
贻	ji²¹	
宜	ji²¹	
怡	ji²¹	
饴	ji²¹	
迤	ji²¹	
夷	ji²¹	
仪	ji²¹	
拟	ji²¹	
耳	ji²¹	
尔	ji²¹	
而	ji²¹	
儿	ji²¹	
异	ji⁵²	
义	ji⁵²	
贰	ji⁵²	
二	ji⁵²	
檐	jim²¹	
阎	jim²¹	
盐	jim²¹	
严	jim²¹	
酹	jim²¹	
掩	jim³⁵	
淹	jim³⁵	
厌	jim⁴⁴³	
奄	jim⁴⁵	
阉	jim⁴⁵	
庵	jim⁴⁵	
焰	jim⁵²	
验	jim⁵²	
艳	jim⁵²	
炎	jim⁵²	
研	jin²¹	文
彦	jin²¹	
蜒	jin²¹	
沿	jin²¹	
妍	jin²¹	
言	jin²¹	
延	jin²¹	
涎	jin²¹	
弦	jin²¹	
贤	jin²¹	
燃	jin²¹	
然	jin²¹	
演	jin³⁵	
燕	jin⁴⁴³	
堰	jin⁴⁴³	
宴	jin⁴⁴³	
咽	jin⁴⁵	
湮	jin⁴⁵	
焉	jin⁴⁵	
烟	jin⁴⁵	
胭	jin⁴⁵	
谚	jin⁵²	
砚	jin⁵²	
现	jin⁵²	
苋	jin⁵²	
腌	jip⁴	
烨	jip⁵²	
晔	jip⁵²	
页	jip⁵²	
叶	jip⁵²	
业	jip⁵²	
入	jip⁵²	
乙	jit⁴	
噎	jit⁴	
热	jit⁵²	
瑶	jiu²¹	
摇	jiu²¹	
谣	jiu²¹	
窑	jiu²¹	
姚	jiu²¹	
尧	jiu²¹	
饶	jiu²¹	
妖	jiu³⁵	
扰	jiu³⁵	
浇	jiu³⁵	
要	jiu⁴⁴³	
邀	jiu⁴⁵	
腰	jiu⁴⁵	
夭	jiu⁴⁵	
耀	jiu⁵²	
曜	jiu⁵²	
鹞	jiu⁵²	
毓	jok⁴⁵	
煜	jok⁴⁵	
彧	jok⁴⁵	
昱	jok⁴⁵	
沃	jok⁴⁵	
鬻	jok⁵²	
欲	jok⁵²	
浴	jok⁵²	
狱	jok⁵²	
育	jok⁵²	
玉	jok⁵²	
褥	jok⁵²	
辱	jok⁵²	
肉	jok⁵²	
勇	joŋ²¹	
墉	joŋ²¹	
庸	joŋ²¹	
熊	joŋ²¹	
融	joŋ²¹	
镕	joŋ²¹	
榕	joŋ²¹	
蓉	joŋ²¹	
容	joŋ²¹	
茸	joŋ²¹	
戎	joŋ²¹	
拥	joŋ³⁵	
绒	joŋ³⁵	
雍	joŋ⁴⁵	
翁	joŋ⁴⁵	
冗	joŋ⁴⁵	
用	joŋ⁵²	
佣	joŋ⁵²	
莠	ju²¹	白
酉	ju²¹	白
油	ju²¹	白
悠	ju²¹	白
有	ju²¹	
友	ju²¹	
攸	ju²¹	
由	ju³⁵	白，任～,随便
诱	ju⁴⁴³	白
幼	ju⁴⁴³	白
柚	ju⁴⁴³	
忧	ju⁴⁵	白
优	ju⁴⁵	白
休	ju⁴⁵	
佑	ju⁵²	
右	ju⁵²	
又	ju⁵²	
语	jy²¹	
禹	jy²¹	
雨	jy²¹	
羽	jy²¹	
宇	jy²¹	
屿	jy²¹	
予	jy²¹	
舆	jy²¹	
愚	jy²¹	
虞	jy²¹	
腴	jy²¹	
渔	jy²¹	
萸	jy²¹	
娱	jy²¹	
鱼	jy²¹	
盂	jy²¹	
余	jy²¹	
妤	jy²¹	
乳	jy²¹	
汝	jy²¹	
蠕	jy²¹	
孺	jy²¹	
濡	jy²¹	
儒	jy²¹	
茹	jy²¹	
如	jy²¹	
玛	jy²¹	
锥	jy⁴⁵	
豫	jy⁵²	
誉	jy⁵²	
愈	jy⁵²	
裕	jy⁵²	
寓	jy⁵²	
御	jy⁵²	
喻	jy⁵²	
遇	jy⁵²	
预	jy⁵²	
榆	jy⁵²	
瑜	jy⁵²	
愉	jy⁵²	
逾	jy⁵²	
吁	jy⁵²	
锐	jy⁵²	
芮	jy⁵²	
蕊	jy⁵²	
远	jyn²¹	
辕	jyn²¹	
源	jyn²¹	
猿	jyn²¹	
缘	jyn²¹	
圆	jyn²¹	
原	jyn²¹	
袁	jyn²¹	
员	jyn²¹	
园	jyn²¹	
元	jyn²¹	
眩	jyn²¹	
悬	jyn²¹	
玄	jyn²¹	
完	jyn²¹	
丸	jyn²¹	
软	jyn²¹	
铅	jyn²¹	
院	jyn³⁵	
皖	jyn³⁵	
阮	jyn³⁵	
浣	jyn³⁵	
怨	jyn⁴⁴³	
渊	jyn⁴⁵	
冤	jyn⁴⁵	
鸳	jyn⁴⁵	
鸢	jyn⁴⁵	
愿	jyn⁵²	
县	jyn⁵²	
粤	jyt⁵²	
越	jyt⁵²	
悦	jyt⁵²	
阅	jyt⁵²	
钺	jyt⁵²	
月	jyt⁵²	
曰	jyt⁵²	
钥	jyt⁵²	
穴	jyt⁵²	
寡	ka³⁵	
剐	ka³⁵	
咖	ka⁴⁴³	
稼	ka⁴⁴³	
嫁	ka⁴⁴³	
架	ka⁴⁴³	
驾	ka⁴⁴³	
价	ka⁴⁴³	
褂	ka⁴⁴³	
挂	ka⁴⁴³	
卦	ka⁴⁴³	
嘉	ka⁴⁵	
家	ka⁴⁵	
痂	ka⁴⁵	
枷	ka⁴⁵	
迦	ka⁴⁵	
加	ka⁴⁵	
瓜	ka⁴⁵	
呱	ka⁴⁵	
嘎	ka⁴⁵	
踟	ka⁴⁵	
拐	kai³⁵	
蚧	kai⁴⁴³	
诫	kai⁴⁴³	
疥	kai⁴⁴³	
界	kai⁴⁴³	
届	kai⁴⁴³	
芥	kai⁴⁴³	
戒	kai⁴⁴³	
介	kai⁴⁴³	
怪	kai⁴⁴³	
尬	kai⁴⁴³	
髻	kɐi⁴⁴³	
继	kɐi⁴⁴³	
街	kai⁴⁵	
皆	kai⁴⁵	
阶	kai⁴⁵	
佳	kai⁴⁵	
归	kɐi⁴⁵	文
笄	kɐi⁴⁵	
鸡	kɐi⁴⁵	
闺	kɐi⁴⁵	
圭	kɐi⁴⁵	
膈	kak⁴⁵	
隔	kak⁴⁵	
格	kak⁴⁵	
革	kak⁴⁵	
减	kam³⁵	
锦	kɐm³⁵	
感	kɐm³⁵	
敢	kɐm³⁵	
鉴	kam⁴⁴³	
监	kam⁴⁴³	
尴	kam⁴⁴³	
禁	kɐm⁴⁴³	
监	kam⁴⁵	
金	kɐm⁴⁵	
今	kɐm⁴⁵	
蚶	kɐm⁴⁵	
橄	kɐm⁴⁵	
柑	kɐm⁴⁵	
甘	kɐm⁴⁵	
揿	kɐm⁵²	
碱	kan³⁵	
简	kan³⁵	
锏	kan³⁵	
茧	kan³⁵	
枧	kan³⁵	
拣	kan³⁵	
境	kɐn³⁵	
竟	kɐn³⁵	
警	kɐn³⁵	
景	kɐn³⁵	
颈	kɐn³⁵	
谨	kɐn³⁵	
紧	kɐn³⁵	
仅	kɐn³⁵	
涧	kan⁴⁴³	
惯	kan⁴⁴³	
镜	kɐn⁴⁴³	
敬	kɐn⁴⁴³	
径	kɐn⁴⁴³	
茎	kɐn⁴⁴³	
棍	kɐn⁴⁴³	
纶	kan⁴⁵	
艰	kan⁴⁵	
奸	kan⁴⁵	
鳏	kan⁴⁵	
关	kan⁴⁵	
钧	kɐn⁴⁵	
君	kɐn⁴⁵	
均	kɐn⁴⁵	
军	kɐn⁴⁵	
惊	kɐn⁴⁵	
荆	kɐn⁴⁵	
经	kɐn⁴⁵	
京	kɐn⁴⁵	
筋	kɐn⁴⁵	
斤	kɐn⁴⁵	
巾	kɐn⁴⁵	
跟	kɐn⁴⁵	
根	kɐn⁴⁵	
郡	kɐn⁵²	
竞	kɐn⁵²	
劲	kɐn⁵²	
近	kɐn⁵²	
亘	kɐn⁵²	
梗	kɐŋ³⁵	
耿	kɐŋ³⁵	
迳	kɐŋ⁴⁴³	
羹	kɐŋ⁴⁵	
耕	kɐŋ⁴⁵	
庚	kɐŋ⁴⁵	
匣	kap⁴	
胛	kap⁴	
甲	kap⁴	
急	kɐp⁴⁵	
蛤	kɐp⁴⁵	
鸽	kɐp⁴⁵	
及	kɐp⁵²	
刮	kat⁴	
讫	kɐt⁴⁵	
橘	kɐt⁴⁵	
桔	kɐt⁴⁵	
戟	kɐt⁴⁵	
吉	kɐt⁴⁵	
激	kɐt⁴⁵	
击	kɐt⁴⁵	
骨	kɐt⁴⁵	
掘	kɐt⁵²	
倔	kɐt⁵²	
极	kɐt⁵²	
疙	kɐt⁵²	
搅	kau³⁵	
皎	kau³⁵	
绞	kau³⁵	
狡	kau³⁵	
佼	kau³⁵	
蛟	kau³⁵	
搞	kau³⁵	
九	kɐu³⁵	
笱	kɐu³⁵	
狗	kɐu³⁵	
苟	kɐu³⁵	
稿	kɐu³⁵	
滘	kau⁴⁴³	
窖	kau⁴⁴³	
较	kau⁴⁴³	
骹	kau⁴⁴³	
灸	kɐu⁴⁴³	文
犒	kɐu⁴⁴³	
柩	kɐu⁴⁴³	
疚	kɐu⁴⁴³	
咎	kɐu⁴⁴³	
够	kɐu⁴⁴³	
垢	kɐu⁴⁴³	
诰	kɐu⁴⁴³	
告	kɐu⁴⁴³	
胶	kau⁴⁵	
茭	kau⁴⁵	
郊	kau⁴⁵	
交	kau⁴⁵	
鸠	kɐu⁴⁵	
膏	kɐu⁴⁵	
睾	kɐu⁴⁵	
羔	kɐu⁴⁵	
高	kɐu⁴⁵	
皋	kɐu⁴⁵	
桷	kɔk⁴	
觉	kɔk⁴	
角	kɔk⁴	
国	kɔk⁴	
蝈	kɔk⁴	
各	kɔk⁴	
阁	kɔk⁴	
搁	kɔk⁴	
讲	kɔŋ³⁵	
广	kɔŋ³⁵	
桄	kɔŋ³⁵	
港	kɔŋ³⁵	
降	kɔŋ⁴⁴³	
杠	kɔŋ⁴⁴³	
钢	kɔŋ⁴⁴³	
江	kɔŋ⁴⁵	
胱	kɔŋ⁴⁵	
光	kɔŋ⁴⁵	
岗	kɔŋ⁴⁵	
罡	kɔŋ⁴⁵	
缸	kɔŋ⁴⁵	
纲	kɔŋ⁴⁵	
肛	kɔŋ⁴⁵	
刚	kɔŋ⁴⁵	
冈	kɔŋ⁴⁵	
跨	kʰa⁴⁵	
胯	kʰa⁴⁵	
垮	kʰa⁴⁵	
夸	kʰa⁴⁵	
卡	kʰa⁴⁵	
旮	kʰa⁴⁵	
携	kʰɐi²¹	
愧	kʰɐi²¹	
夔	kʰɐi²¹	
葵	kʰɐi²¹	
逵	kʰɐi²¹	
楷	kʰai³⁵	
块	kʰai⁴⁴³	
龟	kʰɐi⁴⁵	白
溪	kʰɐi⁴⁵	
窥	kʰɐi⁴⁵	
盔	kʰɐi⁴⁵	
岿	kʰɐi⁴⁵	
亏	kʰɐi⁴⁵	
稽	kʰɐi⁴⁵	
规	kʰɐi⁴⁵	
擒	kʰɐm²¹	
禽	kʰɐm²¹	
琴	kʰɐm²¹	
螭	kʰɐm²¹	
衾	kʰɐm⁴⁵	
襟	kʰɐm⁴⁵	
群	kʰɐn²¹	
裙	kʰɐn²¹	
琼	kʰɐn²¹	
擎	kʰɐn²¹	
勤	kʰɐn²¹	
芹	kʰɐn²¹	
鲸	kʰɐn²¹	
近	kʰɐn²¹	
顷	kʰɐn³⁵	
捆	kʰɐn³⁵	
菌	kʰɐn³⁵	
困	kʰɐn⁴⁴³	
倾	kʰɐn⁴⁵	
昆	kʰɐn⁴⁵	
坤	kʰɐn⁴⁵	
哽	kʰɐŋ²¹	白，不能下咽
梗	kʰɐŋ³⁵	
框	kʰɐŋ⁴⁵	
轰	kʰɐŋ⁴⁵	
觥	kʰɐŋ⁴⁵	
肱	kʰɐŋ⁴⁵	
笈	kʰɐp⁴⁵	
级	kʰɐp⁴⁵	
汲	kʰɐp⁴⁵	
给	kʰɐp⁴⁵	
咳	kʰɐt⁴⁵	
剧	kʰɐt⁵²	
屐	kʰɐt⁵²	
球	kʰɐu²¹	
求	kʰɐu²¹	
臼	kʰɐu²¹	
靠	kʰau⁴⁴³	
寇	kʰɐu⁴⁴³	
铐	kʰɐu⁴⁴³	
购	kʰɐu⁴⁴³	
构	kʰɐu⁴⁴³	
