"繁体字"	"简体字"	"新晃凳寨"	"国际音标"	"说明"	
"篳"	"筚"	"bi2"	"pi11"		
"蓽"	"荜"	"bi2"	"pi11"		
"蹕"	"跸"	"bi2"	"pi11"		
"逼"	"逼"	"bi2"	"pi11"		
"俾"	"俾"	"bi3"	"pi3"		
"匕"	"匕"	"bi3"	"pi3"		
"妣"	"妣"	"bi3"	"pi3"		
"彼"	"彼"	"bi3"	"pi3"		
"比"	"比"	"bi3"	"pi3"		
"秕"	"秕"	"bi3"	"pi3"		
"舭"	"舭"	"bi3"	"pi3"		
"鄙"	"鄙"	"bi3"	"pi3"		
"嗶"	"哔"	"bi5"	"pi45"		
"壁"	"壁"	"bi5"	"pi45"	"和氏璧"	
"婢"	"婢"	"bi5"	"pi45"		
"嬖"	"嬖"	"bi5"	"pi45"		
"幣"	"币"	"bi5"	"pi45"		
"庇"	"庇"	"bi5"	"pi45"		
"庳"	"庳"	"bi5"	"pi45"		
"弊"	"弊"	"bi5"	"pi45"		
"愎"	"愎"	"bi5"	"pi45"		
"敝"	"敝"	"bi5"	"pi45"		
"斃"	"毙"	"bi5"	"pi45"		
"泌"	"泌"	"bi5"	"pi45"		
"潷"	"滗"	"bi5"	"pi45"		
"狴"	"狴"	"bi5"	"pi45"		
"璧"	"璧"	"bi5"	"pi45"		
"畀"	"畀"	"bi5"	"pi45"		
"痺"	"痹"	"bi5"	"pi45"		
"碧"	"碧"	"bi5"	"pi45"		
"祕"	"秘"	"bi5"	"pi45"		
"箅"	"箅"	"bi5"	"pi45"		
"臂"	"臂"	"bi5"	"pi45"		
"蔽"	"蔽"	"bi5"	"pi45"		
"薜"	"薜"	"bi5"	"pi45"		
"轡"	"辔"	"bi5"	"pi45"		
"避"	"避"	"bi5"	"pi45"		
"鉍"	"铋"	"bi5"	"pi45"		
"鐾"	"鐾"	"bi5"	"pi45"		
"閉"	"闭"	"bi5"	"pi45"		
"陛"	"陛"	"bi5"	"pi45"		
"鼻"	"鼻"	"bi5"	"pi45"		
"癟"	"瘪"	"bia3"	"pia21"		
"摒"	"摒"	"bia5"	"pia45"	"白读"	
"砭"	"砭"	"bian1"	"pien13"		
"編"	"编"	"bian1"	"pien13"		
"邊"	"边"	"bian1"	"pien13"		
"鞭"	"鞭"	"bian1"	"pien13"		
"匾"	"匾"	"bian3"	"pien21"		
"扁"	"扁"	"bian3"	"pien21"		
"蝙"	"蝙"	"bian3"	"pien21"		
"貶"	"贬"	"bian3"	"pien21"		
"便"	"便"	"bian5"	"pien45"		
"卞"	"卞"	"bian5"	"pien45"		
"變"	"变"	"bian5"	"pien45"		
"辨"	"辨"	"bian5"	"pien45"		
"辮"	"辫"	"bian5"	"pien45"		
"辯"	"辩"	"bian5"	"pien45"		
"遍"	"遍"	"bian5"	"pien45"	"文"	
"瀌"	"瀌"	"biao1"	"piau13"	"溅"	
"彪"	"彪"	"biao1"	"piau13"		
"標"	"标"	"biao1"	"piau13"		
"膘"	"膘"	"biao1"	"piau13"		
"鏢"	"镖"	"biao1"	"piau13"		
"婊"	"婊"	"biao3"	"piau21"		
"表"	"表"	"biao3"	"piau21"		
"錶"	"表"	"biao3"	"piau21"		
"鰾"	"鳔"	"biao5"	"piau45"		
"鱉"	"鳖"	"bie1"	"pie13"		
"別"	"别"	"bie2"	"pie11"		
"別"	"别"	"bie2"	"pie11"		
"彆"	"别"	"bie2"	"pie11"		
"憋"	"憋"	"bie2"	"pie11"		
"兵"	"兵"	"bin1"	"pin13"		
"冰"	"冰"	"bin1"	"pin13"		
"彬"	"彬"	"bin1"	"pin13"		
"濱"	"滨"	"bin1"	"pin13"		
"瀕"	"濒"	"bin1"	"pin13"		
"絣"	"絣"	"bin1"	"pin13"		
"繽"	"缤"	"bin1"	"pin13"		
"賓"	"宾"	"bin1"	"pin13"		
"丙"	"丙"	"bin3"	"pin21"		
"柄"	"柄"	"bin3"	"pin21"	"文读"	
"炳"	"炳"	"bin3"	"pin21"		
"秉"	"秉"	"bin3"	"pin21"		
"稟"	"禀"	"bin3"	"pin21"		
"餅"	"饼"	"bin3"	"pin21"		
"並"	"并"	"bin5"	"pin45"		
"併"	"并"	"bin5"	"pin45"		
"并"	"并"	"bin5"	"pin45"		
"摒"	"摒"	"bin5"	"pin45"	"文读"	
"殯"	"殡"	"bin5"	"pin45"		
"病"	"病"	"bin5"	"pin45"		
"逬"	"逬"	"bin5"	"pin45"		
"鬢"	"鬓"	"bin5"	"pin45"		
"播"	"播"	"bo1"	"po13"		
"波"	"波"	"bo1"	"po13"		
"玻"	"玻"	"bo1"	"po13"		
"菠"	"菠"	"bo1"	"po13"		
"博"	"博"	"bo2"	"po11"		
"帛"	"帛"	"bo2"	"po11"		
"搏"	"搏"	"bo2"	"po11"		
"撥"	"拨"	"bo2"	"po11"	"拨款"	
"泊"	"泊"	"bo2"	"po11"		
"渤"	"渤"	"bo2"	"po11"		
"箔"	"箔"	"bo2"	"po11"		
"缽"	"钵"	"bo2"	"po11"		
"脖"	"脖"	"bo2"	"po11"		
"膊"	"膊"	"bo2"	"po11"		
"荸"	"荸"	"bo2"	"po11"		
"薄"	"薄"	"bo2"	"po11"		
"跋"	"跋"	"bo2"	"po11"		
"鉑"	"铂"	"bo2"	"po11"		
"駁"	"驳"	"bo2"	"po11"		
"剝"	"剥"	"bo2"	"po11"		
"勃"	"勃"	"bo2"	"po11"		
"簸"	"簸"	"bo3"	"po21"		
"嘣"	"嘣"	"bong1"	"poŋ13"		
"崩"	"崩"	"bong1"	"poŋ13"		
"繃"	"绷"	"bong1"	"poŋ13"		
"捧"	"捧"	"bong3"	"poŋ21"	"白，侗（夸奖）"	
"堋"	"堋"	"bong5"	"poŋ45"		
"蹦"	"蹦"	"bong5"	"poŋ45"		
"泵"	"泵"	"bong5"	"poŋ45"		
"包"	"包"	"bou1"	"pən13"	"白"	
"不"	"不"	"bu1"	"pu13"	"疑問"	
"不"	"不"	"bu2"	"pu11"		
"卜"	"卜"	"bu3"	"pu21"	"占卜"	
"圃"	"圃"	"bu3"	"pu21"		
"補"	"补"	"bu3"	"pu21"		
"伏"	"伏"	"bu5"	"pu45"	"白读"	
"卜"	"卜"	"bu5"	"pu45"	"萝卜"	
"埠"	"埠"	"bu5"	"pu45"		
"布"	"布"	"bu5"	"pu45"		
"怖"	"怖"	"bu5"	"pu45"		
"步"	"步"	"bu5"	"pu45"		
"簿"	"簿"	"bu5"	"pu45"		
"蔔"	"卜"	"bu5"	"pu45"		
"訃"	"讣"	"bu5"	"pu45"		
"部"	"部"	"bu5"	"pu45"		
"鋪"	"铺"	"bu5"	"pu45"	"床铺"	
"阜"	"阜"	"bu5"	"pu45"		
"搬"	"搬"	"buan1"	"puan13"		
"般"	"般"	"buan1"	"puan13"		
"般"	"般"	"buan1"	"puan13"		
"伴"	"伴"	"buan5"	"puan45"		
"半"	"半"	"buan5"	"puan45"		
"扮"	"扮"	"buan5"	"puan45"		
"拌"	"拌"	"buan5"	"puan45"		
"瓣"	"瓣"	"buan5"	"puan45"		
"辦"	"办"	"buan5"	"puan45"		
"叉"	"叉"	"ca1"	"tsʰa13"	"打叉"	
"差"	"差"	"ca1"	"tsʰa13"		
"差"	"差"	"ca1"	"tsʰa13"		
"杈"	"杈"	"ca1"	"tsʰa13"		
"衩"	"衩"	"ca1"	"tsʰa13"		
"釵"	"钗"	"ca1"	"tsʰa13"		
"蹅"	"蹅"	"ca1"	"tsʰa13"	"踩"	
"察"	"察"	"ca2"	"tsʰa11"		
"插"	"插"	"ca2"	"tsʰa11"		
"搽"	"搽"	"ca2"	"tsʰa11"		
"擦"	"擦"	"ca2"	"tsʰa11"		
"查"	"查"	"ca2"	"tsʰa11"		
"茬"	"茬"	"ca2"	"tsʰa11"		
"茬"	"茬"	"ca2"	"tsʰa11"		
"茶"	"茶"	"ca2"	"tsʰa11"		
"差"	"差"	"ca3"	"tsʰa21"	"差不多"	
"叱"	"叱"	"ca5"	"tsʰa45"		
"岔"	"岔"	"ca5"	"tsʰa45"		
"詫"	"诧"	"ca5"	"tsʰa45"		
"猜"	"猜"	"cai1"	"tsʰai13"		
"才"	"才"	"cai2"	"tsʰai11"		
"材"	"材"	"cai2"	"tsʰai11"		
"柴"	"柴"	"cai2"	"tsʰai11"		
"裁"	"裁"	"cai2"	"tsʰai11"		
"豺"	"豺"	"cai2"	"tsʰai11"		
"財"	"财"	"cai2"	"tsʰai11"		
"彩"	"彩"	"cai3"	"tsʰai21"		
"採"	"采"	"cai3"	"tsʰai21"		
"揣"	"揣"	"cai3"	"tsʰai21"		
"睬"	"睬"	"cai3"	"tsʰai21"		
"綵"	"彩"	"cai3"	"tsʰai21"		
"踩"	"踩"	"cai3"	"tsʰai21"		
"采"	"采"	"cai3"	"tsʰai21"		
"菜"	"菜"	"cai5"	"tsʰai45"		
"蔡"	"蔡"	"cai5"	"tsʰai45"		
"參"	"参"	"can1"	"tsʰan13"		
"參"	"参"	"can1"	"tsʰan13"		
"摻"	"掺"	"can1"	"tsʰan13"		
"摻"	"掺"	"can1"	"tsʰan13"	"新"	
"攙"	"搀"	"can1"	"tsʰan13"	"新"	
"餐"	"餐"	"can1"	"tsʰan13"		
"慚"	"惭"	"can2"	"tsʰan11"		
"殘"	"残"	"can2"	"tsʰan11"		
"纏"	"缠"	"can2"	"tsʰan11"	"老"	
"蟬"	"蝉"	"can2"	"tsʰan11"		
"蠶"	"蚕"	"can2"	"tsʰan11"		
"讒"	"谗"	"can2"	"tsʰan11"	"新"	
"饞"	"馋"	"can2"	"tsʰan11"	"新"	
"𢱟"	"𢱟"	"can3"	"tsʰan22"	"新"	
"剷"	"铲"	"can3"	"tsʰan21"		
"慘"	"惨"	"can3"	"tsʰan21"		
"斬"	"斩"	"can3"	"tsʰan21"	"新"	
"產"	"产"	"can3"	"tsʰan21"		
"輾"	"辗"	"can3"	"tsʰan21"	"新"	
"闡"	"阐"	"can3"	"tsʰan21"	"新"	
"顫"	"颤"	"can5"	"tsʰan45"		
"燦"	"灿"	"can5"	"tsʰan45"		
"倉"	"仓"	"cang1"	"tsʰaŋ13"		
"創"	"创"	"cang1"	"tsʰaŋ13"		
"娼"	"娼"	"cang1"	"tsʰaŋ13"		
"昌"	"昌"	"cang1"	"tsʰaŋ13"		
"滄"	"沧"	"cang1"	"tsʰaŋ13"		
"猖"	"猖"	"cang1"	"tsʰaŋ13"		
"瘡"	"疮"	"cang1"	"tsʰaŋ13"		
"窗"	"窗"	"cang1"	"tsʰaŋ13"		
"腸"	"肠"	"cang1"	"tsʰaŋ13"		
"艙"	"舱"	"cang1"	"tsʰaŋ13"		
"蒼"	"苍"	"cang1"	"tsʰaŋ13"		
"長"	"长"	"cang1"	"tsʰaŋ11"		
"鯧"	"鲳"	"cang1"	"tsʰaŋ13"		
"償"	"偿"	"cang2"	"tsʰaŋ11"	"文读"	
"嘗"	"尝"	"cang2"	"tsʰaŋ11"	"文读"	
"嚐"	"尝"	"cang2"	"tsʰaŋ11"	"文读"	
"場"	"场"	"cang2"	"tsʰaŋ11"		
"嫦"	"嫦"	"cang2"	"tsʰaŋ11"		
"常"	"常"	"cang2"	"tsʰaŋ11"	"文读"	
"床"	"床"	"cang2"	"tsʰaŋ11"		
"藏"	"藏"	"cang2"	"tsʰaŋ11"		
"廠"	"厂"	"cang3"	"tsʰaŋ21"		
"撞"	"撞"	"cang3"	"tsʰaŋ21"	"白读"	
"敞"	"敞"	"cang3"	"tsʰaŋ21"		
"闖"	"闯"	"cang3"	"tsʰaŋ21"		
"倡"	"倡"	"cang5"	"tsʰaŋ45"		
"創"	"创"	"cang5"	"tsʰaŋ45"		
"唱"	"唱"	"cang5"	"tsʰaŋ45"		
"暢"	"畅"	"cang5"	"tsʰaŋ45"		
"抄"	"抄"	"cao1"	"tsʰau13"		
"操"	"操"	"cao1"	"tsʰau13"		
"糙"	"糙"	"cao1"	"tsʰau13"	"粗糙"	
"超"	"超"	"cao1"	"tsʰau13"		
"鈔"	"钞"	"cao1"	"tsʰau13"		
"嘈"	"嘈"	"cao2"	"tsʰau11"		
"嘲"	"嘲"	"cao2"	"tsʰau11"		
"噪"	"噪"	"cao2"	"tsʰau11"		
"巢"	"巢"	"cao2"	"tsʰau11"		
"曹"	"曹"	"cao2"	"tsʰau11"		
"朝"	"朝"	"cao2"	"tsʰau11"		
"槽"	"槽"	"cao2"	"tsʰau11"		
"潮"	"潮"	"cao2"	"tsʰau11"		
"吵"	"吵"	"cao3"	"tsʰau21"		
"炒"	"炒"	"cao3"	"tsʰau21"		
"草"	"草"	"cao3"	"tsʰau21"		
"噪"	"噪"	"cao5"	"tsʰau45"	"噪音"	
"操"	"操"	"cao5"	"tsʰau45"		
"燥"	"燥"	"cao5"	"tsʰau45"		
"糙"	"糙"	"cao5"	"tsʰau45"	"毛糙"	
"躁"	"躁"	"cao5"	"tsʰau45"		
"造"	"造"	"cao5"	"tsʰau45"		
"車"	"车"	"ce1"	"tsʰe13"		
"側"	"侧"	"ce2"	"tsʰe11"		
"冊"	"册"	"ce2"	"tsʰe11"		
"切"	"切"	"ce2"	"tsʰe11"	"老"	
"則"	"则"	"ce2"	"tsʰe11"	"老"	
"廁"	"厕"	"ce2"	"tsʰe11"		
"徹"	"彻"	"ce2"	"tsʰe11"		
"惻"	"恻"	"ce2"	"tsʰe11"		
"拆"	"拆"	"ce2"	"tsʰe11"		
"撤"	"撤"	"ce2"	"tsʰe11"		
"擇"	"择"	"ce2"	"tsʰe11"		
"澈"	"澈"	"ce2"	"tsʰe11"		
"澤"	"泽"	"ce2"	"tsʰe11"		
"竊"	"窃"	"ce2"	"tsʰe11"	"老"	
"策"	"策"	"ce2"	"tsʰe11"		
"轍"	"辙"	"ce2"	"tsʰe11"		
"扯"	"扯"	"ce3"	"tsʰe21"		
"仟"	"仟"	"ceen1"	"tsʰen13"	"老"	
"千"	"千"	"ceen1"	"tsʰen13"	"老"	
"摻"	"掺"	"ceen1"	"tsʰen13"	"老"	
"攙"	"搀"	"ceen1"	"tsʰen13"	"老"	
"芊"	"芊"	"ceen1"	"tsʰen13"	"老"	
"阡"	"阡"	"ceen1"	"tsʰen13"	"老"	
"前"	"前"	"ceen2"	"tsʰen11"	"老"	
"嬋"	"婵"	"ceen2"	"tsʰen11"	"老"	
"纏"	"缠"	"ceen2"	"tsʰen11"	"老"	
"讒"	"谗"	"ceen2"	"tsʰen11"	"老"	
"饞"	"馋"	"ceen2"	"tsʰen11"	"老"	
"𢱟"	"𢱟"	"ceen3"	"tsʰen21"	"老，抽打"	
"淺"	"浅"	"ceen3"	"tsʰen21"	"老"	
"闡"	"阐"	"ceen3"	"tsʰen21"	"老"	
"倩"	"倩"	"ceen5"	"tsʰen45"	"老"	
"懺"	"忏"	"ceen5"	"tsʰen45"	"老"	
"茜"	"茜"	"ceen5"	"tsʰen45"	"老"	
"催"	"催"	"cei1"	"tsʰəi13"		
"吹"	"吹"	"cei1"	"tsʰəi13"		
"妻"	"妻"	"cei1"	"tsʰəi13"		
"崔"	"崔"	"cei1"	"tsʰəi13"		
"悽"	"凄"	"cei1"	"tsʰəi13"		
"摧"	"摧"	"cei1"	"tsʰəi13"		
"淒"	"凄"	"cei1"	"tsʰəi13"		
"炊"	"炊"	"cei1"	"tsʰəi13"		
"衰"	"衰"	"cei1"	"tsʰəi13"	"新"	
"垂"	"垂"	"cei2"	"tsʰəi11"		
"捶"	"捶"	"cei2"	"tsʰəi11"		
"槌"	"槌"	"cei2"	"tsʰəi11"		
"臍"	"脐"	"cei2"	"tsʰəi11"		
"錘"	"锤"	"cei2"	"tsʰəi11"		
"齊"	"齐"	"cei2"	"tsʰəi11"		
"悴"	"悴"	"cei5"	"tsʰəi45"		
"瘁"	"瘁"	"cei5"	"tsʰəi45"		
"砌"	"砌"	"cei5"	"tsʰəi45"		
"粹"	"粹"	"cei5"	"tsʰəi45"		
"翠"	"翠"	"cei5"	"tsʰəi45"		
"脆"	"脆"	"cei5"	"tsʰəi45"		
"撐"	"撑"	"cen1"	"tsʰən13"		
"春"	"春"	"cen1"	"tsʰən13"		
"村"	"村"	"cen1"	"tsʰən13"		
"稱"	"称"	"cen1"	"tsʰən13"		
"丞"	"丞"	"cen2"	"tsʰən11"		
"乘"	"乘"	"cen2"	"tsʰən11"		
"呈"	"呈"	"cen2"	"tsʰən11"		
"城"	"城"	"cen2"	"tsʰən11"		
"塵"	"尘"	"cen2"	"tsʰən11"		
"存"	"存"	"cen2"	"tsʰən11"		
"宸"	"宸"	"cen2"	"tsʰən11"		
"層"	"层"	"cen2"	"tsʰən11"		
"忱"	"忱"	"cen2"	"tsʰən11"		
"成"	"成"	"cen2"	"tsʰən11"		
"承"	"承"	"cen2"	"tsʰən11"		
"晨"	"晨"	"cen2"	"tsʰən11"	"新"	
"曾"	"曾"	"cen2"	"tsʰən11"		
"橙"	"橙"	"cen2"	"tsʰən11"		
"沈"	"沈"	"cen2"	"tsʰən11"		
"沉"	"沉"	"cen2"	"tsʰən11"		
"淳"	"淳"	"cen2"	"tsʰən11"		
"測"	"测"	"cen2"	"tsʰən11"		
"澄"	"澄"	"cen2"	"tsʰən11"		
"盛"	"盛"	"cen2"	"tsʰən11"		
"程"	"程"	"cen2"	"tsʰən11"		
"純"	"纯"	"cen2"	"tsʰən11"		
"脣"	"唇"	"cen2"	"tsʰən11"		
"臣"	"臣"	"cen2"	"tsʰən11"		
"誠"	"诚"	"cen2"	"tsʰən11"		
"辰"	"辰"	"cen2"	"tsʰən11"	"新"	
"醇"	"醇"	"cen2"	"tsʰən11"		
"陳"	"陈"	"cen2"	"tsʰən11"		
"鶉"	"鹑"	"cen2"	"tsʰən11"		
"忖"	"忖"	"cen3"	"tsʰən21"		
"懲"	"惩"	"cen3"	"tsʰən21"		
"逞"	"逞"	"cen3"	"tsʰən21"		
"騁"	"骋"	"cen3"	"tsʰən21"		
"搇"	"搇"	"cen3"	"tsʰən21"	"按"	
"寸"	"寸"	"cen5"	"tsʰən45"		
"慎"	"慎"	"cen5"	"tsʰən45"		
"撐"	"撑"	"cen5"	"tsʰən45"	"顶…"	
"秤"	"秤"	"cen5"	"tsʰən45"		
"稱"	"称"	"cen5"	"tsʰən45"		
"襯"	"衬"	"cen5"	"tsʰən45"		
"趁"	"趁"	"cen5"	"tsʰən45"		
"蹭"	"蹭"	"cen5"	"tsʰən45"		
"戚"	"戚"	"ci2"	"tsʰi11"		
"柒"	"柒"	"ci2"	"tsʰi11"	"老"	
"漆"	"漆"	"ci2"	"tsʰi11"	"老"	
"簽"	"签"	"cian1"	"tsʰien13"	"老"	
"籤"	"签"	"cian1"	"tsʰien13"	"老"	
"遷"	"迁"	"cian1"	"tsʰien13"	"老"	
"韆"	"千"	"cian1"	"tsʰien13"	"老"	
"潛"	"潜"	"cian2"	"tsʰien11"	"老"	
"錢"	"钱"	"cian2"	"tsʰien11"	"老"	
"淺"	"浅"	"cian3"	"tsʰien21"	"老"	
"塹"	"堑"	"cian5"	"tsʰien45"	"老"	
"槍"	"枪"	"ciang1"	"tsʰiaŋ13"		
"薔"	"蔷"	"ciang1"	"tsʰiaŋ13"		
"鏘"	"锵"	"ciang1"	"tsʰiaŋ13"		
"牆"	"墙"	"ciang2"	"tsʰiaŋ11"		
"搶"	"抢"	"ciang3"	"tsʰiaŋ21"		
"嗆"	"呛"	"ciang5"	"tsʰiaŋ45"		
"蹌"	"跄"	"ciang5"	"tsʰiaŋ45"		
"鍬"	"锹"	"ciao1"	"tsʰiau13"	"老"	
"憔"	"憔"	"ciao2"	"tsʰiau11"	"老"	
"樵"	"樵"	"ciao2"	"tsʰiau11"	"老"	
"瞧"	"瞧"	"ciao2"	"tsʰiau11"	"老"	
"悄"	"悄"	"ciao3"	"tsʰiau21"	"老"	
"俏"	"俏"	"ciao5"	"tsʰiau45"	"老"	
"峭"	"峭"	"ciao5"	"tsʰiau45"	"老"	
"妾"	"妾"	"cie5"	"tsʰie45"	"老"	
"嗤"	"嗤"	"cii1"	"tsʰɿ13"		
"差"	"差"	"cii1"	"tsʰɿ13"		
"疵"	"疵"	"cii1"	"tsʰɿ13"		
"癡"	"痴"	"cii1"	"tsʰɿ13"		
"笞"	"笞"	"cii1"	"tsʰɿ13"		
"魑"	"魑"	"cii1"	"tsʰɿ13"		
"跐"	"跐"	"cii1"	"tsʰɿ13"	"伸手脚"	
"尺"	"尺"	"cii2"	"tsʰɿ11"		
"弛"	"弛"	"cii2"	"tsʰɿ11"		
"慈"	"慈"	"cii2"	"tsʰɿ11"		
"持"	"持"	"cii2"	"tsʰɿ11"		
"池"	"池"	"cii2"	"tsʰɿ11"		
"瓷"	"瓷"	"cii2"	"tsʰɿ11"		
"磁"	"磁"	"cii2"	"tsʰɿ11"		
"祠"	"祠"	"cii2"	"tsʰɿ11"		
"詞"	"词"	"cii2"	"tsʰɿ11"		
"踟"	"踟"	"cii2"	"tsʰɿ11"		
"辭"	"辞"	"cii2"	"tsʰɿ11"		
"遲"	"迟"	"cii2"	"tsʰɿ11"		
"雌"	"雌"	"cii2"	"tsʰɿ11"		
"馳"	"驰"	"cii2"	"tsʰɿ11"		
"鶿"	"鹚"	"cii2"	"tsʰɿ11"		
"侈"	"侈"	"cii3"	"tsʰɿ21"		
"址"	"址"	"cii3"	"tsʰɿ21"	"老"	
"恥"	"耻"	"cii3"	"tsʰɿ21"		
"此"	"此"	"cii3"	"tsʰɿ21"		
"齒"	"齿"	"cii3"	"tsʰɿ21"		
"伺"	"伺"	"cii5"	"tsʰɿ45"		
"刺"	"刺"	"cii5"	"tsʰɿ45"		
"掣"	"掣"	"cii5"	"tsʰɿ45"		
"斥"	"斥"	"cii5"	"tsʰɿ45"		
"次"	"次"	"cii5"	"tsʰɿ45"		
"炙"	"炙"	"cii5"	"tsʰɿ45"		
"熾"	"炽"	"cii5"	"tsʰɿ45"		
"秩"	"秩"	"cii5"	"tsʰɿ45"	"老"	
"翅"	"翅"	"cii5"	"tsʰɿ45"	"新"	
