tsɿ[1]支枝知肢栀蜘龇姿资谘之芝孜兹孳滋辎吱隻{量词}
mɛ[3]□{最后一个或最小一个}□{瘪、扁}
fɛ[5]□{好打扮}
tɛ[1]爹
tɛ[2]谍叠碟蝶跌迭牒
tʰɛ[2]蝶贴帖铁
nɛ[1]□{乳房、乳汁}
nɛ[2]聂镊蹑业孽捏啮镍□{给、递}
lɛ[2]猎列烈裂劣冽咧□{追赶}
tsɛ[1]遮
tsɛ[2]接捷睫摺褶蜇折哲浙疖节截
tsɛ[3]姐者
tsɛ[5]借蔗鹧
tsʰɛ[1]车{火～}
tsʰɛ[2]妾彻撤切窃
tsʰɛ[3]扯且
tsʰɛ[5]斜翅笡
sɛ[1]奢赊畲些
sɛ[2]蛇邪携涉摄舌设泄折屑谐
sɛ[3]写捨{～得}
sɛ[5]社赦麝泻卸谢射懈蟹泄舍{宿～}
kɛ[2]劫杰竭洁结诘揭蝎
kʰɛ[2]茄怯
hɛ[2]胁协歇穴
ɛ[1]椰
ɛ[2]爷叶页热液腋曳掖晔烨乙
ɛ[3]惹也冶野
ɛ[5]夜
lye[1]捋
ɕye[2]薛说雪
kye[2]厥蕨蹶决诀绝抉掘倔
kʰye[2]瘸缺榷
kʰye[3]抈{折断}
hye[1]靴
hye[2]穴血
ye[1]曰
ye[2]悦阅月粤越
pai[1]掰□{腿瘸}□{女性生殖器官}
pai[3]摆
pai[5]拜稗败
pʰai[2]排牌徘
pʰai[3]挀{两手向左右平伸的长度}
pʰai[5]派湃
mai[2]埋
mai[3]买
mai[5]卖迈
fai[2]怀槐淮徊
fai[5]坏
tai[1]獃呆
tai[3]歹
tai[5]代待怠殆贷袋戴带逮
tʰai[1]胎
tʰai[2]台抬苔
tʰai[5]态太泰
nai[1]奶{阿～}
nai[3]乃奶{牛～}
nai[5]耐奈
lai[2]来
lai[1]□{差，不好}
lai[5]赖癞籁□{热}
tsai[1]灾哉栽斋
tsai[3]宰载崽
tsai[5]载再在债寨
tsʰai[1]猜钗差{出～}
tsʰai[2]才材财裁豺柴
tsʰai[3]采彩踩睬
tsʰai[5]菜蔡
sai[1]腮筛鳃□{吃喝}
sai[5]赛晒塞
kai[1]该阶皆街
kai[3]改解
kai[5]丐盖介戒芥届界诫械疥鎅{将大木锯开}
kʰai[1]开揩{～油}
kʰai[3]凯铠楷锴揩{又}
kʰai[5]慨忾概溉
ŋai[1]哀埃挨{紧～}
ŋai[2]癌捱{～打}
ŋai[3]蔼矮
ŋai[5]爱碍艾隘
hai[2]孩鞋骸唉
hai[1]□{紧贴}
hai[3]海蟹
hai[5]亥害骇
ai[2]唉
tsʰuai[1]揣搋
tsʰuai[3]踹
tsʰuai[5]膗膪{牛～}
suai[1]衰
suai[3]甩摔
suai[5]帅率蟀
kuai[1]乖
kuai[3]拐
kuai[5]怪
kʰuai[3]块蒯□{打耳光}
kʰuai[5]刽会桧侩快刽
uai[1]歪
uai[3]崴
uai[5]外
pɑu[1]包苞胞褒煲
pɑu[3]宝饱保堡葆鸨
pɑu[5]龅雹报抱豹菢鲍暴爆曝趵
pʰɑu[1]抛泡脬
pʰɑu[2]刨咆炮袍匏
pʰɑu[3]跑
pʰɑu[5]炮泡疱
mɑu[2]毛矛茅锚髦蟊牦
mɑu[3]卯铆牡
mɑu[5]冒帽貌
tɑu[1]刀叨
tɑu[3]导岛捣祷倒{跌～}
tɑu[5]倒蹈到悼盗道稻
tʰɑu[1]涛掏滔韬焘
tʰɑu[2]逃桃陶啕淘绹萄
tʰɑu[3]讨
tʰɑu[5]套
nɑu[2]挠铙
nɑu[3]恼脑
nɑu[5]闹
lɑu[1]捞{白～}
lɑu[2]劳牢唠痨崂涝捞{打～}
lɑu[3]老姥佬
tsɑu[1]朝遭糟招昭沼召
tsɑu[2]櫂
tsɑu[3]早枣蚤澡藻爪
tsɑu[5]灶皂造兆诏赵照罩肇噪
tsʰɑu[1]操抄钞焯超
tsʰɑu[2]曹嘈槽巢朝嘲潮
tsʰɑu[3]草吵炒
tsʰɑu[5]操糙燥躁
sɑu[1]搔骚臊梢烧稍筲
sɑu[2]韶□{大口吃}□{打}
sɑu[3]扫嫂少{多～}
sɑu[5]邵绍哨潲少{～女}
kɑu[1]羔高膏篙糕皋
kɑu[2]搞{指调皮}
kɑu[3]槁稿搞{做}
kɑu[5]告诰珓窖
kʰɑu[1]敲
kʰɑu[3]考拷烤睾
kʰɑu[5]犒靠
ŋɑu[2]熬鳌敖翱□{摇动，打}
ŋɑu[3]袄咬
ŋɑu[5]坳拗扷傲奥澳懊
hɑu[1]蒿薅薅{～田}
hɑu[2]毫豪嚎壕
hɑu[3]郝好{～坏}
hɑu[5]号浩耗皓好{爱～}
piɑu[1]标彪滮熛膘镖瀌飚飙鳔
piɑu[3]表婊裱
pʰiɑu[1]飘瞟漂{～流}
pʰiɑu[2]瓢薸嫖
pʰiɑu[3]漂{～白}
pʰiɑu[5]票缥漂{～亮}
miɑu[1]猫
miɑu[2]苗描瞄
miɑu[3]秒渺藐缈
miɑu[5]妙庙谬缪
tiɑu[1]刁凋貂碉雕叼
tiɑu[3]屌
tiɑu[5]吊钓掉调{～查}
tʰiɑu[1]挑
tʰiɑu[2]条迢窕调{～整}
tʰiɑu[5]跳粜
tʰiɑu[3]斢{交换}
niɑu[1]□{粘稠}
niɑu[2]□{细长，柔软状}
niɑu[3]鸟
niɑu[5]尿
liɑu[1]撩缭{～东西}
liɑu[2]潦辽疗聊僚嘹獠燎镣寥瞭撩{～人}
liɑu[3]了蓼{辣～：一种水生植物}
liɑu[5]廖鹩料
ʨiɑu[1]椒焦蕉礁
ʨiɑu[2]嚼
ʨiɑu[3]剿
ʨiɑu[5]醮
ʨʰiɑu[1]悄劁锹缲
ʨʰiɑu[2]谯憔樵瞧
ʨʰiɑu[5]俏峭鞘
ɕiɑu[1]宵消逍萧硝销箫霄肖潇
ɕiɑu[3]小
ɕiɑu[5]魈笑啸
kiɑu[1]交郊姣娇浇茭骄胶蛟教
kiɑu[3]狡绞饺皎铰搅缴侥矫
kiɑu[5]叫轿教藠觉较窖
kʰiɑu[2]乔侨荞桥
kʰiɑu[3]巧
kʰiɑu[5]窍翘撬跷
hiɑu[1]侥枭嚣
hiɑu[2]淆肴
hiɑu[3]晓
hiɑu[5]较酵孝哮效校
iɑu[1]幺夭妖腰邀吆要{～求}
iɑu[2]饶尧姚窑谣摇遥瑶
iɑu[3]扰绕舀
iɑu[5]耀鹞要{重～}
pɐi[1]揹卑碑悲杯
pɐi[5]蓓贝狈背倍辈被惫
pʰɐi[1]胚坯
pʰɐi[2]陪培赔裴
pʰɐi[3]呸
pʰɐi[5]沛佩配
mɐi[1]□{东西软烂或腐烂}□{新、漂亮：～衣}
mɐi[2]枚玫莓梅媒煤霉酶楣
mɐi[3]每美
mɐi[5]妹昧媚寐没魅
fɐi[1]飞妃非绯菲扉灰诙恢挥辉徽
fɐi[2]肥回茴蛔
fɐi[3]匪诽翡悔毁诲晦讳
fɐi[5]吠废肺费痱会绘汇贿彗秽惠慧穗卉
tɐi[1]堆
tɐi[3]□{批发、贩卖}□{彼此抵销}
tɐi[5]兑队对碓
tʰɐi[1]推
tʰɐi[2]颓
tʰɐi[3]腿
tʰɐi[5]蜕退褪
nɐi[3]馁
nɐi[5]内
lɐi[1]镭{铜钱}□{推、顶进去}
lɐi[2]雷擂
lɐi[3]屡磊儡垒蕾累{积～}
lɐi[5]泪类傫{劳～}
tsɐi[2]贼{文读}
tsɐi[3]嘴
tsɐi[3]罪最醉
tsʰɐi[1]崔催摧
tsʰɐi[2]随
tsʰɐi[5]淬脆萃瘁粹翠
sɐi[2]谁隋
sɐi[5]岁碎
kɐi[3]给
tsuɐi[1]追锥椎隹
tsuɐi[5]缀赘缒坠惴
tsʰuɐi[1]吹炊
tsʰuɐi[2]槌锤垂捶陲棰
suɐi[1]衰虽绥
suɐi[3]水髓
suɐi[5]税瑞睡遂隧祟
kuɐi[1]闺规龟归圭
kuɐi[3]傀诡轨鬼
kuɐi[5]瑰鳜桂跪癸柜贵刽
kʰuɐi[1]盔亏窥魁
kʰuɐi[2]奎睽逵揆葵
kʰuɐi[5]溃愧馈
zuɐi[5]锐蕊睿蕤
uɐi[1]煨威微
uɐi[2]桅危为唯惟维韦围违苇
uɐi[3]委诿萎伟尾纬伪
uɐi[5]猥卫为餵位未味畏胃尉谓慰魏蔚
pɐu[1]□{蹲}
pɐu[5]□{臃肿}□{老～：上年纪的男性老人}
pʰɐu[3]剖{解～}
mɐu[1]踎{蹲}
mɐu[2]谋眸牟
mɐu[3]某亩牡{又}
mɐu[5]茂贸
fɐu[2]浮
fɐu[3]否缶
fɐu[5]埠
tɐu[1]兜蔸逗篼
tɐu[3]斗抖陡蚪
tɐu[5]豆鬥痘窦逗读{句～}
tʰɐu[1]偷
tʰɐu[2]头投
tʰɐu[3]敨{～气}
tʰɐu[5]透
lɐu[1]褛搂{掏、抠}
lɐu[2]娄楼□{～馊：讲脏话，罗嗦}
lɐu[3]缕篓髅喽{～罗}□{急～～，指急忙}
lɐu[5]陋漏露
nɐu[2]□{浑浊，粘稠}
tsɐu[1]周舟州洲邹
tsɐu[3]走肘帚
tsɐu[5]做奏纣咒宙昼胄皱骤揍
tsʰɐu[1]抽
tsʰɐu[2]仇俦绸畴愁稠筹酬
tsʰɐu[3]丑
tsʰɐu[5]凑辏臭
sɐu[1]收搜馊艘嗖飕溲
sɐu[3]擞手守首叟狩
sɐu[5]嗽寿受兽售授绶瘦
kɐu[1]勾沟钩阄
kɐu[2]嚿{量词，块}
kɐu[3]狗苟
kɐu[5]构购垢够
kʰɐu[1]抠眍{眼窝下陷}
kʰɐu[3]口
kʰɐu[5]叩扣寇蔻
ŋɐu[1]讴欧瓯鸥殴区{姓}
ŋɐu[2]□{～头：傲慢，蛮横}
ŋɐu[3]呕偶藕
ŋɐu[5]沤怄熰{炖东西}□{打}
hɐu[1]佝{背弯曲}睺{守候}
hɐu[2]侯喉猴瘊
hɐu[3]吼
hɐu[5]后厚候逅
miɐu[5]谬
tiɐu[1]丢
tiɐu[3]□{～子：伤疤}□{细小}
niɐu[1]妞扭{～耳朵}
niɐu[2]牛
niɐu[3]纽钮忸扭{～转}
liɐu[1]遛蹓溜{～走}
liɐu[2]刘流留琉硫榴瘤浏榴
liɐu[3]柳绺
liɐu[5]瘤馏溜{滑～：光滑}
ʨiɐu[1]揪
ʨiɐu[3]酒
ʨiɐu[5]就
ʨʰiɐu[1]秋鳅
ʨʰiɐu[3]啾{喷嚏叫阿～}
ʨʰiɐu[5]凑{～热闹}
ɕiɐu[1]修羞
ɕiɐu[3]宿{一～}
ɕiɐu[5]秀绣袖锈嗅
kiɐu[1]纠鸠阄
kiɐu[3]九久韭玖灸
kiɐu[5]究旧臼疚柩厩救舅咎
kʰiɐu[1]丘邱蚯
kʰiɐu[2]求球囚泅仇{姓氏}
ŋiɐu[2]牛{又}
ŋiɐu[5]皱绉
hiɐu[1]休
hiɐu[3]朽
iɐu[1]优忧悠幽
iɐu[2]柔揉尤由犹邮油疣游鱿蹂猷
iɐu[3]友有酉
iɐu[5]柚莠又右佑诱釉幼
iu[2]肉育郁毓辱狱
pã[1]扳班颁斑般瘢癍
pã[3]板版坂□{摔倒}
pã[5]办扮瓣畔湴
pʰã[1]攀潘
pʰã[5]盼襻判叛
mã[2]蛮馒
mã[3]晚{排行最小的}
mã[5]慢幔漫曼蔓谩
fã[1]番翻
fã[2]帆凡藩矾烦樊蕃繁桓环还{归～}
fã[3]反返缓
fã[5]犯泛范饭贩
tã[1]耽丹单眈担{～心}
tã[3]胆疸掸□{用沸水焯}
tã[5]淡旦但诞蛋氮担{挑～}
tʰã[1]贪摊滩瘫坍
tʰã[2]谭潭谈痰弹坛檀
tʰã[3]毯坦袒忐
tʰã[5]探叹炭碳
nã[2]男南楠腩难{困～}
nã[5]难{灾～}
lã[1]篮{～子}
lã[2]婪蓝兰拦栏阑澜岚篮{～球}
lã[3]览揽榄懒缆
lã[5]滥烂
tsã[3]斩蘸盏展辗攒崭
tsã[5]湛暂錾站占赞绽栈战蘸
tsʰã[1]参搀餐掺
tsʰã[2]蚕惭谗馋残缠阐蝉蟾禅婵单{～于}镵{刺、扎}
tsʰã[3]惨产铲
tsʰã[5]灿璨粲忏
sã[1]三衫珊山删煽叁杉姗膻
sã[2]蟾禅蝉阐
sã[3]伞散{～装}
sã[5]疝擅汕散{～步}
kã[1]甘柑干杆肝竿间
kã[3]感敢橄减杆秆擀
kã[5]赣幹
kʰã[1]勘龛堪嵌刊戡
kʰã[3]坎阚槛侃
kʰã[5]看
ŋã[1]庵鹌安鞍氨
ŋã[2]癌岩
ŋã[5]暗岸按案晏雁谙黯
hã[1]酣憨鼾
hã[2]含函涵颔衔寒韩还邯晗咸{又}
hã[3]喊罕
hã[5]憾撼汉汗旱捍焊翰限
piẽ[1]鞭边编
piẽ[3]贬缏蝙扁匾
piẽ[5]汴变辨辩遍辫便{方～}
pʰiẽ[1]偏篇翩
pʰiẽ[2]便{～宜}
pʰiẽ[3]片把
pʰiẽ[5]弁骗徧片
miẽ[2]绵棉眠
miẽ[3]免勉缅腼娩
miẽ[5]面麺
tiẽ[1]掂颠巅癫
tiẽ[2]点典碘
tiẽ[5]掂店电佃甸垫淀奠靛惦踮殿箪
tʰiẽ[1]添天
tʰiẽ[2]恬甜田填
tʰiẽ[3]忝舔
tʰiẽ[5]掭
niẽ[1]拈研黏稔
niẽ[2]严年鲇
niẽ[3]碾撵捻辇
niẽ[5]验念酽
liẽ[1]蔫
liẽ[2]帘廉镰连联鲢怜莲
liẽ[3]脸敛
liẽ[5]练炼楝恋链
ʨiẽ[1]尖煎歼缄毡簪沾瞻糌粘詹
ʨiẽ[3]剪践
ʨiẽ[5]渐贱箭荐溅饯
ʨʰiẽ[1]歼签纤迁笺千阡铅
ʨʰiẽ[2]潜钱前
ʨʰiẽ[3]浅
ɕiẽ[1]仙先煽
ɕiẽ[3]闪陕
ɕiẽ[5]线羡扇善骟膳鳝
kiẽ[1]监兼艰奸坚肩间{中～}
kiẽ[3]碱俭检拣柬简茧笕涧锏
kiẽ[5]剑件建健键见鉴舰谏毽腱犍间{～隔}
kʰiẽ[1]牵谦
kʰiẽ[2]钳黔虔乾掮
kʰiẽ[3]遣
kʰiẽ[5]芡欠歉嵌
hiẽ[2]咸嫌闲娴弦贤舷
hiẽ[3]险显蚬
hiẽ[5]宪献现县苋陷谄限{又}
iẽ[1]淹腌焉咽烟胭阉
iẽ[2]炎盐阎檐颜然燃延筵言芫俨
iẽ[3]冉染掩眼衍演
iẽ[5]厌艳焰酽谚砚宴燕堰雁{又}
põ[1]搬
põ[5]半伴拌绊
pʰõ[2]盘磐
mõ[2]瞒
mõ[3]满螨
tõ[1]端
tõ[3]短断
tõ[5]段断缎锻椴
tʰõ[2]团
nõ[3]暖
lõ[1]□{挤、钻}
lõ[2]峦栾鸾銮娈挛
lõ[3]卵
lõ[5]乱
sõ[1]酸
sõ[5]蒜算
kõ[1]观官冠棺鳏
kõ[3]馆管
kõ[5]冠灌罐
kʰõ[1]宽
kʰõ[3]款
fõ[5]唤换涣焕患幻宦
uõ[2]完
suã[1]闩拴栓
kuã[1]关
kuã[5]贯惯
ŋuã[2]顽
uã[1]豌弯湾
uã[2]玩丸纨顽{又}
uã[3]惋碗腕挽晚婉
uã[5]万
tsyẽ[1]专砖钻
tsyẽ[3]转
tsyẽ[5]赚撰篆转{又}传{自～}钻{～石}
ʨʰyẽ[2]全泉痊船椽传{～承}
ʨʰyẽ[1]川穿
ʨʰyẽ[3]喘
ʨʰyẽ[5]窜纂篡串
ɕyẽ[1]鲜宣喧萱
ɕyẽ[2]旋漩璇
ɕyẽ[3]癣选
ɕyẽ[5]绚眩
kyẽ[1]捐绢鹃
kyẽ[3]捲卷
kyẽ[5]券倦眷圈{～养}
kʰyẽ[1]圈{圆～}
kʰyẽ[2]权拳蜷颧
kʰyẽ[3]犬
