漢字	IPA	注释
馅	ham6	
陷	ham6	
阚	hɐm6	
憾	hɐm6	
撼	hɐm6	
鹇	han2	
娴	han2	
闲	han2	
痕	hɐn2	
恳	hɐn3	
垦	hɐn3	
狠	hɐn3	
很	hɐn3	
庆	hɐn5	
悭	han1	
兄	hɐn1	
馨	hɐn1	
罄	hɐn1	
卿	hɐn1	
氢	hɐn1	
轻	hɐn1	
限	han6	
恨	hɐn6	
衡	hɐŋ2	
桁	hɐŋ2	
恒	hɐŋ2	
啃	hɐŋ3	
肯	hɐŋ3	
铿	hɐŋ1	
坑	hɐŋ1	
哼	hɐŋ1	
亨	hɐŋ1	
悻	hɐŋ6	
幸	hɐŋ6	
杏	hɐŋ6	
洽	hɐp7a	
狭	hap8	
峡	hap8	
侠	hap8	
阖	hɐp8	
颌	hɐp8	
盒	hɐp8	
瞎	hat7b	
乞	hɐt7a	
吃	hɐt7a	
辖	hɐt8	
迄	hɐt8	
姣	hau2	
厚	hɐu2	
吼	hɐu2	
猴	hɐu2	
喉	hɐu2	
侯	hɐu2	
嚎	hɐu2	
壕	hɐu2	
豪	hɐu2	
毫	hɐu2	
蚝	hɐu2	
巧	hau3	
考	hau3	
口	hɐu3	
孝	hau5	
敲	hau1	
烤	hau1	
酵	hau1	
效	hau6	
候	hɐu6	
后	hɐu6	
浩	hɐu6	
号	hɐu6	
壳	hɔk7b	
学	hɔk8	
鹤	hɔk8	
行	hɔŋ2	
降	hɔŋ2	
航	hɔŋ2	
杭	hɔŋ2	
腔	hɔŋ1	
眶	hɔŋ1	
筐	hɔŋ1	
匡	hɔŋ1	
糠	hɔŋ1	
康	hɔŋ1	
巷	hɔŋ6	
项	hɔŋ6	
喜	hi3	
起	hi3	
岂	hi3	
戏	hi5	
器	hi5	
汽	hi5	
弃	hi5	
气	hi5	
禧	hi1	
曦	hi1	
羲	hi1	
熹	hi1	
嬉	hi1	
嘻	hi1	
熙	hi1	
稀	hi1	
烯	hi1	
牺	hi1	
唏	hi1	
希	hi1	
欺	hi1	
饷	hiaŋ3	
响	hiaŋ3	
享	hiaŋ3	
向	hiaŋ5	
香	hiaŋ1	
乡	hiaŋ1	
险	him3	
欠	him5	
谦	him1	
蚬	hin3	
显	hin3	
缱	hin3	
遣	hin3	
献	hin5	
宪	hin5	
芡	hin5	
轩	hin1	
掀	hin1	
牵	hin1	
胁	hip7b	
协	hip7b	
怯	hip7b	
歉	hip7b	
晓	hiu3	
翘	hiu5	
窍	hiu5	
嚣	hiu1	
侥	hiu1	
河	ho2	
何	ho2	
可	ho3	
坷	ho1	
苛	ho1	
呵	ho1	
诃	ho1	
贺	ho6	
靴	hœ1	
海	hoi3	
开	hoi1	
害	hoi6	
亥	hoi6	
旱	hɵn2	
寒	hɵn2	
韩	hɵn2	
鼾	hɵn2	
犬	hɵn3	
侃	hɵn3	
刊	hɵn3	
罕	hɵn3	
劝	hɵn5	
汉	hɵn5	
喧	hɵn1	
圈	hɵn1	
瀚	hɵn6	
翰	hɵn6	
焊	hɵn6	
汗	hɵn6	
雄	hoŋ2	
鸿	hoŋ2	
洪	hoŋ2	
虹	hoŋ2	
红	hoŋ2	
恐	hoŋ3	
孔	hoŋ3	
控	hoŋ5	
烘	hoŋ5	
哄	hoŋ5	
胸	hoŋ1	
恟	hoŋ1	
汹	hoŋ1	
匈	hoŋ1	
凶	hoŋ1	
崆	hoŋ1	
空	hoŋ1	
血	hɵt7b	
渴	hɵt7b	
喝	hɵt7b	
煦	hy3	
栩	hy3	
诩	hy3	
许	hy3	
去	hy5	
嘘	hy1	
虚	hy1	
椅	i3	
倚	i3	
漪	i3	
臆	i5	
薏	i5	
意	i5	
依	i1	
医	i1	
衣	i1	
伊	i1	
夜	ja6	
跃	jak7b	
约	jak7b	
药	jak8	
弱	jak8	
若	jak8	
虐	jak8	
疟	jak8	
淫	jɐm2	
吟	jɐm2	
饮	jɐm3	
音	jɐm1	
阴	jɐm1荫（树～）	
任	jɐm6	
壬	jɐm6	
赁	jɐm6	
赢	jɐn2	
赢	jɐn2	
蝇	jɐn2	
楹	jɐn2	
营	jɐn2	
萤	jɐn2	
莹	jɐn2	
盈	jɐn2	
荧	jɐn2	
迎	jɐn2	
瘾	jɐn2	
引	jɐn2	
寅	jɐn2	
益	jɐn2	
荥	jɐn2	
型	jɐn2	
形	jɐn2	
刑	jɐn2	
仍	jɐn2	
仁	jɐn2	
人	jɐn2	
凝	jɐn2	
隐	jɐn3	
忍	jɐn3	
印	jɐn5	
鹰	jɐn1	
鹦	jɐn1	
樱	jɐn1	
缨	jɐn1	
嘤	jɐn1	
婴	jɐn1	
英	jɐn1	
殷	jɐn1	
姻	jɐn1	
茵	jɐn1	
因	jɐn1	
欣	jɐn1	
恩	jɐn1	
孕	jɐn6	
衅	jɐn6	
润	jɐn6	
闰	jɐn6	
纫	jɐn6	
仞	jɐn6	
认	jɐn6	
刃	jɐn6	
痒	jaŋ2	
氧	jaŋ2	
养	jaŋ2	
仰	jaŋ2	
洋	jaŋ2	
疡	jaŋ2	
佯	jaŋ2	
杨	jaŋ2	
阳	jaŋ2	
羊	jaŋ2	
扬	jaŋ2	
嚷	jaŋ2	
攘	jaŋ2	
壤	jaŋ2	
怏	jaŋ1	
鸯	jaŋ1	
殃	jaŋ1	
泱	jaŋ1	
央	jaŋ1	
样	jaŋ6	
让	jaŋ6	
熠	jɐp7a	
邑	jɐp7a	
揖	jɐp7a	
泣	jɐp7a	
膉	jɐt7a	
抑	jɐt7a	
壹	jɐt7a	
一	jɐt7a	
翼	jɐt8	
蜴	jɐt8	
溢	jɐt8	
翌	jɐt8	
逸	jɐt8	
疫	jɐt8	
弈	jɐt8	
轶	jɐt8	
驿	jɐt8	
易	jɐt8	
译	jɐt8	
役	jɐt8	
亦	jɐt8	
腋	jɐt8	
液	jɐt8	
日	jɐt8	
由	jɐu2	文，理～
悠	jɐu2	文，～～
诱	jɐu2	文
莠	jɐu2	文
酉	jɐu2	文
油	jɐu2	文
游	jɐu2	
犹	jɐu2	
邮	jɐu2	
尤	jɐu2	
揉	jɐu2	
柔	jɐu2	
由	jɐu3	文，单用
釉	jɐu3	
幼	jɐu5	文
忧	jɐu1	文
优	jɐu1	文
休	jɐu1	文
幽	jɐu1	
丘	jɐu1	
冶	je2	
揶	je2	
耶	je2	
椰	je2	
野	jɛ2	文，田～
爷	jɛ2	
惹	jɛ3	
谊	ji2	
议	ji2	
矣	ji2	
以	ji2	
已	ji2	
彝	ji2	
疑	ji2	
颐	ji2	
痍	ji2	
移	ji2	
胰	ji2	
姨	ji2	
贻	ji2	
宜	ji2	
怡	ji2	
饴	ji2	
迤	ji2	
夷	ji2	
仪	ji2	
拟	ji2	
耳	ji2	
尔	ji2	
而	ji2	
儿	ji2	
异	ji6	
义	ji6	
贰	ji6	
二	ji6	
檐	jim2	
阎	jim2	
盐	jim2	
严	jim2	
酹	jim2	
掩	jim3	
淹	jim3	
厌	jim5	
奄	jim1	
阉	jim1	
庵	jim1	
焰	jim6	
验	jim6	
艳	jim6	
炎	jim6	
研	jin2	文
彦	jin2	
蜒	jin2	
沿	jin2	
妍	jin2	
言	jin2	
延	jin2	
涎	jin2	
弦	jin2	
贤	jin2	
燃	jin2	
然	jin2	
演	jin3	
燕	jin5	
堰	jin5	
宴	jin5	
咽	jin1	
湮	jin1	
焉	jin1	
烟	jin1	
胭	jin1	
谚	jin6	
砚	jin6	
现	jin6	
苋	jin6	
腌	jip7b	
烨	jip8	
晔	jip8	
页	jip8	
叶	jip8	
业	jip8	
入	jip8	
乙	jit7b	
噎	jit7b	
热	jit8	
瑶	jiu2	
摇	jiu2	
谣	jiu2	
窑	jiu2	
姚	jiu2	
尧	jiu2	
饶	jiu2	
妖	jiu3	
扰	jiu3	
浇	jiu3	
要	jiu5	
邀	jiu1	
腰	jiu1	
夭	jiu1	
耀	jiu6	
曜	jiu6	
鹞	jiu6	
毓	jok7a	
煜	jok7a	
彧	jok7a	
昱	jok7a	
沃	jok7a	
鬻	jok8	
欲	jok8	
浴	jok8	
狱	jok8	
育	jok8	
玉	jok8	
褥	jok8	
辱	jok8	
肉	jok8	
勇	joŋ2	
墉	joŋ2	
庸	joŋ2	
熊	joŋ2	
融	joŋ2	
镕	joŋ2	
榕	joŋ2	
蓉	joŋ2	
容	joŋ2	
茸	joŋ2	
戎	joŋ2	
拥	joŋ3	
绒	joŋ3	
雍	joŋ1	
翁	joŋ1	
冗	joŋ1	
用	joŋ6	
佣	joŋ6	
莠	ju2	白
酉	ju2	白
油	ju2	白
悠	ju2	白
有	ju2	
友	ju2	
攸	ju2	
由	ju3	白，任～,随便
诱	ju5	白
幼	ju5	白
柚	ju5	
忧	ju1	白
优	ju1	白
休	ju1	
佑	ju6	
右	ju6	
又	ju6	
语	jy2	
禹	jy2	
雨	jy2	
羽	jy2	
宇	jy2	
屿	jy2	
予	jy2	
舆	jy2	
愚	jy2	
虞	jy2	
腴	jy2	
渔	jy2	
萸	jy2	
娱	jy2	
鱼	jy2	
盂	jy2	
余	jy2	
妤	jy2	
乳	jy2	
汝	jy2	
蠕	jy2	
孺	jy2	
濡	jy2	
儒	jy2	
茹	jy2	
如	jy2	
玛	jy2	
锥	jy1	
豫	jy6	
誉	jy6	
愈	jy6	
裕	jy6	
寓	jy6	
御	jy6	
喻	jy6	
遇	jy6	
预	jy6	
榆	jy6	
瑜	jy6	
愉	jy6	
逾	jy6	
吁	jy6	
锐	jy6	
芮	jy6	
蕊	jy6	
远	jyn2	
辕	jyn2	
源	jyn2	
猿	jyn2	
缘	jyn2	
圆	jyn2	
原	jyn2	
袁	jyn2	
员	jyn2	
园	jyn2	
元	jyn2	
眩	jyn2	
悬	jyn2	
玄	jyn2	
完	jyn2	
丸	jyn2	
软	jyn2	
铅	jyn2	
院	jyn3	
皖	jyn3	
阮	jyn3	
浣	jyn3	
怨	jyn5	
渊	jyn1	
冤	jyn1	
鸳	jyn1	
鸢	jyn1	
愿	jyn6	
县	jyn6	
粤	jyt8	
越	jyt8	
悦	jyt8	
阅	jyt8	
钺	jyt8	
月	jyt8	
曰	jyt8	
钥	jyt8	
穴	jyt8	
寡	ka3	
剐	ka3	
咖	ka5	
稼	ka5	
嫁	ka5	
架	ka5	
驾	ka5	
价	ka5	
褂	ka5	
挂	ka5	
卦	ka5	
嘉	ka1	
家	ka1	
痂	ka1	
枷	ka1	
迦	ka1	
加	ka1	
瓜	ka1	
呱	ka1	
嘎	ka1	
踟	ka1	
拐	kai3	
蚧	kai5	
诫	kai5	
疥	kai5	
界	kai5	
届	kai5	
芥	kai5	
戒	kai5	
介	kai5	
怪	kai5	
尬	kai5	
髻	kɐi5	
继	kɐi5	
街	kai1	
皆	kai1	
阶	kai1	
佳	kai1	
归	kɐi1	文
笄	kɐi1	
鸡	kɐi1	
闺	kɐi1	
圭	kɐi1	
膈	kak7a	
隔	kak7a	
格	kak7a	
革	kak7a	
减	kam3	
锦	kɐm3	
感	kɐm3	
敢	kɐm3	
鉴	kam5	
监	kam5	
尴	kam5	
禁	kɐm5	
监	kam1	
金	kɐm1	
今	kɐm1	
蚶	kɐm1	
橄	kɐm1	
柑	kɐm1	
甘	kɐm1	
揿	kɐm6	
碱	kan3	
简	kan3	
锏	kan3	
茧	kan3	
枧	kan3	
拣	kan3	
境	kɐn3	
竟	kɐn3	
警	kɐn3	
景	kɐn3	
颈	kɐn3	
谨	kɐn3	
紧	kɐn3	
仅	kɐn3	
涧	kan5	
惯	kan5	
镜	kɐn5	
敬	kɐn5	
径	kɐn5	
茎	kɐn5	
棍	kɐn5	
纶	kan1	
艰	kan1	
奸	kan1	
鳏	kan1	
关	kan1	
钧	kɐn1	
君	kɐn1	
均	kɐn1	
军	kɐn1	
惊	kɐn1	
荆	kɐn1	
经	kɐn1	
京	kɐn1	
筋	kɐn1	
斤	kɐn1	
巾	kɐn1	
跟	kɐn1	
根	kɐn1	
郡	kɐn6	
竞	kɐn6	
劲	kɐn6	
近	kɐn6	
亘	kɐn6	
梗	kɐŋ3	
耿	kɐŋ3	
迳	kɐŋ5	
羹	kɐŋ1	
耕	kɐŋ1	
庚	kɐŋ1	
匣	kap7b	
胛	kap7b	
甲	kap7b	
急	kɐp7a	
蛤	kɐp7a	
鸽	kɐp7a	
及	kɐp8	
刮	kat7b	
讫	kɐt7a	
橘	kɐt7a	
桔	kɐt7a	
戟	kɐt7a	
吉	kɐt7a	
激	kɐt7a	
击	kɐt7a	
骨	kɐt7a	
掘	kɐt8	
倔	kɐt8	
极	kɐt8	
疙	kɐt8	
搅	kau3	
皎	kau3	
绞	kau3	
狡	kau3	
佼	kau3	
蛟	kau3	
搞	kau3	
九	kɐu3	
笱	kɐu3	
狗	kɐu3	
苟	kɐu3	
稿	kɐu3	
滘	kau5	
窖	kau5	
较	kau5	
骹	kau5	
灸	kɐu5	文
犒	kɐu5	
柩	kɐu5	
疚	kɐu5	
咎	kɐu5	
够	kɐu5	
垢	kɐu5	
诰	kɐu5	
告	kɐu5	
胶	kau1	
茭	kau1	
郊	kau1	
交	kau1	
鸠	kɐu1	
膏	kɐu1	
睾	kɐu1	
羔	kɐu1	
高	kɐu1	
皋	kɐu1	
桷	kɔk7b	
觉	kɔk7b	
角	kɔk7b	
国	kɔk7b	
蝈	kɔk7b	
各	kɔk7b	
阁	kɔk7b	
搁	kɔk7b	
讲	kɔŋ3	
广	kɔŋ3	
桄	kɔŋ3	
港	kɔŋ3	
降	kɔŋ5	
杠	kɔŋ5	
钢	kɔŋ5	
江	kɔŋ1	
胱	kɔŋ1	
光	kɔŋ1	
岗	kɔŋ1	
罡	kɔŋ1	
缸	kɔŋ1	
纲	kɔŋ1	
肛	kɔŋ1	
刚	kɔŋ1	
冈	kɔŋ1	
跨	kʰa1	
胯	kʰa1	
垮	kʰa1	
夸	kʰa1	
卡	kʰa1	
旮	kʰa1	
携	kʰɐi2	
愧	kʰɐi2	
夔	kʰɐi2	
葵	kʰɐi2	
逵	kʰɐi2	
楷	kʰai3	
块	kʰai5	
龟	kʰɐi1	白
溪	kʰɐi1	
窥	kʰɐi1	
盔	kʰɐi1	
岿	kʰɐi1	
亏	kʰɐi1	
稽	kʰɐi1	
规	kʰɐi1	
擒	kʰɐm2	
禽	kʰɐm2	
琴	kʰɐm2	
螭	kʰɐm2	
衾	kʰɐm1	
襟	kʰɐm1	
群	kʰɐn2	
裙	kʰɐn2	
琼	kʰɐn2	
擎	kʰɐn2	
勤	kʰɐn2	
芹	kʰɐn2	
鲸	kʰɐn2	
近	kʰɐn2	
顷	kʰɐn3	
捆	kʰɐn3	
菌	kʰɐn3	
困	kʰɐn5	
倾	kʰɐn1	
昆	kʰɐn1	
坤	kʰɐn1	
哽	kʰɐŋ2	白，不能下咽
梗	kʰɐŋ3	
框	kʰɐŋ1	
轰	kʰɐŋ1	
觥	kʰɐŋ1	
肱	kʰɐŋ1	
笈	kʰɐp7a	
级	kʰɐp7a	
汲	kʰɐp7a	
给	kʰɐp7a	
咳	kʰɐt7a	
剧	kʰɐt8	
屐	kʰɐt8	
球	kʰɐu2	
求	kʰɐu2	
臼	kʰɐu2	
靠	kʰau5	
寇	kʰɐu5	
铐	kʰɐu5	
购	kʰɐu5	
构	kʰɐu5	
篝	kʰɐu1	
抠	kʰɐu1	
沟	kʰɐu1	
榷	kʰɔk7b	
确	kʰɔk7b	
廓	kʰɔk7b	
藿	kʰɔk7b	
壑	kʰɔk7b	
涸	kʰɔk7b	
郭	kʰɔk7b	
诳	kʰɔŋ2	
狂	kʰɔŋ2	
慷	kʰɔŋ3	
扩	kʰɔŋ5	
矿	kʰɔŋ5	
况	kʰɔŋ5	
旷	kʰɔŋ5	
邝	kʰɔŋ5	
抗	kʰɔŋ5	
伉	kʰɔŋ5	
隙	kʰek7a	
茄	kʰɛ2	
瘸	kʰɛ3	
企	kʰi2	
麒	kʰi2	
旗	kʰi2	
棋	kʰi2	
琪	kʰi2	
骐	kʰi2	
淇	kʰi2	
祈	kʰi2	
其	kʰi2	
岐	kʰi2	
祁	kʰi2	
骥	kʰi5	
冀	kʰi5	
龟	kʰi1	白
崎	kʰi1	
蹊	kʰi1	
畸	kʰi1	
却	kʰiak7b	
襁	kʰiaŋ2	
强	kʰiaŋ2	
黔	kʰim2	
钳	kʰim2	
乾	kʰin2	
虔	kʰin2	
硖	kʰip8	
撷	kʰit7b	
蝎	kʰit7b	
竭	kʰit7b	
碣	kʰit7b	
颉	kʰit7b	
诘	kʰit7b	
揭	kʰit7b	
桥	kʰiu2	
荞	kʰiu2	
侨	kʰiu2	
乔	kʰiu2	
跷	kʰiu1	
文	kʰo1	
贿	kʰoi3	
刽	kʰoi3	
忾	kʰoi5	
慨	kʰoi5	
桧	kʰoi5	
概	kʰoi5	
溉	kʰoi5	
钙	kʰoi5	
丐	kʰoi5	
麹	kʰok7a	
蛐	kʰok7a	
曲	kʰok7a	
颧	kʰɵn2	
拳	kʰɵn2	
权	kʰɵn2	
穹	kʰoŋ2	
穷	kʰoŋ2	
阙	kʰɵt7b	
缺	kʰɵt7b	
了	kʰɵt7b	
括	kʰɵt7b	
厥	kʰɵt7b	
诀	kʰɵt7b	
决	kʰɵt7b	
舅	kʰu2	
桕	kʰu2	
箍	kʰu1	
衢	kʰy2	
渠	kʰy2	
距	kʰy2	
拒	kʰy2	
枢	kʰy1	
驱	kʰy1	
俱	kʰy1	
跔	kʰy1	
驹	kʰy1	
拘	kʰy1	
杞	ki3	
纪	ki3	
己	ki3	
簋	ki3	
鬼	ki3	
诡	ki3	
轨	ki3	
寄	ki5	
既	ki5	
季	ki5	
记	ki5	
桂	ki5	
贵	ki5	
癸	ki5	
畿	ki1	
箕	ki1	
基	ki1	
姬	ki1	
矶	ki1	
肌	ki1	
机	ki1	
玑	ki1	
饥	ki1	
叽	ki1	
讥	ki1	
归	ki1	
妓	ki6	
忌	ki6	
技	ki6	
伎	ki6	
跪	ki6	
柜	ki6	
脚	kiak7b	
疆	kiaŋ1	
缰	kiaŋ1	
彊	kiaŋ1	
僵	kiaŋ1	
姜	kiaŋ1	
检	kim3	
剑	kim5	
兼	kim1	
俭	kim6	
建	kin5	
见	kin5	
肩	kin1	
坚	kin1	
键	kin6	
腱	kin6	
健	kin6	
件	kin6	
涩	kip7b	
劫	kip7b	
结	kit7b	
洁	kit7b	
拮	kit7b	
杰	kit8	
缴	kiu3	
叫	kiu5	
骄	kiu1	
娇	kiu1	
撬	kiu6	
轿	kiu6	
裹	ko3	
果	ko3	
过	ko5	
个	ko5	
歌	ko1	
哥	ko1	
戈	ko1	
改	koi3	
盖	koi5	
赅	koi1	
该	koi1	
菊	kok7a	
鞠	kok7a	
榖	kok7a	
谷	kok7a	
煽	kok8	
局	kok8	
管	kɵn3	
莞	kɵn3	
赶	kɵn3	
秆	kɵn3	
券	kɵn5	
眷	kɵn5	
罐	kɵn5	
鹳	kɵn5	
灌	kɵn5	
贯	kɵn5	
鹃	kɵn1	
娟	kɵn1	
涓	kɵn1	
捐	kɵn1	
棺	kɵn1	
官	kɵn1	
竿	kɵn1	
杆	kɵn1	
倦	kɵn6	
拱	koŋ3	
巩	koŋ3	
贡	koŋ5	
汞	koŋ5	
龚	koŋ1	
躬	koŋ1	
蚣	koŋ1	
恭	koŋ1	
宫	koŋ1	
供	koŋ1	
攻	koŋ1	
功	koŋ1	
公	koŋ1	
弓	koŋ1	
工	koŋ1	
共	koŋ6	
葛	kɵt7b	
割	kɵt7b	
韭	ku3	
久	ku3	
九	ku3	
鼓	ku3	
蛊	ku3	
牯	ku3	
股	ku3	
古	ku3	
灸	ku5	白
救	ku5	
锢	ku5	
雇	ku5	
顾	ku5	
故	ku5	
固	ku5	
诂	ku1	
觚	ku1	
辜	ku1	
菇	ku1	
鸪	ku1	
轱	ku1	
姑	ku1	
孤	ku1	
沽	ku1	
估	ku1	
旧	ku6	
榉	ky3	
举	ky3	
矩	ky3	
踞	ky5	
锯	ky5	
据	ky5	
倨	ky5	
句	ky5	
居	ky1	
飓	ky6	
惧	ky6	
炬	ky6	
具	ky6	
苣	ky6	
巨	ky6	
啦	la1	
喇	la1	
旯	la1	
礼	lɐi2	
藜	lɐi2	
黎	lɐi2	
犁	lɐi2	
孻	lai1	
拉	lai1	
赖	lai6	
蛎	lɐi6	
俪	lɐi6	
郦	lɐi6	
荔	lɐi6	
例	lɐi6	
励	lɐi6	
丽	lɐi6	
鹂	lɐi6	
砾	lak7a	
肋	lak8	
勒	lak8	
篮	lam2	
褴	lam2	
蓝	lam2	
婪	lam2	
岚	lam2	
廪	lɐm2	
凛	lɐm2	
霖	lɐm2	
淋	lɐm2	
临	lɐm2	
林	lɐm2	
榄	lam3	
揽	lam3	
览	lam3	
滥	lam6	
缆	lam6	
舰	lam6	
懒	lan2	
澜	lan2	
栏	lan2	
拦	lan2	
兰	lan2	
轮	lɐn2	
沦	lɐn2	
伦	lɐn2	
仑	lɐn2	
领	lɐn2	
岭	lɐn2	
鲮	lɐn2	
零	lɐn2	
绫	lɐn2	
翎	lɐn2	
菱	lɐn2	
陵	lɐn2	
凌	lɐn2	
铃	lɐn2	
囹	lɐn2	
灵	lɐn2	
伶	lɐn2	
鳞	lɐn2	
燐	lɐn2	
邻	lɐn2	
躝	lan1	
烂	lan6	
论	lɐn6	
令	lɐn6	
另	lɐn6	
吝	lɐn6	
冷	lɐŋ2	
垃	lap7b	
笠	lɐp7a	
蜡	lap8	
腊	lap8	
立	lɐp8	
㾊	lat7b	
甩	lɐt7a	
雳	lɐt7a	
呖	lɐt7a	
迾	lat8	
邋	lat8	
聿	lɐt8	
率	lɐt8	
律	lɐt8	
傈	lɐt8	
砺	lɐt8	
栗	lɐt8	
沥	lɐt8	
力	lɐt8	
琉	lɐu2	文，～璃牢
柳	lɐu2	文
榴	lɐu2	文
馏	lɐu2	文
流	lɐu2	文
留	lɐu2	文
刘	lɐu2	文
搂	lɐu2	
楼	lɐu2	
喽	lɐu2	
溜	lɐu2	
老	lɐu2	
劳	lɐu2	
褛	lɐu1	
捞	lɐu1	
漏	lɐu6	
陋	lɐu6	
骆	lɔk7b	
络	lɔk7b	
洛	lɔk7b	
酪	lɔk7b	
烙	lɔk7b	
落	lɔk8	
乐	lɔk8	
银	lɔŋ2	
塱	lɔŋ2	
朗	lɔŋ2	
螂	lɔŋ2	
廊	lɔŋ2	
狼	lɔŋ2	
郎	lɔŋ2	
浪	lɔŋ6	
履	li2	
鲤	li2	
锂	li2	
理	li2	
娌	li2	
俚	li2	
里	li2	
李	li2	
篱	li2	
罹	li2	
梨	li2	
离	li2	
狸	li2	
厘	li2	
璃	li1	
痢	li6	
詈	li6	
莅	li6	
莉	li6	
利	li6	
吏	li6	
厉	li6	
饵	li6	
略	liak8	
掠	liak8	
粱	liaŋ2	
粱	liaŋ2	
粮	liaŋ2	
梁	liaŋ2	
凉	liaŋ2	
良	liaŋ2	
靓	liaŋ5	
量	liaŋ6	
辆	liaŋ6	
谅	liaŋ6	
亮	liaŋ6	
殓	lim2	
敛	lim2	
镰	lim2	
