	注释：-白读，=文读
h	[55]□{鼎～：锅箍}[22]蛤{～蟆}嫁{～人，～妆}虾{鱼～}霞[24]狭峡侠辖{管～}学={化～}□{～口：关隘}
∅	[55]阿{～胶}鸦{乌～}[42]下{～底；～降；冬～：冬天}[21]哑□{□ki42□tɔŋ22～：连接上下梁的柱子}[33]厦{～门}夏{姓；交～：立夏}[24]鸦{～片}鸭轭
#ia	
p	[24]璧壁
t	[55]籴[42]□{～死：装死}宅{～墩}[33]地-{～下}□{拥挤}[24]摘{～茶，～奶：断奶}
tʰ	[24]拆{～开}□{～新娘：闹洞房}□{～索：翻绳}
n	[21]惹{传染}□{苍耳}□{骹～□yẽĩ55：膝盖窝}[42]额{～头}□{辫子}[22]□{耙～：重耙}[33]□{谁}[24]镊{动词}□{～菜：搛菜}𥍉{～目：眼睛乱转到处乱看}
l	[42]吏{贪官污～（杨）}曆{日～}□{圆的簸箕}□{～□sia42鞋：拖鞋}[24]□{夹（菜）}
ts	[55]遮葉{姓}[42]邪斜畲{～族；畲客嫲}籍藉{狼～}[21]姐={小～}者[22]蔗□{～□pu42子：平房}[33]鹧{～鸪}谢{姓；多～}[24]雀{鸟的统称，原文“只”}迹脊渍{草～：草汁}
tsʰ	[55]车{马～}奢赊□{纳：～鞋底}□{欠；差：～五毛就十块钱}□{～刀：铅笔刀}[21]且扯[22]□{～肠子：盲肠}[24]恰{～当}赤□{爱占小便宜；～□ki22：流氓地痞}
s	[55]□{～沟：把垄里的土弄平}[42]□{□lia42～鞋：拖鞋}[21]写[22]泻{泽～，～腹：拉肚子}赦舍{宿～}[33]卸谢{凋～，花～了}[24]削鹊{鸭～；喜～}
k	[42]屐{木～}[21]□{绊；～舌：口吃}[24]□{～今：现在}
kʰ	[55]□{树～：树枝}[22]洽{接～}
h	[24]胁{威～}
∅	[42]射社煠{新派}役野{～秽：非农作物野草}□{凶}[21]佘{姓}耶{～稣}也{者也，也是}野{～生}[22]□{□i55～：母亲}[33]麝{～香}夜{～不收：夜不归宿}
#ua	
ts	[55]抓
k	[55]瓜[21]果裹馃{～片}寡剐[22]过挂卦褂{白大～}[24]刮郭
kʰ	[55]戈{姓}科窠{山～}夸{～～其谈}垮跨[21]挎{～包}[22]课[24]括{～弧}廓
h	[55]花祸[21]伙{～计，朋友～，入～}[22]货化[33]话={电～}[24]法{方～，～子}乏伐活
∅	[55]倭{～寇}窝娲{女～}蛙镬{～底：菜名}□{～□yẽĩ21：一种比搪瓷更不容易生锈的金属}[42]瓦画{划～一刀；～船}[21]华{中～；～山，姓}和{～气}[33]话-{～事：说话}
#ɛ	
p	[55]卜蔔{萝～}[22]憋{～一口气}[24]北
pʰ	[24]迫{压～}魄{魂～}
m	[42]密-{很～：合拢}墨脉[21]□{～鬼：鬼压身}□{～～的：默默地}[33]□{后～：以后}[24]默□{□ãŋ55～：小的癞蛤蟆}
t	[55]直胝{趼：手磨出～}[42]宅{某（姓）～}□{冇人～：老姑娘}[24]得{（动词），～到}德熟{饭～了}
tʰ	[24]特踢
n	[55]□{扔、投：～手榴弹}[24]□{□me21～子：老末儿}
l	[42]栗-{锥～}肋勒□{～目mu21：眼眍}[21]莱{～州}[22]来
ts	[55]栽[42]汁{目～：眼泪}塞{梗～}泽{～泻}[22]□{躲佯～：捉迷藏}□{姨嫲～：小姨}[33]□{未被包入时的馅儿}[24]折{（新派）𢫦～：打折}则侧-{□ka24□la24：侧着睡}泽{毛～东}择={选～}责柘{～荣：地名}□{树～：树干上纹理很乱的部位，很难劈开；形容很难相处的人}
tsʰ	[55]贼[22]菜脐[24]厕{～所；茅～}漆徹撤侧={～面}测策□{用力地搀扶，架着}
s	[55]笠-{萝～：斗笠；箬～}李{大的李子，原文“柰”}□{刺儿}力{勤快；食得tɛ0～：勤劳、勤快}狮{豨kyʰ21～：公猪}□{～～：经常}[42]李-{～子}[21]使[22]狸-{野猫；果～：果子狸}[24]涩瑟虱塞{出～}色啬{～疕：小气}锡□{炭tʰuẽĩ21～：黑色的鲇鱼}□{炸的东西不脆}
k	[24]格革隔={～离}
kʰ	[21]□{～来：起来}[24]咳{～嗽}克刻{时刻；用刀刻}箍{～桶，～篾：蔑箍}□{～□pi21：翅膀}
ŋ	[42]逆{～水行舟；横妻～子，无法可治}[24]额={名～}扼
h	[42]□{砍：～树}[24]黑赫嚇{恐～}核{审～；～心}
∅	[24]压{～力；高血～}押{～金，抵～}□{混合化肥的动作}
#iɛ	
p	[55]别{～人}[21]□{裂，～□tiɛ42：（手）开裂；～串：稻子分蘖}□{炝（锅）}[33]避{～难}[24]屄{女阴}□{□la42～：吹牛皮}
pʰ	[55]批{翻一～：翻一页}[21]撇{一～一捺}[33]劈{～巴掌}[24]别{区～；告～}撇{～水：用双手舀水}劈{～山}
m	[42]灭篾□{好～：好一些（“一些”合音）}
