#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]高阴入5 [8]阳入2 [7b]低阴入224
#ɿ	
ts	[1]钻簪-[5]攥钻
tsʰ	[1]汆{~汤}[2]蚕[5]窜{~动}錾{~子}
s	[1]酸[3]糁{饭粒}糁{轻洒}[5]算蒜
tʂ	[1]专砖[3]转[5]转
tʂʰ	[1]川穿[2]传椽{~子：房屋上负载网砖、嶂网的木条}船[3]喘[5]串[6]传{~记}篆
ʐ	[3]软阮
k	[1]倌冠官干杆柑棺泔甘竿肝观㔶{釜~：锅盖}[3]感擀敢杆橄澉秆管莞赶馆[5]冠干灌盥罐观贯赣鹳
kʰ	[1]刊堪宽看髋[3]侃冚{碗等口朝下放置}坎款砍[5]勘看
x	[1]蚶憨酣鼾[2]含寒汗涵邯韩函-咸{~丰}[3]缓=罕[5]唤汉[6]悍捍换=撼旱汗瀚焊痪翰
ŋ	[5]□{大~：早就}
ø	[1]安-庵桉鞍鹌[2]丸完烷纨桓[3]婉宛惋皖碗缓-[5]按暗案胺腕黯[6]岸换-
#iũ	
tɕ	[1]娟捐涓鹃[3]卷捲[5]券圈=眷绢
tɕʰ	[1]圈-{圆~；猪~}[2]全=拳权泉痊=蜷诠=醛=颧鬈[3]犬=[5]券劝[6]圈旋={~动}
ɕ	[1]轩喧宣揎暄萱[2]悬旋漩玄[3]选=[5]楦渲绚[6]眩
ø	[1]冤渊鸳[2]元原员园圆媛援源猿缘袁茔={坟~}[3]远[5]怨苑[6]院愿
#əŋ	
p	[1]奔栟畚{~斗}[3]本苯[5]奔
pʰ	[1]喷[2]盆[5]喷{一~：一片（气味）}笨{不慧}[6]笨{粗壮}
f	[1]分吩纷芬[2]坟焚[3]粉[5]奋畚粪[6]份愤
m	[1]闷焖温{~汤水}[2]明-{~朝}门[6]问-{动词，~他；~东}闷璺
v	[1]温瘟[2]文纹闻蚊雯浑-{~水}[3]刎吻稳[6]问=
t	[1]登吨-墩-敦-灯礅-蹬蹾肫{鸡~子}豚[3]戥盹-等趸[5]凳扽{放置}炖-瞪顿-饨{馄~}
tʰ	[1]吞-[2]屯-疼臀-藤誊豚-腾[5]褪{脱下}[6]囤沌盾遁邓钝
n	[2]宁能[6]嫩宁{~可}
l	[2]仑-伦-囵-抡-棱沦-纶-轮-[3]冷[6]愣论-
ts	[1]增憎曾[3]怎
tsʰ	[2]曾朆{不曾}层[5]蹭[6]赠
s	[1]僧
tʂ	[1]侦征征斟榛正争珍甄真睁砧筝箴臻蒸蓁贞针铮[3]拯整枕疹诊[5]圳帧振挣政正症证镇震
tʂʰ	[1]撑称蛏[2]丞乘呈城尘忱惩成承晨橙沉澄程臣诚蹲辰陈[3]逞骋[5]剩秤称衬趁[6]郑阵
ʂ	[1]伸升参呻娠深牲生甥申笙绅声参身升[2]甚盛神绳什[3]婶审沈省[5]胜抻{拉伸}渗瘆圣肾=[6]慎甚盛蜃
ʐ	[6]润-闰-
k	[1]今庚更根粳羹耕跟[3]哽埂挭{推，碰}梗耿[5]更
kʰ	[1]吭坑[2]□{推}[3]啃垦恳肯[5]掯{按压}硍{污垢}
x	[1]亨哼□{削皮}[2]恒痕衡行-{~船}桁{~梁}[3]很狠[5]横=[6]恨行{道~}
ŋ	[1]恩[2]□{推}[5]摁[6]硬
ø	[1]嗯
#ɔŋ	
p	[1]崩绷[5]蹦迸
pʰ	[1]砰怦抨烹[2]彭朋棚澎硼篷膨芃蓬蟛鹏[3]捧[5]碰[6]埲{尘土飞扬}蚌
m	[1]蒙[2]朦檬盟萌蒙[3]猛=蜢蠓□{密}[6]梦孟
f	[1]丰封枫疯风[2]峰烽缝逢锋冯蜂[3]讽[6]俸奉缝凤
v	[1]嗡=翁=[2]横-[5]瓮=齆={鼻塞}[6]横-
t	[1]冬咚[3]懂董[5]冻栋
tʰ	[1]通[2]佟同桐潼瞳童铜重-{堆叠}[3]捅桶筒统[5]痛蘣{乖巧可爱}[6]动洞
n	[2]农[6]弄={玩弄}
l	[2]农咙胧珑癃窿笼聋隆龙[3]垄拢笼[6]弄-
ts	[1]宗棕踪鬃[3]总[5]粽综纵
tsʰ	[1]匆囱聪葱[2]丛从淙[6]讼-
s	[1]松{~树}鬆{放~}淞[2]㞞{精液，对人的贬称，男女皆可}[3]悚怂竦{弯腰}耸[5]宋送[6]讼=诵颂
tʂ	[1]中忠终衷钟钟[3]冢喠{吃的贬称}种{姓}肿[5]中众种
tʂʰ	[1]充冲冲[2]崇虫重辰-{~间}[3]宠[5]冲{~人}蹱{乱走}铳諥{指责}𧼩{~魂：在外面游荡}𥅻{打瞌~：打瞌睡}[6]仲重
ʂ	[1]舂{击打}
ʐ	[2]戎狨绒茸[3]冗{~余}[5]冗{差}
k	[1]公功宫工弓恭攻蚣躬龚觥[3]拱汞巩[5]供贡共={~产党}[6]□{钻}
kʰ	[1]空[2]穹-{隆起}[3]孔恐[5]控空[6]共-
ŋ	[1]嗡-翁-[5]瓮-齆-{鼻堵}𨞑{一种臭味}
x	[1]哄烘訇轰[2]宏弘洪红虹鸿横=[3]哄{~骗}擤{擤鼻子}[5]哄{起~}灴{烘烤}讧蕻{雪里~：芥菜变种}[6]横=
#iɔŋ	
tɕ	[3]窘迥炯
tɕʰ	[2]琼穹={苍~}穷
ɕ	[1]兄凶匈汹胸新-{~妇}心{~门口}[2]熊雄=[5]訩{训斥}
ø	[1]臃雍[2]雄-{~鸡}荣容庸榕溶熔蓉融[3]拥俑勇涌甬蛹咏踊[5]壅{一种耕作方法，把泥土壅在植物根部，可以防止倒伏，促进生长}□{不强势}[6]佣用
#iŋ	
p	[1]兵冰彬斌槟滨濒缤宾[3]丙炳秉禀饼[5]併{合~}柄殡鬓屏{~气}
pʰ	[1]乒姘拼[2]坪嫔屏{~风}平凭瓶萍苹贫频颦[3]品评[5]聘[6]並{~排}病
m	[2]冥名明=民瞑螟铭鸣[3]悯抿敏皿闽脗{合拢}慜[6]命
t	[1]丁叮疔盯钉□{粘住}[2]叮{拟声词}[3]顶鼎[5]澄订钉锭淀=打澄{沉淀}
tʰ	[1]厅[2]亭停婷庭廷莛{某些植物的茎}蜓霆[3]挺艇[5]听淀-
ȵ	[2]凝宁您柠狞[3]拧[5]泞{泥~}[6]宁佞
l	[1]拎[2]伶凌林淋凌澪玲琳磷粼绫羚聆膦临苓菱邻铃陵零霖灵鳞麟龄[3]岭领[6]令另蔺
tɕ	[1]京今巾惊斤旌晶津泾睛禁筋精经荆茎菁襟金惊鲸[3]儘=[5]劲境径敬晋浸禁竟胫径进镜[3]井仅尽境景槿瑾紧谨警锦颈
tɕʰ	[1]侵倾卿钦氢清蜻亲轻青[2]勤寻情擎擒晴琴禽黥[3]寝请顷[5]庆揿{往下按}亲{~家}[6]净尽近靖静
ɕ	[1]心惺新星欣猩腥兴芯薪辛锌鑫馨[2]刑型形行=邢[3]省{反~}醒=[5]信囟{~囊子：婴儿头顶骨未合缝的地方，在头顶的前部中央}姓性汛{潮~}兴讯汛衅[6]幸杏荇
ø	[1]嘤因姻婴应樱殷璎缨罂英茵荫阴音莺鹰鹦[2]吟赢寅楹淫瀛荧莹盈蝇赢迎银龈茔=[3]尹引影瘾颖蚓隐饮[5]印应映饮瀴{凉气袭人}洇{液体渗透物体并向四周散开}□{火烧透}
#uəŋ	
t	[1]蹲=吨=墩=敦=礅=[3]盹=[5]炖=顿=
tʰ	[1]吞=[2]屯=臀=豚=
l	[1]抡=[2]仑=伦=囵=沦=纶=轮=[6]论=
ts	[1]尊樽遵
tsʰ	[1]皴[2]存[5]吋寸[6]鳟
s	[1]孙狲飧{吃}[3]损[5]逊{肮脏，丑陋，不好}
tʂ	[1]肫{鸡~：鸡胗}衠{纯}[3]准{允许}
tʂʰ	[1]村春椿[2]鹑[3]碜{夹有沙子}蠢[5]衬{以假意的过分的评价进行夸耀}
ʂ	[2]纯唇脣淳醇[3]吮[5]瞬舜肾-[6]顺
ʐ	[6]润=闰=
k	[3]滚衮辊绲{~条：旧时做布鞋滚边的布条}磙[5]婫{一种烹调方法食物煮熟了，加盖再煮一会儿}
kʰ	[1]坤昆琨[3]捆[5]困睏{~觉}
x	[1]婚昏荤[2]浑=馄魂[3]混{~乱}[5]混{~账}荤{~气：葱姜蒜等腥气}[6]混鯶{青鱼}
#yŋ	
tɕ	[1]君均皲菌军钧[3]准儘-{~你}[5]俊峻晋浚竣郡=骏
tɕʰ	[1]囷逡[2]秦芹-{蒲~}巡循群裙[6]郡-
ɕ	[1]勋曛熏薰[2]巡旬询[3]榫笋隼髓醒-{~觉}[5]训迅驯讯汛
ø	[1]晕[2]云{说}雲{~朵}匀纭耘芸[3]允殒永泳咏陨[5]愠蕴酝[6]孕晕{发~}熨运韵
#iʔ	
p	[7a]鳖[7b]憋别{别针}瘪蹩鳖
pʰ	[7a]劈撇瞥[8]别
m	[8]灭篾
t	[7b]跌碟窒
tʰ	[7a]贴[8]喋堞牒叠碟蝶谍迭[7b]铁帖贴
l	[8]列劣烈猎裂
ȵ	[8]镊啮孽捏聂镍颞
tɕ	[7a]哲接揭折洁睫[7b]结劫哲接揭折洁睫节结
tɕʰ	[7a]撤切妾[8]杰截捷涉竭藉绝=[7b]切妾彻沏窃
ɕ	[7a]摄歇泄胁蝎亵设[8]协折{~本}挟舌[7b]摄歇{~力}泄胁蝎亵设
ø	[7a]咽掖{把被子靠身压紧}[8]曳业叶页[7b]噎咽掖{把被子靠身压紧}
#yiʔ	
tɕ	[7a]决-
tɕʰ	[7a]缺-[8]绝-{~根}
ɕ	[7a]雪=屑鱈血-{猪~子}[7b]雪-鱈屑
#əʔ	
p	[7a]不
pʰ	[8]勃饽荸㶿{热锅翻炒}
m	[7b]没
f	[8]佛佛弗拂
v	[7a]捥{使条状物变形}□{将桶具等没入水中装水，或纳头于水中}[8]勿物𣝗-{核}
t	[7a]得只德□{粘，帖}
tʰ	[7a]忑忒[8]突凸特
n	[8]抐{握紧，捏住}讷
l	[8]肋勒
ts	[7a]则仄昃
tsʰ	[7a]侧=册坼厕测策[8]择=贼
s	[7a]涩塞瑟色=[8]□{撕}
tʂ	[7a]摘=执指汁窒织职质趾这只{量词}隻{量词}侧-{~过来}责{~任}拆=[8]蜇{海~}
tʂʰ	[7a]尺斥赤释-{解~、~放}[8]值植殖=直秩实-{~话}宅=择-{~菜}泽翟
ʂ	[7a]饰虱失室式湿识轼适释=色-{~儿}[8]十实=拾石=蚀食殖-{骨~}蜇{海~}
ʐ	[8]肏入
k	[7a]格嗝疙胳隔革骼
kʰ	[7a]克刻咳客=[8]隔{动词}
ŋ	[7a]厄扼[8]呃杌{木制小板凳}额=
x	[7a]黑吓{~一跳}壑赫[8]劾核阂齕{啃食}
ø	[7a]阿
#iəʔ	
p	[7a]笔壁弼必潷{沥干水分}璧毕碧臂辟逼
pʰ	[7a]枇僻劈匹辟霹[8]□{心跳突然加速或不稳}柲{门板后面的横条}
m	[8]密幂汨蜜觅
t	[7a]滴䊞嫡扚{摘下}
tʰ	[7a]踢倜剔惕[8]敌涤狄笛籴翟荻迪
ȵ	[8]匿溺逆
l	[8]力历律栗泪沥率砾立笠粒雳
tɕ	[7a]急亟即吉圾击激积级绩脊迹鲫给{供~}
tɕʰ	[7a]七乞喫漆泣戚隙-{缝~}迄[8]及夕-{七~}嫉寂极疾籍习藉袭辑集席-{~子}
ɕ	[7a]吸夕=息悉晰析熄皙蟋锡隙=[8]翕{~动}席={主~}
ø	[7a]一乙忆抑溢益缢[8]亦掖易腋译驿翼逸
#yəʔ	
tɕ	[7a]橘掬蹫{乱跳；液体溅起}趉{气愤而走}
tɕʰ	[7a]屈[8]倔掘绝=
ɕ	[7a]穴噱戌蟀谑
ø	[7a]疫抈[8]域役鬱{忧~}
#uəʔ	
k	[7a]骨
kʰ	[7a]窟矻{~粒儿}[8]□{拟声词，干脆响亮之声}
x	[7a]忽惚[8]囫𣝗={核}
ts	[7a]卒
tʂʰ	[7a]出怵[8]术{魔~}
ʂ	[7a]率[8]术{手~}述
#əɪʔ	
tʰ	[7b]铁{~锅}
#ɐʔ	
p	[7a]博剥柏[7b]博剥搏柏煿驳𠺣
pʰ	[7a]杷粕[8]亳泊箔薄雹
m	[8]摸漠膜莫陌-{~生}
v	[7a]龌[7b]凹幄握
f	[7a]缚
t	[7a]沰[7b]耷{~墙}沰
tʰ	[7a]拓[8]踱[7b]托庹{两手平伸的长度}拓托
n	[8]诺掿
l	[8]落乐洛烙珞笿络酪骆
k	[7a]阁[7b]角各搁觉-{~察}角阁
kʰ	[7a]客-{堂~}搉[7b]壳颏{下巴~儿}确-{~实}恰-
ŋ	[7a]垩恶[8]噩愕萼谔鄂颚鳄鹗腭额-{~头、名~}
x	[8]学-鹤[7b]郝蠚{紧靠}
ts	[7b]作
tsʰ	[8]凿
ø	[7a]阿{~姨}
s	[7b]索
tʂ	[7a]酌摘-[7b]着斫{剁，砍}酌
tʂʰ	[7a]绰㪕焯拆-[8]昨着宅-{一~房子}[7b]绰㪕{舀取，用瓢或舀等，一般指从下兜住舀起}焯
ʂ	[8]勺芍石-{~头}[7b]硕烁
ʐ	[8]弱箬{芦柴叶，可裹粽子、衬斗笠}若
#uɐʔ	
tʂ	[7b]卓捉桌琢涿硺㧻{将东西碰撞平面（以对齐）；击打}啄=
tʂʰ	[7a]戳龊{龌~}[8]㪬{用棍棒、筷子等自上而下反复捣}浊镯[7b]戳
ʂ	[7a]朔嗍{吮吸}[7b]朔嗍{吮吸}
k	[7a]郭椁[7b]郭椁
kʰ	[7a]扩廓[8]漷{液体晃动}[7b]扩廓
x	[7a]藿{~香}攉藿霍濩{摇晃，动荡的样子}劐{用刀尖插入物体后顺势挑开一道口子}[8]穫{收~}霍{~闪}曤{亮~~：亮闪闪}镬{锅子}
ø	[7a]嗀{恶心，要呕吐}握龌{~龊}渥[8]霍{~闪}鹱{一种水鸟}瀖{大汤久煮}[7b]握渥
#iaʔ	
p	[7a]八捌[8]拔跋[7b]八捌
m	[8]抹
f	[7a]發髪法[8]伐筏罚阀[7b]發髪法
v	[7a]挖[8]袜滑-[7b]挖□{倾倒}
t	[7a]答[7b]答搭瘩
tʰ	[8]沓踏蹋达[7b]塔塌搨榻獭遢鳎□{涂抹}
ȵ	[8]纳呐捺疟纳=虐衲=钠
l	[8]辣剌掠□{阻拦}略腊蜡辣邋
ts	[7a]匝咂杂=[7b]匝咂杂=
tsʰ	[7a]擦[8]杂-砸[7b]擦
s	[7a]萨卅撒飒[7b]萨卅
tʂ	[7a]眨扎札扎[7b]眨扎札扎
tʂʰ	[8]闸煠铡[7b]察插
ʂ	[7a]杀煞[8]刹[7b]杀煞
k	[7a]甲-{花~}胛[7b]夹嘎夹甲-{花~}胛
kʰ	[7a]甲-{指~}[8]轧{~棉花、~账}[7b]掐
x	[7a]瞎[8]匣狎狭辖[7b]瞎
tɕ	[7a]爵甲=脚觉雀-[7b]爵甲=脚觉=
tɕʰ	[7a]雀=鹊[8]嚼[7b]剧却恰=洽确=
ɕ	[7a]削楔{木楔}[8]刹学=侠峡[7b]削楔{木楔}
ŋ	[7a]押鸭压[8]轧{压}[7b]鸭压押
ø	[8]岳乐药跃钥[7b]约
#yaʔ	
ʂ	[7a]刷[8]刷[7b]刷
k	[7a]刮{耳~子}[7b]括刮
kʰ	[7a]狭{促~：捉弄}[8]□{触碰，划}
x	[7a]攉{用手打}豁[8]滑=猾[7b]攉{用手打}豁
#ɔʔ	
p	[7a]伯佰北卜柏百[7b]北百{~块钱}
pʰ	[7a]赴{~宴}噗扑拍朴泊珀蹼迫魄[8]白仆帛舶铂
m	[8]木墨沐牧目睦穆脉苜蛨陌=麦默
f	[7a]福幅复腹蝠复覆辐[8]伏匐服茯菔袱
t	[7a]啄-{~米}督笃
tʰ	[7a]秃[8]毒渎牍犊独读黩
n	[8]喏=
l	[8]陆六戮氯漉碌禄绿录鹿
k	[7a]国帼谷{山~}穀{~子}蝈
kʰ	[7a]哭酷
ts	[7a]足卒{小~子}
tsʰ	[7a]促簇猝蹴蹙[8]族俗-
s	[7a]肃僳宿粟续速缩[8]俗=
tʂ	[7a]烛嘱瞩祝竹竺筑粥属斸{刺、砍}
tʂʰ	[7a]畜{~生}搐触[8]啄妯{妯娌：兄弟之妻相互的关系，或她们的合称}舳轴逐
ʂ	[7a]叔属束淑缩[8]塾孰属熟赎
ʐ	[8]肉褥辱
x	[7a]砉{~动}嚄{围聚、聚集}湱{形容水声大}焀{火苗晃动的样子}熇{炎热，~人}𢃤{风吹巾帛的声音}掝{泼水}[8]惑或獲{~得}㖪{~事}斛
v	[7a]沃=
ø	[7a]沃-屋喔
#iɔʔ	
tɕ	[7a]菊掬趜{不伸展}锔鞠鞫
tɕʰ	[7a]曲蛐麯{~酒}[8]侷局焗
ɕ	[7a]旭畜{~牧}蓄
ø	[7a]郁玉=欲=□{身体不舒展}[8]囿{涌向、包围}欲-{~不着}浴狱玉-育
#ʊʔ	
p	[7a]拨钵百{~叶}[7b]拨钵
pʰ	[7a]泼[8]卜
m	[8]沫末茉
t	[7b]𬊯{慢煮}㾑{肥~~}掇{移}咄
tʰ	[8]夺[7b]脱
n	[8]衲{~子：尿布}纳-
l	[8]捋
k	[7a]蛤{~蜊}颌{~腮}[7b]葛佮{共用、合伙}合{量词，十~一升}蛤阁颌鸽
kʰ	[7a]阔[7b]瞌嗑瞌磕
s	[7a]𢶍{搕~：垃圾}
tsʰ	[7a]撮[7b]撮{~合}
tʂ	[7a]拙茁[7b]拙茁
tʂʰ	[7a]辍[8]惙[7b]辍啜{~气}惙
ʂ	[7a]说[7b]说
x	[7a]豁{缺口，~子：兔唇}[8]合活盒阖颌{下~}[7b]喝
ø	[7a]斡盦{闷，不透风}遏搕{~𢶍：垃圾}[7b]斡盦{闷，不透风}遏
#iuʔ	
tɕ	[7a]决厥噘抉撅獗蕨[7b]决=厥噘抉撅獗蕨
tɕʰ	[7a]缺阙[8]掘绝=[7b]缺阙
ɕ	[7a]薛血=[8]穴[7b]血=薛
ø	[8]月悦玥粤越阅
#ɯiʔ	
ʐ	[8]热日
tʂ	[7a]折[7b]折
tʂʰ	[8]侄
#iɪ̃	
ʐ	[2]然燃髯[3]染冉
tʂ	[3]搌{擦，抹}
#m̩	
ø	[1]呣{语气词}[2]呣{语气词}[3]姆{~妈}呣{语气词}[5]呣{语气词}[6]呣{语气词}
#ŋ̍	
ø	[1]嗯{语气词}[2]嗯{语气词}[3]嗯{语气词}[5]嗯{语气词}[6]嗯{语气词}
