汉字	音标
圆	iɛn213
院	iɛn42
铅	iɛn213
绝	tʃʰɛt5
雪	ɬɛt3
反	fan42
翻	fan44
饭	fan42
晚	uan44
万	man42
劝	kʰiɛn44
原	iɛn213
冤	iɛn44
园	iɛn213
远	iɛn42
发	fat3
罚	fat5
袜	mat3
月	ȵiɛt5
越	iɛt3
县	iɛn42
决	kʰet3
缺	kʰet3
血	ɬet3
吞	tʰən44
根	ken44
恨	hen42
恩	en44
贫	pʰin213
民	min213
邻	lin213
进	tʃin55
亲	tʃʰin44
新	ɬin44
镇	tʃən55
陈	tʃʰən213
震	tʃən55
神	ʃən213
身	ʃən44
辰	ʃən213
人	ȵiən213
认	ȵiən42
紧	kiən42
银	ȵiən213
印	iən55
引	iən42
笔	pit3
匹	pʰit3
密	mit5
栗	lit5
七	tʃʰit3
侄	tʃʰət5
虱	ʃət3
实	ʃət5
失	ʃət3
日	ȵiət3
吉	kit3
一	iət3
筋	kiən44
劲	kin42
勤	kʰin213
近	kʰin44
隐	iən42
本	pən42
盆	pʰən213
门	mən213
墩	tən44
嫩	nən42
村	tʃʰən44
寸	tʃʰən55
蹲	tən44
孙	ɬən44
滚	kuən42
困	kʰuən55
婚	fuən44
魂	uən213
温	uən44
卒	tʃət3
骨	kuət3
轮	lən213
俊	tʃən55
笋	ɬən42
准	tʃən42
春	tʃʰən44
唇	ʃən213
顺	ʃən55
纯	ʃən213
闰	ȵiən42
均	kin44
匀	iən213
律	lət5
出	tʃʰət3
橘	kit3
分	fən44
粉	fən42
粪	pən55
坟	fən213
蚊	mən44
问	mən55
军	kin44
裙	kʰin213
熏	fən55
云	iən213
运	iən42
佛	fət5
物	uət5
帮	pɔŋ44
忙	mɔŋ213
党	tɔŋ42
汤	tʰɔŋ44
糖	tʰɔŋ213
浪	lɔŋ42
仓	tʃʰɔŋ44
钢	kɔŋ44
糠	hɔŋ44
薄	pʰɔk5
摸	mo44
托	tʰɔk3
落	lɔk5
作	tʃɔ55
索	ɬɔk3
各	kɔk3
鹤	hɔk5
恶	ɔk3
娘	niɔŋ213
两	liɔŋ42
亮	liɔŋ42
浆	tʃiɔŋ44
抢	tʃʰiɔŋ42
匠	ʃiɔŋ42
想	ɬɔŋ42
像	tʃʰiɔŋ55
张	tʃɔŋ44
长	tʃʰɔŋ213
装	tʃɔŋ44
壮	tʃɔŋ55
疮	tʃʰɔŋ44
床	tʃʰɔŋ213
霜	ɬɔŋ44
章	tʃɔŋ44
厂	tʃʰɔŋ42
唱	tʃʰɔŋ55
伤	ʃɔŋ44
尝	ʃɔŋ213
上	ʃɔŋ42
让	ȵiɔŋ42
姜	kiɔŋ44
响	ʃioŋ42
向	sɔŋ55
秧	iɔŋ44
痒	iɔŋ213
样	iaŋ42
雀	tʃʰiɔk3
削	ɬiɔk3
着	tʃʰɔk5
勺	ʃɔk5
弱	ȵiɔk5
脚	kiɔk3
约	iɔk3
药	iɔk5
光	kɔŋ44
慌	fɔŋ44
黄	uɔŋ213
郭	kʰɔk3
霍	kʰɔk3
方	fɔŋ44
放	fɔŋ55
纺	fɔŋ42
房	fɔŋ213
防	fɔŋ213
网	miɔŋ42
筐	kʰuaŋ44
狂	kʰɔŋ213
王	uɔŋ213
旺	uɔŋ42
缚	fɔk5
绑	pɔŋ42
胖	pʰaŋ55
棒	paŋ42
桩	tʃɔŋ44
撞	tʃʰɔŋ42
窗	tʃʰoŋ44
双	ɬoŋ44
江	kɔŋ44
讲	kɔŋ42
降	kɔŋ213
项	hɔŋ42
剥	pɔk3
桌	tʃɔk3
镯	tʃok3
角	kɔk3
壳	kʰɔk3
学	hɔk5
握	uɔk3
朋	pʰɛn213
灯	tɛn44
等	tɛn42
凳	tɛn55
藤	tʰɛn213
能	nɛn213
层	tʃʰɛn213
僧	tʃɛn44
肯	kʰɛn42
北	pɛt3
墨	mɛt5
得	tɛt3
特	tʰit5
贼	tʃʰet5
塞	ɬet3
刻	kʰet3
黑	het3
冰	pin44
证	tʃən55
秤	tʃʰən55
绳	ʃən213
剩	ʃən42
升	ʃən44
兴	ʃən55
蝇	iən44
逼	pit3
力	lit5
息	ɬit3
直	tʃʰət5
侧	tʃet3
测	tʃʰet3
色	ɬɛt3
织	tʃət3
食	ʃət5
式	ʃət3
极	kʰiəp5
国	kuet3
或	fet5
猛	maŋ44
打	ta42
冷	laŋ44
生	ʃaŋ44
省	ɬam42
更	kaŋ44
梗	kaŋ42
坑	kʰaŋ44
硬	ŋaŋ42
行	haŋ213
百	pak3
拍	pʰɔk3
白	pʰak5
拆	tʃʰak3
择	tʃʰet5
窄	kʰiap5
格	kak3
客	kʰak3
额	ŋak3
棚	pʰaŋ213
争	tʃaŋ44
耕	kaŋ44
麦	mak5
摘	tʃak3
策	tʃʰak3
隔	kak3
兵	pin44
柄	piaŋ55
平	pʰiaŋ213
病	pʰiaŋ42
明	min213
命	miaŋ42
镜	kiaŋ55
庆	kʰin55
迎	ŋiaŋ213
影	iaŋ42
剧	kʰi55
饼	piaŋ42
名	miaŋ213
领	liaŋ44
井	tʃiaŋ42
清	tʃʰin44
静	tʃʰin42
姓	ɬiaŋ55
贞	tʃən44
程	tʃən213
整	tʃən42
正	tʃən55
声	ʃaŋ44
城	ʃaŋ213
轻	kʰiaŋ44
赢	iaŋ213
积	tʃət3
惜	ɬit3
席	tʃʰiak5
尺	tʃʰak3
石	ʃiak5
益	iət3
瓶	pʰin213
钉	tiaŋ44
顶	tin42
厅	tʰin44
听	tʰin55
停	tʰin213
挺	tʰin42
定	tʰin42
零	laŋ213
青	tʃʰiaŋ44
星	ɬin44
经	kin44
形	ʃən213
壁	piak3
劈	pʰiak3
踢	tʰɛt3
笛	tʰit5
历	lit5
锡	ɬiak3
击	kit3
吃	ʃət5
横	uaŋ213
划	fa55
兄	ʃioŋ44
荣	ioŋ213
永	iən44
营	iaŋ213
蓬	foŋ213
东	toŋ44
懂	toŋ42
冻	toŋ55
通	tʰoŋ44
桶	tʰoŋ42
痛	tʰoŋ55
铜	tʰoŋ213
动	tʰoŋ42
洞	tʰoŋ42
聋	loŋ213
弄	noŋ42
粽	tʃoŋ55
葱	tʃʰoŋ44
送	ɬoŋ55
公	koŋ44
孔	kʰoŋ42
烘	kʰoŋ42
红	foŋ213
翁	oŋ44
木	mok3
读	tʰok5
鹿	lok5
族	tʃʰok5
谷	kok3
哭	kʰok3
屋	uok3
冬	toŋ44
统	tʰoŋ42
脓	noŋ213
松	ɬoŋ44
宋	ɬoŋ55
毒	tʰok5
风	foŋ44
丰	foŋ44
凤	foŋ42
梦	moŋ42
中	tʃoŋ44
虫	tʃʰoŋ213
终	tʃoŋ44
充	tʃʰoŋ44
宫	koŋ44
穷	kʰioŋ213
熊	ʃioŋ213
雄	ʃioŋ213
福	fok3
服	fok5
目	mok3
六	lok3
宿	ɬok3
竹	tʃok3
畜	tʃʰok3
缩	ɬok3
粥	tʃok3
叔	ʃok3
熟	ʃok5
肉	ȵiok3
菊	kʰiok3
育	iok5
封	foŋ44
蜂	foŋ44
缝	foŋ213
浓	noŋ213
龙	loŋ213
松	tʃʰoŋ213
重	tʃʰoŋ44
肿	tʃoŋ42
种	tʃoŋ42
冲	tʃʰoŋ55
恭	koŋ44
共	kʰoŋ42
凶	ʃioŋ44
拥	ioŋ42
容	ioŋ213
用	ioŋ55
绿	lok5
足	tʃok3
烛	tʃok3
赎	ʃok5
属	ʃok5
褥	ȵiok5
曲	kiok3
局	kʰiok5
玉	ȵiok5
浴	iok5
