正體	簡體	音標	調類	備註
兔	兔	tʰᵊu	⑤	
吐	吐	tʰᵊu	⑤	嘔～
駝	驼	dᵊu	②	
徒	徒	dᵊu	②	
屠	屠	dᵊu	②	
途	途	dᵊu	②	
塗	涂	dᵊu	②	
圖	图	dᵊu	②	
舵	舵	dᵊu	④	
杜	杜	dᵊu	④	
肚	肚	dᵊu	④	～腸：腸子；心眼兒
大	大	dᵊu	⑥	(白)～老：哥哥，稱第三者
度	度	dᵊu	⑥	
渡	渡	dᵊu	⑥	
鍍	镀	dᵊu	⑥	
奴	奴	nᵊu	②	
努	努	nᵊu	④	
糯	糯	nᵊu	⑥	燒勿～
怒	怒	nᵊu	⑥	
懦	懦	nᵊu	⑥	
攎	攎	ʔlᵊu	①	
摞	摞	ʔlᵊu	①	
羅	罗	lᵊu	②	
腡	脶	lᵊu	②	
盧	卢	lᵊu	②	
爐	炉	lᵊu	②	
蘆	芦	lᵊu	②	
廬	庐	lᵊu	②	
鑼	锣	lᵊu	②	
籮	箩	lᵊu	②	淘～：淘米具
魯	鲁	lᵊu	④	
櫓	橹	lᵊu	④	
虜	虏	lᵊu	④	
滷	卤	lᵊu	④	
卵	卵	lᵊu	④	
𠿛	𠿛	lᵊu	④	
裸	裸	lᵊu	⑥	
路	路	lᵊu	⑥	
賂	赂	lᵊu	⑥	
露	露	lᵊu	⑥	～臺：陽臺｜凍～：肉凍
租	租	tsᵊu	①	
左	左	tsᵊu	③ⓐ	
祖	祖	tsᵊu	③ⓐ	
組	组	tsᵊu	③ⓐ	
阻	阻	tsᵊu	③ⓐ	
佐	佐	tsᵊu	③ⓐ	
做	做	tsᵊu	⑤	
作	作	tsᵊu	⑤	
搓	搓	tsʰᵊu	①	
粗	粗	tsʰᵊu	①	
初	初	tsʰᵊu	①	年～頭：新年開始的幾天
楚	楚	tsʰᵊu	③ⓑ	
礎	础	tsʰᵊu	③ⓑ	
☐	☐	tsʰᵊu	③ⓑ	～轉：紙等對不齊
醋	醋	tsʰᵊu	⑤	
措	措	tsʰᵊu	⑤	
錯	错	tsʰᵊu	⑤	～脱：數弄錯對方占了便宜
銼	锉	tsʰᵊu	⑤	
蘇	苏	sᵊu	①	落～：茄子
蓑	蓑	sᵊu	①	
梭	梭	sᵊu	①	
梳	梳	sᵊu	①	
疏	疏	sᵊu	①	
蔬	蔬	sᵊu	①	～菜：下飯的菜
酥	酥	sᵊu	①	
唆	唆	sᵊu	①	
鎖	锁	sᵊu	③ⓐ	
瑣	琐	sᵊu	③ⓐ	
所	所	sᵊu	③ⓐ	
數	数	sᵊu	③ⓐ	動詞
素	素	sᵊu	⑤	
訴	诉	sᵊu	⑤	
塑	塑	sᵊu	⑤	
蔬	蔬	sᵊu	⑤	菜～
數	数	sᵊu	⑤	有～：明白了
鋤	锄	zᵊu	②	
坐	坐	zᵊu	④	
座	座	zᵊu	⑥	
助	助	zᵊu	⑥	
歌	歌	kᵊu	①	
哥	哥	kᵊu	①	
鍋	锅	kᵊu	①	
姑	姑	kᵊu	①	
孤	孤	kᵊu	①	
箍	箍	kᵊu	①	頂針～
果	果	kᵊu	③ⓐ	
古	古	kᵊu	③ⓐ	
估	估	kᵊu	③ⓐ	
股	股	kᵊu	③ⓐ	
鼓	鼓	kᵊu	③ⓐ	
裹	裹	kᵊu	③ⓐ	～餛飩
個	个	kᵊu	⑤	
過	过	kᵊu	⑤	～不得：看不過去｜傳染
故	故	kᵊu	⑤	
固	固	kᵊu	⑤	
顧	顾	kᵊu	⑤	
雇	雇	kᵊu	⑤	
科	科	kʰᵊu	①	
棵	棵	kʰᵊu	①	
顆	颗	kʰᵊu	①	
枯	枯	kʰᵊu	①	
窠	窠	kʰᵊu	①	
☐	☐	kʰᵊu	①	眾多散亂物：草～｜墳堆～。俗作科
可	可	kʰᵊu	③ⓑ	
苦	苦	kʰᵊu	③ⓑ	
課	课	kʰᵊu	⑤	
庫	库	kʰᵊu	⑤	
褲	裤	kʰᵊu	⑤	
吾	吾	ŋᵊu	④	
我	我	ŋᵊu	④	文
呼	呼	hu	①	
火	火	hu	③ⓐ	
虎	虎	hu	③ⓐ	
滸	浒	hu	③ⓐ	
貨	货	hu	⑤	～色：貨物
胡	胡	ɦu	②	
湖	湖	ɦu	②	
弧	弧	ɦu	②	
狐	狐	ɦu	②	
壼	壸	ɦu	②	開～：燒水壺
鬍	胡	ɦu	②	
蛾	蛾	ɦu	②	
俄	俄	ɦu	②	
鵝	鹅	ɦu	②	
河	河	ɦu	②	
荷	荷	ɦu	②	
何	何	ɦu	②	
和	和	ɦu	②	～順：和善｜食後舒適
禾	禾	ɦu	②	
吳	吴	ɦu	②	
呉	呉	ɦu	②	
梧	梧	ɦu	②	
乎	乎	ɦu	②	
蜈	蜈	ɦu	②	
禍	祸	ɦu	④	
五	五	ɦu	④	文
午	午	ɦu	④	
伍	伍	ɦu	④	隊～
戶	户	ɦu	④	好～頭：易被人欺
滬	沪	ɦu	④	
巫	巫	ɦu	④	
誣	诬	ɦu	④	
舞	舞	ɦu	④	
互	互	ɦu	⑥	
護	护	ɦu	⑥	
戊	戊	ɦu	⑥	
餓	饿	ɦu	⑥	
賀	贺	ɦu	⑥	
臥	卧	ɦu	⑥	
誤	误	ɦu	⑥	
悟	悟	ɦu	⑥	
烏	乌	u	①	～煙：鴉片
污	污	u	①	～皮：身上的污垢
塢	坞	u	①	
☐	☐	u	①	～攪：亂來
惡	恶	u	⑤	可～；糞便
焐	焐	u	⑤	手～一～｜熱～～
驢	驴	ly	②	
呂	吕	ly	④	
旅	旅	ly	④	
縷	缕	ly	④	
履	履	ly	④	
慮	虑	ly	⑥	
濾	滤	ly	⑥	
屢	屡	ly	⑥	又
居	居	ʨy	①	
車	车	ʨy	①	～馬炮
拘	拘	ʨy	①	
龜	龟	ʨy	①	～龜
舉	举	ʨy	③ⓐ	
矩	矩	ʨy	③ⓐ	
鬼	鬼	ʨy	③ⓐ	
據	据	ʨy	⑤	
鋸	锯	ʨy	⑤	
句	句	ʨy	⑤	
貴	贵	ʨy	⑤	
趨	趋	ʨʰy	①	
驅	驱	ʨʰy	①	
區	区	ʨʰy	①	
虧	亏	ʨʰy	①	～得
取	取	ʨʰy	③ⓑ	
娶	娶	ʨʰy	③ⓑ	
去	去	ʨʰy	⑤	～皮
趣	趣	ʨʰy	⑤	
䙘	䙘	ʨʰy	⑤	
佢	佢	ʥy	②	
渠	渠	ʥy	②	
瞿	瞿	ʥy	②	
俱	俱	ʥy	②	
序	序	ʥy	④	
緒	绪	ʥy	④	
巨	巨	ʥy	④	
拒	拒	ʥy	④	
距	距	ʥy	④	
聚	聚	ʥy	④	
跪	跪	ʥy	④	白
署	署	ʥy	④	
叙	叙	ʥy	④	
具	具	ʥy	⑥	
懼	惧	ʥy	⑥	
驟	骤	ʥy	⑥	
虚	虚	ɕy	①	
嘘	嘘	ɕy	①	
須	须	ɕy	①	
需	需	ɕy	①	
鬚	须	ɕy	①	～～頭：鬚狀物
吁	吁	ɕy	①	
許	许	ɕy	③ⓐ	
髓	髓	ɕy	⑤	骨～
絮	絮	ɕy	⑤	
愚	愚	ȵy	②	
娛	娱	ȵy	②	文～
女	女	ȵy	④	
語	语	ȵy	④	
娛	娱	ȵy	④	～樂
遇	遇	ȵy	⑥	
寓	寓	ȵy	⑥	
魚	鱼	ɦy	②	文
漁	渔	ɦy	②	
榆	榆	ɦy	②	
餘	余	ɦy	②	
余	余	ɦy	②	
于	于	ɦy	②	姓
盂	盂	ɦy	②	
圍	围	ɦy	②	～巾｜～身
愉	愉	ɦy	②	
逾	逾	ɦy	②	
與	与	ɦy	④	
愈	愈	ɦy	④	
癒	愈	ɦy	④	
御	御	ɦy	⑥	
譽	誉	ɦy	⑥	
預	预	ɦy	⑥	
豫	豫	ɦy	⑥	
喻	喻	ɦy	⑥	
裕	裕	ɦy	⑥	
於	于	y	①	
迂	迂	y	①	
淤	淤	y	①	
☐	☐	y	①	浸濕使變軟：～～胖再韅肥皂
雨	雨	y	③ⓐ	
宇	宇	y	③ⓐ	
羽	羽	y	③ⓐ	
禹	禹	y	③ⓐ	
椅	椅	y	③ⓐ	～子
餵	喂	y	⑤	～飯
芋	芋	y	⑤	～艿：芋頭
菸	菸	y	⑤	
杯	杯	pe	①	
碑	碑	pe	①	
卑	卑	pe	①	
悲	悲	pe	①	
輩	辈	pe	⑤	
背	背	pe	⑤	～脊
貝	贝	pe	⑤	
褙	褙	pe	⑤	粘貼
胚	胚	pʰe	①	
丕	丕	pʰe	①	
剖	剖	pʰe	①	
坯	坯	pʰe	①	兒孽～｜懶惰～｜打～：準備好，副詞
配	配	pʰe	⑤	
沛	沛	pʰe	⑤	
陪	陪	be	②	
賠	赔	be	②	
培	培	be	②	
倍	倍	be	④	
痱	痱	be	④	
佩	佩	be	⑥	
背	背	be	⑥	～書
備	备	be	⑥	
焙	焙	be	⑥	烘：～～干
梅	梅	me	②	
枚	枚	me	②	
煤	煤	me	②	
楣	楣	me	②	
謀	谋	me	②	
矛	矛	me	②	
媚	媚	me	②	
媒	媒	me	②	
妹	妹	ʔme	③ⓐ	～～
每	每	me	④	
美	美	me	④	
某	某	me	④	
畝	亩	me	④	又
妹	妹	me	⑥	
昧	昧	me	⑥	又
貿	贸	me	⑥	
茂	茂	me	⑥	
寐	寐	me	⑥	
否	否	fe	③ⓐ	～認
堆	堆	te	①	
兜	兜	te	①	
丢	丢	te	①	～掉：扔掉
斗	斗	te	③ⓐ	
抖	抖	te	③ⓐ	
陡	陡	te	③ⓐ	
對	对	te	⑤	
碓	碓	te	⑤	
鬥	斗	te	⑤	量器
推	推	tʰe	①	
偷	偷	tʰe	①	
㷟	㷟	tʰe	①	
腿	腿	tʰe	③ⓑ	
㪗	㪗	tʰe	③ⓑ	～一～｜～口氣
退	退	tʰe	⑤	
蛻	蜕	tʰe	⑤	
透	透	tʰe	⑤	
褪	褪	tʰe	⑤	
頭	头	de	②	年夜～｜日｜澆～｜高～｜角落～
投	投	de	②	
隊	队	de	⑥	
兌	兑	de	⑥	一塊洋錢～開來
豆	豆	de	⑥	
內	内	ne	⑥	
☐	☐	ne	⑥	你
倷	倷	ne	⑥	
溜	溜	ʔle	①	(又)新派
雷	雷	le	②	～響：打雷
樓	楼	le	②	
儡	儡	le	④	
壘	垒	le	④	
簍	篓	le	④	
累	累	le	④	
癗	癗	le	④	
類	类	le	⑥	
漏	漏	le	⑥	
陋	陋	le	⑥	
屢	屡	le	⑥	又
鄒	邹	tse	①	
周	周	tse	①	
舟	舟	tse	①	
州	州	tse	①	
洲	洲	tse	①	
走	走	tse	③ⓐ	
奏	奏	tse	⑤	
晝	昼	tse	⑤	上～：上午；下～：下午
皺	皱	tse	⑤	
呪	呪	tse	⑤	
帚	帚	tse	⑤	
抽	抽	tsʰe	①	
醜	丑	tsʰe	③ⓑ	
丑	丑	tsʰe	③ⓑ	
凑	凑	tsʰe	⑤	
臭	臭	tsʰe	⑤	
搜	搜	se	①	
餿	馊	se	①	
收	收	se	①	
蒐	搜	se	①	
手	手	se	③ⓐ	
首	首	se	③ⓐ	
守	守	se	③ⓐ	
嗽	嗽	se	⑤	
瘦	瘦	se	⑤	
獸	兽	se	⑤	
綢	绸	ze	②	
稠	稠	ze	②	
籌	筹	ze	②	
愁	愁	ze	②	
讎	雠	ze	②	
讐	雠	ze	②	
酬	酬	ze	②	
柔	柔	ze	②	
受	受	ze	④	
☐	☐	ze	④	～頭～腦：傻乎乎的
𥣙	𥣙	ze	④	
宙	宙	ze	⑥	
壽	寿	ze	⑥	
授	授	ze	⑥	
售	售	ze	⑥	文
就	就	ze	⑥	～是伊
袖	袖	ze	⑥	～子管：袖口
溝	沟	ke	①	
勾	勾	ke	①	
哥	哥	ke	①	大阿～：大哥
鈎	钩	ke	①	
狗	狗	ke	③ⓐ	
苟	苟	ke	③ⓐ	
够	够	ke	⑤	
構	构	ke	⑤	
購	购	ke	⑤	
寄	寄	ke	⑤	～只包裹去
☐	☐	ke	⑤	擁有：張家～電視機
口	口	kʰe	③ⓑ	
扣	扣	kʰe	⑤	～打：緊扣，不多不少
寇	寇	kʰe	⑤	
☐	☐	he	①	腫：面孔～哩
䫲	䫲	he	①	
吼	吼	he	③ⓐ	
許	许	he	③ⓐ	(白)許諾
侯	侯	ɦe	②	
喉	喉	ɦe	②	
猴	猴	ɦe	②	
候	候	ɦe	②	等待，伺機：～牢夜市去買
后	后	ɦe	②	王～
耦	耦	ɦe	④	
偶	偶	ɦe	④	
厚	厚	ɦe	④	
後	后	ɦe	④	～日
候	候	ɦe	⑥	時～
歐	欧	e	①	
甌	瓯	e	①	
☐	☐	e	①	摸雞屁股是否有蛋：～蛋｜～～看
嘔	呕	e	③ⓐ	
慪	怄	e	⑤	
漚	沤	e	⑤	
