#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
pʰ	［1］攀［3］盼［5］盼襻鋬（器物的提手）□（拍）
b	［2］爿□（~河）□（爬）排=牌=［6］办败=稗=
m	［1］埋=蛮（~横；程度副词，很，~好）［2］蛮（野~）曼谩漫蔓玩-顽-［4］买=晚-（~稻）［6］慢谩幔嫚卖=万-迈未（句末语气词）
ɸ	［1］番幡翻［3］反返［5］泛贩㽹（反胃）甩（甩）䛀（言語反復）□（溜达）
β	［2］槐凡帆範（模~）烦蕃藩燔璠繁蘩樊矾梵范（师~）玩=顽=桓洹还怀喂（招呼用语）圜［4］范（姓）犯患［6］饭万=外=坏=患
ɗ	［1］丹单郸箪殚担（~心）耽眈□（携带）［3］胆疸［5］旦担（~子）诞疸带=襶(褦~，反应迟钝，笨)
tʰ	［1］滩摊瘫勯痑坍毯［3］毯坦袒倓（从容安定）□（烧，用火燎，~茅柴）［5］叹碳炭太=泰=汰=忐□（人爬行）□（摇~，一种赌博方式）
d	［2］谈痰郯覃谭潭弹（~跳）檀亶坛［4］淡但澹［6］弹（~子）蛋啖
n	［1］担（拿）拿［2］难（困~）［3］乃奶=褦（~襶）［6］内难（逃~）呐（语气词）
l	［2］阑兰栏拦澜斓谰襕（布~，围裙）幱婪揽蓝篮来莱徕郲［4］懒幱襕（布~，围裙）缆（~绳）［6］滥烂爛览缆（系）榄揽籁睐赖=癞=濑赉
ʦ	［1］灾专斋簪斩劗（~肉，切，剁）［3］崭盏㜺（好）仔展［5］哉赞蘸□（躺下小歇）展
ʦʰ	［1］穿参餐猜搀□（~倒，推,倒）［3］彩采採睬产铲剷刬忏（~悔）粲璨灿□（倾斜，陡峭）懺［5］菜蔡灿忏（拜~，道士诵经活动）
s	［1］三叁山舢衫杉删跚珊姗潸汕讪疝芟［3］散（~漫）馓闪［5］散（解~）伞涮扇赛碎
