#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵³［2］³¹［3］⁴⁴［4］²²［5］³⁵［6］¹³［7］⁴［8］²
#ɿ	
#iʊŋ	
c	［1］龚-弓-军-君-均-钧-［3］窘-菌-絅迥炯［5］□（斥孩子坐）供（坐，詈语）
cʰ	［1］穹［3］菌-
ɟ	［2］穷琼茕邛筇裙-群-［6］郡-
ɲ	［2］绒浓-氄
ç	［1］凶兇汹讻忷匈胸兄熏-薰獯醺勋-［5］训-
h	［1］凶兄熏［5］训
ɦ	［2］云-雲-芸-匀-筠耘-纭熊雄融容蓉榕溶熔鎔荣冗营莹萤荥茔荧庸慵鏞［4］允（求~）［6］用佣壅运-韵-熨-晕-陨殒
ø	［1］痈（~疽）［3］允（~许）孕雍壅=拥臃永泳咏甬恿勇俑踊涌蛹蕴酝韫缊愠陨
#ᴀʔ	
ɓ	［7］柏伯百袹擘（~开）檗
pʰ	［7］拍帕迫魄珀粕泊舶片派（分开）□（量词，阵）
b	［8］白帛濮-（姓）
m	［7］□（走路~发~发蹒跚）［8］末麦脉蓦陌目（数~）
ɸ	［7］□（翻书页声，象声词）
β	［8］划（计~）
ɗ	［7］嗒（滴~滴~，象声词）
tʰ	［7］跶（踢~踢~，象声词）
d	［8］哒（白~，象声词）
n	［8］□（我们）
l	［7］□（象声词）［8］喇（~嘛）□（煞~，非常）
ʦ	［7］着（~衣）隻（量词）酌灼□（钩子，~钩）摘□（钩住）□（~點水，略灑）□（~硬，堅固）籷
ʦʰ	［7］尺赤-斥-拆策册拺（扶着走，搀扶）坼（开裂）㿭绰（宽~）焯□（排泄，下蛋）
s	［7］闩栅湿-煞-烁螫□（门~，门闩）洓（望东西上少量洒水）
z	［8］着（助词）𤏸（著火）石硕若弱芍宅泽（地名，张~）煠（油~餜，油~桧，油~馃，油条）掷射（眼睛直~）□（顿足）蹃（~脚，跺）□（~出来，凸出）
k	［7］格-骼隔革膈嗝鸽蛤
kʰ	［7］客
ŋ	［7］扤（折断）［8］额
h	［7］吓
ø	［7］阿（~妈）
#iᴀʔ	
l	［8］掠略
ʦ	［7］爵雀-（麻~，麻将。~子斑）
ʦʰ	［7］雀=（麻~，麻将）鹊皵（肉~皮）□（掠过，擦过）
s	［7］削
z	［8］嚼
ʄ	［7］脚觉=（感~）角=（~色）珏
cʰ	［7］却确榷
ɟ	［8］剧屐攫
ɲ	［8］鰙箬虐谑疟=匿溺昵
ç	［7］吓=谑
ɦ	［8］药钥乐（音~）跃学=岳=（山~）嶽=
ø	［7］约
#uᴀʔ	
k	［7］呱（裂开）呱（~~叫，象声词）奯(轉目偶見,~一眼)
kʰ	［7］□（象声词）
g	［8］□（~出，凸出）□（象声词）
#æʔ	
ɓ	［1］八捌伯
b	［8］拔跋钹坺（泥~头）
m	［8］袜
ɸ	［7］发法珐砝豁辖髮發眓（眼梢上挑，~眼梢）寣甩（~水。作菜的青魚尾。）□（摇头~尾巴）
β	［8］伐筏乏罚阀滑猾磆覂 （倒掉）
ɗ	［7］答搭褡瘩鞑妲怛溚（湿~~）嗒（用手取食，尝）鎝遢溻（湿~~）耷土耷（住所）㿯（宽~~，皮松）捝（锄）闥
tʰ	［7］䵬㧺塔獭拓（~碑）搨蹋塌榻鳎溻（水~鬼）遢挞闼澾氵达（滑~）漯（~水度，地名）捝（除）
d	［8］闼踏沓达䈳（窗~）
n	［8］倷呐
l	［8］腊猎蜡獵躐镴邋拦-□（阻拦）辣癞喇（~嘛）□（豁~，缝隙，豁口）
ʦ	［7］劄扎札紮窄匝咂砸眨□（硬~）
ʦʰ	［7］察擦插
s	［7］杀刹霎翣靸煞萨撒（~手）目臿（眨）𢶍（~褲腰）□（~~檯腳，墊穩）
z	［8］闸煠（用水煮）铡□（疾走，乱串）□（绽出）
k	［7］甲夹-峡-挟裌䇲（~柵，木樁）隔䀹䀫（挤眼）间（~壁，隔壁）䛟唊（~嘴舌，口角）
kʰ	［7］掐恰曱甲（节~，指甲）狭（促~）□（压）揢（扼，用力掐住）客（~人）
g	［8］轧
ŋ	［8］齾（缺口）
h	［7］瞎-呷恰-
ɦ	［8］狭硖匣狎黠盒
ø	［7］鸭-押-压-揠-阿（~猫~狗）
#iæʔ	
ʄ	［1］夹=荚挟峡=戛甲=岬胛=钾
cʰ	［1］恰=
ɲ	［1］捏涅
ç	［1］瞎=
ɦ	［1］侠协洽狭=挟峡=
ø	［1］压=押=鸭=□（挥手）
#uæʔ	
k	［8］滑猾
kʰ	［7］刮括聒掴□□（~子书）矌（略見）
g	［8］□（轧住）□（~着，无意中听到）□（堵塞）
h	［7］发
ø	［7］挖
#œʔ	
ɗ	［7］掇（端）裰敠（~份量，掂）剟
tʰ	［7］脱
d	［8］夺叠（量词）
n	［8］衲（尿布）
l	［8］捋
ʦ	［7］卒
ʦʰ	［7］撮罬
k	［7］割
kʰ	［7］渴
h	［7］喝（吆~）
ɦ	［8］□（像呕吐声）
#uœʔ	
s	［7］蟀说率窣
#yœʔ	
ʄ	［7］菊橘厥噘蹶憠蕨獗瘚（昏倒）决抉诀玦孓
cʰ	［7］缺屈阕阙
ɟ	［8］掘崛橛鐝䞷（~出去，含怒而出）㭾（短）角厥（用角顶）□（一~粉笔，量词）赶（~起尾巴，翘起）
ɲ	［8］月玉
ç	［7］血噱
h	［7］血噱
ɦ	［8］越曰月悦阅钺燏（火光闪动）穴粤聿
ø	［7］鬱（忧~）粤哕抈玥岄
#ɔʔ	
ɓ	［7］博搏膊
pʰ	［7］朴扑檏璞幞蹼濮□（朥~肉，朥~，没有一点精肉的肥肉）□（~肉，松弛的肉）
b	［8］薄箔亳仆（~人）瀑（~布）曝缚-雹
m	［8］目（~的）苜睦牧穆木沐摸漠莫膜=寞
β	［8］缚=
ɗ	［7］厾（投掷）得（大~来）沰（量词，一~酱）豛（敲击）涿（~雨，淋雨）笃□
tʰ	［7］托託拓橐柝箨庹
d	［8］铎踱度（忖~）凙（凌~，冰锥）喥（疯，傻）
n	［8］诺
l	［7］□（~买，怡然自得）落（~脉，惬意）［8］洛络落骆烙珞雒酪荦乐（快~）錄
ʦ	［7］作卓倬桌□捉娖浞（跡~）篫（收拾整齐）涿=（~鹿）琢啄瘃（冻~，冻疮）斫斸斲□（~漏）
ʦʰ	［7］龊肏
s	［7］朔欶缩索嗍（吸入）
z	［8］射（~箭）濯浊镯蜀躅凿勺啄□（言语责骂）怍㪬（戳）昨-（~日）
k	［7］各铬阁搁角-（~落）觉-啯漷（~嘴，漱口）□（眼睛一~，一~转）
kʰ	［7］壳□（石灰墙面翘起）毃（敲打）□（倒出）
g	［8］搁（搁浅）□（吃~头，挨批评）
ŋ	［7］𩓥（昂起头）［8］鹤咢愕萼鄂颚腭鳄鹗噩岳-嶽-疟-（~子）𩓥（仰首）
h	［7］霍藿矆壑貉熇（烤）□嗀（咳痰）攉（受骗）□（贴）歊（上~，上腭）
ɦ	［8］学-镬涸鹄護
ø	［7］恶龌
#iɔʔ	
ɲ	［7］□（推搡）□［8］□（揉，~粉）搦掉（推搡）
cʰ	［7］戳确=
ɦ	［8］跃
#uɔʔ	
k	［7］郭椁漷（晃动溢出）
kʰ	［7］扩廓
ɦ	［8］镬
ø	［7］沃握幄渥
#ʊʔ	
ɓ	［7］北卜（占~）剥驳膊（赤~）走咅（合~）□（翘起，屁股~出）
pʰ	［7］仆（倒）覆（合~）
b	［8］匐（匍~）卜（萝~）伏（趴下）□（合~）
m	［8］幕墓木目
ɸ	［7］福蝠幅辐复（答~）複（~杂）覆（上~）複馥蝮
β	［8］伏（三~）茯袱服复復（恢~）
ɗ	［7］督笃□𡰪㞘（~脸，詈语，面孔）豚（女阴）□（~角）
tʰ	［7］秃□（水沸）袥（~肩，墊肩）
d	［8］独读犊牍渎黩椟毒度
l	［8］鹿簏麓漉熝辘蹗（~早起，起身）䃙（~砖）录盝 （~水，浸）绿碌禄箓氯戮蓼陆甪六
ʦ	［7］簇（挤在一起）竹竺烛筑築嘱瞩祝粥足喌蹙
ʦʰ	［7］甴促猝戳蹴蹙簇镞嗾畜（~牲）触矗擉（~tsã5）
s	［7］肃束速涑觫宿（住~）蓿簌夙粟谡叔十（~五）倏菽塑缩
z	［8］妯-轴-淑孰熟塾属蜀（~萁）俗逐族赎续辱褥肉=
k	［7］谷国蝈掴帼毂榖焗䀰（眼睛一~，張大）
kʰ	［7］哭酷
g	［8］□（~隆隆，童语，象雷声）
h	［7］複（~杂）淴幅腹蝠覆福（~气）
ɦ	［8］復复或惑获獲蠖斛服（~气）
ø	［7］屋
#iʊʔ	
ʄ	［7］菊鞠麴=掬鞫矍
cʰ	［7］曲蛐麯麴
ɟ	［8］局焗侷（曲背）锔碡轴=妯=逐=鬻□（好，妥当）□（赞美之词）
ɲ	［7］月（~饼）［8］肉-褥缛玉狱-浴育
ç	［7］畜蓄旭勖
ɦ	［8］浴域蜮欲慾毓育狱=昱煜役疫
ø	［7］郁（姓）唷尉（~迟，复姓）燠□（~肉，用酒或醬油等浸藏魚肉）
#ʌʔ	
b	［8］白=葡
m	［8］默墨没万（~俟）
ɗ	［7］得德啄
tʰ	［7］忒忑
d	［8］特迭
l	［8］肋勒捋
ʦ	［7］则织职啧责炙仄昃侧-谪窒窄=
ʦʰ	［7］侧=测饬=赤=斥=敕恻黢
s	［7］室飒瑟色塞啬穑（稻~头，稻穗）识式饰轼拭适释
z	［8］贼直值植殖食蚀泽=石=择秩湜-
k	［7］革=葛割=胳格=
kʰ	［7］刻克剋氪
g	［8］搿（夹）□（近指词）
ŋ	［8］额=厄扼轭核（审~）覈
h	［7］黑赫郝（姓）
ɦ	［8］阂（隔~）
ø	［7］遏
#iʌʔ	
cʰ	［7］吃
#əʔ	
ɓ	［7］钵拨不畀
pʰ	［7］拂泼
b	［8］钹勃鹁脖饽渤荸□（量词，块）鼻-别-葡-□（~石头，搬）
m	［8］末抹茉沫没（沉没）殁物-（~事）
ɸ	［7］忽淴佛（仿~）彿拂勿=弗氟笏寣目忽（着~，睡着）
β	［8］猢獲（~得）勿活佛物囫核屋□□（核）
ɗ	［7］答□（粘住）厾（丢）
d	［8］突叠（~起来）凸
tʰ	［7］脱（~头落襻）
n	［8］纳呐钠讷衲（老~）
l	［8］垃勒肋
ʦ	［7］执哲蜇折浙这摺褶辄嘬质（~问）卒汁只（~有）拙茁摘（指~）唶（吮）蚱蛭
ʦʰ	［7］彻撤澈辙猝焌黢黜缀啜掣叱出
s	［7］屑摄慑涩湿=十（五~）什（~么）设涮刷说虱失率（~领）摔蟀穑释（保~）索䅴（稻~头）□（塞紧）圾
z	［8］杂涉辙蛰蜇入=十（~个）什（~物）拾=舌热=侄秩实日=术朮-秫術述怵折（折断腿）掷=踯（~躅）
k	［7］柑（金~，金桔）合（升~）蛤佮葛吃（~嘴，口吃）鸽蚱虼胳个
kʰ	［7］渴咳嗑磕瞌搕（撞击）
g	［8］个搿（挟）□（近指词）渠（~拉，他们）
ŋ	［8］杌（~子）兀核（~对）□（捡）
h	［7］喝（~彩）
ɦ	［8］合（~计）阖閤劾阂盒盍颌核
ø	［8］曷褐遏盦㷈（~火為種）
#iəʔ	
ɓ	［7］笔滗逼碧壁璧□（用旺火炙干）
pʰ	［7］撇潎匹（一~布）辟澼僻劈霹癖闢□（去沫）
b	［8］□（重击）□（~~跳）
ɗ	［7］的（目~）滴摘镝嫡擿扚（掐）
tʰ	［7］剔踢惕倜
d	［8］狄荻敌笛籴迪涤翟
l	［8］力粒雳□（滤去水份）沥荔捩
ʦ	［7］即鲫=（过江之~）疖=积迹脊瘠鹡绩唧稷□（蹔~，蟋蟀）□（睁大眼睛，注视）
ʦʰ	［7］缉漆饬（~紧）□（勒紧）
s	［7］悉膝戌恤息熄媳=昔惜锡析蜥晰淅蟋皙亵
z	［8］疾席蓆夕汐矽寂嫉蒺藉-（狼~）
ʄ	［7］级戟击激棘亟殛
cʰ	［8］乞讫迄喫契（~丹）□龁（~牢，咬住）
ɟ	［8］及极屐杰剧
ɲ	［8］逆溺匿捏
ç	［7］阒
ɦ	［8］協亦翼翌羿弋译易（交~）蜴液腋我佚字奕弈驿绎逸轶射（仆~）驛燡（映衬）
ø	［7］亿忆抑益溢缢弋癔臆薏搕（~牢，用手遮蓋）
#uəʔ	
k	［7］骨剐-割=虢汩
kʰ	［7］阔窟
ø	［7］不勿殟（~塞，郁闷）□（头没入水中，~杀）斡［8］勿殟□（头没入水中，~杀）
#iɪʔ	
ɓ	［7］必毕业荜哔（~叽）壁（听~脚）鳖憋瘪
pʰ	［7］瞥□（脚往外斜）撇（脚向内斜）
b	［8］鼻弼愎别（区~）㧙蹩枇（~杷）□（比，~苗头）□（~进~出）
m	［8］宓密蜜觅幂汨灭蔑篾蠛搣（~螺絲，捻搓）
ɗ	［7］跌的（~确）
tʰ	［7］帖贴铁餮
d	［8］碟蝶喋堞蹀牒谍迭瓞垤咥特
l	［8］力列挒冽烈裂洌劣立笠栗慄傈溧曆歷历沥砾栎郦呖枥雳捩律率（利~） □（斜缠于身）□（滤去水份）
ʦ	［7］接节栉疖
ʦʰ	［7］七柒戚槭缉=楫辑葺切窃妾
s	［7］薛雪泄洩渫屑髓锡
z	［8］籍集捷藉（狼~）婕睫截绝习袭□□（旋转）
k	［7］吉（~他）
ʄ	［7］髻吉急给咭结洁拮诘桔（~梗）劼颉撷劫挟荚颊搛（~菜）揭羯碣偈孑挈墼䥛（镰刀）扢（~眉毛）
cʰ	［7］怯挈锲泣
ɟ	［8］极及笈汲岌桀杰竭䫘
ɲ	［8］聂颞蹑镊臬镍孽蘖啮日-热-业邺屹拈拾-□（捡）入（~木，大殓）
ç	［7］吸翕隙楔阋歙胁歇揭-蝎
h	［7］歇揭□（掀）
ɦ	［8］叶葉页拽撷（门~~上，~他一把）曳晔烨掖熠越
ø	［7］一乙邑悒□壹噎揖谒咽（呜~）靥□（凹陷）擪（~乾水，按，按吸）
#m̩	
ɦ	［2］呣（向孩子示威）［4］母（丈~）亩姆（伯~，妯娌）
ø	［1］呣（应声，表示首肯）姆（~妈）无呒
#n	
ɦ	［4］我（~奴）
ø	［1］嗯□（~奶）
#ŋ̍	
ɦ	［2］吴-（姓）梧-鱼-儿-［4］我（~奴）吾红五-伍-午-仵忤（~逆）儿（~子）［6］忤-恨（~勿则得，恨不得）
ø	［1］嗯
#əl	
ɦ	［2］儿=而［6］二=贰=
ø	［1］耳=饵洱珥尔迩
