#ɿ
p [1]屄鄙 [3]彼比蔽 [5]闭弊毙
n [1]孬 [2]挠 [3]脑恼 [5]闹
l [1]捞 [2]劳唠牢 [3]老佬 [5]涝落烙
ts [1]糟遭朝昭招 [3]早枣蚤找沼 [5]灶罩照
tsʰ [1]操抄钞超 [3]草吵炒 [5]躁☐{生事惹事}
s [1]骚臊稍梢捎筲 [3]嫂少 [5]扫潲少
sʰ [2]曹槽皂造 [5]邵
k [1]高糕膏篙茭☐{全的意思}[3]稿搞 [5]告窖觉
kʰ [1]敲 [3]考烤拷 [5]靠犒铐
h [1]号豪嚎毫 [5]号浩
ŋ [2]熬 [3]袄咬 [5]傲懊坳
x [1]蒿薅 [3]好 [5]好
∅ [5]凹

#iɔ
p [1]标彪膘镖 [3]表婊裱
pʰ [1]漂飘 [3]漂 [5]票漂
fʰ [1]瓢嫖
m [2]苗描瞄 [3]秒渺 [5]庙妙
t [1]刁貂雕叼 [3]鸟 [5]掉{文读}调钓吊
tʰ [1]挑 [5]跳
ɾʰ [2]条调
n [3]鸟了 [5]绕
l [1]辽疗聊撩☐{缝补衣裳}[3]了 [5]料撂
tɕ [1]交郊胶浇焦蕉椒骄娇缴 [3]狡绞搅饺皎 [5]教叫较校
tɕʰ [1]悄锹 [3]巧☐{便宜}[5]翘跷窍俏
ɕ [1]消销宵萧箫☐{薄义}[3]小晓 [5]笑酵校
h [2]桥乔荞 [5]校效孝
∅ [1]妖邀腰要幺 [2]摇谣窑姚 [3]舀 [5]要耀跃

#ie
tɕ [5]械疖届
tɕʰ [3]且
ɕ [3]卸 [5]邪{文读}
∅ [2]爷 [3]耶也{文读}

#ei
p [1]杯背碑卑悲蓖 [5]贝备被辈倍
pʰ [1]胚坯 [5]配佩沛培
fʰ [2]陪赔肥葵
m [2]梅玫没媒煤枚霉眉某 [3]美每 [5]妹昧
f [5]废肺
t [1]堆 [3]怼 [5]对队兑
tʰ [1]梯推 [3]腿 [5]退褪
n [5]内
l [1]雷擂☐{用针戳}[3]累垒蕾 [5]累类泪
ts [1]追遮{文读}[3]嘴 [5]醉最
tsʰ [1]吹车催崔☐{斜}[3]扯 [5]翠脆粹
s [1]尿虽啬 [3]水谁 [5]碎射岁嗉穗
sʰ [2]佘 [3]社罪{受~}[5]随
k [3]给
h [2]☐{他，第三人称}

#uei
ts [1]锥 [5]瑞
s [5]睡
sʰ [2]垂 [3]锤槌
k [1]闺规龟归 [3]鬼轨诡 [5]鳜桂贵瑰
kʰ [1]亏盔窥 [3]跪 [5]愧
x [1]非飞妃灰恢挥辉徽 [2]匪 [3]毁悔翡 [5]贿绘惠汇诲痱费
∅ [1]煨威尾 [2]回桅危为唯微违围 [3]委伪萎伟苇 [5]会卫喂为魏畏慰胃

#yei
tɕ [2]瘸
ɕ [2]靴
h [2]茄

#əɯ
m [3]亩
f [3]否
l [1]卤 [2]楼娄炉庐芦陆 [5]路漏
t [1]都兜 [3]堵赌抖陡蚪肚度 [5]斗痘☐{拼合起来}
tʰ [1]偷 [3]土吐☐{打开}[5]透兔
ɾʰ [2]图徒途屠涂 [5]度渡
ts [1]邹周州洲舟租 [3]走祖组 [5]揍奏皱昼宙纣
tsʰ [1]抽粗 [3]丑瞅 [5]臭醋簇
s [1]收搜馊苏酥 [3]手首守 [5]兽售瘦素诉塑
sʰ [2]绸稠筹愁仇 [3]受 [5]寿授售
ŋ [3]纽{白读}[5]怄{白读}
∅ [3]呕{文读}[5]怄{文读}

#iu
t [1]丢
n [2]揉牛扭 [3]纽{文读}
l [2]溜流留瘤榴硫琉 [3]柳缕
tɕ [1]揪纠灸究 [3]酒九韭久 [5]救
tɕʰ [1]秋丘☐{烟熏人}[3]糗 [5]☐{指就着某人某事的方便}
ɕ [1]修休羞貅朽 [5]秀嗅
ɕʰ [2]舅 [3]就 [5]旧
h [2]囚泅求球 [5]袖
∅ [1]油悠游幽邮优由犹 [3]有友 [5]又右佑幼柚釉

#ĩ
p [1]鞭编边蝙 [3]扁贬匾 [5]变辩辨
pʰ [1]篇偏 [5]骗片
fʰ [2]便 [3]辫☐{觉得} [5]辩辨
m [2]棉眠 [3]绵{软义}免勉 [5]面
t [1]颠癫掂 [3]点典 [5]殿
tʰ [1]天添 [3]舔 [5]垫
ɾʰ [2]田填甜 [5]电
n [1]研 [2]年鲇廉帘连联怜莲碾 [3]脸 [5]念练链炼拈
tɕ [1]尖奸兼监煎肩坚间艰搛 [3]减剪碱简检茧锏 [5]舰见建健键剑践荐虔箭渐
tɕʰ [1]签谦迁千牵铅 [3]浅潜 [5]欠歉嵌
ɕ [1]鲜藓癣
ɕʰ [2]钱 [3]件
h [2]前虔贤 [5]现
∅ [1]烟胭腌焉冤 [2]盐言严圆缘源园袁援延 [3]远演☐{一种皮肤结壳状}炎 [5]燕咽雁艳宴焰院怨

#yĩ
tɕ [1]捐鹃娟{人名}[3]卷{~起来} [5]倦卷{考~}券
tɕʰ [1]圈 [5]劝
ɕ [1]宣喧轩 [3]选 [5]旋炫眩漩
h [2]全泉拳权醛悬玄
∅ [1]元猿原员媛渊鸳芫 [5]愿苑

#õ
p [1]搬 [5]半办伴扮瓣
pʰ [1]攀潘 [5]叛判绊
fʰ [2]盘
m [2]满瞒蛮馒 [3]螨 [5]漫幔慢
t [1]端 [3]短 [5]段
tʰ [1]☐{掏义，别~出来。}[5]☐{形容衣物、绳子等松紧弹力不够要掉落状，也可用于动作解绑。}
ɾʰ [1]团坛 [3]断
n [2]男{白读}南☐{赶走义，还用于亲戚朋友间办事不断捧场。}[3]暖卵孪 [5]乱
ts [1]沾{白读}钻砖专占{白读}转粘
tsʰ [1]穿川 [5]串窜
s [1]酸 [3]☐{用力撒义。}[5]算蒜扇
sʰ [2]蚕
k [1]官观关冠甘肝干{白读} [3]管馆莞敢 [5]冠惯{白读}灌罐
kʰ [1]看宽刊堪勘 [3]课款侃砍☐{盖起来}
h [2]寒 [3]☐{搅拌}[5]汗
∅ [1]庵 [3]丸碗 [5]换

#ã
p [1]班斑扳颁帮般 [3]版板绑榜瓣 [5]棒蚌傍谤蚌泵
pʰ [5]胖泮
fʰ [2]房防妨烦繁凡 [3]☐{跌倒}[5]饭范贩泛犯
m [2]忙盲芒茫氓 [3]莽蟒☐{“马上”合音}[5]慢{文读}
f [1]方芳帆 [3]返仿 [5]放
t [1]单担丹耽当铛 [3]胆党档挡 [5]但诞荡砀旦担
tʰ [1]汤趟棠贪滩摊瘫坦 [3]躺傥淌毯 [5]趟烫探叹碳炭
ɾʰ [2]谈潭谭痰弹坛檀 [3]淡 [5]蛋
n [2]蓝男{文读}难楠兰栏拦岚篮 [3]懒览揽缆 [5]烂滥难
ts [1]占{文读}沾{文读}詹{姓氏}[3]攒展斩盏崭 [5]站战暂蘸栈绽蔗
tsʰ [1]搀掺昌参餐仓苍舱 [3]产厂场惨敞鲳 [5]唱畅颤
s [1]桑丧三删衫姗伤商裳山陕 [3]闪散伞赏馓 [5]善赡擅汕散单
sʰ [2]尚 [3]上常尝肠偿嫦惭
k [1]刚竿柑间 [3]感赶杆 [5]干
kʰ [1]坎
h [1]寒含涵韩函咸坛☐{指不脆了。}[5]焊憾苋
ŋ [1]安按鹌 [3]眼 [5]晏暗
x [1]憨 [3]喊 [5]汉

#iã
n [2]娘良梁粱凉粮 [3]两俩 [5]亮量辆晾谅
tɕ [1]疆缰僵姜江 [3]奖蒋桨 [5]酱将降浆
tɕʰ [1]枪腔 [3]抢 [5]呛
ɕ [1]相箱湘香襄镶乡厢 [3]想饷享响 [5]相向项象
ɕʰ [2]墙强蔷降 [3]像
h [2]详祥 [5]匠
∅ [1]央秧殃 [2]羊洋烊杨阳扬疡 [3]养痒 [5]样☐{将牛固定一处}

#uã
ts [1]庄装妆 [5]赚壮
tsʰ [1]喘窗疮 [3]闯 [5]撞创
s [1]双霜栓拴 [3]爽
sʰ [2]床
k [1]关光 [3]广 [5]逛惯{文读}
kʰ [1]筐眶诓 [3]☐{用力摔}[5]矿旷况框
x [1]荒慌翻番 [3]谎反 [5]晃
∅ [1]弯汪湾 [2]王顽玩还黄环蟥簧皇蝗隍凰往 [3]挽枉皖 [5]旺妄万

#ən
p [3]本
pʰ [1]喷烹 [3]捧 [5]喷碰
m [1]懵 [2]蒙 [3]猛 [5]孟梦
fʰ [2]盆焚彭膨棚朋蓬篷缝冯☐{一溜烟}[5]凤奉俸
f [1]芬纷 [3]讽 [5]愤
t [1]东冬 [3]等懂董 [5]凳钝顿瞪栋冻
tʰ [1]吞通 [3]桶捅统筒 [5]☐{后退：往后~}痛
ɾʰ [2]屯腾誊藤囤同铜桐童瞳 [3]动 [5]洞
n [2]农哝聋笼隆龙珑脓☐{随便应付一下} [3]垄拢 [5]弄
ts [1]真臻针珍砧尊遵曾增征争挣睁贞钟宗综鬃棕踪中盅衷忠中[3]怎枕疹肿总[5]憎赠郑症正政镇震振种粽众
tsʰ [1]村称撑充冲葱聪囱 [3]逞☐{急切想得到的难看样子}[5]趁衬称秤冲
s [1]森参深身申伸孙升生甥牲声松嵩 [3]审婶损笋省沈怂耸搡 [5]渗胜圣宋诵颂
sʰ [2]曾存层乘绳承丞澄橙呈程成城诚盛纯唇虫崇从 [3]重 [5]钝盛
z [1]仍扔
k [1]今跟根庚更羹公蚣工功攻弓宫恭供龚 [3]梗埂哽耿粳更拱汞 [5]供共贡
kʰ [1]坑空 [3]啃肯恳垦孔恐 [5]吭☐{头低着}控空
ŋ [2]樱 [5]硬
h [2]痕恒衡红宏洪鸿 [5]恨
x [2]轰烘哄 [3]很狠哄 [5]哄

#iən
p [1]宾彬冰兵 [3]饼丙秉 [5]柄并
pʰ [1]乒拼 [3]品凭{文~} [5]聘
fʰ [2]贫平瓶评屏苹坪苹萍频凭 [5]病
m [2]民名鸣明 [3]闽敏抿 [5]命
t [1]丁叮钉盯 [3]顶鼎 [5]订钉
tʰ [1]听厅 [3]挺艇
ɾʰ [2]亭停庭婷蜓廷秦 [5]定
n [1]拎 [2]人林临邻鳞疄淋灵零铃玲宁 [3]领岭 [5]另令认宁
tɕ [1]金禁襟津巾斤筋京荆惊鲸精晶睛经泾[3]锦尽紧仅谨景警井颈 [5]浸禁进晋劲境敬竟镜径
tɕʰ [1]亲清卿轻青 [3]请 [5]亲庆沁
ɕ [1]心辛新薪欣星腥胸兄凶 [3]醒☐{形容人非常爱炫耀或者邀宠} [5]信兴杏幸性姓
h [2]琴芹勤行晴形型刑乾穷琼熊雄 [3]近☐{就} [5]净
∅ [1]音阴因姻殷应英缨晕拥雍 [2]银蝇迎盈赢营云荣戎绒融容庸 [3]引饮隐影颖 [5]印应映运熨韵永蛹咏☐{心里烦躁}

#uən
tsʰ [1]春椿蠢
k [3]滚 [5]棍
kʰ [1]昆坤 [3]捆 [5]困
x [1]分昏婚荤丰封峰蜂锋 [3]粉 [5]粪奋混
∅ [1]温 [2]问魂浑横闻 [3]稳 [5]汶

#yən
tɕ [1]军君均菌胗钧 [3]准 [5]俊峻
ɕ [1]熏勋 [5]训讯瞬
h [2]裙群
∅ [2]匀 [3]允

#əŋ
p [1]奔☐{一种冬天穿的衣服}[5]笨
m [2]门明 [5]闷
f [1]风枫疯
t [1]灯登噔蹲墩 [5]邓
ɾʰ [5]盾
n [2]伦轮能 [3]冷 [5]嫩论
ts [1]蒸 [5]证症
s [1]僧
k [5]耕
∅ [1]恩

#aʔ
p [7]八
fʰ [7]拔伐筏罚袜
m [7]抹
f [7]法发
t [7]答搭瘩
tʰ [7]踏沓塔塌獭
ɾʰ [7]铡☐{来得及}
n [7]捺纳
l [7]腊辣蜡癞
ts [7]扎眨{文读}杂匝砸咂
tsʰ [7]插擦察
s [7]萨杀煞
sʰ [7]炸
k [7]夹甲眨{白读}颊胳
kʰ [7]掐
ŋ [7]鸭押
x [7]瞎辖

#uaʔ
s [7]刷
k [7]刮聒
∅ [7]滑猾划

#iʔ
n [7]逆
l [7]立立笠粒列裂烈劣栗力历
tɕʰ [7]七漆戚☐{一种高粱}
ɕ [7]惜

#ɿʔ
p [7]憋鳖笔毕必逼碧璧壁瘪
fʰ [7]鼻
m [7]蜜密
ts [7]织
tsʰ [7]吃
s [7]失
z [7]直
tɕ [7]吉鲫极迹脊绩击激集及籍
ɕ [7]习袭席吸泄歇膝息熄媳析惜

#eʔ
p [7]北百柏
pʰ [7]拍帕{文读}
fʰ [7]白
m [7]墨麦脉没
t [7]得德
tʰ [7]脱特☐{掉}
n [7]☐{尿布}
l [7]勒
ts [7]浙折质则责植窄哲职植泽
tsʰ [7]拆撤侧测册策尺斥贼
s [7]涉涩设虱失塞色适麝啬
k [7]割鸽格隔革嗝戈
kʰ [7]咳克刻瞌☐{压}可
h [7]舌择石
x [7]黑吓核合

#ieʔ
pʰ [7]撇劈
m [7]灭篾
t [7]跌的滴嫡
tʰ [7]帖贴铁踢剔
ɾʰ [7]碟蝶笛敌
n [7]捏聂热日
tɕ [7]接捷即劫急级杰揭结洁节
tɕʰ [7]切七
ɕ [7]协雪屑
∅ [7]叶译业噎页一

#ueʔ
kʰ [7]阔扩括
∅ [7]活

#yeʔ
n [7]虐
tɕ [7]诀决橘觉
tɕʰ [7]怯缺却
ɕ [7]薛
h [7]学
∅ [7]月越

#əʔ
s [7]十识
z [7]侄

#əɯʔ
ts [7]轴肘
ɾʰ [7]受毒独读
ŋ [7]藕

#oʔ
p [7]博剥拨
pʰ [7]泼泊
m [7]末沫茉没默抹
f [7]福蝠幅腹覆
t [7]栋☐{淋雨}夺督
tʰ [7]托
l [7]落骆络乐禄六陆录
tsʰ [7]促
s [7]索嗦缩速肃宿
k [7]搁郭角
kʰ [7]扩壳括
h [7]盒合昨
ŋ [7]恶
x [7]喝☐{挨着}

#ioʔ
tɕ [7]脚{文读}☐{剩下的东西}
tɕʰ [7]确☐{奇怪}
ɕ [7]削
∅ [7]药浴狱约

#uʔ
m [7]木目
k [7]骨国谷
kʰ [7]哭阔窟
∅ [7]握屋沃

#yʔ
tɕ [7]粥
