音標	調類	調值	
kən	1	22	公蚣工功攻弓躬宫恭供
kən	3	53	汞拱鞏
kən	5	213	貢供
kiɛ	1	22	跟根更粳庚耕
kiɛ	3	53	哽埂梗耿
kiɛ	5	213	更鋸
kiɛ	7	45	格革
kɤ	1	22	甘柑泔尷干肝竿乾
kɤ	3	53	感敢橄桿稈擀趕
kɤ	7	45	合蛤鴿割葛
kɔ	1	22	家痂
kɔ	3	53	假
kɔ	5	213	架駕嫁
kɔ	7	45	隔
kʊ	1	22	歌哥戈
kʊ	3	53	果
kʊ	5	213	個過
kʊ	7	45	各閣擱胳角
m̩	3	53	姆（～媽）
ma	2	21	埋蠻鰻
ma	3	53	買
ma	6	44	賣邁慢蔓
mau	2	21	毛茅矛錨
mau	3	53	卯
mau	6	44	冒帽貌
mi	2	21	迷梅枚媒煤糜彌眉楣黴
mi	3	53	米每靡美
mi	6	44	謎妹昧媚寐
mi	7	45	祕泌密蜜覓
min	2	21	民明名鳴銘
min	3	53	閩憫敏抿皿
min	6	44	命
miɑŋ	2	21	明名
miɑŋ	6	44	命
miəu	6	44	謬
miɛ	2	21	綿棉眠
miɛ	3	53	免勉娩緬澠
miɛ	6	44	面麵
miɛ	7	45	滅篾墨
miʊ	1	22	貓
miʊ	2	21	苗描謀眸
miʊ	3	53	藐渺秒某畝牡
miʊ	6	44	廟妙茂貿謬
mɑŋ	2	21	忙芒茫芒盲
mən	2	21	門萌盟蒙
mən	3	53	猛懵蠓
mən	6	44	悶孟夢
mɤ	2	21	瞞
mɤ	3	53	滿
mɤ	6	44	漫幔
mɤ	7	45	末沫抹
mɔ	1	22	媽
mɔ	2	21	麻痲蟆
mɔ	3	53	馬碼
mɔ	6	44	罵
mɔ	7	45	麥
mʊ	1	22	摸饃
mʊ	2	21	魔磨摩模模摹膜
mʊ	3	53	母拇
mʊ	6	44	磨暮慕墓募
mʊ	7	45	莫幕寞摸木目穆牧
n̩	3	53	你爾五
na	2	21	來攋藍籃難蘭攔欄難
na	3	53	乃奶覽攬欖纜懶
na	6	44	耐奈賴癩濫爛
na	7	45	納臘蠟捺辣瘌
nau	1	22	撈嘮
nau	2	21	勞牢撓
nau	3	53	腦惱老
nau	6	44	澇鬧
nɑŋ	2	21	囊郎廊狼蜋
nɑŋ	3	53	朗冷（白）
nɑŋ	6	44	浪
nau	1	22	聾
nən	2	21	論崙倫淪輪籠農膿儂隆濃龍
nən	6	44	嫩論弄
nəu	2	21	奴盧爐蘆鸕廬驢
nəu	6	44	怒路賂露鷺
nəu	7	45	鹿祿陸錄
nɤ	2	21	南男漤鸞
nɤ	3	53	暖卵
nɤ	6	44	亂
nɤ	7	45	捋
nɔ	1	22	拉
nɔ	3	53	哪
nɔ	5	213	那（口語中用「渠」）
nɔ	7	45	拿
nʊ	1	22	囉
nʊ	2	21	挪羅鑼籮騾螺
nʊ	3	53	裸
nʊ	7	45	洛烙珞笿絡落袼諾酪雒駱樂犖
pa	1	22	班斑扳
pa	3	53	擺跛板版
pa	5	213	拜扮
pa	7	45	八不
pa	1	22	班
pau	1	22	褒包胞
pau	3	53	保堡寶飽
pau	5	213	報鮑豹爆
pi	1	22	杯碑卑悲
pi	3	53	彼鄙比秕
pi	5	213	貝秘
pi	7	45	臂畢必逼碧璧
pin	1	22	彬賓檳冰兵
pin	3	53	禀丙秉柄（文）餅（文）
pin	5	213	殯鬢併
piɑŋ	3	53	柄（白）餅（白）
piɛ	1	22	鞭編邊
piɛ	3	53	貶蝙扁匾
piɛ	5	213	變
piɛ	7	45	屄别鼈憋北
piɔ	7	45	壁（白）
piʊ	1	22	臕標彪
piʊ	3	53	表錶
pu	3	53	補
pu	5	213	布
pɑŋ	1	22	幫邦
pɑŋ	3	53	榜綁
pɑŋ	5	213	謗棒
pən	1	22	奔錛崩
pən	3	53	本
pən	5	213	逩迸
pɤ	1	22	頒般搬
pɤ	5	213	半
pɤ	7	45	鉢撥
pɔ	1	22	巴芭疤
pɔ	3	53	把㞎
pɔ	5	213	霸欛壩垻
pɔ	7	45	爸百柏伯
pʊ	1	22	波菠玻
pʊ	3	53	簸（顛~）跛
pʊ	5	213	簸
pʊ	7	45	博剝駁
sa	1	22	腮鰓篩衰摔三衫珊山删
sa	3	53	篩散傘
sa	5	213	賽寨帥釤散疝
sa	7	45	撒薩殺
sau	1	22	騷臊梢捎稍燒
sau	2	21	韶
sau	3	53	嫂少
sau	5	213	掃掃潲潲少
sau	6	44	邵紹
sɑŋ	1	22	生（白）牲（白）甥（白）聲（白）桑喪霜孀商傷雙雙
sɑŋ	2	21	成（白）盛（白）常嘗裳償
sɑŋ	3	53	省（白）嗓搡爽賞晌餉
sɑŋ	5	213	喪
