				伯		pak33
				勃		put21
				脖		put21
				博		pɔk33
				渤		put21
				搏		pɔk33
				駁		pɔk33
				膊		pɔk33
				跛		pɐi53
				簸	簸蕩,簸穀	pɔ33
				擘		mak33
				卜		pʊk55
				蔔	蘿蔔	pɐk21
				補		pu35
				不		pɐt55
				布		pu33
				步		pu31
				佈		pu33
				怖		pu33
				部		pu31
				埠		fɐu31
				簿		pu31
				猜		tɕʰai53
				才		tʰɔi21
				材		tʰɔi21
				財		tʰɔi21
				裁		tʰɔi21
				纔		tʰɔi21
				采		tʰɔi35
				採		tʰɔi35
				啋		tsʰɔi53
				彩		tʰɔi35
				睬		tʰɔi35
				踩		tɕʰai35
				踩		ȵai35
				菜		tʰɔi33
				蔡		tʰɔi33
				叄	“三”的大寫.	ɬam53
				參	參宿,人參	ɕɐm53
				參	參加	tʰam53
				餐		tʰæn53
				殘		tʰæn21
				慚		tʰam21
				蠶		tʰam21
				慘		tʰam35
				璨		tʰæn33
				燦		tʰæn33
				倉		tʰɔŋ53
				蒼		tʰɔŋ53
				滄		tʰɔŋ53
				藏	隱藏	tɕʰɔŋ21
				藏	西藏	tɕɔŋ21
				操		tʰɔu53
				糙		tʰɔu33
				曹		tʰɔu21
				嘈		tʰɔu21
				嘈		tsʰɔu21
				槽		tʰɔu21
				艹		tʰɔu35
				艸		tʰɔu35
				草		tʰɔu35
				冊		tɕʰak33
				側		tɕɐk55
				側		tɕɐk55
				策		tɕʰak33
				廁		tsʰi33
				測		tɕɐk55
				惻		tɕʰɐk55
				岑		tɕʰɐm21
				曾	曾經	tʰɐŋ21
				層		tʰɐŋ21
				叉		tɕʰa53
				杈		tɕʰa53
				插		tɕʰap33
				茶		tɕʰa21
				查		tɕʰa21
				搽		tɕʰa21
				察		tɕʰæt33
				汊		tɕʰa53
				岔		tɕʰa33
				差	差別	tɕʰa53
				差	出差	tɕʰai53
				差	參差	tʰi53
				䟕		tɕʰa33
				拆		tɕʰak33
				釵		tɕʰai53
				柴		tɕʰai21
				嬋		ɕim21
				纏		tɕʰin21
				鑱	刺	tɕʰam23
				產		tɕʰæn35
				剷		tɕʰæn35
				鏟		tɕʰæn35
				昌		tɕʰœŋ53
				長	長短	tɕʰœŋ21
				長	生長	tɕœŋ35
				常		tɕʰœŋ21
				場		tɕʰœŋ21
				腸		tɕʰœŋ21
				償	又讀	tɕʰœŋ21
				廠		tɕʰɔŋ35
				唱		tɕʰœŋ33
				暢		tɕʰœŋ33
				抄		tɕʰau53
				𠰉	打噴嚏	tɕʰiu53
				超		tɕʰiu53
				𤙴		tɕʰau53
				焯		tɕʰɔk33
				焯		tɕʰœk33
				晁		tɕʰiu21
				鼂		tɕʰiu21
				巢		tɕʰau21
				朝		tɕiu53
				朝		tɕʰiu21
				潮		tɕʰiu21
				吵		tɕʰau33
				炒		tɕʰau35
				耖		tɕʰau33
				車		tɕʰiɐ53
				車		ky53
				扯		tɕʰiɐ35
				坼		tɕʰak33
				㿭	皴,爆㿭	tɕʰak33
				掣		tɕɐi33
				撤		tɕʰit33
				徹		tɕʰit33
				澈		tɕʰit33
				辰		ɕɐn21
				沉		tɕʰɐm21
				沉	浸沒、溺亡	tɕɐm31
				忱		tɕʰɐm21
				宸		ɕɐn21
				陳		tɕʰɐn21
				晨		ɕɐn21
				塵		tɕʰɐn21
				𧿒		tɐm31
				趁		tɕʰɐn33
				襯		tɕʰɐn33
				稱	稱呼	tɕʰɪŋ53
				稱	相稱	tɕʰɪŋ33
				撐	豎舉長桿	tɕʰaŋ53
				成		ɕɪŋ21
				呈		tɕʰɪŋ21
				承		ɕɪŋ21
				城		ɕɪŋ21
				埕		tɕʰɪŋ21
				乘		ɕɪŋ21
				程		tɕʰɪŋ21
				誠		ɕɪŋ21
				橙		tɕʰaŋ35
				懲		tɕʰɪŋ21
				逞		tɕʰɪŋ35
				秤		tɕʰɪŋ33
				牚		tɕʰaŋ33
				牚		ȵaŋ33
				喫		hɪk55
				嗤		tɕʰi53
				痴		tɕʰi53
				癡		tɕʰi53
				黐		tɕʰi53
				池		tɕʰi21
				弛		tɕʰi21
				持		tɕʰi21
				馳		tɕʰi21
				遲		tɕʰi21
				尺		tɕʰɪk33
				侈		tɕʰi35
				恥		tɕʰi35
				豉		ɕi31
				齒		tɕʰi35
				斥		tɕʰɪk55
				赤		tɕʰɪk33
				翅		tɕʰi33
				敕		tɕʰɪk55
				充		tɕʰʊŋ53
				沖		tɕʰʊŋ53
				忡		tɕʊŋ53
				舂		tɕʰʊŋ53
				舂		tɕʊŋ53
				摏		tɕʊŋ53
				衝		tɕʰʊŋ53
				崇		tɕʰʊŋ21
				蟲		tɕʰʊŋ21
				寵		tɕʰʊŋ35
				揰	推擊	tɕʰʊŋ33
				銃		tɕʰʊŋ33
				抽		tɕʰɐu53
				搊		ȵɐu53
				仇		tɕʰɐu21
				酬		tɕʰɐu21
				稠		tɕʰɐu21
				愁		tɕʰɐu21
				綢		tɕʰɐu21
				疇		tɕʰɐu21
				籌		tɕʰɐu21
				丑		tɕʰɐu35
				醜		tɕʰɐu35
				臭		tɕʰɐu33
				出		tɕʰɐt55
				初		tɕʰɔ53
				除		tɕʰy21
				鋤		tɕʰɔ21
				廚		tɕʰy21
				楚		tɕʰɔ35
				儲		tɕʰy23
				礎		tɕʰɔ35
				畜		tɕʰʊk55
				處		tɕʰy35
				處		tɕʰy33
				搐		tɕʰʊk55
				欻		fut21
				搋	搋麵粉	tɕʰai53
				搋		ȵai53
				啜		tɕyt55
				啜		tɕut55
				川		tɕʰun53
				穿		tɕʰun53
				穿	損傷	tɕʰyn53
				船		ɕun21
				傳		tɕʰun21
				傳		tɕun33
				喘		tɕʰun35
				串		tɕʰun33
				窗		tɕʰɔŋ53
				瘡		tɕʰɔŋ53
				床		tɕʰɔŋ21
				牀		tɕʰɔŋ21
				闖		tɕʰɔŋ35
				創		tɕʰɔŋ33
				吹		tɕʰɵy53
				炊		tɕʰɵy53
				垂		ɕɵy21
				槌		tɕʰɵy21
				錘		tɕʰɵy21
				春		tɕʰɐn53
				唇		ɕɐn21
				純		ɕɐn21
				脣		ɕɐn21
				醇		ɕɐn21
				蠢		tɕʰɐn35
				戳		tɕʰɔk33
				茨		tʰi21
				茨		tsʰi21
				祠		tʰi21
				瓷		tʰi21
				詞		tsʰi21
				慈		tʰi21
				磁		tʰi21
				雌		tʰi53
				餈		tʰi21
				糍		tʰi21
				辭		tsʰi21
				鶿		tʰi21
				此		tʰi35
				次		tʰi33
				刺		tʰi33
				賜		ɬy33
				匆		tʰʊŋ53
				囪		tʰʊŋ53
				蔥		tʰʊŋ53
				聰		tʰʊŋ53
				從	從今以後	tsʰʊŋ21
				從	從細，自從	tung21
				叢		tsʰʊŋ21
				湊		tʰɐu33
				粗	麤也略也徂古切又于胡切五	tʰu53
				促		tʰʊk55
				醋		tʰu33
				躥		tɕʰun33
				崔		tʰɵy53
				催		tʰɵy53
				璀		tʰɵy53
				脆		tʰɵy33
				椊		tɐt55
				翠		tʰɵy33
				村		tʰun53
				存		tsʰun21
				寸		tʰun33
				吋		tʰun33
				撮		tut33
				蹉		tʰɔ53
				措		tʰu33
				銼		tʰɔ33
				錯		tʰɔ33
				耷		tɐp55
				搭		tap33
				沓		tap21
				笪		tæt33
				達		tæt21
				答		tap33
				打		ta35
				打	量詞	ta53
				大		tai31
				呆		ŋɔi21
				歹		tai35
				逮		tɐi31
				代		tɔi31
				岱		tɔi31
				待		tɔi31
				帶		tai33
				袋		tɔi31
				貸		tʰai33
				戴		tai33
				黛		tɔi31
				丹		tæn53
				眈		tam53
				耽	耽誤	tam53
				單	單人	tæn53
				簞		tæn53
				擔		tam53
				擔		tam33
				膽		tam35
				旦		tæn33
				但		tæn31
				疍		tæn31
				啖		tam31
				淡		tʰam23
				蛋		tæn31
				誕		tæn33
				窞		tʰɐm23
				髧	下垂	tɐm33
				髧		
				噉		kom35
				彈	子彈	tæn21
				彈	彈琴	tæn31
				當	當時	tɔŋ53
				當	當作	tɔŋ33
				鐺	擬聲詞,金屬撞擊的聲音	tɕʰaŋ53
				擋		tɔŋ35
				檔	檔口	tɔŋ33
				檔	檔位	tɔŋ35
				黨		tɔŋ35
				氹		tʰɐm23
				凼		tʰɐm23
				趤		tɔŋ21
				蕩		tɔŋ31
				盪		tɔŋ31
				盪		lɔŋ35
				刀		tɔu53
				島		tɔu35
				搗		tɔu35
				導		tɔu31
				擣		tɔu35
				蹈		mɐu53
				到	到達	tɔu33
				倒		tɔu35
				倒		tɔu33
				悼		tɔu31
				道		tɔu31
				盜		tɔu31
				稻		tɔu31
				得		tɐk55
				德		tɐk55
				地		ti31
				的		tɪk55
				扽		tɐn33
				登		tɐŋ53
				燈		tɐŋ53
				等		tɐŋ35
				凳		tɐŋ33
				鄧	姓氏	tɐŋ31
				低		tɐi53
				堤		tʰɐi21
				滴		tit55
				滴		tɪk55
				狄		tɪk21
				迪		tɪk21
				荻		tɪk21
				笛		tɪk21
				滌		tɪk21
				敵		tɪk21
				邸		tɐi35
				抵		tɐi35
				底		tɐi35
				詆		tɐi35
				弟		tɐi31
				帝		tɐi33
				娣		tʰɐi23
				第		tɐi31
				睇		tʰɐi35
				遞		tɐi31
				締		tɐi33
				嗲		tiɐ35
				掂		tim31
				顛		tin53
				顚		tin53
				巔		tin53
				巓		tin53
				癲		tin53
				典		tim35
				典	又讀	tin35
				碘		tim35
				碘		tin35
				點		tim35
				店		tim33
				玷		tim33
				扂		tim31
				奠		tin31
				電		tin31
				墊	墊底	tim31
				刁		tiu53
				叼		tiu53
				凋		tiu53
				貂		tiu53
				雕		tiu53
				鵰		tiu53
				扚		tɪk55
				屌		tiu35
				弔		tiu33
				吊		tiu33
				吊		tiɐu33
				掉		tiu31
				掉	丟棄	tiɐu21
				釣		tiu33
				調	音調	tʰiu21
				調	調動	tiu31
				爹		tiɐ53
				跌		tit33
				喋		tip21
				碟		tip21
				蝶		tip21
				疊		tip21
				哋		ti31
				丁		tɪŋ53
				叮		tɪŋ53
				釘	鐵釘	tɪŋ53
				頂		tɪŋ35
				鼎		tɪŋ35
				定		tɪŋ31
				訂	訂約,預訂	tɪŋ31
				啶		tɪŋ31
				椗		tɪŋ33
				丟		tiu53
				冬		tʊŋ53
				東		tʊŋ53
				董		tʊŋ35
				懂		tʊŋ35
				㢥		tʊŋ31
				洞		tʊŋ31
				凍		tʊŋ33
				動		tʊŋ31
				棟		tʊŋ31
				都		tu53
				兜	炒菜時一動作	tɐu53
				兜		tɐu53
				㨮		tɐu53
				蔸		tɐu53
				篼		tɐu53
				抖		tɐu35
				陡		tɐu35
				蚪		tɐu35
				斗		tɐu35
				豆		tɐu31
				荳		tɐu31
				逗	逗號，逗留	tɐu31
				鬥		tɐu33
				痘		tɐu31
				竇		tɐu33
				㞘		tʊk55
				督		tʊk55
				嘟		tu53
				毒		tʊk21
				𧰵		tʊk55
				獨		tʊk21
				匵		tʊk21
				瀆		tʊk21
				櫝		tʊk21
				犢		tʊk21
				牘		tʊk21
				讀		tʊk21
				堵		tu35
				睹		tu35
				賭		tu35
				篤		tʊk55
				杜		tu31
				肚		tʰu23
				度	度量,度外	tu31
				度	量度,度長絜大	tɔk21
				渡		tu31
				鍍		tu31
				端		tun53
				短		tun35
				段		tun31
				緞		tun31
				斷		tʰun23
				斷	決斷	tun33
				堆		tɵy53
				㨃		ty35
				㨃	～冧	tɵy35
				兌		tɵy33
				隊		tɵy31
				對		tɵy33
				躉		tɐn35
				沌		tɐn31
				盾		tɐn31
				鈍		tɐn31
				多		tɔ53
				𥄫		kɐp21
				咄		tɐt55
				奪		tut21
				踱		tɔk21
				朵		tɔ35
				朵		tœ35
				朶		tɔ35
				朶		tœ35
				垛		tɔ31
				躲		tɔ35
				躱		tɔ35
				剁		tɔk33
				惰		tɔ21
				墮		tɔ31
				屙		ʔɔ53
				俄		ŋɔ21
				峨		ŋɔ21
				娥		ŋɔ21
				蛾		ŋɔ21
				鵝		ŋɔ21
				鵞		ŋɔ21
				額		ŋak21
				堊		ʔɔk33
				惡	善惡	ʔɔk33
				惡		wu33
				鈪		ŋak21
				𧦠		ŋɐk55
				𧦠		ŋak55
				愕		ŋɔk21
				餓		ŋɔ31
				噩		ŋɔk21
				餩		ŋɪk55
				餩		ŋɐk55
				餩		ŋɐt55
				諤		ŋɔk21
				齶		ŋɔk21
				奀		ŋɐn53
				恩		ʔɐn53
				而		ȵi21
				兒		ȵi53
				耳		ȵi23
				餌		ȵi23
				二		ȵi31
				貳	“二”的大寫.	ȵi31
				發		fæt33
				廢		fɐi33
				乏		fæt21
				伐		fæt21
				筏		fæt21
				閥		fæt21
				罰		fæt21
				法		fæt33
				琺		fæt33
				髮		fæt33
				帆	帆船,帆布	fæn21
				番	幾番	fæn53
				噃		pɔ33
				幡		fæn53
				翻		fæn53
				翻		fæn53
				凡		fæn21
				矾		fæn21
				釩		fæn21
				煩		fæn21
				樊		fæn21
				繁		fæn21
				礬		fæn21
				反		fæn35
				返		fæn53
				犯		fæn23
				范	草也.又姓	fæn31
				販		fæn33
				飯		fæn31
				範	法也,式也,模也.又姓	fæn23
				方		fɔŋ53
				坊		fɔŋ53
				芳		fɔŋ53
				防		fɔŋ21
				肪		fɔŋ53
				仿	仿效	fɔŋ35
				倣		fɔŋ35
				紡		fɔŋ35
				訪		fɔŋ35
				放		fɔŋ33
				妃		fi53
				非		fi53
				飛		fi53
				菲		fi53
				菲		fi35
				啡		fiɐ53
				扉		fi53
				霏		fi53
				肥		fi21
				胐		fɐt55
				胐		
				匪		fi35
				斐		fi35
				翡		fi35
				吠		fɐi31
				肺		fi33
				疿		fɐi35
				疿		fi31
				費		fɐi33
				費		fi33
				痱		fɐi35
				痱		fɐi31
				分	分開	fɐn53
				分	成分，本分	fɐn31
				芬		fɐn53
				氛		fɐn53
				紛		fɐn53
				焚		fɐn21
				粉		fɐn35
				份		fɐn31
				忿		fɐn31
				忿		fɐn23
				墳		fɐn21
				憤		fɐn23
				奮		fɐn23
				糞		fɐn33
				丰		fʊŋ53
				封		fʊŋ53
				風		fʊŋ53
				峯		fʊŋ53
				峰		fʊŋ53
				烽		fʊŋ53
				楓		fʊŋ53
				蜂		fʊŋ53
				瘋		fʊŋ53
				鋒		fʊŋ53
				豐		fʊŋ53
				捀		pʊŋ31
				逢		fʊŋ21
				馮		fʊŋ21
				漨		pʰʊŋ21
				縫	裁縫	fʊŋ21
				縫	裂縫	fʊŋ31
				諷		fʊŋ35
				奉		fʊŋ31
				鳳		fʊŋ31
				缶		fɐu35
				否		fɐu35
				否		pʰi35
				夫	大夫，夫人	fu53
				夫	古代指示詞、代詞、助詞	fu21
				沕	沕水：潛水	mi33
				孵		fu53
				麩		fu53
				敷		fu53
				膚		fu53
				弗		fɐt55
				伏		fʊk21
				伏	<白>	pʊk21
				扶		fu21
				芙		fu21
				佛	佛教	fɐt21
				佛		fɐt55
				拂	掠過拍打	pʰɐt55
				苻		fu21
				彿	彷彿	fɐt55
				服		fʊk21
				俘		fu53
				浮		fɐu21
				符		fu21
				袱		fʊk21
				幅		fʊk55
				颫		fu21
				颫		fu35
				福		fʊk55
				蝠		fʊk55
				輻		fʊk55
				甫		pʰu35
				斧		fu35
				府		fu35
				俯		fu35
				釜		fu35
				腑		fu35
				輔		pʰu23
				腐		fu31
				撫		fu35
				父		fu31
				附		fu31
				阜		fɐu31
				赴		mu31
				負		fu31
				副		fu33
				婦		fu23
				婦	新婦	pʰu23
				富		fu33
				腹		fʊk55
				駙		fu31
				賦		fu33
				縛		pɔk33
				𥨍		pʊk55
				覆		fʊk55
				覆	翻過來扣	pʰʊk55
				呷	吸而飮曰呷	hap33
				嘎		ka31
				尬		kai33
				該		kɔi53
				改		kɔi35
				鎅	鋸板	kai33
				丐		kʰɔi33
				鈣		kʰɔi33
				溉		kʰɔi33
				蓋		kɔi33
				概		kʰɔi33
				漑		kʰɔi33
				槪		kʰɔi33
				甘		kom53
				肝		kɔn53
				苷		kom53
				泔		kap33
				柑		kom53
				竿	竹竿	kɔn53
				疳		kom53
				桿		kɔn35
				敢		kom35
				稈		kɔn35
				感		kom35
				趕		kɔn35
				橄		kom35
				擀		kɔn35
				干	干擾,干涉	kɔn53
				紺		kom33
				幹		kɔn33
				榦		kɔn33
				肛		kɔŋ53
				岡		kɔŋ53
				缸		kɔŋ53
				罡		kɔŋ53
				剛		kɔŋ53
				崗		kɔŋ53
				綱		kɔŋ53
				鋼		kɔŋ33
				港		kɔŋ35
				杠		kɔŋ33
				高		kɔu53
				羔		kɔu53
				皐		kɔu53
				睾		kɔu53
				膏		kɔu53
				篙		kɔu53
				糕		kɔu53
				搞		kau35
				槁		kɔu35
				稿		kɔu35
				縞		kɔu35
				告		kɔu33
				哥		kɔ53
				胳	～肋	kɐk21
				割		kɔt33
				歌		kɔ53
				擱		kɔk33
				鴿		kop33
				佮	相合,聚合,通力合作	kop33
				挌		kak33
				革		kak33
				格		kak33
				葛		kʷɐt33
				隔		kak33
				閣		kɔk33
				膈		kak33
				嗰		kɔ33
				各		kɔk33
				個		kɔ33
				硌	觸著凸起的東西覺得不舒服：鞋～腳	kɐk21
				硌	卡住	kʰɐk55
				箇		kɔ33
				給		kʰɐp55
				根		kɐn53
				跟		kɐn53
				庚		kaŋ53
				耕		kaŋ53
				緪		kɐŋ53
				羹		kaŋ53
				埂		kɐŋ35
				哽		kʰɐŋ23
				梗		kaŋ35
				骾		kʰɐŋ23
				鯁		kʰɐŋ23
				更	更換，變更，更新	kaŋ53
				更	三更半夜	kaŋ53
				更	更加	kɐŋ33
				工		kʊŋ53
				弓		kʊŋ53
				公		kʊŋ53
				功		kʊŋ53
				攻	攻擊	kʊŋ53
				供	提供	kʊŋ53
				供	供奉	kʊŋ33
				恭		kʊŋ53
				蚣		kʊŋ53
				躬		kʊŋ53
				宮		kʊŋ53
				拱	拱手	kʊŋ35
				鞏		kʊŋ35
				共		kʊŋ31
				貢		kʊŋ33
				㔶		kʰɐm35
				勾		ŋɐu53
				鉤		ŋɐu53
				溝		kɐu53
				苟		kɐu35
				狗		kɐu35
				枸	枸杞	kɐu35
				夠		kɐu33
				搆		kɐu33
				構		kɐu33
				購		kɐu33
				估	文讀	ku53
				估	白讀	ku35
				孤		ku53
				姑		ku53
				菰		ku53
				菇		ku53
				辜		ku53
				箍		kʰu53
				鴣		ku53
				轂		kʊk55
				古		ku35
				谷		kʊk55
				股		ku35
				骨		kʷɐt55
				牯		ku35
				鼓		ku35
				穀		kʊk55
				䀇		ku35
				盬		ku35
				蠱		ku35
				固		ku33
				故		ku33
				雇		ku33
				僱		ku33
				錮		ku33
				鯝		ku33
				顧		ku33
				瓜		kʷa53
				刮		kʷæt33
				歄		kʷa53
				剮		kʷa35
				寡		kʷa35
				卦		kʷa33
				掛		kʷa33
				啩		kʷa33
				褂		kʷa33
				乖		kʷai53
				拐		kʷai35
				枴		kʷai35
				柺		kʷai35
				𧊅		kʷɐi35
				怪		kʷai33
				官		kun53
				冠	衣冠	kun53
				冠	冠軍	kun33
				棺		kun53
				瘝		kʷæn53
				關		kʷæn53
				觀	觀看	kun53
				觀	寺觀	kun33
				管		kun35
				館		kun35
				貫		kun33
				慣		kʷæn33
				灌		kun33
				瓘		kun33
				罐		kun33
				鸛		kun33
				光		kʷɔŋ53
				光		kʷɐŋ53
				咣		kɔŋ53
				洸		kɔŋ53
				桄		kɔŋ53
				胱		kɔŋ53
				廣	廣闊,推廣,大庭廣眾	kɔŋ35
				規		kʰʷɐi53
				瑰		kʷɐi33
				龜		kʷɐi53
				歸		kʷɐi53
				軌		kʷɐi35
				鬼		kʷɐi35
				癸		kʰʷɐi31
				詭		kʷɐi35
				攰		kɵy31
				桂		kʷɐi33
				貴		kʷɐi33
				跪		kʷɐi31
				櫃		kʷɐi31
				袞		kʷɐn35
				滾		kʷɐn35
				棍		kʷɐn33
				郭		kɔk33
				國		kɔk33
				摑		kʷæt33
				果		kɔ35
				裹		kɔ35
				過		kɔ33
				哈		ha53
				蛤		kop33
				咳		kʰɐt55
				孩		hɔi21
				還	還原	wæn21
				海		hɔi35
				亥		hɔi23
				害		hɔi31
				鼾		hɔn21
				邯		niɐp33
				含		hom21
				咁		kom33
				咁		kom23
				寒		hɔn21
				喊		ham33
				喊		ham35
				汗		hɔn31
				旱		hɔn23
				焊		hɔn31
				漢		hɔn33
				撼		hom31
				憾		hom31
				杭		hɔŋ21
				航		hɔŋ21
				蚝		hɔu31
				毫		hɔu21
				豪		hɔu21
				蠔		hɔu21
				好		hɔu35
				好		hɔu33
				昊		hɔu31
				耗		hɔu33
				浩		hɔu31
				皓		hɔu31
				號		hɔu21
				號		hɔu31
				抲		kʰa53
				喝		hɔt33
				禾		wɔ21
				禾		wɔ21
				合	容量單位,十合一升	hop21
				何		hɔ21
				和		wɔ21
				和		wɔ31
				河		hɔ21
				盍		hop21
				荷		hɔ21
				荷		hɔ31
				核		hɐt21
				核	果子核	wɐt21
				𣝗		wɐt21
				盒		hop21
				餲		ŋæt33
				闔		hop21
				覈	審核	hɐt21
				龢		wɔ21
				賀		hɔ31
				鶴		hɔk33
				黑		hɐk55
				痕		hɐn21
				很		hɐn35
				恨		hɐn21
				恨		
				亨		hɐŋ53
				亨	又讀	haŋ53
				恆		hɐŋ21
				橫	橫直	waŋ21
				衡		hɐŋ21
				烘		hʊŋ53
				轟		kʷɐŋ53
				泓		waŋ53
				虹		hʊŋ21
				洪		hʊŋ21
				紅		hʊŋ21
				紅		hʊŋ21
				耾		wɐŋ53
				鴻		hʊŋ21
				侯		hɐu21
				喉		hɐu21
				猴		hɐu21
				后		hɐu31
				厚		hɐu23
				逅		hɐu31
				後		hɐu31
				候		hɐu31
				候		hɐu21
				乎		fu21
				呼		fu53
				忽		fɐt55
				狐		wu21
				弧		wu21
				胡		wu21
				壺		wu21
				猢		wu21
				湖		wu21
				瑚		wu21
				煳		wu21
				蝴		wu21
				糊		wu21
				鬍		wu21
				虎		fu35
				許		hy35
				琥		fu35
				互		wu31
				戶		wu23
				戽		fu33
				護		wu31
				花		fa53
				華	中華	wa21
				猾		wæt21
				滑		wæt21
				化		fa33
				畫	名詞	wa35
				畫	動詞	wak21
				話		wa31
				話		wa31
				劃		wak21
				徊		wɵy21
				淮		wai21
				槐		wai21
				懷		wai21
				壞		wai31
				歡		fun53
				寰		wæn21
				環		wæn21
				鬟		wæn21
				緩		wun23
				幻		wæn31
				患		wæn31
				換		wun31
				瘓		wun31
				鯇		wæn23
				荒		fɔŋ53
				皇		wɔŋ21
				凰		wɔŋ21
				黃		wɔŋ21
				徨		wɔŋ21
				惶		wɔŋ21
				煌		wɔŋ21
				潢		wɔŋ21
				蝗		wɔŋ31
				簧		wɔŋ21
				恍		kɔŋ53
				灰		fɵy53
				恢		fɵy53
				揮		fɐi53
				暉		fɐi53
				輝		fɐi53
				徽		fɐi53
				回		wɵy21
				茴		wɵy21
				迴		wɵy21
				洄		wɵy21
				悔		fɵy35
				毀		wɐi35
				晦	晦氣,隱晦	fɵy33
