#ɿ
ts[33]姿咨
p[31]佛蒲菩脯葡脯符[43]蔔卜[35]簿傅[24]怖部步埠孵腐-
pʰ[51]铺[31]朴[43]谱圃普浦捕甫辅[33]舖仆瀑
m[51]模{~子}[31]毛矛牧睦[35]母拇[24]帽貌暮慕墓募幕
f[51]夫肤麸[31]蝴俘扶芙驸復[43]虎浒府腑俯斧抚釜腐=苦-火夥伙[33]呼戽乎沪护-付赋附父附富副妇负裤[24]幅腹辐
θ[51]骚-苏酥[33]扫素漱
ɗ[51]刀都{首~}[43]岛倒{~塌}捣导堵赌肚{猪~}[33]到倒{~水}都{~是}[24]妒
t[51]糟租[31]桃陶萄徒屠途涂图[43]早枣蚤[35]肚{~子}[33]灶督做[24]淘道杜度渡镀踱
tʰ[51]滔涛-操粗楚[43]讨草土娶-[33]套躁糙燥吐兔醋突
n[31]奴[43]努[35]脑[24]闹怒
l[51]捞[31]劳牢唠痨卢炉芦鸬庐[43]鲁橹虏卤[35]老搂[24]涝露路赂鹭
ts[31]族=足=触[43]祖组阻[24]助
tsʰ[51]初[43]础
s[51]梳疏枢[31]速宿{~舍}锄续[43]数{~钱}[33]诉塑蔬数{~目}
k[51]高篙糕姑鸪-锅[31]过=[43]稿古盬股鼓果裹餜[33]告孤鸪=辜估故固雇顾过=
kʰ[51]科箍枯[43]苦=[33]课库窟=
x[51]蒿[43]好郝[33]互忽货
ŋ[51]熬{~肉} [31]熬{~夜}[24]我 
∅[51]凹窝涡[31]毫和{~气}禾吴梧胡湖狐壶葫鬍敷无巫物勿[43]袄侮[35]武祸[33]乌污坞诬鹉莴蜗[24]耗号误悟户护=恶{可~}务雾戊握

#y
p[54]钵
pʰ[54]泼
f[54]阔
θ[51]鬚[33]嗉絮[24]鹚聚[54]戌恤薛雪
t[43]□{指（~着）}[54]□{啄}
tʰ[51]蛆□{撮}[43]取[54]脱
l[31]驴律[43]缕[35]吕旅履[24]虑滤
tɕ[51]猪诸诛株朱殊珠[43]煮主[33]註注蛀铸[24]著苎拄柱=
tɕʰ[43]处{相~}娶=[33]处{到~}趣
ɕ[51]书输须[31]薯殊术述除厨橱徐[43]暑鼠署蜀嘘[35]竖柱-序叙绪[33]需[24]舒庶恕戍树箸驻住
ȵ[31]鱼渔[35]女
k[51]居-车{~马炮}拘驹[31]橘菊鞠局渠瞿-屈麯麴曲{歌~}[43]举矩[35]打[33]居=锯拒俱句剧[24]据巨距具惧
kʰ[51]区曲{~折}[33]驱[54]诀缺
x[51]墟虚圩[43]许[33]去[54]血
∅[31]如儒於余馀愚娱寓于孟禹榆愉域[43]乳-语与雨宇羽[33]淤迂[24]乳=御禦誉预豫遇芋愈喻裕育=玉狱浴欲

#a
ɓ[51]巴疤笆爸[43]把[33]芭霸坝
p[31]爬琶杷耙拔[35]罢
pʰ[33]怕
m[31]麻痲码[35]马蚂[33]蟆妈[24]骂墨默
f[51]花桦[33]化划画劃
θ[24]贼[54]塞
t[54]卒
n[43]□{母（两子~）}
l[24]勒栗{板~}
ts[51]楂渣[31]茬[33]诈榨乍炸
tsʰ[51]叉差{~别}[33]杈岔
s[51]沙纱砂杉莎[31]茶搽查擦察[43]傻
k[51]家加嘉傢佳[43]假贾[33]架驾嫁稼价[24]尬
kʰ[43]卡[54]刻克
x[51]虾瘕[31]丫[33]哈[54]黑
ŋ[31]牙芽砑[35]瓦
∅[43]鸦哑[33]阿

#ia
p[51]百柏[24]白帛
pʰ[51]拍迫魄
m[43]□{蜢}[24]麦脉猫
l[35]冷
tɕʰ[31]拆测策册鹊
k[51]阁格革隔[24]□{稠（粥~）}[54]脚
x[51]客嚇吓[31]霞侠辖洽[24]勺
ŋ[51]轭[24]额硬
∅[51]眨[31]衙[43]雅[35]夏厦[33]下[24]亚药

#ua
k[51]瓜[43]寡剐[33]挂卦
kʰ[51]夸跨[43]垮跨
∅[31]华[24]话

#ə
tʰ[31]特
ts[31]宅则泽择
ŋ[31]扼

#ɛ
ɓ[51]八[24]□{佛}[54]北笔
m[51]抹[31]□{蝇}[43]哪[24]密蜜
f[51]法乏髮发伐筏[35]□{肛门}[24]罚阀袜
tθ[24]杂
θ[51]洒撒萨楔圾
ɗ[31]答搭[24]达[54]沓得德
t[43]攒[33]责[24]跌
tʰ[51]踏塔塌溻遢獭秃[54]七漆
n[24]纳捺
l[24]腊蜡鑞邋辣肋垃
tsʰ[54]出
s[51]杀煞[24]煠十拾虱实识[54]湿
tɕ[51]扎札紥轧[24]闸
tɕʰ[51]插
k[51]夹裌甲钾胛匣挟[35]急{旧读}[24]茄
kʰ[51]掐
x[51]瞎[54]喫
ŋ[33]□{用力摁住}
∅[51]鸭押压[24]狭

#iɛ
ɓ[51]别[33]伯
m[33]□{背}□{糜（米饭软熟）}[24]面灭命
θ[51]些[31]邪昨[43]写[33]泻[24]席-谢
t[33]借爹[24]笛叠碟蝶谍
tʰ[33]侧
n[43]饮[33]研
l[51]列烈[24]立栗{~木}力曆猎裂劣
ts[24]铡栅[54]摘
tɕ[51]遮浙=[43]者[33]蔗鹧[24]值
tɕʰ[51]车{单~}彻[43]扯且
ɕ[51]奢赊摄[31]蛇斜携[43]捨[33]麝赦佘社[24]射舍涉蛰涩舌设折{~本}悉卸懈解{姓~}协泄侄失室直食石
ȵ[51]镊[31]人仁鲇年寅[43]惹碾撚撵蹑捏[35]忍[24]奶认验念聂业孽入日
∅[51]爷[43]也[35]野[33]椰[24]夜叶页[54]揖一益

#uɛ
k[51]括[54]骨
∅[51]刮挖[24]核滑猾

#ɔ
pʰ[33]胮
m[31]谋[43]□{朽}某[35]没[24]茂贸木目[54]□{扎（刺）}
f[24]服伏[54]復福複覆复
θ[51]修羞[33]秀绣锈[24]就袖俗属[54]肃塾粟束缩
t[51]兜邹蔸[31]头投[43]斗抖陡酒[35]足-[33]鬥逗窦[24]稻盗悼豆痘独读毒[54]□{~血（淤血）}
tʰ[51]涛=秋鞦鳅偷[43]敨[33]掏逃透凑
n[51]恼[35]那[33]□{个}
l[31]流刘留榴硫琉楼[35]柳[24]烙六漏陋鹿禄陆陸录绿
ts[51]周舟州洲[33]昼宙绉咒[54]轴粥族-竹逐祝烛
tsʰ[51]抽[43]丑醜[33]臭[54]促筑畜
s[51]艘搜馊收[31]绸稠筹愁仇{报~}酬[43]手首守[35]叔{面称爸爸}[33]骚=梢稍瘦[24]受寿授售熟赎[54]叔{叔叔}
k[51]鸠阉勾钩沟[43]狗苟苟[33]够构购箇[24]酷[54]穀
kʰ[51]抠[33]靠柚-叩扣寇
x[31]豪[43]口[33]浩[54]哭
ŋ[51]欧[31]牛[43]殴[24]奥藕
∅[51]吼鸥[31]侯喉猴[43]偶[35]厚[33]沤怄[24]後后候[54]屋

#iɔ
m[35]藐
l[31]辽
t[43]剿
n[33]皱[24]育-
k[31]囚泅求球仇{姓~}[43]九久灸[35]舅[33]救究[24]旧
kʰ[51]丘
x[51]休[31]淆
∅[51]优忧悠幽[31]遥尤鱿邮由油游犹柔揉[43]扰绕[35]有友酉[24]又右祐诱釉幼[54]约

#o
ɓ[51]包胞苞[31]袍婆博=[43]饱[33]暴豹爆曝
p[24]刨
pʰ[51]抛脬[43]跑[33]炮泡雹[54]扑
m[31]茅模{劳~}末沫[43]膜寞漠[35]卯亩牡[33]冒
∅[31]曹槽[43]嫂[54]宿{星~}
t[43]走
l[31]骆洛络略[43]裸[33]篓
ts[31]着{穿~}酌琢[43]爪找[33]造罩櫂兆
tsʰ[51]抄钞超[43]炒吵
s[31]硕[33]潲
k[51]膏交郊胶垢[43]搞[33]蛤鸽教窖觉{睡~}臼
kʰ[51]敲廓扩霍藿确[43]考烤拷[33]苛
x[31]穫或惑获[33]校较酵孝效
ŋ[51]□{弯}[35]咬[33]傲坳

#io
ɓ[51]拨勃剥驳[31]膊
p[24]拔薄{厚~}
m[35]□{网}[24]莫□{忘}□{望}
θ[51]索朔削[24]凿
t[51]着{走一~}铎作柞卓[43]□{交合}[33]□{垂}[24]□{一~（摞）书}
tʰ[51]□{铁~（铁锹）}
l[51]拉[24]乐{快~}落乐{快~}落
tɕ[51]桌捉爵
tɕʰ[51]撮戳[31]雀
ȵ[51]黏[31]虐[24]□{裆}肉弱䚥[35]□{鸡~（鸡爪）}
k[51]葛各角郭国[43]饺
kʰ[31]却觉{~得}[43]恰
x[51]壳
∅[51]恶{善~}[31]辱跃乐{音~}[24]鹞嶽岳学

#ø
ɓ[43]跛[33]波菠簸播{广~}玻
pʰ[51]坡[33]破剖
m[51]摸[31]魔磨{~刀}摩[24]磨{石~}
θ[51]腮鳃梭[31]才材财裁[43]蓑锁琐所[35]坐[24]座绝
ɗ[51]多[43]朵躲[35]舵[33]剁
t[31]台薹苔拾[33]再左佐[24]贷待怠代袋堕垜惰
tʰ[51]胎拖驼驮搓託托[43]彩采-妥椭[33]菜蔡挫锉措错
n[33]挪[24]耐糯懦
l[51]箩[31]来罗锣骡螺脶[24]萝捋
ts[33]在
tɕ[51]蛛
ɕ[51]喝[24]刷
ȵ[33]软阮[24]愿月
k[51]歌割[31]决[33]盖哥戈
kʰ[51]棵[43]可坷
x[51]开渴靴[43]海蟹
ŋ[31]蛾鹅俄[24]艾饿卧
∅[31]河何荷{~花}[35]亥[24]碍害骇荷{薄~}贺
j[31]阅越粤

#ai
ɓ[24]鐾
p[33]□{娘（后~）}
pʰ[51]批
m[51]掰[33]米
θ[51]西[31]齐脐犀[43]洗[33]细婿
ɗ[43]低底抵[33]帝蒂[24]大
t[31]题提蹄啼弟第[33]济{数~}
tʰ[51]梯锑妻[31]凄-[43]体[33]替剃
n[31]泥[43]□{小}[24]腻
l[31]犁黎
k[51]鸡[33]继髻
∅[35]还{~是}

#uai
s[33]率
k[51]龟归[31]魁主奎逵葵[43]诡跪轨癸鬼[33]闺桂规贵[24]柜
kʰ[51]盔溃殨亏窥
∅[51]威[31]栀危为{行~}维惟唯微围违苇[43]萎委伟[33]餵[24]卫彗伪为{~了}位未魏畏慰纬胃谓猬

#ɐi
ɓ[51]𨃅[43]摆[33]拜
p[31]排牌簰[24]稗败
pʰ[33]派
m[31]埋[43]歪[24]卖迈[33]快
ɗ[33]獃戴带
t[43]崽[33]太泰
tʰ[33]态
n[31]尼呢[24]奈
l[33]赖癞[24]攋
ts[51]灾斋差{出~}[43]宰载{年~}采=[33]载{~重}债
tsʰ[51]猜
s[51]筛[31]豺柴[33]赛晒[24]寨
k[51]阶街[43]改楷解{~放}[33]该丐皆介界芥疥届戒械
kʰ[43]凯概[33]概
ŋ[31]挨捱[33]爱
x[31]□{女阴}
∅[31]鞋[43]矮[33]哀=

#uɐi
s[33]衰帅{~气}
k[43]拐𧊅[33]乖怪
kʰ[33]块会{~计}桧筷刽
∅[31]怀槐淮[24]坏

#oi
ɓ[51]杯碑[33]贝辈卑悲
p[31]培陪赔[24]倍背痱
pʰ[33]沛配裴佩
m[31]梅枚玫媒煤晦莓霉[35]每美[33]揹[24]妹味媚寐
f[51]灰[43]匪翡[33]妃
n[24]内
tsʰ[51]催崔吹炊[24]粹

#uoi
θ[35]罪[33]帅{元~}碎岁
ɗ[51]堆[33]对碓队兑
t[43]嘴[33]最醉[24]□{们}
tʰ[51]推[43]腿[33]退淬蜕脆翠
n[31]□{软（柿子~）}
l[31]雷蕾擂{~鼓}[43]儡累{积~}垒[24]累{劳~}擂{打~台}类泪
ts[51]追锥[33]缀赘坠
s[51]荽[31]随垂绥槌锤谁[43]髓水[33]税瑞虽遂[24]睡隧
kʰ[43]傀[24]愧
x[43]悔嗨毁
∅[51]煨涴[31]回茴[24]合盒外汇会{开~}绘惠慧穗讳彙和{~面}活

#iu
ɓ[51]腰标彪[43]表錶
p[31]瓢嫖[24]薄{~荷}
pʰ[51]飘[33]漂票
m[31]□{忙}□{芒（~种）}苗描[43]渺[33]秒[24]庙妙谬
θ[51]瞧消宵霄硝销逍萧箫[43]小[33]笑鞘
ɗ[33]钓吊[51]叨焦蕉椒刁貂雕掉丢[31]条调{~节}[43]屌鸟[24]调{声~}
tʰ[51]锹缲挑[33]跳粜
l[31]燎疗聊撩僚嘹鹩瞭镣獠[43]了[33]溜馏[24]料廖
tɕ[51]遭朝{~阳}召昭招[33]赵照
ɕ[51]烧[31]嘲巢朝{~代}潮肇韶[43]少{多~}[33]少{年~}邵[24]绍
ȵ[43]纽扭钮[24]尿
k[51]骄娇[31]乔侨桥荞[43]绞铰搅缴[33]叫纠[24]樵轿
kʰ[43]狡巧窍[33]俏蹻翘
x[51]嚣[43]晓
ŋ[31]摇
∅[51]靿邀腰要{~求}[31]谣窑姚尧[35]舀[33]妖要{想~}耀

#an
ɓ[51]班斑颁般[43]扳板版[24]拌
p[24]扮办饭
pʰ[51]攀[33]盼
m[31]蛮馒蠓[24]慢漫慢蔓曼
f[51]帆番[31]凡烦繁矾藩翻[43]反返[35]范範犯[33]贩[24]泛
tθ[33]鏨
θ[51]三[31]蚕痰惭残[43]省{~份}[33]伞散
ɗ[51]耽担{承~}丹单{~独}[31]潭谭罎掸疸[43]胆[33]担{~子}[24]旦
t[51]簪[31]谈檀坛弹{~琴}[24]淡诞但弹{子~}蛋
tʰ[51]贪滩摊瘫餐[43]毯坦[33]探炭叹灿
n[31]男南难{困~}[43]蚓[24]难{患~}
l[51]篮[31]蓝兰拦栏[43]览揽榄[35]懒[24]滥缆烂
ts[43]斩盏[35]沾渐[33]蘸瞻占佔赞[24]暂站栈
tsʰ[43]惨产[33]搀
s[51]衫山[31]馋缠橙[43]陕闪
tɕ[51]拣
tɕʰ[43]铲
k[51]间{中~}奸姦[43]感敢橄尴杆悍赶耿减[33]干=竿幹更{~加}监鉴
kʰ[33]堪勘
x[51]□{把（一~青菜）}[33]憨[24]汉=
ŋ[31]癌岩[35]眼[33]揞暗按雁
∅[31]含函韩咸鹹衔闲苋[35]限[24]撼憾陷[33]晏

#uan
ɗ[33]端
l[31]鸾
k[51]观冠缓关[33]贯惯
∅[51]弯湾[31]桓完还{~钱}环[43]皖豌腕顽挽宛婉[24]万

#iən
∅[51]音阴荫因殷英{用于人名}[31]仍[33]任应{~该}[24]壬应{响~}

#uən
k[51]钧[31]群裙[43]滚磙[35]菌[33]棍
kʰ[51]昆崑坤荤均[43]捆[33]困睏
x[24]混
∅[51]温瘟君[31]魂馄浑文纹闻云耘[43]稳吻[24]润闰运

#ɛn
ɓ[51]鞭编边宾殡鬓槟冰兵[43]丙秉柄饼[33]变
p[31]便{~宜}贫频凭平坪评苹瓶屏萍[35]辫[33]汴[24]辨辩便{方~}病
pʰ[43]品[33]拚篇偏徧遍片聘拼并並[24]麺骗
m[31]绵棉眠民鸣明名铭冥螟[43]免勉缅闽悯敏抿皿
f[31]兄-
θ[51]仙鲜先星腥猩[31]钱前情[43]省{反~}醒[35]晴静[33]线性姓[24]戏净
ɗ[51]癫丁钉疔[33]颠[24]店
t[51]尖煎晶精睛钻{~研}敦墩礅[31]甜田填亭停廷庭蜓豚[43]剪井顶鼎[33]箭[24]澄电殿奠垫淀靛订锭定饨钝
tʰ[51]籤签纤迁韆天笺千侵亲{~家}清厅汀青蜻[43]舔请艇挺铤[33]听
n[24]□{乳房}
l[51]□{萝卜~（萝卜干）}[31]廉镰帘连联鲢怜莲临邻燐磷陵凌菱绫宁灵零铃伶翎龄[43]敛[35]岭领[33]□{蚜虫}[24]练鍊炼楝恋令另
s[24]善鳝
k[51]兼坚禁{~不住}京惊[31]钳乾[43]碱检俭艰简柬谏锏茧趼笕谨景警颈[35]件[33]舰剑间{~隔}建键健见荆境敬竟镜竞径经
kʰ[51]擒欣卿轩[33]欠谦歉钦杏庆[24]嵌磐
x[51]牵兴轻[31]恒衡[43]险显
∅[43]影映

#iɛn
ɓ[43]贬扁匾编
m[33]□{缺}
ɗ[43]点典
tʰ[51]添[43]浅
tɕ[51]毡贞侦徵正{~月}征[43]诊疹拯整践仅[33]镇阵振震证症郑正{~式}政晋靖[24]儘=
tɕʰ[51]逞潜[31]秦擎[43]遣[33]趁称秤
ɕ[51]搧声[31]乘承丞程成城诚[33]扇甚胜圣盛[24]剩
ȵ[31]严[35]染[33]韧
∅[51]阉烟英{精~}[31]然燃炎盐阎檐俨嫌颜延言贤迎盈赢形型刑莹萤匀芫[43]□{痂}掩演衍引隐尹颖𥀬[33]淹厌焰胭燕姻印鹦樱婴缨[24]艳谚筵宪献砚现宴

#ən
ɓ[43]本[33]粪[24]笨
pʰ[33]喷
m[31]蚊[24]闷问
f[51]分{~开}吩芬纷昏婚[31]焚坟[43]粉[24]愤忿份分{本~}
tθ[51]珍
θ[51]心辛新[31]寻[43]笋榫荀[33]薪信讯
t[51]增津[31]存[43]尽[33]浸遵俊骏
tʰ[51]亲{~人}吞[33]渗
l[31]林淋鳞伦轮[24]论
ts[51]针真[43]展枕准凖[33]战砧
tsʰ[51]参{~加}椿春[43]蠢[33]颤
s[51]珊蝉禅单{姓~}深身申伸升[31]沉陈尘神辰晨臣唇婶{面称母亲}[43]沈审婶{叔母}损[24]肾慎顺舜驯训
k[51]跟根军[43]锦{~绣}
kʰ[43]坎砍恳垦啃肯
x[43]很
ŋ[31]银
∅[51]恩[43]恨[24]痕

#øn
ɓ[33]半[24]绊
p[31]盘盆[35]瓣伴
pʰ[51]潘[33]判叛
m[51]搬[31]瞒门[24]满屘
f[51]欢
θ[51]酸孙[31]全[43]选[33]算蒜宣[24]旋
ɗ[31]团糰[24]段缎
t[33]钻{电~}
n[35]暖[24]嫩
l[24]乱[35]卵
k[51]甘柑肝干-官棺鹃[31]拳权颧[43]秆管馆捲卷[33]灌罐[24]眷券
kʰ[51]圈[43]倾顷款[33]劝
x[33]看
∅[51]庵安鞍[31]寒[35]早[33]岸汉-案[24]汗焊

#iøn
tɕ[51]专砖[33]撰转篆传{~记}
tɕʰ[51]川穿[33]窜篡串
ɕ[51]删闩拴栓纯醇鹑楦熏勋薰[31]传{~说}船泉玄悬旬循巡[24]迅
∅[31]营丸圆员缘元原源袁辕园援猿[43]允[33]冤鸳怨远孕永[24]县院韵

#uøn
θ[43]癣
ɗ[43]短[24]断锻
tʰ[51]村[33]衬寸
tɕ[24]赚
k[51]捐
∅[43]碗[24]唤焕换患

#aŋ
ɓ[51]崩
pʰ[31]膀庞[24]胖
m[31]芒{新读}范盲氓[43]莽蟒
f[43]倣纺仿访
θ[31]层[33]□{耍}
ɗ[51]登灯[43]挡等戥[33]凳
t[51]曾罾筝[31]腾誊藤[33]甑[24]荡邓屯囤盾遁
tʰ[33]□{码头~（台阶）}
n[31]能
l[31]狼=棱[43]朗
ts[51]蒸
s[43]嗓
k[33]□{门~（门栓）}
kʰ[33]康慷抗
x[31]航杭[33]□{笨}

#iaŋ
θ[51]厢湘镶[31]墙箱详祥翔[43]想[35]象像橡[33]相[24]匠
t[51]浆[31]将{~来}[43]蒋奖桨[33]酱将{~领}
tʰ[51]枪羌[43]抢[33]□{竹~（竹扁担）}
l[31]良凉量{测~}粮梁粱[43]两{斤~}辆[33]靓两{~个}[24]亮谅量{数~}
s[51]森参{人~}生牲笙甥
tɕ[51]张章樟争踭[43]长{生~}涨掌[33]脏帐账胀杖仗障
tɕʰ[51]昌菖倡撑铛[43]厂[33]唱牚睁
ɕ[51]伤[31]藏{隐~}长{~短}肠场商常尝偿[43]赏[35]丈上[24]丧尚
ȵ[51]娘{姑~}[31]娘{爹~}[35]仰[24]让酿
k[51]更{打~}庚羹耕薑姜今金襟巾斤筋[31]岑强琴禽勤芹琼[43]埂梗锦{用于人名}紧[35]近[33]降{下~}禁{~止}劲
kʰ[51]疆僵礓缰腔
x[51]香乡馨[43]饷享响幸[33]向
∅[51]央秧鸯疡[31]羊洋杨阳扬降{投~}行{~为}[35]养[24]恙样

#uaŋ
ts[24]藏{宝~}壮状=
s[43]爽=
kʰ[31]逛狂[33]旷匡筐眶框况=矿=
x[43]恍晃幌
∅[31]亡=[24]妄

#uɛŋ
∅[31]横

#iøŋ
m[31]亡-
k[31]冈岗刚纲钢{~铁}缸江
kʰ[33]炕况-矿-
x[51]糠
∅[31]行{银~}[24]巷

#oŋ
ɓ[33]放
p[31]朋鹏彭膨棚蓬篷
pʰ[33]碰
m[31]萌盟蒙[43]猛孟懵[24]梦
f[51]方芳风枫疯丰封峰蜂锋荒慌[31]冯逢缝[43]讽[24]凤奉俸
θ[51]鬆松[31]从[33]送宋诵讼
ɗ[51]东冬[43]董懂[35]动[24]冻栋洞
t[51]棕鬃[31]同铜桐筒童瞳茼[33]粽
tʰ[51]通聪葱囱[43]桶捅统[33]痛
n[31]农脓浓[33]齈
l[31]笼聋胧隆龙咙[43]拢陇垄[33]弄
ts[51]宗忠衷仲终钟锺盅[31]冲[43]总种{~类}肿[33]综中众踪纵种{~树}
tsʰ[51]匆充衝舂[43]宠[33]捶揰
s[31]丛虫崇重{~做}[43]怂[24]重{轻~}
k[51]光胱公=蚣工功攻宫[43]港广汞拱巩[33]贡弓躬恭=供{~应}
kʰ[43]孔恐[33]控
x[51]轰揈空{天~}[43]谎哄[33]空{有~}
∅[51]汪翁[31]虹黄簧皇凰隍蟥王弘宏红洪鸿虹[43]枉往[33]雍瓮[24]旺

#ioŋ
ɓ[51]帮邦[31]旁螃房[43]榜谤绑
f[31]妨防
ɗ[51]当{应~}[43]党[33]当{妥~}档葬
t[31]堂棠唐糖塘
tʰ[51]汤仓[33]倘烫趟
l[31]郎廊狼-榔[24]浪
tɕ[51]庄装妆桩
tɕʰ[51]苍舱疮窗[33]畅敞闯创撞
ɕ[51]桑霜双[31]床[43]爽-[24]状-
ȵ[31]雄[24]□{裆}
k[51]公-龚[31]恭-穷[43]讲[33]钢{~~刀}杠扛供{上~}[24]共
x[51]兄=胸匈凶兇
∅[51]壅痈[31]荣戎绒融茸容蓉溶榕熔熊[43]泳咏拥勇恿蛹[33]臃庸[24]用

#ŋ̍
∅[35]五伍午舞
