"p"	"［1］波菠坡玻奔?{跑：～得过来}□{～～哩：锄草用的锄头}［3］跛{～足}［5］簸"	""	""	""	""	""	""
"pʰ"	"［2］婆［3］颇［5］破［6］薄{～荷}"	""	""	""	""	""	""
"m"	"［1］摩馍［2］魔磨{～刀}□{猪～：母猪}［3］么［5］□{～～哩：失意的样子}［6］磨{石～}"	""	""	""	""	""	""
"t"	"［1］多［3］朵躲［5］剁{～皮哩：做家俱劈下的废料}"	""	""	""	""	""	""
"tʰ"	"［1］拖［2］驮驼鸵砣{秤～}［3］妥橢［5］唾［6］舵惰"	""	""	""	""	""	""
"l"	"［1］啰{～唆}［2］罗锣箩萝螺骡脶［3］裸{露～挱挱哩：赤条条}［5］□{～细：言语诙谐的人}□{油～～：炒的菜浸满了油}［6］糯懦"	""	""	""	""	""	""
"ts"	"［1］□{扎，刺：用针～人}［3］左［5］佐"	""	""	""	""	""	""
"tsʰ"	"［1］搓［5］锉错挫［6］坐座"	""	""	""	""	""	""
"s"	"［1］蓑梭唆［2］□{差，次}［3］锁琐［5］□{～啰：一种游戏，以出手情况论胜负}［6］□{～窗：物体摆得不正}□{卖～眼哩：丢眼色或以目调情}"	""	""	""	""	""	""
"tʃ"	"［1］知之支枝芝肢［3］纸只{～有}旨指止趾脂［5］至致智志誌痣置制"	""	""	""	""	""	""
"tʃʰ"	"［1］痴［2］迟池持驰［3］耻齿［5］翅［6］治痔"	""	""	""	""	""	""
"ʃ"	"［1］施尸诗［2］时鲥□{怂恿}［3］屎矢始匙［5］世试势［6］示视嗜豉{豆～}是市恃侍誓逝氏"	""	""	""	""	""	""
"k"	"［1］哥歌［5］个"	""	""	""	""	""	""
"kʰ"	"［1］苛軻［3］可"	""	""	""	""	""	""
"ŋ"	"［2］娥俄鹅蛾讹［3］我=［5］□{～到走：用脚跟走路}［6］饿卧"	""	""	""	""	""	""
"h"	"［1］呵［2］荷何河［6］贺大{～姑：父之姐。～：母之姐}"	""	""	""	""	""	""
"∅"	"［1］阿{～胶}［2］而儿［3］耳尔汝［6］二贰"	""	""	""	""	""	""
"#uɔ"	""	""	""	""	""	""	""
"ɸ"	"［2］和={～气}［3］火伙［5］货［6］祸"	""	""	""	""	""	""
"k"	"［1］锅戈［3］果裹馃［5］过"	""	""	""	""	""	""
"kʰ"	"［1］科棵颗窠［5］课"	""	""	""	""	""	""
"∅"	"［1］倭［2］禾和{~尚}［3］裹?□{～到：裹好}［5］□{～哩：凹进去可避风之处}［6］和{几样菜～在一起}"	""	""	""	""	""	""
"#ɛ"	""	""	""	""	""	""	""
"p"	"［1］□{～冷：很冷}"	""	""	""	""	""	""
"m"	"［3］□{～泻：装傻}"	""	""	""	""	""	""
"t"	"［1］爹{～～：（面称）父亲}"	""	""	""	""	""	""
"tʰ"	"［2］台{～门：桌子}［3］□{挺：～起个肚来}［6］□{～婆哩：动作迟缓的人}袋"	""	""	""	""	""	""
"l"	"［3］□{踩住：～绳子}"	""	""	""	""	""	""
"ts"	"［1］栽［3］姐崽［5］借"	""	""	""	""	""	""
