	注释：-白读；=文读
m	[1]孭{背}[3]歪
t	[1]爹[3]嗲{撒娇}
ts	[1]遮嗟[3]者姐[5]借蔗这[6]谢榭
tsʰ	[1]车奢[2]斜邪[3]扯且[5]斜
s	[1]些赊[2]蛇佘{姓}[4]社[5]泻卸赦舍[6]射
j	[2]耶椰爷[4]惹野冶嘢{东西；物件}[6]夜
k	[5]嘅{的}
kʰ	[2]骑茄
#ɔ	
p	[1]波菠玻[5]播
pʰ	[1]樖{棵}[2]婆[3]颇[5]破
m	[1]摩魔么[2]磨{～粉}蘑[3]摸[6]磨{～盘}
f	[1]科[3]火伙[5]货课
t	[1]多[3]朵躲[6]惰堕
tʰ	[1]拖[2]驼驮舵[4]妥椭[5]唾
n	[2]挪[4]娜[6]糯懦
l	[1]啰{～唆}[2]罗逻锣骡螺[3]裸
ts	[3]左阻[5]佐[6]助座坐
tsʰ	[1]搓磋初刍[2]锄[3]楚础[4]坐-[5]错挫锉
s	[1]唆梭疏梳蔬[2]傻[3]所锁琐
j	[1]哟{叹词}
k	[1]哥歌[3]嗰{那}[5]个
ŋ	[2]鹅俄娥[4]我[6]卧饿
h	[1]苛呵[2]河何荷[3]可[6]贺
kʷ	[1]戈[4]果裹[5]过
w	[1]窝蜗锅[2]禾和[6]祸
∅	[1]阿{～胶}疴
#œ	
t	[3]朵{又音}
k	[5]锯{又音}
s	[2]垂{滑下去}
h	[1]靴
#ai	
p	[3]摆[5]拜湃[6]败
pʰ	[2]牌排[5]派
m	[2]埋[4]买[6]卖迈
f	[5]快块筷傀
t	[1]呆{书～子}[3]歹[5]带戴
tʰ	[5]太态泰贷
n	[4]乃奶{牛～}
l	[1]拉[5]癞[6]赖
ts	[1]斋[5]债[6]寨
tsʰ	[1]猜钗[2]柴豺[3]踹{蹬}
s	[3]徙[5]晒
j	[3]踹{又音}
k	[1]街佳皆[3]解[5]介界届戒
kʰ	[3]楷
ŋ	[2]挨{～打}[6]艾
h	[1]揩[2]鞋谐[4]蟹[6]械
kʷ	[1]乖[3]拐[5]怪
w	[1]歪[2]怀槐淮[6]坏
∅	[1]唉挨{～凭}[5]嗌{叫}
#ɐi	
p	[1]跛[5]闭[6]敝毙弊币陛
pʰ	[1]批
m	[1]咪{用功}[2]迷谜[4]米
f	[1]徽挥辉[3]痱[5]费废肺[6]吠
t	[1]低[3]底[5]帝[6]弟第隶棣
tʰ	[1]梯[2]题提啼[3]体[5]替剃
n	[2]泥
l	[2]犁黎[4]礼[6]丽俪厉励例荔
ts	[1]挤剂[3]仔[5]祭济制[6]滞
tsʰ	[1]妻凄[2]齐[5]切{一～}砌
s	[1]西犀筛[3]洗[5]细世势[6]誓逝
j	[6]曳拽
k	[1]鸡[5]计继髻
kʰ	[1]溪稽[3]启[5]契
ŋ	[2]危霓巍[4]蚁[6]艺伪毅魏
kʷ	[2]闺归[3]鬼轨[5]贵桂[6]柜跪
kʷʰ	[1]盔规亏[2]葵携[4]愧
w	[1]威[2]围唯遗[3]委毁[4]伟[5]畏喂慰慧{智～}[6]卫位谓惠慧{又音}
∅	[3]矮[5]翳
#ei	
p	[1]悲卑碑[3]比彼[5]秘臂痹[6]备避
pʰ	[1]披[2]皮疲枇[3]鄙[4]被{棉～}婢
m	[2]眉微[4]美尾[6]未味
f	[1]飞非妃[2]肥
t	[6]地
n	[2]尼弥[4]你[6]腻饵
l	[1]喱{咖～}[2]梨离璃篱厘狸[3]里理李履[6]利莉痢吏
s	[3]死[5]四肆
k	[1]基机肌饥讥幾{～乎}[3]幾{～个}己{自～}纪[5]寄记[6]忌技
kʰ	[1]崎[2]棋旗期奇祈[4]企[5]冀骥暨
h	[1]希稀禧欺牺[3]喜起岂[5]气器戏弃
#ɔi	
t	[6]代袋黛待
tʰ	[1]胎[2]台抬[4]怠殆
n	[6]内奈耐
l	[2]来
ts	[1]灾栽[3]宰载{两～}[5]再载{～重}[6]在
tsʰ	[2]才材财裁[3]采彩[5]菜赛蔡
s	[1]腮鳃
k	[1]该[3]改[5]盖
kʰ	[1]慨概丐钙忾
ŋ	[2]呆[6]外碍
h	[1]开[3]海凯[6]害亥
∅	[1]哀[3]蔼霭[5]爱
#ui	
p	[1]杯[5]辈贝背[6]焙
pʰ	[1]胚[2]陪赔培[4]倍[5]配佩
m	[2]梅霉煤媒[4]每[6]妹
f	[1]灰恢魁[5]悔诲
kʰ	[3]溃侩刽
w	[1]煨[2]回茴蛔[6]会汇
#au	
p	[1]包胞[3]饱[5]爆
pʰ	[1]抛[2]刨[3]跑[5]炮泡豹
m	[1]猫[2]矛茅[4]卯牡[6]貌
n	[2]挠捞{打～}[6]闹
ts	[3]爪找[5]罩[6]掉骤
tsʰ	[1]抄钞[2]巢[3]吵炒[5]抄{翻}
s	[1]梢捎[3]稍[5]哨淆
k	[1]交郊胶[3]搅绞[5]教较校{～对}
kʰ	[5]靠
ŋ	[2]熬[4]咬
h	[1]敲烤[3]巧考[5]孝[6]效校{学～}
∅	[3]拗{～断}[5]拗{执～}
#ɐu	
p	[3]剖[5]泡{松软}
m	[1]踎{蹲}[2]谋牟[4]某亩[6]贸谬
f	[2]浮[3]否剖{又音}[6]埠
t	[1]兜[3]斗抖陡[5]鬥{～争}[6]豆逗窦
tʰ	[1]偷[2]头投[3]敨{休息}㪗{休息}[5]透
n	[1]嬲{怒}[3]扭朽
l	[1]褛{大衣}[2]楼流留刘[4]柳篓[6]漏陋
ts	[1]周邹州洲舟[3]走酒[5]昼皱奏揍咒[6]袖宙就纣骤
tsʰ	[1]秋揪抽[2]筹惆囚[3]丑[5]臭凑
s	[1]收修[2]愁仇[3]搜手守首[5]秀绣瘦[6]受授寿
j	[1]休优丘幽[2]由油游柔揉[3]柚[4]友有诱[5]幼[6]又右佑
k	[1]鸠[3]九久狗韭[5]够救究[6]旧
kʰ	[1]抠沟[2]求球[4]舅[5]扣构购
ŋ	[1]勾钩{又音}[2]牛[4]藕偶
h	[1]吼[2]侯猴[3]口[4]厚[6]后候
∅	[1]区{姓}欧讴勾钩[3]呕[5]沤
#iu	
p	[1]标錶{手～}[3]表{～示}
pʰ	[1]飘[2]嫖瓢[4]鳔[5]票
m	[2]苗描[4]秒藐渺[6]妙庙
t	[1]刁丢[5]吊钓[6]调{～动}
tʰ	[1]挑[2]调{～和}[5]跳
n	[4]鸟[6]尿
l	[2]撩聊[4]了[6]料廖
ts	[1]焦招朝{～夕}[3]剿[5]照醮[6]赵召{号～}
tsʰ	[1]超昭钊[2]朝{～廷}潮憔[5]俏肖{～像}
s	[1]消宵萧肖烧[2]韶[3]小少{多～}[5]笑少{老～}[6]绍兆肇
j	[1]腰邀要{～求}[2]饶摇姚[3]妖扰[4]绕[5]要{需～}[6]耀
k	[1]娇骄[3]缴矫[5]叫[6]撬{～起}
kʰ	[2]侨桥翘[4]跷{～起脚}
h	[1]侥嚣[3]晓
#ou	
p	[1]褒煲{锅}[3]保宝补簿[5]布报[6]步暴部
pʰ	[1]铺{～张}[2]袍蒲葡[3]普脯[4]抱泡[5]铺{店～}
m	[2]无毛巫模[4]母武舞[6]冒墓务雾戊
t	[1]刀都[3]岛堵赌倒{～水}[5]到妒倒{～转}[6]道度悼杜稻盗
tʰ	[1]滔[2]徒图桃途陶[3]土讨祷[4]肚[5]吐套兔
n	[2]奴[4]努脑恼瑙[6]怒
l	[1]捞{拌}[2]劳炉牢[4]老鲁卤掳[6]路露赂
ts	[1]租糟遭[3]早组枣蚤[5]灶[6]做造
tsʰ	[1]操粗[2]曹槽[3]草[5]醋措
s	[1]苏骚鬚{胡～}[3]嫂数{～钱}[5]扫素诉数{～目}
k	[1]高膏糕[3]稿[5]告
ŋ	[2]熬[6]傲
h	[1]蒿[2]豪蚝毫[3]好[5]耗好{爱～}[6]号浩
∅	[5]袄奥澳
#øy	
t	[1]堆[5]对兑[6]队
tʰ	[1]推[2]颓[3]腿[5]退
n	[4]女
l	[2]雷擂驴[4]吕垒屡旅[6]类泪虑
ts	[1]追椎蛆[3]嘴[5]最醉[6]缀罪叙序聚
tsʰ	[1]崔催摧趋吹炊[2]随徐除槌厨[3]取娶[5]翠趣脆
s	[1]虽须需衰[2]谁垂[3]水[4]绪髓墅[5]岁碎税帅[6]瑞睡遂隧穗絮祟{鬼～}悴粹
k	[1]居[3]举矩[5]句据[6]巨具惧
kʰ	[1]拘驱区{～域}俱[2]渠[6]拒距
h	[1]虚墟[3]许[5]去
#am	
t	[1]耽担{动词}[3]胆[5]担{名词}[6]啖淡
tʰ	[1]贪[2]谈痰谭[4]淡[5]探
n	[2]南男[4]腩{牛肚嫩肉}
l	[2]篮蓝褴婪[3]揽{搂}[4]览揽{包～}[6]舰缆滥
ts	[1]簪[3]斩[5]湛[6]站暂
tsʰ	[1]参[2]惭蚕[3]惨[5]杉忏
s	[1]三叁衫
k	[1]监[3]减[5]鉴监{太～}
ŋ	[2]岩癌
h	[2]咸函[3]馅-[5]喊[6]陷馅=
#ɐm	
p	[1]泵{水～，抽水机}乓{乒～}
t	[4]凼{水坑}
n	[2]腍{软}[3]谂{想、考虑}
l	[2]淋临[4]凛[5]冧{倒塌}
ts	[1]针斟砧[3]怎枕{名词}[5]枕{动词}浸[6]沉
tsʰ	[1]侵[2]沉寻[3]寝[5]谮{啰唆}
s	[1]心深森[2]岑[3]审婶沈[5]渗[6]甚什{～么}
j	[1]音阴钦[2]吟淫[3]饮[5]荫[6]任赁
k	[1]今金甘柑[3]感敢锦[5]禁橄
kʰ	[1]襟衾[2]琴禽擒[3]冚{盖，动词}[4]妗
h	[1]堪勘[2]含[3]坎砍[5]墈[6]憾撼嵌
∅	[1]庵[3]黯[5]暗
#im	
t	[3]点[5]店[6]掂{直}
tʰ	[1]添[2]甜[4]舔
n	[1]拈[2]粘[4]捻[6]念
l	[2]廉镰帘[4]脸[6]敛殓
ts	[1]尖詹瞻占{～卜}[5]占{～据}[6]渐
tsʰ	[1]签纤歼[2]潜[3]谄[5]暹
s	[2]蟾簷禅蝉[3]闪陕[6]赡
j	[1]淹腌阉[2]盐严炎[3]掩[4]染[5]厌[6]验艳酽焰
k	[1]兼[3]检捡[5]剑[6]俭
kʰ	[2]钳
h	[1]谦[3]险[5]欠
#an	
p	[1]班颁[3]板版[5]扮{打～}[6]办
pʰ	[1]攀[5]盼
m	[2]蛮[4]晚[6]万曼慢漫馒
f	[1]番翻[2]凡帆繁[3]反返瓣[5]贩泛[6]饭范
t	[1]丹单[3]弹{子～}[5]旦[6]但蛋弹{～弓}
tʰ	[1]摊滩瘫[2]坛檀[3]毯坦瘫[5]炭叹
n	[2]难{困～}[6]难{～民}
l	[1]躝{爬}[2]拦兰[4]懒[6]烂
ts	[3]盏[5]赞[6]赚
tsʰ	[1]餐[2]残[3]产铲产[5]灿
s	[1]山闩删珊姗[2]孱潺[3]散{闲～}[5]散{～步}伞汕疝涮
k	[1]艰奸间{房～}[3]拣枧简茧[5]谏间{时～}
ŋ	[2]颜[4]眼[5]雁
h	[1]悭{节约}[2]闲娴[6]限
kʷ	[1]关[5]惯
w	[1]弯湾[2]还环缓顽寰[3]挽玩[4]挽{又音}[5]患幻
∅	[5]晏
#ɐn	
p	[1]斌奔宾[3]品禀[5]鬓[6]笨
pʰ	[2]贫频[5]喷
m	[1]蚊焖[2]文民闻[4]敏吻[6]问
f	[1]分婚熏荤[2]焚坟[3]粉[4]愤忿[6]份
t	[3]趸[6]炖
tʰ	[1]吞饨[5]褪
n	[3]撚{玩弄}
ts	[1]真珍[5]振镇震[6]阵
tsʰ	[1]亲[2]陈尘[3]疹诊[5]衬趁亲{～家}
s	[1]身新伸[2]神晨臣[4]肾{又音}[6]慎肾
j	[1]因恩茵洇欣殷[2]人仁寅[3]忍隐[4]引蚓[5]印[6]刃韧孕
k	[1]巾斤根[3]紧仅[6]近=
kʰ	[2]勤芹[4]近-
ŋ	[1]奀{瘦小}[2]银[6]韧=
h	[2]痕[3]很狠垦恳[6]恨
kʷ	[1]君军均[3]滚[5]棍[6]郡
kʷʰ	[1]坤昆[2]群裙[3]捆菌[5]困
w	[1]温瘟[2]云魂浑晕匀馄[3]蕴{又音}[4]韵允殒蕴尹[6]混运韵{又音}
#ɔn	
k	[1]干竿肝[3]赶秆[5]幹{～部}
ŋ	[6]岸
h	[1]看{～守}[2]寒韩鼾[3]罕刊捍[4]旱[5]汉看{～见}[6]汗翰
∅	[1]安鞍[5]案按
#øn	
t	[1]敦吨[6]顿盹钝遁
tʰ	[4]盾
l	[2]伦轮邻[3]卵[5]论吝
ts	[1]津樽遵[3]准[5]进俊晋
tsʰ	[1]春[2]巡循旬[3]蠢
s	[1]徇询殉[2]唇纯淳[3]笋[5]信讯汛迅逊舜瞬[6]顺
j	[5]闰润
#in	
p	[1]边辫鞭[3]扁贬[5]变[6]便辩辨
pʰ	[2]篇编翩[5]骗遍片
m	[2]棉绵眠[4]免勉[6]面
t	[1]颠巅癫碘[3]典[5]垫[6]电奠殿甸
tʰ	[1]天[2]田填
n	[2]年[3]撚{捏}[4]碾
l	[2]连莲怜[4]辇撵[6]练炼
ts	[1]笺煎毡[3]剪展[5]箭荐饯战[6]贱
tsʰ	[1]千迁[2]前钱[3]浅[4]践
s	[1]先仙鲜[3]癣冼[4]鳝[5]线扇煽[6]羡善擅单{姓}
j	[1]烟咽胭嫣燕{～京}[2]言延筵涎然贤研[3]演[5]燕宴[6]现砚苋彦谚
k	[1]坚肩[5]见建[6]件健键
kʰ	[2]虔乾{～坤}[3]□{揭}
h	[1]牵轩掀[3]遣显[5]宪献
un	
p	[1]般搬[3]本[5]半[6]伴=叛畔拌绊
pʰ	[1]潘[2]盆盘磐[4]伴-[5]判胖
m	[2]门瞒[4]满[6]闷
f	[1]宽欢[3]款
k	[1]官观冠[3]管馆莞{东～}[5]贯灌罐
w	[2]桓媛援缓[3]碗腕惋玩{古～}[6]换焕痪玩{～具}
#yn	
t	[1]端[3]短[5]断{判～}[6]段缎锻断{～续}
tʰ	[2]团臀[4]断{折～}
n	[4]暖[6]嫩
l	[2]联峦鸾栾[3]恋[6]乱
ts	[1]尊遵专砖[3]转{～交}纂{编～}[5]钻转[6]传{～记}
tsʰ	[1]村川穿[2]全痊存泉传{～达}[3]喘揣[5]寸串窜
s	[1]孙宣酸[2]旋漩船[3]损选[4]吮[5]算蒜
j	[1]冤渊[2]元完原园圆袁援缘悬铅沿[3]苑宛婉丸[4]远软[5]怨[6]愿县院
k	[1]捐娟鹃[3]卷{考试～}[5]眷绢卷券[6]倦
kʰ	[2]拳权颧
h	[1]圈喧[3]犬[5]劝
#aŋ	
pʰ	[1]烹[2]彭棚鹏[4]棒
m	[2]盲[4]猛[6]孟
l	[4]冷
ts	[1]争-踭{脚～，腿后跟}
tsʰ	[1]撑[3]橙
s	[1]生-牲-甥-[3]省-
k	[1]耕更[6]迳{涉水}
ŋ	[6]硬
h	[1]坑[2]行{～路，走路}
kʷ	[5]逛
w	[2]横
∅	[1]罂{瓦罐}
#ɐŋ	
p	[1]崩[6]凭-
pʰ	[2]朋凭=
m	[1]掹{拔}[2]盟萌
t	[1]登灯[3]等[5]凳[6]邓戥
tʰ	[2]腾誊藤
n	[2]能
ts	[1]曾{姓}憎增争筝睁[6]赠
tsʰ	[2]层曾{～经}
s	[1]生牲甥[3]省[5]擤{～鼻悌}
k	[1]更{～改}庚羹[3]梗耿[5]更{～加}
h	[1]亨铿[2]行{平～}恒衡[3]肯[5]杏幸
kʷ	[1]轰
w	[2]宏弘
∅	[1]莺
#ɛŋ	
p	[3]饼[5]柄[6]病-
pʰ	[2]平{便宜}
m	[6]命-
t	[1]钉疔[3]顶-[5]掟{扔}[6]定订
tʰ	[1]听-厅[4]艇-
l	[2]灵-[4]领-[5]靓{漂亮}
ts	[1]精-[3]井[5]正-[6]净-郑
tsʰ	[1]青-[3]请-
s	[1]声腥-[2]成城[3]醒
j	[1]赢
k	[1]惊[3]颈[5]镜
h	[1]轻
#eŋ	
p	[1]冰兵乒[3]丙秉[5]併{合～}[6]并病=
pʰ	[1]拼乒{又音}[2]平苹评瓶[5]聘
m	[2]名明鸣[4]茗皿[6]命=
t	[1]丁叮[3]顶鼎[5]订[6]定订{又音}
tʰ	[1]听=[2]亭停庭蜓[4]挺艇=
n	[2]宁咛[6]拧{扭}
l	[1]拎{提}[2]零玲铃凌[4]领岭[6]另令
ts	[1]精睛晶贞侦征蒸[3]整井=[5]正政证症[6]静净=靖
tsʰ	[1]青清称[2]情晴呈程惩成=[3]请[5]称{对～}
s	[1]声升星猩腥=胜{～任}[2]成城诚承丞乘绳[5]姓性圣胜{～利}[6]盛剩
j	[1]英婴鹦樱应{～该}鹰[2]仍形型盈赢迎蝇凝营萤莹[5]应{答～}[6]认
k	[1]京惊经荆兢[3]警竟境景憬[5]敬径迳劲竞茎[6]竞{又音}劲{好～，很过劲}
kʰ	[1]倾[2]鲸琼擎[3]顷
h	[1]兄轻氢馨卿兴{～盛}[5]兴高{～庆}
kʷ	[3]炯迥{～异}
w	[2]荣[4]永[6]泳咏颖
#œŋ	
t	[1]啄
n	[2]娘
l	[2]良粮凉梁粱量{动词}[3]辆两{一～}[4]两{～斤}俩[6]亮谅量{度～}
ts	[1]将浆张章彰[3]桨奖蒋掌长{家～}[5]酱将{～相}涨胀帐嶂瘴障仗{打～}[6]象像橡匠丈杖
tsʰ	[1]枪昌倡娼窗[2]墙蔷祥详翔场肠长{～短}[3]抢[5]唱畅怅呛
s	[1]箱相{互～}厢镶商双霜孀伤[2]常嫦裳尝偿[3]想赏[4]上{～去}[5]相{丞～}[6]上{～下}尚
j	[1]央秧秧殃鸯[2]羊洋扬杨阳[4]养痒仰[6]样让壤
k	[1]姜疆僵
kʰ	[2]强{～壮}[4]强{免～}
h	[1]香乡[3]享响晌[5]向
#ɔŋ	
p	[1]帮[3]榜绑[6]傍{依～}磅
pʰ	[2]旁滂傍庞[4]蚌[5]谤
m	[1]芒{～果}[2]亡忙忘茫氓[4]网莽蟒妄[6]望
f	[1]方坊肪芳荒慌谎肓[2]房妨防[3]仿访晃[5]放况
t	[1]当[3]党挡[5]档当{～铺}[6]荡宕
tʰ	[1]汤劏{宰}[2]唐塘堂膛棠[3]倘躺淌[5]烫趟
n	[2]囊瓤
l	[2]郎廊狼琅[4]朗[6]浪
ts	[1]脏装庄妆[5]壮葬[6]状撞藏{西～}
tsʰ	[1]仓沧苍疮[2]床藏{收～}[3]厂敞闯[5]创
s	[1]桑丧{～事}[3]爽[5]丧{～失}
k	[1]刚纲江缸扛[3]港讲[5]降钢杠
kʰ	[1]慷{又音}筐[2]狂[5]亢抗伉炕
ŋ	[2]昂[6]戆{呆}
h	[1]康糠腔匡[2]杭航行{银～}降{投～}[6]项巷
kʷ	[1]光胱[3]广
kʷʰ	[2]狂{又音}[6]旷矿邝
w	[1]汪[2]王黄簧璜皇蝗凰徨[4]往[6]旺
#oŋ	
pʰ	[1]篷蓬[3]捧-[5]碰
m	[1]檬[2]蒙朦[3]懵[6]梦
f	[1]风枫疯丰峰蜂锋封[2]逢缝冯[3]俸捧[5]讽[6]奉凤
t	[1]东冬[3]董懂[5]冻栋[6]动洞
tʰ	[1]通[2]同筒桐铜童瞳彤[3]桶统[5]痛
n	[1]燶{烧糊}[2]农浓脓
l	[1]窿{孔}[2]龙咙笼聋隆[4]垄[6]弄
ts	[1]宗踪棕综中忠盅钟衷终纵{～横}[3]总粽肿种{～子}[5]众中{打～}种纵{放～}[6]颂诵仲重{～要}
tsʰ	[1]匆聪充冲衷葱[2]从丛松{～树}虫重{～复}[3]宠[4]重{轻～}
s	[1]鬆{～紧}从{～容}嵩[2]崇[3]怂耸[5]宋送
j	[1]翁雍[2]茸容榕熔蓉庸佣融戎绒[3]拥涌蛹踊恿冗[4]勇[6]用
k	[1]公蚣工功攻恭供宫弓躬龚[3]拱巩[5]贡[6]共
kʰ	[2]穷穹
h	[1]空凶胸[2]红虹洪雄熊鸿[3]孔恐[5]控讧烘
∅	[1]壅[5]瓮{坛子}
#ap	
t	[7a]答[7b]答搭瘩[8]踏
tʰ	[7a]塔塌榻
n	[8]纳衲钠
l	[7b]擸{抓}[8]立垃腊蜡
ts	[7b]眨[8]杂集习闸
tsʰ	[7b]插
s	[7b]圾霎
k	[7b]夹甲鸽蛤
h	[7b]呷[8]狭狎
∅	[7b]鸭
#ɐp	
t	[7a]耷{垂}[8]溚{淋}
n	[7a]□{凹}
l	[7a]笠粒
ts	[7a]执汁
tsʰ	[7a]辑缉
s	[7a]湿[8]十拾什{～物}
j	[7a]邑挹泣[8]入
k	[7a]急[7b]鸽
kʰ	[7a]吸级给[8]及
h	[7a]恰[8]合盒阖侠峡洽
#ip	
t	[8]碟蝶叠
tʰ	[7b]贴帖
n	[8]聂捏
l	[8]猎
ts	[7b]接摺
tsʰ	[7b]妾
s	[7b]涉摄
j	[7b]腌[8]页叶业
k	[7b]劫[8]夹
h	[7b]歉协胁怯挟{要～}
#at	
p	[7b]八捌
m	[7b]抹
f	[7b]发法
t	[7b]达
tʰ	[7b]挞
n	[8]捺
l	[7b]痢[8]辣
ts	[7b]札扎轧铡
tsʰ	[7b]察擦刷
s	[7b]杀萨撒煞
ŋ	[8]齧{～牙，磨牙}
kʷ	[7b]刮
w	[7b]挖[8]滑猾
∅	[7b]压押
#ɐt	
p	[7a]不毕笔[8]拔跋弼
pʰ	[7a]匹
m	[7a]乜{～嘢，什么}[8]袜密蜜物
f	[7a]忽惚拂[8]乏佛罚伐
t	[8]突凸
l	[7a]甩{训读}
ts	[7a]质[8]疾侄蛭窒
tsʰ	[7a]七柒漆
s	[7a]失室虱[8]实
j	[7a]一壹[8]日逸溢佚
k	[7a]吉桔[8]□{翘}
kʰ	[7a]咳
ŋ	[8]兀讫迄
h	[7a]乞[8]瞎辖核{～对}
kʷ	[7a]骨橘[8]掘倔
w	[7a]屈[8]核{桃～}
#ɔt	
k	[7b]割葛
h	[7b]喝渴
#øt	
l	[8]律溧栗率{效～}
ts	[7a]卒蟀
tsʰ	[7a]出
s	[7a]率{～领}恤戌蟀{又音}[8]术述
#it	
p	[7a]必[7b]鳖憋[8]别
pʰ	[7b]撇瞥
m	[7a]□{拧}[8]灭蔑篾
t	[7b]跌[8]秩迭
tʰ	[7b]铁
l	[7b]缬{结，名词}[8]列烈裂
ts	[7b]节折淅哲蜇捷睫[8]截
tsʰ	[7b]切{～菜}彻彻撤设
s	[7b]窃泄舌薛屑[8]蚀{～本，亏本}舌{又音}
j	[8]热
k	[7b]洁结[8]杰
h	[7b]歇
#ut	
p	[7b]钵[8]勃渤脖荸拨
pʰ	[7b]泼
m	[7b]抹[8]末茉没
f	[7b]阔
kʰ	[7b]括豁
w	[8]活
#yt	
t	[8]夺
tʰ	[7b]脱
l	[7b]劣
ts	[7b]绌嘬[8]绝拙
tsʰ	[7b]撮
s	[7b]雪说{～话}
j	[7b]乙{又音}[8]月粤阅悦越愈曰穴乙
k	[8]橛{一～，一截}
kʰ	[7b]决缺诀
h	[7b]血
#ak	
p	[7b]百伯[8]白帛
pʰ	[7b]拍帕珀柏魄舶
m	[7b]擘
l	[8]肋
ts	[7b]窄责[8]择泽宅摘掷翟{姓}
tsʰ	[7a]测{又音}恻{又音}[7b]册策[8]贼
s	[7b]索{～取}
j	[7b]喫{吃}吔{俗字，吃}
k	[7b]格隔膈
ŋ	[8]额逆{～水}
h	[7a]赫黑{又音}刻{又音}克{又音}[7b]吓客
kʷ	[7b]掴
w	[8]或惑画{动词}划[7a]握{又音}呃{骗}扼{又音}
#ɐk	
p	[7a]北
m	[7a]唛{铁罐}[8]墨默麦脉陌
t	[7a]德得[8]特
l	[8]勒肋仂
ts	[7a]仄则侧
tsʰ	[7a]测恻
s	[7a]塞{～住}
h	[7a]黑刻克
∅	[7a]握扼
#ɛk	
p	[7b]壁-
pʰ	[7b]劈
t	[8]笛籴{～米，买米}
tʰ	[7b]踢
l	[7a]叻{能干}[8]疬
ts	[7b]脊炙隻{一～鸡}[8]蓆{草～}
tsʰ	[7b]尺赤
s	[7b]锡[8]石硕
kʰ	[8]剧屐
h	[7b]吃
#ek	
p	[7a]迫逼碧璧壁=
pʰ	[7a]辟僻癖
m	[8]觅
t	[7a]的嫡[8]敌滴迪涤狄
tʰ	[7a]剔
n	[7a]匿昵[8]溺
l	[7a]砾沥雳[8]力历
ts	[7a]即积织职绩迹[8]夕席{出～}籍藉{狼～}直值植殖寂
tsʰ	[7a]戚斥
s	[7a]昔惜媳熄色悉析晰式识饰适释[8]食蚀{日～}
j	[7a]益亿忆抑[8]亦奕译腋役疫逆翼易{姓}
k	[7a]击激棘[8]极
kʷ	[7a]隙
w	[8]域
#œk	
t	[7b]啄琢剁
l	[7b]略掠
ts	[7b]雀鹊爵嚼勺灼芍酌着{～衫，穿衣服}[8]着{～火}
s	[7b]削
j	[7b]约跃{又音}钥{又音}[8]若药虐疟钥弱跃
k	[7a]脚
tsʰ	[7a]桌卓灼{又音}芍{又音}
kʰ	[7b]却
#ɔk	
p	[7a]□{敲}[7b]博搏膊缚驳[8]薄雹
pʰ	[7a]𦢊{肿包}[7b]扑朴璞
m	[7a]剥[8]莫寞幕漠膜
f	[7b]霍
t	[8]铎度{动词}踱
tʰ	[7b]托拓
n	[7b]诺
l	[7b]酪烙络骆洛[8]乐{快～}落洛{又音}络{又音}骆{又音}
