漢字	雲陽話	訪仙話	河陽話	埤城話
糯（糯米）	nɤ31	nɘu31	nɤ31	nou25
摞（摞起來）	lɤ25	lɘu325	lɤ31	lou41
銼		ʦʰɘu434	ʦʰɤ31	ʦʰou25
座	ʦɤ31	ʦɘu325	ʦɤ24	ʦou25
過	kɤ424	kɘu434	kɤ24	kou41
課	kʰɤ424	kʰɘu434	kɤ24	kʰou41
臥	ŋɤ424	ŋɘu434		ou41
貨	xɤ424	xɘu434	xɤ24	xou41
和（和麪）	xə25	xɘu325	xɤ24	xou25
靴	ɕyɑ33	ɕyᴀ55	ɕyɑ33	ɕyᴀ41
巴	pʊ33	pʊ55	pu33、pɔ0鍋巴	pʊ51
疤	pʊ33	pʊ55	pu33	pʊ51
爬	pʊ31	pʊ31	pu31	pʊ25
琶(琵琶)	pʊ31	pʊ31	pɑ33	pʊ33
杷(枇杷)	pɔʔ44	pɔʔ31	pɔʔ33	pʊ33
杷(杷子)	pʊ31	pʊ325	pu24	pʊ25
麻	mʊ31	mʊ55	mu33	mʊ51
痲	mʊ33	mʊ31	mu33	mʊ51
蟆（蝦蟆）	mɤ33	mᴀ31	mɑ33	
媽	mɑ33	mᴀ31	mɑ33	ɯmᴀ51
拿	ȵi33	nʊ55	nu33	ȵᴀ51
茶	ʦʊ25	ʦʊ31	ʦu24	ʦʊ25
搽(塗)	tʊ25	ʦʊ31	tu24	tʰu25
樝	ʦʊ33	ʦʊ55	ʦu33	ʦʊ51
渣	ʦʊ33	ʦʊ55	ʦu33	ʦʊ51
叉	ʦʰʊ33	ʦʰʊ55	ʦʰu33	ʦʰʊ51
杈（枝杈）	ʦʰʊ33	ʦʰʊ55	ʦʰu33	ʦʰʊ51
差（差不多，差別）	ʦʰʊ33差不多、ʦʰɑ33差別	ʦʰʊ55	ʦʰu33	ʦʰʊ51
茬	ʦʰɑ25	ʦʰᴀ55	ʦɔ31	
查（調查）	ʦʊ25	ʦʊ31	ʦu31	ʦʊ25
沙	sʊ33	sʊ55	su33	sʊ51
紗	sʊ33	sʊ55	su33	sʊ51
家	kʊ33	kʊ55	ku33	kʊ51
加	kʊ33	kʊ55	ku33白讀、ʨiɑ33文讀	ʨiᴀ51
嘉	ʨiɑ33	kʊ55	ʨiɑ33	ʨiᴀ51
家（家具）	ʨiɑ33	ʨiᴀ41	ʨiɑ33	ʨiᴀ51
牙	ŋʊ25	ŋʊ325	ŋu24	ŋʊ25
芽	ŋʊ25	ŋʊ55	ŋu31	ŋʊ25
衙	iɑ25	iᴀ325	iɑ24	iᴀ25
蝦（魚蝦）	xʊ33	xʊ55	xu33	xʊ51
蝦（蝦腰）	xɑ33	xᴀ55	xɑ33	xᴀ33
霞	ɕiɑ25	ɕiᴀ325	ɕiɑ24	ɕiᴀ25
鴉	iɑ33	iᴀ55	iɑ33	ʊ51
丫（丫頭）	ʊ33	ʊ55	u33	ʊ33
椏（椏杈）	ʊ33	ʊ55	u33	ʊ33
把（把握）	把守	一把	pʊ55	pʊ434
馬	mʊ25	mʊ325	mu24	mʊ25
碼(馬)碼子	mʊ55	mʊ55	mu24	mʊ25
灑	sɑ55	sᴀ41	sɑ24	ɕyᴀ33
假（真假）	ʨiɑ55	kʊ41	ku55	kʊ33
賈（姓）	ʨiɑ25	kʊ41	ʨiɑ24	ʨiᴀ25
雅	iɑ25	iᴀ325	iɑ24	iᴀ33
下（底下)	xʊ33	xʊ325	xu31	xʊ51
夏(姓)	xʊ31	ɕiᴀ325	ɕiɑ31	ɕiᴀ51
廈(廈門)	ɕiɑ31	ɕiᴀ31	ɕiɑ31	ɕiᴀ51
啞	ʊ55	ʊ55	u31	ʊ33
霸	pʊ424	pʊ434	pu55	pʊ41
把(柄)	pʊ424	pʊ434	pu55	pʊ25
壩(堤)	pʊ424	pʊ434	pu31	pʊ25
壩(平川)	pʊ424	pʊ434	pu31	pʊ25
爸	pɑ55	pᴀ434	pɑ33	pᴀ41
怕	pʰʊ424	pʰʊ434	pu24	pʰʊ25
帕	pʰɔʔ44	pʰᴀ434	pʰəʔ33	pʰɔʔ44
耙(犁耙,耙地)	pʊ31	pʊ55	pu55	pʊ41
罵	mʊ31	mʊ325	mu31	mʊ41
詐	ʦʊ424	ʦʊ434	ʦu31	ʦʊ25
榨(榨油)	ʦʊ424	ʦʊ434	ʦu31	ʦʊ25
灹（灹彈)	ʦʊ424	ʦʊ434	ʦu31	ʦʊ25
岔(三岔路)	ʦʰʊ424	ʦʰʊ434	ʦʰu31	ʦʰʊ31
廈(偏廈,前廊後廈)	ɕiɑ31	sᴀ31	ɕiɑ31	ɕiᴀ41
假(放假)	ʨiɑ55	ɕiᴀ434	ʨiɑ33	ʨiᴀ25
架	kʊ55	ʨiᴀ434	ku55	kʊ25
駕	ʨiɑ424	ʨiᴀ55	ʨiɑ31	ʨiᴀ41
嫁	ʨiɑ424	kʊ434	ku31	kʊ41
稼	ʨiɑ424	ʨiᴀ434		kʊ41
價	kʊ424	kʊ434	ku31	kʊ41
砑（砑平）	ʊ55	ŋʊ325		mʊ25
嚇（嚇一跳）	xəʔ31	xəʔ44	xəʔ33	xəʔ44
下（下降）	xʊ33	xʊ325	xu31	xʊ41
夏（春夏）	xʊ31	ɕiᴀ325	xu31	xʊ41
亞	iɑ424	iᴀ55	iɑ55	iᴀ41
邪	ɕiɑ25	ɕiᴀ31	ɕiɑ24	ɕiᴀ25
斜	ɕiɑ25	ɕiᴀ31	ɕiɑ24	ɕiᴀ25
爹	tiə33	tiᴀ55	ti33	tiᴀ51
遮	ʦɑ33	ʦᴀ55	ʦɑ33	ʦᴀ51
車（馬車）	ʦʰɑ33	ʦʰᴀ55	ʦʰu33	ʦʰʊ51
蛇	sɑ25	sᴀ31	su24	sʊ25
奢	sə33	səʔ44		sᴀ25
佘（姓）	sə33	səʔ31	su24	sʊ51
爺	iɑ31	iᴀ31	iɑ31	iᴀ51
姐	ʨiɑ55	ʨiᴀ41	ʨiɑ55	ʨiᴀ33
寫	ɕiɑ55	ɕiᴀ41	ɕiɑ55	ɕiᴀ33
社	sɑ31	sᴀ31	sɑ31	sᴀ51
惹	ȵiɑ25	ȵiᴀ325	ȵiɑ24	ȵiᴀ25
也（者也,也是）	iɑ31	iᴀ325		
野	iɑ55	iᴀ55	iɑ55	iᴀ33
借	ʨiɑ424	ʨiᴀ434	ʨiɑ24	ʨiᴀ41
笡（斜）	ʨʰiɑ55	ʨʰiᴀ55		ʨʰiᴀ25
席（席子）	ɕiəʔ31	ɕiɛʔ31	ɕiɛʔ33	ɕiɛʔ44
瀉	ɕiɑ424	ɕiᴀ434	ɕiɑ24	ɕiᴀ41
卸	ɕiɑ424	ɕiᴀ434	ɕiɑ24	ɕiᴀ41
謝	ɕiɑ31	ɕiᴀ325	ɕiɑ31	ɕiᴀ41
蔗	ʦɑ55	ʦᴀ41	ʦu55	ʦuɔʔ44
射	sɑ31	sᴀ325	sɑ31	sʊ41
麝（麝香）	sɑ31	sᴀ325	sɑ31	sʊ41
赦	səʔ44	səʔ44		sᴀ25
舍（宿舍）	sɑ424	sᴀ41	sɑ24	sᴀ25
夜	iɑ31	iᴀ31	ɑ31	iᴀ41
瓜	kʊ33	kʊ55	ku33	kʊ51
蝸	əu33	ɘu55	ɤ33	
誇	kʰuɑ33	kʰuᴀ55	kʰuɑ33	kʰuᴀ51
花	xʊ33	xʊ55	xu33	xʊ51
華（中華）	xʊ25	ʊ31	xuɑ24	xuᴀ25
划（划船）	ʊ31	uᴀ31	u33	xʊ25
蛙	uɑ33	ʊ55	uɑ33	uᴀ51
窪	uɑ33		uɑ33	uᴀ51
傻	sɑ25	sᴀ41	sɑ24	sᴀ25
耍		ɕyᴀ41	ɕyɑ55	ʨyᴀ33
寡	kʊ55	kʊ434	ku55	kʊ33
刮	kuɑʔ44	kuᴀʔ44	kuɑʔ33	kuᴀʔ44
垮	kʰuɑ424	kʰuᴀ55	kʰuɑ31	kʰuᴀ51
瓦	ŋʊ25	ŋʊ325	ŋu24	ŋʊ25
跨	kʰʊ424	kʰʊ434	kʰuɑ31	kʰuᴀ41
瓦（動詞）	ʊ55	ŋʊ325	ŋʊ24	ŋʊ41
化	ʊ31	xʊ434	xu31	xʊ41
華（華山,姓）	xuɑ31	ʊ325	xuɑ24	ʊ25
樺（樺樹）	xʊ31	ʊ325	xuɑ24	uᴀ25
瓦	ŋʊ25	ŋʊ325	ŋu24	ŋʊ25
鋪（鋪設）	pʰu33	pʰu55	pʰu33	pʰu51
蒲	pʰu33	pʰu31	pʰu31	pʰu25
菩（菩薩）	pu31	pu325	pu24	pu25
脯（胷脯）	pu33	pu31	pʰu24	pʰu25
模（模子）	mɤ31	mɘu31		mou25
模（模範）	mɤ31	mɘu31	mɤ31	mou25
摹（摹仿)		mɘu31	mɤ24	mou25
都(都城)	tu33	tɘu55	tu33	tu51
都(都是)	tɤ33	tɘu55	tɤ33	tou25
徒	tʰu31	tɘu325	tu24	tʰu25
屠	tu31	tɘu31	tu24	tu25
途	tu31	tɘu31	tʰu33	tʰu25
塗	tu25	tɘu31	tu24	tʰu25
圖	tu25	tɘu31	tu24	tʰu25
奴	nu31	nɘu31	nu24	nu25
盧		lɘu31	lu24	lu25
爐	lu31	lɘu31	lu31	lu25
蘆（蘆葦）	lu31	lɘu31	lu24	lu25
租	ʦu33	ʦɘu55	ʦʮ33	ʦʮ51
粗	ʦʰu33	ʦʰɘu55	ʦʰʮ33	ʦʰʮ51
蘇	su33	sɘu55	sʮ33	sʮ51
酥	su33	sɘu55	sʮ33	sʮ51
姑	ku33	ku55	ku33	ku51
孤	ku33	ku55	ku33	ku51
箍（箍桶，鐵箍）	ku33	ku55	ku33	ku51
枯	kʰu33	kʰu55	kʰu33	kʰu51
吳	u25	u31	u24	u25
蜈（蜈蚣）	u25	u31	u31	u25
梧（梧桐）	u31	u31	u31	u25
呼	xu33	xu55	fu33	fu51
胡	u25	u31	u24	fu25
湖	xu25	u31	u24	fu25
狐	u25	u31	u24	u25
壺	u25	u31	u24	fu25
乎	xu33	u55	fu31	fu51
葫（葫盧）	u31	u31	u31	u25
胡（鬍子）	u31	u31	u31	u25
烏	u33	u31	u33	u51
汙	u33	u31	u33	u51
補	pu55	pu41	pu55	pu33
譜	pʰu55	pʰu41	pʰu55	pʰu25
普	pʰu55	pʰu55	pʰu55	pʰu25
浦	pʰu55	pʰu434	pʰu55	pʰu25
部	pu31	pu31	pu31	pu51
簿	pu31	pu31	pu31	pu51
堵	tu55	tɘu41	tu55	tu33
賭	tu55	tɘu41	tu55	tu33
肚（魚肚,豬肚）	tu55	tɘu325	tu55	tu51
土	tʰu55	tʰɘu41	tʰu55	tʰu25
吐（吐痰）	tʰu55	tʰɘu41	tʰu31	tʰu51
杜	tu31	tɘu325	tu31	tu51
肚（腹肚）	tu31	tɘu325	tu31	tu51
努	nu31	nɘu55	nu24	ȵu51
魯	lu55	lɘu325	lu24	lu25
櫓		lɘu325	lu24	
虜	lu55	lɘu325	lɤ55	lu25
鹵	lu25	lɘu325	lu24	lu25
祖	ʦu55	ʦɘu55	ʦʮ31	ʦʮ33
組	ʦu55	ʦɘu41	ʦʮ55	ʦʮ33
古	ku55	ku434	ku55	ku33
估（估計）	ku55	ku55	ku55	ku33
牯	ku55		ku31	ku33
股	ku55	ku41	ku31	ku33
鼓	ku55	ku41	ku55	ku33
苦	kʰu55	kʰu41	kʰu55	kʰu25
五	ŋ̩55	ŋ̩325	ŋ̩55	ŋ̩25
伍	ŋ̩55	ŋ̩325白讀、u31文讀	ŋ̩55	ŋ̩25
午	u55	ŋ̩41白讀、u325文讀	u24	u25
虎	fu31	xu41	fu55	fu33
滸（水滸）	u25	u55	u24	fu33
戶	u31	u325	u31	u51
滬	fu31	u325	fu31	fu25
塢	u55	u55	u55	u51
布	pu424	pu434	pu31	pu25
佈	pu31	pu434	pu31	pu25
鋪（店鋪）	pʰu33	pʰu434	pʰu31	pʰu25
怖（恐怖）	pu424	pu434	pu31	pu25
步	pu31	pu325	pu31	pu41
捕	pu33	pu325	pʰu55	pʰu25
暮	mɤ25	mɘu325	mɤ31	mou25
慕	mɤ25	mɘu325	mɤ31	mou25
墓	mɤ25	mɘu325	mɤ24	mou41
募	mɔʔ44	mɔʔ31	mou41	
妒	tu31	tu41	tu31	tu41
吐（嘔吐）	tʰu55	tʰu31	tʰu41	
兔	tʰu424	tɘu434	tʰu31	tʰu25
度	tu31	tɘu325	tu31	tu41
渡	tu31	tɘu325	tu31	tu41
鍍	tu31	tɘu325	tu31	tu41
怒	nu424	ȵɘu55	lu31	lu41
路	lu31	lɘu325	lu31	lu41
賂	lu31	lɘu325	lu31	lɔʔ44
露	lu31	lɘu325	lu31	lu41
鷺（鷺鷥）	lu31	lɘu41	lu31	lu41
做(作)	ʦɤ424	tsɘu434	ʦɤ24	ʦou41
醋	ʦʰu424	ʦʰɘu434	ʦʰʮ31	ʦʰʮ33
措(措置)	ʦʰu424	ʦʰɘu434	ʦʰʮ31	ʦʰʮ41
錯（錯誤）	ʦʰɤ424	ʦʰɘu434	ʦʰɤ55	ʦʰou25
素	su424	sɘu434	sʮ31	sʮ41
訴	su55	sʮ31告訴、sɘu434起訴	sʮ31	sʮ41
塑（塑像）	sɔʔ44	suɔʔ44	sʮ31	sɔʔ44
故	ku33	ku434	ku31	ku41
固	ku33	ku434	ku31	ku41
雇	ku31	ku55	ku31	ku41
顧	ku31	ku434	ku31	ku41
庫	kʰu424	kʰu41	kʰu31	kʰu41
褲	kʰu424	kʰu41	kʰu31	kʰu41
誤	u31	u325	u24	u41
悟	u31	u55	u31	u41
互	u31	u31	fu31	fu25
護	fu31	u31	fu31	fu41
瓠（瓠子,瓠瓜）		u31	fu31	u41
惡（恨,可惡）	ɔʔ44	u434	ɔʔ44	uʔ44
廬（茅廬,廬山）	lu25	lɘu31	lu31	lu25
驢	lʮ25	lʮ325	lʮ31	lʮ25
蛆（生蛆）	ʦʰʮ33	ʦʰʮ55	ʨʰɿ33	ʦʰʮ51
徐	sʮ25	ɕʮ31	ʦʰʮ24	ʨʰʮ25
豬	ʦu33	ʦʮ55	ʦʮ33	ʦʮ51
除	ʦʰu25	ʦʮ31	ʦʮ24	ʦʰʮ25
儲（儲蓄）	ʦu31	ʦʰʮ31	ʦʮ31	ʦʰʮ25
初	ʦʰɤ33	ʦʰɘu55	ʦʰɤ33	ʦʰou51
鋤	ʦɤ31	sɘu31	sɤ24	
梳（梳頭）	sɤ33	sɘu55	sɤ33	sou51
疏（疏遠）	sɤ33	sɘu55	sɤ33	sou51
蔬	sɤ33	sɘu55	sɤ33	sou51
諸	ʦu33	ʦʮ55	ʨʮ33	ʦʮ51
書	su33	sʮ55	ɕʮ33	sʮ51
舒	su33	sʮ55	ɕʮ33	sʮ51
如	lu31	sʮ325	lu24	lu25
居	ʦʮ33	ʦʮ55	ʨʮ31	ʨʮ51
車（車馬礮）	ʦʮ33	ʦʮ55	ʨʮ33	ʨʮ51
墟（墟市）	sʮ33	ʦʰʮ55		ʨʰʮ51
渠	ʦʮ31	ʦʮ31	ʨʮ33	ʨʮ51
魚	ȵʮ33	ȵʮ55	ȵʮ33	ȵʮ51
漁	ȵʮ33	ʮ55	ȵʮ33	ȵʮ51
虛	sʮ33	sʮ55	ɕʮ33	ɕʮ51
噓（吹噓）		sʮ55	ɕʮ33	ɕʮ51
於（於此）	ʮ25		ʮ24	ʮ51
淤	ʮ33	ʮ55	ʮ24	ʮ25
餘	ʮ25	ʮ55	ʮ24	ʮ25
旅		lʮ55	lʮ24	lʮ25
序	sʮ31	sʮ325	ɕʮ31	ɕʮ51
敘	sʮ31	sʮ41	ɕʮ31	ɕʮ51
緒	sʮ31	sʮ41	ɕʮ55	ɕʮ51
苧（苧麻）	ʦu31	ʦʮ325	ʦʮ31	
阻	ʦu55	ʦɘu41	ʦʮ55	ʦʮ33
楚	ʦʰu55	ʦʰɘu41	ʦʰʮ24	ʦʰʮ25
礎（柱下石）		ʦʰɘu55	ʦʰʮ55	ʦʰʮ25
所	sɤ55	sɘu41	sɤ55	sou25
煮	ʦu55	ʦʮ41	ʨʮ55	ʦʮ33
處（相處）	ʦʰu424	ʦʰʮ41	ʨʰʮ24	ʦʰʮ25
暑	su55	sʮ41	sʮ55	sʮ33
鼠	su55	ʦʰʮ55	ʨʰʮ31	ʦʰʮ33
舉	ʦʮ55	ʦʮ31	ʨʮ24	ʨʮ25
巨	ʦʮ31	ʦʮ41	ʨʮ31	ʨʮ51
拒	ʦʮ31	ʦʮ434	ʨʮ31	ʨʮ51
距	ʦʮ31	ʦʮ31	ʨʮ31	ʨʮ51
語	ʮ25	ʮ31	ʮ24	ʮ25
許	sʮ25	ɕʮ55	ɕʮ55	ɕʮ51
慮	lʮ55	lʮ55	lʮ31	lʮ41
濾	lʮ31	lʮ55	lʮ31	lʮ41
絮		sʮ55	ɕʮ31	ʦʮ25
著（顯著）		ʦʮ55	ʨʮ31	ʦʮ41
箸（筷子）	ʦu31	ʦʮ31	ʨʮ31	ʦʮ41
助	ʦɤ31	ʦɘu31	ʦɤ55	ʦou41
處（處所）	ʦʰu424	ʦʰʮ434	ʨʰʮ24	ʦʰʮ41
恕		sʮ31	sʮ31	sʮ41
署（專署)	su25	sʮ31	sʮ31	sʮ25
薯(白薯)	su31	sʮ31	sʮ31	
據	ʦʮ424	ʦʮ31	ʨʮ31	ʨʮ41
鋸(鋸子,鋸木)	ʦʮ424	ʦʮ434	ʦʮ24	ʨʮ41
去(來去，去皮)	ʦʰʮ31	kʰi434來去、tsʰʮ434去皮	kʰæ24	ʨʰʮ41
禦(防禦)	ʮ31	ʮ31		ʮ41
譽(榮譽)	ʮ55	ʮ31	ʮ55	ʮ41
預	ʮ31	ʮ31	ʮ31	ʮ41
豫	ʮ31	ʮ31	ʮ24	ʮ41
夫	fu33	fu55	fu33	fu51
膚	fu33	fu55	fu33	fu25
敷	fu33	fu55	fu31	fu51
俘俘虜	fu33	fu31	fu31	fu25
孵孵小雞	fu33	pu325	u24	pu51
麩麥麩子	fu33	fu55	fu33	fu51
符	fu31	fu31	fu31	fu25
扶	fu31	fu31	fu31	fu25
芙芙蓉	fu31	fu55	fu33	fu25
無	u25	fu325	u24	u25
巫	u33	u55	u33	fu25
誣	u33	u31	u33	u51
須	sʮ33	sʮ55	ɕʮ33	ɕʮ51
須鬍鬚,觸鬚	sʮ33	sʮ55	ɕʮ33	ɕʮ51
需	sʮ33	sʮ55	ɕʮ33	ɕʮ51
誅	ʦu33	ʦʮ55	ʨʮ33	ʦʮ51
蛛	ʦu33	ʦʮ55	ʨʮ33	ʦʮ51
株	ʦu33	ʦʮ55	ʦʮ33	ʦʮ51
廚	ʦu31	ʦʮ31	ʦʮ31	ʦʰʮ25
朱	ʦu33	ʦʮ55	ʦʮ33	ʦʮ51
蛛	ʦu33	ʦʮ55	ʦʮ33	
珠	ʦu33	ʦʮ55	ʦʮ33	ʦʮ51
樞	sʮ33	sʮ55	sʮ33	sʮ51
輸	su33	sʮ55	sʮ33	sʮ51
殊	su33	sʮ55	sʮ33	sʮ51
儒	lu25	lu325	lʮ24	lu25
拘	ʦʮ33	ʦʮ55	ʦʮ33	ʨʮ51
駒	ʦʮ33	ʦʮ55	ʦʮ33	ʨʮ51
區（區域）	ʦʰʮ33	ʦʰʮ55	ʦʰʮ33	ʨʰʮ51
驅	ʦʰʮ33	ʦʰʮ55		ʨʰʮ25
瞿	sʮ25	ʦʰʮ55	ʦʮ31	ʨʮ51
愚	ʮ25	ʮ31	ʮ24	ʮ25
虞	ʮ25	ʮ31	ʮ24	lʮ25
娛	ʮ25	ʮ31	ʮ31	ʮ25
籲	ʮ25	sʮ55	ʮ31	fu51
迂	ʮ33	ʮ325	ʮ24	ʮ25
於	ʮ25	ʮ31	ʮ24	ʮ51
盂	ʮ33	ʮ31	ʮ33	ʮ25
榆	ʮ25	ʮ31	ʮ31	ʮ51
愉	ʮ31	ʮ31	ʮ24	ʮ25
府	fu25	fu41	fu31	fu51
腑	fu55	fu41	fu24	fu51
俯	fu25	fu434	fu31	fu51
甫	fu25	fu41	fu24	pʰu25
脯（杏脯：蜜製曬乾的水果）	pʰu25	fu41	pʰu24	fu25
斧	fu31	fu41	fu24	fu25
撫	u25	fu325	fu24	fu33
父	fu31	fu31	fu31	fu51
釜	fu31	fu31	fu24	fu25
腐	fu31	fu31	fu24	fu25
輔	fu55	fu31	fu24	fu25
武	u55	fu31武進地名、u31武術	u33	u33
舞	u55	u325	u33	u33
侮	u55	u41	u33	u33
鵡（鸚鵡）	u55	u55	u24	u25
縷（絲縷）		lʮ325	lʮ24	lue25
取	ʦʰʮ55	ʦʰʮ41	ʦʰʮ55	ʨʰye25
娶	ʦʰʮ55	ʦʰʮ41	ʦʰʮ55	ʨʰʮ25
聚	ʦʮ31	sʮ31	ʦʮ31	ʨʮ51
拄（拄拐杖）	ʦu55		ʦʮ31	ʦʮ51
柱	ʦu55	ʦʮ31	ʦʮ31	ʨʮ51
數（動詞）	su55	sɘu41	sʮ55	sʮ51
主	ʦu55	ʦʮ41	ʦʮ31	ʦʮ33
豎	su25	sʮ325	sʮ24	sʮ25
乳	lu31	lu325		lu25
矩（規矩）	ʦʮ55	ʦʮ41	ʦʮ31	ʨʮ51
雨	ʮ55	ʮ325	ʮ55	ʮ33
宇	ʮ25	ʮ325	ʮ24	ʮ25
禹	ʮ25	ʮ325	ʮ24	ʮ25
羽	ʮ55	ʮ55	ʮ55	ʮ25
付	fu424	fu434	fu31	fu41
賦		fu434	fu31	fu41
傅	fu31	u31	fu31	fu41
赴	fu424	fɔʔ31	fu31	fu41
訃	pu31	pɔʔ44		pu41
附	fu31	fu434	fu31	fu41
務	u31	u434	u31	u41
霧	u424	u325	u31	u41
屢		lʮ325	lu24	lue25
趣	ʦʰʮ31	ʦʰʮ434	ʦʰʮ31	ʨʰʮ25
續	sʮ31	sɔʔ31	sɔʔ55	sɔʔ44
駐	ʦu31	ʦʮ434	ʦʮ31	ʦʮ41
註（~釋）		ʦʮ434	ʦʮ31	ʦʮ41
住	ʦu31	ʦʮ325	ʦʮ31	ʦʮ41
數（名詞）	su55	sɘu434	sʮ24	sʮ41
注	ʦu424	ʦʮ434		ʦʮ41
蛀	ʦu51	ʦʮ434	ʦʮ31	ʦʮ41
鑄	ʦu51	ʦʰu434	ʦʮ31	ʦʮ41
輸（運輸）	su55	sʮ55	sʮ31	sʮ41
樹	su31	sʮ325	sʮ31	sʮ41
句	ʦʮ31	ʦʮ55	ʨʮ31	ʨʮ41
具	ʦʮ31	ʦʮ325	ʨʮ31	ʨʮ41
懼	ʦʮ31	ʦʮ325	ʨʮ31	ʨʮ41
遇	ʮ31	ʮ434	ʮ31	ʮ41
寓	ʮ31	ʮ55	ʮ31	ʮ25
芋	ʮ31	ʮ41	ʮ31	ʮ41
喻	ʮ31	ʮ55	ʮ24	ʮ25
裕	ʮ31	ʮ55	ʮ31	ʮ41
嬯	tæ33	tai55	tæ33	tæ51
胎	tʰæ33	tʰai55	tʰæ33	tʰæ51
台（天台,台州）	tʰæ33	tʰai55	tʰæ24	tʰæ25
臺	tæ31	tai31	tʰæ24	tæ25
