繁體	简体	=_xlfn.CONCAT(E1,F1,G1)	註釋	聲	韻	調			
塌	塌	=_xlfn.CONCAT(E117,F117,G117)		tʰ	a	214			
蹋	蹋	=_xlfn.CONCAT(E118,F118,G118)		tʰ	a	214			
躢	躢	=_xlfn.CONCAT(E119,F119,G119)		tʰ	a	214			
闒	闒	=_xlfn.CONCAT(E120,F120,G120)		tʰ	a	214			
䍇	䍇	=_xlfn.CONCAT(E121,F121,G121)		tʰ	a	214			
䳴	䳴	=_xlfn.CONCAT(E122,F122,G122)		tʰ	a	214			
䈳	䈳	=_xlfn.CONCAT(E123,F123,G123)		tʰ	a	214			
闥	闼	=_xlfn.CONCAT(E124,F124,G124)		tʰ	a	214			
㒓	㒓	=_xlfn.CONCAT(E125,F125,G125)		tʰ	a	214			
撻	挞	=_xlfn.CONCAT(E126,F126,G126)		tʰ	a	214			
澾	澾	=_xlfn.CONCAT(E127,F127,G127)		tʰ	a	214			
䲚	䲚	=_xlfn.CONCAT(E128,F128,G128)		tʰ	a	214			
羍	羍	=_xlfn.CONCAT(E129,F129,G129)		tʰ	a	214			
汏	汏	=_xlfn.CONCAT(E130,F130,G130)		tʰ	a	214			
噧	噧	=_xlfn.CONCAT(E131,F131,G131)		tʰ	a	214			
獺	獭	=_xlfn.CONCAT(E132,F132,G132)		tʰ	a	214			
查	查	=_xlfn.CONCAT(E133,F133,G133)		ts	a	21			
奓	奓	=_xlfn.CONCAT(E134,F134,G134)	動詞，表示張開，也有可能是“张”字的音变	ts	a	45			
渣	渣	=_xlfn.CONCAT(E135,F135,G135)	渣粉，一种食物	ts	a	42			
渣	渣	=_xlfn.CONCAT(E136,F136,G136)		ts	a	45			
鮓	鮓	=_xlfn.CONCAT(E137,F137,G137)		ts	a	42			
䋾	䋾	=_xlfn.CONCAT(E138,F138,G138)		ts	a	42			
扎	扎	=_xlfn.CONCAT(E139,F139,G139)	動詞，“扎起”，意为支持	ts	a	42			
痄	痄	=_xlfn.CONCAT(E140,F140,G140)		ts	a	42			
詐	诈	=_xlfn.CONCAT(E141,F141,G141)		ts	a	214			
榨	榨	=_xlfn.CONCAT(E142,F142,G142)		ts	a	214			
炸	炸	=_xlfn.CONCAT(E143,F143,G143)		ts	a	214			
乍	乍	=_xlfn.CONCAT(E144,F144,G144)		ts	a	214			
蔗	蔗	=_xlfn.CONCAT(E145,F145,G145)		ts	a	214			
魳	魳	=_xlfn.CONCAT(E146,F146,G146)		ts	a	214			
迊	迊	=_xlfn.CONCAT(E147,F147,G147)		ts	a	214			
𠯗	𠯗	=_xlfn.CONCAT(E148,F148,G148)		ts	a	214			
噆	噆	=_xlfn.CONCAT(E149,F149,G149)		ts	a	214			
䍼	䍼	=_xlfn.CONCAT(E150,F150,G150)		ts	a	214			
嘁	嘁	=_xlfn.CONCAT(E151,F151,G151)		ts	a	214			
沞	沞	=_xlfn.CONCAT(E152,F152,G152)		ts	a	214			
䞙	䞙	=_xlfn.CONCAT(E153,F153,G153)		ts	a	214			
韴	韴	=_xlfn.CONCAT(E154,F154,G154)		ts	a	214			
磼	磼	=_xlfn.CONCAT(E155,F155,G155)		ts	a	214			
雥	雥	=_xlfn.CONCAT(E156,F156,G156)		ts	a	214			
䕹	䕹	=_xlfn.CONCAT(E157,F157,G157)		ts	a	214			
䣟	䣟	=_xlfn.CONCAT(E158,F158,G158)		ts	a	214			
雜	杂	=_xlfn.CONCAT(E159,F159,G159)		ts	a	214			
䪞	䪞	=_xlfn.CONCAT(E160,F160,G160)		ts	a	214			
眨	眨	=_xlfn.CONCAT(E161,F161,G161)		ts	a	214			
煠	煠	=_xlfn.CONCAT(E162,F162,G162)		ts	a	214			
㞚	㞚	=_xlfn.CONCAT(E163,F163,G163)		ts	a	214			
偛	偛	=_xlfn.CONCAT(E164,F164,G164)		ts	a	214			
䙄	䙄	=_xlfn.CONCAT(E165,F165,G165)		ts	a	214			
𥀈	𥀈	=_xlfn.CONCAT(E166,F166,G166)		ts	a	214			
䛽	䛽	=_xlfn.CONCAT(E167,F167,G167)		ts	a	214			
牐	牐	=_xlfn.CONCAT(E168,F168,G168)		ts	a	214			
䮢	䮢	=_xlfn.CONCAT(E169,F169,G169)		ts	a	214			
劄	剳	=_xlfn.CONCAT(E170,F170,G170)		ts	a	214			
霅	霅	=_xlfn.CONCAT(E171,F171,G171)		ts	a	214			
閘	闸	=_xlfn.CONCAT(E172,F172,G172)		ts	a	214			
翣	翣	=_xlfn.CONCAT(E173,F173,G173)		ts	a	214			
啑	啑	=_xlfn.CONCAT(E174,F174,G174)		ts	a	214			
帹	帹	=_xlfn.CONCAT(E175,F175,G175)		ts	a	214			
翜	翜	=_xlfn.CONCAT(E176,F176,G176)		ts	a	214			
䬊	䬊	=_xlfn.CONCAT(E177,F177,G177)		ts	a	214			
䰖	䰖	=_xlfn.CONCAT(E178,F178,G178)		ts	a	214			
拶	拶	=_xlfn.CONCAT(E179,F179,G179)		ts	a	214			
㳨	㳨	=_xlfn.CONCAT(E180,F180,G180)		ts	a	214			
𩯳	𩯳	=_xlfn.CONCAT(E181,F181,G181)		ts	a	214			
𠛱	𠛱	=_xlfn.CONCAT(E182,F182,G182)		ts	a	214			
𨀨	𨀨	=_xlfn.CONCAT(E183,F183,G183)		ts	a	214			
𤁢	𤁢	=_xlfn.CONCAT(E184,F184,G184)		ts	a	214			
砸	砸	=_xlfn.CONCAT(E185,F185,G185)		ts	a	214			
囋	囋	=_xlfn.CONCAT(E186,F186,G186)		ts	a	214			
囐	囐	=_xlfn.CONCAT(E187,F187,G187)		ts	a	214			
㩵	㩵	=_xlfn.CONCAT(E188,F188,G188)		ts	a	214			
劄	札	=_xlfn.CONCAT(E189,F189,G189)		ts	a	214			
蚻	蚻	=_xlfn.CONCAT(E190,F190,G190)		ts	a	214			
𩿤	𩿤	=_xlfn.CONCAT(E191,F191,G191)		ts	a	214			
紮	扎	=_xlfn.CONCAT(E192,F192,G192)		ts	a	214			
㱜	㱜	=_xlfn.CONCAT(E193,F193,G193)		ts	a	214			
哳	哳	=_xlfn.CONCAT(E194,F194,G194)		ts	a	214			
𨰉	𨰉	=_xlfn.CONCAT(E195,F195,G195)		ts	a	214			
耫	耫	=_xlfn.CONCAT(E196,F196,G196)		ts	a	214			
㳐	㳐	=_xlfn.CONCAT(E197,F197,G197)		ts	a	214			
鍘	铡	=_xlfn.CONCAT(E198,F198,G198)		ts	a	214			
詫	诧	=_xlfn.CONCAT(E199,F199,G199)		tsʰ	a	214			
茶	茶	=_xlfn.CONCAT(E200,F200,G200)		tsʰ	a	21			
搽	搽	=_xlfn.CONCAT(E201,F201,G201)	搽臉，搽藥	tsʰ	a	21			
叉	叉	=_xlfn.CONCAT(E202,F202,G202)		tsʰ	a	45			
杈	杈	=_xlfn.CONCAT(E203,F203,G203)		tsʰ	a	45			
差	差	=_xlfn.CONCAT(E204,F204,G204)		tsʰ	a	45			
衩	衩	=_xlfn.CONCAT(E205,F205,G205)	衩～褲	tsʰ	a	42			
差	差	=_xlfn.CONCAT(E206,F206,G206)		tsʰ	a	214			
岔	岔	=_xlfn.CONCAT(E207,F207,G207)		tsʰ	a	214			
汊	汊	=_xlfn.CONCAT(E208,F208,G208)		tsʰ	a	214			
查	查	=_xlfn.CONCAT(E209,F209,G209)		tsʰ	a	21			
䟃	䟃	=_xlfn.CONCAT(E210,F210,G210)		tsʰ	a	214			
䵽	䵽	=_xlfn.CONCAT(E211,F211,G211)		tsʰ	a	214			
囃	囃	=_xlfn.CONCAT(E212,F212,G212)		tsʰ	a	214			
臿	臿	=_xlfn.CONCAT(E213,F213,G213)		tsʰ	a	214			
疀	疀	=_xlfn.CONCAT(E214,F214,G214)		tsʰ	a	214			
鍤	鍤	=_xlfn.CONCAT(E215,F215,G215)		tsʰ	a	214			
扱	扱	=_xlfn.CONCAT(E216,F216,G216)		tsʰ	a	214			
㛼	㛼	=_xlfn.CONCAT(E217,F217,G217)		tsʰ	a	214			
㷅	㷅	=_xlfn.CONCAT(E218,F218,G218)		tsʰ	a	214			
喢	喢	=_xlfn.CONCAT(E219,F219,G219)		tsʰ	a	214			
𤜯	𤜯	=_xlfn.CONCAT(E220,F220,G220)		tsʰ	a	214			
插	插	=_xlfn.CONCAT(E221,F221,G221)		tsʰ	a	214			
䌨	䌨	=_xlfn.CONCAT(E222,F222,G222)		tsʰ	a	214			
礤	礤	=_xlfn.CONCAT(E223,F223,G223)		tsʰ	a	214			
攃	攃	=_xlfn.CONCAT(E224,F224,G224)		tsʰ	a	214			
擦	擦	=_xlfn.CONCAT(E225,F225,G225)		tsʰ	a	214			
詧	詧	=_xlfn.CONCAT(E226,F226,G226)		tsʰ	a	214			
𪙻	𪙻	=_xlfn.CONCAT(E227,F227,G227)		tsʰ	a	214			
𣘤	𣘤	=_xlfn.CONCAT(E228,F228,G228)		tsʰ	a	214			
𥉻	𥉻	=_xlfn.CONCAT(E229,F229,G229)		tsʰ	a	214			
𩴳	𩴳	=_xlfn.CONCAT(E230,F230,G230)		tsʰ	a	214			
䕓	䕓	=_xlfn.CONCAT(E231,F231,G231)		tsʰ	a	214			
察	察	=_xlfn.CONCAT(E232,F232,G232)		tsʰ	a	21			
剎	刹	=_xlfn.CONCAT(E233,F233,G233)	剎那	tsʰ	a	214			
䓭	䓭	=_xlfn.CONCAT(E234,F234,G234)		tsʰ	a	214			
抲	抲	=_xlfn.CONCAT(E235,F235,G235)	動詞，表示用手翻找	x	a	45			
嚇	吓	=_xlfn.CONCAT(E236,F236,G236)	白读	x	a	214			
下	下	=_xlfn.CONCAT(E237,F237,G237)	一下 等下	x	a	45			
傻	傻	=_xlfn.CONCAT(E238,F238,G238)		x	a	42			
闔	闔	=_xlfn.CONCAT(E239,F239,G239)		x	a	214			
篕	篕	=_xlfn.CONCAT(E240,F240,G240)		x	a	214			
熆	熆	=_xlfn.CONCAT(E241,F241,G241)		x	a	214			
㽺	㽺	=_xlfn.CONCAT(E242,F242,G242)		x	a	214			
盍	盍	=_xlfn.CONCAT(E243,F243,G243)		x	a	214			
猲	猲	=_xlfn.CONCAT(E244,F244,G244)		x	a	214			
尬	尬	=_xlfn.CONCAT(E245,F245,G245)		k	a	42			
瘩	瘩	=_xlfn.CONCAT(E246,F246,G246)		t	a	214			
膀	膀	=_xlfn.CONCAT(E247,F247,G247)	膀子，即猪肘	pʰ	ã	42			
膀	膀	=_xlfn.CONCAT(E248,F248,G248)	肩膀	p	ã	42			
膀	膀	=_xlfn.CONCAT(E249,F249,G249)	膀胱	pʰ	ã	21			
泛	泛	=_xlfn.CONCAT(E250,F250,G250)		f	ã	214			
凡	凡	=_xlfn.CONCAT(E251,F251,G251)		f	ã	21			
帆	帆	=_xlfn.CONCAT(E252,F252,G252)		f	ã	21			
範	范	=_xlfn.CONCAT(E253,F253,G253)		f	ã	214			
犯	犯	=_xlfn.CONCAT(E254,F254,G254)		f	ã	214			
梵	梵	=_xlfn.CONCAT(E255,F255,G255)		f	ã	214			
反	反	=_xlfn.CONCAT(E256,F256,G256)		f	ã	42			
翻	翻	=_xlfn.CONCAT(E257,F257,G257)		f	ã	45			
番	番	=_xlfn.CONCAT(E258,F258,G258)		f	ã	45			
販	贩	=_xlfn.CONCAT(E259,F259,G259)		f	ã	214			
煩	烦	=_xlfn.CONCAT(E260,F260,G260)		f	ã	21			
礬	矾	=_xlfn.CONCAT(E261,F261,G261)		f	ã	21			
繁	繁	=_xlfn.CONCAT(E262,F262,G262)		f	ã	21			
藩	藩	=_xlfn.CONCAT(E263,F263,G263)		f	ã	45			
飯	饭	=_xlfn.CONCAT(E264,F264,G264)		f	ã	214或45			
方	方	=_xlfn.CONCAT(E265,F265,G265)		f	ã	45			
坊	坊	=_xlfn.CONCAT(E266,F266,G266)	茶坊	f	ã	21			
肪	肪	=_xlfn.CONCAT(E267,F267,G267)		f	ã	45			
仿	仿	=_xlfn.CONCAT(E268,F268,G268)		f	ã	42			
放	放	=_xlfn.CONCAT(E269,F269,G269)		f	ã	214			
芳	芳	=_xlfn.CONCAT(E270,F270,G270)		f	ã	45			
紡	纺	=_xlfn.CONCAT(E271,F271,G271)		f	ã	42			
仿	仿	=_xlfn.CONCAT(E272,F272,G272)		f	ã	42			
彷	彷	=_xlfn.CONCAT(E273,F273,G273)		pʰ	ã	21			
訪	访	=_xlfn.CONCAT(E274,F274,G274)		f	ã	42			
房	房	=_xlfn.CONCAT(E275,F275,G275)		f	ã	21			
防	防	=_xlfn.CONCAT(E276,F276,G276)		f	ã	21			
感	感	=_xlfn.CONCAT(E277,F277,G277)		k	ã	42			
柑	柑	=_xlfn.CONCAT(E278,F278,G278)		k	ã	45			
泔	泔	=_xlfn.CONCAT(E279,F279,G279)		k	ã	45			
甘	甘	=_xlfn.CONCAT(E280,F280,G280)		k	ã	45			
敢	敢	=_xlfn.CONCAT(E281,F281,G281)		k	ã	42			
橄	橄	=_xlfn.CONCAT(E282,F282,G282)		k	ã	42			
尷	尴	=_xlfn.CONCAT(E283,F283,G283)		k	ã	45			
肝	肝	=_xlfn.CONCAT(E284,F284,G284)		k	ã	45			
竿	竿	=_xlfn.CONCAT(E285,F285,G285)		k	ã	45			
幹	干	=_xlfn.CONCAT(E286,F286,G286)		k	ã	45			
桿	杆	=_xlfn.CONCAT(E287,F287,G287)		k	ã	45			
稈	秆	=_xlfn.CONCAT(E288,F288,G288)		k	ã	42			
擀	擀	=_xlfn.CONCAT(E289,F289,G289)		k	ã	42			
趕	赶	=_xlfn.CONCAT(E290,F290,G290)		k	ã	42			
幹	干	=_xlfn.CONCAT(E291,F291,G291)		k	ã	214			
間	间	=_xlfn.CONCAT(E292,F292,G292)	一般仅用作量词	k	ã	45			
岡	冈	=_xlfn.CONCAT(E293,F293,G293)		k	ã	45			
剛	刚	=_xlfn.CONCAT(E294,F294,G294)		k	ã	45			
鋼	钢	=_xlfn.CONCAT(E295,F295,G295)		k	ã	45			
缸	缸	=_xlfn.CONCAT(E296,F296,G296)		k	ã	45			
綱	纲	=_xlfn.CONCAT(E297,F297,G297)		k	ã	45			
崗	岗	=_xlfn.CONCAT(E298,F298,G298)		k	ã	45			
肛	肛	=_xlfn.CONCAT(E299,F299,G299)		k	ã	45			
槓	杠	=_xlfn.CONCAT(E300,F300,G300)		k	ã	214			
港	港	=_xlfn.CONCAT(E301,F301,G301)		k	ã	42			
訌	讧	=_xlfn.CONCAT(E302,F302,G302)		k	ã	214			
𢷞	𢷞	=_xlfn.CONCAT(E303,F303,G303)	蓋，動詞	kʰ	ã	42			
堪	堪	=_xlfn.CONCAT(E304,F304,G304)		kʰ	ã	45			
龕	龛	=_xlfn.CONCAT(E305,F305,G305)		kʰ	ã	45			
坎	坎	=_xlfn.CONCAT(E306,F306,G306)		kʰ	ã	42			
勘	勘	=_xlfn.CONCAT(E307,F307,G307)		kʰ	ã	45			
瞰	瞰	=_xlfn.CONCAT(E308,F308,G308)		kʰ	ã	214			
刊	刊	=_xlfn.CONCAT(E309,F309,G309)		kʰ	ã	45			
侃	侃	=_xlfn.CONCAT(E310,F310,G310)		kʰ	ã	42			
看	看	=_xlfn.CONCAT(E311,F311,G311)		kʰ	ã	214			
康	康	=_xlfn.CONCAT(E312,F312,G312)		kʰ	ã	45			
糠	糠	=_xlfn.CONCAT(E313,F313,G313)		kʰ	ã	45			
慷	慷	=_xlfn.CONCAT(E314,F314,G314)		kʰ	ã	45			
抗	抗	=_xlfn.CONCAT(E315,F315,G315)		kʰ	ã	214			
炕	炕	=_xlfn.CONCAT(E316,F316,G316)		kʰ	ã	214			
鈧	钪	=_xlfn.CONCAT(E317,F317,G317)		kʰ	ã	214			
摃	扛	=_xlfn.CONCAT(E318,F318,G318)		kʰ	ã	21			
晾	晾	=_xlfn.CONCAT(E319,F319,G319)	白讀，如：～衣裳	l	ã	45			
婪	婪	=_xlfn.CONCAT(E320,F320,G320)		l	ã	21			
藍	蓝	=_xlfn.CONCAT(E321,F321,G321)		l	ã	21			
籃	篮	=_xlfn.CONCAT(E322,F322,G322)		l	ã	21			
欖	榄	=_xlfn.CONCAT(E323,F323,G323)		l	ã	42			
攬	揽	=_xlfn.CONCAT(E324,F324,G324)		l	ã	42			
覽	览	=_xlfn.CONCAT(E325,F325,G325)		l	ã	42			
纜	缆	=_xlfn.CONCAT(E326,F326,G326)		l	ã	42			
濫	滥	=_xlfn.CONCAT(E327,F327,G327)		l	ã	214			
囊	囊	=_xlfn.CONCAT(E328,F328,G328)		n	ã	21			
曩	曩	=_xlfn.CONCAT(E329,F329,G329)		n	ã	42			
狼	狼	=_xlfn.CONCAT(E330,F330,G330)		l	ã	21			
廊	廊	=_xlfn.CONCAT(E331,F331,G331)		l	ã	21			
郎	郎	=_xlfn.CONCAT(E332,F332,G332)		l	ã	21			
螂	螂	=_xlfn.CONCAT(E333,F333,G333)		l	ã	21			
朗	朗	=_xlfn.CONCAT(E334,F334,G334)		l	ã	42			
浪	浪	=_xlfn.CONCAT(E335,F335,G335)		l	ã	214			
蠻	蛮	=_xlfn.CONCAT(E336,F336,G336)		m	ã	21			
慢	慢	=_xlfn.CONCAT(E337,F337,G337)		m	ã	214或45			
瞞	瞒	=_xlfn.CONCAT(E338,F338,G338)		m	ã	21			
饅	馒	=_xlfn.CONCAT(E339,F339,G339)		m	ã	21			
滿	满	=_xlfn.CONCAT(E340,F340,G340)		m	ã	42			
漫	漫	=_xlfn.CONCAT(E341,F341,G341)		m	ã	214			
幔	幔	=_xlfn.CONCAT(E342,F342,G342)		m	ã	214			
忙	忙	=_xlfn.CONCAT(E343,F343,G343)		m	ã	21			
芒	芒	=_xlfn.CONCAT(E344,F344,G344)		m	ã	21			
茫	茫	=_xlfn.CONCAT(E345,F345,G345)		m	ã	21			
莽	莽	=_xlfn.CONCAT(E346,F346,G346)		m	ã	42			
㟐	㟐	=_xlfn.CONCAT(E347,F347,G347)		m	ã	214			
盲	盲	=_xlfn.CONCAT(E348,F348,G348)		m	ã	21			
南	南	=_xlfn.CONCAT(E349,F349,G349)		n	ã	21			
男	男	=_xlfn.CONCAT(E350,F350,G350)		n	ã	21			
難	难	=_xlfn.CONCAT(E351,F351,G351)		n	ã	21			
難	难	=_xlfn.CONCAT(E352,F352,G352)		n	ã	214			
蘭	兰	=_xlfn.CONCAT(E353,F353,G353)		l	ã	21			
攔	拦	=_xlfn.CONCAT(E354,F354,G354)		l	ã	21			
欄	栏	=_xlfn.CONCAT(E355,F355,G355)		l	ã	21			
懶	懒	=_xlfn.CONCAT(E356,F356,G356)	口语用，懒得走，懒得搞	l	ã	21			
懶	懒	=_xlfn.CONCAT(E357,F357,G357)		l	ã	42			
爛	烂	=_xlfn.CONCAT(E358,F358,G358)		l	ã	214或45			
