#i
p[2]皮疲脾琵枇肥[4]被{~子,~窝}婢[6]被{~打,~迫}避备鼻
l[1]□{谋生计}[2]卢炉芦鸬庐劳牢唠[4]鲁橹虏卤老[6]路赂露鹭
k[1]姑孤高膏羔糕膏[3]古估牯股鼓稿[5]故固锢雇顾告犒
kʰ[1]箍枯酷
ŋ[2]熬[6]熬{~白菜}傲
h[3]好{~坏}[5]蒿蓬蒿好{喜~}耗
∅[1]呼乌污坞夫肤巫诬[2]胡湖狐壶葫豪壕毫[3]苦虎浒府腑俯[4]户沪[5]裤戽奥懊富[6]互护瓠恶{恨，可~}芋号{呼~}浩号{~数}

#y
f[1]须需[2]徐[4]储序叙绪聚[5]□{袖子或头发等沾到水里、饭菜里、地面上等}
t[1]趋
tʰ[1]蛆[3]取娶[5]趣
ɗ[3]□{眼睛水肿}[5]□{蛰，被蜜蜂蛰}
l[2]驴[3]里{~面}[4]吕旅缕屡履里[6]虑滤
ts[1]猪诸褚诛蛛株朱硃珠[3]煮主[5]著箸驻注蛀铸[6]拄
tsʰ[3]□{拿棍子戳、刺}[5]处{相~}杵处{~所}
ȵ[2]鱼渔[4]汝语
s[1]书舒输[2]除薯厨殊[3]暑鼠署数{动词}[4]柱竖[5]庶恕数{名词}[6]住树
k[1]居车{~马炮}[2]渠[3]他[3]举矩[4]巨拒距据[5]锯句[6]俱具惧
kʰ[1]枢拘驹区驱
h[1]墟虚嘘吁[3]许[5]去
∅[1]於淤迂于盂[2]如余馀榆逾愉愚[3]□{灯光昏暗，光源不足}[4]与儒雨宇禹羽[6]驭御誉预豫虞娱愈遇寓喻裕

#a
p[2]爬琶杷钯(杷)耙
pʰ[1]趴[5]怕
ɓ[1]巴芭疤爸[3]把{~握，~守，一~}把{柄}[5]霸坝罢
m[1]孖[2]麻痲[3][妈][4]马码[6]骂
f[1]卅[2]□{酒精在皮肤表面挥发或含薄荷成分的东西在嘴巴融化的清凉感觉}
t[1]□{路面泥泞或米饭放多了水的状态}
tʰ[1]他
ɗ[1]□{姥姥}[3]打[5]□{表示方位介词“从”}
n[1]□{伤口完全好了之后留下的伤疤}[2]拿[3]乸[4]哪{~个}[6]那
l[1]□{用整个手掌心将一堆东西打散的动作}[3]□{在黑暗中摸东西}[5]罅{缝}
ts[1]查{山~}渣抓[3]□{腌菜}[5]诈榨[炸]{~弹}乍炸{用油~}[6]□{用荆棘拦住或盖住}
tsʰ[1]叉杈差{~别,~不多}[5]岔
s[1]沙纱莎[2]茶搽(涂)查{调~}[3]洒[耍]
k[1]家加痂嘉家[3]假{真~}贾姓假{放~}[5]驾嫁稼价架
kʰ[1]卡[3]□{两条腿分开}
ŋ[1]□{呵斥}[2]牙芽衙伢[3]□{张开（嘴巴）}[4]雅瓦[5]砑
h[1]虾{鱼~}哈虾{~蟆}
∅[1]鸦丫桠[2]霞瑕遐[3]哑[4]下{底~}[5]亚[6]夏{姓}厦{~门}厦{偏~，前廊后~}下{~降}夏{春~}暇

#ia
ȵ[1]□{用手抓}[3]□{小孩子对猪肉的称呼}

#ua
k[1]瓜[3]寡[5]挂卦
kʰ[1]夸跨[5][垮]
∅[1]花蛙洼蛙[2]华{中~}铧[5]化[6]华{~山，姓}桦画话

#e
pʰ[1]□{打水漂儿}[3]□{女性的阴部}
ɓ[1]啤
m[3]□{歪}
n[3]□{驮，背，动词}
k[1]□{男童的生殖器官}[2]茄

#ie
f[1]些[2]邪斜[3]写[5]泻卸[6]谢
t[3]姐[5]借藉
tʰ[3]且
ɗ[1]爹
ts[1]遮[3]者[5]蔗
tsʰ[1]车{马~}[3]扯[5]笡斜
s[1]奢赊[2]蛇[3]舍{~弃}[4]社[5]赦舍{宿~}[6]佘射麝
ŋ[3]惹
∅[1]耶[2]爷[4]也野[6]夜

#ø
h[1]靴

#o
p[2]婆
pʰ[1]颇坡[5]破
ɓ[1]波菠玻[3]跛[5]簸{~箕}簸{~一~}
m[1]魔摩[2]磨{~刀}馍[3]摸[6]磨{~面,石~}
f[1]嗦莎{~草}[3]锁琐[4]坐[6]座
t[2]驼驮{拿，~起来}驮{~子}[4]妥椭[5]左佐[6]惰舵
tʰ[1]拖搓[5]唾错{~误}
ɗ[1]多[3]朵(躲)
n[1]□{用手搓或擦}[2]挪[4]脑恼[5]□{转动（螺丝等）}[6]糯
l[1]罗{~嗦}[2]罗锣萝骡螺脶[3]□{买；娶}[4]裸[5]□{用手揉，使之变圆}
ts[6]助[3]阻
tsʰ[1]初[3]楚础
s[1]蓑梭梳疏蔬[2]锄[3]所
k[1]歌哥[3]个
ŋ[2]蛾鹅俄[4]我[6]饿
h[3]可
∅[1]阿{~胶，~哥}[2]河何荷{~花}荷{薄~}[3]阿{前缀，~三}[5]□{用小火烧或焖来加热}[6]贺

#io
ȵ[3]□{把东西揉皱的动作}
∅[2]□{生鸡蛋（鸭蛋）里面蛋清和蛋黄沾到蛋壳的状态}

#uo
l[3]颗
s[6]傻
k[1]锅戈[3]果裹[5]过
ŋ[1]讹[6]卧
∅[1]科棵(科)倭窝课蜗[2]和{~气}禾和{~面}[3]火伙(火)[4]祸[5]货涴{弄脏}

#ai
p[2]排牌簰筏[6]败
pʰ[5]派
ɓ[3]摆[5]拜
m[2]埋[3]歪[4]买[6]卖迈
f[1]□{浪费}
t[1]□{怂恿}[6]大
tʰ[5]态贷太泰
ɗ[5]戴带[6]大{~夫;~黄}
n[4]乃(你)奶[5]□{和，捆绑式将两个东西放一起}
l[1]拉□{家里最小的儿子，小幺}[3]□{很累，没有力气}[6]赖癞
ts[1]斋[5]债寨{山~版}
tsʰ[1]猜钗差{出~}
s[2]豺柴[4]□{舔}[5]晒[6]寨{地名：师~}
k[1]皆阶佳街[2]□{长期不洗澡，身上长的泥垢}[3]解[5]介界芥尬疥届戒刉[6]□{压}
ŋ[2]涯崖捱
h[1]揩
∅[1]挨[2]鞋[3]矮[4]械蟹懈[5]隘[6]□{把竹子分成若干小块，并理出里和面}

#iai
ȵ[1]□{~粉：搓面团}[3]□{踩}[5]□{嚼}
∅[6]□{吃得很撑，有点腻}

#uai
k[1]乖[3]拐[5]怪
∅[2]怀槐淮[3]块[4]□{~阔：很宽}[5]快[筷][6]坏

#ei
p[6]弊币毙
pʰ[1]批
ɓ[1]□{瘸}[5]蔽敝陛闭
m[1]米{单位}□{削}[2]迷谜[4]米{稻~}[5]□{男性生殖器官}
f[1]西栖犀[2]齐脐[3]洗徙[5]细婿
t[1]挤剂[2]堤题提蹄啼[3]仔[4]弟[5]际祭穄滞济[6]第递隶
tʰ[1]梯妻[3]体[5]替涕剃屉砌
ɗ[1]低[3]底抵[5]帝
n[2]泥[5]□{小}[6]□{随便把植物种下}
l[2]犁黎[4]礼[5]□{吃的一种说法，比较随意}[6]例励丽荔
ts[5]制[6]□{糍粑}
ȵ[4]蚁
s[1]筛[2]□{挨近，凑近}[3]使[4]□{眼睏}[5]世势誓逝
k[1]鸡[5]计继系{~鞋带}髻□{蒂}[6]□{虚掩（门）}
kʰ[1]稽溪奚兮[3]启[5]契
ŋ[1]□{乞求}[5]□好奇[6]倪{又音}毅危伪魏艺
h[6]係
∅[5]□{失落}[6]系{~统}系{连~}系{确~实情}

#iei
ȵ[2]□{无~痴：形容小孩很调皮}[3]□{小孩儿对肉的称呼}
∅[3]□{饭放多了水}□{哭泣}

#uei
k[1]闺龟归[2]奎逵葵癸[3]诡轨鬼[5]鲑圭桂季贵[6]跪柜
kʰ[1]规亏窥[5]愧
∅[1]喂{叹词}挥辉威[2]为{作~}维惟遗唯违围[3]毁委慰[4]伟苇纬胃[5]喂{动词}[6]卫惠慧为{~什么}位讳畏谓猬

#oᵃi
f[1]鳃腮[2]才材财裁[4]在[5]赛
t[1]灾栽[2]台台苔抬待怠殆[3]宰[5]载{年~}再载{~重}载{满~}[6]代袋
tʰ[1]胎[3]彩采[睬][5]菜蔡
n[6]耐奈
l[2]来
ts[3]□{（一）株}
ȵ[1]□{身上某个部位撞倒硬物后起的}包
k[1]该[3]改[5]盖丐磕
kʰ[5]概溉慨
ŋ[2]呆(怡)呆[6]艾
h[1]开[3]凯海楷
∅[1]哀埃[2]孩[4]亥蔼谐骇[5]爱[6]碍害

#ioᵃi
ȵ[1]□{被撞倒起的包包}[5]□{（被鸡）啄}
∅[4]□{（血）哗哗（地流）}

#uiː
∅[1]非飞妃翡[3]匪榧[5]废肺费
uːi
p[2]陪赔培裴[4]倍[6]背{~诵}吠
pʰ[1]胚坯[5]配佩沛
ɓ[1]杯[5]背{后~}贝辈
m[2]梅煤霉枚媒酶玫莓[4]每[6]妹昧
f[1]虽[2]随隋[3]髓翠粹[4]罪[5]岁碎[6]遂绥隧穗
t[3]嘴[5]最醉[6]队兑
tʰ[1]推催□{被水冲走}[3]腿[5]退脆蜕褪
ɗ[1]堆[5]对碓
n[3]□{掐}[5]□{植物蔫了}[6]内
l[1]□{一道，一行}[2]雷[4]儡磊累垒类[6]累泪
ts[1]追锥[5]缀[6]赘坠
tsʰ[1]吹炊
s[1]衰[2]谁捶锤垂槌[3]水[5]税[6]睡瑞帅
k[6]□{累}
kʰ[1]盔魁
ŋ[6]外
∅[1]灰恢徽煨[2]回茴[3]悔贿[4]会{~不~}[5]晦[6]汇会{~计}绘

#iuːi
ȵ[4]乳蕊
∅[5]□{植物郁郁葱葱的}[6]惠锐睿

#au
p[2]刨狍
pʰ[1]泡{~~}抛雹[3]跑[5]炮泡{~在水里}
ɓ[1]褒包胞鲍[3]饱[5]豹爆
m[1]猫[2]茅[锚]矛[4]卯[5]□{黑}[6]貌
f[6]□{~口：大口地咬一口}
n[6]闹
l[1]捞[3]□{搅拌}
ts[3]爪[找][5]罩笊{~篱}[6]骤
tsʰ[1]抄钞绰{~起棍子}[3]炒吵[5]□{吵着要某种东西}
s[1]梢捎□{沥水菜篮}[2]巢□{一群}[3]稍[5]潲[6]□{扔出去}
k[1]交郊胶[3]绞狡铰搅搞(搅)饺[5]教{~书}教{~育,~他去}校{~对}较窖觉{睡~}
kʰ[5]靠
ŋ[3]□{折断}[2]肴淆[4]咬
h[1]烤敲酵[3]考巧[5]孝
∅[1]坳[2]□{骚气}[5]□{争辩}[6]效校{~校}校{上~}

#iau
ȵ[1]□{抓，挠}[3]□{爪子}
∅[6]□{甩}

#uau
∅[3]□{叫，喊}

#iu
p[2]瓢[嫖]嫖赌
pʰ[1]飘漂{~流}[5]票漂{~亮}
ɓ[1]膘标表{手~}彪[3]表
m[2]苗描[4]藐渺秒[6]庙妙
f[1]消宵霄硝销悄萧箫[3]小[5]俏笑鞘[6]□{嚼，吃}
t[1]焦蕉椒樵[2]条[3]剿[6]醮调{~和}掉调{音~}调{~动}
tʰ[1]锹挑[5]跳
ɗ[1]刁貂雕丢[3]屌[5]钓吊
n[1]□{糯}[2]□{条状的东西很细，快要断了}[4]鸟[5]□{相隔两座山比较窄的地方}[6]尿
l[1]□{热~：痱子}[2]燎聊辽撩寥[3]□{绊（倒）}[4]了{明了}[5]□{缝（衣服）}[6]疗料廖
ts[1]朝{今~}昭招召[5]照诏[6]邵
tsʰ[1]超
s[1]烧[2]朝{~代}潮[3]少{多~}[5]少{~年}[6]韶赵兆沼绍
k[1]骄娇[2]乔侨荞桥[3]浇缴纠[5]叫[6]矫轿
kʰ[5]窍
ŋ[2]饶尧[3]扰绕[5]□{挖}
h[1]嚣侥[3]晓[5]□{撬起来，或使之翻滚}
∅[1]邀腰要{~求}幺吆[2]摇谣窑姚杳[3]妖[4]舀[5]要{重~}[6]耀

#əu
p[2]浮[6]埠(步)阜
pʰ[1]□{一~：量词，表示鼓鼓的一袋子}[3]剖[5]□{没用，白费}
ɓ[1]□{形容词，很圆}
m[1]踎蹲□{形容泥土很肥沃}[2]谋[3]□{形容木头已经腐朽}[4]某亩[5]□{谷~：没有长饱满的谷子，瘪的谷子}[6]牡茂贸谬
f[1]修羞[2]囚泅[3]搜飕馊搜否[5]嗽秀绣宿{星~}锈漱[6]就袖
t[1]邹掫[2]头投[3]走酒[5]奏凑皱绉[6]豆
tʰ[1]偷秋[3]敨[5]透
ɗ[1]兜□{棵}[3]斗{容器}抖陡[5]斗{~争}逗
n[1]嬲[3]纽{~约}扭[4]纽{~扣}[5]□{转动（扳手）}[6]□{指水有浑浊的状态}
l[1]溜[2]楼流留刘榴硫琉[4]柳[5]□{抚摸}[6]漏陋馏
ts[1]周舟州洲昼[2]求球仇{姓}[3]纣桀纣九久韭[4]肘臼舅咎[5]灸咒救究[6]旧柩
tsʰ[1]抽[3]丑[5]臭嗅{用鼻~}
ȵ[2]柔揉
s[1]收[2]绸稠筹愁仇酬[3]手首守[4]受[5]叟宙瘦兽[6]寿授售
k[1]鸠沟[3]狗苟[5]够[6]□{一~：一坨}
kʰ[1]沟[5]叩构购扣寇
ŋ[1]勾钩抠眍[2]牛[4]藕偶[6]□{~口：胸口闷，没有胃口}
h[3]口
∅[1]欧瓯[2]侯喉猴[3]呕殴[4]後厚后[5]沤怄[6]候

#iəu
ȵ[1]□{泥土或面粉的水分刚刚好}[3]朽□{头发凌乱}[5]□{皱}[6]悠□{浇水使土地湿润}
∅[1]丘休忧优幽[2]尤邮由油游犹[4]有友酉莠[5]诱幼[6]又右佑柚鼬釉

#am
p[6]□{地上被弄了很多水}
f[1]三[2]蚕惭[3]□{米~：把米炒了碾碎之后的粉末}[6]暂
t[1]簪[2]潭谭谈痰[4]淡[6]啖{量词}
tʰ[1]贪参[3]惨[5]探
ɗ[1]耽担{~任}[3]胆[5]担{挑~}
n[1]喃[2]南男[3]□{~水：用水瓢舀水}[6]□{形容拉直的东西没有了紧绷感}
l[2]蓝篮[3]览揽榄[5]□{跨}[6]滥缆
ts[3][砍]斩眨[5]□{~青菜：涮青菜}[6]站
tsʰ[1]杉[3]□{垃圾~：装垃圾的撮箕}
s[1]衫[5]渗
k[1]监{~视,~牢}[3]减[4]槛[5]尴鉴监{国子~}
ŋ[1]啱{刚刚；碰巧；对，正确}
h[5]喊
∅[1]□{强迫别人}[2]函咸咸[6]陷馅

#im
f[6]潜
t[1]尖[2]甜[6]垫(填)
tʰ[1]签添
ɗ[3]点[5]掂店
n[1]黏鲇□{~子：扒手}[3]□{一~叶：一片叶子}[6]念
l[2]廉镰帘[4]敛脸殓[6]□{小小的一片或薄薄的一片}
ts[1]沾粘瞻占{~卜}[5]占{~领}
ȵ[1]拈[2]严[4]染冉[6]验
s[2]蝉禅[3]陕闪
k[1]兼[3]检俭[5]剑
h[1]谦[3]险[5]欠歉
∅[1]淹阉[2]炎盐阎檐盐腌嫌[3]掩[5]厌艳[6]焰

#əm
m[3]□{小孩子对饭的叫法}
f[1]心[2]寻[4]□{叫他不应，或不愿意叫别人的状态}
t[5]浸[6]□{用力踩}
tʰ[3]□{哄骗}[5]□{镶嵌}
ɗ[3]□{撞}[5]□{~黑：淤青}
n[1]□{饭~：饭米粒}[2]□{果子因为成熟或要坏掉而变软，或食物煮烂等}[3]□{思考，想念}[5]□{用手摸向深处，如口袋、水里等}
l[1]□{挠痒痒而感到的痒}[2]林淋临[5]□{倒塌或倒闭}[6]□{一层层}
ts[1]针斟深今金襟[2]琴禽擒妗[3]枕锦[5]禁{~不住}禁{~止}
tsʰ[1]侵参{~差}[3]寝
s[1]森参{人~}[2]沉岑[3]沈审婶[5]□{鬼鬼祟祟地探头看}[6]葚甚
k[1]□{一会儿，不久的将来}[6]揞{揞住}揿{按}
kʰ[3]□{动词，盖，~被（盖被子）}
ŋ[2]□{高大的东西遮挡住了矮小的东西}[3]□{蹲}[6]□{探出（窗外）}
∅[3]□{~赌：打赌}[5]□{把菜放水煮一下}

#iəm
ȵ[2]任{姓}吟[3]饮{~酒}饮{~米汤}[6]任{责~}纫缝纫
∅[1]钦音阴荫[2]淫[6]□{~起张刀：挥起一把刀子}

#om
ɗ[1]□{将东西放稳在某一平面上}
l[1]□{圆}[3]□{花或菜没有完全开，很聚拢}[4]□{搂抱}
k[1]甘柑泔[3]感敢橄[4]□{这么}
ŋ[6]□{喋喋不休地训}
h[1]堪龛坎[5]勘
∅[1]庵[2]含[4]□{哑巴}[5]暗[6]撼憾

#iom
ȵ[1]□{用手抓}[3]□{~~笑：笑眯眯}
∅[6]□{~鱼：钓鱼}

#an
p[6]瓣办饭扮
pʰ[1]攀[5]盼
ɓ[1]班斑颁扳[3]板版[5]□{用棍子很大力地拍打}
m[1]□{动词，背的意思}[2]蛮[4]晚挽[6]慢馒漫幔万蔓
f[2]凡帆残烦矾繁[3]散{鞋带~了}[4]犯[5]散{分~}伞[6]范泛□{溅到}
t[2]檀坛弹{~琴}[3]掸□{分（一点）}[5]赞[6]但弹{子~}蛋
tʰ[1]滩摊餐[3]毯坦[5]炭叹
ɗ[1]丹单{~独}[5]旦诞
n[2]难{~易}[6]难{患~}
l[1]□{滚}[2]兰拦栏[4]懒[6]烂
ts[3]盏[6]赚绽栈
tsʰ[3]铲[5]灿
s[1]珊山删[3]产
k[1]艰间{空~,中~}奸[3]简柬拣茧[5]间{~断,~或}谏
ŋ[2]颜顽[4]眼[6]雁
h[1]□{节省}
∅[2]闲[5]晏[6]限

#ian
m[3]□{将膏体或液体挤出}
∅[3]□{向后弯腰}

#uan
k[1]鳏关[5]惯
∅[1]弯湾藩翻番藩[2]还{~原}还{~有}环[3]反贩[4]玩[6]幻患宦

#in
p[4]辫[6]便{~宜}辨辩汴便{方~}
pʰ[1]篇偏[5]骗遍片
ɓ[1]鞭编边蝙[3]贬扁匾[5]变
m[2]绵棉眠[4]免勉娩缅渑[6]面
f[1]仙鲜{新~}先[2]钱前[3]鲜{~少}藓[4]践[5]线[6]渐贱饯羡
t[1]煎[2]田填[3]剪[5]箭溅荐[6]电殿奠佃
tʰ[1]迁天千[3]浅[5]□{乱动}
ɗ[1]颠[3]典腆
n[2]年[3]捻撵捏
l[2]连怜莲[5]□{摔（跤）}[6]练炼
ts[1]毡[3]展[5]战
ȵ[2]然燃言研[3]碾
s[1]扇{动词}[2]缠[5]扇[6]善膳单{姓}禅{~让}
k[1]肩坚[2]乾虔掮[4]件[5]见[6]犍键建健腱
h[1]轩掀牵[3]遣显[5]宪献
∅[1]焉烟燕{~京,姓}[2]延筵贤弦[4]演[5]堰燕{~子}咽宴[6]谚砚现

#un
p[2]盘盆[4]伴拌
pʰ[1]潘[5]判叛
ɓ[1]般搬(般)[3]本[5]半绊
m[1]□{馊}[2]瞒(谩)门[4]满[5]闷
f[1]酸宣孙[2]全泉存[3]选损[5]算蒜[6]旋{~吃~做}
t[1]钻{动词}尊遵[2]团[3]□{头~：帽子}[5]纂钻{木用工具}
tʰ[1]村[5]寸
ɗ[1]端[3]短[4]断{~绝}[6]断{决~}锻段缎(段)椴
n[3]□{被蚊子咬后的小疙瘩}[4]暖[6]嫩
l[1]□{圆滚滚}[2]鸾[3]□{卷（起来）}[4]卵恋[6]乱
k[1]官棺观{参~}冠[3]管馆[5]贯灌罐观{~寺}冠{~军}
∅[1]宽欢[3]豌剜款碗[4]缓皖玩{古~,游~}[6]唤焕换

#yn
t[5]篆
l[2]联
ts[1]专砖[3]转{~眼,~送}转{~螺丝}[5]传{传记}
tsʰ[1]川穿[3]喘[5]串(穿)
ȵ[1]□{动词，钻}[2]原源□{在地上爬}[3]□{牙~：牙齿酸}[4]软[6]愿
s[2]旋传{~达}船[6]椽
k[1]捐绢[2]拳权颧[3]卷倦[5]眷券
h[1]圈{圆~}圈{猪~}喧[3]犬[5]劝
∅[1]冤渊□{冰冷}[2]完丸圆员缘沿铅元袁辕园援玄悬[4]阮宛远[5]怨[6]院县眩

#ən
p[2]贫频焚坟[6]笨份□{将泥土等物拨开}
pʰ[3]品[5]喷{~水}喷{~香,~嚏}
ɓ[1]彬宾槟殡鬓奔{~跑}锛奔{~头}[3]禀[6]粪
m[1]文{十角}[2]闽民文纹蚊闻[4]悯敏抿吻刎[6]问
f[1]辛新薪熏勋薰荤[2]秦荀旬循巡[4]尽愤忿[5]信讯迅殉训[6]奋
t[1]津榛臻[2]屯豚臀囤钝[3]□{随便}[4]盾[5]进晋俊[6]沌遁
tʰ[1]吞亲{~人}亲{~家}饨[5]□{解开}
ɗ[1]敦墩[3]顿[5]□{碰一下}
n[1]□{~田：人工或用牛将稻田的泥土踩烂}[3]□{多指钱被用来买华而不实的东西，并且一点点被花光}[5]□{用棍子将两个连在一起的东西分开}
l[1]□{寻找}[2]邻鳞磷伦沦轮[3]□{躲藏}[4]□{满}[5]□{提起，谈论起}[6]论{~语}仑论{议~}
ts[1]珍真巾斤筋[2]勤[3]诊疹紧仅谨准[4]近[5]镇振震[6]阵
tsʰ[1]春[3]蠢[5]趁衬
ȵ[6]刃认韧
s[1]身申伸娠[2]陈尘神辰晨臣唇纯醇[4]肾[5]□{由痛苦而引起的呻吟}[6]慎顺舜
k[1]跟根[2]芹□{斩}
kʰ[3]□{一段一段}
ŋ[2]银[6]□{闻起来或尝起来让人头痛不舒服的味道}
h[3]恳垦啃很
∅[2]痕[5]□{睡觉}[6]恨

#iən
ȵ[1]□{形容很调皮又很犟}[2]人仁[3]忍[4]□{饭菜很油腻，吃得很腻想反胃}[6]润闰
∅[1]恩因姻湮欣殷[2]寅[3]隐[4]引[5]印孕

#uən
k[1]均钧君军[2]群裙[3]滚[4]菌[5][棍][6]郡
kʰ[1]昆坤[3]捆[5]困
∅[1]昏婚温瘟分芬纷[2]魂馄浑匀云晕[3]稳粉[4]允尹[5]□{关（起来）}[6]混熨韵运

#oᵃn
s[4]□{舔}
k[1]干肝干{~湿}[2]□{芋头不粉的那部分的口感}[3]杆秆稻秆擀竿[赶]
ŋ[6]岸
h[1]看{~守}[3]罕[5]看{~见}汉
∅[1]安鞍[2]鼾寒韩[4]旱[5]按案[6]汗焊翰

#ioᵃn
ȵ[1]□{~粗：粗糙}
∅[4]□{坡度过大（通常指人为做的）}

#aŋ
p[2]□{跟“棚”接近}
pʰ[1]□{饭~：饭盒}
m[1]□{~直：拉直}[2]盲[3]□{蚂蚱}[4]猛孟[5]□{破，缺了个口}
n[6]□{儿~：小孩子}
l[3]□{形容小鸡小鸭等羽毛开始丰满并且行动便捷的状态或幼儿比刚出生时长大了一点的状态}
ts[1]争筝睁[4]澄橙
tsʰ[1]□{炒菜的锅}[5]撑
s[1]生牲笙甥[3]省{~长}[4]□{踢}
k[1]更{~换,五~}庚羹耕[4]□{~虫：臭虫}
ŋ[6]硬[3]□{耳朵~：耳蜗}
h[1]坑
∅[1]□{玻璃、陶瓷或铝材质的罐子}[2]行[6]幸

#uaŋ
k[3]梗[5]□{拴住（门）}
∅[2]弘横{~直}横{蛮~}[6]□{横梁}

#eŋ
p[2]平坪评瓶屏萍[4]并{~且}[6]病
pʰ[1]□{烧烤~：烧烤架}[3]□{一~：一饼}[5]拼聘姘
ɓ[1]冰兵[3]丙秉饼并{合~}[5]柄
m[1]□{披}[2]鸣明名铭[3]皿[6]命
f[1]星腥[2]情晴[3]省{反~}醒[4]静靖[5]性姓[6]净
t[1]精晶睛[2]亭停廷庭蜓[3]井[4]艇挺锭(铤)[6]定
tʰ[1]清厅青蜻[3]请[5]听
ɗ[1]丁钉靪盯[3]顶鼎[6]订{~约}
n[1]□{嗉囊}[2]宁[4]□{乳房}[6]佞
l[2]陵凌菱灵零铃伶拎翎[3]□{本来有水分的东西慢慢散失水分}[4]领岭[5]□{爬到危险的高处}[6]令另
ts[1]征蒸贞侦征[3]拯整[5]证症(证)正政[6]郑
tsʰ[1]称{~呼}称{相~}[3]逞[5]秤
s[1]升声[2]澄惩乘绳蝇承丞呈程成城诚盛{~满了}[5]胜圣[6]剩盛{兴~}
k[1]京荆惊鲸经[2]擎[3]境景警颈[5]敬竟镜[6]竞劲径琼
kʰ[1]倾[3]顷
ŋ[2]仍凝迎
h[1]轻馨兄卿磬[5]兴
∅[3]□{短时间浸泡}[5]□{应答}

#ieŋ
ȵ[1]□{旧时对“哥”的一种称呼}
∅[1]应{~当,~用}鹰莺鹦樱英婴缨[2]盈赢形型刑萤荥[3]影[5]应{~对,响~}映

#ueŋ
k[3]迥
∅[2]荣营[4]永泳咏颖[5]扔

#øᵃŋ
p[2]滂旁螃房[6]谤傍
pʰ[5]镢
ɓ[1]帮邦[3]榜绑
m[1]芒[2]忙茫亡[4]莽网辋妄[6]忘望
f[1]桑丧{~事}嗓[2]藏{隐~}防[3]仿访[5]丧{~失}[6]藏{西~}脏
t[1]赃[2]堂棠螳唐糖塘[5]葬[6]荡
tʰ[1]汤仓苍[3]倘躺[5]趟
ɗ[1]当{~时,应~}[3]党当(挡){阻~}[5]当{~作,典~}
n[1]□{脚~：小腿肚}[2]囊瓤[5]□{一只手借助支撑，另一只手尽其所长去够着某物的动作}
l[1]□{狗~：狗洞}[2]郎廊狼螂[3]□{~嘴：漱口}[4]朗[6]浪
ts[1]庄装桩[6]壮状撞
tsʰ[1]疮窗[3]闯(抢)[5]创
s[1]霜孀双[2]床[3]爽
k[1]冈岗刚纲钢缸江豇[3]讲港[5]钢{刀钝了,~~}降{下~}[6][杠]
kʰ[1]扛[5]抗
ŋ[1]□{大声呵斥}[3]□{东西在柜子里放久了的那股味道}[4]昂[5]□{傻}
