#ɿ
tsɿ ①之芝猪诸朱诛蛛珠株支枝肢知蜘栀资咨姿兹孶滋脂辎鲻智{新}子{~弹}锥{~钻}孜 ③子只{~有}旨指梓滓籽仔主拄{~臂}煮址趾嘴姊紫纸 ⑤注蛀驻制至致志痣疰帜质{人~}智挚恣铸翅{又音}著止
sʋ ①苏疏蔬梳须{株~：根须；~牙：胡须}酥蓑唆梭 ③数{动}锁琐所 ⑤索诉数{名}塑溯□
zʋ ②□{病人软弱无力} ④坐 ⑥座
kʋ ①哥歌锅蜗沽姑估{又音}箍孤戈过{~头}菇辜 ③古估果裹股鼓臌 ⑤个{~体}过{经~}故固顾雇
kʰʋ ①科枯棵颗窝窠库{新}苛 ③苦可 ⑤库裤课
ŋʋ ②俄娥蚍鹅梧讹 ④我 ⑥饿卧悟晤
xʋ ①呼烀{~馒头} ③火伙虎浒{水~} ⑤货戽荷{薄~}□{~纱：络纱}
xɣʋ ②河何荷{~花}和{和气}禾 ④祸 ⑥贺和{拌和}
ʋ ①污阿{~胶}乌□{傻、愚}□{陷于污泥}乎倭窝{~藏}涡 ⑤恶{厌~}焐
vʋ ②吴蜈胡葫蝴湖糊狐弧壶讹{又音} ④五伍 ⑥户沪护午误坞伍{队~}互

#ie
nie ②男南 ④□{不计较食物优劣都能吃；货物未经筛选：~货}
tsie ①簪
tsʰie ①参氽 ③惨 ⑤掺{少量加进}
dzie ②挦{从口袋中或洞中取东西}
sie ①奢 ③舍{~弃}糁{饭米~} ⑤舍{房~}
zie ②蚕 ⑥社射
kie ①甘泔柑{~桔} ③感敢㔶{盖}
kʰie ①堪龛{佛~} ③坎砍 ⑤勘
ŋie ②岩癌 ④俨{又音}
xie ①酣柑{~子}蚶 ⑤□{摇~：告吹}
xɣie ②含函涵 ⑥憾撼
ʔie ①庵盫{覆盖} ③埯{用于点种的量词}揞{用手覆盖} ⑤暗
pie ①编蝙编煸遍边鞭搬篦 ③扁匾{~额}贬 ⑤半变匾{浅而圆的竹器}
pʰie ①偏遍{旧}篇翩扁{~舟}拚潘 ⑤骗片判□{劳烦：~你费心}□{~火：风吹动火苗}
bie ②骈盘磐{氵盘，溢出：~水}蟠便{~宜} ④辨辩辫{动}拌 ⑥卞汴伴叛便{方~}辫{名}绊
mie ①免 ③勉冕 ②棉绵眠瞒馒鳗鞔{~绢筛}絻{~档裤} ④满 ⑥而缅娩□{把竖直的东西放平}
fvie ④范{姓} ⑥□{深加思忖，体味}
ʋie ①缓{宽限：推迟} ③碗缓婉惋宛豌 ⑤腕
vie ②丸完桓 ⑥玩换皖
tie ①颠巅癫㴷{把物体放在水中湿润一下}端{~阳}掂 ③踮典碘点 ⑤踮{又音}店掂{又音}
tʰie ①天添贪 ③舔 ⑤舚{舌头伸出口外}掭
die ②田甜钿填坛{~子}潭 ④电垫{垫款} ⑥佃垫{~高}甸殿奠淀
lie ②廉镰帘连莲鲢怜联 ④脸敛{收拾：拿物事~~好} ⑥敛殓练炼脸{又音}恋楝
tɕie ①尖兼搛{~菜}艰间奸煎湔{洗}笺肩坚锡䥛{镰刀：小~} ③检简剪柬茧趼 ⑤剑间{~断}箭谏建见荐溅涧牮{把倾斜的房子矫正}鉴毽
tɕʰie ①千迁歼签谦牵且锓{刻}椠 ③浅 ⑤欠纤{~绳}芡歉
dʑie ②钳钱乾{~坤}虔掮前全旋泉潜 ⑥渐践贱羡件俭健键藉{凭~}饯
ȵie ①研拈粘捻 ②年严阎妍罱 ④验染碾{动}俨 ⑥砚验{又音}廿念谚碾{名}
ɕie ①鲜仙轩先宣籼喧掀 ③险鲜{少}显癣洗选苋纤{~维}献 ⑤线宪腺
ʑie ②钱全前旋□{（燅手）上下组合成一个字，拔（毛发）：~鸡毛}涎 ⑥贱旋{~头}
ie ①也焉蔫烟胭咽{~喉}燕{~山}腌 ③掩 ⑤厌咽{动}宴晏燕{~子}雁野淹暗{又音}䞁{以两物较长短}
ɦie ②言延筵弦盐贤沿{顺着（路）}咸{皆}嫌颜炎芫{荽} ⑥焰陷夜液演现艳沿{边：河~}腌冶

#ʋie
kʋie ①官棺观冠{衣~} ③管馆罐盥 ⑤贯灌冠{~军}观{道士~}
kʰʋie ①宽 ③款
xʋie ①欢獾

#uø
tuø ①丹单端 ③短掸 ⑤锻断{决~}簖
tʰuø ①滩摊瘫毯 ⑤叹炭探{摘取、折卸}
duø ②团弹{~琴}坛{讲~}檀 ④断{~绝} ⑥段缎蛋弹{子~}断{截开：~一段木头}
nuø ①囡 ②难{困~} ④暖 ⑥难{灾~}
luø ①拦而 ②拦{又音}栏鸾孪儿 ④卵{阴茎} ⑥乱二
tsuø ①占{~卜}沾钻{动}毡专砖詹瞻 ③辗转{~移} ⑤钻{名}转{动}占{~有}战赞颤展
tsʰuø ①川穿氽{又音}餐 ③喘阐谄 ⑤灿串窜篡
dzuø ②传{~达}椽缠 ④缠{寻人闲事：搭伊~} ⑥篆传{~记}缠{~绕}
suø ①扇{动}煽酸闩栓拴苫{名} ③闪伞陕散{~文} ⑤散{分~}算蒜苫{动}扇{名}骟
zuø ②船然燃蝉禅{~宗}蟾 ④□{心不定，多动} ⑥冉善膳鳝缮染单{姓}擅篅{~条}禅{~让}
kuø ①干{~湿}竿杆{电线~} ③干{动}赶擀杆{笔~} ⑤干{能~；主~}
kʰuø ①看{~守} ⑤看{~见}
ŋuø ⑥岸
xuø ①欢獾 ③罕 ⑤汉熯唤焕涣痪
xɣuø ②寒韩 ④旱 ⑥汗捍焊悍鼾
uø ①安鞍氨 ⑤按案晏{晚}

#yø
tɕyø ①捐娟鹃涓 ③卷{动} ⑤卷{名}绢眷
tɕʰyø ①圈{圆~} ③犬 ⑤劝券
dʑyø ②拳权颧蜷鬈 ④圈{猪圈}倦{无法排遣时间} ⑥倦
ȵyø ②元原源圆{~月} ④软 ⑥愿
ɕyø ①揎{打：~耳光}喧{又音} ⑤楦
yø ①冤鸳渊□{折叠} ③苑 ⑤怨
ɦyø ②元员圆原源袁猿园缘援玄悬眩炫 ④远 ⑥院县阮

#ɛɪ
pɛɪ ①擘{用拇指和中指张开的长度来度量} ③摆 ⑤拜
pʰɛɪ ②排 ⑥败
mɛɪ ②埋㜥{姆~：母亲} ①买 ⑥卖
ʋɛɪ ①歪{~头笃颈}喂
vɛɪ ②怀淮 ⑥外坏
tɛɪ ①獃 ③逮{捉}□{说捧场话以讽刺：你~我} ⑤带戴□{不小心被戳着：衣裳~破特}
tʰɛɪ ①胎苔{舌~} ③态□{不吝啬，大方：~气} ⑤太□{套：~特脚浪}泰
dɛɪ ②台抬苔 ④待怠 ⑥待{又音}怠{又音}代袋贷逮□{搁置或两头钉住之物中间下垂}
nɛɪ ①乃 ②□{现在} ⑥耐奈
lɛɪ ②来莱 ⑥睐
tsɛɪ ①灾栽哉 ③宰载{年~} ⑤再载{装~}
tsʰɛɪ ①猜揣 ③采彩踩睬 ⑤菜
dzɛɪ ②才材财豺 ④在
sɛɪ ①衰腮鳃塞{把纸~进书包里} ⑤帅赛塞{边~}
zɛɪ ②裁侪{都} ④罪{~过} ⑥傤{~船}若{~话}
kɛɪ ①该赅 ③改 ⑤概溉丐盖
kʰɛɪ ①开 ③凯 ⑤慨隑{~背椅子}
gɛɪ ④□{~气：打饱嗝} ⑥隑{又音}
ŋɛɪ ②呆 ⑥碍艾
xɛɪ ①咍 ③海
xɣɛɪ ②孩喊侪{都}谐 ④咳{叹} ⑥害亥骇
ɛɪ ①哀 ⑤爱蔼霭还{又音，~有，~要}
ɦɛɪ ②还{~有，~要}埃谐 ④唉 ⑥懈

#iɛɪ
ɦiɛɪ ②埃{又音}谐 ⑥械懈

#ʋɛɪ
kʋɛɪ ①乖 ⑤怪
kʰʋɛɪ ①□{凭能力对付人或事：~得住，~勿住} ⑤快
xʋɛɪ ③□{自鸣得意的样子}

#ɪæ
pɪæ ①班斑颁般扳掰{用手将东西分成几爿或折成几段} ③板版扮瓣 ⑤绊
pʰɪæ ①攀 ⑤襻{纽~}鋬盼
bɪæ ②爿□{（並足）上下合并为一个字} ⑥办
mɪæ ①蛮{副} ②蛮{凶狠} ④晚{~娘，~稻} ⑥慢漫谩蔓曼万迈
fɪæ ①番翻幡 ③反返 ⑤泛㽹{恶心：心~}贩
fvɪæ ②樊藩凡帆矾烦繁 ④犯 ⑥饭范{规~}万
ʋɪæ ①弯湾 ③挽 ⑤晚幻患宦湾{台~}绾{~子：发髻}
vɪæ ②还{归~}
tɪæ ①耽担{动} ③胆 ⑤担{名}旦诞
tʰɪæ ①坍{又音}毯{新}胎{轮~}滩{又音} ③坦袒 ⑤坍探
dɪæ ②潭谭谈痰昙 ④淡氮但 ⑥□{（竹淡）上下组合成一个字，~篮：篮子}但{又音}
nɪæ ①拿 ②拿{又音} ⑥□{不顾对方意愿，硬要把东西送给或卖给人}
lɪæ ①褴{~□（（巾彡）左右合并为一个字）：衣服破烂} ②褴{~褛}篮蓝兰栏拦澜榄 ④懒 ⑥滥缆览揽烂赖
tsɪæ ①斩{俗写字。切：~肉} ③斩崭盏 ⑤蘸
tsʰɪæ ①搀餐{吃一~}菜{小~}□{推} ③产铲 ⑤忏
dzɪæ ②馋谗残惭 ④赚巉{陡} ⑥站暂栈绽寨撰馔□{~蝍：蟋蟀}
sɪæ ①三衫□{（巾彡）左右合并为一个字，褴~}山珊删姗舢杉 ③杉{又音} ⑤疝产{~放、~子}栅{编排}
zɪæ ②涎{口水：~唾}
kɪæ ①监尴间奸艰搛 ③减裥拣橄柬 ⑤碱鉴{纲~}间{隔开}锏□{~屁股}
kʰɪæ ①刊铅 ③舰槛 ⑤嵌
gɪæ ②□{夹、卡：~住特出勿来}
ŋɪæ ①眼{~~：刚才；刚巧} ②颜衔{官~} ④眼 ⑥颜{调配{颜色}：~开点}
xɪæ ①□{不听使唤} ⑤喊
xɣɪæ ②闲衔{~接}咸{~淡} ④限

#ʋɪæ
kʋɪæ ①关鳏莞{~草} ③□{瞥：~见} ⑤惯
kʰʋɪæ ⑤筷
gʋɪæ ②顽环 ④掼 ⑥环{耳饰}□{披、排：~车被，~篮}
ŋʋɪæ ②顽{又音}
xʋɪæ ①□{小孩文静听话}□{老年人安康} ⑤甩{俗用字。摔动}

#ɑˠ
pɑˠ ①爸 ③摆 ⑤拜
pʰɑˠ ①派{~司} ⑤派
bɑˠ ②排牌㵺{筏：竹~}筏{竹~} ④罢 ⑥败稗
mɑˠ ①妈 ②埋 ④买 ⑥卖
ʋɑˠ ①歪{~门邪道}娃
vɑˠ ②槐淮 ⑥坏
tɑˠ ①□{那么些，这么些：就~个} ⑤带戴
tʰɑˠ ①他拖{耷拉、拖曳}太{~ ~} ⑤泰太{~平}
dɑˠ ②□{移动；挪借} ④□{用于称鱼的一种船形篮子}□{形容行进的步伐迟缓}□{摆动或抖动} ⑥大汏{洗}埭{行、排；名词，指自然村}
nɑˠ ①那哪 ②拿挪 ④奶 ⑥艿{芋~}
lɑˠ ①拉 ②拉{~尿~恶}喇{~叭}垃 ④攋哪{~里} ⑥赖{抵~}辣癞
tsɑˠ ①斋□{看、望}遮{奢(ɕiɑˠ)~：聪明} ③□{粘着落不下} ⑤债
tsʰɑˠ ①差{出~}扯{撕，拉} ③扯{调配均匀} ⑤蔡
dzɑˠ ④□{屁股往后撅}□{~吼：事情没有指望} ⑥□{大小便的动作}
sɑˠ ①筛 ③洒耍撒 ⑤□{魂魄：魂~}
zɑˠ ②柴□{别脚的：~货} ④惹□{因惊恐而腿哆嗦} ⑥麝撒{又音。~灰}
kɑˠ ①家加嘉阶胛{肩~}街枷 ③解假{真~}戒{~烟} ⑤庎{碗橱}芥架价界疥尬嫁驾解{~款}戒解{用锯锯木}
kʰɑˠ ①楷揩卡 ⑤快{~活}
gɑˠ ②茄稭{麦~}□{擦} ④懈{松懈}澥{糊状物或胶状物由稠变稀} ⑥骱{关节}□挤入缝隙
ŋɑˠ ②牙芽蚜衙捱{拖延}牙{啃} ④外 ⑥捱{又音}砑□{~食：馋食人家的东西}□{虫咬蔬菜}
xɑˠ ①哈劐{割} ③蟹 ⑤何{什么}
xɣɑˠ ②鞋蛤{~蟆} ④何{又音。什么：~物事}
ɑˠ ①挨啊□{~子：蛤蜊}□{~锹}阿{~姨：对女性长辈的一种新的称呼}鸦{~片} ③矮 ⑤□{划开：~豆腐；份：三~里一~}

#iɑˠ
tiɑˠ ①爹 ③嗲
tɕiɑˠ ①家加嘉阶佳皆枷 ③假{真~}姐解戒{~烟}贾{姓} ⑤介界价届解{~款}架疥借驾嫁
tɕʰiɑˠ ①□{倾侧：~头} ⑤笡{倾斜}
dʑiɑˠ ②瘸揵{能干} ⑥藉{凭~}
ȵiɑˠ ④让{~当：乘势让开}
ɕiɑˠ ①奢{~遮(tsɑˠ)：聪明}些{旧} ③写 ⑤泻卸
ʑiɑˠ ②斜邪 ⑥谢
iɑˠ ①鸦涯崖□{悄悄退走；偷偷靠近}呀 ⑤亚雅
ɦiɑˠ ②霞爷瑕 ④也野下冶 ⑥夜夏下{又音}

#ʋɑˠ
kʋɑˠ ①乖 ③拐 ⑤怪
kʰʋɑˠ ⑤快
gʋɑˠ ④瘸{行走不便的样子}
xʋɑˠ ①歪 ③□{偏离：~出去}

#ɔo
pɔo ①包胞苞褒 ③保堡宝饱 ⑤报豹爆暴{风~}
pʰɔo ①拋泡{灯~}脬 ⑤炮泡{~茶}疱鳔
bɔo ②跑袍咆 ④抱 ⑥鲍刨雹□{没有熟透：菜太~；新：初来~到}暴爆{~炸}
mɔo ②毛猫茅矛{新} ④□{莽撞：做事体奥~} ⑥冒帽卯貌牡铆
tɔo ①刀叨{唠~} ③岛捣祷倒{~下} ⑤到倒{颠~}
tʰɔo ①滔绦叨{~光} ③讨 ⑤套
dɔo ②逃桃淘陶萄啕涛掏 ④稻 ⑥盗导道蹈悼□{搅拌：拿粪~一~}
nɔo ①拿 ②拿{又音}铙挠 ④脑 ⑥恼闹淖
lɔo ①捞{~铜钿}唠{~叨} ②劳痨捞{从液体中取物}唠{~叨：幼儿学语}□{（劳少）左右合并，~□（（曹少）左右合并）：琐碎的杂物} ④老 ⑥佬恅{懊~}□{腌制}
tsɔo ①遭糟朝{今~}招沼抓{~叮人：抓痒} ③早枣蚤澡藻爪找{~铜钿：退有余，补不足} ⑤灶照罩躁噪找{寻}
tsʰɔo ①抄钞{又音}操超剿 ③草吵炒 ⑤钞糙□{擦}
dzɔo ②巢朝潮嘲 ④赵造
sɔo ①梢稍捎蛸{~蜞}筲{~箕}烧骚臊缫 ③少扫{动}嫂 ⑤扫{~帚}少{年轻}燥哨□{（忄叜），豪~}稍{又音}
zɔo ②曹槽嘈饶娆韶□{（曹少）左右合并，□（（劳少）左右合并）~：琐碎的杂物}□{（疒禾）左右合并为一个字，心~：饥饿感} ④造 ⑥兆皂召绍邵扰绕
kɔo ①高膏篙羔糕交胶铰鲛皋睾茭 ③搞绞稿 ⑤告窖觉{醒}搅教酵较{~准}□{糟蹋（东西）}
kʰɔo ①敲拷{~边} ③考拷{~打}烤铐 ⑤靠洘{~水}犒
gɔo ②螯 ④绞{两件事物纠缠在一起} ⑥□{牙~：牙关}
ŋɔo ②熬敖螯 ④咬 ⑥傲
xɔo ①蒿耗□{~人：哈喇味} ③好{~坏} ⑤好{爱~}孝
xɣɔo ②豪嚎壕毫号{呼~} ⑥号{~数}浩㩝{用量具约略测定数量}
ɔo ①拗{折：~断} ③拗{用臂弯担负重量} ⑤奥懊袄
ɦɔo ②□{表示接受任务立即行动的应答之辞} ④□{表示允诺}

#iɔo
piɔo ①标膘表{钟~}彪滮{液体从小孔或缝隙里急速射出} ③表裱婊
pʰiɔo ①飘漂{~流}螵 ③漂瞟 ⑤票鳔
biɔo ②瓢嫖薸{河~草}
miɔo ③藐渺 ②苗描猫杪{末梢} ⑥妙庙瞄秒缪
tiɔo ①刁凋雕碉貂屌 ③扚{拉}鸟{得木~} ⑤钓吊铫{~子}
tʰiɔo ①挑佻 ③□{给以意外的好处：~~你} ⑤跳粜眺
diɔo ②条调{~和} ④调{~换}掉{~头} ⑥调{曲~}□{（土宨），俗用字，一~田}掉{又音}
liɔo ②辽疗燎僚嘹镣了{~解}聊潦 ④了 ⑥料廖了{又音。~解}
tɕiɔo ①交胶郊姣蛟娇骄焦蕉浇椒 ③绞狡饺皎矫侥缴 ⑤叫教较校{~对}
tɕʰiɔo ①锹缲跷撬□{卷起（衣袖）}悄{~ ~} ③巧悄{又音} ⑤俏窍峭诮翘{~尾巴}帩
dʑiɔo ②乔侨桥荞憔樵瞧翘 ④撬{又音} ⑥轿
ȵiɔo ③鸟尿 ②饶 ④娆{无休止地提出过分的要求} ⑥绕{~线}
ɕiɔo ①消宵霄销硝逍萧箫嚣枭□{（氵枭），薄~}□{掀} ③小 ⑤笑孝酵肖哮啸晓
ʑiɔo ②肴{~肉}
iɔo ①么吆要{~求}腰妖夭邀 ⑤要
ɦiɔo ②肴{~馔}摇遥谣窑淆瑶尧姚 ④舀杳 ⑥校耀效鹞{风筝：~子}

#uo
puo ①巴芭笆疤粑把{~脉} ③把 ⑤坝霸把{柄}
pʰuo ①□{向四面铺开：~开来} ⑤怕
buo ②巴{下~}琶杷耙爬扒 ⑥䶕{~牙齿}罢{~免}
muo ①□{精细筹划，抓紧：~结仔做}马{~上} ②麻 ④马 ⑥骂码蚂
tsuo ①查{姓}渣楂遮抓 ⑤诈榨炸窄{又音}蔗奓{上衣腰以下向外叉}
tsʰuo ①钗杈车差{~错}叉 ③叉{用手丫将人支起} ⑤岔诧
dzuo ②查茶蛇佘 ⑥昨乍
suo ①沙砂纱赊傻 ③舍赦□{~ ~：把东西给人又立即收回，有诓骗的意味} ⑤晒舍{环筒~}
zuo ②佘{又音} ④喏{唱~} ⑥□{宁可：~尽}
kuo ①瓜 ③寡 ⑤挂卦褂
kʰuo ①夸垮□{卡：~喉咙} ③□{衣衩} ⑤跨
guo ④□{状，呕吐声} ⑥□{状，公鸡鸣叫声}
ŋuo ④瓦
xuo ①花虾劐{又音}呵{~气} ⑤化□{~吃吃：胳肢}
xɣuo ④下 ⑥夏
uo ①鸦桠桠{强以物予人，强人接受}蛙洼搲{抓取}丫{~头：女孩} ⑤垩{施肥}哑
ɦuo ②哦{叹词，表示恍悟}华划{~船，~算}霞{夜~}哗{喧~} ④哦{叹词，表示领会} ⑥话画

#œ
œ ①儿{又音}而{又音}
ɦœ ②儿而 ⑥二耳

#ɵɯ
pʰɵɯ ①剖
mɵɯ ①每 ②谋矛{旧}牟 ④某 ⑥亩茂贸牡
fɵɯ ①浮{轻~} ⑤否
fvɵɯ ②浮 ⑥阜复{再}
tɵɯ ①兜 ③斗{升~}抖蚪陡 ⑤斗{~争}
tʰɵɯ ①偷 ③㪗{~气}□{爱出头露面} ⑤透
dɵɯ ②头投骰 ④□{受委屈而得不到解决，十分苦闷} ⑥痘窦豆逗
nɵɯ ④□{~事：有意滋生事端}
lɵɯ ②楼喽蝼留瘤 ④□{搅拌} ⑥陋漏篓瘘
tsɵɯ ①州洲周舟邹 ③走帚肘 ⑤奏昼咒绉
tsʰɵɯ ①抽 ③□{用鞭状的东西敲打} ⑤臭凑丑
dzɵɯ ②柔蹂揉愁绸惆稠筹酬仇{~恨}抽踌 ⑥售授纣宙骤绶
sɵɯ ①收搜馊 ③手守首叟溲兽 ⑤瘦嗽漱
zɵɯ ②愁就 ④受□{（禾聚），积聚} ⑥寿授{又音}
kɵɯ ①勾沟钩 ③狗苟 ⑤够构购锯媾
kʰɵɯ ①抠眍 ③口 ⑤扣叩筘寇
gɵɯ ②□{向内蜷曲}
ŋɵɯ ④藕钮{~子}偶 ⑥偶{又音}
xɵɯ ①齁 ⑤鲎{虹}吼
xɣɵɯ ②侯猴喉 ④厚后{前~} ⑥后{皇~}候
ɵɯ ①欧殴讴瓯鸥 ③呕 ⑤□{弯下腰的动作}

#iɵɯ
miɵɯ ⑥谬
tiɵɯ ①丢
liɵɯ ①溜 ②流硫琉留瘤榴刘浏 ⑥柳溜{话~}
tɕiɵɯ ①纠赳鸠揪□{（髟酉）上下合并成为一个字，发髻} ③九久酒韭 ⑤救究皱灸疚㾭{缩}
tɕʰiɵɯ ①秋丘邱蚯恘{劣}鳅□{（艹区）上下合并成为一个字，乌~} ③揪{又音}
dʑiɵɯ ②求球裘虬仇{姓}囚泅就酋 ⑥就{到：~职}旧臼舅桕袖柩
ȵiɵɯ ①揉{~眼睛}忸 ②牛 ④扭纽钮{姓}
ɕiɵɯ ①修休羞 ③□{~壶：锡酒壶。~，锡酒的合音}□{~干：不烘不晒，慢慢蒸发去水分} ⑤秀绣锈嗅{闻}宿{星~}朽
ʑiɵɯ ④□{动，活动，乱动} ⑥袖{又音}
iɵɯ ①忧优悠幽 ⑤诱莠幼
ɦiɵɯ ②由油邮尤犹游 ④有又 ⑥右佑友酉

#ei
pei ①蓖杯卑碑裨{~益}悲彼背{拉：~纤} ⑤贝背褙辈
pʰei ①胚坯呸 ③□{轻轻拨动：~一~} ⑤丕配沛辔
bei ②陪培赔裴徘 ④痱□{挑松翻动} ⑥倍备佩被{介}陛{又音}悖背{~光}
mei ①每{又音} ③妹 ⑤美 ②梅媒煤霉枚玫莓 ⑥昧寐谜{~~子：谜语}
ʋei ①煨萎威 ③猥 ⑤会{动}委畏喂{~奶}
vei ②回茴危为{作~}违围伪圩{又音}帷韦蛔 ④唯{~~} ⑥汇会{名}位卫为{介}伟苇胃谓惠彗慧魏慰纬
tei ①堆 ⑤对碓
tʰei ①推 ③腿 ⑤退褪{~色}
dei ②颓 ⑥队兑
nei ④馁 ⑥内
lei ①擂 ②雷痛癗{风疹~}累{~赘}□{食物不消化引起的胃部积滞的感觉} ④□{用石磙碾压} ⑥磊垒儡累{~记}类擂{~鼓}□{沾污}礌{石~}
tsei ①追锥椎 ⑤缀最醉赘
tsʰei ①吹炊崔催摧 ③□{~麦趟} ⑤脆翠
dzei ②垂锤棰捶谁随隋 ④罪 ⑥睡瑞蕊粹萃悴瘁隧坠穗芮
sei ①虽绥 ③水 ⑤碎岁税锐说{~客}祟
zei ②随
kei ①裾{衣裳~}䝻{积贮：~家当}居{积贮：~家当} ⑤锯{旧}
gei ④徛{站立}
ŋei ②鱼危
xei ①虛{肿} ③许{许诺}

#ʋei
kʋei ①归规轨圭闺龟瑰 ③鬼诡 ⑤贵桂癸会{~计}绘桧鳜侩
kʰʋei ①奎魁亏盔恢{旧}窥刽 ③傀 ⑤块
