调值	[1]21(阴平阳去   [2]45 阳平   [3]213 上声  [5]44 阴去  [7]4 阴入  [8]45 阳入  [0]0 轻声)		
墨	mɔʔ	8	
脉	mɔʔ	7	
麦	mɔʔ	8	
妹	məi	1	
霉	məi	2	
媒	məi	2	
梅	məi	2	
眉	məi	2	
温	məŋ	1	白，~汤水
明	məŋ	2	白，~朝
焖	məŋ	1	
闷	məŋ	1	
门	məŋ	2	
么	məŋ	0	要~
没	məʔ	8	
木	mɤɯ	1	文，~鱼
拇	mɤɯ	3	
亩	mɤɯ	3	
母	mɤɯ	3	
沫	mɤɯ	3	
蘑	mɤɯ	2	
磨	mɤɯ	1	~子
磨	mɤɯ	2	
模	mɤɯ	2	
摸	mɤɯ	1	文
么	mɤɯ	1	
庙	miɔ	1	
麪	miɪ̃	1	
面	miɪ̃	1	
棉	miɪ̃	2	
蜜	miɪʔ	8	
命	miŋ	1	
明	miŋ	2	文
名	miŋ	2	
□	miŋ	2	浮~草：浮萍
卖	mʲɛ	1	
买	mʲɛ	3	
埋	mʲɛ	2	
慢	mʲɛ̃	1	
蛮	mʲɛ̃	1	副词
蛮	mʲɛ̃	2	不讲理
薇	mɿ	2	白，蔷~花
米	mɿ	3	
眉	mɿ	2	存疑
漫	mʊ̃	1	
满	mʊ̃	3	
鞔	mʊ̃	2	填平
馒	mʊ̃	2	
沫	mʊʔ	8	
那	na	5	
哪	na	3	
拿	na	2	
掿	nɑʔ	8	揉搓
脑	nɔ	3	
弄	nɔŋ	1	文
脓	nɔŋ	2	
浓	nɔŋ	2	
揉	nəi	2	~眼睛
纽	nəi	3	
侬	nəŋ	3	你
能	nəŋ	2	
嫩	nəŋ	1	
女	nʮ	3	
捺	niæʔ	8	
奶	nʲɛ	3	
奶	nʲɛ	1	
难	nʲɛ̃	2	
难	nʲɛ̃	1	
暖	nʊ̃	3	
南	nʊ̃	2	
男	nʊ̃	2	
仰	ȵiɑŋ	3	
嬢	ȵiɑŋ	1	
嬢	ȵiɑŋ	2	~~：婶婶
娘	ȵiɑŋ	2	
□	ȵiɑŋ	5	~人：腻
砚	ȵiɪ̃	1	
研	ȵiɪ̃	1	~墨
研	ȵiɪ̃	2	~究
严	ȵiɪ̃	2	姓
念	ȵiɪ̃	1	
廿	ȵiɪ̃	1	
捻	ȵiɪ̃	3	
黏	ȵiɪ̃	2	
年	ȵiɪ̃	2	
拈	ȵiɪ̃	2	
□	ȵiɪ̃	1	ɕiɪ̃1 ~：蜻蜓
孽	ȵiɪʔ	8	
镊	ȵiɪʔ	8	
捏	ȵiɪʔ	8	
腻	ȵɿ	5	
你	ȵɿ	3	
泥	ȵɿ	2	
挜	ŋa	1	硬给
哑	ŋa	3	
枒	ŋa	1	一~：一瓣
伢	ŋa	2	
牙	ŋa	2	
丫	ŋa	1	
垩	ŋa	5	施肥
□	ŋa	3	你的
