tsɿ[1]姿资支={~持}肢[3]紫纸阻[5]知={~识}智志置齿{牙~}
tsʰɛ[1]抽[2]绸筹=仇酬=[3]丑=售[5]臭兽凑
sɛ[1]搜馊收[2]愁[3]手首守=受授=寿[5]瘦嗽
kɛ[1]勾沟钩鸠{斑~}[3]狗苟[5]个够
kʰɛ[1]厚[3]口={~号}[5]扣叩寇
xɛ[2]侯猴喉[3]后候口-{~水}
ŋɛ[2]牛[3]偶藕
ɛ[1]欧=瓯{~子，杯子}[3]呕殴=[5]沤
uɛ[3]吠背{~书，~时}
muɛ[2]梅煤媒[3]妹
tuɛ[1]堆[5]碓
tʰug[1]推{~别(推辞)}胎[2]台抬[3]袋贷代[5]褪蜕
tsuɛ[5]载
tsʰuɛ[1]在{~屋下}[2]才材财裁[3]睬[5]菜
suɛ[1]摔[2]在{所~}[5]赛
kuɛ[1]该[3]改[5]盖钙
xuɛ[1]灰恢开[3]害海亥
ŋuɛ[1]呆桅[3]碍外
uɛ[1]煨{女哀爷~}[5]会{~唔~}
pa[1]芭疤[2]跛[3]摆把{~控}[5]霸坝把{刀~}
pʰa[1]扒{~钣}[2]爬杷耙排[3]败稗[5]怕帕派
ma[1]马码=[2]麻蟆[5]骂
fa[1]花[2]华划怀={~胎}[3]画话坏[5]化
va[1]歪[3]话{~人，批评}
ta[1]爹{~哩，父亲}[3]打[5]带戴
tʰa[3]大待[5]太态泰
na[1]拿[3]耐奈捺
la[3]赖[5]癞
tsa[1]灾遮渣楂[3]宰载{~人，一年半~}
tsʰa[1]权差车猜[2]查茶搽[3]彩寨[5]岔蔡
sa[1]傻沙社赊筛[2]蛇佘{姓}[3]洒射麝={~香}舍{~唔得}[5]晒赦=舍{屋~}
ka[1]家加佳阶=[3]假贾姓[5]架嫁价
kʰa[1]□{桃}[2]卡[3]慨=概械=
xa[1]下{底~}溪{细~子，小溪}[2]虾霞鞋[3]夏厦蟹下{~降}
ŋa[1]牙芽崖=涯=我[3]瓦雅{~气，体面}[5]艾{姓}
a[1]阿鸦挨{~~磨磨，磨洋工}[3]亚哑矮
fia[5]□{洒水}
lia[2]□{~蜘蛛}
tsia[3]解{了~}[5]借芥届戒
tsʰia[2]□{~，蜘蛛}斜[3]且谢{姓}
sia[3]写系={~统，中文~}[5]泻卸
ia[1]也{之乎者~，熟语，浪费，奢侈}[2]爷雅={文~}[3]夜冶=
kua[1]瓜乖[3]寡拐蛙[5]怪挂卦
kʰua[1]跨=[5]快块会{~计}
pɔ[1]包胞[3]饱宝保堡[5]报豹
pʰɔ[1]跑[2]袍刨浮-{~起来}[3]暴抱[5]泡炮
mɔ[1]毛[2]矛茅[3]昌帽卯貌
tɔ[1]刀[2]倒{~水}[5]到
tʰɔ[1]滔掏[2]桃逃涛萄[3]讨盗道稻=[5]套导
nɔ[3]脑闹
lɔ[2]牢劳[3]老
tsɔ[1]召招遭糟朝{~晨}[3]枣早爪蚤找[5]灶照罩策
tsʰɔ[1]操抄超[2]曹槽吵朝=潮[3]炒草兆赵[5]造糙躁
sɔ[1]骚烧稍[2]绍韶=巢[3]嫂少{忒~}[5]扫少{~年}
kɔ[1]交高糕教{~书}[3]搞稿校较=[5]告窖教{~育}
kʰɔ[3]考巧[5]烤□{敲}
xɔ[1]耗酵[2]毫豪壕[3]效号好{~人}[5]孝好{~事}
ŋɔ[1]咬[2]熬[3]傲
ɔ[3]拗袄[5]坳奥懊
piɔ[1]□{跳}[3]表
pʰiɔ[1]标飘彪[3]嫖[5]票漂
miɔ[2]苗描[3]妙秒庙渺[5]猫
tiɔ[1]刁鸟雕[3]鸟{性交}[5]钓吊调={~查}
tʰiɔ[2]条调={~整}[3]调-{~东西}[5]粜跳
liɔ[2]撩燎疗辽聊=[3]料廖□{玩}
tsiɔ[1]椒娇骄焦蕉[3]缴剿=[5]醮叫{哭}
tsʰiɔ[2]乔桥侨=蕉=[3]轿[5]窍
siɔ[1]消宵硝销箫[2]□{妖媚，风流}[3]晓小=[5]笑鞘
niɔ[2]尧饶绕[3]尿
iɔ[1]腰妖邀□{稀、软}[2]摇窑谣姚[3]舀鹞扰耀[5]要=
po[1]波菠坡玻[5]簸
pʰo[3]婆[5]破=
mo[1]摸[2]魔磨{~石}[3]磨{~豆腐}
to[1]多[5]剁
tʰo[1]拖[2]驼舵[3]妥惰
no[2]挪揉[3]糯[5]□{踩}
lo[1]罗{~嗦}[2]罗锣箩螺骡[3]□{称大的，多的东西，~猪，~谷}
tso[3]左[5]做
tsʰo[1]坐[3]座[5]挫=锉错=措=
so[1]蓑梭唆=[3]锁
ko[1]哥歌[3]果[5]过
kʰo[1]科[5]课
xo[2]河何荷和[3]大伙贺祸[5]货
ŋo[2]蛾鹅蜈[3]锇
o[1]窝局[2]禾[5]□{应答}
ə[2]而儿
tiu[2]刘留
niu[3]扭
liu[2]流硫琉榴[3]柳[5]溜
tsiu[1]纠[3]酒久九韭[5]救究炙
tsʰiu[1]秋揪丘舅[2]求球[3]旧袖就
siu[1]休修[2]泅=[3]朽[5]秀绣
iu[1]有悠忧优[2]油邮游优柔[3]又右釉[5]友诱=
ŋ̍[2]吴疑=愚=仪={~式}[3]五午=误遇=艺=谊=义=[5]语
xŋ̍[2]你
piŋ[1]兵宾殡[3]秉禀[5]迸并{合~}
pʰiŋ[1]拼[2]贫凭评平={水~}[3]品并{~且}[5]聘姘
miŋ[1]闽=[2]民明鸣铭[3]敏血
fiŋ[1]薰勋
viŋ[2]匀云[3]永泳允运闰润
tiŋ[1]鳞[2]林淋邻菱
tʰiŋ[2]亭停廷庭[3]定挺
niŋ[1]忍[2]人蝇[3]认
liŋ[1]领={~导}
tsiŋ[1]今军均精[3]紧景锦谨[5]浸竟境敬
tsʰiŋ[1]亲清钦卿菌[2]寻琴禽芹勤裙[3]尽静郡[5]庆侵寝
siŋ[1]辛新心兴{~旺}[2]形刑寻{一~}[3]旬笋迅=讯榫[5]性信兴{高~}
in[1]音阴英晕[2]仁壬淫[3]引任隐[5]印韵
pɛŋ[1]奔崩分{~家}[3]本[5]笨粪
pʰɛŋ[1]烹[2]盆朋[5]喷
mɛŋ[1]蚊[2]门[3]闷孟猛[5]问
fɛŋ[1]婚荤芬纷分={~数}[2]昏魂[3]份粉混[5]愤奋
vɛŋ[1]温瘟[2]文纹浑闻[3]稳
tɛŋ[1]灯钉墩蹲登[3]等顿[5]凳
tʰɛŋ[1]吞[2]藤腾[3]邓盾
nɛŋ[2]能[3]嫩[5]奶{~姑(乳房)；奶汁}
lɛŋ[1]冷[2]轮伦零铃[3]论
tsɛŋ[1]针真蒸专砖争={斗~}[3]镇准展枕转[5]战证症
tsʰɛŋ[1]深春村称{~呼}[2]沉缠尘陈传-{~话}[3]阵蠢赠传={~记}[5]寸衬秤称{~职}
sɛŋ[1]身生甥孙参{人~}[2]船承丞神晨[3]趁善肾省剩[5]扇胜
kɛŋ[1]肩跟巾斤筋[3]哽耿[5]更
kʰɛŋ[1]近[2]□{凝结}[5]恳垦
xɛŋ[1]痕[2]衡恒[3]恨肯杏幸{~福}
ŋɛŋ[1]银
ɛŋ[1]恩摁
piɛŋ[1]鞭边辫[2]扁板[5]变
pʰiɛŋ[1]编篇[2]便{~宜}[3]便{方~}片辩辨[5]骗
miɛŋ[1]免[2]棉面{芋卵极~}[3]勉面{~条}[5]面{~目}
fiɛŋ[2]弦玄悬
viɛŋ[1]冤□{被}[2]员袁圆缘援[3]县远[5]院
tiɛŋ[1]颠
tʰiɛŋ[1]天[2]田填[3]电佃垫奠殿
liɛŋ[2]连莲怜[3]练栋恋
niɛŋ[1]软研[2]言年元原[3]愿
tsiɛŋ[1]坚艰捐间-{卧室、房间}[3]剪捡卷[5]见剪建
tsʰiɛŋ[1]千牵圈[2]前钱全权泉财[3]件浅贱癣[5]劝楦{鞋~}串{动词}
siɛŋ[1]先鲜宣[2]贤[3]显现选[5]宪线献
iɛŋ[1]烟姻[2]延燃然{自~(无病；舒服)}[3]演[5]燕宴
pʰuɛŋ[1]□{呕吐}[3]饭[5]蚌
tuɛŋ[1]端[3]短[5]断={~绝}
tʰuɛŋ[1]断-{~别矣(断了)}[3]段缎锻
nuɛŋ[1]暖
luɛŋ[3]乱卵
tsuɛŋ[5]钻
tsʰuɛŋ[1]餐闩[5]窜篡
suɛŋ[1]酸桑[5]蒜算
kuɛŋ[1]官棺观肝干{笋~}[3]管馆滚杆{稻草}[5]灌棍冠贯干{~部}
kʰuɛŋ[1]宽昆坤鼾[2]拳{~头}[3]款綑[5]看困鼾{~睡(打鼾)}
xuɛŋ[1]旱欢[2]寒[3]汗换[5]汉
uɛŋ[1]安[2]碗[3]案按
paŋ[1]搬[3]板{古~}
pʰaŋ[1]攀[2]盘[3]办[5]襻扮盼
faŋ[1]翻帆[2]凡烦[3]犯[5]范泛
vaŋ[1]弯[5]挽
taŋ[1]担单丹耽[3]胆但[5]旦诞
tʰaŋ[1]贪摊滩淡-{极~}[2]潭檀坛痰[3]蛋坦淡{冷~}[5]探炭
naŋ[1]南男难{极~(难；慢)}[3]难{灾~}
laŋ[1]懒[2]蓝兰拦栏[3]览揽烂
tsaŋ[1]簪[3]站盏斩暂[5]赞占
tsʰaŋ[1]参{~加}[2]蚕残□{用针刺}[3]赚铲[5]杉
saŋ[1]杉三山[2]蝉[3]伞产闪[5]散
kaŋ[1]甘柑尴间-{中~}[3]敢橄简感减[5]监鉴间={~接}
kʰaŋ[1]龛勘[5]坎
xaŋ[2]咸含[3]陷憾[5]喊
naŋ[2]岩[3]岸眼{针~}
aŋ[1]庵[5]暗
tiaŋ[2]镰{磨~(镰刀)}[3]点[5]店
tʰiaŋ[1]添[2]甜
niaŋ[2]严粘[3]念
tsiaŋ[1]尖[3]捡检[5]□{挤}
tsʰiaŋ[1]签谦[2]钳[3]渐[5]欠歉
siaŋ[2]嫌潜[3]险
iaŋ[2]炎盐[3]掩[5]厌
kuaŋ[1]关
ŋuaŋ[2]顽
pʰɑŋ[2]棚[3]□{瓮，坛子}[5]嘭
mɑŋ[1]蒙[2]□{未曾}
vɑŋ[2]横[3]□{倒下}
tsɑŋ[1]争[3]整{修理}
tsʰɑŋ[2]橙[3]撑{吃，贬义}郑[5]撑撑船
sɑŋ[1]声[2]成城[3]省
kɑŋ[1]羹[3]哽[5]降{下降}
kʰɑŋ[1]坑
piɑŋ[3]饼[5]□{藏}
pʰiɑŋ[2]坪平{极平}[3]病
miɑŋ[2]名明{清明}[3]命
tiɑŋ[1]领{衫领}岭
tsiɑŋ[1]精{精猪肉}[3]井[5]镜
tsʰiɑŋ[1]青清{清明}[2]晴[3]请[5]□{气味浓}
siɑŋ[3]醒[5]姓
kuɑŋ[1]杆{桌杆}[3]茎{菜茎、草茎}
pɔŋ[1]帮[3]绑□{配茶，配钣的点心、菜等；又做动词}
pʰɔŋ[2]旁[3]傍
mɔŋ[2]亡[3]望[5]妄
fɔŋ[1]方荒[2]皇妨房[3]晃
vɔŋ[2]王黄[3]枉
tɔŋ[1]当{担~}[3]挡[5]当{~得}
tʰɔŋ[1]汤{菜~；~洗}[2]糖唐堂[5]□{~子，晒谷子或耙田用的农具}
nɔŋ[1]瓤
lɔŋ[2]郎狼[5]浪
tsɔŋ[1]张庄章[3]涨掌[5]帐账壮
tsʰɔŋ[1]仓昌[2]场长[3]丈闯撞[5]唱
sɔŋ[1]霜伤商上{~岭(上山)}[2]床尝[3]爽上{~背(上面)}
kɔŋ[1]岗缸江光[3]讲[5]杠降{霜~}
kʰɔŋ[1]康[2]狂[5]矿
xɔŋ[1]糠[2]行{银~}降{投~}[3]巷项上{岭~}
piɔŋ[1]坊{地名}[5]放{~好矣(放好了)}
miɔŋ[2]芒[3]网[5]忘{添~矣(忘了)}
liɔŋ[1]辆两{量词}[2]凉梁量{~米}良粮[3]两{数词}量{肚~}
niɔŋ[2]□{酒~}[3]让
tsiɔŋ[1]姜将[3]蒋[5]酱
tsʰiɔŋ[1]枪腔框[2]墙强[3]抢象{相~}
siɔŋ[1]香乡[2]祥[3]响匠象{~棋}[5]像相{~貌}
iɔŋ[1]秧痒[2]羊阳[3]样
tsiuŋ[1]弓宫龚供[3]拱{~桥}[5]□{生、养}
tsʰiuŋ[2]穷松{~树}[3]共
siuŋ[1]凶[2]雄熊[3]颂
iuŋ[2]茸容荣[3]用勇
pʰuŋ[2]篷冯[3]缝{裤~}
muŋ[2]蒙[3]梦
fuŋ[2]逢[3]凤奉
vuŋ[1]壅{~粪}
tuŋ[1]冬东[2]龙[3]董
tʰuŋ[1]通[2]同童[3]桶洞
nuŋ[2]农脓
luŋ[1]笼聋[2]窿{小洞}[3]弄
tsuŋ[1]宗中[3]种总[5]粽
tsʰuŋ[1]葱重{~轻}[2]虫重{~复}[3]重{~量}[5]铳
suŋ[1]松{放~}舂[2]搡{推}[5]送
kuŋ[1]公工
kʰuŋ[1]空{~手}[5]烘空{~缺}
xuŋ[1]风封[2]红洪
piʔ[7]笔毕
pʰiʔ[7]僻
fiʔ[7]□{掷、扔}
viʔ[7]域=□{气愤}
tiʔ[7]笠粒[8]粟
tʰiʔ[8]敌
liʔ[8]立历律
tsiʔ[7]绩戚急
tsʰiʔ[7]七膝[8]疾极
siʔ[7]昔惜析息熄悉[8]习袭食蚀籍
iʔ[7]一益[8]翼译
pɛʔ[7]北
pʰɛʔ[7]迫
mɛʔ[8]墨蜜密
fɛʔ[7]窟{~窿}[8]佛核-{桃子~}
tɛʔ[7]得德
tʰɛʔ[7]踢[8]笛籴
lɛʔ[7]□{刺}[8]肋□{抱}
tsɛʔ[7]执撮责
tsʰɛʔ[7]出嘬{饮}[8]贼直擦择={选~}
sɛʔ[7]湿塞色识式[8]十舌实
kɛʔ[7]结{~头}格={及~}
kʰɛʔ[7]刻
xɛʔ[7]黑{~板}核={审~}
ɛʔ[8]□{打(人)}
piɛʔ[7]八
pʰiɛʔ[7]撇□{表完成，食~矣}[8]别
miɛʔ[8]灭蔑
fiɛʔ[7]血[8]穴
viɛʔ[7]乙□{挖，~子，一种农具}[8]越悦
tiɛʔ[7]跌
tʰiɛʔ[7]铁忒
niɛʔ[8]热月
tsiɛʔ[7]砌截决
tsʰiɛʔ[7]切[8]杰绝
siɛʔ[7]歇雪
puɛʔ[7]发{~瘴；头~}
tʰuɛʔ[7]脱[8]夺
suɛʔ[7]刷
kuɛʔ[7]骨割
kʰuɛʔ[8]掘
xuɛʔ[7]喝渴
uɛʔ[8]镬{~头(锅)}
paʔ[7]钵
pʰaʔ[7]泼[8]钹
maʔ[7]袜[8]末
faʔ[7]法发[8]活罚
vaʔ[8]滑
taʔ[7]答搭
tʰaʔ[7]塔塌[8]踏
naʔ[8]纳
laʔ[7]蜡[8]辣
tsaʔ[7]折
tsʰaʔ[7]尺插[8]杂
saʔ[7]萨[8]石
kaʔ[7]甲合{十~一升}
kʰaʔ[7]恰[8]狭合{~适}
aʔ[7]押鸭
tʰiaʔ[7]贴帖[8]叠
niaʔ[7]捏摄[8]业
liaʔ[8]猎
tsiaʔ[7]接劫[8]夹
iaʔ[8]叶页
kuaʔ[7]括刮
kʰuaʔ[7]阔
pɑʔ[7]百伯
pʰɑʔ[7]白
mɑʔ[7]脉[8]麦
tsɑʔ[7]摘□{~压}
tsʰɑʔ[7]尺
sɑʔ[8]石
kɑʔ[7]格隔
kʰɑʔ[7]客
ɑʔ[7]压
piɑʔ[7]壁
pʰiɑʔ[7]劈
niɑʔ[7]额
tsiɑʔ[7]迹脊籍{借}
tsʰiɑʔ[8]席屐
siɑʔ[7]鹊锡
iɑʔ[7]役疫
pɔʔ[7]剥
pʰɔʔ[7]拍[8]薄雹
mɔʔ[7]幕[8]膜
fɔʔ[8]获
vɔʔ[7]握
tʰɔʔ[7]托[8]择{~下子(选一选)}
lɔʔ[8]落
tsɔʔ[7]桌捉着{~杉}
tsʰɔʔ[7]着{~棋(下棋)}□{趿拉着鞋走路的样子}[8]凿戳镯着{睡~矣：~唔~(对不对)}
sɔʔ[7]索[8]勺
kɔʔ[7]角郭
kʰɔʔ[7]壳确
ŋɔʔ[8]岳
xɔʔ[7]□{烘烤如：子，~鞋}[8]学
ɔʔ[7]恶
niɔʔ[7]虐[8]弱
tsiɔʔ[7]脚
tsʰiɔʔ[7]雀
siɔʔ[7]削
iɔʔ[7]约跃[8]药
niuʔ[7]肉[8]玉
liuʔ[8]录
tsiuʔ[7]逐足
tsʰiuʔ[7]曲蓄[8]局
siuʔ[7]肃宿粟[8]俗续
iuʔ[7]育[8]浴
pʰuʔ[7]扑{~下去}
muʔ[7]木目[8]牧穆
fuʔ[7]福幅[8]服伏
vuʔ[7]屋沃{~菜}
tuʔ[7]六督[8]绿陆{姓}
tʰuʔ[8]读毒
luʔ[7]禄[8]鹿
tsuʔ[7]粥竹
tsʰuʔ[7]触束[8]轴族
suʔ[7]叔[8]熟
kuʔ[7]谷
kʰuʔ[7]酷
