#a									
p	[44]巴芭疤笆[54]把饱[31]霸壩[22]罢		阴平	阳平	上声	阴去	阳去	阴入	阳入
tɕʰ	[54]处{~理}[31]厝{房子}处{一~地方}								
k	[44]痀{~痀}[54]久韭[31]故{事~,~意}句[22]舅旧								
kʰ	[44]丘邱[23]跔{蹲}								
h	[44]夫[23]湖{~南}胡{姓}牛[54]府[22]父{师~}腐互								
Ø	[44]趺{骹头~:膝盖,原文记作呜}[22]有护								
#y									
tʰ	[31]趣								
Ø	[23]愚								
#ai									
p	[44]𨃅{瘸}[23]牌簰{筏}[54]摆[31]拜[22]败								
pʰ	[23]排[31]派								
m	[54]买[31]□{副词,不要,"毋爱"合音}[22]卖								
t	[44]灾[54]抵[22]待大{~家:代词}代{~价}								
tʰ	[23]刣{宰杀,治的俗字}治{宰杀,原文记作刣}颱[54]体睇{看}[31]太替态								
n	[44]□{兀~:那些}[22]耐奈裏{原文记作内}								
l	[44]拉{拖~机}[23]来[22]利{顺利}痢{痢疾}丽								
ɬ	[44]西师{老~}狮[54]屎使[22]侍								
tɕ	[44]知{知道}[54]仔{薰~:香烟}[31]再[22]在{实~}								
tɕʰ	[44]差{出~}筛[23]臺才材财裁[31]菜蔡								
ȵ	[22]□{背负}								
k	[44]该佳[23]个{量词:一~}[31]介届戒								
kʰ	[44]□{厉害}[31]概溉慨								
ŋ	[23]涯捱								
h	[54]凯海[22]害坏亥械								
Ø	[44]哀挨{挨近}[31]爱								
#ɐi									
p	[31]闭[22]稗								
pʰ	[44]批[54]䫌{面~:脸}								
m	[23]迷								
t	[44]低[23]题{问~}蹄[54]底[31]际帝济[22]弟{徒~}第地								
tʰ	[44]梯{楼~}[23]提题{~目}								
n	[23]尼{~姑}								
l	[23]犁黎梨{沙~}[54]礼[22]例厉励荔{~枝}								
ɬ	[44]梳[54]洗[31]细婿								
tɕ	[23]齐脐[31]制製[22]济{多,原文训做多}								
tɕʰ	[31]脆{挺~}								
k	[44]阶街鸡[54]解{讲~,了~}改[31]界计继个{的:我~}								
kʰ	[44]溪[31]契{契约}								
ŋ	[44]□{牛~仔:牛犊}[23]危桅[22]艺魏								
h	[54]蟹[22]系繋{连系}								
Ø	[23]鞋[54]矮[22]解{可能,原文训做会}								
#ɔi									
p	[44]杯飞[23]赔倍[31]贝辈佩[22]背{~风}								
pʰ	[44]坯[23]皮[31]配沛[22]被{被子}								
m	[23]梅媒煤糜{粥}霉[22]妹								
t	[31]缀{跟随}								
tʰ	[23]疮{训,疮}								
ɬ	[44]鳃衰{倒霉}[31]赛税帅								
tɕ	[22]罪								
tɕʰ	[44]炊{蒸}[22]揣{寻找,原文记作扌辠}								
k	[44]瓜[23]葵{~笠:斗笠,原文记作阳去}[54]粿{糍粑}[31]过								
h	[44]花灰[23]和{~尚}横{横直}[54]火伙[31]货岁[22]会{会议}								
#au									
p	[44]包胞鲍苞[31]豹暴								
pʰ	[44]抛泡{灯~}[23]刨{削也}铇[54]跑[31]炮{枪炮}泡{浸泡}								
m	[23]茅谋矛[54]某卯[22]冒貌贸茂								
t	[44]叨[23]逃[54]斗岛倒{盖~:倒闭}[31]鬥昼{午饭}到{~底}[22]豆								
tʰ	[44]偷[23]导头投陶萄桃{核~}造[54]讨㪗{~气:呼吸}[31]套透								
n	[54]脑恼[22]闹								
l	[44]捞骝{马~:猴子}褛{中~:大衣}[23]劳唠牢{~骚}楼流{~水}刘留榴硫馏[54]佬[22]老漏陋								
ɬ	[44]骚搜[31]扫{名、动词}少{~先队}								
tɕ	[44]遭糟邹[54]走[31]照{介词}灶罩□{油炸}[22]召兆								
tɕʰ	[44]抄超昭操{操心}[23]操槽朝{朝代}潮搊{~放屎:把屎}[54]草[31]臭{香臭}凑								
k	[44]交郊沟勾{~结}[54]狗九狡较[31]遘{到,去~,原文训做到}够构购[22]厚								
kʰ	[44]阄[54]口考{~虑}[31]扣哭铐								
ŋ	[44]勾{~漏洞}钩[23]熬[22]傲藕效								
h	[23]壕毫[54]烤[31]好{喜好}[22]候後{~生囝仔}								
Ø	[44]眍[23]喉[31]沤怄[22]後{以~}								
#ou									
p	[44]敷[23]脯符{画~}[54]补斧[31]布佈怖[22]步埠{商埠}暴部								
pʰ	[44]铺{铺设}[54]普甫铺[31]舖{店铺}[22]簿								
m	[54]亩								
t	[23]塗{糊~}厨[54]肚{胃,腹肚}[22]度渡镀								
tʰ	[44]徒{~弟}[23]塗{泥}[54]土[31]吐{吐痰.呕吐}兔								
n	[23]奴								
l	[44]黸{鼎~:锅烟子}[23]卢炉芦{~苇}鸬庐{茅庐}鲈[54]鲁{粗~}卤[22]路露鲁{~班}								
ɬ	[44]苏酥[31]素诉嗉								
tɕ	[44]租[54]祖鸟{训}								
tɕʰ	[44]粗[31]醋								
k	[44]姑孤菇鸪{鹧鸪}[23]糊{米糊}[54]古估{~计}牯{牛~}股鼓[31]故{缘~}固雇顾								
kʰ	[44]箍枯[54]苦[31]裤								
ŋ	[23]吴梧[22]五伍午误悟								
h	[23]胡{~椒}壶鬍湖{江~}糊{~涂}[54]虎[31]戽{戽斗}库[22]户雨{落~:下雨}								
Ø	[44]污乌呼[22]芋								
#ia									
p	[54]丙饼								
m	[23]明{聪~}名{~字}[22]命{生命}								
t	[23]庭{稻~:晒场}[54]鼎{铁锅}[31]□{哪}[22]定								
tʰ	[44]听{听,听见}厅[31]痛								
n	[54]岭领								
ɬ	[44]赊声[23]成{一~}城{~门}[54]写捨[31]舍{邻~}[22]社谢{感~}								
ȵ	[44]兄{面称}[23]赢[54]影								
k	[44]京惊{怕}[23]行{~动}[54]囝{儿子}[31]镜[22]件{量词}								
kʰ	[23]䗁{蟧~:蜘蛛}骑{~马}[22]徛{1.立,2.陡}								
h	[44]兄{背称}𣟵{匏~}桸{匏~:水瓢,原文记作𣟵}[22]瓦{砖瓦}蚁								
Ø	[23]爷{大姑~}[54]野[22]下{~秧:撒种}								
#io									
p	[44]标彪臕{肥膘}[54]表{1.表格,2.外表}[22]錶{手表}								
pʰ	[31]票漂{~白}								
m	[23]苗{兰豆~}[22]庙								
t	[44]张{姓}章樟[23]场{1.场地,2.场次}[54]奖[31]钓账胀仗[22]赵丈{~姆}								
tʰ	[44]锹挑{1.刻,2.挑刺}[31]粜								
n	[23]娘{新~}良{善~}量{动词}粮梁[54]两{斤两}								
ɬ	[44]烧厢镶相{~争}宵{~冥:夜宵}[54]小想[31]相{~貌}像[22]尚								
ȵ	[23]羊杨[54]舀{~水}[22]样								
k	[44]薑[23]乔桥僵[22]轿								
h	[44]乡香{烧~}								
Ø	[44]腰[23]摇窑姚[22]尿								
#iu									
t	[44]丢[22]粙{原文训做稻}								
n	[54]纽扭								
l	[44]鰡{塗~:泥鳅}[23]流{北~}[54]柳								
ɬ	[44]修收[23]仇愁[54]守[31]秀绣[22]受授寿绍								
tɕ	[44]珠{目~:眼睛}周州揪纠[54]酒[31]就咒救皱								
tɕʰ	[44]秋抽鬚羞[54]丑{~时}手首[22]树								
k	[31]究								
kʰ	[23]求球								
Ø	[44]休优憂[23]邮由油游[54]友酉[31]又[22]右祐鹞{~鹰}								
#ua									
p	[44]搬般[23]盘[31]簸{簸一簸,簸箕}半								
pʰ	[44]潘{姓}[23]陪[31]破[22]伴								
m	[23]磨{~刀}[54]满								
t	[44]丹单{~独,名~}[31]旦带载{载重}[22]大{大小,大黄}弹{~棉花}								
tʰ	[44]拖{~鞋}滩摊{摆~}[31]炭								
n	[44]𠋖{鸡~:未产卵之母鸡}僆{鸡~:未产卵之母鸡,原文记作𠋖}挼{揉搓}[22]烂澜{喙~:唾沫}								
l	[23]箩[22]赖								
ɬ	[44]沙砂山[54]产散{松散}[31]涮线伞散{散开}								
tɕ	[23]蛇泉[54]纸盏								
tɕʰ	[54]铲[31]閂[22]娶{训}								
k	[44]官棺歌[23]寒{天冷}[54]寡管赶[31]盖{名词,盖子}卦挂[22]汗								
kʰ	[44]宽夸垮								
ŋ	[44]欢[54]碗[22]换岸{上~}旱								
h	[23]华{中华,华山}和{~顺}[31]化								
Ø	[44]岸{塍~:田埂}[54]我[22]外{~家}								
#uo									
Ø	[44]窝[54]母{阿~:母亲}								
#ui									
p	[23]肥[31]背{~心}[22]吠饭痱{痱子}								
pʰ	[23]培[31]屁								
m	[44]枚[23]门{门口}[22]每问{~话}								
t	[44]堆[23]槌锤捶[54]转{1.返,2.转弯}[31]对碓顿{量词}[22]队兑断{断绝}								
tʰ	[44]推催崔梯{梯子}[23]随{~便}团{量词}槌{迟钝,不机灵}[54]腿[31]退脆{干~}褪{脱(衣帽等)}翠								
n	[54]软阮[22]卵{蛋}								
l	[44]□{纱~:线轴}[23]雷[54]蕊{量词:朵,原文记作蕾}垒[22]类累{累计,连累}								
ɬ	[44]虽酸蓑[54]水{美,漂亮}[31]碎算[22]瑞穗								
tɕ	[44]追砖[23]全{齐~}存{~钱}[54]水{雨~}[31]醉最								
tɕʰ	[44]川{四~}[23]随{又}传{~落来}[31]喙{嘴}串								
ȵ	[44]锥[54]蘂								
j	[22]惠								
k	[44]龟光{光线}[23]葵{~扇}[54]幾{~个}轨鬼广{~西,~东}诡[31]桂癸季贵[22]跪柜								
kʰ	[44]开规亏窥挥辉[23]葵{~花}奎[31]气{云气}氣{气息}汽{水汽}								
h	[44]徽荒非恢[23]園{坡地,原文记作□}[54]匪毁[31]废费[22]远								
Ø	[44]威[23]为{动词}围園{菜~}黄王{姓氏}韦违维惟[54]委伟䘼{衣袖}[22]位卫为{介词}会{会计}彙								
#iau									
p	[54]表{表亲}								
pʰ	[44]飘漂{漂浮}[23]嫖[31]□{~牙齿:龅牙}								
m	[23]苗{~条}[22]妙								
t	[44]蕉{又}刁[23]条牢{圈舍:猪~}[31]吊[22]调{~动}掉								
tʰ	[44]挑{~剔}[23]调{~羹,~解}[31]跳[22]柱								
n	[44]□{糖~:糖块}								
l	[44]撩{撩起来}[23]聊疗辽[31]鹩{~哥:八哥}[22]料廖{姓氏}了{~解}								
ɬ	[44]消宵{通~}硝销萧箫[31]数{名词}								
ȵ	[44]猫[54]爪								
k	[44]骄娇[54]缴绞{~丝爿}[22]撬								
kʰ	[44]穷{训}[31]窍[22]翘{翘起}								
Ø	[44]妖要{~求}枵{饿}[23]饶[31]要{~紧}猶{副词,还}[22]耀								
#uai									
k	[44]乖[54]柺拐𧊅{大水~:蝌蚪}[31]怪								
kʰ	[31]块快								
Ø	[44]歪[23]怀[22]外{~表}								
#uɔi									
Ø	[44]锅{统称锅}[54]尾美[22]话								
#am									
t	[44]担{~忧}[23]㴷{湿}澹{湿,原文记作㴷}								
tʰ	[44]贪参{~加}[23]潭谭蚕谈痰[31]探								
n	[44]□{脏}[23]男南[31]□{拃}								
l	[44]罱{鸡~:鸡笼}[23]蓝篮{~球}兰{姓,兰花}[54]览揽榄[22]滥缆								
ɬ	[44]三{排行}衫								
tɕ	[44]尖沾粘{~米}瞻占{占卜}针簪[31]佔[22]暂站{车站}斩								
tɕʰ	[44]搀[54]惨[31]杉{又}								
ȵ	[23]严阎[31]渗{训}								
j	[44]阉[23]盐[54]掩厣{结~:结痂}[31]厌								
k	[44]甘柑监[23]含[54]橄𠖫[鼎~:铁锅盖]感[31]鉴								
ŋ	[44]啱{刚,刚好}[23]岩								
h	[23]函涵[31]喊								
Ø	[44]庵[54]饮{米汤}[31]暗[22]颔{颈}								
#im									
l	[23]林临霖琳								
ɬ	[44]心森芯[54]婶审								
tɕ	[44]斟[23]沉[54]枕[31]浸								
tɕʰ	[44]深[23]琴								
ȵ	[44]□{1.思考,2.回想}[54]饮{喝}[22]任{责任}壬								
j	[44]音阴荫[23]檐								
k	[44]今金[54]锦[31]禁{禁止}[22]噤妗{舅母}								
kʰ	[44]禁{耐}襟								
h	[44]钦								
#an									
p	[44]班斑颁扳{扳手}奔{~波}[23]瓶便{~宜}[54]板版[31]扮[22]办								
pʰ	[44]攀[31]判叛襻								
m	[44]瞒文{元(钱)}[23]蛮馒[54]挽{摘,拔}[22]慢漫晚{最小辈分}万蔓{瓜蔓子}								
f	[44]翻番{几番}藩[23]凡帆烦繁矾[54]反[31]范範贩泛[22]犯								
t	[44]单{简~}[23]陈[54]等{动词:~车}[31]赞[22]但								
tʰ	[44]摊{~开}[23]残[54]毯[31]叹趁{赚}								
n	[23]难{容易}[22]难{落~}								
l	[44]兰{~豆苗}[23]栏[54]懒[22]膦{男阴,原文记作卵}								
ɬ	[54]㾪{瘦}								
tɕ	[44]毡曾{姓}煎[23]层[31]战[22]栈贱								
tɕʰ	[23]塍{田地}[54]浅展								
ȵ	[23]原源[22]愿								
j	[44]冤[23]元{~旦}然燃袁援员缘沿铅延[31]燕焰[22]现								
k	[44]艰间{时~}奸干{~涉}乾{~脆}杆根{~本}[54]简碱[31]幹间{~开}								
kʰ	[44]牵								
ŋ	[23]颜顽研{~船}[54]眼{骨~:关节}[22]雁岸{江~:地名}								
h	[44]悭{节省}[23]寒{大~}韩[31]汉[22]焊恨苋限								
Ø	[44]安鞍[31]按案晏								
#ɔn									
t	[44]端尊[31]断{判~}[22]锻段缎								
tʰ	[23]团{~结}								
l	[22]乱								
ɬ	[44]宣[31]蒜								
tɕ	[44]专[31]钻{钻子}[22]传{传记}								
tɕʰ	[44]川{陆~}[23]全{~部}传{流~}								
#in									
p	[44]彬宾槟								
pʰ	[23]贫[54]品[31]拚{~命}								
m	[23]民眠[22]面{~部,见~}								
t	[23]藤								
tʰ	[54]挺								
l	[23]邻								
ɬ	[44]辛新薪身申先{~生}[23]神辰晨臣蝇[31]信讯迅囟[22]剩								
tɕ	[44]珍真[31]进镇震[22]儘{~量}盡								
tɕʰ	[44]亲{1.亲人,2.亲家}[23]秦[31]称{1.称重量,2.对称}秤								
ȵ	[22]认闰								
j	[23]寅[54]演引隐[31]印								
k	[44]根{树~}巾斤筋囝{~仔:男孩}[54]紧[22]近								
kʰ	[44]轻[23]勤芹								
ŋ	[23]银								
h	[23]眩								
Ø	[44]因姻[31]应{~一声}								
#un									
p	[44]分{~开}[23]㖹{吹气}[54]本[31]粪								
pʰ	[44]潘{米~:泔水}[31]喷								
m	[23]文{~章}纹闻门{~牙}[22]闷问{~题}								
t	[44]津敦墩[54]囤[31]顿{动词:~骹}[22]钝盾								
tʰ	[44]吞[23]旬存{又}[31]蜕								
n	[54]忍[22]□{纳~水:温水}								
l	[23]伦轮[22]论闰{又}								
ɬ	[44]孙[54]笋榫[22]顺慎								
tɕ	[23]船唇[54]準准[22]阵								
tɕʰ	[44]村春伸[23]旬{又}[54]蠢[31]趁{~早}寸诊								
j	[54]允								
k	[44]均军君[23]裙[54]滚混[31]棍								
kʰ	[44]昆坤[23]拳菌群[54]捆[31]困								
h	[44]熏分{春~,~数}芬纷吩昏荤[23]坟浑雲[54]粉蚓[31]奋[22]分{本~}份								
Ø	[44]婚温瘟勋[23]魂馄[54]稳[31]训[22]运晕{~车}								
#iam									
t	[44]砧{砧板}颠[23]甜沉{又}[54]点典[31]店								
tʰ	[44]签添迁								
n	[44]拈{白~:扒手}[23]鲇[22]念验								
l	[23]簾镰[22]恋燎{训.火燎眉毛}								
ɬ	[44]参{人参}								
k	[44]兼[23]鹹[54]减检[31]剑								
kʰ	[23]钳[31]欠								
h	[44]薟{辣,尿骚}[23]嫌[54]险								
Ø	[54]揞{捂}								
#ien									
p	[54]匾贬[22]便{方~}辩								
pʰ	[44]编篇偏[31]骗遍{普遍}片								
m	[23]绵[54]免勉[22]面{方~}								
t	[44]癫[31]箭[22]电殿								
tʰ	[23]填								
n	[44]研{~究}								
l	[23]连联怜莲鳞[54]碾{~米}辇[31]碾{翻~斗:翻跟头}[22]鍊練煉								
ɬ	[44]仙鲜{新鲜}先{~进}[54]癣选损[22]善								
tɕ	[31]荐								
k	[44]坚捐[54]卷[31]建见眷券[22]健键胘{鸡~}肾{鸡~,原文记作胘}件{文~}								
kʰ	[44]圈{圆圈}[23]乾{乾坤}权[54]捲								
h	[44]掀痕[54]显								
#uan									
k	[44]关观{~音}[23]悬{高}[54]馆[31]贯灌罐惯[22]院县								
Ø	[44]弯湾[23]完环元{状~}[54]鲩[31]怨劝								
#aŋ									
p	[44]崩方{四~}[23]房[31]放								
pʰ	[44]芳{香}蜂[23]傍{~虹}[54]纺[31]□{介词,从}								
m	[54]蠓{蚊子}□{缺:~牙齿}[22]网望猛梦								
t	[44]东冬[23]同铜筒[54]等{~于}[22]重{重量}								
tʰ	[23]曾{曾经}虫桐腾[54]桶[22]动								
n	[23]能脓								
l	[44]□{稀疏}[23]侬{人}笼{灯~}聋[54]笼{箱子}								
ɬ	[44]鬆[31]送宋								
tɕ	[44]张{开~}争{斗~}鬃{发髻}[54]掌{掌握}长{科~}[31]粽								
tɕʰ	[44]昌菖葱倡{提倡}[23]场{一~雨}[54]厂								
k	[44]江公{鸡~}蚣工[54]港[31]降{1.降落,2.投降}虹{彩虹}更{~好}[22]共								
kʰ	[44]空{~瓶,~出来}坑{洞穴}[31]抗{对~}								
ŋ	[44]凝{凝结,原文记作□}								
h	[44]衡烘{烘干}[23]行{银~}杭[22]巷								
Ø	[44]翁{丈夫}[23]红洪鸿宏雄[31]瓮								
#ɔŋ									
p	[44]帮[54]榜								
pʰ	[44]镑{宽口锄}[23]旁蓬篷[54]捧[31]碰[22]蚌								
m	[44]摸芒{~果}[23]芒{~种}忙亡蒙[54]懵{懵懂}[22]忘舞{~龙,原文记作训}								
t	[44]当{当时,应当}宗踪[23]长{长短}肠堂塘[54]总党挡董懂[31]当{妥~}冻[22]荡藏{西藏}丈{量词}洞								
tʰ	[44]汤通聪匆囱{烟囱}苍[23]棠唐糖[54]捅统[31]烫淌								
n	[44]□{焦}[23]农榔{槟榔}浓瓤{篾~:篾黄}[31]𥦌{开~裤,原文记作□}								
l	[44]龙{大舅~}[23]狼螂[54]笼{~统}[31]□{~腰:驼背}[22]朗								
ɬ	[44]桑丧{丧事}霜[54]爽								
tɕ	[44]庄装桩中{~年,~用}忠鐘鍾盅舂{舂米}蟾{蟾蜍}终[54]种{种类}肿[31]种{种植}中{~毒}众壮[22]状{告~}撞								
tɕʰ	[44]穿仓沖{1.冲水,2.冲洗}充衝{冲要,冲锋}[23]床松崇[54]宠[31]冲{~鼻:擤鼻涕}								
k	[44]冈岗刚扛功弓躬恭供{供应}缸公{~私,~平}[54]讲[31]钢{钢铁}供{~神}								
kʰ	[44]糠[23]狂[54]孔巩{~固}拱{~门}[31]抗{抵~}囥{藏}扩况矿[22]控								
h	[44]康芳{人名用字}风疯丰封峰锋胸兇方{~法,~向}慷空{~气}[23]防冯妨{妨害}缝逢[54]恐[22]凤								
Ø	[44]翁{姓}痈雍[23]皇王{霸~}[54]往{~年}枉拥{推:~崩}[22]旺								
#eŋ									
p	[44]冰兵[23]爿[31]並{副词}								
pʰ	[23]平{~均,~时}评{~论}屏{屏风}萍朋凭[31]併{合并}聘拼{~音}[22]傍{靠}								
m	[23]鸣明{清~,~确}名{~牌}铭[22]命{~令}								
t	[44]登灯增精{酒~}晶丁钉{名词}疔[54]等{~级}顶[31]靪钉{动词}订[22]靖{六~:地名}								
tʰ	[23]情{感~,~况}亭停廷庭[31]听{听人}								
n	[23]宁{~愿}[31]□{订~公:蜥蜴}[22]宁{姓}奶{乳}								
l	[23]陵凌菱灵零铃伶龙{~眼,原文记作龙境}[54]冷[22]令楝另								
ɬ	[44]生星{星期}甥生{~理:生意}[23]乘{乘除}承成{~果}城{~市}诚盛{人名用}[54]省{反~}[31]胜{胜负}性圣								
tɕ	[44]徵{征求}蒸贞侦精{~神}[23]前澄{清也}[54]整[31]正{~常}[22]郑								
tɕʰ	[44]称{~呼}清千[23]橙{橙子}呈程情{事~}[54]逞{逞能}								
k	[44]肩经间{房间}[23]琼[54]境{原文把龙眼记作龙境}景警径拣[31]敬竞[22]劲{干~}								
kʰ	[44]倾[54]肯[31]□{遮盖(房顶等)}								
ŋ	[23]迎								
h	[44]兴{时~}馨卿[23]形型刑还{归还}[31]兴{高兴}庆								
Ø	[44]应{~当}英[23]闲[54]鹰映[31]应{反~}								
#iaŋ									
t	[44]将{将来}[31]将{大将}								
tʰ	[23]详								
n	[44]娘{姨婆~}								
l	[23]凉良{~心}[31]亮靓{美,漂亮}[22]谅量{数量}								
ɬ	[44]相{互相}商{~量}伤双[23]常[54]赏								
ȵ	[44]秧{瓜~}[22]酿让								
kʰ	[44]疆[23]强{强大}勥{勉强}								
h	[54]饷响享[31]向								
Ø	[23]阳扬洋[54]养								
#iɔŋ									
t	[23]重{重复}[31]中{拍~}[22]状{~元}								
l	[23]隆{兴~}龙{舞~}								
ȵ	[54]勇								
k	[44]攻供{~出来}[54]拱{又}								
Ø	[44]拥{~护}壅{埋,葬}[23]戎绒熊融茸容蓉镕溶榕庸[31]蕹㙲{施肥}[22]用								
#uaŋ									
k	[44]光{~荣}[54]广{推~,~播}								
kʰ	[44]眶框[31]旷								
Ø	[54]往{来~}								
#ueŋ									
Ø	[23]荣营[54]永								
#m̩									
Ø	[54]姆{丈~:岳母}								
#ŋ̩									
n	[23]侬{我~:我们}								
Ø	[44]央秧{稻秧}								
#ap									
t	[34]踏{~实}								
tʰ	[5]錔{笔~:笔帽}								
n	[34]纳								
l	[34]拉{~杂}								
ɬ	[5]圾{垃~}								
tɕ	[5]执汁接{联接}[34]杂闸十拾{十}什{~锦}								
ȵ	[34]业								
k	[5]合{~起来}鸽蛤{蛤蚧}								
h	[34]合{~理,~作}盒								
#ip									
t	[34]集								
tʰ	[34]习								
l	[34]立								
ɬ	[34]拾{收~}								
tɕ	[5]摺{折叠}								
ȵ	[34]入								
k	[5]急								
kʰ	[5]级{年~,等~}[34]及								
#iap									
t	[5]接{~近,~班}[34]叠碟{碟子}蝶								
tʰ	[5]帖{请~}贴								
l	[34]粒								
ɬ	[5]屑{树~:刨花}湿{风~}摄{~石:磁石}涩{目珠~:眼困}								
k	[34]夹{1.名词,2.动词}								
kʰ	[5]盖{动词}劫								
Ø	[5]腌{腌渍}[34]页葉{姓}								
#at									
p	[5]八{三~:傻气}[34]拔								
m	[34]抹{~布}密{~实}								
