無錫新派	
ȵ	②娱1④女语
ɕ	①虚噓墟吁③许诩栩
	①淤迂與⑤喂②鱼=渔=余俞围-{～巾}愚愉虞纬-{～纱}娛2盂⑥遇誉预豫寓芋裕驭④雨字羽屿禹
#ᴀ	
p	①疤=巴=芭巴=疤=笆=叭③把=摆靶=⑤爸拜霸=
pʰ	⑤派湃琶=
b	②排牌徘⑥败④罢
m	①妈②埋蟆⑥卖迈④买盐型
t	⑤戴带
tʰ	①☐*{鼻涕}⑤太泰态
d	⑥汏*{洗}大1{～象}
n	⑥哪{～拉}④奶
l	①拉垃⑥赖-籁-
ts	①抓1遮查1{姓}渣={豆腐~，～滓}斋③者爪⑤债炸1={爆炸}诈榨=栅喳{～啦婆}
tsʰ	①差2{出~，~別}釵=叉=权=③扯{～老空，闲聊}⑤蔡岔=诧=绰{绅号}
s	①衰沙=纱=筛鲨=裟=奢③撒洒啥耍舍⑤晒帅厦1{大厦}
z	②蛇柴豺赊⑥射☐*{~尿，小便}乍麝寨④惹社
k	①家-{大～}加街嘉-袈-咖③假-⑤嫁=架-戒-届-{第一～}介-界-价-尬芥
kʰ	①揩③卡楷
g	①解1-{～开}懈*{娘儿两个蛮～个}茄-{番茄}
ŋ	②☐*{～勒娘勿肯走}牙*{啃：～骨头}牙-芽-衙-蚜-⑥外
x	①哈③蟹
	①挨挜*阿1{阿姨}③矮②鞋⑥隘④也-
kʷ	①乖瓜③拐寡剐柺⑤怪盐=挂=褂
kʰʷ	①夸③蒯垮⑤快筷
xʷ	①歪花=哗
u	①蛙=洼娲③瓦②怀华=槐淮娃⑥坏化=画=话=
#iᴀ	
ts	③姐⑤借
tsʰ	③笡*
s	③写⑤卸泻
z	②邪斜⑥谢榭④解2{姓，疑似有误}
tɕ	①家={～庭}佳皆价=嘉=袈=痂=阶=③解1={~放}⑤架=假={放～}戒=届诚介=届=驾界=嫁=
dʑ	②☐*{能干}茄={茄子}
ɕ	⑤夏=厦2{～门}
	①椰☐*{偷偷里～进去}鸦=丫=哑=②爷崖涯霞牙=芽=衙=蚜=⑥夜讶械④野也=雅
#ʌ̟	
p	①包褒1胞苞③保宝饱堡褒2{褒义}褓鸨⑤报豹爆1{轮胎晒～落咧}暴1{突出：头娘肖青筋也~出来}咧鲍1{鲍鱼}
pʰ	①抛⑤炮泡
b	②跑袍⑥创暴2{~雨}爆2{~炸}鲍2{姓}瀑1曝1④抱
m	①猫1②猫2毛矛茅⑥冒帽贸1茂貌④牡卵
t	①刀叨③岛捣倒1{打～，墙头～落咧}祷⑤到倒2{颠～，~水}
tʰ	①掏韬滔弢涛1③讨⑤套
d	②桃逃陶淘*涛2萄啕⑥盗导悼蹈④道稻
n	⑥闹④脑恼
l	①捞②牢唠*劳唠痨萝⑥涝④老唠*姥
ts	①招遭抓*2{～痒痒}糟朝1{早上：空~}钊③早枣澡藻沼爪⑤罩照
tsʰ	①操抄超摷*钞③草吵炒⑤糙躁
s	①烧骚梢捎稍1{～微}③扫1{~地}嫂少⑤燥哨臊扫2{~帚}稍2{~息}
z	②潮曹槽☐*{心～}巢朝2{~向}嘲晁⑥邵召④赵造扰*皂兆绍
k	①交-胶-跤-高膏糕羔皋茭③绞-搅-*稿铰-⑤告教-觉-*{睏～}酵-
kʰ	①敲-③考烤拷*铐⑤靠犒
g	④搞
ŋ	②熬敖⑥☐*傲④咬-
x	①☐*{面筋～落咧}蒿③好1{~人}郝⑤耗孝-{带~}好2{~学}
	①凹③拗1{~断}袄⑤拗2{脾气～过佗}奥澳懊噢坳②毫豪壕嚎⑥号④浩皓
#iʌ̟	
p	①镖标膘☐*{喷出}彪飙③表裱婊
pʰ	①飘漂1{浮在液体表面上不沉下去}③瞟漂2{~白；～亮}⑤票漂3{~亮}
b	②瓢嫖剽1⑥剽2
m	②苗描⑥庙妙缪谬④秒藐渺
t	①刁雕调1{～动}貂凋③鸟-⑤钓吊
tʰ	①挑1{~水}③挑2{~衅，～战}⑤跳
d	②条调1～解⑥掉④调2{～头}
l	①捞②撩*聊燎辽僚疗寥缭嘹⑥料廖④了瞭
ts	①焦蕉礁椒
tsʰ	①缲*☐*{～起衣袖管}⑤☐*{挑逗}俏峭
s	①销消笨捎*肖1{姓}宵霄硝逍绡潇③小⑤笑肖2啸
z	②☐*{肚皮痛到登勒地娘～}憔樵
tɕ	①骄浇娇胶=交={～通}郊跤=蛟③缴绞=搅=铰=狡矫侥饺⑤叫校2{~对}教{~育}较窖
tɕʰ	①跷敲=③巧林⑤翘*窍
dʑ	②桥乔侨荞⑥轿④撬
ȵ	②饶⑥绕-尿=④鸟=
ɕ	①☐*{拿书～到第二页}嚣③晓⑤孝=酵=
	①妖要1{～求}邀么吆夭③𬮲*杳窈⑤要2{需～}②摇姚肴淆遥讯窑瑶尧⑥效耀④舀咬=
#u̞	
p	①搬⑤半绊
pʰ	①潘⑤判份☐{我勿～得个}
b	②盘☐*{~勒门角落里}蟠蹒⑥叛④伴挑
m	②瞒鳗谩馒⑥漫④满
tʷ	①端③短⑤锻
tʰʷ	①贪⑤探☐*{拿帽子～下来}
dʷ	②团潭抟*⑥段缎④断
nʷ	②南男囡楠④暖
lʷ	②峦鸾⑥乱④卵☐{~泡}
tsʷ	①专詹砖钻{动词}毡簪瞻沾③盏展转1{量词}辗攒⑤占战转2{动词}颤钻{~头}湛
tsʰʷ	①穿川参1{～加}餐③喘惨⑤窜串
sʷ	①搧{～风}酸拴煽闩③闪陕⑤扇{～子；电风～}算蒜涮
zʷ	②传1{动词}蚕维蝉禅婵然燃⑥单1{姓}膳传2{传记}赡擅绽④善染=鳝
kʷ	①干1{形容词}竿官肝观1{～看}甘柑泔棺冠1{衣~}莞③敢杆管馆感⑤干2{动词}灌观2{～前街}罐贯冠2{～军}盥赣
kʰʷ	①宽髖堪龛看1{～守所}刊③款⑤看2{~见}勘瞰
ŋʷ	⑥岸
xʷ	①熯*{~饼}欢憨③罕⑤汉唤焕
	①鞍庵安剜鹌③豌揞腕⑤暗按案腕鹌黯②含寒完丸韩函桓顽玩邯⑥汗換岸憾焊翰患幻宦捍悍④旱撼缓
#yu̞	
tɕ	①捐娟鹃滑③卷1{做动词}⑤卷2{做名词}绢眷
tɕʰ	①圈1{圆～}③犬⑤劝券
dʑ	②权拳鬆踡颧⑥倦④圈2{养家畜的棚栏}
ɕ	①轩靴喧萱
ȵ	②源元-原鼋缘⑥愿④远2{长～}
	①怨1鸳渊③苑⑤怨2②元=员圆园袁猿援垣玄⑥县炫眩院媛掾④远1{老～}
	1
#i	
p	①边鞭编煸蝙砭③扁匾贬⑤变
pʰ	①偏篇翩⑤骗片
b	②便1{便宜}骈⑥便2{方便}卞汴④辩辨辫
m	②棉绵眠腼⑥面④免勉娩冕湎
t	①掂踮颠癫巅③点碘典⑤店
tʰ	①天添③舔腆⑤掭
d	②田甜填恬⑥电奠淀殿佃④殄
l	②连莲联廉帘怜镰涟⑥练炼恋敛楝链殓④脸
ts	①尖煎湔*☐*{~便宜}歼笺③剪⑤箭溅=荐
tsʰ	①签干☐*{~跟头}槧*{～苹果}迁芊阡③浅⑤堑倩茜
s	①先仙鲜纤宣③癣选冼⑤线腺
z	②全泉旋钱前挦*{～鸡毛}痊潜荨⑥贱饯漩渐羡④践
tɕ	①肩奸=监=兼搛*艰间1{中间}毽坚③减=碱=裥=拣茧趼简检睑柬謇⑤建见剑谏鉴间2{间隔}涧=锏
tɕʰ	①牵嵌=谦骞③遣⑤欠谴芡歉
dʑ	②掮拑黔乾钳箝虔犍⑥健*揵*键腱④件俭
ȵ	①拈②年严阎黏鲇研⑥念廿验砚彦☐*{～地皮}谚④碾染-捻
ɕ	①掀☐*③险显蚬⑤献宪苋
	①蔫{物不鲜}燕1{燕京}烟胭③掩匽*⑤厌咽1{下~}☐*{训皮好动}燕2{燕子}晏2{晏子}堰宴
#e	
p	①杯碑悲背1{背物事}卑⑤捭*辈背2{背心}贝狈
pʰ	①胚坯沛1⑤配沛2
b	②陪赔裴培⑥背3{背书}倍备痱焙蓓佩④☐*{勒缝缝头里～}
m	①每1美1②煤眉=媒梅枚莓酶玫楣鹛莓⑥妹昧魅媚④镁每2美2
t	①呆1{发呆}堆③歹⑤对
tʰ	①推胎苔1{舌苔}③腿⑤褪退
d	②抬台兑颓苔2{青苔}⑥袋贷代逮岱黛玳④待怠
n	④乃奈馁⑥内耐
l	②來雷累1{累赞}萊⑥类赖=累2劳累擂籁=④垒蕾磊耒儡
ts	①灾追锥③宰载1{转载}⑤再录醉载2{装载}赘缀
tsʰ	①猜祥催推③采豚彩⑤脆翠菜粹萃
s	①虽腮鳃③髓⑤赛岁碎税锐塞1{边塞}
z	②才材财裁垂随隋⑥睡穗遂隧瑞坠蕊④在罪
k	①该赅*③改⑤钙盖☐*{~屁股}丐概溉
kʰ	①开③凯铠⑤慨
g	⑥隑*☐*{傻：～头}④☐*{（打）饱嗝儿}
ŋ	②呆*2{呆板}癌⑥碍艾
x	③海
	①哀还1{副词}⑤爱暧蔼隘②孩骸⑥害亥
kʷ	①归硅规闺圭鲑龟瑰③鬼=诡轨癸⑤贵=刽鳜桂
kʰʷ	①亏☐*{显示自己富有}窥奎睽盔③傀跬⑤块愧愦
gʷ	②葵夔睽逵馗⑥柜跪=溃馈
xʷ	①灰挥恢辉晖徽③毁悔贿⑤☐*{扔}晦秽缘讳诲荟烩
u	①萎☐*{动作幅度适当}威偎卉③委痿⑤畏尉慰②回围韦☐*{转卖}茴蛔危违微=为1{作～}⑥胃会位魏纬为2{介词}绘卫伪谓维谓渭惠蕙彗慧④伟苇炜玮
#e/ᴇ	
p	①班坂癍斑版1*{量词}颁般③板版2⑤扮
pʰ	①攀⑤鋬*{茶壶～}盼襻
b	②爿☐*{爬}⑥办瓣
m	②蛮⑥慢蔓
f	①番翻蕃1{～茄}幡③反返⑤泛贩☐*{心～}
v	②烦繁樊帆凡藩矾⑥万饭梵④范犯
t	①丹单2担1{动词}耽殚眈郸③胆掸疸⑤石{量词}旦担2{名词}
tʰ	①摊*瘫坍滩③毯坦忐⑤炭叹碳
d	②谭谈痰弹1{动词}檀昙坛⑥蛋☐*{～转来}但弹2{名词}氮④淡诞
n	②难1{困～}⑥难2{灾～}
l	②篮监栏拦兰灠*{沾染}爁*{焯}岚澜褴⑥烂滥缆④懒揽览榄
ts	①劗*{到菜场～两斤肉来}③㜺*{美好}斩崭⑤蘸赞
tsʰ	①搀③铲产⑤灿
s	①三山衫杉珊删姗跚③散1{~文}⑤伞散2{解～}讪汕
z	②馋惭残谗残⑥站灒暂栈
k	①间-监-尴③减-碱橄⑤间{间隔：～开}
kʰ	③槛⑤嵌-
ŋ	②颜④眼
x	①☐*{肿}③喊*
	⑤淹晏{时间晚}②咸闲-衔⑥限-陷-
kʷ	①关⑤惯
gʷ	②环鬟④掼
u	①湾弯②还2{动词}
#ei	
m	②谋⑥贸2④某亩
f	③否
v	②浮{～尸}
t	①兜③抖陡⑤斗*逗
tʰ	①偷③㪗*⑤透
d	②投头⑥豆痘窦读1{句~}逗{标点符号}
l	②楼搂流留瘤刘遛娄熘浏硫榴琉⑥漏陋馏溜镂④柳
ts	①周州洲舟邹诌③走酒帚=肘⑤皱奏揍咒绉骤
tsʰ	①鳅③丑1⑤凑
s	①修馊搜艘飕嗖③守首擞⑤锈绣瘦兽秀嗽狩
z	②愁绸筹=稠调酬柔揉⑥寿☐*{不正经}就袖宙骤授售=④受*纣绶
k	①沟勾钩篝③狗苟⑤够购构
kʰ	①抠眍③☐{叩釦}⑤扣寇蔻
g	⑥厚
ŋ	④藕偶耦
x	①☐*{（背）弯曲}☐*{勒抽屉里～物事}③☐*{～牵～百～}吼
	①欧鸥讴瓯③呕殴⑤☐*{低（头），拱（背）}②猴侯喉瘊⑥候④后
#əɯ	
p	①波播玻菠③补簸{颠～}跛⑤布怖簸{～箕}
pʰ	①铺{～床}坡剖潽*③普浦脯{肉～}谱埔圃叵⑤破☐*{过一～}铺2{店~}
b	②婆孵*☐*{～面孔}蒲菩脯2{胸～}⑥步捕埠哺薄{～荷}④部簿
m	②魔磨膜摩蘑模墓⑥幕幕暮募④母拇
t	①炙都③赌朵躲堵挅*睹肚1{～子}⑤剁妒垛
tʰ	①拖③土吐妥椭⑤兔唾堍
d	②图驮涂屠途驼鸵砣徒屠⑥度波镀惰④杜☐*{拿碗～出来}舵肚2{～皮}堕
n	②拿奴⑥糯怒④努弩
l	②摞脶卢箩啰骡螺芦炉颅鲈泸辘鹭庐罗逻锣髅⑥路探露赂鹭☐{潮~~}④篓橹卤虏鲁裸
ts	①租渣-{～～头}楂③左组祖阻诅⑤做炸-{爆～}榨-{榨菜}佐
tsʰ	①叉-粗初搓杈-钗-磋③楚⑤错酷挫措锉诧-岔-
s	①沙纱酥苏蔬☐*{用橡皮头拿错别字～～落}梭鲨-裟-疏梳稣③锁数1{动词}所索琐⑤素数2{名词}诉
z	②茶搽查锄痤⑥助座④坐*
k	①歌哥戈③果裹⑤过*个1{个人}
kʰ	①科棵颗窠苛蝌稞③可⑤课
ŋ	②鹅峨俄蛾讹娥⑥饿④我
x	①呵③火伙⑤货荷1{薄荷}
	①屙*阿2{～胶}倭蜗②禾何利荷2{荷花}⑥贺④祸荷3{负~}
#iəɯ	
tɕ	①纠揪赳鸠③九久玖帚-{笤~}玖韭灸⑤救咒疚究
tɕʰ	①丘邱蚯③丑⑤臭
dʑ	②求球仇裘筹-售-④舅白咎
ȵ	②牛④扭纽钮忸
ɕ	①收休羞③手朽⑤嗅
	①优忧幽③黝⑤幼②游油由尤犹悠鱿疣蚰⑥义右佑柚种④有友莠诱酉
#æ̃	
p	①浜⑤迸
pʰ	①烹*☐*{～绒线}☐*{雨～进来咧}砰乓⑤☐*{~台子}閛*
b	②棚☐*{（两腿）叉开}硼朋膨澎④碰蚌
m	④猛1-⑥孟
t	③打
l	④冷
ts	①张*章漳獐③长1{~大}涨掌⑤胀仗帐障蟑
tsʰ	①撑昌娼③厂⑤唱畅倡
s	①生商伤笙牲甥觞③赏省2{～电}晌
z	②肠尝场长2{～短}常偿嫦⑥上尚④丈杖
k	①羹③梗哽埂☐{～灰，生石灰}
kʰ	①坑-
ŋ	⑥硬
x	①亨
	①樱-②行1-{～船}⑥杏
kʷ	①光{又，～火}
u	①横1-*②横2-{笔画之一}
#iæ̃	
l	②良梁量1{测~}凉粮粱⑥亮辆谅靓量2{重~}④两
ts	①浆将1{~军}③奖桨蒋⑤酱将2{激～}
tsʰ	①枪③抢⑤呛戗*☐*{伊块布还可以一～两}炝
s	①箱镶*相1{互～}厢湘襄③想⑤相2{~亲；照～}
z	②墙详*{伊个是我～出来个}蔷祥翔⑥匠④象像橡
tɕ	①僵姜疆缰
tɕʰ	①腔羌
dʑ	②强
ȵ	②娘⑥酿☐*{豆沙～}④仰
ɕ	①香乡☐*{～嘴}③享响飨⑤向
	①秧央殃②羊杨扬烊*洋鸯阳疡徉⑥样怏恙漾④养痒氧
#ɔ̃	
p	①帮邦③绑榜⑤谤
pʰ	⑤胖
b	②防-滂旁彷庞螃膀⑥傍④棒
m	②忙芒茫盲氓虻亡⑥忘望妄④网
f	①方芳坊妨③纺仿⑤放访舫
v	②防=房
t	①当1{～然}裆③党挡⑤☐*{～牢}当2{妥～}
tʰ	①汤☐*{～牢飞来个球}③躺⑤烫趟
d	②堂唐糖塘螳搪膛⑥宕*砀④荡*盪*
n	②瓤囊④☐*
l	②狼郎廊榔螂⑥浪晾*{～衣裳}④朗
ts	①装庄桩妆脏1{肮脏}⑤壮葬
tsʰ	①窗疮仓舱苍沧③闯⑤创☐*{搓污}
s	①双霜桑丧{～事}孀③爽嗓⑤丧{～命}
z	②床⑥状幢脏2{心脏}④撞
k	①钢缸扛1{抬东西}冈刚纲肛③岗港⑤杠降1{温度～下来咧}
kʰ	①糠康③慷⑤囥抗炕伉亢
g	②扛2{用肩膀承担}
ŋ	②昂
	①肮盎☐{跟人说话态度不耐烦：～～操操}②☐*{~一记}行2{银～}航杭吭降2{投～}⑥项④巷
kʷ	①光③广犷⑤逛
kʰʷ	①筐框眶⑤矿况旷
gʷ	②狂
xʷ	①恍荒③谎恍⑤晃
u	①汪③枉妄往②王黄簧皇蝗凰⑥旺=
#iɔ̃	
	⑥旺-
#ən	
p	①奔畚*崩=③本
pʰ	①喷1{～饭}烹抨怦⑤喷2{～嚏}
b	②盆④笨
m	①猛2=②门闻-{嗅}蚊-萌1盟1⑥闷
f	①分1{～散}芬纷氛③粉⑤粪奋吩
v	②坟文蚊=闻={新～}焚纹汾⑥份分2{本～}④愤忿
t	①蹲膯*登灯吨墩敦③等⑤顿*炖凳瞪
tʰ	①吞☐*③氽*
d	②誊藤純屯臀豚腾⑥邓钝澄☐*{讽刺}遁④盾囤沌
n	②能⑥嫩
l	②轮纶*楞伦抡仑沦鳞-⑥论
ts	①针蒸真珍贞侦斟帧甄争{竞～}挣正1{正月}筝证征症政增曾{曾子}憎肫尊遵樽③枕整准捘*诊疹拯⑤振震郑镇正2{～好}赈圳鸠朕证怔
tsʰ	①称1{称分量}春村皴③蠢逞忖⑤衬趁乘1{～车，本字是趁}称2{相称}秤寸蹭
s	①身深伸参2{人参}孙森僧呻申莘绅娠声狲生={花～，～产，～龙活虎}③沈审损婶吮榫⑤胜渗圣瞬舜
z	②沉尘陈存晨岑臣辰忱莼唇醇鹑⑥郑盛阵成层乘2{乘法}城诚阵橙润曾2{～经}丞呈程承惩任2{责～}刃闰赠盛韧1{～带}饪⑥肾顺甚葚忍
k	①根跟更1={改变，经历}羹=庚③耿颈⑤更2{再，越发}
kʰ	①肯啃恳垦吭铿⑤☐*{老~，鼻涕～}
g	④☐*{用力啃：～骨头}☐*{倔强}☐*{撞}
x	①哼☐*{撕}③恨
	①恩③揞*②横=痕恒衡⑥恨④很
kʷ	③滚1{滚开}⑤棍滚*2{拿水〜了热水瓶里}
kʰʷ	①昆坤鲲③捆⑤睏*困
xʷ	①昏荤婚⑤混1{~日脚}
u	①温瘟③稳②魂混2{同“浑”}浑馄
#in	
p	①兵冰宾滨斌彬濒缤槟③柄丙饼炳秉禀⑤鈵*併1{合併}殡鬓摒
pʰ	①拼姘乒③品⑤聘
b	②平瓶凭评贫频坪萍苹屏⑥病④並2{～且}
m	②名民明鸣铭茗酩冥螟暝⑥命④抿闽皿闵泯悯敏
t	①叮盯钉{名词}疔③顶鼎酊⑤订钉{动词}濎
tʰ	①厅听1{~闲话}汀烃③挺⑤听2{~其自然}☐*{～着一碗冷饭}
d	②停庭亭廷蜓⑥定④锭铤艇
l	①拎②零林灵菱铃林凌玲邻泠聆龄羚临琳淋粼麟磷棱绫陵⑥另令吝赁藺④领凛廪懔岭
ts	①精腈*睛晶津菁③井⑤浸进俊晋骏竣
tsʰ	①清青亲1{~戚，~密}侵蜻③请寝⑤沁親1{亲家}
s	①心新星辛薪猩腥询荀③醒省1{检奇自己，看望父母；反～}⑤信姓性汛讯迅逊
z	②寻情晴秦纯旬循巡峋⑥殉徇净④尽静烬靖
tɕ	①今斤京惊金经茎筋矜襟兢泾荆③紧景锦警颈憬境⑤敬禁劲竟镜径
tɕʰ	①轻钦倾卿③顷⑤揿*庆磬罄
dʑ	②琴勤芹擒禽芩鲸黥⑥仅竞④近痉
ȵ	②人拧银任1{姓}宁咛柠凝仁龈⑥认韧2{有～性}
ɕ	①欣馨兴1{～盛}③幸={～运}⑤兴2{高～}
	①阴鹰音因咽2{咽喉}茵姻殷荫婴英应1{～该}莺樱=缨鹦③影隐颖饮⑤瀴*印映应2{～声虫}②赢迎营行3{～为}吟淫垠寅蝇盈嬴萦荧莹萤刑形⑥胤④引蚓尹郢
yn	
tɕ	①军君菌均钧巾
dʑ	②群裙⑥郡
ɕ	①熏勋⑤训
	③允1⑤熨②匀云晕⑥运韵④允2
#oŋ	
p	③蹦*崩
pʰ	③捧
b	②蓬埲*篷
m	②蒙朦檬盟2萌2
f	①风疯封枫丰葑烽峰蜂锋⑤讽
v	②冯逢缝⑥凤俸④奉
t	①东冬③懂董⑤孫栋{～梁}
tʰ	①通③捅*统⑤痛
d	②同铜童筒桐瞳⑥洞幢=④桶动
n	⑥弄2{～白相}
l	②龙笼珑隆窿⑥弄1{～堂；玩弄}④拢垄
ts	①盅忠终{大概}钟棕中1{~心}衷宗综踪鬃③肿种{～子}总冢踵⑤种2{～植}中2{～毒}仲众纵粽
tsʰ	①充葱冲1{～厕所}憧匆囱聪③宠⑤蹱*冲2{说话很～}
s	①松嵩淞③耸怂⑤送宋讼诵颂
z	②虫从丛重1{～新}崇淙⑥仲④重2-{～量}
k	①工公弓宫功攻躬供1{～应}恭蚣③汞拱巩⑤供2{~佛}贡
kʰ	①空③孔恐⑤控
g	⑥共
x	①烘③哄
	①嗡齆*翁⑤☐*{触霉头}瓮{~头}②红洪鸿虹
#ioŋ	
tɕ	③迥窘
tɕʰ	①穹1
dʑ	②穷琼穹2
ȵ	②脓浓绒农
ɕ	①兄胸凶
	①庸臃②荣容熊雄蓉融熔慵麻墉镛⑥用泳咏佣④勇涌蛹永踊
#ᴀʔ	
p	⑦八百伯伯柏
pʰ	⑦拍啪泊
b	⑧拔白
m	⑧袜脉麦抹陌
f	⑦法发
v	⑧罚乏伐筏阀
t	⑦答搭*嗒*耷
tʰ	⑦搨*塌☐*{～眼皮}榻蹋1{踢踏舞}遢獭
d	⑧踏2{拨人家～着一脚}达达
n	⑧捺纳
l	⑧☐*{栏住：划（出）}辣蜡腊猎邋瘌
ts	⑦着*1{穿：～衣裳}扎酌眨窄摘☐{～拉拉里}
tsʰ	⑦尺插拆册赤焯*察擦嚓策匙
s	⑦杀煞☐*{眨（眼）}刹霎
z	①杂石炸2{把食物放在煮沸的油或水里弄熟}着2{体助词：捉～一只鸡}射☐*{~出来一只角}砸闸札铡勺芍宅
k	⑦格隔夹-胳
kʰ	⑦甲-{节～，指甲}掐客☐*{压}恰
g	⑧轧
ŋ	⑧齾额
x	⑦瞎-吓-喝{呷}呷{喝}
	⑦压鸭押⑧盒狭皿
kʷ	⑦刮呱聒掴
gʷ	⑧☐*{耳朵～着一句闲话}
xʷ	⑦辖豁*眓
u	⑦挖⑧划滑猾
#iᴀʔ	
l	⑦略掠
ts	⑦爵雀1
tsʰ	⑦☐{拿牌～两把}雀2鹊且
s	⑦削
z	⑧嚼
tɕ	⑦脚甲=
tɕʰ	⑦却恰=洽怯2
dʑ	⑧剧
ɕ	⑦瞎=吓=
ȵ	⑧捏疟虐
	⑦约⑧穴-药阅1悦1峡钥跃
#əʔ	
p	⑦拨*1{给}钵
pʰ	⑦泼魄
b	⑧拨*2{用力转动}☐*{～勿清爽}钹勃渤鼻-
m	⑧墨没末默沫抹物茉
f	⑦弗勿
v	⑧佛
t	⑦☐*{～信封}掇得德
tʰ	⑦脱忒忑
d	⑧夺凸突特
n	⑧钠萘呐
l	⑧勒☐*{搭你～勿清爽}☐*{表皮被划伤}肋
ts	⑦折织汁仄啧☐*{固执}褶则摺哲浙炙职质执帜责
tsʰ	⑦撤*测☐*{布头～落例}侧徹彻澈叱恻
s	⑦式火识虱涩说色室设湿摄适释饰拭轼塞瑟啬
z	⑧十折实拾1{拾元}直值贼涉舌入食蚀什殖植侄术述秩蛰择泽
k	⑦割个2{量词}葛革{人革}合{～算}鸽疙蛤
kʰ	⑦克刻磕咳搕*瞌
g	⑧搿*
x	⑦黑赫壑
	⑦扼遏厄⑧合核1{核对}貉涸褐
kʷ	⑦骨国帼蝈
kʰʷ	⑦阔扩
xʷ	⑦寣*{睏着～}
	⑦☐{郁闷：～塞}⑧活获核2{桃核}囫或惑
#iəʔ	
tɕ	⑦急级击结激☐*{～眉毛}揭吉给{供~}孑吉
tɕʰ	⑦吃*泣讫契怯1
dʑ	⑧及极杰
ɕ	⑦吸歇蝎
ȵ	⑧热日孽聂蹑镊业逆溺匿
	⑦乙一壹噎益抑⑧页叶掖*逸翼亦译液腋协
#yəʔ	
tɕ	①菊1桔1锔1橛2觉1={觉悟}决1诀1抉1鞠1掬1厥1躈蹶1攫1谲1孓1
tɕʰ	⑦缺1阙1确1蛐1炔1
dʑ	⑧掘1崛1倔1瘸1
ȵ	⑧月
ɕ	⑦血噱恤1
	⑧粤片2阅2穴2悦2越岳=域1
