
ɿ
s	骚捎艄		嫂稍扫=	扫哨淆□{(~子：浇在粉、面上的配料)}
k	高糕膏羔篙缸-	□{(~浮嗒：很吵)}	搞稿睾□{(量词：一～绳子)}搅□{(~巾；草床垫)}	告诰教-{(~书)}窖□{(互换)}叫{(~花子；乞丐)}
kʰ	敲		考烤铐拷尻	靠铐犒
ŋ	□{(~黄瓜：凉拌黄瓜)}□{(~生：故意找茬)}嗥{(狗叫)}	熬遨鳌□{(摇)}	袄嗥咬{(①用盐、酒等腌东西②因接触刺激性的东西而使人疼痛或使物受腐蚀)}	奥傲澳懊坳拗扷{(用容器或量具试量)}	熬
x	蒿□{模拟嚼脆东西时发出的声音}	豪毫号{~叫}	好{~人}	耗{~子}好{~吃拐：好吃鬼}	号{~码}浩
Ǿ	嗥{狗叫声}

iau
阴平55	阳平22	上声33	阴去24	阳去213
ɕ			晌{(~午饭：中饭)}


əu
阴平55	阳平22	上声33	阴去24	阳去213
m		谋眸	某=亩=牡		贸
f			否
t	兜蔸蚪逗	头投□{(~锄头：把锄头的手柄部分和铁头部分连接好)}	斗{名词}抖陡赳{(用脚踹)}□{(~匣子：骂小孩)}	斗{动词}	豆窦痘逗{(~号)}
tʰ	偷		㪗{(把包着或卷着的东西打开)}	透
l	搂=	楼娄	篓偻□{(~脚：走路时踢到障碍物)}		漏陋□{(发~话：瞎说)}□{(~火：生煤炉火)}
ʦ	邹诌□{(蹲着)}	愁	走	奏揍皱绉咒=
ʦʰ	搊{(~起：半抱半托的动作)}			凑
s	搜艘嗖馊飕		叟	瘦嗽
k	沟钩勾佝□{(弯腰)}□{(扯～:抓阉)}		狗苟枸	够构购垢□{(结~:结冰。凝固)}
kʰ	抠		口	叩扣寇蔻
ŋ	欧鸥殴区{(姓)}讴眍{(眼睛下陷)}		呕藕偶	沤怄
x	䞀{(心~:野心大或心毒)}	喉猴□{(~死：大哭)}□{(应答声)}□{(~泥巴：肥厚的淤泥)}	吼		后厚侯

iəu
阴平55	阳平22	上声33	阴去24	阳去213
p	标膘镖彪飙{(走路很快)}熛{(液体从缝隙中喷出)}	嫖瓢	表婊裱
pʰ	飘漂{(~浮)}		漂{(~白)}瞟	漂{(~亮)}票
m	喵瞄{(四处看)}	苗描	藐渺秒亩-某-□{(相当于“借”.但不用还)}		庙妙谬
t	叼刁雕貂凋碉挑-誂{~火：挑拨是非}□{~田螺：用针等把田螺肉从壳里挑出来}□{阿~:鸟名}	条疗聊僚嘹迢潦调{～和}撩寥缭燎{把菜放在开水里略煮一下捞上来}	了鸟-屌{男性生殖器}嬲嫽{用言语或动作招惹}□{~滴婆：小蚌壳}	吊钓调{音~}掉	调{～动}料{棺材}廖{姓}掉{①悬挂物不断摇摆②引申为物体松弛下垂}
tʰ	挑祧{~屋：堂屋}跳{麻~子:①麻雀②马尾辫}		斢{调换}窕	跳眺
n	溜{~清:很清}	□{用手打人}	鸟袅	□{相当于“扭”} □{装~:装俏}	尿
ʨ	交招椒娇郊胶焦蕉朝昭骄浇跤□{~湿：很湿}缴	樵嘲朝{～代}潮乔侨桥荞瞧□{~伙：一会儿}	绞皎饺狡搅{~拌}剿矫侥{~幸}沼	照叫较酵窖饺{一种面粉做的无馅食品}教{~育}校{~对}	赵兆召诏轿撬
ʨʰ	敲=悄譑{~伙：结伴}超缲{~边：用针线把边缝好}湭{打浮~:游泳}鹊-		巧	俏翘窍鞘峭撬=
ɕ	肖销消宵霄硝嚣萧箫烧{~死嗒：施肥过多而伤了庄稼}□{~起：仰面躺}	淆韶□{相当于“群”}	小晓少{多~}	笑孝哮少{~年}酵邵	效校绍
Ǿ	妖邀腰要{~求}吆	窑遥谣肴摇姚饶	舀扰咬杳绕	要	耀鹞

iu
阴平55	阳平22	上声33	阴去24	阳去213
