V1	V2	V2	
kʰɑu	1	213	敲
xɑu	6	33	號
mɑu	2	21	毛
nɑu	2	21	奴
ŋɑu	2	21	熬
lɑu	6	33	路鹿六
pɑu	6	33	抱
tɑu	1	213	刀
tsɑu	1	213	租州
sɑu	3	42	所數嫂手
tsʰɑu	3	42	草
kʰɑu	5	45	靠
xɑu	3	42	好
mɑu	1	213	貓
nɑu	6	33	鬧
lɑu	3	42	老
pɑu	3	42	寶飽
tɑu	6	33	杜道讀毒
tsɑu	6	33	族
sɑu	5	45	數
tsʰɑu	5	45	糙造臭
mɑu	6	33	帽
nɑu	3	42	腦
tɑu	3	42	賭
tsɑu	3	42	早找
sɑu	7	55	叔
tsʰɑu	7	55	畜
tsɑu	5	45	做灶罩
tsɑu	7	55	卒竹粥足燭
pɔ	2	21	爬
fɔ	7	55	法
tɔ	6	33	達
tʰɔ	7	55	踏塔
tsɔ	2	21	茶
sɔ	2	21	蛇
tsʰɔ	1	213	車
kɔ	5	45	嫁
kʰɔ	7	55	甲客
xɔ	2	21	華
mɔ	6	33	罵麥
ŋɔ	2	21	牙
lɔ	1	213	拉
pɔ	6	33	白
tɔ	3	42	打
tsɔ	1	213	抓
sɔ	1	213	沙杉
tsʰɔ	7	55	插拆尺
kɔ	7	55	夾
xɔ	1	213	蝦花
mɔ	3	42	馬
ŋɔ	3	42	啞
lɔ	6	33	蠟
pɔ	3	42	把
tɔ	7	55	搭
tsɔ	6	33	雜
sɔ	6	33	射石
xɔ	6	33	下畫劃
ŋɔ	7	55	鴨
tsɔ	7	55	閘紮窄摘
sɔ	5	45	曬
xɔ	5	45	化
tsɿ	2	21	池遲祠
sɿ	2	21	時
zɿ	2	21	兒
tsʰɿ	5	45	刺
tsɿ	1	213	知資
sɿ	1	213	師絲
zɿ	6	33	二入日
tsɿ	6	33	字寺治柿侄直
sɿ	6	33	柿事市十實食
zɿ	3	42	耳
tsɿ	3	42	紫紙指子
sɿ	3	42	死使
tsɿ	5	45	制
sɿ	5	45	世四試式
tsɿ	7	55	指汁織
sɿ	7	55	失
pᴇ	6	33	白
pʰᴇ	7	55	拍
tᴇ	6	33	特
tʰᴇ	1	213	吞
tsᴇ	6	33	賊擇
sᴇ	6	33	舌
zᴇ	6	33	熱
tsʰᴇ	1	213	車
kᴇ	1	213	根
kʰᴇ	7	55	刻
xᴇ	6	33	恨
mᴇ	6	33	墨
ŋᴇ	7	55	額
pᴇ	7	55	北百
tᴇ	7	55	得
tsᴇ	7	55	折側
sᴇ	7	55	設虱塞色
tsʰᴇ	7	55	撤側測拆策
kᴇ	7	55	格隔
xᴇ	7	55	黑
fᴇʊ	2	21	浮
tᴇʊ	2	21	頭
tʰᴇʊ	1	213	偷
tsᴇʊ	2	21	朝愁
sᴇʊ	2	21	勺
zᴇʊ	3	42	繞
tsʰᴇʊ	5	45	湊
kᴇʊ	1	213	鉤
kʰᴇʊ	3	42	口
xᴇʊ	6	33	後厚
ŋᴇʊ	3	42	鳥藕
lᴇʊ	2	21	樓
tᴇʊ	6	33	豆
tsᴇʊ	3	42	走
sᴇʊ	1	213	燒
kᴇʊ	3	42	狗
lᴇʊ	6	33	料
tᴇʊ	3	42	抖
tsᴇʊ	5	45	照
sᴇʊ	5	45	瘦
kᴇʊ	5	45	夠
tçia	3	42	解
tçʰiei	5	45	去
sieʊ	6	33	贖
tɕieʊ	1	213	丟
ɕieʊ	1	213	修
lieʊ	2	21	流
tɕieʊ	6	33	袖
ɕieʊ	7	55	削宿
lieʊ	6	33	綠
tɕieʊ	3	42	酒
tɕieʊ	7	55	雀
ɕioʊ	6	33	學
tçioʊ	2	21	球
çioʊ	1	213	休
tçʰioʊ	7	55	曲
ȵioʊ	2	21	牛
Ǿioʊ	2	21	油
tçioʊ	6	33	舅舊
Ǿioʊ	1	213	優
tçioʊ	3	42	九
Ǿioʊ	6	33	右藥
tçioʊ	7	55	腳菊
Ǿioʊ	3	42	有
Ǿioʊ	7	55	幼約育浴
piɔ	7	55	壁
pʰiɔ	7	55	劈
siɔ	7	55	錫
tɕiɔ	6	33	謝
ɕiɔ	2	21	斜
tɕʰiɔ	7	55	踢
tçiɔ	3	42	假
çiɔ	1	213	靴
tçʰiɔ	7	55	吃
Ǿiɔ	2	21	爺
tɕiɔ	5	45	借
ɕiɔ	3	42	寫
tçiɔ	7	55	夾甲
çiɔ	6	33	夏
Ǿiɔ	6	33	夜
tɕiɔ	零	零	姐
tçiɔ	零	零	嫁
Ǿiɔ	3	42	野
piᴇʊ	3	42	表
pʰiᴇʊ	5	45	票
tɕiᴇʊ	2	21	條
ɕiᴇʊ	1	213	簫
tçiᴇʊ	2	21	橋
çiᴇʊ	6	33	校
tçʰiᴇʊ	1	213	敲
miᴇʊ	6	33	廟
Ǿiᴇʊ	2	21	搖
tɕiᴇʊ	1	213	焦
ɕiᴇʊ	3	42	小
tçiᴇʊ	1	213	交
çiᴇʊ	5	45	孝
miᴇʊ	5	45	貓
Ǿiᴇʊ	1	213	腰
tɕiᴇʊ	5	45	釣
ɕiᴇʊ	5	45	笑
tçiᴇʊ	6	33	轎
Ǿiᴇʊ	5	45	要
tçiᴇʊ	5	45	叫
kua	3	42	拐
kʰua	3	42	塊
xua	2	21	懷
Ǿua	1	213	歪
kua	5	45	怪
kʰua	5	45	快
xua	6	33	壞罰或
Ǿua	6	33	襪
kua	7	55	刮
xua	7	55	滑
Ǿua	7	55	挖
kuæ	2	21	垂
kʰuæ	1	213	吹虧
xuæ	2	21	回肥
ŋuæ	1	213	危
Ǿuæ	2	21	回圍
kuæ	1	213	規龜
xuæ	1	213	灰
ŋuæ	6	33	外
Ǿuæ	6	33	衛位味胃
kuæ	6	33	跪櫃
xuæ	6	33	會
kuæ	3	42	鬼
kuæ	5	45	桂貴
kuæ	7	55	骨
kuœ	7	55	國
kʰuœ	7	55	闊
xuœ	6	33	活
kuɔ	1	213	瓜
Ǿuɔ	6	33	話
kuɔ	5	45	掛
Ǿuɔ	3	42	瓦
tɕyæ	1	213	追
ɕyæ	3	42	水
kyæ	2	21	錘
tçyᴇ	7	55	決
çyᴇ	7	55	血
tçʰyᴇ	7	55	缺
Ǿyᴇ	6	33	月
Ǿyᴇ	7	55	越
pen	2	21	貧瓶
pʰen	3	42	品
ten	2	21	停
tʰen	1	213	廳
tsen	2	21	尋
sen	2	21	尋
tsʰen	1	213	親清
men	2	21	民明名
len	2	21	林鄰零
pen	1	213	冰兵
ten	6	33	定
tʰen	3	42	挺
tsen	6	33	靜
sen	1	213	心新
tsʰen	5	45	浸
men	6	33	命
len	3	42	領
pen	3	42	柄餅
tsen	5	45	進俊
sen	5	45	姓
pɐn	2	21	盆
fɐn	2	21	墳
tɐn	1	213	墩蹲
tsɐn	2	21	沉陳程城
sɐn	2	21	神辰繩
zɐn	2	21	人
tsʰɐn	1	213	村
mɐn	2	21	門
nɐn	6	33	嫩
lɐn	2	21	輪
Ǿɐn	2	21	蚊
pɐn	3	42	本
fɐn	1	213	分
tsɐn	1	213	針貞
sɐn	1	213	深身孫升聲
zɐn	6	33	任認
tsʰɐn	5	45	寸秤
Ǿɐn	1	213	溫
fɐn	3	42	粉
tsɐn	3	42	整
sɐn	6	33	剩
Ǿɐn	6	33	問
fɐn	5	45	糞
tsɐn	5	45	鎮震證正
sɐn	3	42	筍
ɕien	2	21	形
tçien	2	21	琴勤經
çien	2	21	行
tçʰien	5	45	慶
ȵien	2	21	銀迎
Ǿien	2	21	蠅營
tçien	1	213	金筋
çien	5	45	興
Ǿien	1	213	音
tçien	6	33	近
Ǿien	3	42	引隱影
tçien	3	42	緊
Ǿien	5	45	印
tçien	5	45	勁鏡
kuɐn	3	42	滾
kʰuɐn	5	45	困
xuɐn	2	21	魂
xuɐn	1	213	婚
tɕyɐn	2	21	裙
ɕyɐn	2	21	唇純
tɕʰyɐn	1	213	春
tçyɐn	1	213	軍
çyɐn	1	213	熏
Ǿyɐn	2	21	勻雲榮
tɕyɐn	1	213	均
ɕyɐn	6	33	順
Ǿyɐn	6	33	閏運
tɕyɐn	3	42	准
Ǿyɐn	3	42	永
pɑŋ	2	21	朋棚
pʰɑŋ	2	21	蓬
fɑŋ	1	213	風豐封蜂
tɑŋ	2	21	銅
tʰɑŋ	1	213	通
tsɑŋ	2	21	蟲
sɑŋ	1	213	僧生松
tsʰɑŋ	1	213	蔥充沖
mɑŋ	6	33	夢
nɑŋ	2	21	膿濃
lɑŋ	2	21	聾龍
fɑŋ	6	33	鳳縫
tɑŋ	1	213	東冬
tʰɑŋ	3	42	桶統
tsɑŋ	1	213	爭中終
sɑŋ	5	45	送宋
mɑŋ	3	42	猛
lɑŋ	6	33	弄
tɑŋ	6	33	動洞
tʰɑŋ	5	45	痛
tsɑŋ	6	33	重
tɑŋ	3	42	懂
tsɑŋ	3	42	腫
tɑŋ	5	45	凍
tsɑŋ	5	45	粽種
pɔŋ	1	213	幫
pʰɔŋ	5	45	胖
fɔŋ	2	21	房防
tɔŋ	2	21	糖
tʰɔŋ	1	213	湯
tsɔŋ	2	21	長床
sɔŋ	2	21	嘗
zɔŋ	6	33	讓
tsʰɔŋ	1	213	倉瘡窗
kɔŋ	1	213	鋼
kʰɔŋ	1	213	糠筐
xɔŋ	2	21	黃房
mɔŋ	2	21	忙
ŋɔŋ	5	45	暗
lɔŋ	6	33	浪
pɔŋ	3	42	綁
fɔŋ	1	213	方
tɔŋ	3	42	黨
tsɔŋ	1	213	張裝章樁
sɔŋ	1	213	霜傷雙
tsʰɔŋ	3	42	廠
xɔŋ	1	213	慌
pɔŋ	5	45	棒
fɔŋ	3	42	紡
tsɔŋ	6	33	撞
sɔŋ	6	33	上
tsʰɔŋ	5	45	唱
xɔŋ	6	33	項
fɔŋ	5	45	放
tsɔŋ	5	45	壯
xɔŋ	5	45	放
tçiɑŋ	2	21	窮
çiɑŋ	2	21	熊雄
Ǿiɑŋ	2	21	容
çiɑŋ	1	213	兄兇
Ǿiɑŋ	6	33	用
Ǿiɑŋ	5	45	擁
tɕiɔŋ	1	213	漿
ɕiɔŋ	6	33	像
tɕʰiɔŋ	3	42	搶
tçiɔŋ	1	213	薑江
çiɔŋ	2	21	降
tçʰiɔŋ	1	213	筐
ȵiɔŋ	2	21	娘
liɔŋ	6	33	亮
Ǿiɔŋ	1	213	秧
tɕiɔŋ	6	33	匠像
ɕiɔŋ	3	42	想
tçiɔŋ	3	42	講
çiɔŋ	3	42	響
liɔŋ	3	42	兩
Ǿiɔŋ	6	33	樣
çiɔŋ	5	45	向
Ǿiɔŋ	3	42	癢
kuɑŋ	1	213	公宮恭
kʰuɑŋ	3	42	孔
xuɑŋ	2	21	紅
Ǿuɑŋ	1	213	翁
kuɑŋ	6	33	共
xuɑŋ	3	42	烘
kuɔŋ	2	21	狂
Ǿuɔŋ	2	21	王
kuɔŋ	1	213	光
Ǿuɔŋ	6	33	旺
Ǿuɔŋ	3	42	網
pĩ	3	42	扁
pʰĩ	5	45	片
tĩ	2	21	甜田
tʰĩ	1	213	添天
tsĩ	2	21	錢前全
sĩ	1	213	鮮先
tsʰĩ	1	213	簽
mĩ	2	21	棉
lĩ	2	21	連蓮
tĩ	6	33	墊
tsĩ	1	213	尖
sĩ	3	42	選
tsʰĩ	3	42	淺
mĩ	6	33	面
tĩ	3	42	點典頂
tsĩ	3	42	剪
sĩ	5	45	線
tĩ	5	45	店
pœ̃	2	21	盤
pʰœ̃	5	45	判
tœ̃	1	213	端
tsœ̃	2	21	蠶
sœ̃	1	213	酸閂
kœ̃	1	213	甘
xœ̃	2	21	含
mœ̃	3	42	滿
nœ̃	2	21	南
ŋœ̃	1	213	安
lœ̃	6	33	亂
pœ̃	1	213	搬
tœ̃	6	33	斷
sœ̃	5	45	算
kœ̃	3	42	感敢
xœ̃	1	213	橫
nœ̃	3	42	暖
ŋœ̃	6	33	岸
pœ̃	5	45	半
tœ̃	3	42	短
pã	1	213	班
fã	1	213	翻
tã	2	21	潭彈
tʰã	3	42	毯
tsã	1	213	爭
sã	1	213	三衫山生
tsʰã	3	42	鏟產
kã	1	213	間
kʰã	1	213	坑
xã	2	21	鹹
mã	6	33	慢
nã	2	21	難
ŋã	6	33	硬
lã	2	21	藍蘭
pã	6	33	辦
fã	6	33	犯飯
tã	1	213	單
tʰã	5	45	炭
sã	3	42	傘
xã	3	42	喊
ŋã	3	42	眼
lã	6	33	爛
pã	3	42	板
fã	3	42	反
tã	6	33	淡
lã	3	42	懶冷
pã	5	45	扮
tã	3	42	膽
tɛ̃	2	21	藤
tsɛ̃	2	21	纏層
sɛ̃	1	213	參
zɛ̃	3	42	染
tsʰɛ̃	1	213	鉛
kɛ̃	1	213	更耕
kʰɛ̃	3	42	肯
nɛ̃	2	21	能
ŋɛ̃	1	213	恩
tɛ̃	1	213	燈
tsɛ̃	5	45	占戰
sɛ̃	6	33	善
kɛ̃	3	42	梗
tɛ̃	3	42	等
sɛ̃	3	42	省
tɛ̃	5	45	凳
sɛ̃	5	45	扇
piã	1	213	平
tɕiã	1	213	釘松
ɕiã	1	213	星
tɕʰiã	1	213	清青
tçiã	1	213	間奸經
çiã	6	33	限
tçʰiã	1	213	輕
miã	2	21	明
liã	2	21	零
Ǿiã	2	21	顏贏
piã	6	33	病
tɕiã	3	42	井
tɕʰiã	5	45	聽
tçiã	3	42	減
miã	6	33	命
liã	3	42	領
Ǿiã	3	42	影
piã	3	42	餅
tçiã	5	45	監
piɛ̃	6	33	便
pʰiɛ̃	5	45	騙
tçiɛ̃	2	21	鉗
çiɛ̃	2	21	嫌
tçʰiɛ̃	1	213	牽
ȵiɛ̃	2	21	黏嚴年
Ǿiɛ̃	2	21	炎鹽延言
piɛ̃	5	45	變
tçiɛ̃	1	213	肩
çiɛ̃	6	33	現縣
tçʰiɛ̃	5	45	欠
ȵiɛ̃	6	33	驗念
Ǿiɛ̃	1	213	煙
tçiɛ̃	6	33	件健
çiɛ̃	3	42	險顯
Ǿiɛ̃	5	45	厭
tçiɛ̃	5	45	劍建見
kuœ̃	1	213	官
kʰuœ̃	1	213	寬
xuœ̃	1	213	歡
Ǿuœ̃	2	21	完
xuœ̃	6	33	換
Ǿuœ̃	3	42	碗
kuã	1	213	關
xuã	2	21	還
Ǿuã	2	21	頑
kuã	5	45	慣
Ǿuã	1	213	彎
Ǿuã	6	33	萬
Ǿuã	3	42	晚
tɕyɛ̃	2	21	傳
ɕyɛ̃	2	21	船
tçyɛ̃	2	21	權
tçʰyɛ̃	1	213	圈
ȵyɛ̃	3	42	軟
Ǿyɛ̃	2	21	圓原園
tɕyɛ̃	1	213	磚
tçyɛ̃	3	42	卷
tçʰyɛ̃	5	45	勸
Ǿyɛ̃	1	213	冤
tɕyɛ̃	6	33	傳
Ǿyɛ̃	6	33	院
tɕyɛ̃	3	42	轉
Ǿyɛ̃	3	42	遠
tɕyɛ̃	5	45	賺
