#a
p[1]巴芭疤[2]爬琶杷爸[3]把[5]霸坝
k[1]居车{~马炮}饥肌几{茶~}基机讥[2]佢[3]锯句寄己纪杞记几{~乎}几{~个}既
kʰ[1]渠枢拘驹区驱歧冀[2]奇骑祁鳍其期{时~}棋旗祈[3]企[5]据俱矩具惧徛技妓忌
ŋ[2]疑[3]语蚁耳饵[5]仪义议二而
h[1]墟虚嘘牺欺嬉熙希稀[3]去许戏器弃起气汽岂
j[1]于淤迂盂医依[2]余愚榆逾愉禹愈裕宜谊移夷姨肄饴异[3]与宇羽倚椅拟矣已以意[5]御誉豫预遇寓吁易{难~}
∅[1]伊衣

#u
p[3]布怖怖补
pʰ[3]谱普浦铺{店~}捕[5]脯{胸~}部簿步
m[1]摹{~仿}[2]模{~子}[3]武舞侮鹉亩母拇[5]暮慕墓募务雾
f[1]呼夫肤敷俘孵麸芙[2]胡湖狐壶乎符浮[3]苦虎浒府腑斧抚富副[5]户沪戽互护扶俯甫脯{杏~}父釜妇负阜附傅赴讣赋腐辅付
t[1]都[3]赌堵
tʰ[2]徒屠途涂图[3]土吐兔[5]肚杜妬度渡镀铎踱
n[2]奴[3]努女[5]怒
l[2]卢炉芦鸬庐[3]鲁橹虏滷[5]路露鹭
ts[1]租褚{姓}诸诛蛛株朱硃珠[2]煮[3]祖组苎著拄主注蛀[5]做
tsʰ[1]粗蛆[2]徐厨[3]醋楚处{相~}处{~所}杵[5]柱驻註住铸
s[1]蔬书舒输[3]暑鼠黍署数{动词、名词}[5]庶恕薯竖树
ɬ[1]苏酥鬚[3]素诉嗉絮漱{~口}
k[1]姑孤估[3]古牯鼓故固雇顾
kʰ[1]箍[5]库
h[1]枯[3]裤
j[2]儒虞喻[5]如
w[1]乌污坞巫诬[3]雨[5]芋

#ai
p[1]稗[3]拜摆
pʰ[2]排牌簿[3]派[5]败
m[2]埋[3]买[5]卖
f[3]快
t[2]呆[3]戴带
tʰ[1]胎[2]臺苔抬[3]态太泰[5]待怠殆贷代袋大
n[2]捺[3]乃奶[5]耐奈
l[1]拉[5]赖癞
ts[1]灾栽滓斋[3]宰载{年~}载{~重}载{满~}再债
tsʰ[1]猜钗差{出~}[2]才材财裁豺[3]彩采睬菜蔡
s[2]柴[3]晒[5]寨
k[1]该皆階稭楷街[3]改介界芥尬疥届戒解{~开}解{姓}解{晓也}
kʰ[3]凯概溉慨启
kʷ[1]乖[3]怪拐
kʰʷ[3]刽筷
ŋ[2]挨捱[5]碍艾
h[1]开揩[2]孩谐鞋懈[3]海[5]亥害蟹械
w[2]怀淮槐歪[3]外块[5]坏
∅[2][1]哀埃[3]矮爱

#ɐi
p[1]跛悲[3]蔽陛闭臂痹[5]敝
pʰ[1]批[5]箅
m[2]迷谜[3]米
f[3]废吠费
t[1]低[3]底抵帝
tʰ[1]梯屉[2]堤题提蹄啼[3]体替剃[5]弟涕第递
n[2]泥尼[5]腻
l[2]来例犁梨吏黎[3]礼[5]厉励丽隶荔
ts[1]挤剂[3]祭际穄济制[5]滞
tsʰ[1]妻[2]齐脐
s[1]筛[3]砌世势[5]誓逝使驶
ɬ[1]西棲犀[3]洗细壻
k[1]鸡[3]计继系{~鞋带}髻季
kʰ[1]稽
kʷ[1]圭闺龟归[3]桂诡轨鬼贵癸
kʰʷ[1]盔奎规亏窥[2]逵葵[3]傀桧溃携畦愧[5]跪柜
ŋ[2]倪[5]艺毅危魏
h[3]奚兮[5]系系{连~}
w[1]威[2]桅惟违围[3]秽伪萎委伟苇讳[5]卫为{作~}为{~什么}维遗唯位畏慰纬胃蝟谓

#ei
p[1]泌秘
kʰ[1]溪[3]契

#ui
p[1]杯[3]贝辈
pʰ[1]胚坯[2]陪赔[3]沛倍培配佩[5]背{~诵}背焙
m[2]梅枚媒煤[3]每美[5]妹
f[1]魁恢[3]毁匪贿悔晦
t[1]堆碓[3]对
tʰ[1]推[3]腿退[5]队
n[5]内
l[2]雷[3]吕旅儡履壘[5]虑滤累{极困}累{~积}累{连~}类泪
ts[1]追锥[3]最醉嘴
tsʰ[1]催崔吹炊槌锤[2]随垂[3]脆翠粹[5]序叙聚在罪缀赘坠
s[3]税帅水[5]睡谁
ɬ[1]须需虽绥[3]岁碎绪[5]髓瑞遂隧
h[1]灰[2]回茴[5]会{~计}会{开~}会{~不~}汇
j[3]乳[5]芮锐蕊
w[5]绘惠慧穗
∅[1]煨

#au
p[1]褒包胞鲍雹[3]保堡宝报饱[5]豹
pʰ[1]泡抛鳔[2]袍[3]抱跑刨炮剖[5]暴菢爆曝瀑
m[2]毛矛[3]卯牡戊[5]冒貌茅貌茂
t[1]刀叨[3]祷
tʰ[1]滔掏[2]桃逃淘陶萄涛[3]讨套[5]道稻盗导
n[2]挠[5]脑恼闹
l[1]捞唠涝[2]劳牢[5]老
ts[1]遭糟[3]早枣蚤澡灶罩爪笊
tsʰ[1]操槽抄钞[2]曹臊巢[3]草躁炒吵[5]皂造糙棹骤
s[1]梢捎稍[3]潲
ɬ[1]骚[5]扫{~地}扫{~帚}嫂
k[1]高膏篙羔糕交郊胶[3]稿告教{~书}教{~育}校{上~}校{~对}校{学~}绞狡铰搅搞矫[5]窖觉{睡~}
kʰ[3]靠犒酷
ŋ[3]咬[5]熬傲肴淆
h[1]蒿敲酵[2]豪壕亳[3]考烤好{喜~}好{~坏}孝[5]号{呼~}耗号{~数}效
∅[3]懊[5]坳

#ɐu
m[3]某[5]无贸谬
f[2]埠[3]否
t[1]兜[3]岛倒{打~}倒{~水}到斗抖陡逗
tʰ[1]偷[2]头投[3]敨透[5]豆
n[3]纽扭
l[2]流刘留榴硫琉溜馏[3]缕屡篓柳[5]楼搂漏陋
ts[1]雏周舟州洲[3]走酒纣昼宙皱绉帚咒[5]奏
tsʰ[1]秋抽[2]绸稠筹愁仇酬[3]丑臭嗅[5]凑囚泅袖就
s[1]收[3]瘦手首守兽[5]受寿授售
ɬ[1]修搜飕馊[3]叟秀绣锈[5]嗽{咳~}
k[1]勾钩沟鸠阄[3]狗苟九久韭灸救究[5]旧柩
kʰ[1]抠[2]求球[3]叩[5]臼舅咎
ŋ[2]牛[3]藕偶{配~}偶{~然}
h[1]丘休[2]喉猴侯[3]口[5]候后厚
j[1]尤优悠幽[2]柔揉尤邮由油游犹[3]有友[5]酉莠诱又右祐幼柚釉鼬
∅[3]呕沤

#ou
∅[1]欧瓯殴[3]奥
m[2]谋

#iau
m[2]猫

#iu
p[1]膘标表{手~}彪[3]表{~扬}
pʰ[1]飘漂[2]瓢嫖[3]票
m[2]苗庙[3]藐渺秒杳[5]妙描
t[1]刁貂雕掉丢[2]钓吊
tʰ[1]挑[2]条[5]调{~和}调{音~}调{~动}跳
n[3]鸟[5]尿
l[3]了{~结}[5]燎疗聊遼撩料廖瞭寥
ts[1]焦蕉椒樵朝{今~}昭招
tsʰ[1]趋超[2]朝{~代}潮[5]悄噍赵兆召沼
s[1]烧[3]少{~年}少{多~}[5]韶绍邵
ɬ[1]消宵硝销鞘萧箫屑[3]小笑
k[1]骄娇纠[3]□{绕线}缴
kʰ[2]乔侨桥荞[3]巧窍朽[5]轿
ŋ[3]扰尧侥[5]鱼渔
h[1]楞嚣浇[3]晓
j[1]饶桡摇谣窑姚耀鹞[3]绕{围~}
∅[1]妖邀腰要{~求}叫么{~二三}吆[3]舀要{重~}


#am
t[1]耽担{~任}[3]胆[5]担{挑~}
tʰ[1]贪[2]潭谭谈痰[3]探毯[5]淡
n[2]南男
l[2]蓝篮[3]览揽榄[5]舰滥缆
ts[1]簪[3]斩眨
tsʰ[1]参搀参{~差}[2]蚕惭杉[3]惨[5]暂站
s[2]谗馋
ɬ[1]三衫
k[1]甘柑监[3]感敢橄尴减鑑监{国子~}
h[2]咸[5]喊
∅[3]暗

#ɐm
[2]林淋临
ts[1]针斟[3]枕浸
tsʰ[1]侵[2]沉寻[3]寝
s[1]深森参{人~}[3]沈审婶[5]甚
ɬ[1]心
k[1]今金禁{~不住}[3]禁{~止}锦
k[1]襟[2]琴禽擒[5]揿妗
h[1]堪龛钦勘欣[2]含函酣陷馅衔[3]坎砍[5]憾撼
j[1]音阴荫[2]淫
∅[3]揞

#iɐm
ŋ[2]吟[1]壬任{姓}饮[5]任{责~}纫

#im
t[3]点店典[5]拈
tʰ[1]添舔甜[5]垫
n[1]黏[2]鲇拈[5]验念
l[2]廉镰帘[3]敛殓脸
ts[1]尖沾瞻占{~卜}笺
tsʰ[1]签歼[3]潜[5]渐
s[3]陕闪[5]蟾
k[1]兼[3]检剑[5]俭
kʰ[2]嵌钳
ŋ[2]严炎[3]染冉淹掩艳焰
h[1]谦[2]嫌[3]险欠歉
j[1]阉[2]盐簷
∅[3]厌

#an
p[1]瓣办班斑[3]板版扳
pʰ[1]颁攀[3]扮盼
m[2]蛮顽[3]晚[5]迈慢馒漫幔万蔓
f[1]翻番[2]凡帆幻烦繁[3]反贩[5]犯泛乏患宦饭范
t[1]丹单{~独}[3]诞旦
tʰ[1]坍滩摊[2]檀坛弹{~琴}[3]毯坦炭叹[5]但弹{子~}蛋
n[2]难{~易}难{患~}
l[2]兰拦栏[3]懒[5]烂
ts[3]蘸盏篡攒
tsʰ[1]餐[2]蝉禅{~宗}[3]铲产[5]赚残溅禅{~让}
s[1]珊山删闩拴[2]涎-[3]疝
ɬ[3]散{鞋带~了}散{分~}伞
k[1]干肝干{~活}艰间{中~}奸茧趼[3]竿杆秆赶简裥柬拣间{~断}谏涧
kʰ[1]刊[3]看{~见}
kʷ[1]关[3]惯
ŋ[2]涯崖颜碾研砚[3]眼[5]岸雁岩
h[2]寒韩闲[3]看{~守}鼾罕[5]旱汉汗焊翰苋
w[1]弯湾[2]还{~原}还{~有}环挽玩
∅[1]安鞍[3]庵按案

#ɐn
p[1]彬宾槟殡鬓奔滨[5]笨
pʰ[2]贫频[3]品喷
m[2]闽民文纹蚊闻[3]皿吻刎[5]问
f[1]昏婚分芬纷焚薰熏荤勳[2]坟[3]粉粪奋训[5]愤忿份坟
t[1]敦{~厚}墩[3]盾{矛~}[5]顿
tʰ[1]吞[5]钝遁
l[2]邻鳞燐崙伦沦轮[5]论{~语}论{议~}
ts[1]津珍榛臻真贞侦[3]进晋镇振震俊准
tsʰ[1]亲春椿[2]秦陈尘臣存旬循巡橙[3]喘趁衬诊疹蠢[5]尽阵
s[1]身申伸娠[2]神辰晨唇[5]肾慎醇顺舜
ɬ[1]辛新薪[3]信讯筍榫迅
k[1]跟根巾斤筋[3]紧仅谨
kʰ[2]勤芹[5]近
kʷ[1]均钧君军[3]滚棍
kʰʷ[1]昆坤崐[2]群裙郡[3]綑困混{相~}窘菌
ŋ[2]银
h[3]恳垦很[5]限痕恨
j[2]寅[3]引允尹颖
w[1]温瘟[2]魂馄匀云晕[3]稳[5]浑{~浊}韵运
∅[1]恩因姻殷[3]印

#iɐn
ŋ[2]人仁[3]忍刃[5]认韧润闰孕

#in
p[1]鞭边辫[3]贬辨辩变扁匾
pʰ[1]编篇偏蝙[3]骗遍片[5]便{~宜}便{方~}
m[2]绵棉眠[3]免勉娩缅湎敏抿[5]面
t[1]颠
tʰ[1]天[2]田填[5]电奠佃
n[2]年
l[2]连怜莲[5]练鍊楝
ts[1]煎氈[3]剪践箭荐
tsʰ[1]迁千[2]钱前[3]栈浅[5]贱饯
s[1]仙鲜{新~}鲜{~少}[3]癣
ɬ[1]先[3]线
k[1]肩坚绢捐[3]犍键建健腱见眷卷券
kʰ[2]乾{~坤}[5]件倦
ŋ[2]阎言[5]谚
h[1]轩掀牵[2]玄[3]遣宪献显劝犬[5]贤弦
j[1]渊[2]然燃[3]演堰宴[5]现
∅[1]蔫{食物不新鲜}焉蔫{花萎}烟[3]燕{~京}燕{~子}喊嚥

#iun
ŋ[3]软[5]愿

#un
p[1]般搬[3]半绊本
pʰ[1]潘藩[2]盘盆[3]伴拌叛判胖衅
m[2]瞒[3]满[5]门闷
f[1]欢[3]款
t[1]端蹲
tʰ[2]团[3]短[5]殿断{~绝}断{决~}锻段缎椴屯豚饨臀囤
n[3]暖[5]嫩
l[2]联鸾恋[3]卵[5]乱
ts[1]专砖尊遵[2]钻{动词}钻{木工用具}转{~圆圈}转{~眼}
tsʰ[1]川穿村[2]全泉传{~达}传{~记}椽[3]串寸[5]撰
s[2]船[5]善膳
ɬ[1]酸宣喧楦孙[2]荀[3]算选损[5]羡旋殉逊纯
k[1]官棺观{参~}冠{衣~}鳏[3]管馆贯灌罐观{寺~}冠{~军}
kʰ[1]圈{圆~}圈{猪~}[2]拳权[3]虔捲
h[1]宽
j[2]延筵完丸圆员缘沿铅元原源袁辕园悬[3]远[5]院县眩
w[3]缓皖豌剜碗腕阮隐[5]唤焕换援
∅[1]冤[3]宛怨

#aŋ
p[1]崩
pʰ[1]烹[2]庞凭彭膨[5]朋
t[1]当{~时}登灯瞪[3]党挡等当{~作}凳[5]荡
tʰ[1]汤[2]堂棠螳唐糖塘腾謄藤疼[3]倘躺趟烫[5]邓
n[2]囊瓤壤攘嚷[5]能
l[2]郎廊狼蜋[3]朗[5]浪楞
ts[1]赃荘装曾{姓}增憎僧争筝睁[3]葬壮
tsʰ[1]仓苍疮[2]藏{隐~}曾{~经}层[3]藏{西~}脏{内~}闯创[5]状赠
s[2]床[3]爽
ɬ[1]桑丧{婚~}嗓[3]丧{~失}
k[1]冈岗刚纲缸[3]钢钢{刀钝了杠}杠讲港降{下~}降{~伏}更{~加}耿
kʰ[2]旷[3]抗况哽矿扩
kʰʷ[1]匡筐眶
ŋ[2]憨
h[1]康糠慷炕坑亨[2]行{银~}航杭恒杏[3]肯烘[5]项巷
∅[1]肮

#ɛŋ
pʰ[2]棚
m[2]盲[3]猛孟
tʰ[3]艇
l[3]两{几~}冷
tsʰ[1]撑铛[3]牚{椅子~儿}
s[1]生牲笙甥[3]省{~长}省{节~}省{反~}
k[1]耕更粳庚羹[3]埂
kʰ[3]梗
ŋ[5]硬
h[2]行{~列}行{~为}衡行{品~}[5]幸
w[2]横
∅[1]甕

#oŋ
p[1]帮[3]榜谤
pʰ[2]滂旁傍螃
m[2]忙芒茫
s[1]霜孀
k[1]江扛

#iaŋ
m[3]莽蟒
l[3]两{~个}辆

#iŋ
p[1]冰兵[3]禀丙秉柄饼倂并
pʰ[2]平坪评姘瓶屏萍[3]聘拼{~命}迸[5]病
m[2]萌鸣明盟名铭[5]命
t[1]丁钉{铁~}钉{~住}疗[3]顶鼎
tʰ[1]听{~见}听{~住}厅汀[2]亭停廷庭蜓[3]挺[5]锭订定
n[2]娘酿宁{安~}[5]凝宁{~可}
l[2]良凉量{~长短}粮梁粱陵凌菱灵零铃伶拎翎[3]领岭[5]亮谅量{数~}令另
ts[1]将{~来}浆张章樟征蒸精晶睛正{~月}[3]蒋桨长{生~}涨仗帐账胀掌障瘴证井整正政
tsʰ[1]枪昌菖倡澄惩称{~呼}称{相~}清青蜻[2]墙详祥长{~短}肠场畅常秤情晴呈程[3]抢唱请逞[5]象像橡丈杖静靖净郑掷
s[1]商伤升声[2]尝裳乘绳承成城诚盛{~满}胜{~任}胜{~败}圣[5]偿拯救赏晌上{~山}上{~面}尚剩盛{兴~}
ɬ[1]相{~互}箱厢湘镶襄星腥[3]想性姓醒[5]相{~貌}
k[1]疆僵姜礓缰羌京荆惊经[3]劲{有~}茎境警敬景镜竞颈径[5]劲{~敌}
kʰ[1]倾[2]强鲸琼[3]强{勉~}顷
ŋ[2]仍扔盈[3]昂仰[5]让迎
h[1]香乡兴{~旺}轻馨兄[2]卿[3]饷享响向兴{高~}庆磬
j[2]羊洋杨阳扬疡蝇赢形型刑营茔萤[3]养痒[5]样
∅[1]央秧殃应{~当}鹰莺鹦樱婴缨英[3]应{~对}影映

#uŋ
p[1]邦[3]绑棒蚌捧
m[1]虻[2]亡忘蒙[3]网妄懵蠓[5]望梦
f[1]荒慌谎方肪芳风枫疯丰讽封峰蜂锋[2]房防篷蓬逢缝[3]晃妨仿纺放访[5]冯凤奉俸缝{一条~}
t[1]东冬[3]董懂冻栋
tʰ[1]通[2]同铜桐筒童瞳[3]桶捅痛统[5]动洞
n[2]农脓浓[5]齈
l[2]笼聋隆龙[3]拢陇垅[5]弄
ts[1]棕鬃宗中{当~}忠仲终踪钟盅[3]总粽中{射~}众纵{~横}纵{放~}冢肿种[5]撞
tsʰ[1]窗聪忽葱囱充冲[2]丛嵩虫崇从{~容}从{跟~}松重{~复}[3]厂宠[5]诵颂讼重{轻~}
s[1]双
ɬ[1]松{轻~}[2]送宋怂
k[1]光公蚣工功攻弓躬宫恭供{~给}供{上~}[3]贡汞广[5]逛
kʰ[2]狂穷[3]虹{天上的~}孔巩[5]共
h[1]腔空{~虚}空{~缺}胸凶[2]弘宏红洪鸿虹熊雄[3]吼控哄恐拱
j[1]瓮雍[2]荣戎绒融茸容蓉镕庸[3]永詠拥甬勇涌[5]用
w[1]汪轰[2]黄簧皇蝗王[3]枉往[5]旺
∅[1]壅

#ŋ̍
∅[2]吴蜈吾梧悟娱[3]五伍午[5]误

#n̩
∅[3]你

#ap
t[7b]答搭
tʰ[8]踏搨沓塔榻溻
n[8]纳
l[7b]蜡[8]腊猎
ts[8]铡
tsʰ[7b]杂插[8]闸
k[7b]甲胛匣[8]夹裌
∅[7b]鸭

#ɐp
l[7a]立笠泣[8]粒
ts[7a]撮{一~米}[7b]执汁[8]蛰
tsʰ[7a]缉辑[7b]集习袭
s[7b]湿十什{~物}拾{~起来}
k[7b]蛤鸽[8]级急给供
kʰ[7a]吸[7b]及
h[7a]恰[7b]合盒洽[8]合{十~一升}
j[7a]入揖

#ɛp
j[7a]叶页

#ip
tʰ[7a]帖贴[7b]叠碟牒蝶谍
n[7a]业[7b]聂镊蹑
ts[7a]接[8]摺
tsʰ[7a]妾
s[8]摄涉
k[7a]劫[7b]挟[8]涩
h[3]胁[7b]狭峡协
∅[7a]腌

#at
pʰ[8]拔钹
m[7b]抹
f[7b]法发[8]伐罚筏
tʰ[8]达
l[7b]辣
ts[7b]札扎轧
tsʰ[7b]察刷擦
s[7b]杀
ɬ[7b]撒萨
k[7b]割葛
kʷ[7b]刮
h[7b]渴喝{~采}
w[7b]袜[8]滑猾
∅[7b]押压

#ɐt
p[7a]笔不
pʰ[7a]匹[7b]鼻
m[7a]蜜密[8]觅物勿
f[7a]忽佛{仿~}佛
tʰ[7b]突
l[7a]栗律
ts[7a]质卒{兵~}[7b]疾侄
tsʰ[7a]拙七漆猝出
s[7a]瑟虱失室[8]实
ɬ[7a]膝塞[8]术述
k[7a]吉桔
kʰ[8]咳
kʷ[7a]骨桔[8]掘
kʰʷ[7a]窟屈倔{~强}
h[7a]乞[7b]骇[8]辖核{审~}
w[8]核{果子~}
∅[7a]一

#ɛt
n[7b]捏
∅[7a]噎{~住了}

#ot
h[8]喝{~酒}

#iɐt
ŋ[3]日

#it
p[7a]鳖必
pʰ[8]别{区~}别{离~}撇
m[7a]灭[8]篾
t[7a]跌
tʰ[8]铁秩
l[7a]列烈裂劣
ts[7a]捷哲蜇折{~断}折{弄~了}浙[8]节
tsʰ[7a]彻撤辙[7b]截[8]切绝
s[7a]设[8]舌{不~}
ɬ[7b]楔[8]泄
k[7a]结洁
kʰ[7a]揭[8]杰厥决诀
ŋ[7a]热
h[7a]歇蝎[8]穴
j[7a]乙

#iut
ŋ[7a]月

#ut
p[8]钵
pʰ[7a]勃饽[8]泼拨
m[7b]末沫[8]没
tʰ[7a]脱[8]夺
l[7a]捋
s[7a]说
ɬ[7a]戌恤[8]薛雪
kʰ[8]缺
h[7a]血[8]阔
j[7a]悦阅[8]越曰粤
w[8]活

#ak
t[7a]得德
tʰ[7b]托託特
l[7a]肋勒[7b]赂塑落烙骆酪洛络胳乐
ts[7b]作桌窄[8]摘
tsʰ[7a]厕则侧测[8]贼
ɬ[7b]索朔
k[7b]角
kʰ[7b]确
ŋ[7a]扼轭[7b]鄂岳乐{音~}
h[7a]刻{时~}刻{用力~}克黑赫吓[7b]壳[8]鹤学
w[7b]画[8]或惑域获划
∅[8]恶{可~}恶{善~}

#ɐk
p[8]北
m[8]墨默

#ɛk
p[7a]毕[7b]百伯陌
pʰ[7b]帕泊柏迫拍魄[8]白帛
m[7b]擘麦脉
n[7b]溺虐疟
ts[7a]炙[7b]卓琢啄责
tsʰ[7a]赤尺斥[7b]拆策册栅[8]泽择宅
s[8]石
k[7b]阁脚格革隔
kʰ[8]却霍藿觉{知~}
ŋ[7b]弱虐约跃额
h[7b]客
j[7b]药

#ok
p[7b]博
pʰ[7b]薄
m[7b]莫[8]膜寞幕
n[7a]诺
k[7b]各
j[7a]若

#iak
l[7b]略掠
ts[7b]爵雀鹊酌
tsʰ[7b]绰焯[8]着{~衣}着{睡~}
s[7b]勺芍
ɬ[7b]削

#ik
p[7a]弼逼碧壁璧
pʰ[7a]僻辟[2]劈
t[7a]的{目~}滴嫡
tʰ[7a]踢剔[8]笛敌狄
n[8]逆
l[7a]力历
ts[7a]即鲫织职积跡脊只绩
tsʰ[7a]戚[7b]藉{~故}褯{~子}[8]直植殖值籍藉{狼~}席夕寂
s[7a]色啬识式饰适[8]食蚀
ɬ[7a]悉息熄媳惜昔释锡析
k[3]戟击激
kʰ[2]极剧{~烈}剧{戏~}履
h[7a]吃
j[7a]翼疫役
∅[7a]忆亿抑益[2]亦译易{交~}

#iuk
ŋ[7a]肉玉

#uk
p[7b]剥驳仆{~人}[8]卜
p[7b]朴仆{倒}[8]扑醭
m[7a]木目穆牧
f[7a]福幅蝠腹複覆[7b]缚服伏袱復{~原}[8]斛
t[7a]笃督
tʰ[7a]秃[8]独读牍犊毒
n[7a]匿
l[7a]鹿禄六陸绿录
ts[7a]竹筑祝粥足烛嘱[7b]浊捉[8]镯
tsʰ[7a]速畜{~牲}畜{~牧}蓄促触束[8]族逐轴
s[7a]叔[7b]熟淑蜀属[8]赎
ɬ[7a]肃宿宿{星~}粟缩[8]俗续
k[7a]谷菊[7b]郭廓国[8]锡
kʰ[7a]鞠曲[7b]搉[8]局
h[7a]哭
j[7a]沃郁辱褥狱欲浴[8]育
w[7b]镬
∅[7a]屋握
