语素	音标	注释
池	ʤʮ2	~潭/~塘：池塘；鱼~上：西山地名
驰	ʤʮ2	
迟	ʤʮ2	
持	ʤʮ2	~家（又读ʒʮ2）
槌	ʤʮ2	蒲~：洗衣服时敲击衣物的棒槌
滞	ʤʮ2	~后；停~
逝	ʤʮ2	~世22-22
苎	ʤʮ4	~麻
柱	ʤʮ4	~头：柱子
乳	ʤʮ4	腐~；饭~（<ʒʮ）：锅巴；饭~汤：米汤；~牙（<ʒʮ）
痔	ʤʮ4	~疮
住	ʤʮ6	
治	ʤʮ6	政~；贞观之~
书	ʃʮ1	图~：图章
舒	ʃʮ1	~畅；~服
输	ʃʮ1	
施	ʃʮ1	
诗	ʃʮ1	唐~
尿	ʃʮ1	~布；~~泡：膀胱；出~：尿床
胥	ʃʮ3	~口：原吴县地名
暑	ʃʮ3	小~/大~/处~（另一种读音）；~假
髓	ʃʮ3	骨~
水	ʃʮ3	~头：水分
始	ʃʮ3	开~；创~人
世	ʃʮ5	一~：一辈子；（门）面~（事）：统称婚丧、生育等人情往来的各类事情
试	ʃʮ5	考~
势	ʃʮ5	A~~：状态形容后缀，如：吓~~、寒~~
竖	ʃʮ3/5	横~：反正
数	ʃʮ9	十~个：十多个
如	ʒʮ2	譬~：好像（搭配负面意义）
儒	ʒʮ2	~家
时	ʒʮ2	~髦
鲥	ʒʮ2	~鱼
薯	ʒʮ2	山~：红薯；洋山~：马铃薯（本字当为“藷”）
□	ʒʮ2	肉~鱼
誓	ʒʮ2	宣~；~言
峙	ʒʮ2	对~
竖	ʒʮ4	
视	ʒʮ4	~力；平~；电~机（又读zɿ）
树	ʒʮ6	
示	ʒʮ6	表~；指~
稚	ʒʮ6	幼~
恃	ʒʮ6	恃才傲物
巳	ʒʮ2	地支第六
屄	pi1	女阴；吹牛~：吹牛
比	pi3	好~：好像
秕	pi3	~谷：不饱满的、瘪的谷
鄙	pi3	嫌~：嫌弃；~视33-41
泌	pi3	分~
庇	pi3	包~
闭	pi5	~眼
臂	pi5	~膊：手臂、胳膊；手~撑：手肘
蔽	pi5	隐~
秘	pi5	~书
批	pʰi1	一字~/十字~：改锥（螺丝刀）的品种；~地基
披	pʰi1	雨~；~间：披屋（副房）
丕	pʰi1	曹~
痞	pʰi3h	地~
譬	pʰi5	~方：比如；~如：好像（搭配负面意义）
屁	pʰi5	~股；~眼：肛门
皮	bi2	~/蛮~：顽皮；肚~：肚子；~夹子：钱包/皮夹
鲏	bi2	鳑~鱼
疲	bi2	~倦
脾	bi2	~气
啤	bi2	~酒
琵	bi2	~琶
鐾	bi2	~刀布：磨刀用的布
坒	bi2	量词，一~砖头：一排砖头
婢	bi2	~女；奴~
陛	bi2	~下
被	bi4	~头：被子；~面子：被面；~夹里：被里；~空洞：被窝
币	bi4	人民~
敝	bi4	~人
肥	bi2/4	~皂
弊	bi6	作~
避	bi6	~开；肃静回~
毙	bi6	枪~
□	bi6	~墨汁：毛笔蘸墨之后舔墨水
薇	bi9	蔷~花
痹	bi2	麻~
卑	bi2	~职
微	mi1	一~~：一点儿；白露白~~：农谚，形容白露时节水稻开花
迷	mi2	
谜	mi2	未解之~
弥	mi2	~陀
糜	mi2	~烂
靡	mi2	风~
眉	mi2	~毛
棉	mi2	~袄；~鞋
米	mi4	小~；烧~粥：米烧粥；鸡头~：芡实粒
味	mi6	~道；滋~；气~（也可表示气味臭）
未	mi2/4/6	~嘞24-31：差得远呢
蚁	mi9	蚂~22-41
飞	fi1	~膀：翅膀
非	fi1	~常
篚	fi1	芦~：芦席，用于充当屋面
榧	fi1	香~子
菲	fi1	~薄；~筵
啡	fi1	咖~
妃	fi1	天~宫：天后宫，原在西山衙里
费	fi5	浪~；盘~：路费
肺	fi5	
毁	fi5	~牙：换牙齿
沸	fi5	~腾
废	fi5	荒~；~墟
匪	fi5	土~
翡	fi5	~翠44-31
肥	vi2	垩~：施肥
微	vi2	
惟	vi2	~一
唯	vi2	~物主义
维	vi2	~护；四~
帷	vi2	运筹~幄
费	vi2	姓氏
未	vi6	地支第八
味	vi6	海~
尾	vi6	<读字>
低	ti1	
底	ti3	脚~；上~/下~：上面/下面；结~：结果
抵	ti3	~触；~抗
□	ti3	~kuoʔ41：有偿还的能力
帝	ti5	皇~
蒂	ti5	柿子~
渧	ti9	tʰã33tʰã55~：形容液体多
梯	tʰi1	梯子；胡=~：楼梯
屉	tʰi1	抽~
体	tʰi3h	事~：事情；草~/篆~/魏碑~
替	tʰi5	
涕	tʰi5	鼻~
剃	tʰi5	~头：理发；~头师父：理发师
嚏	tʰi9	喷~
堤	di2	~岸：河堤
题	di2	~目
提	di2	~篮；~桶：提水桶
蹄	di2	髈~：蹄膀（猪肘）
啼	di2	（公鸡等禽类）叫
弟	di4	~~/~子：弟弟（面称/背称）
第	di4	~一/二/三
地	di6	~~：田地
递	di6	传~；~交
□	di9	鲢胖~：鲢鱼与鳙鱼的统称
隶	di2	~书
你	ni1	（读字，~们）
□	li1	（水）滴下来
犁	li2	
鲡	li2	鳗~：鳗鱼
离	li2	
篱	li2	枪=~笆：篱笆；笊~（又读促化的lieʔ8）；爬~：一种农具
璃	li2	玻~
梨	li2	~子
厘	li2	~米
狸	li2	狐~
驴	li2	~子
□	li2	勤~：勤快
厉	li2	
励	li2	奖~
吕	li3	~布
铝	li3	<读字>
虑	li3	考~
榈	li4	棕~
履	li4	~行
旅	li4	~社；~游
蠡	li4	~口、~墅：原吴县地名
礼	li4	~貌；~金
李	li4	~子
里	li4	长度单位；村落后缀，如：植~、湾~、秉场~等
里	li4	~向：里面
理	li4	整理
鲤	li4	~鱼
黎	li4	~明
丽	li4	孟~君
莉	li6	茉~花
痢	li6	癞~头
荔	li6	~枝
俐	li6	伶~<读字>
滤	li6	过~
例	li6	~子
利	li6	~益
吏	li6	“再你官清如水，抵不过~滑如油”
泪	li6	眼~；风~眼
蜊	li6	蛤~油
来	li9	后晚~：后来
嗟	ʦi1	~来之食
齑	ʦi1	~糟：心里烦闷
济	ʦi1	周~；~公44-31
挤	ʦi3	
姊	ʦi3	~妹
际	ʦi5	国~；实~寺：西山寺院名
祭	ʦi5	~祖；触~：吃（贬低的说法）
剂	ʦi5	添加~
□	ʦi5	左，如：~面/~手/~脚；~手上前：左撇子
□	ʦi5	~团牙：地包天
□	ʦi9	ʣɛ22~：蟋蟀
蛆	ʦʰi1	
妻	ʦʰi1	夫~淘里：夫妻
凄	ʦʰi1	~凉
栖	ʦʰi1	贤~巷门：栖贤巷门
□	ʦʰi1	~痒：胳肢
□	ʦʰi1	~bʊ55：钹
且	ʦʰi1	而~24-31
娶	ʦʰi3h	<读字>
取	ʦʰi3h	获~；录~通知书
趣	ʦʰi5	图有~：开玩笑
砌	ʦʰi5	~墙头：砌墙
□	ʦʰi9	蒙~眼：近视眼
脐	ʣi2	瓜脐；肚~（>zi）眼：肚脐
荠	ʣi2	荸~
鲚	ʣi2	~毛刀：梅鲚鱼
聚	ʣi4	~集；~会
叙	ʣi4	~述
绪	ʣi4	头~；情~
些	si1	一~
须	si1	必~（读字读sy1）
需	si1	~要
西	si1	~面/~浪=：西边；东~
犀	si1	~牛
樨	si1	木~花：桂花
胥	si1	伍子~；~门
玺	si1	玉~
死	si3	
絮	si5	被~：被垫；棉花~：棉花胎
细	si5	
婿	si5	女~
圾	si9	垃~
徐	zi2	
齐	zi2	~巧：正巧
序	zi4	整理；程~；秩~
荠	zi4	~菜
鸡	ʨi1	
稽	ʨi1	~查
羁	ʨi1	~押
饥	ʨi1	
肌	ʨi1	~肉
几	ʨi1	茶~；天然~：置于客厅的长台（案子）
基	ʨi1	~本；宅~
箕	ʨi1	编~：篦箕；篓~：簸谷用簸箕；畚~：扫垃圾用簸箕
几	ʨi1	~乎
机	ʨi1	洋~：缝纫机；洗衣~
鯚	ʨi1	~鱼
讥	ʨi1	~笑
嵇	ʨi1	~康
姬	ʨi1	姓氏
□	ʨi1	~割=浪=：激浪鱼
□	ʨi1	块，石头的量词，一~石头
髻	ʨi1	发~3-55
既	ʨi1	~然
几	ʨi3	~化：多少
计	ʨi5	伙~
寄	ʨi5	~存
记	ʨi5	皮肤上的深色斑；~得；~认：记号；牵~：记挂
暨	ʨi5	
季	ʨi5	
锯	ʨi5	~子，包含~把手、~梁、~条、~绳等部件；拉下~：附和
继	ʨi5	~父/~母<读字>；~续33-41
冀	ʨi5	晋察~边区
己	ʨi5	天干第六
纪	ʨi5	年~
稷	ʨi1	社~
溪	ʨʰi1	越~：原吴县地名
欺	ʨʰi1	~瞒：欺负
岂	ʨʰi1	~有此理
绮	ʨʰi3h	~里：西山地名
起	ʨʰi3h	~风；~来
启	ʨʰi3h	~发
企	ʨʰi3h	社队办~业；~鹅
杞	ʨʰi3h	~人忧天
去	ʨʰi5	
契	ʨʰi5	
器	ʨʰi5	
气	ʨʰi5	~头/~力/~把子：力气；动~：生气
汽	ʨʰi5	~车
弃	ʨʰi5	放~
祈	ʨʰi3h	~祷
奚	ʨʰi5	~落
奇	ʥi2	稀~：稀罕；~怪；
骑	ʥi2	
岐	ʥi2	~山
其	ʥi2	~实
期	ʥi2	~末考试
棋	ʥi2	~盘；~子；扎=~：下棋
旗	ʥi2	
蜞	ʥi2	蟛~
萁	ʥi2	麦柴~：麦秸秆
祁	ʥi2	~门
圻	ʥi2	~村：西山地名
歧	ʥi2	分~
技	ʥi2	~术；~校
妓	ʥi2	娼~
奇	ʥi2	~数
徛	ʥi4	~桶：供幼儿站立的高木桶；~稻：站立的稻子
倚	ʥi4	不偏不~
□	ʥi4	~母：舅妈
忌	ʥi6	妒~
鱼	ȵi2	白~：鲌鱼；~白：鱼的精囊；脚~：甲鱼
泥	ȵi2	烂~：泥土
抳	ȵi2	擦拭（~席子）
倪	ȵi2	~家坞：西山地名
儿	ȵi2	~子
仪	ȵi2	殡~馆；一元化两~
宜	ȵi2	便~；~兴
尼	ȵi2	
呢	ȵi2	~大衣
疑	ȵi2	~心：怀疑
谊	ȵi2	友~
伲	ȵi4	我~：我们（<我里ŋ24li31）
耳	ȵi4	~朵
尾	ȵi4	~巴
艺	ȵi6	手~
义	ȵi6	主~
议	ȵi6	抗~；提~；决~
腻	ȵi6	着~：勾芡；脂膏得~：食物粘稠有滋味
二	ȵi6	
□	ȵi6	后~/大后~：后天/大后天（当为“日”舒化）
毅	ȵi6	~力
拟	ȵi6	~人；草~
熙	ɕi1	康~皇帝
熹	ɕi1	朱~
嬉	ɕi1	~耍
希	ɕi1	~望
稀	ɕi1	~奇
羲	ɕi1	王~之
牺	ɕi1	~牲
□	ɕi1	微微打开，如：门~开一条缝
喜	ɕi3	欢~：喜欢；~蛋：毛鸡蛋
蟢	ɕi3	~蛛：蜘蛛
戏	ɕi5	~子：演员；做~：演戏
嬉	ɕi5	~皮笑脸
禧	ɕi5	慈~
杞	ɕi9	枸~；枸~头：一种野菜
系	ɕi1	关~；~统(又读i2)；联~（三处的系同音）
伊	i1	
医	i1	~生
衣	i1	~裳：衣服；~裳管：袖子
依	i1	听从、跟随，~啧我末：听从我的话；~赖；~据
□	i1	~歇：现在；laʔ2~（搭）：在（这里）
□	i1	安~：消停（可能为“安逸”舒化）
瞖	i1	上~：白内障
椅	i1	太师~
已	i1	~经
以	i1	~后；~色列
亿	i1	几百个~
忆	i1	记~
渠	i2	他/她/它
携	i2	~带
移	i2	星~场：流星
夷	i2	~亭：唯亭，原吴县地名
姨	i2	大~/阿~：母之姐/母之妹
遗	i2	~失；~憾
怡	i2	心旷神~
贻	i2	~笑大方
异	i2	~味；~化；离~
易	i2	交~；~经
懿	i2	<读字>（司马~读半边ie）
意	i5	适~/写~：舒服；~弗过：过意不去；~意：买卖
勚	i5	磨损，~脱/~啧：磨损了
沂	i2	~蒙山
逸	i2	劳~结合
翼	i2	张~德
诣	i2	造~
波	pu1	长~电台
玻	pu1	~璃
菠	pu1	~菜
补	pu3	~救
播	pu3	广~
谱	pu3	家~；达~：靠谱；踏老~：按原来规矩办
簸	pu5	~谷
布	pu5	
布	pu5	宣~
怖	pu3	恐~33-41
颇	pʰu1	廉~；偏~
坡	pʰu1	
铺	pʰu1	动词
潽	pʰu1	溢；水~鸡蛋：卧鸡子儿
普	pʰu3h	~遍性
浦	pʰu3h	~庄、胜~：原吴县地名
埔	pʰu3h	黄~军校
破	pʰu5	破；剖（~肚皮）
铺	pʰu5	名词，~盖，大~床
剖	pʰu5	~腹产（或为“破”训读）
脯	pʰu3h	杏~；猪肉~
婆	bu2	丈夫之母；外~；家~：妻子；好~：祖母；猪~：配种用的母猪
蒲	bu2	~扇；~鞋；~公英；~桃：核桃；白~枣
菩	bu2	~萨
脯	bu2	胸~
匍	bu2	摸；~面：洗脸
卜	bu2	萝~/老~：萝卜
□	bu2	~（罗）头：茬，块茎
□	bu2	牙~肉：牙龈
□	bu2	荡~（鱼）：塘鳢鱼
部	bu4	辆，一~车子
簿	bu4	~子：本子
篰	bu4	一种大型箩筐
捕	bu4	逮~
薄	bu6	~荷
步	bu6	脚踏胡=梯~~高
埠	bu6	船~头：码头；后~：西山地名
哺	bu6	~鸡：一种屋脊的样式
伏	bu6	孵；讨~：孵蛋；讨（老）~鸡：抱窝鸡；~太阳：晒太阳
□	bu6	蹲
□	bu9	扁~：瓠子
□	bu9	ʨʰie33~：一种农具
□	bu9	青泥~潭：青苔
夫	fu1	姑~；姐~；妹~；姨~
肤	fu1	皮~
麸	fu1	~皮
葑	fu1	娄~：原苏州郊区地名
赴	fu3	旋~；前~后继
府	fu3	政~
斧	fu3	~头
付	fu5	对~
傅	fu5	
富	fu5	丰~
副	fu5	量词，一~手套
讣	fu5	~文
赋	fu5	天~；~予
□	fu5	~牙子：龅牙
敷	fu5	扩展、延伸，~出来
腑	fu5	五脏六~
甫	fu5	杜~22-22
俘	fu5	~虏44-31
釜	fu5	破~沉舟
辅	fu3	~导；~助
符	vu2	说~：说谎
扶	vu2	<读字>
芙	vu2	~蓉22-41
无	vu2	~锡；~名指；~赖
巫	vu2	~婆；~山
浮	vu2	~尸
抚	vu2	~养22-41；安~；~恤金22-44-31
戊	vu2	天干第五
腐	vu2	豆~/豆~干/豆~花；豆~浆：豆浆；~败
附	vu2	~近
负	vu2	~面22-22；~担22-41；~责22-41
父	vu4	师~
武	vu4	~力
舞	vu4	~龙
侮	vu4	~辱
妇	vu4	新~：儿媳妇；弟新~：弟媳
雾	vu6	~露：雾
务	vu6	家~事体：家务；教~处；义~
俯	vu2	~卧撑
河	u2	东~滩、东宅~头：西山地名
荷	u2	~包蛋
胡	u2	~蜂：马蜂；~咙：喉咙；沙~桃：小核桃
胡	u2	~子；拉带~子/阿~子：络腮胡
湖	u2	太~；跑江~/闯江~：走江湖
壶	u2	茶~；夜~
弧	u2	括~：括号
坞	u5	山~：山谷；西山地名常用后缀
贺	u6	祝~
护	u6	保~
祸	u6	闯~；断~福：看热闹
户	u6	包产到~；挨家挨~；~口
和	u9	均匀，摊~；~平
乌	u9	眼~珠：眼珠；青黏~潭：青苔
污	u9	烂~泥：含水量高的泥土
五	u9	二百~（詈语）
焐	u9	赖=原=~：旧时一种保温器具
悟	u9	孙~空
乎	u9	弗在~此：不在乎
糊	u9	浆~；烂~面
缕	ly2	丝~
屡	ly3	~教不改
趋	ʦʰy1	~势
须	sy1	必~
须	sy1	胡~<读字>
车	ʨy1	~马炮
拘	ʨy1	~留
驹	ʨy1	
居	ʨy1	~民
龟	ʨy1	乌~
纠	ʨy1	~正
揪	ʨy1	~心
据	ʨy1	占~；收~
锯	ʨy1	<读字>
举	ʨy3	
榉	ʨy3	~木
苣	ʨy3	莴~笋：莴苣
矩	ʨy3	规~
鬼	ʨy3	神~天：二月天气多变的日子；说~话：说谎；~头风：旋风；发老~三：发疟疾
昼	ʨy3	日~心里：正午时分
九	ʨy3	
韭	ʨy3	~菜
灸	ʨy3	针~
究	ʨy3	研~生
句	ʨy5	
鳜	ʨy5	~鱼
贵	ʨy5	
咒	ʨy5	赌~：打赌
救	ʨy5	补~
鸠	ʨy5	斑~
阄	ʨy5	抓~
久	ʨy5	永~44-44
周	ʨy9	~济；~坞里：西山地名
帚	ʨy9	筅~：炊帚；笤~：扫帚
咎	ʨy1	~由自取
区	ʨʰy1	
驱	ʨʰy1	~邪
墟	ʨʰy1	芦~：吴江地名
枢	ʨʰy1	~纽
躯	ʨʰy1	身~
岖	ʨʰy1	崎~
亏	ʨʰy1	好得（多用）/~得：幸亏
恘	ʨʰy1	形容人坏
丘	ʨʰy1	虎~：苏州山名，也为原苏州郊区地名
邱	ʨʰy1	~少云
去	ʨʰy5	（读字，~世）
臭	ʨʰy5	
丑	ʨʰy5	遮~布：遮羞布；~恶；地支第二（又读ʦʰy5）
柩	ʨʰy1	灵~
渠	ʥy2	~道
瞿	ʥy2	~秋白
圩	ʥy2	~田；养马~：西山地名(本字当为“埧”)
仇	ʥy2	~巷：西山地名
球	ʥy2	
求	ʥy2	~签
巨	ʥy4	~大
距	ʥy4	差~
拒	ʥy4	~绝
跪	ʥy4	
臼	ʥy4	石~；踏~：碓
舅	ʥy4	娘~：舅舅；大阿~/小阿~：妻子之兄/弟；~公/~婆：父母之舅舅/舅妈
俱	ʥy4	~乐部
惧	ʥy4	~怕
衢	ʥy4	~州22-41
具	ʥy6	家~
柜	ʥy6	~台；调=~：床头柜
旧	ʥy6	~年：去年；原~：仍旧
寓	ȵy1	~言；公~
虞	ȵy2	~美人；~山
娱	ȵy2	~乐
愚	ȵy2	~弄
女	ȵy4	~人；~婿；处~
语	ȵy4	~文
遇	ȵy6	待~
靴	ɕy1	
虚	ɕy1	
嘘	ɕy1	~声
吁	ɕy1	气喘~~
休	ɕy1	退~（又读sʏ1）
许	ɕy3	~巷：西山地名（今写作“煦巷”）
浒	ɕy3	~墅关：原吴县地名
鲎	ɕy5	彩虹
嗅	ɕy5	~觉
朽	ɕy5	腐~
□	ɕy1/5	寻~丝：找茬儿
吼	ɕy1/5	~病：哮喘
□	ɕy9	洋~照：煤油灯
迂	y1	~回
于	y1	终~；~归之喜
于	y1	姓氏，~谦
盂	y1	痰~
羽	y1	~毛；陆~
淤	y1	~血
优	y1	~先
忧	y1	~郁症：抑郁症
幽	y1	~默
欧	y1	~洲
悠	y1	tʰɔ44~走/ tʰɔ44~去：慢走
□	y1	~米：玉米
舆	y1	~论
禹	y1	~王庙：西山地名
宇	y1	~宙
与	y1	参~
萸	y1	茱~
予	y1	给~
幼	y1	~儿园
友	y1	朋~
诱	y1	~惑33-41；引~24-31
渔	y2	~船；~阳
余	y2	
余	y2	多~
俞	y2	
榆	y2	~树叶子
围	y2	~巾；~身：围裙；馋~：围嘴儿
逾	y2	~期
愉	y2	~快
猴	y2	~脑
喉	y2	~猢狲：喉结
尤	y2	~其
犹	y2	~豫
油	y2	~菜；酱~；网~；板~；洋~：煤油；麻~：香油
蚰	y2	蜒~：蛞蝓
游	y2	~火虫/移火虫：萤火虫；旅~；~玩
侯	y2	诸~王
由	y2	理~
邮	y2	~电
愈	y2	痊~
裕	y2	
誉	y2	荣~24-31
呕	y3	呕吐
酉	y2	地支第十
右	y2	~面：右边
候	y2	~鸟
柚	y2	~子
□	y3	~kʰuɛ41：门槛
喻	y3	比~
雨	y4	
厚	y4	
后	y4	~年；~（背）头：后边；~生：年轻
后	y4	皇~
有	y4	有；够；~男/~小人：怀孕
□	y4	~子：纺纱机一端上绕线的部件
豫	y4	犹~
于	y4	~是24-31
佑	y5	保~
有	y1/5	~意/~心：特地、故意
预	y6	~先；~备
芋	y6	~头
又	y6	<读字>
釉	y6	~彩；上~
御	y6	抵~44-44；驾~
御	y6	~花园
猬	y9	刺~
□	y9	老~方=：备用的棺材
屿	y1	岛~<读字>
吧	pɑ1	酒~
摆	pɑ3	安放
拜	pɑ5	~堂
□	pɑ3/5	~姆淘里：妯娌
□	pɑ9	侧头~脑：头歪侧、无精打采的状态
派	pʰɑ5	弗~用场：没用
排	bɑ2	
牌	bɑ2	~坊；~楼；~位；打~；~~子：牌儿
稗	bɑ2	~草：稗子，稻田中的一种野草
罢	bɑ4	弗~：不止
败	bɑ6	~家当
徘	bɑ2	~徊
妈	mɑ1	姆~：母亲
埋	mɑ2	~怨
买	mɑ4	
卖	mɑ6	~婆：旧社会的媒婆；~相：外表，长相
马	mɑ9	~上（44-31/22-41）
□	tɑ1	翘嘴黄~鱼；翘嘴鲌；黄~鱼：红鳍鲌
多	tɑ1/3	好~年：很多年
戴	tɑ5	~帽子/眼镜
带	tɑ5	带子；~鱼；拉~胡子：络腮胡
拖	tʰɑ1	拉/拖；~长；长~雨：连阴雨；死样慢~：做事拖拉
他	tʰɑ1	其~
太	tʰɑ5	~湖；~仓；~公/~~：曾祖父/曾祖母
泰	tʰɑ5	~国
汰	tʰɑ5	淘~
□	tʰɑ9	iã22sɿ22~：蜩
大	dɑ6	~饼/~蒜；~暑/~寒/~雪；~包子：馒头
汏	dɑ6	洗
埭	dɑ6	行，一~字；趟，去一~；座，一~房子
□	dɑ2/6	~晏：推迟
䈆	dɑ9	饭~：临时盛放米饭的容器；瓜=~：一种大的竹制器具
那	nɑ1	~里<读字>
哪	nɑ1	~有<读字>
奶	nɑ4	牛~
拉	lɑ1	~~藤
垃	lɑ4	~圾
□	lɑ4	~原=焐：旧时一种保温器具
□	lɑ4	猫爪抓人
