罗马字	IPA	汉字
ô	ɔ	阿{1}鸦丫哑亚下{2}
po	po	玻波
p'o	pʰo	破怕
bo	bo	婆菩
mo	mo	麻摩魔磨模糢摹墓幕慕暮马
to	to	多都朵{1}垛躲堵睹赌妒埵
t'o	tʰo	拖他{2}妥兔唾
do	do	图途屠跎舵陀鸵驼驮惰肚{1}大{2}度{1}
no	no	懦
lo	lo	箩罗锣舻芦鲈螺骡路露鹭掳
tso	tso	租左祖阻做组
ts'o	tsʰo	叉杵醋搓
so	so	蔬{1}苏锁
zo	zo	锄坐座射
ko	ko	傢果{2}假个{1}個哥歌
k'o	kʰo	课{卜～}颗{2}窠
ngo	ŋo	讹鹅误
ho	ho	呵{2}火伙虎琥货
o	ɦo	何和禾河下{3，～肥}祸贺
o	o	阿{～尼西母：人名}□{～嘴：亲嘴}
pi	pi	彼比鄙臂庇闭卑
p'i	pʰi	批披砒胚吡屁譬
bi	bi	皮疲脾毗貔俾币婢弊敝毙蓖篦被避鼙备
mi	mi	咪迷眉糜靡弥渳米麋美尾{1}寐未{未；时间尚早}
fi	fi	飞非菲霏妃匪翡废沸肺费
vi	vi	肥微薇维{1}尾{2}未
ti	ti	低爹底抵氐帝低{～加波利：地名}
t'i	tʰi	梯体剃屉涕替
di	di	啼地堤弟悌提棣第笛蹄递题
ni	ni	泥
li	li	梨犁离璃俚狸藜鹂蜊李礼里鲤例利厉厘吏哩娌丽泪{1}痢隶
tsi	tsi	肌羁计讥际祭继济鸡机箕□{～手：左手}□{～身：身体。疑为“躸（～身）”之误}挤姐制系
ts'i	tsʰi	凄妻器
dzi	dzi	伽{2}
si	si	西洗玺蟢世势婿戏细□{喊叫}
zi	zi	齐癠脐荠誓
kyi	ci	鸡基玑矶箕饥几姐姊己挤冀制寄既暨纪记掎躸{～身：身体}
ky'i	cʰi	妻欺溪企启岂起器契忾{2}弃气砌
gyi	ɟi	其旗期棋奇骑祁祈麒妓忌祇徛{站}
nyi	ɲi	伲倪仪蚁呢妮宜尼泥霓鲵二你疑义艺谊议
hyi	çi	希熙犀唏喜嘻禧稀洗戏
yi	ɦi	余{1}係兮匜夷奚异移肄埃{～及}疑{犹～：亏欠}
wi	ɦui	味
i	i	以伊依倚已意衣椅矣医□{这里；～边：这边}
pu	pu	波坡补谱圃怖啵布
p'u	pʰu	颇普浦破铺
bu	bu	菩葡{1}蒲簿哺{1}埠捕部步孵篰
fu	fu	夫肤麸敷仆俯哺{2}孚府斧釜甫脯腑讣赴付傅副富附咐
vu	vu	芙扶无符侮武腐舞妇负附父雾浮{1}抚{巡～}
tu	tu	都朵{2}堵肚{2}妒
t'u	tʰu	吐土
du	du	杜渡{2}镀徒途涂肚{3}度
nu	nu	努奴驽怒
lu	lu	炉噜掳橹卤鲁芦鹭露
ts'u	tsʰu	初粗楚醋
su	su	苏蔬{2}酥梭塐塑数素诉疏{～割：地名}所{～在：地方}
zu	zu	助锄
ku	ku	姑孤戈辜锅鸪鼓估古咕固故果{3}股裹顾雇过
k'u	kʰu	枯苦库骷箍裤
ngu	ŋu	吾梧寤娱忤{实际罗马字注音为 ngwu，与一般单元音韵母为u的音节拼法不同}
hu	hu	呼伙
wu	ɦu	胡湖狐糊护□{围拢}
u	u	污乌邬户戽祸互恶{1}屋{1}□{～里；家里}
nü	ny	危寓糯委{1}
lü	ly	驴屡缕褛虑
dzü	dzy	渚{1}蹰绪
ü	ɦy	于{2}
kyü	cy	规车{2}居归驹龟{1}亏拘闺圭桂句据举鬼矩诡贵锯俱炅桅癸窥
ky'ü	cʰy	区躯驱去抠{2}枢
gyü	ɟy	瞿葵衢渠{1}拒揆矩诡跪柜馈具劬惧
nyü	ɲy	愚鱼渔隅女语遇魏御危寓
hyü	çy	卉号吁嘘徽{2}挥晖辉虚盱纬𬣙许毁诩讳愧
cü	tʃy	珠追主诅渚{2}著蛀铸疽蛆株诸嘴注醉
c'ü	tʃʰy	吹痴趋取娶鼠{1}处脆
djü	dʒy	除厨躇捶柱署住储
shü	ʃy	抒书输虽尿须水庶恕岁税纾婿髓数□{租}
jü	ʒy	儒叙如茹孺隋徐竖聚遂随乳序瑞树
yü	ɦy	围帷惟维{2}榆为{作～}谕违逾遗余{2}於{2}渠{2}位喻汇愈惠彗慧眭穗胃卫韦预雨
ü	y	威苇于{1}羽与雨委{2}尉慰於{1}尉熨畏喂为椅
pao	pau	包保宝饱鸨报豹胞趵□{绽裂}
p'ao	pʰau	抛脬跑泡炮{1}
bao	bau	胞袍咆庖抱匏鲍暴炮{2}
mao	mau	猫毛茅卯夘冒帽貌
tao	tau	刀倒捣祷到岛
t'ao	tʰau	叨滔讨套
dao	dau	桃逃淘萄陶盗稻道导蹈□{～成：成功；结果}
nao	nau	瑙脑铙闹
lao	lau	咾唠捞劳老牢痨{～病}佬
tsao	tsau	糟遭抓找蚤搔{1}早枣爪灶罩躁
ts'ao	tsʰau	操抄搔{2}炒草钞吵糙
sao	sau	瘙稍筲艄骚嫂扫燥
zao	zau	曹槽漕皂造□{～相干：何干；～得人：什么人}
kao	kau	高糕羔膏胶茭椒告姣教稿窖绞蛟诰较酵交搅
k'ao	kʰau	敲尻巧拷考烤靠铐窍□{大约。～十斤}
ngao	ŋau	敖傲厫咬乐{1}
gao	gau	爻{助词，相当于“了”}□{～鼓：大腿窝}
hao	hau	蒿交哮孝耗
ao	ɦau	毫濠号
ao	au	昊浩坳奥懊效鏊澳讴{叫；喊}
p'eo	pʰəu	□{分～：分诉}
beo	bəu	吥
meo	məu	矛谋牟侔母牡亩眸茂
feo	fəu	否
veo	vəu	復{1}浮{2，虚～}阜
teo	təu	兜斗抖
t'eo	tʰəu	偷透敨
deo	dəu	投头豆痘
ngeo	ŋəu	藕{1}
leo	ləu	娄楼篓蝼搂漏瘺陋髅镂{挖}
tseo	tsəu	邹绉钩骤{1}沟{1}苟购{1}走皱奏
ts'eo	tsʰəu	凑
seo	səu	搜嗽瘦
zeo	zəu	愁骤{2}
keo	kəu	勾沟{2}狗够彀掫购{2}
k'eo	kʰəu	口叩寇扣凑{白}□{～～：刚好}
geo	gəu	佝
ngeo	ŋəu	偶{～然}牛耦藕{2}
heo	həu	好鲎{彩虹}□{曲身}
eo	ɦəu	侯猴喉后候厚□{听凭}
hyeo	çəu	吼
eo	əu	欧鸥瓯后呕抠{1}沤厚伛
tsia	tsia	者借
ts'ia	tsʰia	且□{斟酒；倒（茶、水）}
sia	sia	写卸
zia	zia	邪斜惹喏射{2}榭谢麝
gya	ɟia	茄
ya	ɦia	也夜爷耶野{1}
ia	ia	野{2}
miu	miu	谬
tiu	tiu	丢
niu	niu	扭纽
liu	liu	流留瘤榴硫刘柳
tsiu	tsiu	周州洲舟侜帚酒灸肘咒究鸠
ts'iu	tsʰiu	抽丑秋臭{1}瞅
dziu	dziu	仇惆踌咎宙
siu	siu	休修收羞庥貅守手首朽狩兽秀绣锈
ziu	ziu	柔受授寿就袖
kyiu	ciu	究阄龟{2}鸠久九玖韭疚救骄咒{念～}
ky'iu	cʰiu	秋楸坵蚯丑臭{2}丘
gyiu	ɟiu	囚求球毬裘酬畴筹绸臼舅旧柩纣
yiu	ɦiu	佑又友右幼幽悠油游犹由诱尤釉
iu	iu	尤忧有酉
piao	piau	标彪镖剽{1}表婊
p'iao	pʰiau	票飘剽{2}嫖{1}漂
biao	biau	瓢殍嫖{2}
miao	miau	苗描渺藐锚妙庙
tiao	tiau	钓雕貂屌吊
t'iao	tʰiau	挑眺粜跳
diao	diau	条笤掉调窕趒{走}
liao	liau	聊辽镣僚了寥料撩{捞}
tsiao	tsiau	招昭钊焦蕉椒剿沼照诏礁嘲
ts'iao	tsʰiau	悄超俏锹
dziao	dziau	兆潮召
siao	siau	肖消硝宵霄萧箫销小少晓笑啸烧
ziao	ziau	韶饶扰绕嚼
kyiao	ciau	娇侥缴朝{1}矫撬叫骄浇
ky'iao	cʰiau	窍敲巧
gyiao	ɟiau	乔朝{2}轿召
hyiao	çiau	晓𠏕{“休要”的合音字}
nyiao	ɲiau	尧鸟{2}袅嬲饶
yiao	ɦiau	夭姚摇瑶窑谣遥耀
iao	iau	腰妖幺杳舀邀要么
pæn	pɛ̃	班斑板版阪扮拌{1}绊
p'æn	pʰɛ̃	扳攀盼襻
bæn	bɛ̃	爿{1}办
mæn	mɛ̃	蛮馒嫚幔{1}挽晚{1}慢漫
fæn	fɛ̃	幡番翻反返
væn	vɛ̃	凡凢卐汎烦犯繁藩范万饭泛
tæn	tɛ̃	单耽担胆旦
t'æn	tʰɛ̃	摊坍坦毯滩炭叹探{1}瘫
dæn	dɛ̃	谈痰坛弹潭谭罈啖淡澹蛋但覃旦{约～}
næn	nɛ̃	南{1}男{1}难
læn	lɛ̃	篮蓝兰栏拦懒览揽缆榄烂澜□{～污：肮脏；褴褛}□{湿}
tsæn	tsɛ̃	斩盏赞蘸
ts'æn	tsʰɛ̃	餐骖忏剗{2}惨{1}灿铲
dzæn	dzɛ̃	赚{1}站暂栈赚{2，错}□{求～：妄求}
sæn	sɛ̃	三山衫叁珊伞散产剷铲撒疝
zæn	zɛ̃	馋惭残蚕谗劖潺{～吐：口水}
kæn	kɛ̃	间奸监减拣简柬橄痫裌鉴涧
k'æn	kʰɛ̃	嵌看{1}
gæn	gɛ̃	衔陷{挤塞}
ngæ	ŋɛ̃	岩眼雁颜
hæn	hɛ̃	喊苋罕{1}□{谷～：秕谷}
æn	ɦɛ̃	函咸限
kwæn	kuɛ̃	关惯鳏掼
gwæn	guɛ̃	擐{背}掼{摔打}
ngwæn	ŋuɛ̃	顽宦扤
wæn	ɦuɛ̃	弯湾圜寰环还幻患
æn	ɛ̃	菴限陷晏{1，晚}
nen	nẽ	内{2，～中：其中}
ven	vẽ	勽
en	ɦẽ	含涵寒韩汗旱翰瀚□{～几：全部；～身：全身}
en	ẽ	鞍庵谙暗安按{～手棒：拐杖}案
pön	pø̃	半拌{2}
p'ön	pʰø̃	潘判泮
bön	bø̃	胖般搬盘磐伴叛畔
mön	mø̃	幔{2}瞒鳗满
tön	tø̃	端湍短锻□{扔；掷}□{～箕}
t'ön	tʰø̃	探{2}贪
dön	dø̃	团断段煅缎锻潭{深～}
nön	nø̃	南{2}男{2}
lön	lø̃	銮鸾卵{1}乱恋
tsön	tsø̃	攒钻
ts'ön	tsʰø̃	撺惨{2}篡蹿{跳}
sön	sø̃	酸算蒜
kön	kø̃	杆{1}甘{1}竿{1}肝{1}感{1}敢{1}赶{1}坎{1}干{1}鸽{1}秆{芦～}
k'ön	kʰø̃	看{2，好～}坎
hön	hø̃	汉酣{1}罕{2}
ön	ɦø̃	寒{1}翰汉旱汗
kwön	kuø̃	冠官棺管罐脍馆
kw'ön	kʰuø̃	宽{～容}
hwön	huø̃	欢
wön	ɦuø̃	碗缓
ön	ø̃	安{1}按{1}晏{2}暗{1}案{1}汗{1}韩{1}冤鞍
p'in	pʰĩ	偏片篇翩骗
bin	bĩ	便卞弁辫辨辩
min	mĩ	棉绵眠免冕缅面
tin	tĩ	癫颠点典店玷
t'in	tʰĩ	天忝添腆舔
din	dĩ	甜田畛佃钿填垫奠殿电靛
lin	lĩ	奁帘廉怜敛殓炼琏练联脸莲连链鲢□{块，一～板}
tsin	tsĩ	尖詹毡沾煎甘{1}瞻剪辗酣{2}霑箭荐战佔僭
ts'in	tsʰĩ	千芊迁遣阡签
dzin	dzĩ	钱缠
sin	sĩ	仙先鲜{1}闪癣扇献籼线显
zin	zĩ	前潜染{1}冉渐善然缮蟮贱饯践
kyin	cĩ	兼坚干{2}建感{2}拈肩敢{2}杆{2}竿{2}茧肝{2}赶{2}镰{白读}剑占见鸽{2，白读}站
ky'in	cʰĩ	牵签谦堪龛欠扦刊坎{2}愆浅砍
gyin	ɟĩ	钳缠虔钱件健俭剪乾
nyin	ɲĩ	言年严俨廿染{2}验念唁碾□{侧转：头～转}
hyin	çĩ	显鲜{2}煽熯{白读}险献
yin	ɦĩ	沿涎延弦絃韩{2}盐寒{2}岸憾捍按{2}汗{2}演焰现砚筵翰伣偃腌宴
in	ĩ	烟胭安{2}宴掩揞旱案{2}厌咽暗{2}燕焊鞍
dzün	dzỹ	传
kyün	cỹ	圈捐绢眷卷
ky'ün	cʰỹ	犬券劝捲圈
gyün	ɟỹ	拳权倦
nyün	ɲỹ	元原源芫愿软
hyün	çỹ	喧暄椬萱埙
cün	tʃỹ	专砖转
c'ün	tʃʰỹ	川拴穿喘痊舛钏串
djün	dʒỹ	撰馔传
shün	ʃỹ	宣闩选
jün	ʒỹ	全旋泉船耍{白读}软痊
yün	ɦỹ	冤袁猿员圆悬猿玄缘县怨{1}院园远
ün	ỹ	渊冤鸳远怨{2}
pang	paŋ	绷帮爸{儿化}
p'ang	pʰaŋ	浜烹磅{1}□{撞；掷}
bang	baŋ	彭棚碰{1，白读，～着：碰到}膨{歇力～骨：肋骨}蚌掽蓬{刺～}𦗭{聋～：聋子}
mang	maŋ	虻猛孟蜢□{～坑：茅坑}
tang	taŋ	打
lang	laŋ	冷
nang	naŋ	□{～起：起床，坐起来}
tsang	tsaŋ	争睁棦铮诤㬹{脚～：脚踝}
ts'ang	tsʰaŋ	撑撐
dzang	dzaŋ	橙{1}□{钻}□{～过先：抢先}
sang	saŋ	生牲笙省{1}甥
kang	kaŋ	耕庚羹更梗粳耿鲠
k'ang	kʰaŋ	坑硁
ngang	ŋaŋ	硬
ang	ɦaŋ	亨行衡
kwang	kuaŋ	梗{量词，根}鲠
wang	ɦuaŋ	横轰{2}
ang	aŋ	幸杏樱{1}
peng	pəŋ	奔本
p'eng	pʰəŋ	喷
beng	bəŋ	盆笨
meng	məŋ	们扪门问
feng	fəŋ	分纷吩奋{～勇}氛粉粪
veng	vəŋ	文纹蚊坟闻问忿份{一～人家}□{盖住}
teng	təŋ	吞灯登等凳顿
t'eng	tʰəŋ	汆{白读}褪{白读}吞□{漂浮。～来～去}□{坏}
deng	dəŋ	墩屯滕腾誊遁沌钝盾
neng	nəŋ	能卵{2}嫩暖恁{～之：宁可}
leng	ləŋ	伦囵仑沦纶论轮
tseng	tsəŋ	增墫曾{1}甑尊遵
ts'eng	tsʰəŋ	寸忖村
seng	səŋ	僧孙曾{2}飧逊{比逊}损
zeng	zəŋ	存层赠
keng	kəŋ	根跟□{遮盖}
k'eng	kʰəŋ	啃垦恳肯
eng	ɦəŋ	衡恨恒痕
kweng	kuəŋ	昆棍汩{白读}滚
kw'eng	kʰuəŋ	坤捆睏窟困
geng	gəŋ	□{蹲；蜷伏}
hweng	huəŋ	婚惛昏荤
weng	ɦuəŋ	温瘟混馄魂浑稳恽
eng	əŋ	恩
pông	pɔŋ	邦帮榜绑膀谤
bông	bɔŋ	庞旁滂螃傍{1}棒
mông	mɔŋ	忙芒望{1}网忘{1}
fông	fɔŋ	方舫妨访放纺
vông	vɔŋ	亡妄忘{2}望{2}罔防房
tông	tɔŋ	挡裆当党档□{扶}
t'ông	tʰɔŋ	倘
dông	dɔŋ	塘溏糖膛荡螳堂
lông	lɔŋ	狼螂郎廊榔朗浪
tsông	tsɔŋ	妆庄樟獐瘴臧掌葬装赃障壮嶂□{弄；搞}
ts'ông	tsʰɔŋ	仓沧疮舱苍唱{1}菖昌{2}窗
sông	sɔŋ	桑霜礵赏丧
zông	zɔŋ	偿尝藏常床状脏裳上尚
kông	kɔŋ	刚纲扛江缸肛釭讲港降亢岗
k'ông	kʰɔŋ	囥慷糠抗炕□{一～寿坟}
hông	hɔŋ	荒慌谎
ông	ɦɔŋ	杭航巷
công	tʃɔŋ	壮{肥胖}
c'ông	tʃʰɔŋ	窗{2}眶筐冲
djông	dʒɔŋ	椿狂撞
shông	ʃɔŋ	双{1}
kwông	kuɔŋ	胱光广
hwông	huɔŋ	荒谎慌
wông	ɦuɔŋ	皇凰徨煌蝗篁王磺潢遑旺黄枉
ông	ɔŋ	盎项
pong	poŋ	崩梆
p'ong	pʰoŋ	捧碰{2，文读}
bong	boŋ	朋甏磅{2}篷蓬塳{～尘：灰尘}傍{2}
mong	moŋ	朦蒙濛梦
fong	foŋ	丰风枫疯峰烽蜂葑讽方仿坊奉俸封
vong	voŋ	房缝逢甮㬟{“勿曾”的合音字}奉
tong	toŋ	冬东栋董佟懂冻
t'ong	tʰoŋ	通统痛
dong	doŋ	童同铜桐唐堂筒桶宕洞仝僮
nong	noŋ	农脓囊昂
long	loŋ	龙聋隆珑砻拢弄□{～出：伸出}
tsong	tsoŋ	宗彰棕综踪总粽
ts'ong	tsʰoŋ	聪葱
song	soŋ	鬆耸丧送
zong	zoŋ	裳丛嫦上崇尚
kong	koŋ	光公功工攻蚣贡
k'ong	kʰoŋ	空康孔控
hong	hoŋ	哄烘訇轰{1}蕻{菜～；枝～}
ong	ɦoŋ	洪红{～汤}虹鸿□{～～响：轰隆隆地响}
cong	tʃoŋ	中宫弓忠躬钟衷肿踵供塚众种终纵
c'ong	tʃʰoŋ	充冲穹闯宠忡恐铳
djong	dʒoŋ	虫重茕琼共{1}
shong	ʃoŋ	嵩松{～树；～香}双{2}叔{儿化}
jong	ʒoŋ	从戎绒讼诵{传～}颂
kwong	kuoŋ	广
kw'ong	kʰuoŋ	旷
hwong	huoŋ	恍
wong	ɦuoŋ	黄
ong	oŋ	翁
ping	piŋ	兵冰彬饼丙禀秉摒柄并迸併鬓瓶殡
p'ing	pʰiŋ	品娉聘
bing	biŋ	平凭瓶苹萍评屏频颦並伻冯牝病
ming	miŋ	名铭茗明民盟悯敏皿螟冥闵命
ting	tiŋ	丁叮钉疔订仃顶鼎盯□{一～：一点儿}
t'ing	tʰiŋ	厅汀挺艇听
ding	diŋ	亭停廷蜓庭定
ling	liŋ	拎林淋玲羚临苓菱邻陵零霖灵鳞麟龄伶岭领凛另令
tsing	tsiŋ	针征贞斤{1}旌晶榛正津珍真睛砧精荆蒸井整进镇震俊倾{2}振浸证症政敬{1}枕劲
ts'ing	tsʰiŋ	亲青清请逞寝庆秤鲭趁
dzing	dziŋ	陈程橙{2}澄郑觐剩{1}□{□dao～：成功；结果}沉尘呈
sing	siŋ	伸审心新升星欣深甥申绅声胜腥莘讯身辛醒沈婶省{2}信姓性圣迅汛
zing	ziŋ	丞乘仁任{2}升城寻情成承晨晴神秦绳臣薪诚辰忍静尽净慎盛甚剩{2}
kying	ciŋ	京惊经境巾径斟斤{2}景泾矜竟紧拯敬{2}胫谨警金锦枕颈疹禁鲸晋儆筋镜
ky'ing	cʰiŋ	轻卿搇秤衾衬趁
gying	ɟiŋ	呈尘勤琴禽芹近阵劲{2}捦
nying	ɲiŋ	人迎银仍任{1}凝壬宁认日{今～。儿化}
hying	çiŋ	馨兴
cing	tʃiŋ	准
c'ing	tʃʰiŋ	春蠢
jing	ʒiŋ	旬{以～迦别：地名}□{“锡安”地名的音译}
shing	ʃiŋ	纯唇巡循旬吮润顺寻
ying	ɦiŋ	刑寅淫营盈蝇孕形引
ing	iŋ	因鹰姻殷樱{2}湮窨膺英茵荫婴阴音颖饮引蚓影隐印应映
liang	liaŋ	两凉梁粱樑粮良谅量亮
tsiang	tsiaŋ	桨奖胀蒋酱帐将张{窥视}账长{～老}涨仗雀{儿化}□{停留}
ts'iang	tsʰiaŋ	枪娼昌{1}猖抢厂敞创畅唱{1}髦襁跄锵阊怅倡伥□{一～：一会儿}
dziang	dziaŋ	长肠场杖丈仗详{～细}
siang	siaŋ	香伤相箱镶商乡厢想响晌鲞向啍
ziang	ziaŋ	详祥翔蔷墙庠象像让匠
hiang	hiaŋ	享
kyiang	ciaŋ	姜僵缰脚{儿化。落～：最后}
gyiang	ɟiaŋ	强
nyiang	ɲiaŋ	娘孃仰酿瓤{核儿}
hyiang	çiaŋ	享{～福}□{大～：众人，大伙儿}
yiang	ɦiaŋ	央羊阳扬旸杨洋佯飏烊炀样疆怏恙
iang	iaŋ	鸯殃痒养
tsüing	tsyɪŋ	遵
ts'üing	tsʰyɪŋ	准蠢
dzüing	dzyɪŋ	盾
kyüing	cyɪŋ	君均皲军钧
ky'üing	cʰyɪŋ	窘
gyüing	ɟyɪŋ	群裙郡
nyüing	ɲyɪŋ	润
hyüing	çyɪŋ	勳熏薰醺训
shüing	ʃyɪŋ	恂舜瞬
yüing	ɦyɪŋ	云匀纭芸运韵晕
üing	yɪŋ	允
ky'üông	cyɔŋ	框
gyüông	ɟyɔŋ	狂
djüông	dʒyɔŋ	撞
hyüông	çyɔŋ	况{何～}
yüông	ɦyɔŋ	往枉
üông	yɔŋ	往
kyüong	cyoŋ	冢拱宫供弓恭
ky'üong	cʰyoŋ	倾{1}匡恐穹{～苍：天空}
gyüong	ɟyoŋ	穷仲共{2}
nyüong	ɲyoŋ	浓
hyüong	çyoŋ	兄凶胸况□{嗅}
yüong	ɦyoŋ	庸傭熊雄容荣泳咏用
üong	yoŋ	拥永涌齆墉慵
pah	paʔ	伯八{1}柏百迫不
p'ah	pʰaʔ	拍擘珀魄𤖼{掰}
bah	baʔ	帛白
mah	maʔ	脉陌麦么蓦
fah	faʔ	法
vah	vaʔ	物
tah	taʔ	□{～料：这么多}□{个～稀奇：这倒稀奇}
t'ah	tʰaʔ	□{一～连得：全部连着}
lah	laʔ	□{～瑟}
tsah	tsaʔ	摘责只
ts'ah	tsʰaʔ	册拆策插
dzah	dzaʔ	宅姹诧择泽
sah	saʔ	栅□{～诈：欺骗}
zah	zaʔ	□{～□m：什么}
kah	kaʔ	格隔革
k'ah	kʰaʔ	客□{～西摩义：地名}
ngah	ŋaʔ	额
hah	haʔ	赫
kwah	kuaʔ	掴刮
ah	ɦaʔ	□{～□yi：哪里}
ah	aʔ	厄呃轭阿{2}
pæh	pɛʔ	拨跋钹八{2}
bæh	bɛʔ	拔
fæh	fɛʔ	弗佛拂发笏法
væh	vɛʔ	乏伐罚阀□{白～：白沫}□{次；回}
tæh	tɛʔ	答褡搭{～帐篷}□{拍打}
t'æh	tʰɛʔ	哒塌塔搨榻獭蹋遢他{亚比亚～}挞□{涂抹}
dæh	dɛʔ	沓{1}特达夺踏{践～}
næh	nɛʔ	呐纳捺
læh	lɛʔ	啦喇扐拉蜡猎肋腊辣□{加大～：地名}□{～转：环绕；兜拦}□{服～：服气}
tsæh	tsɛʔ	扎札轧窄□{播撒}
ts'æh	tsʰɛʔ	则察恻插擦仄测
sæh	sɛʔ	塞煞索萨杀撒{革尼～勒：地名}
zæh	zɛʔ	卡{2}闸铡
kæh	kɛʔ	割{1}夹甲胛荚
gæh	gɛʔ	㧾{～～抖：瑟瑟发抖}搿{搂抱}
hæh	hɛʔ	呷喝瞎□{饿}
æh	ɦɛʔ	匣核狭盒辖
kwæh	kuɛʔ	括聒
kw'æh	kʰuɛʔ	阔
hwæh	huɛʔ	㧾{甩}
ngwæh	ŋuɛʔ	兀
wæh	ɦuɛʔ	挖
æh	ɛʔ	押鸭压
peh	pəʔ	不钵鹁□{给；让；叫}
p'eh	pʰəʔ	叭泼拍{～浪}
beh	bəʔ	浡脖□{就；便}
meh	məʔ	抹末殁没沫袜物{白读}□{～药：麻药}
feh	fəʔ	勿咈弗
veh	vəʔ	佛物{文读}
teh	təʔ	得德答□{和}
t'eh	tʰəʔ	凸{～眼}忑忒秃脱塔
deh	dəʔ	夺突特□{夜～：夜里；日～白天}
neh	nəʔ	讷纳衲
leh	ləʔ	捋粒拉腊律勒垃
tseh	tsəʔ	侧撮{～阉：抓阄}
ts'eh	tsʰəʔ	岔
seh	səʔ	色瑟塞□{垃～：垃圾}
keh	kəʔ	蛤{2}个割箇{指示词；助词}
k'eh	kʰəʔ	克刻恰渴{1}掐□{～妒：忌妒}
heh	həʔ	黑
eh	ɦəʔ	合{1，苟～}
kweh	kuəʔ	刮猾骨
kw'eh	kʰuəʔ	阔
hweh	huəʔ	囫忽㧾豁
weh	ɦuəʔ	挖活滑
eh	əʔ	压
pôh	pɔʔ	博膊驳剥
bôh	bɔʔ	箔雹薄{～荷}鹁
môh	mɔʔ	寞幕莫摸
vôh	vɔʔ	缚
t'ôh	tʰɔʔ	托
dôh	dɔʔ	牍踱铎□{～断：审断}
nôh	nɔʔ	诺
lôh	lɔʔ	乐{1}烙禄绿落鹿骆□{～乱：忙乱}
tsôh	tsɔʔ	□{捡拾}作斫
ts'ôh	tsʰɔʔ	错{2}
dzôh	dzɔʔ	昨痄
sôh	sɔʔ	索
zôh	zɔʔ	镞凿辱昨{2}
kôh	kɔʔ	搁觉角阁各□{烘烤。～熟：烤熟}□{～板：礼物}
k'ôh	kʰɔʔ	哭壳确□{清～：清爽；干净}
gôh	gɔʔ	□{搁浅；搁住}
ngôh	ŋɔʔ	岳鄂鹤乐{2，～器}
hôh	hɔʔ	藿霍□{怕}
ôh	ɦɔʔ	学惑或涸鹤{拿～}龌{1}□{1，～人相：害羞状}
