汉字	注释	音标	
海		hoi3	
哀		ai1	
爱		oi5	
贝		pi5	
带		tai5	
太		tʰai5	
蔡		tsʰai5	
盖		koi5	
害		hoi5	
拜		pai5	
排		pʰai2	
埋		mai2	
阶		kai1	
揩		kʰai1	
楷		kʰai3	
界		kai5	
挨		ai1	
派		pʰai5	
稗		pʰai5	
买		mai1	
卖		mai5	
奶	祖母	nai1	
奶	牛~	nən5	
柴		tsʰai2	
佳		ka1	
街		kai1	
解		kai3	
鞋		hai2	
蟹		hai3	
矮		ai3	
败		pʰai5	
寨		tsʰai5	
毙		pi5	
厉		li5	
例		li5	
制		tsɿ5	
世		sɿ5	
低		tai1	
梯		tʰoi1	
体		tʰi3	
替		tʰi5	
弟		tʰai1	
第		tʰi5	
泥		nai2	
犁		lai2	
齐		tsʰɛi2	
西		ɕi1	
洗		sɛi3	
细		sɛi5	
鸡		kai1	
溪		hai1	
杯		pi1	
背	~脊	poi5	
背	~书	pʰoi5	
赔		pʰoi2	
倍		pʰi5	
梅		mi2=/moi2-	
每		mi1	
妹		moi5	
堆		tui1	
队		tui5	
推		tʰui1	
退		tʰui5	
腿		tʰui3	
罪		tsʰui5	
碎		sui5	
块		kʰuai5	
灰		foi1	
回		fi2	
汇		fi5	
最		tsui5	
外	~面	ŋoi5	
外	~公	ŋoi5	
会	开~	fi5	
会	不~	voi5	
乖		kuai1	
怪		kuai5	
淮		fai2	
坏		fai5	
蛙		va1	
拐		kuai3	
挂		kua5	
画		fa5	
快		kʰuai5	
话	~语	fa5	
话	说	va5	
岁		soi5	
税		sui5	
锐		iui5	
卫		vi5	
肺		fi5	
吠		pʰoi5	
奎		kʰui2	
桂		kui5	
惠		fi5	
碑		pi1	
披		pʰi1	
皮		pʰi2	
被	~子	pʰi1	
被	~迫	pʰi5	
篱		li2	
知	文	tsɿ1	
知	白	ti1	
智		tsɿ5	
支		tsɿ1	
纸		tsɿ3	
舐		sɛi1	
是		sɿ5=/hɛi5-	
儿		ɛi2	
寄		ki5	
义		ŋi5	
蚁		ŋi1	
戏		ɕi5	
易	容~	i5	
易	姓	i5	
悲		pi1	
备		pʰi5	
美		mi1	
地		tʰi5	
梨		li2	
利		li5	
自	~私	tsʰɿ5	
自	~家	tsʰɿ1	
私		sɿ1	
死		ɕi3	
四		ɕi5	
屎		sɿ3	
二		ŋi5	
饥		ki1	
器		kʰi5	
李		li3	
里	~程	li1	
里	~面	li1	
鲤		li1	
理		li1	
字		sɿ5	
事		sɿ5	
齿		tsʰɿ3	
时		sɿ2	
耳		ŋi3	
而		ɛi2	
基		ki1	
己		ki3	
记		ki5	
欺		kʰi1	
起	文	kʰi3	
起	白	ɕi3	
旗		kʰi2	
疑		ŋi2	
机		ki1	
几		ki3	
气	~体	kʰi5	
气	出~	ɕi5	
衣		i1	
毅		ni5	
汽		ɕi5	
随		sui2	
吹		tsʰui1	
规		kui1	
亏		kʰui1	
毁		fi3	
睡		soi5	
伪		vi5	
泪		lui5	
醉		tɕi5	
锤		tsʰui2	
衰		soi1	
帅		sai5	
水		sui3	
龟		kui1	
轨		kui3	
季		ki5	
维		vi2	
柜		kʰui5	
位		vi5	
飞		fi1	
匪		fi3	
费		fi5	
肥		fi2	
尾		mi1	
味		mi5	
归		kui1	
鬼		kui3	
贵		kui5	
魏		vi5	
挥		fi1	
毛		mau1	
道		tʰau5	
脑		nau3	
恼		nau3	
牢		lau2	
老		lau3	
糟		tsau1	
操		tsʰau1	
曹		tsʰau2	
熬		ŋau2	
造		tsʰau5	
傲		ŋau5	
靠		kʰau5	
浩		hau5	
包		pau2	
饱		pau3	
豹		pau5	
猫		miau5	
卯		mau3	
闹		nau5	
抓		tsa1	
罩		tsau5	
交		kau1	
敲		kʰau1	
绞		kau3	
教		kau5	
咬		ŋau1	
袄		ŋau3	
椒		tɕiau1	
小		ɕiau3	
朝	今~	tsau1	
超		tsʰau1	
潮		tsʰau2	
烧		sau1	
照		tsau5	
绍		sau5	
桥		kʰiau2	
轿		kʰiau5	
鸟	文	niau3	
鸟	白	tiau1	
刁		tiau1	
缴		kiau3	
叫		kiau5	
亩		mɛu1	
某		mɛu3	
偷		tʰɛu1	
头		tʰɛu2	
豆		tʰɛu5	
透		tʰɛu5	
楼		lɛu2	
狗		kɛu3	
口	文	kʰɛu3	
口	白	hɛu3	
藕		ŋɛu3	
偶		ŋɛu3	
猴		hɛu2	
厚		hɛu1	
后		hɛu5	
候		hɛu5	
浮		fɛu2	
妇		fu5	
流		lieu2	
刘		lieu2	
柳		lieu3	
酒		tɕieu3	
秋		tɕʰieu1	
修		ɕieu1	
袖		tɕʰieu5	
昼		tɕieu5	
抽		tɕʰieu1	
绉		tɕieu5	
愁		tsʰɛu2	
搜		sɛu1	
周		tɕieu1	
臭		tɕʰieu5	
收		ɕieu1	
手		ɕieu3	
受		ɕieu5	
寿		ɕieu5	
鸠		kʰieu1	
丘		kʰieu1	
求		kʰieu2	
休		ɕieu1	
舅		kʰieu1	
旧		kʰieu5	
牛		nieu2	
有		ieu1	
友		ieu1	
右		ieu5	
丢		tieu1	
纠		kieu1	
幼		ieu5	
担		tan1	
贪		tʰan1	
探		tʰan5	
南		nan2	
答		tait7	
踏		tʰait8	
纳		nait8	
参		tsʰan1	
惨		tsʰan3	
蚕		tsʰan2	
杂		tsʰait8	
感		kan3	
鸽		hoit7	
含		han2	
合	~作	hait8	
暗		an5	
胆		tan3	
塔		tʰait7	
淡		tʰan1	
篮		lan2	
腊		lait8	
蜡		lait8	
甘		kan1	
敢		kan3	
磕	~头	kʰait7	
喊		han5	
站	车~	tsan5	
站	立	tsan5	
赚		tsʰan5	
插		tsʰait7	
杉		sa1	
咸		han2	
减		kan3	
狭		kʰiait8	
衫		san1	
舰		kan5	
鉴		kan5	
甲		kait7	
鸭		ait7	
粘		nian2	
聂		niat7	
蹑		niat7	
镰		lian2	
尖		tɕian1	
接		tɕiat7	
签		tɕʰian1	
占		tsan5	
染		ŋian3	
捡		kian3	
钳		kʰian2	
验		nian5	
险		ɕian3	
盐		ian2	
叶		iat8	
欠		kʰian5	
严		ŋian2	
业		ŋiat8	
点		tian3	
店		tian5	
跌		tɛt7	
添		tʰian2	
帖		tʰiat7	
甜		tʰian2	
拈		ŋian1	
念		ŋian5	
兼		kian1	
谦		kʰian1	
嫌		ɕian2	
协		ɕiat8	
凡		fan2	
犯		fan5	
泛		fan5	
法		fait7	
品		pʰin3	
禀		pin3	
林		lin2	
笠		lit7	
粒		lit8	
侵		tɕʰin1	
浸		tɕin5	
集		tɕʰit8	
心		ɕin1	
寻		tɕʰin2	
习		ɕit8	
沉		tsʰɛn2	
参	人~	sɛn1	
针		tsɛn1	
汁		tsɿt7	
深		sɛn1	
湿		sɿt7	
十		sɿt8	
入		ŋit8	
任	责~	ŋin5	
金		kin1	
琴		kʰin2	
急		kit7	
及	~格	kʰit8	
单		tan1	
摊		tʰan1	
弹	~琴	tʰan1	
难	~易	nan2	
兰		lan2	
懒		lan1	
捺		nait8	
烂		lan5	
辣		lait8	
瘌		lait8	
餐		tsʰon1	
擦		tsʰait7	
肝		kon1	
干	~部	kon5	
割		kot7	
看	~见	kʰon5	
岸		ŋan5	
寒		hon2	
汉		hon5	
汗		hon5	
旱		hon1	
安		on1	
案		on5	
扮		pʰan5	
八		pait7	
办	~法	pan5	
办	~公室	pʰan5	
拔		pʰait8	
产		tsʰan3	
察		tsʰait7	
山		san1	
杀		sait7	
间	中~	kan1	
拣		kan3	
眼		ŋan5	
闲		han2	
苋		han5	
班		pan1	
板		pan3	
慢		man5	
铡		tsait7	
奸		kan1	
颜		ŋan2	
雁		ŋan5	
瞎		hait7	
鞭		pɛn1	
偏		pʰɛn1	
便	~宜	pʰɛn2	
棉		mɛn2	
面	~上	mɛn5	
灭		mɛt8	
别		pʰɛt8	
连		lɛn2	
裂		lɛt8	
煎		tsɛn1	
剪		tsɛn3	
箭		tsɛn5	
迁		tsʰɛn1	
浅		tsʰɛn3	
溅		tsʰɛn5	
贱		tsʰɛn5	
仙		sɛn1	
癣		sɛn3	
线		sɛn5	
薛		ɕiɛt7	
展		tsan3	
缠		tsʰan2	
战		tsan5	
折		tsɛt7	
舌		sɛt8	
扇		san5	
善		san5	
设		sɛt7	
然		iɛn2	
热		ŋiɛt8	
件		kʰiɛn5	
杰		kʰiɛt8	
孽		ŋiɛt7	
蘖		ŋiɛt7	
建		kiɛn5	
健		kʰiɛn5	
言		ŋiɛn2	
献		ɕiɛn5	
歇		ɕiɛt7	
边		pɛn1	
扁		pɛn3	
片		pʰɛn5	
撇		pʰɛt7	
辫		pɛn1	
面	~条	mɛn5	
篾		mɛt8	
蔑	~视	mɛt8	
颠		tɛn1	
天		tʰɛn1	
田		tʰɛn2	
年		ŋiɛn2	
电		tʰɛn5	
铁		tʰɛt7	
捏		nɛt7	
莲		lɛn2	
炼		lɛn5	
节		tsɛt7	
千		tsʰɛn1	
切		tsʰɛt7	
肩		kiɛn1	
牵		kʰiɛn1	
结		kiet7	
搬		pan1	
半		pan5	
潘		pʰan1	
叛		pʰan5	
泼		pʰait7	
盘		pʰan2	
伴		pʰan5	
满		man1	
末		moit7	
端		ton1	
短		ton3	
脱		tʰoit7	
团		tʰon2	
断		tʰon1	
段		tʰon5	
夺		tʰoit8	
暖		non1	
乱		lon5	
卵		lon3	
捋		loit8	
酸		son1	
官		kuon1	
管		kuon3	
灌		kuon5	
括		kʰuoit7	
宽		kʰuon1	
阔		kʰuoit7	
欢		fon1	
完		von2	
换		von5	
活		foit8	
碗		von3	
顽		van2	
幻		fan5	
猾		vait8	
挖		va1	
闩		tsʰon1	
关	姓	kuan1	
关	~门	kʰuan1	
惯		kuan5	
刮		kuat7	
还	归~	van2	
弯		van1	
劣		liɛt8	
全		tsʰɛn2	
绝		tsʰɛt8	
雪		sɛt7	
转	~身	tson3	
传	宣~	tsʰon2	
穿		tsʰon1	
船		son2	
说	小~	soit7	
软		nion1	
卷		kiɛn3	
圈		kʰiɛn1	
拳		kʰiɛn2	
园		iɛn2	
反		fan3	
发		fait7	
翻		fan1	
饭		fan5	
罚		fait8	
万		van5	
袜		mait7	
劝		kʰiɛn5	
元		ŋiɛn2	
月		ŋiɛt8	
冤		iɛn1	
远		iɛn3	
决		kiɛt7	
缺		kʰiɛt7	
血		ɕiɛt7	
悬		ɕiɛn2	
穴		ɕiɛt8	
吞		tʰun1	
根		kiɛn1	
痕		hɛn2	
垦		kʰiɛn3	
恨		hɛn5	
恩		ɛn1	
宾		pin1	
笔		pit7	
匹		pʰit7	
贫		pʰin2	
民		min2	
敏		min3	
密		mit8	
鳞		lin2	
栗		lit8	
亲		tɕʰin1	
七		tɕʰit7	
尽		tɕʰin5	
新		ɕin1	
镇		tsɿən5	
陈		tsʰɿən2	
真		tsɿən1	
质		tsɿt7	
神		sɿən2	
实		sɿt8	
身		sɿən1	
失		sɿt7	
肾		sɿən5	
忍		ŋin1	
认		ŋin5	
日		ŋit7	
一		it7	
斤		kin1	
勤		kʰin2	
近		kʰiun1	
劲		kin5	
乞		kʰit7	
本		pun3	
笨		pun5	
门		mun2	
焖		mun5	
炖		tun1	
突		tʰuit7	
嫩		nun5	
尊		tsun1	
卒		tsuit7	
村		tsʰun1	
骨		kuit7	
滚		kun3	
困		kʰun5	
昏		fun1	
忽		fuit8	
混		fun3	
浑		vun2	
温		vun1	
律		lit8	
遵		tsun1	
准		tsun3	
春		tsʰun1	
出		tsʰuit7	
顺		sun5	
菌	菇	kʰiun1	
闰		iun5	
橘		kit7	
允		iun3	
分		fən1	
粉		fən3	
粪		fən5	
佛		fit8	
蚊		mun1	
问	文	vən5	
问	白	mən5	
物		vit7	
军		kiun1	
屈		kʰuit7	
裙		kʰiun2	
训		ɕiun5	
晕		iun1	
云		iun2	
运		iun5	
帮		pɔŋ1	
薄		pʰok8	
忙		mɔŋ2	
莫		mok8	
膜		mok8	
幕		mu5	
寞		mok8	
党		tɔŋ3	
汤		tʰɔŋ1	
堂		tʰɔŋ2	
托		tʰok7	
荡		tʰɔŋ5	
诺		nok8	
郎		lɔŋ2	
落		lok8	
作		tsok7	
仓		tsʰɔŋ1	
凿		tsʰok8	
桑		sɔŋ1	
钢		kɔŋ5	
各		kok7	
糠		hɔŋ1	
行	银~	hɔŋ2	
行	品~	ɕin2	
行	~时	hɛn2	
行	出~	haŋ2	
恶		ok7	
娘		ŋiɔŋ2	
凉		liɔŋ2	
两	~个	iɔŋ3	
两	斤~	liɔŋ1	
浆		tɕiɔŋ1	
蒋		tɕiɔŋ3	
酱		tɕiɔŋ5	
爵		tɕiok7	
枪		tɕʰiɔŋ1	
墙		tɕʰiɔŋ2	
抢		tɕʰiɔŋ3	
雀		tɕʰiok7	
匠		ɕiɔŋ5	
削		ɕiok7	
象		ɕiɔŋ5	
像		tɕʰiɔŋ5	
张		tsɔŋ1	
长	生~	tsɔŋ3	
帐		tsɔŋ5	
着	穿~	tsok7	
着	睡~	tsʰok8	
长	~短	tsʰɔŋ2	
丈		tsʰɔŋ5	
装		tsɔŋ1	
壮		tsɔŋ5	
疮		tsʰɔŋ1	
霜		sɔŋ1	
章		tsɔŋ1	
掌		tsɔŋ3	
昌		tsʰɔŋ1	
厂		tsʰɔŋ3	
唱		tsʰɔŋ5	
瓤		nɔŋ2	
让		niɔŋ5	
弱		niok8	
虐		niok8	
疟		niok8	
伤		sɔŋ1	
常		sɔŋ2	
上	~下	sɔŋ1	
上	~山	sɔŋ1	
上	~面	sɔŋ5	
姜		kiɔŋ1	
强		kʰiɔŋ2	
香		ɕiɔŋ1	
响		ɕiɔŋ3	
向		ɕiɔŋ5	
秧		iɔŋ1	
养		iɔŋ1	
痒		iɔŋ1	
约		iok7	
样		iɔŋ5	
药		iok8	
跃		iok8	
广		kɔŋ3	
郭		kok7	
荒		fɔŋ1	
谎		fɔŋ3	
黄	~色	vɔŋ2	
黄	姓	vɔŋ2	
光		kɔŋ1	
方		fɔŋ1	
纺		fɔŋ3	
放		fɔŋ5	
房		fɔŋ2	
网		mɔŋ3	
望		mɔŋ5	
忘		vɔŋ5	
筐		kʰiɔŋ1	
眶		tɕʰiɔŋ1	
王		vɔŋ2	
往		vɔŋ3	
绑		pɔŋ3	
剥		pok7	
桩		tsɔŋ1	
桌		tsok7	
撞		tsʰɔŋ5	
戳		tsʰok7	
浊		tsʰuk8	
捉		tsok7	
窗		tsʰɔŋ1	
双		sɔŋ1	
江		kɔŋ1	
港		kɔŋ3	
角		kok7	
壳		kʰok7	
学		hok8	
北		pɛk7	
墨		mɛk8	
灯		tɛn1	
等		tɛn3	
得		tɛk7	
藤		tʰɛn2	
邓		tʰɛn5	
特		tʰɛk8	
能		nɛn2	
层		tsʰɛn2	
贼		tsʰɛk8	
肯		kʰɛn3	
肯		hɛn3	
刻		kʰɛk7	
黑		hɛk7	
冰		pin1	
逼		pit7	
力		lit8	
熄		ɕit7	
直		tsʰɿt8	
色		sɛk7	
蒸		tsɿən1	
拯		tsʰɿən3	
证		tsɿən5	
织		tsɿt7	
称		tsʰɿən5	
绳		sɿən2	
食		sɿt8	
升		sən1	
识		sɿt7	
极		kʰit8	
兴	~旺	ɕin1	
兴	高~	ɕin5	
应	~当	in1	
应	~对	in5	
蝇		in2	
国		kuɛk7	
域		it8	
百		pak7	
彭		pʰaŋ2	
白		pʰak8	
猛		muŋ3	
陌		mɛk8	
撑		tsʰaŋ1	
拆		tsʰak7	
冷		laŋ1	
澄	~清	tʰɛn2	
生		saŋ1	
省	节~	saŋ3	
格	~子	kak7	
格	资~	kɛk7	
坑		haŋ1	
客		kʰak7	
孟		muŋ5	
硬		ŋaŋ5	
梗		kuaŋ3	
额		ȵiak7	
吓		hak7	
棚		pʰuŋ2	
麦		mak8	
脉		mak7	
橙		tsʰɛn2	
摘		tsak7	
争	文	tsɛn1	
争	白	tsaŋ1	
耿		kɛn3	
隔		kak7	
兵		pin1	
柄		piaŋ3	
平	文	pʰin2	
平	白	pʰiaŋ2	
病		pʰiaŋ5	
明	文	min2	
明	白	miaŋ2	
命	文	min5	
命	白	miaŋ5	
镜		kiaŋ5	
迎		ŋiaŋ2	
逆		ŋit8	
影		iaŋ3	
饼		piaŋ3	
名	文	min2	
名	白	miaŋ2	
领		liaŋ1	
岭		liaŋ1	
精	文	tɕin1	
精	白	tɕiaŋ1	
井		tɕiaŋ3	
脊		tɕiak7	
清	文	tɕʰin1	
清	白	tɕʰiaŋ1	
请		tɕʰiaŋ3	
情		tɕʰin2	
晴		tɕʰiaŋ2	
静		tɕʰin5	
净		tɕiaŋ5	
姓		ɕiaŋ5	
惜	文	ɕit7	
惜	白	ɕiak7	
程	文	tsʰɿən2	
程	白	tʰaŋ2	
正	~月	tsaŋ1	
正	~确	tsɿən5	
正	舞~	tsaŋ5	
只		tsak7	
尺		tsʰak7	
声	文	sɿən1	
声	白	saŋ1	
成	~功	tsʰɿən2	
成	舞~	saŋ2	
成	~三	tsʰaŋ2	
石		sak8	
席	主~	ɕit8	
席	~子	tɕʰiak8	
颈		kiaŋ3	
轻		kʰiaŋ1	
萦	绕也	iaŋ1	
赢		iaŋ2	
壁		piak7	
瓶		pʰin2	
劈		pʰiak7	
钉		taŋ1	
滴		tɛk7	
听		tʰaŋ1	
踢		tʰɛk7	
停		tʰin2	
挺		tʰin3	
定		tʰin5	
笛		tʰit8	
灵		lin2	
铃		laŋ2	
零		laŋ2	
青	文	tɕʰin1	
青	白	tɕʰiaŋ1	
星		ɕin1	
醒		ɕiaŋ3	
锡		ɕiak7	
经		kin1	
形		ɕin2	
矿		kʰɔŋ5	
横		vaŋ2	
轰		fuŋ1	
兄		ɕiaŋ1	
荣		iuŋ2	
永		in3	
倾		kʰin3	
琼		kʰiuŋ2	
营		in2	
役		it8	
篷		pʰuŋ2	
蒙	~古	muŋ2	
蒙	~住	muŋ1	
木		muk7	
沐		muk8	
东		tuŋ1	
懂		tuŋ3	
冻		tuŋ5	
通		tʰuŋ1	
桶		tʰuŋ3	
痛		tʰuŋ5	
铜		tʰuŋ2	
动		tʰuŋ1	
洞		tʰuŋ5	
独		tʰuk8	
读		tʰuk8	
笼	鸡~	luŋ1	
笼	蒸~	luŋ2	
聋		luŋ1	
拢		luŋ1	
鹿		luk8	
禄		luk8	
碌		luk8	
陆		luk8	
棕		tsuŋ1	
粽		tsuŋ5	
葱		tsʰuŋ1	
送		suŋ5	
公		kuŋ1	
谷		kuk7	
空	~虚	kʰuŋ1	
红		fuŋ2	
翁		vuŋ1	
蕹		vuŋ5	
屋		vuk7	
冬		tuŋ1	
毒		tʰuk8	
农		nuŋ2	
宗		tsuŋ1	
松	轻~	suŋ1	
风		fuŋ1	
福		tʰuk8	
冯		fuŋ2	
凤		fuŋ5	
服		fuk8	
梦		muŋ5	
目	眼也	muk8	
目	~录	muk8	
六		liuk7	
肃		suk7	
中	~间	tsuŋ1	
竹		tsuk7	
虫		tsʰuŋ2	
众		tsuŋ5	
粥		tsuk7	
铳		tsʰuŋ5	
叔		suk7	
熟		suk8	
绒		iuŋ2	
肉		ŋiuk7	
弓		kuŋ1	
菊		kʰiuk7	
穷		kʰiuŋ2	
畜	~牧	ɕiuk7	
畜	~牲	tsʰuk7	
熊		ɕiuŋ2	
育		iuk8	
封		fuŋ1	
缝	~衣	fuŋ2	
缝	~隙	fuŋ5	
浓		ŋiuŋ2	
龙		liuŋ2	
绿		liuk8	
足		tɕiuk7	
从		tsʰuŋ1	
松	~树	tsʰiuŋ2	
俗		ɕiuk8	
重	~量	tsʰuŋ1	
重	~复	tsʰuŋ2	
钟		tsuŋ1	
肿		tsuŋ3	
烛		tsuk7	
冲		tsʰuŋ1	
舂	~米	tsuŋ1	
触		tsʰuk8	
赎		suk8	
褥		luk8	
供	~应	kuŋ5	
供	~鸡	kiuŋ1	
拱		kiuŋ3	
恐		kʰuŋ3	
曲		kʰiuk7	
共	~产党	kʰiuŋ5	
共	~用	kʰiuŋ5	
局		kʰiuk8	
玉		ŋiuk8	
狱		ŋiuk8	
胸		ɕiuŋ1	
凶		ɕiuŋ1	
容		iuŋ2	
用		iuŋ5	
浴		iuk8	
嗅		ɕiu5	
