繁	简	国际音标	备注	调类			调值																																										
也	也	ɛ/ia	【白读】	3																																													
野	野	ɪ	【文读】	3																																													
野	野	ɛ/ia	【白读】	3																																													
冶	冶	ɪ		3																																													
夜	夜	ɪ	【文读】	4																																													
夜	夜	ia	【白读】	4																																													
瓜	瓜	kua		1																																													
寡	寡	kua		3																																													
誇	夸	khua		1																																													
垮	垮	khua		3																																													
跨	跨	khua		4																																													
瓦	瓦	wa		3																																													
花	花	χua		1																																													
化	化	χua		4																																													
華	华	χua		2																																													
華	华	χua	姓。	1																																													
劃	划	χua	~船。	2																																													
補	补	pu		3																																													
譜	谱	phu		3																																													
布	布	pu		4																																													
鋪	铺	phu		1																																													
普	普	phu		3																																													
浦	浦	phu		3																																													
蒲	蒲	phu		2																																													
菩	菩	phu		2																																													
部	部	pu/mu		4																																													
簿	簿	pu		4																																													
捕	捕	pu		3																																													
步	步	pu		4																																													
模	模	mu		2																																													
暮	暮	mu		4																																													
慕	慕	mu		4																																													
墓	墓	mu		4																																													
募	募	mu		4																																													
都	都	təu		1																																													
賭	赌	təu		3																																													
堵	堵	təu		3																																													
肚	肚	təu	胃：牛~；猪~。	3																																													
肚	肚	təu		4																																													
妒	妒	təu		4																																													
土	土	thəu		3																																													
吐	吐	thəu		3																																													
吐	吐	thəu		4																																													
兔	兔	thəu		4																																													
徒	徒	thəu		2																																													
途	途	thəu		2																																													
塗	涂	thəu		2																																													
圖	图	thəu		2																																													
屠	屠	thəu		2																																													
杜	杜	təu		4																																													
度	度	təu		4																																													
渡	渡	təu		4																																													
鍍	镀	təu		4																																													
奴	奴	nəu/ləu		2																																													
努	努	nəu/ləu		3																																													
怒	怒	nəu/ləu		4																																													
盧	卢	ləu		2																																													
爐	炉	ləu		2																																													
蘆	芦	ləu		2																																													
擼	撸	ləu		1																																													
魯	鲁	ləu		3																																													
櫓	橹	ləu		3																																													
露	露	ləu		4																																													
路	路	ləu		4																																													
租	租	tsəu		1																																													
祖	祖	tsəu		3																																													
組	组	tsəu		3																																													
粗	粗	tshəu		1																																													
醋	醋	tshəu		4																																													
挫	挫	tshəu		4																																													
措	措	tshəu		4																																													
錯	错	tshəu		4																																													
蘇	苏	səu		1																																													
酥	酥	səu		1																																													
素	素	səu		4																																													
訴	诉	səu		5																																													
姑	姑	kəu	【文读】	1																																													
姑	姑	əu	【白读】阿~。	1																																													
姑	姑	pu	【白读】~子。	1																																													
孤	孤	kəu		1																																													
估	估	kəu		3																																													
古	古	kəu		3																																													
股	股	kəu		3																																													
鼓	鼓	kəu		3																																													
故	故	kəu		4																																													
固	固	kəu		4																																													
顧	顾	kəu		4																																													
僱	雇	kəu		4																																													
枯	枯	khəu		1																																													
苦	苦	khəu		3																																													
庫	库	khəu		4																																													
褲	裤	khəu		4																																													
吳	吴	əu		2																																													
梧	梧	əu		3																																													
梧	梧	əu		2																																													
吾	吾	əu		2																																													
午	午	əu		3																																													
忤	忤	əu		3																																													
伍	伍	əu		3																																													
五	五	əu		3																																													
誤	误	əu		4																																													
悟	悟	əu		4																																													
蜈	蜈	əu		2																																													
呼	呼	χəu		1																																													
虎	虎	χəu		3																																													
胡	胡	χəu		2																																													
湖	湖	χəu		2																																													
狐	狐	χəu		2																																													
壼	壸	χəu		2																																													
戶	户	χəu		4																																													
滬	沪	χəu		4																																													
護	护	χəu		4																																													
互	互	χəu		4																																													
烏	乌	əu		1																																													
惡	恶	əu	可~。	4																																													
惡	恶	aʔ	~心。	5																																													
女	女	nʮ/lʮ		3																																													
驢	驴	lʮ		2																																													
廬	庐	ləu		2																																													
呂	吕	lʮ		3																																													
旅	旅	lʮ		3																																													
慮	虑	lʮ		4																																													
濾	滤	lɔʔ	~纱。（疑似读白字）	4																																													
蛆	蛆	tɕhʮ		1																																													
徐	徐	tɕhʮ		2																																													
序	序	ɕʮ		4																																													
敘	叙	ɕʮ		4																																													
緒	绪	ɕʮ		4																																													
豬	猪	tsəu		1																																													
豬	猪	tsɿ	~油渣子。（吴语借词）	1																																													
著	著	tsəu		4																																													
除	除	tshəu		2																																													
儲	储	tshəu		3																																													
阻	阻	tsəu		3																																													
初	初	tshəu		1																																													
楚	楚	tshəu		3																																													
鋤	锄	tshəu	~头。	2																																													
助	助	tsəu		4																																													
梳	梳	səu		1																																													
疏	疏	səu	~忽。	1																																													
蔬	蔬	səu		1																																													
所	所	səu		3																																													
諸	诸	tsəu		1																																													
煮	煮	tsəu		3																																													
處	处	tsəu		3																																													
處	处	tsəu		4																																													
書	书	səu		1																																													
舒	舒	səu		1																																													
暑	暑	tshəu		3																																													
鼠	鼠	tshəu		3																																													
署	署	tshəu		3																																													
曙	曙	tshəu		3																																													
薯	薯	tshəu		3																																													
如	如	ləu		2																																													
居	居	tɕʮ		1																																													
舉	举	tɕʮ		3																																													
據	据	tɕʮ		4																																													
鋸	锯	tɕʮ	~子。	4																																													
鋸	锯	ka	【白读】。	4																																													
去	去	tɕhʮ	【白读】	4																																													
渠	渠	tɕhʮ		2																																													
巨	巨	tɕʮ		4																																													
拒	拒	tɕʮ		4																																													
距	距	tɕʮ		4																																													
魚	鱼	ʮ		2																																													
漁	渔	ʮ		2																																													
語	语	ʮ		3																																													
禦	御	ʮ		4																																													
虛	虚	ɕʮ		1																																													
噓	嘘	ɕʮ		1																																													
許	许	ɕʮ		3																																													
滸	浒	χəu	水~。	3																																													
餘	余	ʮ	剩~。	2																																													
餘	余	la	十~个。（疑似上古存留）	4																																													
與	与	ʮ	~众不同。	3																																													
與	与	ʮ	参~。	4																																													
預	预	ʮ		4																																													
譽	誉	ʮ		4																																													
豫	豫	ʮ		4																																													
膚	肤	fu		1																																													
夫	夫	fu		1																																													
府	府	fu		3																																													
俯	俯	fu		3																																													
腑	腑	fu		3																																													
斧	斧	fu		3																																													
付	付	fu		4																																													
傅	傅	fu		4																																													
俘	俘	fu		3																																													
敷	敷	fu		3																																													
赴	赴	fu		4																																													
符	符	fu		2																																													
芙	芙	fu		2																																													
扶	扶	fu		2																																													
腐	腐	fu		3																																													
輔	辅	phu		3																																													
父	父	fu		4																																													
附	附	fu		4																																													
無	无	əu	【文读】	2																																													
無	无	məʔ	【白读】	5																																													
誣	诬	əu		2																																													
舞	舞	əu		3																																													
武	武	əu		3																																													
務	务	əu		3																																													
霧	雾	əu		3																																													
屢	屡	lʮ		3																																													
趨	趋	tɕhʮ		1																																													
取	取	tɕhʮ		3																																													
娶	娶	tɕhʮ		3																																													
趣	趣	tɕhʮ		4																																													
聚	聚	tɕʮ		4																																													
需	需	ɕʮ		1																																													
須	须	ɕʮ		1																																													
蛛	蛛	tsəu		1																																													
株	株	tsəu		1																																													
駐	驻	tsəu		4																																													
注	注	tsəu		4																																													
廚	厨	tshəu		2																																													
柱	柱	tsəu		4																																													
住	住	tsəu		4																																													
數	数	səu		3																																													
數	数	səu		4																																													
朱	朱	tsəu		1																																													
珠	珠	tsəu		1																																													
主	主	tsəu		3																																													
注	注	tsəu		4																																													
蛀	蛀	tsəu		4																																													
鑄	铸	tsəu		4																																													
輸	输	səu		1																																													
殊	殊	səu		1																																													
豎	竖	səu		4																																													
樹	树	səu	一棵~。	4																																													
儒	儒	ləu		2																																													
乳	乳	ləu		3																																													
拘	拘	tɕʮ		1																																													
句	句	tɕʮ		4																																													
區	区	tɕʮ		1																																													
區	区	ɤ	姓。	1																																													
驅	驱	tɕʮ		1																																													
瞿	瞿	tɕhʮ		2																																													
具	具	tɕʮ		4																																													
愚	愚	ʮ		2																																													
虞	虞	ʮ		2																																													
娛	娱	ʮ		2																																													
遇	遇	ʮ		4																																													
寓	寓	ʮ		4																																													
於	于	ʮ		2																																													
盂	盂	ʮ		2																																													
雨	雨	ʮ		3																																													
羽	羽	ʮ		3																																													
宇	宇	ʮ		3																																													
禹	禹	ʮ		3																																													
芋	芋	ʮ		2																																													
俞	俞	ʮ		2																																													
揄	揄	ʮ		2																																													
榆	榆	ʮ		2																																													
愉	愉	ʮ		2																																													
愈	愈	ʮ		4																																													
裕	裕	ʮ		4																																													
喻	喻	ʮ		4																																													
戴	戴	tɛ		4																																													
埭	埭	tɛ		4																																													
胎	胎	thɛ		1																																													
態	态	thɛ		4																																													
台	台	thɛ	~州，天~（浙江地名）。	1																																													
臺	台	thɛ	戏~；电视~；~湾。	2																																													
檯	台	thɛ	~子；写字~；讲~。	2																																													
颱	台	thɛ	~风。	2																																													
苔	苔	thɛ	舌~。	1																																													
苔	苔	thɛ	青~。	2																																													
抬	抬	thɛ		2																																													
待	待	tɛ		4																																													
怠	怠	tɛ		4																																													
代	代	tɛ		4																																													
袋	袋	tɛ		4																																													
乃	乃	nɛ/lɛ		3																																													
耐	耐	nɛ/lɛ		4																																													
來	来	lɛ		2																																													
災	灾	tsɛ		1																																													
栽	栽	tsɛ		1																																													
宰	宰	tsɛ		3																																													
載	载	tsɛ	~重。	4																																													
載	载	tsɛ	记~。	3																																													
再	再	tsɛ		4																																													
猜	猜	tɕhyɛ		1																																													
彩	彩	tshɛ	~色；~票。	3																																													
