單字	音標	註
芝	tsi32	
之	tsi32	
嗤	tsʰi43	
時	si21	
詩	si32	
而	ji21	
居	kui32	
基	kɐi32	
欺	hɐi32	
疑	ji21	
醫	ji32	
期	kʰɐi21	期望
其	kʰɐi21	
旗	kʰɐi21	
里	lɐi23	
李	lɐi23	
理	lɐi23	
子	tsɐi45	
似	tsʰɐi23	
恥	tsʰi45	
士	si43	
史	si45	
使	sɔi45	使錢
使	si45	使得
使	si45	大使
駛	sɔi45	
止	tsi45	
址	tsi45	
齒	tsʰi45	
市	si23	
始	tsʰi45	
耳	ŋɐi23	
己	kɐi45	
紀	kɐi45	
起	hɐi23	
喜	hɐi45	
已	ji23	
以	ji23	
字	tsɐi43	
寺	tsɐi43	
飼	tsɐi43	
置	tsi23	
植	tsɐk33	
值	tsɐk33	
事	sɐi43	
廁	tsʰɐi23	
織	tsɐk55	
誌	tsi23	
識	sɐk55	識得
志	tsi23	
侍	si43	
試	si23	
幟	tsʰi23	
記	kɐi23	
意	ji23	
食	sɐk33	
異	ji23	
忌	kɐi43	
歸	kɔi32	
饑	kɐi32	
機	kɐi32	
揮	fɔi32	
輝	fɔi32	
希	hɐi32	
稀	hɐi32	
依	ji32	
衣	ji32	衣服
威	vɔi32	
圍	vɔi21	
違	vɔi21	
飛	fɐi32	
非	fɐi32	
肥	fɐi21	
微	mɐi21	
幾	kɐi45	兩個
幾	kɐi32	幾乎
鬼	kɔi45	
豈	hɐi45	
偉	vɔi23	
匪	fɐi45	
尾	mɐi23	
溉	kʰui23	
既	kɐi23	
貴	kɔi23	
氣	hɐi23	
毅	ŋɔi43	
慰	vɔi23	
畏	vɔi23	
胃	vɔi43	
彙	vui43	
沸	fɔi23	
未	mɐi43	
味	mɐi43	
蘆	lɐu21	
驢	lɐu21	
且	tsʰɛ45	
徐	tsʰui21	
豬	tsi32	
涂	tʰɐu21	
除	tsʰi21	
儲	tsʰi23	
屠	tʰɐu21	
著	tsi23	著名
著	tsœʔ23	著褲
著	tsœk33	著火
着	tsœk33	
初	tsʰu32	
鋤	tsʰu21	
疏	su32	疏鬆
蔬	su32	
梳	su32	
諸	tsi32	
舒	si32	
書	si32	
如	ji21	
車	kui32	象棋
車	tsʰɛ32	車輛
据	kui32	
魚	ji21	
漁	ji21	
虛	hui32	
於	ji32	
予	ji23	給予
餘	ji21	
與	ji23	與你
與	ji23	付與
譽	ji43	
余	ji21	
蜍	si21	
渠	kʰui21	
女	nui23	
旅	lui23	
呂	lui23	
嶼	tsui43	島嶼
序	tsui43	
敘	tsui43	
緒	sui23	
阻	tsu45	
楚	tsʰu45	
礎	tsʰu45	
所	su45	
處	tsʰi45	處罰
處	tsʰi23	辦事處
處	si23	泛指地方
野	jɛ23	
鼠	si45	
暑	si45	
舉	kui45	
去	hui23	
禦	ji43	
語	ji23	言語
許	hui45	
距	kʰui23	
巨	kui43	
鉅	kui43	
拒	kʰui23	
慮	lui43	
絮	sui23	
助	tsu43	
薯	si21	
據	kui23	
鋸	kui23	名詞
鋸	kɛ23	動詞
御	ji43	
菸	jɪŋ32	
預	ji43	
都	tɐu32	首都
都	tɔ32	副詞
圖	tʰɐu21	
途	tʰɐu21	
塗	tʰɐu21	
徒	tʰɐu21	
奴	nɐu21	
爐	lɐu21	
租	tsɐu32	
蘇	sɐu32	
辜	ku32	
箍	kʰu32	
孤	ku32	
姑	ku32	
枯	fu32	
吳	ŋ21	
呼	fu32	
糊	fu21	
胡	fu21	
壺	fu21	
湖	fu21	
狐	fu21	
乎	fu21	
嗚	vu32	
烏	vu32	
惡	ɔ23	好惡
惡	vu23	厭惡
樸	pʰɔ23	
菩	pʰɐu21	
模	mɐu21	
摸	mu45	
膜	mɔk33	耳機膜
膜	mɐu21	膜拜
堵	tɐu45	
賭	tɐu45	
土	tʰɐu45	
吐	tʰɛ23	
肚	tʰɐu23	
杜	tɐu43	
努	nɐu23	
怒	nɐu43	
虜	lɐu23	
魯	lɐu23	
組	tsɐu45	
祖	tsɐu45	
粗	tsʰɐu32	
鼓	ku45	
估	ku45	如估
古	ku45	
股	ku45	
苦	fu45	
午	ŋ23	
五	ŋ23	
伍	ŋ23	
虎	fu45	
戶	fu23	
譜	pʰɐu45	
補	pɐu45	
簿	pɐu43	
部	pɐu43	
媽	ma32	
普	pʰɐu45	
兔	tʰɐu23	
渡	tɐu43	
度	tɐu43	溫度
度	tɔk33	度橋
路	lɐu43	
露	lɐu43	
作	tsɔ23	
醋	tsʰɐu23	
錯	tsʰu23	對錯
錯	tsʰu23	交錯
訴	sɐu23	
塑	sɔ23	
素	sɐu23	
固	ku23	
故	ku23	
顧	ku23	
庫	fu23	
悟	ŋ43	
誤	ŋ43	
互	fu43	
護	fu43	
布	pɐu23	
佈	pɐu23	
步	pɐu43	
捕	pɐu43	
慕	mɐu43	
墓	mɐu43	
暮	mɐu43	
怖	pɐu23	
摟	lɔ21	
趨	tsʰui32	
需	sui32	
須	sui32	
娶	tsʰɐu45	
株	tsi32	
列	lɪk33	
蛛	tsi32	
廚	tsʰi21	
朱	tsi32	
珠	tsi32	
殊	si21	
輸	si32	
俱	kʰui32	
拘	kʰui32	
驅	kʰui32	
區	kʰui32	地區
愚	ji21	
娛	ji21	
于	ji32	
汙	vu32	
芋	fu43	
榆	ji21	
舀	jiu23	
愉	ji21	
膚	fu32	
夫	fu32	夫人
符	fu21	
扶	fu21	
無	mɐu21	
鋪	pʰɐu32	動詞
鋪	pʰɐu23	名詞
俘	fu32	
句	kui23	
取	tsʰui45	
聚	tsui43	
柱	tsʰi23	
數	sɐu45	動詞
數	sɐu23	名詞
主	tsi45	
樹	si43	
豎	si43	
乳	ji23	
矩	kui45	
雨	ji23	
羽	ji23	
宇	ji23	
愈	ji43	
斧	pɐu45	
俯	fu45	
父	fu43	
府	fu45	
腐	fu43	
輔	fu43	
武	mɐu23	
侮	mɐu23	
舞	mɐu23	
撫	fu45	
剖	fɔ45	
屢	lui23	
足	tsək55	
駐	tsi23	
逗	tɔ43	
住	tsi43	
註	tsi23	
鑄	tsi23	
注	tsi23	
遇	ji43	
裕	ji23	
付	fu43	
傅	fu43	師傅
附	fu43	
務	mɐu43	
霧	mɐu43	
仆	pʰək55	
赴	fu43	
具	kui43	
懼	kui43	
帶	tai23	動詞
帶	tai45	名詞
太	tʰai23	
泰	tʰai23	
大	tai43	
賴	lai43	
最	tsui23	
蓋	kui23	名詞
蓋	kʰui23	動詞
外	vui43	
會	vui43	開會
會	vui43	會計
會	vui23	不會
繪	kʰui45	
害	fui43	
貝	pui23	
沫	mək33	
廢	fɔi23	
肺	fɔi23	
寨	tsai43	
快	fai23	
話	va43	
喝	fəʔ23	
敗	pai43	
邁	mai43	
叉	tsʰa32	
查	tsʰa21	監查
柴	tsʰai21	
佳	kai32	
街	kai32	
鞋	hai21	
蛙	va32	
娃	va32	
牌	pʰai21	
枴	kai45	
夥	fu45	
解	kai45	解釋
解	kai23	押解
蟹	hai23	
矮	ai45	
擺	pai45	
買	mai23	
拐	kai45	
債	tsai23	
掛	kʰa23	
畫	va45	漫畫
畫	vak33	畫畫
賣	mai43	
派	pʰai23	
階	kai32	
皆	kai32	
乖	kai32	
匯	vui43	
淮	vai21	
槐	vai21	
懷	vai21	
排	pʰai21	
埋	mai21	
挨	ai32	
殺	sa23	
介	kai23	
壞	vai43	
怪	kai23	
屆	kai23	
界	kai23	
戒	kai23	
械	hai43	
拜	pai23	
扒	pʰa21	牛扒
厲	lɔi43	
例	lɔi43	
勵	lɔi43	
際	tsɔi23	
脆	tsʰui23	
歲	sui23	
制	tsɔi23	
製	tsɔi23	
逝	sɔi43	
誓	sɔi43	
說	sɪʔ23	說明
說	sui23	遊說
世	sɔi23	
稅	sui23	
勢	sɔi23	
藝	ŋɔi43	
洩	sɪʔ23	洩露
銳	jui43	
泄	sɪʔ23	
蔽	pɔi23	
彆	pɪk33	
斃	pɔi43	
弊	pɔi43	
幣	pɔi43	
啜	tsɪʔ23	
揭	kʰɪʔ23	
衛	vɔi43	
低	tɔi32	
梯	tʰɔi32	
蹄	tʰɔi21	
啼	tʰɔi21	
題	tʰɔi21	
折	tsɪʔ23	骨折
折	sɪk33	折本
泥	nɔi21	泥濘
犁	lɔi21	
黎	lɔi21	
擠	tsɔi32	
妻	tsʰɔi32	
齊	tsʰɔi21	齊整
臍	tsʰɐi21	
撕	sɐi32	
西	sɔi32	
雞	kɔi32	
溪	kʰɔi32	
攜	kʰɔi21	
迷	mɔi21	
批	pʰɔi32	
抵	tɔi45	
底	tɔi45	
體	tʰɔi45	
遞	tɔi43	
弟	tɔi43	
禮	lɔi23	
濟	tsɔi23	不濟
洗	sɔi45	
米	mɔi23	
帝	tɔi23	
剃	tʰɔi23	
替	tʰɔi23	
逮	tɔi43	
第	tɔi43	
捩	lɪk33	捩干
隸	tɔi43	
砌	tsʰɔi23	
切	tsʰɔi23	一切
切	tsʰɪʔ23	動詞
細	sɔi23	
桂	kɔi23	
計	kɔi23	
繫	hɔi43	聯繫
繫	hɔi43	繫鈴人
繼	kɔi23	
係	hɔi43	
契	kʰɔi23	契爺
系	hɔi43	
惠	vɔi43	
慧	vɔi43	
閉	pɔi23	
謎	mɔi21	
胎	tʰui32	
臺	tʰui21	
檯	tʰui21	
能	nɐŋ21	
來	lui21	
災	tsui32	
栽	tsui32	
猜	tsʰai32	
材	tsʰui21	
財	tsʰui21	
裁	tsʰui21	
才	tsʰui21	
該	kʰui32	
開	fui32	
孩	hai21	
咳	kʰɐk55	口咳
唉	ai32	
哀	vui32	
等	tɐŋ45	
怠	tʰui23	
待	tui43	
乃	nai23	
載	tsui45	十年八載
載	tsui23	刊載
宰	tsui45	
採	tsʰui45	
采	tsʰui45	
彩	tsʰui45	
綵	tsʰui45	
在	tsui43	
改	kui45	
凱	fui45	
海	fui45	
亥	fui43	
戴	tai23	
態	tʰai23	
貸	tʰai23	
代	tui43	
袋	tui43	
耐	nai43	
再	tsui23	
菜	tsʰui23	
塞	sɐk55	堵塞
塞	tsʰui23	邊塞
賽	sui23	
概	kui45	大概
概	kʰui23	概念
慨	kʰui23	
礙	vui43	
愛	vui23	
堆	tui32	
雷	lui21	
催	tsʰui32	
摧	tsʰui32	
傀	fai23	傀儡
恢	fui32	
灰	fui32	
回	vui21	
瑰	kɔi23	玫瑰
瑰	kɔi23	瑰麗
迴	vui21	
杯	pui32	
盃	pui32	
陪	pʰui21	
培	pʰui21	
梅	mui21	
煤	mui21	
腿	tʰui45	
蕾	lui21	
罪	tsui43	
悔	fui23	
賄	kʰui45	
倍	pʰui23	
每	mui23	
對	tui23	
退	tʰui23	
隊	tui43	
內	nui43	
碎	sui23	
塊	fai23	
輩	pui23	
背	pui23	背誦
背	pui23	背面
佩	pʰui23	
妹	mui43	
配	pʰui23	
鄰	lɐŋ21	
輪	lɐŋ21	
論	lɐŋ43	論說
論	lɐŋ43	論語
遵	tsɐŋ32	
津	tsɐŋ32	
親	tsʰɐŋ32	親戚
親	tsʰɐŋ32	親家
薪	sɐŋ32	
詢	sɐŋ32	
新	sɐŋ32	
辛	sɐŋ32	
巡	tsʰɐŋ21	
旬	tsʰɐŋ21	
循	tsʰɐŋ21	
振	tsɐŋ23	
真	tsɐŋ32	
春	tsʰɐŋ32	
辰	sɐŋ21	
臣	sɐŋ21	
純	sɐŋ21	
鶉	tsʰɐŋ32	鵪鶉
晨	sɐŋ21	
身	sɐŋ32	
申	sɐŋ32	
伸	sɐŋ32	
脣	sɐŋ21	
神	sɐŋ21	
人	jɐŋ21	
仁	jɐŋ21	
均	kɐŋ32	
因	jɐŋ32	
姻	jɐŋ32	
勻	vɐŋ21	
濱	pɐŋ32	
賓	pɐŋ32	
蘋	pʰɐŋ21	
民	mɐŋ21	
盡	tsɐŋ43	
筍	sɐŋ45	
診	tsʰɐŋ45	
准	tsɐŋ45	
準	tsɐŋ45	
蠢	tsʰɐŋ45	
腎	sɐŋ23	
盾	tʰɐŋ23	
忍	jɐŋ45	
緊	kɐŋ45	
允	vɐŋ23	
引	jɐŋ23	
進	tsɐŋ23	
俊	tsɐŋ23	
晉	tsɐŋ23	
訊	sɐŋ23	
迅	sɐŋ23	
信	sɐŋ23	
震	tsɐŋ23	
慎	sɐŋ43	
順	sɐŋ43	
閏	jɐŋ43	
刃	jɐŋ43	
認	jɐŋ43	
潤	jɐŋ43	
印	jɐŋ23	
栗	lɐk33	
律	lɐk33	
慄	lɐk33	
卒	tsɐk55	棋子
七	tsʰɐk55	
漆	tsʰɐk55	
疾	tsɐk33	
悉	sɐk55	
膝	sɐk55	
恤	sɪk55	
失	sɐk55	
室	sɐk55	
朮	sɐk33	
實	sɐk33	
述	sɐk33	
術	sɐk33	
日	jɐk33	
橘	kɐk55	
吉	kɐk55	
一	jɐk55	
必	pɪk55	
畢	pɐk55	
蜜	mɐk33	
匹	pʰɐk55	
填	tʰɪŋ21	
屯	tʰɪŋ21	
珍	tsɐŋ32	
鎮	tsɐŋ23	
塵	tsʰɐŋ21	
陳	tsʰɐŋ21	
趁	tsʰɐŋ23	
巾	kɐŋ32	
銀	ŋɐŋ21	
份	fɐŋ43	
貧	pʰɐŋ21	
敏	mɐŋ23	
菌	kʰɐŋ45	
陣	tsɐŋ43	
襯	tsʰɐŋ23	
僅	kɐŋ45	
秩	tɪk33	
姪	tsɐk33	
乙	jɪk33	
筆	pɐk55	
密	mɐk33	
蝨	sɐk55	
吞	tʰɐŋ32	
跟	kɐŋ32	
根	kɐŋ32	
痕	hɐŋ32	
恩	jɐŋ32	
墾	hɐŋ45	
懇	hɐŋ45	
很	hɐŋ45	
恨	hɐŋ43	
墩	tɐŋ32	
尊	tɪŋ32	
村	tsʰɪŋ32	
蹲	tsɪŋ32	
存	tsʰɪŋ21	
孫	sɪŋ32	
昆	kʰɐŋ32	
昏	fɐŋ32	
婚	fɐŋ32	
渾	vɐŋ21	渾身
溫	vɐŋ32	
奔	pɐŋ32	
盆	pʰəŋ21	
門	məŋ21	
噴	pʰɐŋ23	
損	sɪŋ45	
棍	kɐŋ23	
混	vɐŋ43	
穩	vɐŋ45	
本	pəŋ45	
笨	pʰɐŋ23	
鈍	tɪŋ43	
嫩	nɪŋ43	
寸	tsʰɪŋ23	
困	kʰɐŋ23	
悶	məŋ43	
突	tɐk33	
屑	sɪʔ23	
骨	kɐk55	
滑	vak33	圓滑
窟	fɐk55	
忽	fɐk55	
脖	pək33	
沒	mək33	
筋	kɐŋ32	
斤	kɐŋ32	
欣	jɐŋ32	
殷	jɐŋ32	殷勤
芹	kʰɐŋ21	
勤	kʰɐŋ21	
謹	kɐŋ45	
隱	jɐŋ45	
近	kʰɐŋ23	白讀
近	kɐŋ43	文讀
吃	ŋɐk55	
乞	hɐk55	
軍	kɐŋ32	
君	kɐŋ32	
云	vɐŋ21	
雲	vɐŋ21	
員	jɪŋ21	
分	fɐŋ32	動詞
分	fɐŋ43	名詞
扮	paŋ43	
墳	fɐŋ21	
聞	mɐŋ21	
文	mɐŋ21	中文
蚊	mɐŋ32	
紋	mɐŋ21	
芬	fɐŋ32	
紛	fɐŋ32	
粉	fɐŋ45	
憤	fɐŋ23	
訓	fɐŋ23	
運	vɐŋ43	
韻	vɐŋ43	
暈	vɐŋ21	暈車
糞	fɐŋ23	
奮	fɐŋ23	
問	mɐŋ43	
屈	vɐk55	
佛	fɐk33	佛教
佛	fɐk55	仿佛
物	mɐk33	
勿	mɐk33	
彿	fɐk55	
掘	kɐk55	
端	tɪŋ32	
單	taŋ32	簡單
丹	taŋ32	
嘆	tʰaŋ23	
攤	tʰaŋ32	
灘	tʰaŋ32	
團	tʰɪŋ21	
壇	tʰaŋ32	
彈	tʰaŋ21	彈琴
彈	taŋ43	彈性
但	taŋ43	
難	naŋ21	難易
難	naŋ43	遇難
蘭	laŋ21	
攔	laŋ21	
欄	laŋ21	
鑽	tsɪŋ23	
餐	tsʰaŋ32	
殘	tsʰaŋ21	
酸	sɪŋ32	
痠	sɪŋ32	
棺	kəŋ32	
奸	kaŋ32	
肝	kəŋ32	
竿	kəŋ32	
觀	kəŋ32	三觀
觀	kəŋ23	道觀
冠	kəŋ32	后冠
冠	kəŋ23	冠上
官	kəŋ32	
貫	kəŋ23	
乾	kəŋ32	乾巾
乾	kʰɪŋ21	乾坤
干	kəŋ32	
刊	fəŋ32	
寬	fəŋ32	
看	fəŋ43	看守
看	fəŋ23	看見
歡	fəŋ32	
汗	fəŋ43	出汗
院	jɪŋ45	
寒	fəŋ21	
完	jɪŋ21	
丸	jɪŋ21	
安	vəŋ32	
般	pəŋ32	一般
盤	pʰəŋ21	
饅	maŋ43	
瞞	məŋ21	
拌	pəŋ43	
斷	tɪŋ43	文讀
斷	tʰɪŋ23	白讀
斷	tɪŋ23	診斷
短	tɪŋ45	
坦	tʰaŋ45	
誕	taŋ23	
緞	tɪŋ43	
暖	nɪŋ23	
懶	laŋ23	
卵	lɐŋ45	
散	sɐŋ45	唱散
散	sɐŋ23	失散
算	sɪŋ23	
傘	saŋ23	
管	kəŋ45	
稈	kəŋ45	
款	fəŋ45	
棵	fu45	
旱	fəŋ23	
緩	vəŋ43	
伴	pəŋ43	
滿	məŋ23	
旦	taŋ23	元旦
旦	taŋ45	花旦
鍛	tɪŋ23	
歎	tʰaŋ23	
炭	tʰaŋ23	
段	tɪŋ43	
亂	lɪŋ43	
爛	laŋ43	
讚	tsaŋ23	
贊	tsaŋ23	
燦	tsʰaŋ23	
竄	tsʰɪŋ45	
蒜	sɪŋ23	
杆	kəŋ32	
罐	kəŋ23	
館	kəŋ45	
灌	kəŋ23	
幹	kəŋ23	
岸	vəŋ23	
玩	vəŋ43	玩具
玩	vaŋ45	玩電腦
喚	vəŋ43	
漢	fəŋ23	
換	vəŋ43	
案	vəŋ23	
按	vəŋ23	
晏	aŋ23	
半	pəŋ23	
叛	pəŋ43	
漫	maŋ43	
判	pʰəŋ23	
胖	pəŋ43	微胖
達	tak33	
奪	tɪk33	
脫	tʰɪʔ23	
薩	sa23	
割	kəʔ23	
活	vək33	
括	kʰəʔ23	
葛	kəʔ23	
闊	fəʔ23	
渴	fəʔ23	
撥	pʰəʔ23	
末	mək33	
抹	məʔ23	抹殺
抹	ma23	抹檯
源	jɪŋ21	
元	jɪŋ21	
原	jɪŋ21	
言	jɪŋ21	
掀	hɪŋ32	
冤	jɪŋ32	
怨	jɪŋ23	
園	jɪŋ21	
援	jɪŋ21	
繁	faŋ21	
番	faŋ32	
蕃	faŋ32	生蕃
煩	faŋ21	
反	faŋ45	
翻	faŋ32	
遠	jɪŋ23	遠近
返	faŋ45	
飯	faŋ43	
挽	vaŋ23	
輓	vaŋ23	
晚	maŋ23	
圈	hɪŋ43	豬圈
圈	hɪŋ32	圓圈
建	kɪŋ23	
券	kɪŋ23	
勸	hɪŋ23	
願	jɪŋ43	
憲	hɪŋ23	
販	faŋ23	
萬	maŋ43	
健	kɪŋ23	
月	jɪk33	
歇	hɪʔ23	
越	jɪk33	
髮	fa23	
發	fa23	
罰	fak33	
拔	pak33	
伐	fak33	
襪	mak33	
竭	kʰɪʔ23	
刪	saŋ32	
關	kaŋ32	
姦	kaŋ32	
頑	ŋaŋ21	
顏	ŋaŋ21	
環	vaŋ21	
還	vaŋ21	
灣	vaŋ32	
彎	vaŋ32	
斑	paŋ32	
班	paŋ32	
蠻	maŋ21	
攀	pʰaŋ32	
板	paŋ45	
版	paŋ45	
柵	tsʰa23	柵欄
柵	saŋ32	排柵
慣	kaŋ23	
串	tsʰɪŋ23	
雁	ŋaŋ43	
患	vaŋ43	
慢	maŋ43	
刷	tsʰa23	
刮	ka23	
