#ɿ
tsʰ[5]此{官话借词}[6]慈{官话借词}磁{~石，官话借词}
kʰ[3]欺{官话借词}岂[5]启{官话借词}[6]奇{官话借词}曲{官话借词，~折}屈{官话借词}祁其期{时~}祈茄[9]企
h[1]溪[3]牺熙起[5]戏器气汽许{官话借词}[7]饮{~酒}饮{米汤}歇喝{~酒}吃[9]系弃
ʔ[3]以已[6]医
∅[1]几{茶~}衣依腰[2]宜移姨于窑[3]倚舀{~水}[5]意异要{想~}椅宇禹语羽[6]仪{官话借词}益{官话借词}亦{官话借词}译{官话借词}易{官话借词交~}液{官话借词}腋{官话借词}乙{官话借词}逸{官话借词}易{难~}遗疑娱榆尧[7]页[8]叶噎{~住了}[9]艺谊义议肄毅御预誉豫郁欲浴愆亿忆抑翼

#u
p[1]杯[2]陪赔[3]补[5]倍布坯{土~}[6]不{官话借词}[7]鉢拨[9]怖佈
pʰ[1]铺{~设}[3]普浦[5]配谱铺{店~}甫{官话借词}[6]背{~诵}蒲菩脯部簿卜{官话借词}仆{官话借词}倒{官话借词}撲僕瀑{~布}步朴[7]泼
m[1]晦[2]梅煤媒霉[3]每[5]母[6]妹模摹目{官话借词}穆{官话借词}牧{官话借词}
f[2]胡湖狐壶瓠鬍符芙浮[3]虎浒户沪斧[5]富裤府腑俯[6]妇复{~兴}腐蝠{官话借词，蝙~}複{官话借词}腹{官话借词}覆{官话借词}伏{官话借词}復{官话借词，~原}忽{官话借词}佛{官话借词，仿~}[7]阔[9]负副傅赴附
v[1]巫诬污[2]吴蜈吾梧[3]捂接{~住}舞武侮鹉[9]互护雾务误
t[1]堆都垛[3]堵赌肚杜[5]对碓队[6]独{官话借词}督{官话借词}笃{官话借词}[9]度渡镀
tʰ[1]推流[5]退兔吐[6]徒{官话借词}屠{官话借词}途{官话借词}涂{官话借词}图{官话借词}突{官话借词}[7]脱{老派}
n[6]奴努怒
l[2]雷卢炉芦鸬庐揉[6]累{连~}鲁橹虏滷路赂露鹭禄{官话借词}録{官话借词}
ts[1]追[2]徐[3]嘴祖组[5]醉最阻蛀铸[6]族{官话借词}足{官话借词}促[9]注
tsʰ[1]催[3]罪取[5]醋楚礎[6]殊{官话借词}
s[3]髓竖数{动词}疏{官话借词}蔬{官话借词}输{官话借词，运~}[5]数{名词}[6]速{官话借词}肃{官话借词}宿{官话借词}续{官话借词}[9]戌
tɕ[1]锥[2]锄[3]诸煮诛主[6]筑逐轴祝嘱触蜀[9]著{显~}
tɕʰ[1]吹[2]除[5]处[6]畜{官话借词，~牧}蓄{官话借词，储~}
ȵ[2]鱼渔[6]玉遇
ɕ[1]舒[2]薯[3]暑鼠黍水[5]税[6]淑{官话借词}束{官话借词}属{官话借词}署树术述睡
k[1]孤箍[3]古估盬牯股鼓故固姑{官话借词}[5]顾雇[6]酷{官话借词}
kʰ[1]枯[3]苦窟{官话借词}
ʔ[6]物{官话借词}勿{官话借词}
ç[5]去

#a
p[2]排牌簿[3]摆饱豹[5]拜[7]八[8]拔[9]壩罢
pʰ[3]派[6]稗败饱
m[8]抹{~布}袜[9]抹
f[5]块快[6]发{官话借词}伐{官话借词}筏{官话借词}罚{官话借词}乏{官话借词}[7]法
v[1]洼歪[6]外坏[7]挖刨{~地}[8]滑猾{狡~}
t[2]台抬苔[6]达{官话借词}[7]簟{席}答搭[8]沓{一~纸}
tʰ[1]胎[5]太泰[6]大姐[7]塔秃踏
n[5]捺{撇~}[6]纳{官话借词}
l[6]赖癞[8]腊蜡
ts[1]斋[2]豺才材[3]宰[5]再装[8]杂
tsʰ[1]猜[5]菜[7]擦
s[6]狮[7]撒洒
tɕ[2]柴[5]债[7]劄{用针~}眨{~眼}闸札紮轧{被车~}铡{~刀}
tɕʰ[1]钗差{出~}钹[6]寨[7]插
ȵ[5]嚼[6]伢
ɕ[1]筛{~子}腮鳃萨[5]帅晒[7]杀刷
k[1]街阶交{~公粮}[3]解{讲~}解{姓}解{晓也}[5]介界届戒芥械[7]夹裌{~衣}甲挟{~菜}
kʰ[1]该[3]考[7]恰掐
h[2]鞋{~样}[7]瞎[8]狭峡
∅[2]鞋[3]阿{~哥}矮[7]鸭押压

#ia
tʰ[7]屐{木~}
ɕ[6]辖{官话借词，管~}匣{官话借词，箱~}
k[6]胛{肩~，官话借词}
kʰ[6]洽{官话借词}

#ua
k[1]乖[3]拐跛瘸刽[5]怪寡{官话借词}[6]括{包~，官话借词}[7]刮钁

#æ
t[5]贷戴代带
tʰ[6]地袋[9]态
n[3]你[5]倦[6]奶耐[9]奈
l[2]厘{毫~}来[3]李里理鲤
ts[3]子[6]餈{~巴}
tsʰ[3]在[5]次[6]祠字
s[3]死[5]司
ɕ[3]使
k[3]改[5]盖
kʰ[5]凯楷
ŋ[6]捱{~打}埃碍艾
h[1]开[3]海[6]害[7]和{~面}合合{十合一升}
∅[3]也训读[5]爱

#ɛ
p[1]碑[2]皮[3]比{~较}[6]别区{~别}别{离~}[7]笔毕[8]匹鼻
pʰ[1]披[3]被{~子}屁[6]琵{~琶}枇{~杷}备篦蓖{~麻}
m[1]秘[3]尾[6]微味[7]密[8]蜜灭
f[1]飞非[2]肥[5]痱{~子}[8]佛
v[1]威好{~坏}[2]围[5]喂[6]为{~什么}位危[8]核{卵~}
t[3]朵[7]摔{跌的训读}跌
n[5]小少{~年}[6]糯腻
l[2]离{~别}篱[3]吕旅礼[6]螺梨利痢列{官话借词}烈{官话借词}裂{官话借词}[7]颗粒[8]站栗立{站~}猎[9]笠
ts[2]斜[3]紫姊梓牸{~牛}灾{官话借词}缕{官话借词}[5]借[6]自[8]疾
tsʰ[1]搓[3]坐座[5]赐锉刺蔡采{官话借词}睬{官话借词}[6]邪谢财裁[8]七漆
s[1]衰梭斯厮撕私丝思[3]蓑锁琐写洗[5]泻卸四肆[6]仕柿事泄{~漏}[7]息[9]赛
tɕ[1]遮[8]拾{~起来}
tɕʰ[1]车[3]扯[7]出[8]侄
ȵ[1]捏{~人}
ɕ[1]赊佘师[2]蛇[3]捨赦世社[5]势[6]摄涉射麝设[7]虱[8]石{~匠}实
k[1]階[6]掘{官话借词}决{官话借词}倔{官话借词，~强}

#iɛ
t[6]谍{官话借词}
n[6]业{官话借词}聂{官话借词姓}镊{官话借词}蹑{官话借词}
ȵ[8]入日{今~}
ɕ[6]脅{官话借词}[7]湿[8]十
k[6]劫傑[7]急
∅[1]爸爹耶父[5]也{官话借词}[6]越{官话借词}阅{官话借词}[7]揖{作~}粤一日{~本}[8]扔

#uɛ
ts[9]爵
k[1]龟回归[3]轨鬼桂诡[5]贵规[7]骨
kʰ[1]亏[6]柜跪

#ɔ
p[1]疤巴[2]杷琶耙钯[3]把[5]霸伯迫[6]芭[7]博剥驳北[8]坠跌
pʰ[5]怕[6]勃
m[3]马码[6]骂末沫寞[8]墨默
f[1]花[5]化[6]划绘画
v[1]桠[3]哑[6]沃话
t[6]铎踱[7]夺得德
tʰ[1]他
n[6]诺{官话借词}
l[1]拉勒[3]找[5]辣[6]烙{官话借词}骆{官话借词}酪{官话借词}洛{官话借词}络{官话借词}肋
ts[7]鲫[8]贼
tsʰ[6]枕枕{动词}
s[5]所{官话借词}[7]塞
tɕ[1]楂渣抓[2]茶搽查{调~}巢察[5]诈榨炸{用油~}[6]拙卓琢啄[7]织侧
tɕʰ[1]叉杈差{~别}[3]吵炒[5]岔[6]戳{官话借词}
ȵ[8]恶{可~}
ɕ[1]纱[5]沙耍杉[6]说{官话借词}朔{官话借词}率{~领}[7]色
k[1]家加痂嘉傢鸦[3]假{真~}[5]假{放~}架驾嫁价卦掛[6]郭{官话借词}[7]角国
kʰ[1]科[5]课[6]廓扩[7]咳磕叩{~头}刻{用刀~}克
ŋ[2]牙芽[6]鄂衙
h[1]虾[2]毫[3]下{~降}[6]下{底~}夏获{官话借词}藿{官话借词}[7]盒烟{~壳}黑核{果子~}[8]学[9]霍

#iɔ
t[8]直值
n[6]略掠虐疟
l[6]劣[8]力
tsʰ[6]雀{官话借词}鹊{官话借词}
tɕ[8]蛰{惊~}酌

#uɔ
m[1]魔摩
t[9]剁
tʰ[5]妥椭{官话借词}
n[6]那
l[2]罗锣箩骡[3]啰{官话借词}
k[1]哥歌瓜[6]阁{官话借词}搁{官话借词}胳{官话借词}
kʰ[3]可
ŋ[2]鹅蛾俄[3]瓦[6]饿
h[2]荷{~花}[6]河和{~气}[7]核[9]贺
∅[6]丫{~头}[7]扼握

#ə
p[6]泊{梁山~，官话借词}
f[3]火伙[5]货[6]祸
v[1]窝[2]禾
ts[6]则{官话借词}泽{官话借词}
tsʰ[6]测{官话借词}策{官话借词}
kʰ[6]刻{官话借词，时~}克{官话借词}
h[6]核{~查}
∅[5]饵{官话借词}

#e
p[1]擘{用手~开}[3]悲[5]闭[7]百逼[8]柏白帛[9]被{~打}
pʰ[1]批[3]羞[5]丕[6]㮇{~笔}[7]拍魄
m[2]迷眉媚[3]米[5]美[8]麦脉
n[2]泥尼[7]拈{~起来}
l[2]犁黎流[3]礼[5]儡{傀~}屡[6]累{~积}[7]律啃[8]历{月~}
ts[2]齐[3]挤[6]绝{官话借词}[7]集撮积跡卒猝
tsʰ[1]妻崔{姓}[5]砌脆
f[3]妃[5]费{~用}废肺匪{官话借词}[6]吠
v[5]纬{官话借词}委{官话借词}[6]维{官话借词}惟{官话借词}唯{官话借词}违{官话借词}为{官话借词，作~}[9]魏工
t[1]低抵[2]提蹄[3]底[5]帝[7]狄滴[9]兑锐
tʰ[1]梯腿[3]体弟[5]替涕{鼻~}剃屉{抽~}[6]题第叠惰
s[1]西[5]绥细碎岁[7]惜锡习
tɕ[7]宅摘责[9]赘
tɕʰ[7]拆㿭册
k[1]鸡肌机饥[5]髻[6]今[7]格革隔
h[7]客吓{~一跳}
∅[7]轭[6]荠昨[9]翠

#ue
k[7]打

#uai
kʰ[9]会{~计}
h[6]淮槐

#ei
v[9]猬胃

#uei
ɕ[9]瑞
k[3]圭闺
kʰ[1]傀{~儡}[6]葵逵癸[9]愧
h[3]灰[5]毁悔[9]匯

#ui
kʰ[1]诀缺

#au
p[1]包胞[3]饱[9]曝
pʰ[1]抛[5]泡鳔炮{枪~}[6]鲍[9]雹
t[1]兜逗株棵[2]头[3]叨{唠~}斗陡[5]岛斗{决~}[9]盗导
tʰ[1]偷[3]滔[5]透[6]豆桌
n[6]闹
l[2]捞楼[3]捋{~袖}篓[6]漏陋
ts[3]兆召走[9]造{建~}
tsʰ[3]超[5]凑[6]朝{官话借词，~代}潮{官话借词}
s[1]娶[5]消猪食嗽{咳~}[9]绍
tɕ[1]周州洲[2]愁仇[3]爪{~牙}[5]咒罩
m[2]矛茅谋[3]某亩[5]痴呆愚傻[6]猫[9]冒貌
tɕʰ[1]抽抄钞[3]醜[5]丑臭{香~}[6]绸
ȵ[2]牛[5]皱绉
ɕ[1]搜飕馊{饭~了}收{~集}收[3]手守[5]瘦[6]受兽寿授
k[1]勾钩沟交{~钱}[3]膏{官话借词}羔{官话借词}狗苟[5]教{~书}铰搞教{~育}窖觉{睡~}够
kʰ[1]敲抠[3]考[5]靠扣{~住}
ŋ[2]熬[3]咬藕[9]奥
h[1]薅{~田}草[2]獭{水~}[3]好{喜~}厚[5]孝[6]豪壕侯喉猴後后候[9]耗郝
∅[1]欧[5]漚{久浸水中}酿

#iau
m[6]苗{官话借词}描{官话借词}
l[6]聊{官话借词}辽{官话借词}
ts[6]嚼{官话借词}
ɕ[3]嚣{官话借词}[9]较效酵校{学~}校{上~}
k[2]求球[3]交{官话借词}郊{官话借词}膠{官话借词}久九韭灸{针~}[5]救饺{官话借词}[9]校{~对}轿
kʰ[3]舅[5]巧{官话借词}[6]旧蔫{食物不新鲜}
∅[1]忧[2]尤由油游[3]忧妖邀要{~求}有友酉[6]谣姚右柚祐釉[9]耀

#iɐu
tʰ[1]喘
n[5]扭{官话借词}纽{官话借词}
l[2]榴{石~}琉{~璃}馏流[3]柳溜[6]刘{官话借词}留{官话借词}硫{官话借词，~黄}
ts[1]揫{一把~住}[3]酒左佐[6]就
tsʰ[1]秋{~天}秋{~千}[6]袖
s[1]修[5]绣
k[1]车{~马炮}[3]鸠{官话借词}纠{官话借词，~缠}纠{官话借词，~正}臼[9]究
kʰ[1]区[3]丘
ç[1]虚墟
∅[3]优幽[6]邮{官话借词}又[9]幼诱

#əu
p[2]婆躲袍[3]保宝薄{~荷}[5]簸报[6]波玻[8]薄泊
pʰ[1]坡[3]抱[5]剖破[6]孵菢{~小鸡}
m[1]摸[2]磨{~刀}毛[3]没{~有}无[5]牡[6]磨{石~}帽[8]莫木
f[5]否{官话借词}[7]福幅[8]缚服{~不~}
t[1]多刀[2]投掏{~出}栓[5]至到[8]毒
tʰ[1]拉{拖的训读}驮拖[3]倒{~水}[5]套[6]驼舱桃逃淘{~米}陶道特[7]托讬
n[2]挪[3]脑恼
l[1]垮[2]掉劳[10]牢[3]老[7]倒{打~}[8]落乐鹿
ts[1]糟租[10]槽[3]早蚤[5]灶奏[7]做作[8]凿
tsʰ[1]粗蛆初[3]枣草[5]操{~作}糙{~米}[6]曹随[7]错
s[1]骚苏酥鬚[3]嫂扫{~竿}[5]扫{~地}[7]索缩粟
tɕ[1]朱珠[7]捉粥[8]浊拄{~拐杖}[9]昼宙纣{~主}
tɕʰ[6]酬[7]畜{~牲}
ȵ[8]肉
ɕ[1]书输梳疏[7]叔[8]熟{煮~}赎[9]售
k[1]高篙糕镬锅[3]稿果[5]告个过各[7]鸽穀谷割葛[9]构购
kʰ[7]磕[9]寇
ŋ[2]摇[3]我
h[1]蒿{蓬~}[5]荷{薄~}[6]号{呼~}号{~数}贺[7]哭渴[8]鹤活
∅[7]恶{善~}屋

#iu
∅[3]雨[6]芋域{官话借词}役{官话借词}疫{官话借词}育{官话借词}狱{官话借词}辱{官话借词}褥{官话借词}

#in
p[3]贬[9]併{合~}並
pʰ[9]聘
m[6]鸣{官话借词}盟{官话借词}皿{官话借词}铭{官话借词}
v[6]愿
tʰ[6]庭{官话借词}廷{官话借词}蜓{官话借词，蜻~}
ts[3]精晶[9]靖
s[5]省{官话借词，反~，新派}
tɕ[5]佔
k[3]荆{官话借词}惊{官话借词}鲸{官话借词}[5]景警[9]境敬竟{~然}竞{~争}
kʰ[1]卿[3]鹻[5]倾顷[6]琼{官话借词}擎{官话借词}
∅[5]永

#ɐn
p[1]兵冰[2]瓶坪[3]饼丙秉奔{官话借词}[5]柄
pʰ[1]拼拼{~命}[3]烹{官话借词}[6]病[9]喷
m[2]名明[6]命
f[1]兄[6]焚{官话借词}[9]愤奋
v[6]闻{官话借词}纹{官话借词}刎{官话借词}
tsʰ[1]清青蜻{~蜓}[3]请[6]曾{~经官话借词}静净
s[1]星腥[3]醒[5]哪省{反~，官话借词}姓性锈{铁~}[6]旬{官话借词}荀{官话借词}循{官话借词}巡{官话借词}唇{官话借词}纯{官话借词}莼{官话借词}损[9]逊舜
tɕ[1]针侦[2]乘[3]珍{官话借词}臻{官话借词}斟{官话借词}贞{官话借词}征{官话借词}争{官话借词}筝{官话借词}睁{官话借词}[5]诊{官话借词}疹{官话借词}拯{官话借词}整{官话借词}[6]正{~月}[9]镇振震郑正证政症
tɕʰ[2]臣[6]尘{官话借词}醇{官话借词}呈{官话借词}程{官话借词}诚{官话借词}橙{官话借词}惩{官话借词}承{官话借词}丞{官话借词}[9]衬
t[1]丁钉{铁~}疗钉{~住}[2]停亭[3]敦{~厚官话借词}顶[9]盾沌
tʰ[1]廳[5]听{~见}听{~任}[6]豚{官话借词}澄{~一~}订{~约}定
l[2]轮零{一百~五}[3]蔫{花萎}领嶺[6]仑{官话借词}伦{官话借词}沦{官话借词}轮{官话借词}令灵伶另[9]论{~语}论{议~}
ts[1]甕睛{眼~}[2]晴情[3]遵{官话借词}尊{官话借词}井[9]俊赠
ɕ[2]成城[3]申{官话借词}伸{官话借词}娠{官话借词}森{官话借词}参{官话借词，人~}笙{官话借词}牲{官话借词}深{官话借词}[5]沈{官话借词}审{官话借词}省{官话借词，~长}省{官话借词，节~}圣胜{~败}[6]声[9]肾慎甚圣胜{~任}
k[1]经京[3]更{官话借词，~换}耕{官话借词}颈[5]镜耿敬[9]更{~加}
kʰ[5]肯{官话借词}垦{官话借词}
ŋ[2]赢
h[1]轻{~重}[5]庆[6]痕{官话借词}恒{官话借词}衡{官话借词}剩
∅[3]影{~子}

#uɐn
k[3]滚{~泥}
kʰ[3]昆{官话借词}坤{官话借词}綑[5]綑{官话借词}[9]困

#uin
k[1]兼[2]权

#aŋ
p[1]崩[2]盆[5]棒
pʰ[5]胖[6]滂{官话借词}
m[6]盲{官话借词}芒{官话借词}茫{官话借词}虻{官话借词，牛~}
f[5]访{官话借词}
v[3]汪{官话借词}[5]往{官话借词}枉{官话借词}[6]亡{官话借词}[9]妄
t[5]党{官话借词}
tʰ[5]躺{官话借词}
l[5]朗{官话借词}[6]廊{官话借词}蜋{官话借词}
ts[3]脏{官话借词}[9]藏{西~}
tsʰ[3]苍{官话借词}
s[9]丧
tɕ[3]庄{官话借词}装{官话借词}障瘴
tɕʰ[5]闯唱
ɕ[1]深
k[1]梗{~子}江[3]讲岗{官话借词}刚{官话借词}纲{官话借词}钢{官话借词}缸{官话借词}[5]港{官话借词}降{下~}钢{刀钝了}[6]扛豇
kʰ[3]康{官话借词}慷{官话借词}
h[9]项巷
∅[3]肮{官话借词}

#iaŋ
ɕ[6]降{投~}
k[3]腔{官话借词}
∅[3]鸯{官话借词}

#uaŋ
kʰ[9]况

#ɐŋ
p[1]浜{一条~}帮{一~人}[2]棚蓬篷[3]本绑[6]屏{围~}
pʰ[6]笨蚌朋{官话借词}
m[1]蒙[2]门[5]闷蚊[6]问萌
f[1]分芬纷[2]坟[3]粉[5]粪[6]份
v[1]温瘟[2]魂含文纹[3]稳
t[1]登灯镫[2]腾誊藤[3]等[5]顿瞪凳邓
tʰ[1]吞饨
n[2]能[6]嫩囊
tsʰ[1]村亲春[5]寸[6]椿{~树}
s[1]心孙僧新薪[5]信[6]辛
tɕ[1]真蛰{蝎子~人}征{~求}蒸针[2]陈[3]准诊
tɕʰ[1]称{~呼}春[3]趁蠢昌{官话借词}菖{官话借词，~蒲}倡{官话借词}[5]称{相~}秤[6]阵仗杖椿{~树}
ȵ[2]寅迎人仁银瓤[3]忍[6]淫任{责~}絍{缝~}盈孕认攘让
ɕ[1]身升深[2]神辰晨盛{~满了}[3]婶删商上{~山}上{~面}[6]顺尚
k[1]跟根[3]甘[6]柑
kʰ[3]恳
h[1]亨[3]很[6]恨杭航
∅[1]恩[5]暗
l[5]楞
ts[1]曾{姓}增憎[2]存蹲层[5]浸

#iɐŋ
t[1]墩[2]沉
l[5]辆[6]良{官话借词}[9]亮谅量
tsʰ[6]祥{官话借词}详{官话借词}
s[9]像
ɕ[1]熏薰荤
k[1]金巾斤筋君军[2]琴擒琼裙[3]姜羌紧[5]禁{~止}劲{~敌}劲{有~}[6]瓤[9]强{倔~}
kʰ[3]妗{舅母}疆僵缰近[6]芹菌
∅[1]音阴荫{屋子很~}因姻秧[2]匀云洋羊杨阳扬疡[3]引央殃养痒映隐[5]印[6]嚷[9]壤

#uɐŋ
k[3]滚{~水}[5]逛棍
kʰ[3]匡{官话借词}筐{官话借词}眶{官话借词}[6]狂
h[1]晕婚昏浑[6]混馄

#ĩ
p[1]鞭边蝙彬宾槟[2]萍[3]扁匾殡鬓[5]变
pʰ[1]篇偏品编[2]贫频[3]辫[5]骗{欺~}遍{一~}片[6]便{~宜}便{方~}凭
m[2]棉闽[3]免勉[5]敏[6]面麺脸民
f[1]圈[5]劝
v[2]颜[3]演远[6]堰缘县
t[2]田填甜[3]点典[5]电殿奠佃店旋转{~螺丝}
tʰ[1]天添[5]挺艇[6]垫{~钱}
n[1]年[3]碾撵[5]宁{~可}[6]念宁{安~}凝{官话借词}
l[2]怜莲廉镰簾[3]楝{~树}[6]鍊练敛连联邻{官话借词}嶙{官话借词}零{官话借词}铃{官话借词}翎{官话借词}陵{官话借词}凌{官话借词}菱{官话借词}
ts[1]煎尖歼楔{~子}[2]钱前[3]剪津[5]箭进晋[9]儘{~前}尽
tsʰ[1]迁千签籤[3]浅[6]贱寻[9]侵寝
s[1]仙鲜{新~}先[3]癣选[5]线[9]讯迅殉
tɕ[5]颤
ȵ[2]炎[3]染
ɕ[1]搧掀[3]险欣勋馨兴{~旺官话借词}[5]扇羡穗[6]形{官话借词}型{官话借词}刑{官话借词}行{官话借词，~为}行{官话借词，品~}[9]训兴{高~}杏幸
k[2]钳[3]谏茧跃简裥卷均{官话借词}钧{官话借词}经{官话借词，~纬}[5]见剑锦仅{官话借词}[9]径
kʰ[3]钦郡件[6]禽{官话借词}勤{官话借词}群{官话借词}
ŋ[3]软
h[1]牵[5]歉
ç[5]欠
∅[1]烟阉[2]燃盐厌[3]燕{京燕子}婴{官话借词}缨{官话借词}蝇{官话借词}英{官话借词}[5]允{官话借词}嚥[6]腌醃仍颖盐{醃}[9]任{姓}润韵应{~对}

#ũ
t[3]短[6]团糰段缎
tʰ[5]蜕{~皮}
l[6]乱
ts[1]钻{动词}[2]全泉[5]钻{名词}
s[1]酸[5]算蒜
tɕ[1]砖专[3]转
tɕʰ[1]川穿[6]传{~达}
ɕ[2]船
k[1]官[3]管[6]棺

#ã
p[1]班颁般[3]扳板版[5]扮盼瓣谤{官话借词}[6]庞{官话借词}[9]伴
pʰ[6]办[9]叛
m[2]蛮埋[3]买[6]慢馒{~头}漫卖[9]幔蔓
f[1]翻番[2]凡帆烦矾繁[3]犯藩反贩[6]饭[9]范範
l[1]篮[2]蓝兰拦栏[3]懒[5]揽览榄{橄~}[6]烂鸾滥缆
v[1]腕弯湾[2]丸{肉~}漱{~口}[5]晚挽[6]完豌{~豆}顽{~皮}万
t[1]担{~任}丹单{~独}挑[2]谈痰檀壇弹{~琴}谭潭[3]端{官话借词}耽{官话借词}胆[5]担{挑~}[9]旦但弹{子~}锻{~练}诞
tʰ[1]滩摊贪[3]毯淡[5]炭坦探{试~}叹[6]蛋
n[2]难{~易}南男[5]难{患~}累{极困}[6]赚[9]篡畅
ts[1]簪[2]秦蚕[5]站{车~}[9]赞纂{编~}暂
tsʰ[1]餐[3]参[5]濽{溅}燦惨[6]残{官话借词}
s[1]三[5]散{分~}散{鞋带~了}伞
tɕ[1]氈[2]缠馋谗[3]盏展斩[5]蘸{~酱油}[9]绽{破~}栈战撰
tɕʰ[3]铲[5]产渗{水~}透
ɕ[1]山衫闩[2]绳[5]陕{~西}闪[9]善膳
k[1]间{空~}奸[3]甘{官话借词}敢减感[5]橄{~榄}捍[9]监{国子~}艦
kʰ[3]刊龛砍勘{~误}[9]抗炕
ŋ[2]岩[3]眼[9]雁
h[2]韩[3]喊[5]缝{一条~}璺{裂}[6]限衔寒罕函[9]汉銲{~铁壶}撼憾
∅[2]鹹[3]庵[5]按

#iã
p[1]斑[2]爬
pʰ[6]拌淤
t[1]磉{柱下石}
l[2]淋{~漓}林临鳞[5]舔{以舌取物}
ts[3]将{官话借词}
s[3]湘{官话借词}襄{官话借词}镶{官话借词}相{官话借词，互~}
ȵ[6]营萤
∅[6]闰运

#uã
ts[9]篆
tsʰ[9]窜
k[1]关[3]观{参~}冠{衣~}[5]馆惯[9]贯灌罐冠{~军}
kʰ[1]宽
h[3]欢[5]缓[6]桓还环[9]唤焕幻患宦

#ɛ̃
m[5]缅[6]绵眠
v[2]横{~直}横{蛮~}
t[2]长{~短}肠[5]胀
l[2]凉粮梁粱[3]冷两{几~}[9]恋
ts[2]墙[3]蒋奖酱[5]浆将{大~}桨践{官话借词}[9]饯{~行}荐
tsʰ[1]枪笺[3]抢[6]匠潜像{好~}
s[1]畦{菜~}箱厢[3]宣{官话借词}喧{官话借词}[5]想象像相{~貌}
tʰ[3]丈[5]舐{以舌取物}
n[3]两{~个}[9]验
ȵ[3]仰
ɕ[1]伤生甥[2]尝裳偿[3]赏省[5]显[6]咸{官话借词}贤{官话借词}玄{官话借词}悬{官话借词}弦{官话借词}[9]献陷
k[1]庚羹薑[2]强[3]捐{官话借词}绢{官话借词}监{官话借词，~察}肩{官话借词}坚{官话借词}艰{官话借词}[5]倦券检俭[9]键建健腱
kʰ[3]谦{官话借词}[5]犬{官话借词}遣{官话借词}[9]颧
ŋ[6]硬
h[1]坑香乡[3]响[5]向[6]衔
tɕ[1]张章[2]场[3]长{生~}涨掌[5]帐账[6]樟[9]渐
tɕʰ[1]撑铛镬[2]常[3]厂

#iɛ̃
kʰ[6]乾{~坤}
∅[2]行{~走}[3]冤{官话借词}渊{官话借词}焉{官话借词，心不在~}掩[6]圆{官话借词}员{官话借词}沿{官话借词}铅{官话借词}元{官话借词}原{官话借词}源{官话借词}阮{官话借词}袁{官话借词}辕{官话借词}园{官话借词}援{官话借词}然{官话借词}延{官话借词}筵{官话借词}言{官话借词}阎{官话借词}严{官话借词}[9]院怨宪宴艳焰谚

#ɔ̃
p[1]帮{~助}邦[3]榜
pʰ[2]彭膨{~胀}[6]旁
m[2]忙[3]莽蟒网猛
