漢字	注釋	周城	金華	洛本卓	營盤	共興	大華
額	額頭	ŋɛ⁷	ŋɛ⁷	ŋa⁷	ŋɛ⁷	ŋɛ⁷	ŋa⁸
眉	眉毛	me¹	me¹	mie¹	mi¹	mi¹	mi¹
眼	眼睛	ui⁴	ŋui⁴	mĩ⁴	ŋui⁴	uĩ⁴	me⁴
耳	耳朵,耳子	ȵv⁴	jɯ̃⁴	jĩ⁴		jã⁴	
嘴	嘴	tɕui³	tɕv³	tɕu³	tɕu³	tsu³	tsõ³
鬍	鬍子	vu²	ɣu²	vu²	u²	u²	v²
項	脖子		kv⁵	qõ⁵	qø⁵	qõ⁷	
□	乳房；乳汁	pa⁸	pa⁸	pa⁸	pa⁸	pa⁸	pa⁸
腹	肚子	fv⁷	fv⁷	fo⁷	fø⁷	fv⁵	fv⁷
骹	小腿		tɕo²	tɕã²	tɕø²	tɕo²	tɕo²
腳	腳	kou⁷	ko⁷	ko⁷	ku⁷	ku⁷	kv⁷
手	手	sɯ³	sɯ³	ɕi³	ɕɯ³	ʂʅ³	ʂʅ³
指	手指；指頭；脚指；趾頭	tsi³	tsi³	tʂɛ³	tsɿ³	tʂʅ³	tʂʅ³
拇	拇指	mo⁴	mo⁴	mɔ⁴	mø⁴	mũ⁴	mõ⁴
甲	指甲	kɛ⁷	kɛ⁷	qa⁷	qɛ⁷	qɛ⁷	kɛ⁷
屌	男陰		tu⁴	ɖv⁴	diu⁴		du⁴
卵	睾丸	kua³	kuã³	qõ³	qua³	quã³	quɛ³
屄	女陰	pi⁷	pi⁷	tɕui⁷	pi⁷	tɕui⁷	pi²
□	皺紋	tsui⁷	tsua⁷			tsuã⁷	tsua⁷
□	痣	ɕou⁷	ɕɯ⁵	ɕu⁵	ɕua⁵	ʂu⁵	
血	血	sua⁷	sua⁷	sua⁷	sua⁷	sua⁷	sua⁷
筋	筋	tɕe¹	tɕĩ¹	tɕĩ¹	tɕi¹	tɕĩ¹	tɕi¹
脈	血脈；脈搏；象脈搏那樣的	mɛ⁷	mɛ⁷	ma⁷	mɛ⁷	mɛ̃⁷	mv⁷
骨	骨頭；莖	kua⁷	kua⁷	qua⁷	qua⁷	qua⁷	qua⁷
□	牙齒	pa⁷	pa⁷	pa⁷	pa⁷	pa⁷	pa⁷
舌	舌頭	tse⁸	tse⁸	ʈɛ⁸	tiɛ⁸	tie⁸	di⁸
喉	喉嚨	ku²	ku²	qu²	qu²		
肺	肺	pʰia⁷	pʰia⁷	tɕʰua⁷	pʰia⁷	tɕʰua⁷	tɕʰua⁷
心	心臟；思想器官；思想，心思；心情，感受；胸懷，度量；物體的中央	ɕi¹	ɕĩ¹	sẽ¹	si¹	ɕĩ¹	sʰẽ¹
肝	肝	ka¹	kã¹	qã¹	qa¹	qã¹	qã¹
膽	膽；膽量	ta³	tã³	tĩ³	tĩ³	tĩ³	ti³
胃	胃	vu⁸	vu⁸	ʐɛ⁸	zɿ⁸	ʐɿ⁸	ʐɿ⁸
腸	腸子	tsou²	tsõ²	ʈõ²	tiø²	dʐõ²	do²
□	膀胱；水泡	pʰo¹	pʰu¹		pʰɯ¹		
屎	屎；眼屎；糞便	si³	si³	ʂɛ³	sɿ³	ʂʅ³	ʂʅ³
汗	汗	ŋa²	ŋa²	ŋa²/ã²	ʁa⁶	ʁã²	jɛ²
痰	痰		ta²				
唾	口水	tʰo⁶	tʰo⁶	tʰo⁶	tʰø⁶	tʰua⁶	tʰo⁶
淚	眼淚		ji⁸		jɯ⁸	ji⁸	ji⁸
膿	膿	nv²	nv²	nṽ²	(ȵu⁶)	nõ²	ȵi²
□	污垢		ka⁷				
□	污垢	kɯ³	kɯ³	qɯ̃³	qɯ³	qɯ³	qɯ³
聲	聲音	tsʰɛ¹	tsʰɛ̃¹	ʈʰã¹	tʰiɛ¹	tʂʰɛ̃¹	tɕʰo¹
□	屍體	tsʰou¹	tsʰõ¹	tsʰõ¹	tsʰø¹	tsʰõ¹	
命	生命；命運；壽命	miɛ⁷	miɛ⁵	ȵua⁵	mia⁵	ȵuẽ⁵	ȵõ⁷
人	人	ȵi²	jĩ²	ȵi²	ȵi²	ȵi²	ȵi²
子	男人	tsi³	tsi³	tsi³	tsɿ³	tsi³	tsi³
軍	兵	kv¹	kṽ¹	tʂɛ¹			kõ¹
仙	巫師		ɕi¹	ɕi¹	ɕi¹	ɕi¹	ɕi¹
賊	强盜；賊		tsɯ⁸	tsɿ⁸	tsɿ⁸		tsɯ⁸
皇	皇帝	ŋv²	ŋv²	ŋo²/õ²	ʁø²	ʁõ²	
官	官	kua¹	kuã¹	qõ¹	qua¹	quã¹	kuã¹
王	王	ŋv²	ŋv²	ŋo²õ²	ʁø²	ʁõ²	
□	朋友	tɕa⁸	tɕa⁸		tɕa⁸		
□	瞎	tɛ¹	tɛ¹	tã⁷	tɛ¹	tɯ¹	tɛ¹
□	瘸子		kʰe⁷	qʰɛ⁷	qʰᴇ⁷	qʰe⁷	
瘌	禿子	la⁷	la⁷	la⁷	la⁷	la⁷	la⁷
□	傻子		ko¹	ko¹		ko¹	kõ¹
□	口吃；結巴		kɯ⁵				
主	主人	tsɯ³	tsɯ³	ʈɯ³	tiɯ³	tʂʅ³	tɕĩ³
客	客人；顧客	kʰɛ⁷	kʰɛ⁷	qʰa⁷	qʰɛ⁷	qʰɛ⁷	
□	太婆；祖母		jo⁵	jo⁵	jø⁵	ja¹	jo³
父	父親		po⁴	bo⁴	bo⁴	bv⁴	põ⁴
女	女兒；女人	ȵṽ⁴	jṽ⁴	ȵo⁴	ȵu⁴	ȵõ⁴	ȵi⁴
孫	孫子	sua¹	suã¹	sõ¹	ɕuɛ¹	suã¹	ɕui¹
□	哥哥		jõ¹	ȵõ¹	ȵø̃¹	jõ¹	
姊	姐姐	tɕi³	tɕi³	tse³	tɕi³	tɕi³	tɕi³
弟	弟弟	tʰi³	tʰi³	tʰie³	tʰi³	tʰi³	tɕʰi³
□	爸；伯伯		to¹	tõ¹	tø¹	tõ¹	tõ¹
侄	侄子	tɕi⁸	tɕi⁸	dʑi⁸	dʑi⁸	dʑi⁸	dʑi⁸
嫂	嫂子	tsʰu³	tsʰu³	tɕʰu³	tɕʰu³	tɕʰu³	tsʰõ³
舅	舅舅		kɯ⁴	ɡɯ⁴	ɡɯ⁴	ɡɯ⁴	ɡɯ⁴
姑	姑母	ku¹	ku¹	qv¹	qu¹	qu¹	
親	親戚	tɕʰi¹	tɕʰĩ¹		tsʰi¹	tɕʰi¹	tsʰe¹
夫	丈夫		po¹				
婦	妻子		vu⁴				
妻	妻子		tsʰe¹				
寡	寡(婦)	kuɛ³	kuɛ³	quɛ³	qua³		
牛	牛	ŋɯ²	ŋɯ²	ŋɯ²/ɯ̃²	ŋɯ²	ŋɯ²	ŋɯ²
□	黃牛	tsi¹	tsɯ¹	tsi¹		tʂʅ̃¹	
氂	氂牛		ma¹				
角	犄角；角落	kv⁷	kv⁷	qõ⁷	qø⁷	qou⁷	ko⁷
□	蹄子	pa²	pã²	po²	pø²	bo²	pa²
毛	毛；頭髮	ma¹	ma¹		miᴇ¹		
尾	尾巴；末尾；江的下游	mi⁵	ŋv⁴	mɛ⁴	mɛ⁴	mu⁴	mi⁴
馬	馬	mɛ⁴	mɛ⁴	mɔ⁴	mɛ⁴	mɛ̃⁴	ma⁴
駒	馬駒		kɯ¹				
羊	羊	jou²	jõ²	ȵõ²	ȵø²	jõ²	ȵõ²
□	綿羊	tsi¹	tsɛ̃¹	tʂɛ̃¹	tsɿ¹	tʂʅ̃¹	tʂʅ¹
羖	山羊		ko⁵	qo⁵	qø⁵	qu⁵	ko⁵
毛	獸毛	ma²	ma²	mie²	miᴇ²	mĩ²	mɛ̃²
彘	豬	te⁸	te⁸	tɛ⁸	tɛ⁸	tɛ⁸	tɛ⁸
犬	狗	kʰua³	kʰuã³	qʰõ³	qʰua³	qʰuã³	kʰuɛ³
雞	雞	ke¹	ke¹	qẽ¹	qᴇ¹	qe¹	qe¹
鴨	鴨子	a⁷	a⁷	a⁷	a⁷	a⁷	a⁷
鵝	鵝	ou²	õ²	õ²	ø²	õ²	o²
鳩	鴿子	kɯ¹	kɯ¹	kɯ¹	kɯ¹	kɯ¹	kɯ¹
龍	龍	nv²	nv²	lv²	lu²	lõ²	lɯ²
猴	猴子	ou²	ɣo²	ŋo²	ɣɯ²	õ²	o²
猻	猴子	sua¹	suã¹	sõ¹	ɕuɛ¹	ɕuĩ¹	ɕui¹
豹	豹子	pa⁵	pã⁵	pie⁵	piᴇ⁵	pi⁵	
□	麂子	vu⁸	vu⁸	uo⁸	vø⁸	v⁸	uo⁸
麝	獐子		tso⁸				
獺	水獺		tɕʰa⁷	tɕʰa⁷	tɕʰa⁷	tɕʰa⁷	
豪	豪豬	ka²	ka²	qa²	qa²	qa²	qa²
鼠	老鼠	sv³	sv³	ʂu³	ɕu³	ʂo³	ʂʅ³
豺	赤豺		tsɯ²				
狐	狐狸	v²	ɣu²		u²	u²	
雀	鳥；雀	tsou⁷	tso⁷	tso⁷	tsu⁷	tsu⁷	tso⁷
□	鳥窩	kʰv⁶	kʰv⁶	tʂʰɛ⁶	tsʰɿ⁶	tʂʰɿ⁶	tʂʰʅ⁶
□	鷹	ua⁸	ua⁸	ua⁸	ua⁸	ua⁸	ua⁸
烏	烏鴉	v¹	v¹	u¹	øu¹	u¹	
翰	雉		xõ⁵	xo⁵		xua⁵	xo⁷
虺	蛇	kʰv³	kʰv³	tʂʰɛ³	tsʰɿ³	tʂʰɿ³	tʂʰʅ³
蚪	蝌蚪		tɯ³				
魚	魚	ŋv¹	ŋv¹	ŋv¹	ŋø¹	ŋõ¹	mv¹
甲	鱗；殼；鎧甲	kɛ⁷	kɛ⁷	qa⁷	qɛ⁷	qɛ⁷	
蟲	蟲子	tsv²	tsṽ²	tɕu²	tɕø²	tɕo²	tʂʅ²
蝨	蝨子	ɕe⁷	ɕi⁷	ɕi⁷	ɕi⁷	ɕi⁷	ɕi⁷
蚊	蚊子	mɯ⁷	mɯ⁷	mo⁷	mɯ⁷	mu⁷	
蛭	水蛭	tɕi⁷	tɕi⁷	tsi⁷	tsi⁷	tsi⁷	tsi⁷
蚍	螞蟻	pi²	pi²	tɕi²			pi²
蠶	蠶	tsa²	tsã²	zã²		tsa²	tsa²
蜂	蜜蜂	fv¹	fṽ¹	xõ	fø¹	fṽ¹	fv¹
蠅	蒼蠅	zɯ²	sɯ̃²		iɯ²	ʐɯ̃²	ʐɿ²
朻	樹枝；一枝	ku¹	ku¹		ku¹		kv¹
葉	葉子	se⁷	se⁷	ʂɛ⁷	ɕɛ⁵	ʂe⁷	ʂʅ⁷
花	花；花色的	xuo¹	xo¹	xu¹	xø¹	xue¹	xo¹
果	果子，果實；粒，顆	kʰo³	kʰo³	qʰo³	qʰø³	qʰo³	kʰõ³
核	果核	ua⁸	ua⁸	ua⁸	ua⁸	ua⁸	ua⁸
芽	芽	ŋɛ²	ŋɛ²		ȵɛ²		ȵõ²
柳	柳樹	ɣɯ⁸	ɣɯ⁸		ɣɯ⁸	ɣɯ⁸	
楊	楊樹		jõ²				
□	杉樹	so⁷	so⁷	ɕo⁷	ɕu⁷	ʂu⁷	ɕo⁷
松	松樹	jou²	jõ²	jo²	ju²	ʐõ²	ʐɿ²
柏	柏樹	pɛ⁷	pɛ⁷	pa⁷	pɛ⁷	pɛ⁷	pɔ⁷
竹	竹子	tsv⁷	tsv⁷	tɕo⁷	tɕø⁷	tʂo⁷	tʂʅ⁷
蔓	藤子	mɛ⁵	me⁵	mɛ⁵	mɛ⁵	mẽ⁵	mɛ⁷
刺	刺	tɕʰi⁶	tɕʰi⁶	tsʰe⁶	tsʰi⁶	tɕʰi⁶	tsʰe⁸
桃	桃子	ta²	ta²	to²	tø²	to²	ta²
□	柿子	tʰa⁷	tʰa⁷	ʈʰa⁷	tʰia⁷	tʰɛ⁶	tʰa⁷
栗	栗子		ji⁶	ji⁸	jɯ⁸	ji⁸	ji⁸
禾	稻	ko²	ko²	qo²	qo²	qo²	ko²
黍	糯米	si³	sv³/si³	su³	su³	so³	si³
種	種子	tsv³	tsṽ³	tɕõ³	tɕø³	tɕø³	
□	秧	tsi²	tsɛ̃¹	tʂɛ̃²	tsɿ²	tʂʅ²	tʂʅ²
□	穗子	tsuɛ³	tsuɛ̃³	ʈõ³	tyᴇ³	tʂue³	tuã³
秣	稻草	ma⁷	ma⁷	ma⁷	ma⁷	ma⁷	ma⁷
穀	穀子		kv⁷				
粟	穀粒	si⁷	sv⁷		so⁷	so⁷	si⁷
麥	小麥	mɯ⁷	mɯ⁷	mɯ⁷	mɯ⁷	mɯ⁷	mɯ⁷
□	大麥	zo²	so²/zo²	zo²	zø²	zo²	zo²
□	青稞	ȵu⁴		ȵo⁴	jø⁴	rõ⁴	rʅ⁴
蕎	蕎子	kv²	kv²	ku²	ku²	ɡo²	kv²
芒	穀芒	mo¹	mo¹		mø¹	ȵø̃¹	mõ¹
枲	麻，黃麻	si³	si³	si³	si³	si³	si³
蔬	菜蔬		sv¹				
菜	菜	tsʰɯ⁶	tsʰɯ⁶	tsʰi⁶	tsʰi⁶	tsɯ⁶	tsʰi⁶
蔥	蔥	tsʰo¹	tsʰṽ¹	tsʰo¹	tsʰø¹	tsʰõ¹	
蒜	蒜	sua⁶	suã⁶	suã⁶	ɕuᴇ⁶	suã⁶	ɕuĩ⁶
薑	薑	kou¹	kõ¹	kõ¹	kø¹	kõ¹	kõ¹
□	黃瓜	pʰo⁷	pʰo⁷	pʰo⁷	pʰo⁷	pʰv⁷	kʰv⁷
豆	豆子	tɯ⁶	tɯ⁶	dɯ⁶	dɯ⁶	di⁶	dʑɯ̃⁶
草	草	tsʰu³	tsʰu³	tɕʰu³	tɕʰu³	tɕʰu³	tsʰõ³
蕈	菌子	sɛ⁵	sɛ̃³	ʂɛ³	ɕɛ³	ʂɯ̃³	ʂʅ³
米	米	me⁴	me⁴	mi⁴	mi⁴	mĩ⁴	mi⁴
麵	粉末	mi⁵	mi⁵		mi⁵	mi⁵	mɛ⁷
□	麵粉		ɣui²	jo²	ʁø²	ʁo²	ua²
膎	肉	kɛ²	kɛ²	qa²	qɛ²	qɛ²	qo²
脂	動物油；棕櫚	tsi¹	tsi¹	tʂʅ¹	tsɿ¹	tʂʅ¹	tʂʅ¹
油	植物油	jɯ²	jɯ²	ji¹	jɯ²	ji¹	ʐɿ²
椒	花椒	su¹	su¹	ɕu¹	ɕu¹	ɕu¹	sʰõ¹
糖	糖	to²	to²	to²	tø²		tã²
□	蛋；生蛋	se⁵	sẽ⁵	sẽ⁵	sᴇ⁵	sẽ⁵	
湯	湯	xɛ¹	xɛ̃¹	xã¹	xiɛ¹	xiẽ¹	xo¹
酒	酒	tsi³	tsṽ³	tsõ³	tsø³	tsõ³	tsɯ³
茶	茶	tso²	tso²	ʈo²	tiø²	dʐo²	do²
藥	藥	jou⁷	jo⁷	jo⁷	ju⁷	ju⁷	v⁷
□	糠	tsʰou¹	tsʰõ¹	ʈʰõ¹	tʰiø¹	tʂʰõ¹	tʰõ¹
□	綫	xɯ³	xɯ³	xɯ³	xɯ³	xɯ³	xɯ³
布	麻布		po⁵	pɯ⁵	pɯ⁵	po⁵	kv⁵
緆	布		se⁷	sɛ⁷	sɛ⁷	se⁷	sʰɛ⁷
絲	絲		si¹				
衣	衣服	ji¹	ji¹	ji¹	ji¹	ji¹	ji¹
□	衣領	ŋɛ⁴	ŋɛ⁴	ji⁴	jɛ⁴	ŋɛ̃⁴	
蓋	帽子；一頂		ka⁷	qa⁷	qa⁷	qa⁷	
鞋	鞋	ŋe²	ŋe²		ȵĩ²	ẽ²	jɛ²
梳	梳子	sv¹	sv¹	ɕu¹	ɕu¹	ʂo¹	ʂʅ¹
□	耳環	ku²	kõ²	kõ²	qø²	kõ²	qo²
枕	枕頭	tsi³	tsɛ̃³	tʂɛ³/tʂʅ³	tsɿ³	tʂʅ̃³	tʂʅ³
萆	蓑衣	pi⁶	pi⁶	dʑuĩ⁶	bi⁶		
□	房子，家	xo⁶	xo⁶	xo⁶	xø⁶	xa⁶	xo⁶
樓	樓	nɯ²	nɯ²		nɯ²		nɯ²
□	(牛)圈	u⁶	u⁶	v⁶	u⁶	u⁶	v⁶
磚	磚		tsuĩ¹				
瓦	瓦	uɛ⁵	ŋuɛ⁵	uã⁵	uɛ⁵	ua⁵	uɛ⁵
柱	柱子	tsɯ⁴	tsɯ⁴	ɖɯ⁴	diɯ⁴	dʐɯ̃⁴	dʑɯ̃⁴
門	門		me²				
桷	椽子	kv⁷	kv⁷	qõ⁷	qø⁷	qou⁷	kv⁷
陛	階梯		pi³				
階	臺階；梯子	kɛ¹	kɛ¹	qe¹/qẽ¹		qe¹	
壁	籬笆；墻壁；崖壁		piɛ⁷	tɕua⁷	piɛ⁷	po⁷	
園	菜園，園子	sua¹	suã¹	sõ¹	ɕuɛ¹	ɕuĩ¹	ɕui¹
牀	牀	tsou²	tsõ²	ʈõ²	tiø²	dʐõ²	dʑo²
盒	盒子		ɣa⁸		ʁɛ⁸	ʁã²	ɣa⁸
鏡	鏡子		kɛ̃⁵				
篲	掃帚	tsui⁷	tsui⁷	ʈuɛ⁷	tyᴇ⁷	tʂui⁷	
燈	燈	tɯ¹	tɯ̃¹	tɯ¹	tɯ¹	tɯ̃¹	tɯ̃¹
薪	柴	ɕi¹	ɕĩ¹	sẽ¹	si¹	ɕĩ¹	sʰẽ¹
炭	炭	tʰa⁶	tʰã⁶	tʰie⁶	tʰiᴇ⁶	tʰĩ⁶	tʰi⁶
燧	火把	tsui⁶	tsui⁶	ɖuɛ̃⁶	dyᴇ⁶	dʐui⁶	bi⁶
竈	竈	tso⁵	tso⁵	tsu⁵	tsu⁵	tsu⁵	tso²
□	鍋		ko¹				
鐺	鍋		tsʰɛ̃¹	ʈʰã¹	tʰiɛ¹	tʂʰɛ̃¹	tsʰõ¹
蓋	蓋子		ka⁷				
覆	蓋；蓋子	pʰɯ⁶	pʰɯ⁶	pʰɯ⁶	pʰɯ⁶		pʰɯ̃⁶
刀	刀	ta¹	tã¹	ti¹	tiɛ¹	tĩ¹	ti¹
莖	柄	kɛ¹	kɛ¹	qo¹	qɛ¹	qɛ¹	qõ¹
勺	勺子	tso⁸	tso⁸	ʈõ⁸	tiu⁸	dʐu⁸	do⁸
□	碗	ke⁵	ke⁵	qe⁵	qɛ⁵	qe⁵	qe⁷
梜	箸		kɛ⁸				
箸	筷子	tsv⁶	tsv⁶	dʑo⁶	dʑø⁶	dʐo⁶	dʐɿ⁶
□	罈子	zi²	sɛ̃²		zɿ²	ʐɿ̃²	ʐɿ²
壺	壺，茶壺	ku²	ku²		qu²		
缸	缸	ka¹	kã¹	qã¹	qa¹	qã¹	qã¹
盆	盆子	pa²	pã²	pie²	biᴇ²	biɛ²	pɛ²
箍	箍；箍兒	ku¹	ku¹		ku¹		kv¹
□	秤；稱	tɕʰuĩ¹	tɕʰuĩ¹	tsʰuẽ¹	tsʰuɛ¹		tsʰuɛ¹
斗	斗		tɯ³				
財	錢財		tsɯ²				
□	利息	pɯ⁵	pɯ²	pɯ⁵	pɯ⁵	pv⁷	pɯ⁵
針	針	tsi¹	tsɛ̃¹	tʂɛ̃¹	tsɿ¹	tʂʅ̃¹	tʂʅ¹
釘	釘子	tɕɛ¹	tɕɛ̃¹		tɕɛ¹		tsɛ̃¹
劑	剪子，剪(刀)	tɕʰi⁶	tɕi⁶	tɕʰe⁶	tsʰi⁶		tsʰi⁶
□	鑰匙；鎖	tso⁸	tso⁸		tiø⁸	dʐu⁸	do⁸
□	棍子	kua⁸	kua⁸	qua⁸	qua⁸	qua⁸	qua⁸
鞍	馬鞍	a¹	ã¹	e¹	ᴇ¹	ĩ¹	a¹
槽	槽子	tso²	tsu²		tɕu²	dʑui²	tsv²
船	船	je²	jĩ²	ȵã²	ȵa²	ji²	jɛ²
斧	斧頭	pɯ³	pɯ³	pɯ³	pɯ³	pv³	pɯ̃³
鑿	鑿子	tsou⁸	tso⁸	tsv⁸	tsu⁸	tsu⁸	tso⁸
鋸	鋸子	fv⁵	fv⁵	fv⁵	fø⁵	fv⁵	fv⁷
膠	牛皮膠	ku¹	ku¹		qø¹	qo¹	qõ¹
犁	犁	tɕi¹	tɕi¹	tɕi¹	tɕĩ¹	tɕĩ¹	tɕi¹
鋤	鋤頭	tsv²	tsṽ²	tɕu²	tɕø²	tɕo²	tʂʅ²
擔	擔子		tã³				
索	繩子	so⁷	so⁷	so⁷	su⁷	su⁷	sʰo⁷
櫼	楔子	tɕi¹	tɕĩ¹	tsɛ̃¹	tsi¹	tsɯ̃¹	tsɛ¹
□	糞；肥料	tɕʰi¹	tɕʰi¹	tɕʰi¹	tɕʰi¹	tɕʰi¹	tɕʰi¹
鐮	鐮刀	je²	jĩ²	ȵã²	ȵa²	ji²	jɛ²
碓	碓	tui⁵	tui⁵	tui⁵	tyi⁵	tui⁵	tui⁷
臼	臼；碓窩	kɯ⁴	kɯ⁴	ɡɯ⁴	ɡɯ⁴	ɡɯ̃⁴	ɡɯ̃⁴
羅	篩；篩子	lo²	lo²	lo²	lø²	lo²	lo²
簸	簸箕	po³	po³	pɔ³	pø³	po³	pɯ̃³
箕	簸箕	tɕi¹	tɕi¹	tɕi¹	tɕi¹	tɕi¹	tɕi¹
硙	磨子；磨(米)	ue⁵	ŋui⁵		uɛ⁵		uɛ⁵
弓	弓	kv¹	kõ¹	kũ¹	kõ¹	kõ¹	kõ¹
箭	箭	tɕi⁵	tɕĩ⁵	tsẽ⁵	tsi⁵	tɕĩ⁵	tsɛ⁵
毒	草烏；毒		tɯ⁸	tɯ⁸	tɯ⁸	dɯ⁸	tɯ⁸
□	魚網		ɣo²		ɣø²		ɣo²
字	文字	tsɯ⁶	tsɯ⁶	dzɯ̃⁶/zɯ̃⁶	dzɿ⁶	dzɿ⁶	
書	書；書信；字	si¹	sv¹	su¹	su¹	so¹	si¹
紙	紙	tsi³	tsi³	tʂʅ³	tsɿ³	tʂʅ³	
筆	筆	fv⁷	fv⁷		fɛ⁷		fv⁷
墨	墨	mɯ⁷	mɯ⁷		mɯ⁷	mu⁷	mɯ⁷
□	話	to²	tõ²	tõ²		tõ²	
曲	山歌；樂曲	kʰv⁷	kʰv⁷		kʰø⁷	kʰou⁷	kʰv⁷
鼓	鼓		ku³				
鐘	鐘(鼓)，樂鐘	tsv¹	tsṽ¹	tɕõ¹	tsṽ¹		
神	神	zi²	sɛ̃²		zɿ²	ʐɿ̃²	ʐɿ²
鬼	鬼	kv³	kv³	tʂɛ³	tsɿ³	tʂʅ³	tʂʅ³
佛	佛	ve⁸	ve⁸		uɛ⁸	ue⁸	uɛ⁸
魄	魂；魔力		pʰɛ⁷	pʰɛ⁷	pʰɛ⁷	pʰɛ⁷	pʰɛ⁷
力	力氣	ɣɯ⁸	ɣɯ⁸	ɣɯ⁸		ɣɯ⁸	
脾	脾臟		pi²	tɕui²	tsuɛ¹		pi²
姓	姓氏；以……為姓		ɕɛ̃⁵				
名	名字；名聲	miɛ¹	miɛ¹	ȵõ¹	ȵue¹/mia¹	ȵue¹	ȵõ¹
間	裂縫；縫隙	kã⁵	kã⁵	qã⁵			
蹤	腳印；印記，蹤跡	tsi¹	tsṽ¹	tsõ¹	tsø¹	tsɿ̃¹	tsɯ̃¹
夢	夢	mɯ⁶	mɯ⁶	mɯ̃⁶	mɯ⁶		mɯ̃⁶
□	利益，好處		ɣo²				
色	顔色		sɯ⁷				
偏	左邊	pi¹	pi¹	tɕuĩ¹	tsuᴇ¹	tyĩ¹	
正	右邊	tsɛ⁵	tsɛ⁵	ʈã⁵	tiɛ⁵		
後	後，後面，位置在后的；晚，遲；將來；未來	ɣɯ⁴	ɣɯ⁴	ɣɯ⁴	ɣɯ⁴	ɣɯ⁴	ɣɯ⁴
外	外面	ua⁷	ŋua⁷	uã⁷	ua⁷	uã⁷	ua⁷
上	上方，上面；在先的；位尊的	to⁴	tõ⁴	dũ⁴	dø⁴	dõ⁴	
下	下面；時間在後的；地位低的；低於，少於		ɣɛ⁴				
