#ɿ
ʦ[1]脂[2]糍祠[3]姊[6]字治
pʰ[5]怕
m[2]麻痲[4]马码袜[6]抹抹莫膜
t[6]答搭沓
tʰ[6]踏搨
n[4]哪
l[6]腊蜡辣瘌
ʦ[1]查渣[2]茶[5]榨炸[6]杂闸煠扎轧铡
ʦʰ[1]叉杈差[2]查[5]岔[6]擦
s[1]沙纱杉[6]洒撒杀
k[1]家加[3]假贾[5]假架驾嫁价[6]痂鸽夹裌甲挟国
kʰ[6]掐
ŋ[2]牙芽[6]岩鸭押压
x[1]虾[6]下夏狭瞎学
∅[1]鸦丫桠[3]哑[4]往

#io
∅[4]惹野[6]夜

#ei
p[2]陪赔[6]鳖憋
m[2]梅枚媒煤莓霉[4]美[6]䉲灭篾
t[2]台抬[6]赌第坠跌帖叠碟
tʰ[6]贴铁
n[6]那
l[2]来
ʦ[2]财裁[6]接折蜇折节截
ʦʰ[6]切
s[6]雪
k[6]劫涩结
kʰ[6]缺
ŋ[2]赢[6]热孽月
x[6]歇血

#uei
t[2]锤
l[2]雷
∅[2]围

#au
m[6]木
f[6]福服
t[3]堵肚[6]独读毒
tʰ[3]土[5]吐兔
n[2]扭
l[6]路
ʦ[1]租周舟州[2]筹[3]祖酒[5]咒烛[6]就袖粥
ʦʰ[1]粗初秋鳅抽丘[3]楚[5]醋臭[6]畜
s[1]苏酥梳疏修羞搜馊搜收[2]适[3]手首守[5]素绣瘦漱[6]受寿缩叔熟赎
k[6]谷
kʰ[6]哭
∅[6]屋

#iau
t[6]竹
l[6]鹿六陆绿
ʃ[6]粟
k[1]鸠[3]九久韭[5]翘救[6]旧
ŋ[6]肉
∅[1]妖腰[2]摇窑[4]柚[5]要[6]又右釉

#ou
p[1]波菠[3]保宝[5]报钵[6]拨
pʰ[6]泼
m[1]摸[2]磨模毛茅谋矛[4]某亩[6]磨帽
t[1]多刀[2]桃淘陶萄[5]剁到倒[6]渡
tʰ[1]拖[5]套[6]脱
n[2]挪[4]脑恼[6]糯
l[2]罗锣箩螺脶鸬牢[4]老[6]骡落骆
ʦ[1]遭糟[2]锄槽绸愁[3]左早枣蚤[4]坐座桌[5]灶[6]造浊捉镯
ʦʰ[1]搓[3]草[4]错[5]锉[6]撮凿
s[1]臊[2]蓑梭仇[3]锁所嫂[4]索[5]扫
k[1]歌哥高蒿[3]果稿[5]个
kʰ[3]可[5]去靠[6]磕
ŋ[2]蛾鹅熬爊[4]我[6]饿
x[1]墟毫[5]货[6]和和号合盒活
∅[6]恶

#iou
l[2]流刘留榴硫溜[4]柳
k[2]囚求球
ŋ[2]牛
∅[2]邮由油游[4]有友

#ã
p[1]冰兵[3]本丙饼[6]病
pʰ[1]拼拼[4]喷
m[2]名[6]问命
f[1]婚分芬纷荤兄[3]粉[5]粪[6]换份
t[1]丁钉[3]顶鼎[6]电淀澄订定
tʰ[2]听
n[6]嫩
l[4]领岭[6]令
ʦ[1]珍征蒸精睛正征[3]井整[5]正[6]净
ʦʰ[1]村称清青[3]请逞[5]亲寸秤
s[1]孙升声星腥[3]醒[5]姓[6]剩
k[1]跟根津庚京[3]颈[5]镜
kʰ[1]轻
∅[1]鹰

#uã
k[1]官棺[3]管广[5]棍
∅[3]碗温瘟

#uɤ̃
f[1]翻[2]含烦[3]反[4]犯旱[5]贩[6]汗饭
k[1]柑干肝竿干冠关[3]擀赶[5]惯
ŋ[2]还{～钱}[5]暗[6]雁万
∅[1]安鞍豌弯

#iẽ
t[2]长[5]胀[6]丈
n[1]娘
l[2]良凉量粮梁粱[3]两[4]两[6]亮
ʧ[1]将浆张章樟[2]墙[3]长涨掌赏[5]酱帐账[6]像仗匠
ʧʰ[1]枪[3]抢厂[5]呛唱
ʃ[1]相箱厢湘镶商伤[2]尝裳[3]想响[5]象相
k[1]姜[2]强
ŋ[6]让
x[1]香[5]向

#ɔ̃
p[1]帮崩[2]庞[3]绑
f[1]荒
t[1]灯[2]藤[3]等[5]凳镫
l[4]冷
ʦ[1]争[2]层
ʦʰ[1]撑铛[5]蹭
s[1]桑生牲甥[4]上[6]上
k[1]江豇更羹耕[3]讲梗[5]降虹[6]虹
kʰ[1]坑[3]肯
x[2]行[4]巷

#iɔ̃
∅[1]秧[2]羊洋杨阳扬[4]养痒[6]样药

#uɔ̃
∅[2]横{～直}横{蛮～}

#õ
m[6]慢
n[2]南男难[6]难
l[4]懒
s[1]参
ŋ[4]眼[6]岸

#ũ
p[1]班斑颁扳扳般[3]板[6]办拌
pʰ[1]攀潘
t[1]耽担丹单[2]潭谈弹[3]胆[4]淡[5]担
tʰ[1]贪滩摊[3]毯[5]探炭叹
l[2]蓝篮兰拦栏
ʦ[2]蚕[3]斩盏[6]赚
ʦʰ[1]餐[3]惨铲
s[1]三衫山删闩僧[5]散
k[1]甘[3]减硷

#iŋ
k[1]今金巾斤筋[2]勤芹[3]紧[4]妗近[5]禁禁劲
ŋ[2]人银[4]忍[5]韧硬[6]认
∅[1]阉音阴荫烟胭姻[2]盐阎檐英[3]影[4]引[5]堰燕咽印

#ɔŋ
m[4]网[5]懵[6]忘妄望梦
f[1]方风枫疯丰封[2]房防冯逢缝[5]放
t[1]东冬[2]同铜桐筒[3]懂[4]动[5]冻栋
tʰ[1]通[3]桶[5]痛
n[2]脓
l[2]笼聋窿龙[4]拢[6]弄
ʦ[1]中钟盅[2]丛[3]总[5]粽中
ʦʰ[1]聪葱
s[1]松[5]送宋
k[1]公蚣工功[3]拱[5]杠
kʰ[1]空[5]空
x[1]慌[2]洪[3]谎哄

#iɔŋ
t[6]重
n[2]浓
ʧ[2]松
ʃ[1]凶{吉～}凶{～恶}[2]熊雄[5]嗅
k[1]弓恭供[2]穷[5]供
∅[1]壅[2]绒融容镕

#uɔŋ
∅[2]黄皇蝗蟥王[3]枉[6]旺

#ɘŋ
p[1]边[2]盆平坪瓶[3]贬匾[4]辫[5]变[6]便
pʰ[1]编篇偏[2]评[5]骗遍遍片
m[2]绵棉门蚊明[6]面面闷
f[1]昏熏[2]魂坟
t[1]颠癫墩[2]甜田填囤蹲亭停[3]点典转[4]盾[6]垫阵
tʰ[1]添天[3]舔
n[1]粘[2]鲇碾年捏宁[3]捻撵[6]念练鍊
l[2]镰帘林淋临连联怜莲鳞菱灵零铃[4]链[6]楝
ʦ[1]尖针煎砖真[2]钱前全秦陈尘存晴[3]剪[5]占剑箭颤[6]贱尽
ʦʰ[1]签迁千川亲椿春[3]浅[4]盾[5]浸串
s[1]心芯深仙搧先辛新薪身[2]船神成城[3]闪婶癣选笋榫[5]线扇信
k[2]钳拳[3]茧趼卷[5]更
kʰ[1]牵圈[5]欠歉劝
ŋ[2]燃[4]染软[6]愿
x[2]掀[6]县恨

#uɘŋ
ʦ[3]准准
ʦʰ[3]蠢
s[2]纯醇[6]顺
k[1]军[2]裙[3]滚
kʰ[5]困
∅[1]冤[2]园文纹云[3]稳[4]远永[6]院闰运

#oŋ
p[1]搬[2]盘旁螃朋[5]半[6]伴
pʰ[3]捧[5]判碰
m[2]忙芒[4]满蟒
t[1]端当[2]团团堂唐糖塘[3]短[4]断椴[5]挡当[6]缎
tʰ[1]汤[5]烫
n[4]暖
l[2]郎[4]卵[6]乱
ʦ[1]钻装妆桩[2]床[3]枕种肿[4]肠[5]钻衆种[6]状
ʦʰ[1]仓舱疮窗充冲舂[3]闯[5]窜铳
s[1]酸拴霜双双[5]算蒜
k[1]钢光
kʰ[1]糠
x[2]行{银～}

#ŋ̍
∅[2]蜈鱼[4]五伍午
