#ɿ
ts　[1]之资兹脂[3]紫子姊止滓[5]制智至致置
p　[1]波[5]簸
pʰ　[1]坡[2]婆[3]跛[5]破
m　[2]磨{~刀}[6]磨{石~}
f　[3]火[5]货[6]祸
t　[1]多[3]朵[5]剁
tʰ　[1]拖[2]驼[3]妥[5]唾[6]舵
n　[2]挪[6]糯
l　[1]啰[2]罗脶[3]裸
ts　[3]左佐
tsʰ　[1]搓[5]锉[2]坐座
s　[1]梭[3]所锁
k　[1]歌[5]个
kʰ　[3]可
ŋ　[2]鹅[6]饿卧
x　[2]何和{~气}[6]贺

#uo
ts　[5]做
tsʰ　[5]错措
k　[1]戈锅[3]果[5]过
kʰ　[1]科[5]课
ŋ　[2]讹
Ø　[1]锅窝[2]禾

#ai
p　[3]摆[5]拜
pʰ　[2]排牌[5]派[6]败
m　[2]埋[3]买[6]卖
f　[2]怀[6]坏
t　[1]獃[5]戴带
tʰ　[1]胎[2]台[5]态太[6]待殆代大
n　[3]奶[6]耐
l　[2]赖
ts　[1]灾斋[3]宰载[5]再债
tsʰ　[1]猜差{出~}[2]才{人~}财{~主}[5]采蔡[6]在
s　[1]腮筛衰[5]赛帅晒
k　[1]街[3]解[5]介戒
kʰ　[1]楷[3]楷
ŋ　[1]挨[2]崖[3]矮[5]隘[6]外
x　[2]鞋[3]蟹[6]骇

#uai
k　[1]乖[3]拐[5]怪
kʰ　[5]快会{~计}
Ø　[1]歪

#ei
p　[1]杯卑悲[5]背贝
pʰ　[1]胚[2]培[5]沛佩[6]倍背{~诵}
m　[5]梅眉媒[3]每美[6]妹
f　[2]回[3]贿[5]晦[6]会溃汇
t　[1]堆[5]对队兑
tʰ　[1]推[3]腿[5]退
n　[2]内
l　[2]来雷[3]累{积~}吕缕[6]累{劳~，连~}
ts　[1]栽[3]最
tsʰ　[1]崔[2]才{~来}裁财{~产}[5]脆
s　[5]碎[6]是
k　[1]该[3]改[5]概盖丐
kʰ　[1]开[3]凯[5]溉
ŋ　[1]哀埃[2]呆[5]爱[6]艾
x　[2]孩[3]海[6]害

#ui
s　[3]许[2]睡遂
k　[1]归车{~马炮}拘追[3]鬼举[5]贵桂句
kʰ　[1]亏[2]葵渠[3]跪[5]愧[6]柜
Ø　[1]威[2]为{作~}[3]委雨[5]畏慰[6]为{~什么}位胃未魏

#ɑu
p　[1]包褒[3]保饱[5]报豹
pʰ　[1]抛[2]袍刨[3]跑[5]泡[6]抱鲍
m　[2]毛茅[3]卯[6]帽貌
t　[1]刀[3]倒打{~}[5]到倒{~水}
tʰ　[1]滔[2]桃陶涛[3]讨[5]套[6]道稻
n　[2]挠[3]脑[6]闹
l　[1]捞[2]劳[3]老[6]涝
ts　[1]糟[3]早爪找[5]灶燥
tsʰ　[1]抄操[2]槽巢[3]草吵[5]糙[6]造皂
s　[1]骚梢[3]扫{~地}嫂[5]扫{~帚}
k　[1]高羔交教{~书}[3]稿绞搅[5]告教{~育}校{~对}觉{睏~}
kʰ　[1]敲[3]考[5]靠
ŋ　[1]坳[2]熬[3]袄咬[5]奥[6]傲
x　[1]蒿[2]豪号呼{~}[3]好{~坏}[5]孝好{爱~}[6]号{~码}校

#ɛu
pʰ　[3]剖
m　[2]谋[6]贸
f　[2]浮[3]否
t　[1]朝{今~}昭兜[3]沼斗{升~}[5]斗{~争}照
tʰ　[1]超偷[2]头朝{~代}[5]透[6]豆赵兆召
l　[2]楼柔[3]扰篓[6]漏
ts　[1]邹[3]走[5]奏皱
tsʰ　[2]愁[5]凑[6]骤
s　[1]烧搜[2]韶[3]少{多~}叟[5]少{~年}瘦[6]绍

#iɛu
p　[1]标彪[3]表
pʰ　[1]飘[2]瓢[3]漂{~白}[5]漂{~亮}票
m　[2]苗[3]秒[6]庙
t　[1]刁[2]燎辽寥[3]鸟了瞭[5]钓[6]疗料
tʰ　[1]挑[2]条调{~和}[5]跳粜[6]掉调{~查，音~}
tɕ　[1]焦椒骄浇[3]剿矫侥[5]叫醮
tɕʰ　[1]敲锹缲[2]樵乔[3]巧俏[5]窍[6]轿
ȵ　[2]尿
ɕ　[1]消枵萧[3]晓小[5]笑酵
k　[1]勾[3]狗[5]够
kʰ　[1]抠[3]口[5]扣
ŋ　[1]欧[3]藕[5]呕
x　[2]侯[3]吼[6]厚后
Ø　[1]夭要{~求}么[2]饶摇[3]舀[5]要[6]耀

#iu
t　[1]丢周[2]流刘留[3]柳肘帚[5]昼咒
tʰ　[1]抽[2]绸[3]丑[5]臭{香~}[6]纣宙
tɕʰ　[1]鸠[3]酒九[5]救
tɕʰ　[1]秋丘[2]求囚[6]旧就袖舅
ȵ　[2]牛柔[3]扭
ɕ　[1]修收休[3]手朽[5]秀兽宿{星~}[6]受授寿
Ø　[1]忧幽[2]由尤游[3]有友诱[5]幼[6]右又釉

#an
p　[1]班[3]板[5]扮
pʰ　[1]攀[5]襻[6]办
m　[2]蛮[6]慢漫
f　[1]番[2]烦凡[3]反[5]泛贩[6]饭患犯
t　[1]担{~任}丹[3]胆[5]旦担{挑~}
tʰ　[1]摊坍[2]谈弹{~琴}[3]坦毯[5]炭[6]淡弹{子~}
n　[2]难{~易}[6]难{患~}
l　[2]兰蓝[3]览懒[6]滥烂
ts　[3]斩盏[5]站赞
tsʰ　[1]餐[2]惭馋残[3]产[5]灿[6]暂赚栈
s　[1]三山衫珊[3]散{鞋带~了}伞产[5]散{分~}
k　[1]艰间奸监[3]减简柬[5]间{~断}𰾫谏
kʰ　[1]嵌
ŋ　[2]岩颜[3]眼[5]晏[6]雁
x　[2]咸闲还{~有}[3]喊[6]陷限苋

#uan
tsʰ　[5]篡
s　[1]拴
k　[1]关[5]惯
Ø　[1]弯[2]顽还{归~}[3]晚[6]万玩

#ɛn
t　[1]专氈[3]转{~送}展[5]转{~圆圈}战
tʰ　[1]穿[2]传{~达}[3]喘[5]串[6]传{~记}篆
n　[2]燃{~碎}
l　[2]然[3]软
ts　[1]瞻[5]佔
tsʰ　[2]蝉
s　[2]船[6]善膳

#iɛn
p　[1]鞭边辫[3]扁贬[5]变遍
pʰ　[1]篇[2]便{~宜}[5]片骗[6]辨便{方~}
m　[2]棉眠[3]免[6]面
f　[2]玄[6]县
t　[1]颠[2]连廉莲怜[3]点典[5]店[6]敛楝恋
tʰ　[1]天添[2]田甜[3]舔[5]掭[6]电簟
tɕ[1]尖煎坚笺[3]检剪茧[5]建见剑箭荐
tɕʰ　[1]千签谦牵迁[2]前钱钳乾全[3]遣浅[5]欠歉[6]渐俭健贱件
ȵ　[1]黏恩[2]严言年研元[3]染碾阮[6]验念愿
ɕ　[1]仙鲜轩掀先宣[2]嫌贤弦筵[3]闪险藓显选[5]宪线楦[6]现羡
Ø　[1]淹烟渊冤[2]炎盐延檐沿员园[3]掩演远[5]厌宴燕{~子}怨堰[6]焰院

#yɛn
k　[3]卷{~起来}[5]卷{试~}
kʰ　[1]圈[2]权[3]犬[5]劝[6]倦
Ø　[1]冤[2]丸员缘圆[3]远[6]院

#on
p　[1]般[5]半
pʰ　[1]潘[2]盘[5]判[6]伴叛
m　[2]瞒[3]满
f　[1]欢[3]缓[5]唤[6]换
k　[1]甘干[3]感敢杆赶[5]干{~部}
kʰ　[1]刊看{~牛}[3]砍[5]看{~见}
ŋ　[1]安庵[5]暗按[6]岸
x　[1]酣鼾[2]含寒[3]罕[5]汉[6]旱汗翰

#uon
t　[1]端[3]短[5]断{决~}
tʰ　[1]贪[2]潭团[5]探[6]断{折~段}
n　[2]男[3]暖
l　[2]鸾[3]卵[6]乱
ts　[1]簪钻{~洞}[3]纂[5]钻{~子}
tsʰ　[1]参{~加}汆[2]蚕[3]惨[5]窜
s　[1]酸[5]算
k　[1]官[3]管[5]贯
kʰ　[1]宽[3]款
Ø　[1]豌[2]完[3]碗[5]腕

#ən
p　[1]奔[3]本
pʰ　[1]喷{~水}[2]盆[5]喷{~香}[6]笨
m　[2]门[6]闷问
f　[1]分芬昏荤[2]坟魂[3]粉[5]粪奋[6]份混
t　[1]针珍真敦肫[3]枕诊断[5]镇振顿
tʰ　[1]吞春[2]沉陈屯唇纯[3]蠢[5]趁褪[6]阵钝盾
n　[2]嫩
l　[2]人轮仑[3]忍[6]任认论闰
ts　[1]臻尊[5]俊
tsʰ　[1]村[2]存[5]寸忖
s　[1]森参{人~}深身孙[2]神晨循[3]沈损[5]逊舜渗[6]甚肾慎顺
k　[1]根
kʰ　[3]恳
x　[2]痕[3]很[6]恨杏

#in
p　[1]彬斌宾[3]禀[5]殡
pʰ　[2]贫[3]品
m　[2]民[3]抿
f　[1]勋薰[5]训
t　[2]邻林[6]吝
tɕ　[1]今津巾斤筋[3]紧锦谨[5]进禁劲浸
tɕʰ　[1]侵亲钦[2]寻琴秦勤[3]寝[6]近仅尽妗
ȵ　[2]银人
ɕ　[1]心新欣[3]笋[5]信衅
Ø　[1]音因阴[2]寅吟淫[3]饮引隐[5]印荫

#un
k　[1]君均[3]滚[5]棍
kʰ　[1]昆坤[2]群[3]綑[5]困[6]郡
Ø　[1]温[2]云匀文闻[3]稳吻允[6]问运

#aŋ
t　[1]正{~月}
tʰ　[2]程[2]郑
l　[3]冷
tsʰ　[1]撑[5]牚
s　[1]声生{熟~}甥[6]盛{~饭}
k　[1]耕
kʰ　[1]坑

#iaŋ
p　[1]兵[3]饼[5]柄
pʰ　[1]拼[2]平坪{草~}[6]病
m　[2]名明[6]命
t　[1]丁钉{~子}[3]岭[5]钉{动词}
tʰ　[1]听
tɕ　[1]睛[3]井
tɕʰ　[1]青清轻[3]请
ɕ　[1]星兄[5]姓

#uaŋ
k　[3]梗

#ɔŋ
p　[1]邦帮[3]绑榜[5]谤
pʰ　[1]滂[2]旁庞彭[5]胖[6]傍棒
m　[2]忙茫[3]莽
f　[1]方芳荒[2]房妨黄皇[3]纺谎[5]放
t　[1]当{应~}张章[3]党长{生~}掌[5]当{典~}账障
tʰ　[1]汤昌[2]堂唐长{~短}场[3]厂倘[5]烫畅唱[6]宕丈撞
n　[2]囊[3]曩
l　[2]郎[3]朗[6]浪让
ts　[1]庄脏[5]壮葬
tsʰ　[1]仓疮窗[2]藏{隐~}[3]闯[5]创[6]藏{西~}状
s　[1]桑霜双商[2]床常[3]赏爽[5]丧饷[6]上
k　[1]岗江[3]讲[5]降{下~}扛
kʰ　[1]康[3]慷[5]抗
ŋ　[1]肮[2]昂
x　[1]夯[2]行{~列}降{投~}杭[6]项巷

#iɔŋ
t　[2]良[3]两[6]亮
tɕ　[1]将姜[3]蒋[5]将{上~}
tɕʰ　[1]腔枪羌[2]强墙[3]抢[6]匠
ȵ　[2]娘[3]仰[6]酿
ɕ　[1]相乡[2]详[3]想享[5]相{~貌}向[6]象
Ø　[1]央[2]羊杨[3]养[6]样

#uɔŋ
k　[1]光[3]广[5]逛
kʰ　[1]匡[2]狂[5]矿旷况
Ø　[1]汪[2]王亡忘横[3]网往枉[6]望旺

#ɛŋ
pʰ　[1]烹
m　[3]猛[2]孟
t　[1]灯登[3]等
n　[2]能
ts　[1]争
s　[1]生{~活}[3]省{节~}
k　[1]更{变~}耕[3]耿[5]更{~加}
x　[1]亨[2]恒横[6]杏

#iŋ
p　[1]兵冰[3]饼丙[5]柄屏
pʰ　[1]拼[2]平凭瓶[5]聘[6]病并
m　[2]名铭明[3]皿[6]命
t　[1]丁[2]陵灵[3]岭顶[5]订[6]令另
tʰ　[1]听[2]亭城[3]挺[5]听{~其自然}[6]定
tɕ　[1]京精经競[3]景井颈[5]镜敬境
tɕʰ　[1]卿轻青清[2]情[3]请[5]庆[6]静净
n　[2]宁凝迎[6]宁{~可}
ɕ　[1]兴{~旺}星馨[2]行形[3]醒省{反~}[5]兴{高~}姓
Ø　[1]应{~当}蝇英婴[2]赢[3]影[5]应{答~}映[6]孕

#əŋ
p　[1]崩
pʰ　[2]朋蓬
m　[2]蒙[3]懵[6]梦
f　[1]风封峰轰烘[2]红冯逢弘[3]讽哄[6]凤奉
t　[1]征贞蒸[3]整[5]证政
tʰ　[1]称{~呼}[2]腾澄承[5]称{相~}[6]邓
n　[2]楞
ts　[1]曾
tsʰ　[2]层[5]蹭[6]赠
s　[1]升声[2]绳[5]胜圣[6]剩盛{茂~}

#uŋ
t　[1]东冬中钟终[3]董种{~类}[5]冻中{射~众种~树}
tʰ　[1]通充冲[2]同虫重{~复}[3]桶统宠[5]铳痛[6]动洞仲重{轻~}
n　[2]农
l　[2]隆茸[3]拢[6]弄
ts　[1]宗棕[3]总[5]综
tsʰ　[1]聪[2]从丛崇松{~树}
s　[1]松{~紧}嵩[3]怂[5]送宋[6]颂
k　[1]公弓恭[3]拱[5]贡供{~养}
kʰ　[1]空[3]孔恐[5]空{~闲}控[6]共
Ø　[1]翁[5]瓮

#yŋ
t　[2]龙笼
tɕʰ　[2]琼穷
ȵ　[2]浓
ɕ　[1]胸[2]熊[5]嗅
kʰ　[1]倾[3]顷
Ø　[1]雍舂{~米}[2]荣戎营容[3]永拥勇[5]壅[6]用

#ŋ̍
Ø　[3]五

#aʔ
p　[7]八百拨
pʰ　[7]柏泼[8]拔白
m　[8]抹{~布}麦末
f　[7]法发[8]伐活
t　[7]答只{一~鸡}掇
tʰ　[7]塔塌尺脱[8]达夺
n　[8]纳
1　[8]蜡辣
ts　[7]眨摘扎
tsʰ　[7]插蔡尺[8]杂
s　[7]杀萨[8]石铡
k　[7]夹甲格{~子}革鸽割
kʰ　[7]恰客渴磕
ŋ　[7]鸭轧[8]额
x　[7]喝瞎[8]狭匣合

#iaʔ
p　[7]壁
pʰ　[7]劈
t　[7]滴
tɕʰ　[7]吃掐
ɕ　[7]锡

#uaʔ
s　[7]刷
k　[7]刮括
kʰ　[7]阔
Ø　[7]穵袜[8]活滑

#ɔʔ
p　[7]博剥
pʰ　[7]扑[8]雹泊薄
m　[8]莫
f　[7]霍[8]缚
t　[7]着{~衣}酌
tʰ　[7]讬绰[8]铎着{睏~}
n　[8]诺
l　[8]落乐{快~}若
ts　[7]卓捉作
tsʰ　[7]戳[8]浊镯昨琢
s　[7]朔索
k　[7]角各
kʰ　[7]确搉
ŋ　[7]恶[8]岳乐{音~}
x　[8]学鹤

#iɔʔ
t　[8]略
tɕ　[7]雀脚
tɕʰ　[7]鹊却
n　[8]虐弱
ɕ　[7]削
Ø　[7]约跃[8]药

#uɔʔ
k　[7]郭
kʰ　[7]扩
Ø　[7]握

#ɛʔ
p　[7]北不
m　[8]墨没
f　[7]忽[8]佛或获划
t　[7]折哲得率律
tʰ　[7]出忒[8]撤突特
l　[8]热日肋
ts　[7]则卒质
tsʰ　[7]猝侧测[8]贼择
s　[7]恤率{~领}设说色塞识涩湿[8]术舌实十
k　[7]格{及~，价~}
kʰ　[7]克
ŋ　[7]扼
x　[7]黑[8]核

#iɛʔ
p　[7]鳖憋
pʰ　[7]撇[8]别
m　[8]灭蔑
t　[7]跌[8]列猎劣
tʰ　[7]铁帖[8]碟叠
tɕ　[7]节结接劫
tɕʰ　[7]切妾怯[8]杰截捷绝
ȵ　[8]孽聂业月
ɕ　[7]薛屑歇雪[8]协
Ø　[8]页

#uɛʔ
k　[7]国骨
kʰ　[7]屈窟
Ø　[8]物

#yɛʔ
k　[7]厥决
kʰ　[7]缺掘
x　[7]血[8]穴
Ø　[8]悦越域

#iʔ
p　[7]笔逼碧壁璧
pʰ　[7]匹僻辟劈[8]弼
m　[8]密觅
t　[7]立执织的嫡质[8]粒栗力历
tʰ　[7]踢出[8]侄直植掷笛籴
tɕ　[7]急吉即积绩击
tɕʰ　[7]缉{~鞋口}泣七乞汔戚吃[8]集及极籍席寂
ȵ　[8]日匿溺
ɕ　[7]吸悉息惜析[8]习食
Ø　[7]揖乙抑益[8]逸翼译液

#uʔ
pʰ　[7]卜扑仆{~倒}瀑[8]仆{~人}
m　[8]木目
f　[7]福腹覆[8]服
t　[7]督竹粥烛嘱
tʰ　[7]秃畜{~牲}触[8]独读逐
l　[7]绿[8]鹿辱陆
ts　[7]足
tsʰ　[7]促[8]族
s　[7]速肃叔粟[8]熟赎属
k　[7]谷
kʰ　[7]哭
x　[8]斛
Ø　[7]屋沃

#yʔ
t　[7]六[8]绿
tɕ　[7]菊
tɕʰ　[7]曲[8]局
ȵ　[8]玉肉
ɕ　[7]畜{牲~}粟
k　[7]橘
Ø　[7]育郁[8]狱疫欲
