"單字"	"聲紐"	"呼"	"等"	"韻部"	"聲調"	"組"	"攝"	"聲母"	"韻母"	"聲調"	"注释"
"微"	"明"	"合"	"三"	"微"	"平"	"幫"	"止"	"m"	"ei"	4	
"微"	"明"	"合"	"三"	"微"	"平"	"幫"	"止"	"m"	"ei"	1	
"妃"	"滂"	"合"	"三"	"微"	"平"	"幫"	"止"	"f"	"ei"	1	
"菲"	"滂"	"合"	"三"	"微"	"平"	"幫"	"止"	"f"	"ei"	3	"~薄"
"菲"	"滂"	"合"	"三"	"微"	"平"	"幫"	"止"	"f"	"ei"	1	"芳~"
"祈"	"群"	"開"	"三"	"微"	"平"	"見"	"止"	"k"	"ei"	4	
"幾"	"群"	"開"	"三"	"微"	"平"	"見"	"止"	"g"	"ei"	2	"~多"
"鬼"	"見"	"合"	"三"	"微"	"上"	"見"	"止"	"gw"	"ai"	2	
"豈"	"溪"	"開"	"三"	"微"	"上"	"見"	"止"	"h"	"ei"	2	
"卉"	"曉"	"合"	"三"	"微"	"上"	"影"	"止"	"f"	"ai"	3	
"偉"	"云"	"合"	"三"	"微"	"上"	"影"	"止"	"w"	"ai"	2	
"瑋"	"云"	"合"	"三"	"微"	"上"	"影"	"止"	"w"	"ai"	2	
"葦"	"云"	"合"	"三"	"微"	"上"	"影"	"止"	"w"	"ai"	2	
"煒"	"云"	"合"	"三"	"微"	"上"	"影"	"止"	"w"	"ai"	2	
"匪"	"幫"	"合"	"三"	"微"	"上"	"幫"	"止"	"f"	"ei"	2	
"尾"	"明"	"合"	"三"	"微"	"上"	"幫"	"止"	"m"	"ei"	2	"~巴"
"尾"	"明"	"合"	"三"	"微"	"上"	"幫"	"止"	"m"	"ei"	1	"最後"
"娓"	"明"	"合"	"三"	"微"	"上"	"幫"	"止"	"m"	"ei"	5	
"悱"	"滂"	"合"	"三"	"微"	"上"	"幫"	"止"	"f"	"ei"	2	
"斐"	"滂"	"合"	"三"	"微"	"上"	"幫"	"止"	"f"	"ei"	2	
"溉"	"見"	"開"	"三"	"微"	"去"	"見"	"止"	"k"	"oi"	3	
"既"	"見"	"開"	"三"	"微"	"去"	"見"	"止"	"g"	"ei"	3	
"貴"	"見"	"合"	"三"	"微"	"去"	"見"	"止"	"gw"	"ai"	3	
"氣"	"溪"	"開"	"三"	"微"	"去"	"見"	"止"	"h"	"ei"	3	
"魏"	"疑"	"合"	"三"	"微"	"去"	"見"	"止"	"ng"	"ai"	4	
"毅"	"疑"	"開"	"三"	"微"	"去"	"見"	"止"	"ng"	"ai"	6	
"諱"	"曉"	"合"	"三"	"微"	"去"	"影"	"止"	"f"	"ai"	3	
"諱"	"曉"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	5	
"愾"	"曉"	"開"	"三"	"微"	"去"	"影"	"止"	"k"	"oi"	3	
"蔚"	"影"	"合"	"三"	"微"	"去"	"影"	"止"	"f"	"ai"	3	
"慰"	"影"	"合"	"三"	"微"	"去"	"影"	"止"	"f"	"ai"	3	
"熨"	"影"	"合"	"三"	"微"	"去"	"影"	"止"	"t"	"ong"	3	
"尉"	"影"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"at"	1	"姓氏"
"尉"	"影"	"合"	"三"	"微"	"去"	"影"	"止"	"f"	"ai"	3	
"畏"	"影"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	3	
"胃"	"云"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	6	
"渭"	"云"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	6	
"謂"	"云"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	6	
"彙"	"云"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ui"	6	
"蝟"	"云"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	6	
"緯"	"云"	"合"	"三"	"微"	"去"	"影"	"止"	"w"	"ai"	5	
"芾"	"幫"	"合"	"三"	"微"	"去"	"幫"	"止"	"f"	"at"	1	
"沸"	"幫"	"合"	"三"	"微"	"去"	"幫"	"止"	"f"	"ai"	3	
"翡"	"並"	"合"	"三"	"微"	"去"	"幫"	"止"	"f"	"ei"	2	
"未"	"明"	"合"	"三"	"微"	"去"	"幫"	"止"	"m"	"ei"	6	
"味"	"明"	"合"	"三"	"微"	"去"	"幫"	"止"	"m"	"ei"	6	
"廬"	"來"	"開"	"三"	"魚"	"平"	"來"	"遇"	"l"	"ou"	4	
"蘆"	"來"	"開"	"三"	"魚"	"平"	"來"	"遇"	"l"	"ou"	4	
"櫚"	"來"	"開"	"三"	"魚"	"平"	"來"	"遇"	"l"	"eoi"	5	"上江lui5"
"驢"	"來"	"開"	"三"	"魚"	"平"	"來"	"遇"	"l"	"ou"	4	
"且"	"精"	"開"	"三"	"魚"	"平"	"精"	"遇"	"c"	"e"	2	"而~"
"且"	"精"	"開"	"三"	"魚"	"平"	"精"	"遇"	"d"	"eoi"	1	"人名；上江dui1"
"蛆"	"清"	"開"	"三"	"魚"	"平"	"精"	"遇"	"t"	"eoi"	1	"上江tui1"
"沮"	"清"	"開"	"三"	"魚"	"平"	"精"	"遇"	"d"	"eoi"	1	"上江dui1"
"徐"	"邪"	"開"	"三"	"魚"	"平"	"精"	"遇"	"t"	"eoi"	4	"上江tui4"
"豬"	"知"	"開"	"三"	"魚"	"平"	"知"	"遇"	"z"	"i"	1	
"涂"	"澄"	"開"	"三"	"魚"	"平"	"知"	"遇"	"d"	"ou"	4	"上江tou4"
"躇"	"澄"	"開"	"三"	"魚"	"平"	"知"	"遇"	"c"	"i"	4	
"除"	"澄"	"開"	"三"	"魚"	"平"	"知"	"遇"	"c"	"i"	4	
"儲"	"澄"	"開"	"三"	"魚"	"平"	"知"	"遇"	"c"	"i"	4	
"屠"	"澄"	"開"	"三"	"魚"	"平"	"知"	"遇"	"d"	"ou"	4	
"著"	"澄"	"開"	"三"	"魚"	"平"	"知"	"遇"	"z"	"i"	3	
"初"	"初"	"開"	"三"	"魚"	"平"	"莊"	"遇"	"c"	"o"	1	
"鋤"	"崇"	"開"	"三"	"魚"	"平"	"莊"	"遇"	"c"	"o"	4	
"疏"	"生"	"開"	"三"	"魚"	"平"	"莊"	"遇"	"s"	"o"	3	"注~"
"疏"	"生"	"開"	"三"	"魚"	"平"	"莊"	"遇"	"s"	"o"	1	"稀~"
"蔬"	"生"	"開"	"三"	"魚"	"平"	"莊"	"遇"	"s"	"o"	1	
"梳"	"生"	"開"	"三"	"魚"	"平"	"莊"	"遇"	"s"	"o"	1	
"諸"	"章"	"開"	"三"	"魚"	"平"	"章"	"遇"	"z"	"i"	1	
"藷"	"章"	"開"	"三"	"魚"	"平"	"章"	"遇"	"z"	"i"	1	
"舒"	"書"	"開"	"三"	"魚"	"平"	"章"	"遇"	"s"	"i"	1	
"紓"	"書"	"開"	"三"	"魚"	"平"	"章"	"遇"	"s"	"i"	1	
"書"	"書"	"開"	"三"	"魚"	"平"	"章"	"遇"	"s"	"i"	1	
"如"	"日"	"開"	"三"	"魚"	"平"	"日"	"遇"	"n"		4	"白讀"
"如"	"日"	"開"	"三"	"魚"	"平"	"日"	"遇"	"nj"	"i"	4	
"茹"	"日"	"開"	"三"	"魚"	"平"	"日"	"遇"	"s"	"i"	4	
"車"	"見"	"開"	"三"	"魚"	"平"	"見"	"遇"	"g"	"eoi"	1	"象棋棋子；上江gui1"
"車"	"見"	"開"	"三"	"魚"	"平"	"見"	"遇"	"c"	"e"	1	
"据"	"見"	"開"	"三"	"魚"	"平"	"見"	"遇"	"g"	"eoi"	3	"上江gui3"
"墟"	"溪"	"開"	"三"	"魚"	"平"	"見"	"遇"	"h"	"eoi"	1	"上江hui1"
"魚"	"疑"	"開"	"三"	"魚"	"平"	"見"	"遇"	"n"		4	"白讀"
"魚"	"疑"	"開"	"三"	"魚"	"平"	"見"	"遇"	"nj"	"i"	4	
"漁"	"疑"	"開"	"三"	"魚"	"平"	"見"	"遇"	"n"		4	"白讀"
"漁"	"疑"	"開"	"三"	"魚"	"平"	"見"	"遇"	"nj"	"i"	4	
"衙"	"疑"	"開"	"三"	"魚"	"平"	"見"	"遇"	"ng"	"aa"	4	
"虛"	"曉"	"開"	"三"	"魚"	"平"	"影"	"遇"	"h"	"eoi"	1	"上江hui1"
"噓"	"曉"	"開"	"三"	"魚"	"平"	"影"	"遇"	"h"	"eoi"	1	"上江hui1"
"於"	"影"	"開"	"三"	"魚"	"平"	"影"	"遇"		"eoi"	1	"上江ui1"
"予"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"j"	"i"	5	
"餘"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"j"	"i"	5	
"輿"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"j"	"i"	5	
"與"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"j"	"i"	5	
"譽"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"j"	"i"	6	
"余"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"j"	"i"	4	
"蜍"	"以"	"開"	"三"	"魚"	"平"	"以"	"遇"	"c"	"i"	4	
"渠"	"群"	"開"	"三"	"魚"	"平"	"見"	"遇"	"k"	"eoi"	5	"上江kui5"
"女"	"娘"	"開"	"三"	"魚"	"上"	"知"	"遇"	"n"	"eoi"	2	"上江nui2"
"旅"	"來"	"開"	"三"	"魚"	"上"	"來"	"遇"	"l"	"eoi"	5	"上江lui5"
"侶"	"來"	"開"	"三"	"魚"	"上"	"來"	"遇"	"l"	"eoi"	5	"上江lui5"
"呂"	"來"	"開"	"三"	"魚"	"上"	"來"	"遇"	"l"	"eoi"	5	"上江lui5"
"咀"	"從"	"開"	"三"	"魚"	"上"	"精"	"遇"	"d"	"eoi"	1	"上江dui1"
"嶼"	"邪"	"開"	"三"	"魚"	"上"	"精"	"遇"	"j"	"i"	5	
"序"	"邪"	"開"	"三"	"魚"	"上"	"精"	"遇"	"t"	"eoi"	6	"上江dui6"
"敘"	"邪"	"開"	"三"	"魚"	"上"	"精"	"遇"	"t"	"eoi"	6	"上江dui6"
"緒"	"邪"	"開"	"三"	"魚"	"上"	"精"	"遇"	"z"	"i"	3	
"緒"	"邪"	"開"	"三"	"魚"	"上"	"精"	"遇"	"s"	"ui"	4	
"抒"	"邪"	"開"	"三"	"魚"	"上"	"精"	"遇"	"s"	"i"	1	
"貯"	"知"	"開"	"三"	"魚"	"上"	"知"	"遇"	"d"	"i"	5	
"杼"	"澄"	"開"	"三"	"魚"	"上"	"知"	"遇"	"c"	"i"	5	
"佇"	"澄"	"開"	"三"	"魚"	"上"	"知"	"遇"	"c"	"i"	5	
"阻"	"莊"	"開"	"三"	"魚"	"上"	"莊"	"遇"	"z"	"o"	2	
"俎"	"莊"	"開"	"三"	"魚"	"上"	"莊"	"遇"	"c"	"ou"	6	"上江zou6"
"楚"	"初"	"開"	"三"	"魚"	"上"	"莊"	"遇"	"c"	"o"	2	
"礎"	"初"	"開"	"三"	"魚"	"上"	"莊"	"遇"	"c"	"o"	2	
"所"	"生"	"開"	"三"	"魚"	"上"	"莊"	"遇"	"s"	"o"	2	
"杵"	"昌"	"開"	"三"	"魚"	"上"	"章"	"遇"	"c"	"i"	5	
"處"	"昌"	"開"	"三"	"魚"	"上"	"章"	"遇"	"c"	"i"	3	"~所"
"處"	"昌"	"開"	"三"	"魚"	"上"	"章"	"遇"	"c"	"i"	2	"~置"
"墅"	"常"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"ui"	4	
"野"	"常"	"開"	"三"	"魚"	"上"	"章"	"遇"	"j"	"e"	2	
"鼠"	"書"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"i"	2	
"暑"	"書"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"i"	2	
"黍"	"書"	"開"	"三"	"魚"	"上"	"章"	"遇"	"s"	"i"	2	
"汝"	"日"	"開"	"三"	"魚"	"上"	"日"	"遇"	"j"	"i"	5	
"莒"	"見"	"開"	"三"	"魚"	"上"	"見"	"遇"	"g"	"eoi"	2	"上江gui2"
"舉"	"見"	"開"	"三"	"魚"	"上"	"見"	"遇"	"g"	"eoi"	2	"上江gui2"
"櫸"	"見"	"開"	"三"	"魚"	"上"	"見"	"遇"	"g"	"eoi"	3	"上江gui2"
"去"	"溪"	"開"	"三"	"魚"	"上"	"見"	"遇"	"h"	"eoi"	3	"上江hui3"
"禦"	"疑"	"開"	"三"	"魚"	"上"	"見"	"遇"	"n"		5	"白讀"
"禦"	"疑"	"開"	"三"	"魚"	"上"	"見"	"遇"	"nj"	"i"	5	
"語"	"疑"	"開"	"三"	"魚"	"上"	"見"	"遇"	"n"		5	"白讀"
"語"	"疑"	"開"	"三"	"魚"	"上"	"見"	"遇"	"nj"	"i"	5	
"許"	"曉"	"開"	"三"	"魚"	"上"	"影"	"遇"	"h"	"eoi"	2	"上江hui2"
"距"	"群"	"開"	"三"	"魚"	"上"	"見"	"遇"	"k"	"eoi"	5	"上江kui5"
"巨"	"群"	"開"	"三"	"魚"	"上"	"見"	"遇"	"k"	"eoi"	5	"上江kui5"
"炬"	"群"	"開"	"三"	"魚"	"上"	"見"	"遇"	"k"	"eoi"	5	"上江kui5"
"鉅"	"群"	"開"	"三"	"魚"	"上"	"見"	"遇"	"k"	"eoi"	5	"上江kui5"
"拒"	"群"	"開"	"三"	"魚"	"上"	"見"	"遇"	"k"	"eoi"	5	"上江kui5"
"慮"	"來"	"開"	"三"	"魚"	"去"	"來"	"遇"	"l"	"eoi"	6	"上江lui6"
"絮"	"心"	"開"	"三"	"魚"	"去"	"精"	"遇"	"sl"	"eoi"	6	"上江slui6"
"助"	"崇"	"開"	"三"	"魚"	"去"	"莊"	"遇"	"c"	"ou"	6	"上江zou6"
"署"	"常"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"i"	2	
"曙"	"常"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"i"	2	
"薯"	"常"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"i"	4	
"恕"	"書"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"i"	3	
"庶"	"書"	"開"	"三"	"魚"	"去"	"章"	"遇"	"s"	"i"	3	
"踞"	"見"	"開"	"三"	"魚"	"去"	"見"	"遇"	"g"	"eoi"	3	"上江gui3"
"據"	"見"	"開"	"三"	"魚"	"去"	"見"	"遇"	"g"	"eoi"	3	"上江gui3"
"鋸"	"見"	"開"	"三"	"魚"	"去"	"見"	"遇"	"g"	"eoi"	3	"上江gui3"
"御"	"疑"	"開"	"三"	"魚"	"去"	"見"	"遇"	"ng"	"eoi"	6	"上江ngui6"
"馭"	"疑"	"開"	"三"	"魚"	"去"	"見"	"遇"	"ng"	"eoi"	6	"上江ngui6"
"菸"	"影"	"開"	"三"	"魚"	"去"	"影"	"遇"	"j"	"i"	6	
"豫"	"以"	"開"	"三"	"魚"	"去"	"以"	"遇"	"j"	"i"	6	
"預"	"以"	"開"	"三"	"魚"	"去"	"以"	"遇"	"j"	"i"	6	
"遽"	"群"	"開"	"三"	"魚"	"去"	"見"	"遇"	"g"	"eoi"	2	"上江gui2"
"都"	"端"	"開"	"一"	"模"	"平"	"端"	"遇"	"dd"	"ou"	1	
"圖"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"d"	"ou"	4	"上江tou4"
"途"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"d"	"ou"	4	"上江tou4"
"塗"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"d"	"ou"	4	"上江tou4"
"徒"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"d"	"ou"	4	"上江tou4"
"荼"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"d"	"ou"	4	"上江tou4"
"鍍"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"d"	"ou"	6	"上江ddou6"
"菟"	"定"	"開"	"一"	"模"	"平"	"端"	"遇"	"t"	"ou"	3	
"奴"	"泥"	"開"	"一"	"模"	"平"	"端"	"遇"	"n"	"ou"	4	
"盧"	"來"	"開"	"一"	"模"	"平"	"來"	"遇"	"l"	"ou"	4	
"顱"	"來"	"開"	"一"	"模"	"平"	"來"	"遇"	"l"	"ou"	4	
"爐"	"來"	"開"	"一"	"模"	"平"	"來"	"遇"	"l"	"ou"	4	
"租"	"精"	"開"	"一"	"模"	"平"	"精"	"遇"	"d"	"ou"	1	
"蘇"	"心"	"開"	"一"	"模"	"平"	"精"	"遇"	"sl"	"ou"	1	
"酥"	"心"	"開"	"一"	"模"	"平"	"精"	"遇"	"sl"	"ou"	1	
"穌"	"心"	"開"	"一"	"模"	"平"	"精"	"遇"	"sl"	"ou"	1	
"辜"	"見"	"開"	"一"	"模"	"平"	"見"	"遇"	"g"	"u"	1	
"箍"	"見"	"開"	"一"	"模"	"平"	"見"	"遇"	"k"	"u"	1	
"孤"	"見"	"開"	"一"	"模"	"平"	"見"	"遇"	"g"	"u"	1	
"呱"	"見"	"開"	"一"	"模"	"平"	"見"	"遇"	"gw"	"aa"	1	
"沽"	"見"	"開"	"一"	"模"	"平"	"見"	"遇"	"g"	"u"	1	
"姑"	"見"	"開"	"一"	"模"	"平"	"見"	"遇"	"g"	"u"	1	
"枯"	"溪"	"開"	"一"	"模"	"平"	"見"	"遇"	"f"	"u"	1	
"蜈"	"疑"	"開"	"一"	"模"	"平"	"見"	"遇"	"ng"		4	
"梧"	"疑"	"開"	"一"	"模"	"平"	"見"	"遇"	"ng"		4	
"吾"	"疑"	"開"	"一"	"模"	"平"	"見"	"遇"	"ng"	"ou"	4	
"吾"	"疑"	"開"	"一"	"模"	"平"	"見"	"遇"	"ng"		4	
"吳"	"疑"	"開"	"一"	"模"	"平"	"見"	"遇"	"ng"		4	
"呼"	"曉"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	1	
"糊"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"瑚"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"胡"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"瓠"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"壺"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"湖"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"弧"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"葫"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"狐"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"乎"	"匣"	"開"	"一"	"模"	"平"	"影"	"遇"	"f"	"u"	4	
"嗚"	"影"	"開"	"一"	"模"	"平"	"影"	"遇"	"w"	"u"	1	
"烏"	"影"	"開"	"一"	"模"	"平"	"影"	"遇"	"w"	"u"	1	
"惡"	"影"	"開"	"一"	"模"	"平"	"影"	"遇"		"ok"	3	"罪~"
"惡"	"影"	"開"	"一"	"模"	"平"	"影"	"遇"	"w"	"u"	3	"厭~"
"樸"	"並"	"開"	"一"	"模"	"平"	"幫"	"遇"	"p"	"ok"	3	
"菩"	"並"	"開"	"一"	"模"	"平"	"幫"	"遇"	"p"	"ou"	4	
"匍"	"並"	"開"	"一"	"模"	"平"	"幫"	"遇"	"b"	"ou"	4	"上江pou4"
"蒲"	"並"	"開"	"一"	"模"	"平"	"幫"	"遇"	"b"	"ou"	4	"上江pou4"
"模"	"明"	"開"	"一"	"模"	"平"	"幫"	"遇"	"m"	"ou"	4	
"摸"	"明"	"開"	"一"	"模"	"平"	"幫"	"遇"	"m"	"o"	1	
"膜"	"明"	"開"	"一"	"模"	"平"	"幫"	"遇"	"m"	"ok"	6	
"睹"	"端"	"開"	"一"	"模"	"上"	"端"	"遇"	"dd"	"ou"	2	
"堵"	"端"	"開"	"一"	"模"	"上"	"端"	"遇"	"dd"	"ou"	2	
"賭"	"端"	"開"	"一"	"模"	"上"	"端"	"遇"	"dd"	"ou"	2	
"土"	"透"	"開"	"一"	"模"	"上"	"端"	"遇"	"t"	"ou"	2	
"吐"	"透"	"開"	"一"	"模"	"上"	"端"	"遇"	"t"	"ou"	3	
"肚"	"定"	"開"	"一"	"模"	"上"	"端"	"遇"	"d"	"ou"	5	"上江tou5"
"杜"	"定"	"開"	"一"	"模"	"上"	"端"	"遇"	"d"	"ou"	6	
"努"	"泥"	"開"	"一"	"模"	"上"	"端"	"遇"	"n"	"ou"	5	
"怒"	"泥"	"開"	"一"	"模"	"上"	"端"	"遇"	"n"	"ou"	6	
"弩"	"泥"	"開"	"一"	"模"	"上"	"端"	"遇"	"n"	"ou"	5	
"擄"	"來"	"開"	"一"	"模"	"上"	"來"	"遇"	"l"	"ou"	5	
"虜"	"來"	"開"	"一"	"模"	"上"	"來"	"遇"	"l"	"ou"	5	
"滷"	"來"	"開"	"一"	"模"	"上"	"來"	"遇"	"l"	"ou"	5	
"魯"	"來"	"開"	"一"	"模"	"上"	"來"	"遇"	"l"	"ou"	5	
"櫓"	"來"	"開"	"一"	"模"	"上"	"來"	"遇"	"l"	"ou"	5	
"組"	"精"	"開"	"一"	"模"	"上"	"精"	"遇"	"z"	"ou"	2	
"祖"	"精"	"開"	"一"	"模"	"上"	"精"	"遇"	"d"	"ou"	2	
"粗"	"從"	"開"	"一"	"模"	"上"	"精"	"遇"	"t"	"ou"	1	
"詁"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"u"	2	
"鼓"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"u"	2	
"估"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"u"	2	
"古"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"u"	2	
"股"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"u"	2	
"賈"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"a"	3	
"賈"	"見"	"開"	"一"	"模"	"上"	"見"	"遇"	"g"	"u"	2	"商~"
"苦"	"溪"	"開"	"一"	"模"	"上"	"見"	"遇"	"f"	"u"	2	
"午"	"疑"	"開"	"一"	"模"	"上"	"見"	"遇"	"ng"		5	
"五"	"疑"	"開"	"一"	"模"	"上"	"見"	"遇"	"ng"		5	
"伍"	"疑"	"開"	"一"	"模"	"上"	"見"	"遇"	"ng"		5	
"琥"	"曉"	"開"	"一"	"模"	"上"	"影"	"遇"	"f"	"u"	2	
"虎"	"曉"	"開"	"一"	"模"	"上"	"影"	"遇"	"f"	"u"	2	
"滸"	"曉"	"開"	"一"	"模"	"上"	"影"	"遇"	"f"	"u"	2	
"雇"	"匣"	"開"	"一"	"模"	"上"	"影"	"遇"	"g"	"u"	3	
"滬"	"匣"	"開"	"一"	"模"	"上"	"影"	"遇"	"f"	"u"	6	
"扈"	"匣"	"開"	"一"	"模"	"上"	"影"	"遇"	"f"	"u"	6	
"戶"	"匣"	"開"	"一"	"模"	"上"	"影"	"遇"	"f"	"u"	5	
"塢"	"影"	"開"	"一"	"模"	"上"	"影"	"遇"	"w"	"u"	1	
"圃"	"幫"	"開"	"一"	"模"	"上"	"幫"	"遇"	"p"	"ou"	2	
"譜"	"幫"	"開"	"一"	"模"	"上"	"幫"	"遇"	"p"	"ou"	2	
"補"	"幫"	"開"	"一"	"模"	"上"	"幫"	"遇"	"bb"	"ou"	2	
"簿"	"並"	"開"	"一"	"模"	"上"	"幫"	"遇"	"b"	"ou"	5	"上江pou5"
"部"	"並"	"開"	"一"	"模"	"上"	"幫"	"遇"	"b"	"ou"	6	"上江bbou6"
"媽"	"明"	"開"	"一"	"模"	"上"	"幫"	"遇"	"m"	"aa"	2	
"媽"	"明"	"開"	"一"	"模"	"上"	"幫"	"遇"	"m"	"aa"	1	
"莽"	"明"	"開"	"一"	"模"	"上"	"幫"	"遇"	"m"	"ong"	5	
"浦"	"滂"	"開"	"一"	"模"	"上"	"幫"	"遇"	"p"	"ou"	2	
"普"	"滂"	"開"	"一"	"模"	"上"	"幫"	"遇"	"p"	"ou"	2	
"妒"	"端"	"開"	"一"	"模"	"去"	"端"	"遇"	"dd"	"ooau"	3	"上江ddou3"
"兔"	"透"	"開"	"一"	"模"	"去"	"端"	"遇"	"t"	"ou"	3	
"渡"	"定"	"開"	"一"	"模"	"去"	"端"	"遇"	"d"	"ou"	6	"上江ddou6"
"度"	"定"	"開"	"一"	"模"	"去"	"端"	"遇"	"d"	"ok"	6	"動詞；上江ddok6"
"度"	"定"	"開"	"一"	"模"	"去"	"端"	"遇"	"d"	"ou"	6	"程~；上江ddou6"
"路"	"來"	"開"	"一"	"模"	"去"	"來"	"遇"	"l"	"ou"	6	
"鷺"	"來"	"開"	"一"	"模"	"去"	"來"	"遇"	"l"	"ou"	6	
"露"	"來"	"開"	"一"	"模"	"去"	"來"	"遇"	"l"	"ou"	6	
"賂"	"來"	"開"	"一"	"模"	"去"	"來"	"遇"	"l"	"ou"	6	
"作"	"精"	"開"	"一"	"模"	"去"	"精"	"遇"	"d"	"ok"	3	
"措"	"清"	"開"	"一"	"模"	"去"	"精"	"遇"	"t"	"ou"	2	
"醋"	"清"	"開"	"一"	"模"	"去"	"精"	"遇"	"t"	"ou"	3	
"厝"	"清"	"開"	"一"	"模"	"去"	"精"	"遇"	"t"	"o"	3	
"錯"	"清"	"開"	"一"	"模"	"去"	"精"	"遇"	"t"	"o"	3	
"訴"	"心"	"開"	"一"	"模"	"去"	"精"	"遇"	"sl"	"ooau"	3	"下江異讀："
"訴"	"心"	"開"	"一"	"模"	"去"	"精"	"遇"	"sl"	"ou"	3	
"塑"	"心"	"開"	"一"	"模"	"去"	"精"	"遇"	"sl"	"ou"	3	
"塑"	"心"	"開"	"一"	"模"	"去"	"精"	"遇"	"s"	"ok"	3	
"素"	"心"	"開"	"一"	"模"	"去"	"精"	"遇"	"sl"	"ou"	3	
"固"	"見"	"開"	"一"	"模"	"去"	"見"	"遇"	"g"	"u"	2	
"鯝"	"見"	"開"	"一"	"模"	"去"	"見"	"遇"	"g"	"u"	2	
"故"	"見"	"開"	"一"	"模"	"去"	"見"	"遇"	"g"	"u"	3	
"顧"	"見"	"開"	"一"	"模"	"去"	"見"	"遇"	"g"	"u"	3	
"錮"	"見"	"開"	"一"	"模"	"去"	"見"	"遇"	"g"	"u"	2	
"庫"	"溪"	"開"	"一"	"模"	"去"	"見"	"遇"	"f"	"u"	3	
"悟"	"疑"	"開"	"一"	"模"	"去"	"見"	"遇"	"ng"		6	
"寤"	"疑"	"開"	"一"	"模"	"去"	"見"	"遇"	"ng"		6	
"誤"	"疑"	"開"	"一"	"模"	"去"	"見"	"遇"	"ng"		6	
"晤"	"疑"	"開"	"一"	"模"	"去"	"見"	"遇"	"ng"		6	
"互"	"匣"	"開"	"一"	"模"	"去"	"影"	"遇"	"f"	"u"	6	
"護"	"匣"	"開"	"一"	"模"	"去"	"影"	"遇"	"f"	"u"	6	
"布"	"幫"	"開"	"一"	"模"	"去"	"幫"	"遇"	"bb"	"ou"	3	
"佈"	"幫"	"開"	"一"	"模"	"去"	"幫"	"遇"	"bb"	"ou"	3	
"步"	"並"	"開"	"一"	"模"	"去"	"幫"	"遇"	"b"	"ou"	6	"上江bbou6"
"捕"	"並"	"開"	"一"	"模"	"去"	"幫"	"遇"	"b"	"ou"	6	"上江bbou6"
"哺"	"並"	"開"	"一"	"模"	"去"	"幫"	"遇"	"b"	"ou"	1	"下江異讀："
"哺"	"並"	"開"	"一"	"模"	"去"	"幫"	"遇"	"bb"	"ou"	1	"上江pou4"
