#a
p	[3]把靶摆	[5]坝拜
pʰ	[1]葩	[5]怕=派湃
kʰ	[1]铅	[3]槛	[5]嵌瞰
g	[2]衔-
ŋ	[2]颜岩	[3]眼	[6]雁彦谚
h	[8]喊	[5]苋
ɦ	[2]咸闲衔-	[6]陷
ʔ	[3]限旱	[5]晏-

#iɛ
p	[1]边鞭蝙编	[3]贬扁匾砭	[5]变遍
pʰ	[1]篇偏翩	[3]谝	[5]片骗
b	[2]骈胼便	[4]辨辩辫	[6]汴便弁
m	[2]棉绵眠	[8]免勉娩缅冕	[6]面
t	[1]颠巅癫	[8]点典腆	[5]玷店掂踮
tʰ	[1]天添	[3]殄舔	[5]掭瑱
d	[2]田填甜	[6]电殿奠垫甸淀
l	[2]连帘镰廉联怜	[3]脸敛	[5]练炼
tɕ	[1]尖歼瞻	[3]展剪	[5]占战箭荐
tɕʰ	[1]千迁笺签	[3]浅堑	[5]倩茜
dʑ	[2]钱[6]缠饯。
ɕ	[1]先仙鲜	[3]陕癣	[5]扇线腺
ʑ	[2]潜然前	[4]善渐阐	[6]贱羡
ȵ	[2]言年严	[3]染碾辇捻	[6]念验
c	[1]坚兼肩锯-	[3]检茧睑	[5]剑见建
cʰ	[1]谦牵	[3]歉遣	[5]欠
ɟ	[2]钳虔乾	[4]件俭	[6]健腱键
ç	[1]掀锨	[3]险显	[5]宪献
j	[2]炎嫌延盐贤筵	[6]现焰艳腌
ʔ	[1]烟焉嫣阉	[3]淹演衍掩	[5]厌宴燕

#uɛ
k	[1]关	[5]惯
g	[6]掼
h	[1]乖儇
ɦ	[2]还顽环寰	[6]患宦
ʔ	[1]弯湾	[3]挽	[5]幻

#e
p	[1]碑卑杯悲	[5]贝背辈狈
pʰ	[1]胚坯	[5]沛配辔霈
b	[2]培陪赔裴	[4]倍	[6]佩悖佩背
m	[2]梅煤枚霉楣	[3]美每	[6]妹昧寐魅
t	[1]堆	[5]戴对碓
tʰ	[1]胎台颓推煺	[3]腿	[6]退态蜕
d	[2]台抬苔	[4]待	[6]怠队兑贷逮袋
n	[3]馁	[5]耐	[6]内
l	[2]来雷羸	[3]累垒磊儡	[6]类泪=赉睐𨂐
ts	[1]灾栽哉	[3]宰	[5]醉再最
tsʰ	[1]催崔摧	[3]采彩璀猜	[5]菜翠萃脆
s	[1]腮鳃衰	[5]帅碎赛
z	[2]才材财裁	[4]在罪	[6]锐瑞-蕊淬瘁悴粹
k	[1]该垓赅	[3]改	[5]盖=概溉丐锯-
kʰ	[1]开	[3]凯恺铠	[5]慨忾去-
g	[2]渠	[6]𥩲隑
cʰ	[5]去-
ŋ	[2]呆	[3]我-	[6]艾碍
h	[3]海醢
ɦ	[2]孩	[6]害骇
ʔ	[1]哀埃	[3]亥皑	[5]爱蔼霭壒

#ue
k	[1]规=归=圭=闺=瑰=	[3]诡=晷=龟=	[5]会桧刽鳜
kʰ	[1]亏盔奎窥岿魁	[3]傀	[5]块哙
g	[2]夔	[4]跪癸	[6]愧
h	[1]灰恢挥辉诙	[3]毁贿	[5]悔晦诲烩卉=
ɦ	[2]回危桅为帷嵬巍韦围=	[6]董=汇讳会位=胃=卫=伪=谓=
ʔ	[1]煨威偎隈	[3]委=萎伟猥诿	[5]畏慰

#ɔ
p	[1]包胞苞褒	[3]饱保宝	[5]报趵豹
pʰ	[1]抛脬	[3]跑	[5]泡炮
b	[2]袍	[4]鲍抱	[6]暴刨曝
m	[2]锚矛毛茅	[3]卯昴	[6]冒帽貌
t	[1]刀	[3]岛祷倒捣	[5]到倒
tʰ	[1]滔焘	[3]讨	[5]套
d	[2]桃逃涛淘萄	[4]道稻	[6]盗导蹈悼
n	[2]挠猱	[3]脑恼	[6]闹
l	[2]劳牢捞=涝	[3]老佬
ts	[1]糟遭	[3]早枣蚤澡找	[5]灶罩
tsʰ	[1]操	[3]钞草炒吵	[5]糙躁
s	[1]骚臊梢稍搔鞘	[3]扫嫂	[5]噪燥哨
z	[2]曹巢槽	[4]皂造
k	[1]胶高膏糕郊	[3]搞狡镐	[5]告教较
kʰ	[1]敲硗尻	[3]考	[5]靠铐
ŋ	[2]熬嗷	[3]咬	[6]傲鏊
h	[1]蒿哮	[8]好郝颢	[5]孝耗好
ɦ	[2]豪毫嚎翱	[6]号效校
ʔ	[1]讴	[3]袄浩昊懊	[5]岙奥拗

#iɔ
p	[1]标彪瞟镳	[8]表裱婊
pʰ	[1]飘漂	[3]缥漂	[5]票
b	[2]嫖瓢	[4]殍剽
m	[2]苗描瞄	[3]渺秒藐	[6]庙妙谬
t	[1]刁貂凋雕	[3]鸟-	[5]钓吊
tʰ	[1]挑	[3]挑窕	[5]跳眺粜
d	[2]迢调条	[6]调掉=
l	[1]寥辽僚疗寮	[3]了蓼潦	[5]料瞭廖
tɕ	[1]招焦椒沼钊朝昭	[5]照诏
tɕʰ	[1]抄超锹	[3]悄愀	[5]峭俏诮
dʑ	[2]潮朝樵嘲	[4]赵兆肇	[6]召棹
ɕ	[1]烧销消萧	[3]小少筱	[5]笑少啸肖
ʑ	[2]韶	[4]绍绕扰	[6]邵憔劭
n	[2]饶尧挠娆	[3]鸟=绕袅
c	[1]骄娇浇	[3]矫缴侥藠	[5]叫
cʰ	[1]撬橇跷	[3]巧	[5]窍翘
ɟ	[2]乔桥荞侨	[4]挢撬-	[6]轿
ç	[1]骁嚣枵枭	[3]晓	[5]馁
j	[2]姚摇谣爻肴淆	[6]耀鹞跃-腰-
ʔ	[1]夭幺妖腰	[8]舀窈杳邀	[5]要

#o
p	[1]巴芭波玻	[3]把-	[5]霸
pʰ	[1]坡颇	[5]破怕-
b	[2]爬杷琶婆菩	[6]耙
m	[2]麻蟆模磨	[3]马-某码	[6]骂-慕募暮
t	[1]多	[3]朵躲	[5]剁跺
tʰ	[1]拖	[3]妥椭
d	[2]驮驼拕	[4]舵惰	[6]大-
n	[3]囡懦	[6]糯
l	[2]罗箩锣鸬-	[3]裸虏掳
ts	[1]遮渣楂吒	[3]左佐	[5]蔗诈榨做
tsʰ	[1]车叉蹉搽搓	[3]蹉-	[5]错岔
dz	[2]茶查	[6]喳-
s	[1]沙梭赊奢	[3]锁琐舍	[5]舍晒赦唆
z	[2]蛇余	[4]坐社	[6]座射麝
k	[1]歌家-加嘉	[3]果贾假	[5]架价嫁假
kʰ	[1]科棵苛窠	[3]可坷颗	[5]课坷
g	[2]架-
ŋ	[2]牙芽俄鹅娥衙	[3]我=瓦雅-	[6]饿卧讹
h	[1]虾	[3]火伙	[5]货
ɦ	[2]禾何河和荷霞瑕	[6]贺夏和荷
ʔ	[1]窝丫鸦-蜗倭	[3]祸下哑厦	[5]屙亚-

#ə
p	[3]褒
pʰ	[1]抔	[3]剖
m	[2]谋矛牟眸鍪	[3]母亩=姆=某=牡	[6]茂贸袤
f	[3]否缶
v	[2]浮-芣	[3]负	[5]孚
t	[1]兜	[3]斗抖陡	[5]斗
tʰ	[1]偷	[3]㪗	[5]透
d	[2]头投	[6]豆逗窦
l	[1]𠞭	[2]楼偻髅	[3]搂篓镂	[6]漏陋瘘
ts	[1]邹陬	[3]走	[5]奏皱
tsʰ	[5]凑腠辏
dz	[6]骤
s	[1]搜溲飕	[3]叟瘦艘	[5]嗽漱薮
z	[2]愁
k	[1]勾钩沟	[3]狗苟垢诟	[5]够构购姁姤
kʰ	[1]抠	[3]口	[5]扣叩寇
ŋ	[2]牛	[3]偶藕
h	[1]佝	[3]吼𢼒	[5]鲎
ɦ	[1]侯喉猴	[6]候
ʔ	[1]鸥呕瓯欧殴	[3]后厚

#iə
m	[6]谬缪
t	[1]丢
n	[1]扭-{拧}	[3]扭纽	[5]妞
l	[2]流刘留琉瘤榴	[3]柳绺	[6]溜馏
tɕ	[1]周舟州洲	[3]酒帚肘	[5]昼咒
tɕʰ	[1]秋抽鳅瘳湫	[3]丑	[5]臭
dʑ	[2]虬绸仇筹酬	[4]纣	[6]宙胄岫
ɕ	[1]修收羞	[3]手首守狩	[5]秀兽绣锈
ʑ	[2]柔揉囚泅	[4]受	[6]绶授售就袖寿
c	[1]鸠阄赳	[3]九久玖纠	[5]救咎究灸
cʰ	[1]丘蚯邱箍-	[3]箍-
ɟ	[2]求裘球	[4]臼舅	[6]旧
ç	[1]休貅	[3]朽	[5]嗅=
j	[2]尤由油游	[6]又邮诱釉
ʔ	[1]幽优忧攸	[3]右有友酉	[5]幼优-

#ø
p	[1]搬般瘢	[5]半
pʰ	[1]潘	[5]判泮
b	[2]盘磐蟠	[4]拌	[5]畔伴绊叛
m	[2]瞒鳗	[3]满	[6]幔-鞔
t	[1]端	[3]短	[5]锻
tʰ	[1]贪湍	[5]探
d	[2]团潭昙-谭-抟	[4]断	[6]段缎椴埭-隤
n	[2]男南楠	[4]懦	[6]腩
l	[2]鸾峦銮栾孪岚	[3]脔	[6]乱
ts	[1]钻锥簪	[3]纂缵	[5]钻
tsʰ	[1]参骖	[3]惨篡窜爨	[5]𮜒踹
s	[1]酸狻	[5]算蒜
z	[2]蚕	[4]凿-
k	[1]干竿肝甘柑	[3]敢赶感杆	[5]干淦
kʰ	[1]刊堪龛	[3]砍坎勘	[5]看墈
h	[1]酣憨	[3]熯	[5]汉憾鼾罕熯
ɦ	[2]寒含函涵韩颔邯	[6]岸汗翰焊
ʔ	[1]安谙庵	[3]旱	[5]暗按

#uø
k	[1]官观冠棺鳏	[2]管馆	[5]贯罐灌盥
kʰ	[1]宽	[3]款
h	[1]欢	[5]唤焕豢獾涣
ɦ	[2]完丸纨桓	[6]换玩
ʔ	[3]碗剜宛腕惋浣

#yø
tɕ	[1]专砖镌颛	[3]转	[5]啭
tɕʰ	[1]川穿铨诠痊悛	[3]喘舛揣	[5]串钏
d	[2]传椽	[4]撰篆	[6]传
ɕ	[1]宣栓萱暄喧闩	[3]选铉	[5]绚
ʑ	[2]全泉船旋璇	[6]旋-
ȵ	[2]元原源	[3]软阮	[6]愿
c	[1]捐娟涓	[3]卷	[5]眷绢卷
cʰ	[1]圈	[3]犬	[5]劝券
ɟ	[2]拳权蜷颧	[6]倦绻眷
ç	[1]轩	[5]楦
j	[2]员袁猿援玄悬缘	[6]县院眩炫
ʔ	[1]渊鸳冤鸢	[3]远	[5]怨

#ɿ
ts	[1]知支脂之	[3]纸旨指子	[5]智志士
tsʰ	[1]雌痴疵=	[3]此耻齿鼠	[5]刺翅次厕
dz	[2]池迟持	[4]苎雉痔稚	[6]治箸
s	[1]私丝诗思梳-	[3]死矢史始	[5]四狮试絮-
z	[2]时辞词锄-	[4]是氏耳-似	[6]字自事寺

#i
p	[3]比彼鄙	[5]闭臂秘泌蔽
pʰ	[1]批纰披	[3]丕痞	[5]屁譬
b	[2]皮肥-枇琵脾	[4]被	[6]币婢避备弊庇
m	[2]迷眉糜弥	[3]米尾弭	[6]谜媚味
f	[1]飞非妃	[3]匪翡诽	[5]肺废费
v	[2]微肥=唯维	[6]未
t	[1]低	[3]底抵砥	[5]帝蒂谛缔
tʰ	[1]梯	[3]体倜	[5]替涕剃屉嚏
d	[2]堤提题啼蹄	[4]弟	[6]第递地棣逮
n	[3]你
l	[2]犁黎梨狸离厘罹鹂	[3]礼李里理鲤蠡	[5]丽荔利吏詈俪莅泪-隶唳厉励例
tɕ	[1]跻齑赍	[3]挤	[5]济际祭制剂
tɕʰ	[1]妻凄悽栖	[5]砌沏
dʑ	[6]滞
ȵ	[2]尼泥宜仪	[4]蚁拟	[6]二义艺谊
ɕ	[1]西犀	[3]洗玺徙	[5]细世势胥婿
ʑ	[2]齐脐	[6]逝誓
c	[1]鸡基肌机饥	[3]几己纪	[5]计纪记系
cʰ	[1]欺溪	[3]启企起杞	[5]岂器契弃气
ɟ	[2]奇旗期其歧骑	[6]技妓忌
ç	[2]希牺嬉熙稀羲	[3]喜蟮	[5]系戏
j	[2]移夷肄遗=姨	[6]易异矣诣
ʔ	[1]衣依医伊	[3]倚已以	[5]意亿臆羿

#u
p	[3]补谱	[5]布怖
pʰ	[1]铺	[3]普浦圃	[5]铺
b	[2]蒲浩葡	[4]部簿哺	[6]步捕埠孵
f	[1]夫肤俘敷	[3]府辅斧釜抚	[5]付赋富副
v	[2]无扶符浮=	[3]呒=	[4]妇父武负	[6]务雾附
t	[1]都	[3]赌睹堵	[5]妒
tʰ	[3]土吐	[5]兔吐{呕吐}
d	[2]徒屠途涂图	[4]肚杜	[6]度渡镀
n	[2]奴驽	[3]努	[6]怒
l	[2]卢庐颅芦炉	[3]鲁橹卤	[6]路露鹭赂
ts	[1]租	[3]祖组阻俎
tsʰ	[1]粗初	[3]楚础	[5]醋措
s	[1]苏酥疏蔬梳=	[3]数所	[5]素诉塑数溯
z	[2]锄=	[6]助
k	[1]姑孤辜沽	[3]古股裹鼓嘏诂	[5]过故固
kʰ	[1]枯刳箍	[3]苦	[5]库裤
h	[1]呼	[3]虎琥浒	[5]戽
ɦ	[2]胡吴=巫壶吾乎梧	[6]互护误悟腐诬
ʔ	[1]乌呜邬污	[3]午=户沪伍五=	[5]恶熓

#y
l	[2]驴闾	[3]吕侣铝旅	[6]虑滤
tɕ	[1]追朱珠疽	[3]主嘴咀	[5]著驻
tɕʰ	[1]吹炊痴-趋	[3]取娶	[5]处趣觑
dʑ	[2]除厨槌锤椎	[4]柱署绪储	[6]住队-
ɕ	[1]书输须需抒	[3]水暑黍	[5]岁税恕庶絮=
ʑ	[2]徐隋如茹殊儒濡	[4]乳树竖聚序叙汝孺	[6]树睡
ȵ	[2]鱼=渔愚	[3]女语	[6]御遇寓魏
c	[1]车-归-拘龟	[3]举鬼-轨矩	[5]贵桂据句锯=
cʰ	[1]区驱岖躯祛	[5]去=
ɟ	[2]葵逵渠衢瞿	[4]跪巨	[6]具俱柜惧遽
ç	[1]虚靴枢	[3]许诩栩	[5]纬-讳-卉-煦酗
j	[2]围-余俞臾腴予舆竽	[6]位-胃-卫-伪-谓-芋誉喻裕
ʔ	[1]於淤吁	[3]雨宇羽禹委-	[5]尉-蔚-畏-愈

#ã
p	[1]绷
pʰ	[1]烹乒抨	[3]呯
b	[2]彭棚	[4]蚌棚	[6]甏碰-
m	[2]氓萌盲	[3]猛	[6]孟虻
l	[3]冷
ts	[1]争狰筝挣峥诤
tsʰ	[1]撑	[5]挣
s	[1]生牲甥	[3]省
k	[1]耕庚更羹	[3]耿鲠骾	[5]更
k	[1]坑铿	[5]坑-
g	[3]鲠	[5]筻
ŋ	[6]硬
h	[1]亨哼	[5]亨-夯
ɦ	[2]行衡桁
ʔ	[1]樱-	[3]杏幸	[5]盎

#iã
l	[2]良凉量粮梁	[3]两魉	[6]辆谅亮
tɕ	[1]将浆张	[3]蒋奖桨长	[5]将酱胀仗
tɕʰ	[1]枪跄创	[3]厂抢敞	[5]畅创怅
dʑ	[2]长肠场	[4]丈杖
ɕ	[1]商相箱湘	[3]想鲞	[5]相
ʑ	[2]墙翔祥详	[4]象像橡	[6]壤让匠
ȵ	[2]娘	[3]仰	[6]酿让-
c	[1]姜僵疆缰
cʰ	[1]腔羌
ɟ	[2]强襁	[6]弶
ç	[1]香乡	[3]享响飨	[5]向
j	[2]羊杨洋阳扬	[6]样恙漾烊
ʔ	[1]央秧鸯	[3]养痒	[5]怏

#uã
k	[1]桄	[3]梗
h	[3]挄{打，吃}
ɦ	[2]横黉

#ɔ̃
p	[1]邦帮	[3]榜绑膀	[5]谤
pʰ	[5]胖
b	[2]旁傍庞滂	[4]棒
m	[2]忙芒茫	[3]网莽蟒魍	[6]望-忘
f	[1]方芳妨坊	[3]仿纺访舫	[5]放
v	[2]亡忘房防	[4]妄莽	[6]望=
t	[1]当铛	[3]党挡	[5]当档
tʰ	[1]汤	[3]倘傥躺趟	[5]烫
d	[2]堂唐棠塘糖膛	[6]荡宕
n	[2]囊曩
l	[2]琅郎狼廓	[3]朗	[6]浪阆
ts	[1]章臧奘装妆庄	[3]掌	[5]脏葬障瘴
tsʰ	[1]仓昌菖沧	[5]倡唱伥娼
s	[1]桑丧霜孀	[3]赏晌爽磉
z	[2]常尝偿藏裳	[4]上	[6]状脏上
k	[1]光刚钢江扛	[3]广港讲	[5]杠岗降
kʰ	[1]康糠	[3]慷	[5]抗矿旷亢
ŋ	[2]昂
h	[1]荒慌肓	[3]谎晃恍
ɦ	[2]杭航黄皇惶	[6]巷旺绗
ʔ	[1]肮汪枉	[3]枉项

#iɔ̃
tɕ	[1]桩	[5]壮
tɕʰ	[1]窗	[3]闯
dʑ	[6]撞幢
ɕ	[1]双
cʰ	[1]筐框匡眶
ɟ	[2]狂逛诳
ç	[5]况贶
ʔ	[3]往𭖘

#əŋ
p	[1]奔	[3]本	[5]畚迸
pʰ	[1]喷
b	[2]盆朋=	[6]笨
m	[2]门们扪盟=蚊-	[5]懑	[6]闷焖问-
f	[1]分芬纷	[3]粉	[5]粪奋
v	[2]文闻焚坟蚊=	[4]愤吻刎	[6]问=紊份
t	[1]登灯蹲敦墩	[3]等	[5]顿凳墩
tʰ	[1]吞暾	[3]氽	[5]褪{褪壳}
d	[2]屯誊臀豚	[4]盾囤	[6]钝遁邓
n	[2]能	[3]暖	[6]嫩
l	[2]轮伦沦棱	[6]论
ts	[1]尊遵樽憎增	[3]怎	[5]蹭
tsʰ	[1]村瞠	[3]忖	[5]寸衬
s	[1]孙荪飧森=僧参	[3]损	[5]森-
z	[2]存层曾	[6]赠
k	[1]根跟	[3]盖-艮亘
k	[1]啃	[3]肯恳垦
h	[3]狠很
ɦ	[2]痕恒妲	[6]恨
ʔ	[1]恩	[3]摁

#uəŋ
k	[1]昆-	[3]鲧滚辊	[6]棍焜
kʰ	[1]坤鲲	[3]捆困	[5]困睏
g	[4]溃
h	[1]昏婚荤
ɦ	[2]魂	[6]混-
ʔ	[1]温瘟馄	[3]稳浑混=

#iŋ
p	[1]兵彬斌宾	[3]饼丙秉	[5]柄迸并
pʰ	[1]拼	[3]品牝	[5]聘拼姘娉
b	[2]凭贫平瓶萍评	[4]并	[6]病
m	[2]明民鸣名	[3]皿闽敏泯茗	[6]命
t	[1]丁钉疔	[3]顶鼎	[5]订钉
tʰ	[1]厅汀	[3]挺艇	[5]听
d	[2]亭停廷庭	[4]锭	[6]定
l	[2]林邻铃灵零淋	[3]领岭凛	[6]吝另令
tɕ	[1]精蒸旌睛	[3]枕整拯	[5]镇震振浸
tɕʰ	[1]青称亲	[3]侵寝请	[5]趁称秤
dʑ	[2]陈沉澄程呈尘	[4]逞	[6]郑剩
ɕ	[1]声心新	[3]醒沈审	[5]胜渗姓圣信
ʑ	[2]神绳寻成承	[4]静甚靖	[6]净盛慎
ȵ	[2]人迎宁仍蝇吟	[6]认仍韧扔佞宁
c	[1]经今金斤	[3]紧锦谨境	[5]竞镜禁
cʰ	[1]轻卿钦倾衾	[3]顷	[5]庆揿磬罄
ɟ	[2]琴禽勤擎芩芹痉瑾	[4]近	[6]仅竞
ç	[1]掀兴	[3]擤	[5]兴衅
j	[2]营寅形刑荥营萤荧尹	[6]孕
ʔ	[1]音阴鹰英因应樱=	[3]饮隐影	[5]映胤

#yŋ
tɕ	[1]肫	[3]准	[5]俊峻骏浚竣
tɕʰ	[1]春椿	[3]蠢
ɕ	[3]笋榫	[5]舜瞬殉徇逊巽
ʑ	[2]醇淳鹑唇纯	[4]吮蕈	[6]顺润
c	[1]军君皲均钧	[5]絭
cʰ	[1]菌囷逡	[3]窘
ɟ	[2]裙	[6]郡群
ç	[1]熏勋薰埙	[5]嗅-训驯
j	[2]云匀耘芸	[6]韵运晕闰郓熨
ʔ	[1]氲	[3]允恽陨殒	[5]蕴愠

#oŋ
p	[1]崩蹦
pʰ	[3]捧	[5]碰=
b	[2]朋-蓬鹏澎
m	[2]蒙	[3]懵蠓	[6]梦
f	[1]风丰峰封枫疯蜂烽锋	[5]讽
v	[2]冯逢缝	[4]奉俸	[6]凤缝
t	[1]东冬	[3]董懂	[5]冻栋
tʰ	[1]通彤	[3]捅统	[5]痛恸
d	[2]同童铜筒	[4]动桶	[6]洞胴彤=
n	[2]农脓浓=	[6]侬
l	[2]龙笼聋冗	[3]陇垄笼拢	[6]弄
ts	[1]宗综踪	[3]总	[5]粽纵
tsʰ	[1]聪葱匆骢
s	[1]松	[5]宋送
z	[2]崇丛
k	[1]公工蚣攻功	[3]汞	[5]攻贡
kʰ	[1]空箜	[3]孔倥	[5]控空
h	[1]轰薨烘訇	[3]哄	[5]哄蕻
ɦ	[2]红洪鸿虹宏弘	[6]讧
ʔ	[1]翁蓊	[5]瓮齆

#yoŋ
tɕ	[1]中终衷钟盅	[3]踵种肿	[5]众中种
tɕʰ	[1]冲充憧舂	[3]宠	[5]铳
dʑ	[2]虫重	[4]重	[6]仲
ɕ	[1]菘松=嵩	[3]耸
ʑ	[2]从绒戎茸松-	[6]讼颂诵
c	[1]弓宫躬恭供	[3]巩龚迥炯
cʰ	[3]恐
ɟ	[2]穷芎琼	[6]共
ȵ	[2]浓-融
ç	[1]胸兄凶
j	[2]荣融熊雄容	[6]用佣
ʔ	[1]痈	[3]永勇甬恿	[5]雍拥蕴

#aʔ
p	[7]百佰柏迫
pʰ	[7]拍魄帕擘粕掰
b	[8]白
m	[8]麦脉陌
ts	[7]摘责箦帻啧赜谪
tsʰ	[7]拆册策坼
dz	[8]择宅泽
s	[7]栅索
k	[7]格革隔
kʰ	[7]客恪
g	[8]轧
ŋ	[8]额
h	[7]赫吓
ʔ	[7]厄扼轭隘

#iaʔ
l	[8]略掠
tɕ	[7]酌嚼爵灼
tɕʰ	[7]雀鹊绰
dʑ	[8]着
ɕ	[7]削
ʑ	[8]若芍弱
ȵ	[8]箬疟谑虐
c	[7]脚
cʰ	[7]怯却
ɟ	[8]剧
j	[8]药钥跃=越阅粤穴悦
ʔ	[7]约

#uaʔ
k	[7]掴
ɦ	[8]获划

#ɛʔ
p	[7]八捌
b	[8]拨跋魃
m	[8]袜
f	[7]法发
v	[8]乏伐罚筏阀
t	[7]搭遢-靼妲
tʰ	[7]塌塔沓㧺獭遢
d	[8]达踏
n	[8]纳钠讷捺
l	[8]辣腊蜡邋瘌喇
ts	[7]窄扎眨=砸
tsʰ	[7]察擦插掣
s	[7]杀萨歃霎飒
z	[8]闸铡
k	[7]夹甲荚颊眨-峡
kʰ	[7]恰掐渴磕咳嗑
g	[8]轧搿
h	[7]喝瞎鞥
ɦ	[8]核狭辖洽袷
ʔ	[7]匣压鸭押

#uɛʔ
k	[7]刮括聒鸹
h	[7]豁-
ʔ	[7]挖

#iʔ
p	[7]笔毕必壁璧碧逼辟
pʰ	[7]匹劈僻辟
b	[8]鼻弼愎
m	[8]密蜜觅汨谧幂
t	[7]滴嫡的
tʰ	[7]踢剔
d	[8]笛敌狄
l	[8]力立栎栗埒笠
tɕ	[7]职织绩只质执汁即炙挚
tɕʰ	[7]斥叱尺缉赤辑七漆
dʑ	[8]直掷秩蛰值植殖侄
ɕ	[7]识虱湿适室失惜息悉膝
ʑ	[8]席习集十什夕石食蚀拾实硕
ȵ	[8]日逆镍聂蹑
c	[7]急戟棘激级给孑击
cʰ	[7]泣乞吃迄
ɟ	[8]及极
ç	[7]吸㽺
j	[8]亦逸易
ʔ	[7]一益缢乙邑

#ieʔ
p	[7]瘪鳖
pʰ	[7]撇瞥澈
b	[8]别蹩
m	[8]灭篾搣蔑
t	[7]跌
tʰ	[7]铁帖餮贴
d	[8]蝶谍牒迭叠喋
l	[8]劣烈列冽裂
tɕ	[7]哲折节接浙
tɕʰ	[7]切妾窃
dʑ	[8]辙撤
ɕ	[7]设闪屑燮薛
ʑ	[8]截涉捷
ȵ	[8]捏业热涅孽啮虐
c	[7]结挟-吉黠诘桔洁劫
cʰ	[7]挈锲揭
ɟ	[8]剧桀杰竭碣
ç	[7]歇胁隙
j	[8]叶协翼译腋液掖侠
ʔ	[7]噎靥俋

#əʔ
p	[7]钵拨
pʰ	[7]泼拨
b	[8]勃脖渤
m	[8]末抹没沫
t	[7]答
d	[8]夺特突
k	[7]割葛鸽
kʰ	[7]渴
ɦ	[8]合盒盍阖曷
ʔ	[7]遏褐

#uəʔ
kʰ	[7]阔
ɦ	[8]活滑猾

#yəʔ
tɕ	[7]拙茁
ɕ	[7]刷说雪
ʑ	[8]绝述
ȵ 	[8]月
c	[7]决诀厥撅蕨镢
cʰ	[7]缺屈{姓}阙
ɟ	[8]掘
ç	[7]血恤

#øʔ
p	[7]不
f	[7]勿
v	[8]佛物
t	[7]得德呾
tʰ	[7]脱秃忒凸
l	[8]律粒捋勒肋
ts	[7]卒则
tsʰ	[7]撮测侧恻
s	[7]色啬塞穑瑟涩摔率蟀
z	[8]贼
kʰ	[7]刻克
h	[7]黑

#uøʔ
k	[7]骨汩
kʰ	[7]窟
h	[7]忽寤
ʔ	[7]𩑦

#yøʔ
tɕʰ	[7]出黜
ɕ	[7]戌
ʑ	[8]术
c	[7]菊橘孓珏攫谲

#ɔʔ
p	[7]驳剥博搏
pʰ	[7]朴{木名}
b	[8]薄雹泊舶毫
m	[8]摸莫膜寞幕
t	[7]笃
tʰ	[7]托柝拓
d	[8]铎踱度
n	[8]诺
l	[8]乐洛落烙络酪骆荦珞
ts	[7]作斫
tsʰ	[7]错
dz	[8]昨
s	[7]索
z	[8]凿勺
k	[7]各阁搁郭角觉椁
kʰ	[8]确壳廓榷
ŋ	[8]鄂岳乐萼愕噩
h	[7]霍吓壑藿郝
ɦ	[8]学镬
ʔ	[7]恶渥幄龌

#iɔʔ
tɕ	[7]捉卓桌涿琢堕
