来源：	张启慧 2019《山西省阳城县蟒河镇方言语音研究》；Hynuza, Skanda 整理录入
ɕ	［1］絮须需戌书舒输{～赢}［2］徐［3］黍暑鼠-{～狼：黄鼠狼}［5］序叙绪树叔婿=恤续
c	［1］车{象棋}居［3］举［5］据锯巨拒距矩剧
cʰ	［1］区［2］渠［5］去
ç	［1］墟嘘虚吁［3］许
Ø	［1］淤愚迂［2］鱼渔於余馀虞于盂榆愉芋［3］语与雨宇禹羽［5］御誉预豫娱遇寓愈喻裕郁育欲浴
#ɑ	
p	［1］巴芭疤把{介词}爸［2］拔［3］把{一～}把{～柄}［5］霸坝耙{～地}罢=
pʰ	［2］爬琶杷钯［5］怕帕
m	［1］妈［2］麻痳蟆［3］马码
f	［2］乏伐筏罚
t	［1］瘩［2］沓［3］打［5］大
n	［2］拿［3］哪
l	［1］拉［2］□{～手，使裂开}
ts	［1］楂渣［2］杂-{羊～}闸炸{～油条}铡［3］拃{一～}［5］诈榨炸{～弹}乍
tsʰ	［1］叉杈差{～不多}［2］茶搽［3］衩［5］岔
s	［1］莎{～草}沙纱［2］茬{麦～}［3］洒厦{偏～}傻撒
k	［5］尬
x	［1］哈{～腰}［2］□{～人：模仿别人}［5］吓{～一跳}
#iɑ	
n	［5］娘-{伯母的面称}
l	［3］俩
ɕ	［2］匣
c	［1］家加痂嘉佳［3］假{真～}贾{姓}［5］假{放～}架驾嫁稼价
cʰ	［1］揢{拿住}［3］恰
ç	［1］虾［2］霞瑕遐暇狭峡［5］下夏厦{～门}
Ø	［1］鸦丫［2］牙芽衙伢涯［3］雅哑鸭［5］砑亚押轧
#uɑ	
ts	［1］抓［3］爪
s	［3］耍
k	［1］瓜［3］寡剐［5］褂掛卦
kʰ	［1］夸［3］侉垮［5］跨
x	［1］花华{中～}［2］铧划滑猾［5］化华{～山}桦{～树}画话
Ø	［1］蛙洼挖［2］娃［3］我瓦{～片}［5］瓦{～刀}
#ɤ	
k	［1］歌哥［3］梗［5］个
kʰ	［3］壳可{～能}［5］可{～身}
l	［5］二{十～，口语音}
x	［1］呵{～气，～馏水}［2］河何荷{～花}荷{薄～}盒［5］贺鹤
ɣ	［1］俄阿{～胶}屙［2］蛾鹅讹［5］饿案扼鄂
#uɤ	
p	［1］波菠玻钵［2］钹勃薄帛［3］跛簸{簸一簸}［5］簸{～箕}薄{～荷}
pʰ	［1］颇坡［2］婆{婆婆的背称}［5］婆{奶奶}破魄
m	［2］魔磨{～刀}摩馍摹［3］抹{～泪，～脸}［5］磨{～面}
t	［1］多［2］踱［3］躲［5］舵驮{～子}朵惰垛剁
tʰ	［1］拖［2］驼驮［3］妥椭［5］唾
n	［2］挪［3］□{～时候：那时候}［5］糯诺
l	［1］啰［2］罗锣箩骡螺［3］裸［5］摞
ts	［2］凿琢涿镯［3］左佐［5］坐座
tsʰ	［1］搓锉戳［5］错绰
s	［1］蓑梭嗦［3］锁琐所［5］朔
k	［1］过{～了时间}锅［3］戈果裹馃［5］过{～去}
kʰ	［1］科［3］棵颗［5］课
x	［2］和{～气}禾活-［3］火伙［5］祸货和{～面}涴{脏}
Ø	［1］倭踒窝［5］卧
#ɔ	
p	［1］褒抱菢包胞刨［3］保堡宝饱［5］报暴豹爆鲍铇
pʰ	［1］泡{眼～}抛剖雹［2］袍跑麅［5］炮泡
m	［1］□{～～：看看}［2］毛茅猫锚矛［3］卯牡［5］冒帽貌茂贸
t	［1］刀叨［3］祷岛捣倒{打～}［5］到倒{～水}道稻盗导{领～}
tʰ	［1］滔掏［2］桃逃淘陶萄涛［3］讨［5］套
n	［2］铙挠［3］脑恼［5］闹
l	［1］唠［2］劳捞牢［3］老［5］涝酪
ts	［1］遭糟朝{今～}召昭招招沼［3］早枣蚤澡找［5］躁竈皂罩笊赵兆照诏焯
tsʰ	［1］操抄钞巢超［2］曹槽朝潮［3］草騲炒吵［5］造糙
s	［3］扫{打～}梢捎稍烧［2］韶［3］少{多～}［5］扫{～帚}潲{～雨}绍少{～年}邵
z	［2］饶［3］扰绕{围～}［5］绕{～线}
k	［1］高篙羔糕［3］膏稿搞［5］告膏{～油}
kʰ	［3］考烤［5］靠犒
x	［1］蒿［2］豪壕毫号{～叫}［3］好{～坏}［5］浩好{喜～}耗号{～数}
ɣ	［1］熬［2］熝［3］袄［5］傲鏊奥懊坳
#iɔ	
p	［1］膔標彪［3］表鏢［5］鳔
pʰ	［1］飘嫖［2］瓢［3］漂{～白}［5］票漂{～亮}
m	［2］苗描［3］藐渺秒［5］庙妙
t	［1］刁貂雕丢［5］钓弔掉调{音～，～动}
tʰ	［1］挑{～选}［2］条调{～和}［5］跳粜
n	［3］鸟［5］尿
l	［2］燎疗聊辽撩{～逗}寥［3］燎{把头发～了}了{～解}［5］料尥廖
ʨ	［1］胶焦蕉椒［3］饺剿［5］酵窖噍
ʨʰ	［1］敲悄茭{玉～：玉米}［2］樵瞧［3］巧［5］俏
ɕ	［1］消宵霄硝销萧箫［3］剿［5］笑鞘
c	［1］交郊教绞狡骄娇浇纠［3］铰搅矫缴侥［5］教较觉{睡～}轿叫
cʰ	［2］乔侨桥荞［5］窍
ç	［1］嚣［3］晓小［5］淆孝效校
Ø	［1］妖邀腰要{～求}幺{～二三}吆{～喝}［2］肴摇谣窑姚尧［3］咬舀［5］靿要{重～}耀跃{跳～}
#eɛ	
p	［1］班斑颁扳般搬［3］板版［5］罢-扮瓣办拌半绊
pʰ	［1］攀潘［2］盘［5］盼襻伴判叛
m	［2］蛮瞒馒［3］满［5］慢漫幔
f	［1］帆藩翻番［2］凡烦矾繁［3］反［5］范犯泛贩嬔饭
t	［1］耽担{～任}丹单［3］胆［5］淡担{挑～}诞旦但弹{子～}蛋
tʰ	［1］贪滩摊［2］潭谭谈痰檀坛弹{～琴}［3］毯坦［5］探炭叹
n	［2］南男难{～题}［5］难{逃～}捺
l	［2］蓝篮兰拦栏［3］漤览揽榄缆懒［5］滥烂癞
ts	［3］斩盏攒［5］暂錾站蘸赞绽栈
tsʰ	［1］参{～加}搀餐［2］蚕惭谗馋蟾残蝉禅［3］惨灿产
s	［1］三杉珊山删［3］衫伞［5］散疝禅{～让}
k	［1］甘柑泔尴干{～净}竿［3］感敢橄杆秆擀［5］干{～活}
kʰ	［1］堪勘看{～门}刊［3］坎砍［5］看{～见}
x	［1］憨酣鼾［2］含函寒韩还{～有}［3］喊罕［5］撼憾旱汉汗焊翰
ɣ	［1］庵安鞍［3］揞［5］暗岸按案=
#iɛ	
p	［1］鞭编边蝙［3］贬扁［5］辨辩变汴便{方～}辫遍
pʰ	［1］篇偏［5］骗片
m	［2］绵棉［3］免勉娩渑［5］缅{～甸}面
t	［1］爹掂颠［2］叠碟牒蝶谍［3］点典［5］店电殿奠佃垫
tʰ	［1］添天填［2］甜田［3］舔腆
n	［2］黏鮎拈年［3］碾辇捻撵［5］念孽=□{～家：指别人}
l	［2］廉镰簾连怜莲［3］敛脸［5］殓练炼
ʨ	［1］姐尖艰奸煎笺［2］截=［3］碱简柬拣锏剪茧趼［5］借藉渐蛰-谏涧践箭溅贱饯荐见
ʨʰ	［1］歼签迁千［2］钱前［3］且潜浅［5］妾
ɕ	［1］些仙先［2］邪斜鞋=携衔［3］写［5］泻卸谢线羡=泄屑县
c	［1］皆秸街监{～牢}间{一～}兼犍坚阶［3］解{～开}减检俭［5］介界芥疥届戒械舰鉴监{国子～}剑间{～隔}件键建健腱毽
cʰ	［1］鵮杴谦牵铅［2］茄{～子}钳乾虔［3］遣［5］嵌欠歉
ç	［1］掀［2］谐胁嫌协闲贤咸［3］险显［5］解{姓}蟹懈陷馅限苋宪献现
Ø	［1］耶淹阉醃腌蔫焉烟燕{姓}［2］崖严盐阎檐盐颜延言研缘沿［3］也={者～}野掩眼演兖［5］爷夜验炎厌艳焰靥酽雁宴筵谚堰砚燕{～子}咽液腋
#uɛ	
t	［1］端［3］短［5］断锻段缎椴
tʰ	［2］团
n	［3］暖
l	［2］鸾［3］卵［5］乱
ts	［1］钻{～进}专砖［3］转{～送}纂［5］钻{电～}撰篆转{～圈圈}传{～记}
tsʰ	［1］汆川穿篅［2］传{～播}椽船［3］喘［5］窜篡串
s	［1］酸闩栓［5］算蒜涮
z	［3］软阮
k	［1］官棺冠关［3］管馆［5］贯灌罐观冠惯
kʰ	［1］宽［3］款
x	［1］欢［2］桓还{～原}环［3］缓［5］唤焕换幻患宦
Ø	［1］豌剜弯湾［2］完丸玩顽［3］碗皖腕宛晚挽［5］万
#yɛ	
l	［2］联□{～衣裳：缝衣服}［5］恋
ʨ	［2］爵［3］□{骂；～人}［5］嚼
ʨʰ	［2］全泉
ɕ	［1］鲜{新～}癣宣［2］旋{～转}［3］选［5］旋{～吃～做}镟{～床}羡
c	［1］肩捐［2］厥掘橛［3］卷{～起来}［5］圈{猪～}眷卷{～子}绢倦券憠倔桊
cʰ	［1］圈［2］瘸拳权颧［3］犬［5］劝
ç	［1］靴轩喧［2］弦玄悬穴学={上～}［5］楦眩
Ø	［1］冤援渊［2］圆员元原源袁猿园［3］远［5］院愿怨曰粤
#ɐu	
t	［1］兜［3］斗{漏～}抖陡［5］斗{～争}豆逗
tʰ	［1］偷［2］头投［5］透
l	［2］楼搂耧［3］篓搂［5］漏陋
ts	［1］邹周舟州洲［3］走肘掫［5］奏纣昼宙皱绉骤咒
tsʰ	［1］抽搊［2］绸稠筹愁仇酬［3］丑瞅［5］凑臭
s	［1］搜飕蒐收［3］手首守［5］嗽瘦受兽寿授售
z	［1］柔［2］揉［5］肉
k	［1］勾钩沟［3］狗苟［5］够构购勾
kʰ	［1］抠眍［3］口［5］扣寇
x	［2］侯喉猴瘊［3］吼［5］后候
ɣ	［1］欧瓯殴［2］牛-［3］藕偶呕［5］沤怄
#iɐu	
m	［5］谬
t	［1］丢
n	［2］牛=［3］纽扭
l	［2］流刘留榴硫琉［3］柳［5］溜{～冰}馏{～馍馍}
ʨ	［1］揫［3］酒［5］就
ʨʰ	［1］秋鞦［2］囚
ɕ	［1］修羞［5］秀绣宿{星～}锈袖嗅
c	［1］鸠阄纠究［3］九久韭灸［5］臼舅咎救旧柩
cʰ	［1］丘［2］求球仇{姓}
ç	［1］休［3］朽［5］嗅
Ø	［1］忧优悠幽［2］尤邮由油游犹［3］有友酉莠［5］诱又右祐柚釉幼
#ai	
p	［1］蓖杯碑卑悲北=［5］贝倍辈背焙背{～诵}臂-{膀～}备=
pʰ	［1］胚坯［2］培陪赔裴［5］沛配佩辔
m	［2］梅枚媒煤眉=楣霉［3］每美［5］妹眛媚墨
f	［1］非=妃［3］翡［5］废=疿
n	［5］内
s	［2］谁-［3］水-［5］睡-
#uai	
t	［1］堆［5］对碓队兑
tʰ	［1］推［3］腿［5］退=蜕褪
l	［2］雷［3］傫累{～积}垒［5］累{连～}类泪
ts	［1］追锥□{圪～：蹲}［2］贼［3］嘴［5］罪最缀赘醉坠
tsʰ	［1］蛆-崔催吹炊［2］垂槌锤［3］娶-［5］脆翠粹
s	［1］虽［2］随髓绥谁=［3］水=［5］婿-碎岁税睡-遂隧穗
z	［3］蕊［5］芮{姓}锐瑞
k	［1］规龟轨归［3］诡癸鬼［5］鳜圭闺桂跪柜贵
kʰ	［1］盔亏窥［2］魁奎逵葵［3］傀［5］刽溃愧
x	［1］恢灰挥辉徽［2］回茴［3］悔毁［5］桧{秦～}贿汇晦会绘惠慧秽讳
Ø	［1］危威微=［2］桅为{作～}维惟唯违围［3］伪萎委尾=伟苇纬猬［5］卫餧为{～什么}位魏畏慰胃谓汇
#ei	
p	［2］白［3］摆［5］拜败伯
pʰ	［2］排牌［5］派
m	［2］埋［3］买［5］卖迈
t	［1］呆［3］逮［5］待怠戴贷代袋带大{～黄}
tʰ	［1］胎［2］台抬苔［5］态太泰
n	［3］乃奶［5］耐奈
l	［2］来赖癞［3］□{不小心碰到尖锐的物体，如：在刀口上～了一下}
ts	［1］灾栽斋［3］宰载宅［5］在再债寨
tsʰ	［1］钗差{出～}［2］猜才材裁豺［3］彩采睬［5］蔡
s	［1］腮鳃筛［3］甩［5］赛晒
k	［1］该［3］改［5］概溉盖丐
kʰ	［1］开［3］凯慨楷
x	［2］孩鞋-［3］海［5］亥害骇
ɣ	［1］挨{～近}［2］捱［3］矮隘［5］碍艾哀埃爱霭
#uei	
ts	［5］拽
tsʰ	［3］揣{～度}
s	［1］衰摔［3］甩=［5］帅率{～领}蟀
k	［1］乖［3］拐［5］怪
kʰ	［3］□{折断，把筷子～折}［5］块会{～计}快筷
x	［2］怀槐淮［5］坏
Ø	［1］歪［3］崴{～脚}［5］外
#ən	
ts	［1］针斟珍真贞侦正{～月}征［3］枕诊疹整［5］枕镇阵振震郑正{～常}政
tsʰ	［1］抻［2］沉陈尘辰晨臣澄橙呈程成城诚盛{～满}［3］逞［5］趁
s	［1］深身申娠声［2］神［3］沈审婶［5］甚葚=渗肾慎圣盛{～典}
z	［2］壬任{姓}纫人仁［3］忍［5］刃认靭任{信～}
#in	
p	［1］彬宾槟冰兵［3］禀丙禀柄饼［5］殡鬓病并並
pʰ	［1］拼［2］贫频凭平坪评瓶屏萍［3］品［5］聘
m	［2］民鸣明名铭［3］眠闽悯敏皿［5］命
t	［1］丁钉{铁～}疔订{～馍馍}［3］顶鼎［5］钉{～住}定
tʰ	［1］听{～见}厅［2］亭停廷庭蜓［3］艇挺［5］听{～势}
n	［2］凝宁{～愿}拧［5］宁{～可}佞硬{真～}
l	［1］拎［2］林淋-临邻鳞燐陵凌菱灵零铃伶翎［3］檩领岭［5］赁葚令另
ʨ	［1］侵浸津精晶睛［3］尽{～好的吃}井［5］尽{～量}进晋静靖净
ʨʰ	［1］亲清青蜻［2］秦情晴［3］寝请倾顷［5］亲{～家}
ɕ	［1］心辛新薪兴{～旺}星腥馨芯［2］寻-行［3］省{反～}醒［5］兴{高～}性姓信
c	［1］今金禁襟锦巾斤筋茎京荆惊鲸颈经［3］紧仅谨景警［5］禁{～止}近劲境敬镜竞劲
cʰ	［1］钦轻［2］琴禽擒勤芹［5］庆
ç	［1］欣［2］形型刑［5］衅幸
Ø	［1］音阴因姻湮殷鹰莺鹦樱英婴缨［2］吟淫银蝇迎盈赢萤营茔［3］饮{～料}寅引隐尹影颖［5］饮{～牲口}荫印应映
#yn	
l	［2］淋-
ʨ	［5］俊
ʨʰ	［1］皴
ɕ	［2］寻=荀旬循巡［3］笋榫损［5］讯逊迅殉
c	［1］均钧君军［3］菌［5］郡
cʰ	［2］群裙
ç	［1］熏勋［5］训=
Ø	［1］晕［2］匀云［3］允［5］熨韵运孕
#ɑŋ	
p	［1］奔{～跑}锛帮邦浜［3］本榜绑膀［5］笨奔{～头}谤傍棒蚌
pʰ	［1］喷{～侃}［2］盆滂旁螃磅［5］喷{香～～的}胖
m	［1］牤{～牛：公牛}［2］门忙芒茫［3］莽蟒［5］闷
f	［1］分芬纷方肪芳［2］焚坟妨房防［3］粉仿纺访［5］粪奋愤忿份放
t	［1］当{～时}登灯［3］党挡等［5］荡宕当{～作}凳镫邓澄{水浑，～一～}
tʰ	［1］吞汤腾熥［2］堂棠螳唐糖塘謄藤疼［3］倘躺［5］烫趟
n	［2］囊能［3］攮［5］嫩齉{鼻子不通气}
l	［2］郎廊狼螂楞［3］朗冷［5］浪
ts	［1］赃脏曾{姓}增争筝睁［2］□{～吃：白白吃}［3］掌［5］葬藏{西～}障瘴赠综{织布机上的装置}
tsʰ	［1］参{～差}仓苍昌撑［2］岑藏{隐～}常偿曾{～经}层［3］厂［5］畅唱倡蹭牚
s	［1］商伤僧生牲笙甥［2］森参{人～}桑丧{婚～}尝裳［3］嗓赏晌省［5］丧{～失}上尚
z	［1］扔［2］瓤［3］壤攘嚷［5］让
k	［1］跟根冈岗刚纲钢缸更{三～半夜}庚羹耕［3］埂耿□{涂抹：～到身上}［5］杠港更{～加}
kʰ	［1］康糠慷坑［3］恳垦肯［5］抗炕扛
x	［1］夯亨［2］痕恒衡行{～列}航杭黄-{～瓜}横={～直}［3］很［5］恨杏横{蛮～}
ɣ	［1］恩肮［2］昂［3］哽［5］硬{真～}
#iɑŋ	
n	［2］娘=［5］酿
l	［2］良凉量{丈～}粮梁粱［3］两［5］亮谅辆量{数～}
ʨ	［1］将{～来}浆桨豇张章樟［3］蒋奖长{生～}涨［5］酱将{～领}匠丈仗杖帐账胀
ʨʰ	［1］枪［2］墙长{～短}肠场{打～}［3］抢场{～地}
ɕ	［1］相箱厢湘襄镶［2］详祥［3］想饷［5］象像橡相
c	［1］疆僵薑礓缰姜江［3］讲［5］降{下～}强{倔～}虹糨
cʰ	［1］羌腔［2］强{～大}
ç	［1］香乡［2］降{投～}［3］享响［5］向项巷
Ø	［1］央秧殃洋［2］羊杨阳扬疡［3］仰养痒［5］样
#uɑŋ	
t	［1］敦墩蹲［5］饨囤沌盾顿钝遁
tʰ	［2］屯豚臀［5］退-{往后～～}
l	［2］论{～语}仑伦沦轮［5］论{议～}
ts	［1］尊遵庄装桩［3］准［5］幢撞
tsʰ	［1］村春椿［2］存唇纯醇床［3］蠢闯［5］寸
s	［1］孙疮霜孀窗双{一～}［3］爽［5］顺舜双{～生}
z	［2］□{吃，含贬义}［5］润闰
k	［1］光［3］滚广［5］棍逛
kʰ	［1］昆坤匡筐眶［2］狂［3］龈捆［5］困旷况矿
x	［1］昏婚荒慌［2］魂馄浑馄黄=簧皇蝗横-{～直}［3］谎晃［5］混{～沌}
Ø	［1］温瘟汪［2］文纹闻蚊亡芒{麦～}王［3］稳吻刎网枉往［5］问忘妄望旺
#uŋ	
p	［1］崩迸［5］蹦嘣
pʰ	［1］烹碰{～着熟人了}［2］朋彭膨棚篷蓬［3］捧［5］碰{俩车～上了}
m	［1］懵［2］萌盟蒙模谋［3］猛某亩母拇{大～指}［5］孟梦牧暮幕墓募幕
f	［1］风枫疯封蜂缝{～衣服}［2］丰冯峰锋逢［3］讽［5］凤奉俸缝{一条～}
v	［1］翁［5］瓮
t	［1］东冬［3］董懂［5］冻栋动洞
tʰ	［1］通［2］同铜桐童瞳［3］筒捅桶统［5］痛
n	［2］农脓浓奴［3］努［5］弄怒
l	［2］笼=聋隆［3］拢陇
ts	［1］中{～间}忠终钟盅［3］种{～类}肿［5］中{射～}仲众重{～要}种{～树}
tsʰ	［1］聪匆葱充冲［2］丛虫崇从重{～复}［3］宠［5］铳
s	［1］松嵩［2］怂［5］送宋诵颂讼
z	［2］荣戎绒融［3］茸
k	［1］公蚣工功攻弓躬宫恭供{～不起}［3］巩拱［5］贡共供{～养}
kʰ	［1］空{～～的}［3］孔恐［5］控空{有～}
x	［1］轰烘［2］虹弘宏红洪鸿［3］哄{～骗}［5］哄{趁～}
#yŋ	
l	［2］龙［3］垄
ʨ	［1］棕鬃宗踪［3］总［5］粽纵
ɕ	［1］兄鬆［2］熊雄［5］训-
cʰ	［2］穷
ç	［1］胸［2］凶
Ø	［1］雍庸拥［2］容蓉［3］勇涌永泳咏［5］用
#ɐʔ	
p	［7］八拨膊博剥驳百柏掰
pʰ	［7］泼泊朴迫拍扑仆瀑卜
m	［7］抹{～布}末沫抹莫膜寞摸默陌麦脉拇{小～指头}
f	［7］法发{～书：分发}
t	［7］答搭瘩达得德
tʰ	［7］他踏拓塔榻塌溻獭特
n	［7］那纳
l	［7］攋{弃去，把～}腊蜡辣肋勒
ts	［7］杂-{～格}折劄眨扎哲蜇浙则泽择窄摘责只-{一～鞋}
tsʰ	［7］擦插察彻撤侧测厕拆策册
s	［7］摄涩萨杀设虱塞色靸{穿：把布鞋后根踩在脚底}
z	［7］热日若弱
k	［7］合{十合一升}鸽割葛各阁搁胳格革隔
kʰ	［7］可-{～是}咳磕渴刻克客
x	［7］喝{～水}合喝{～彩}郝黑赫吓核{审～}
ɣ	［7］额恶{善～，～心}□{梦魇：鬼～的}
#iɐʔ	
p	［7］别鳖憋
pʰ	［7］撇
m	［7］灭
t	［7］跌
tʰ	［7］帖贴铁
n	［7］聂镊蹑捏
l	［7］猎列烈裂略
ʨ	［7］接捷节截-结洁
ʨʰ	［7］切
ɕ	［7］血
c	［7］夹裌甲胛挾{～菜}杰脚
cʰ	［7］掐劫怯却
ç	［7］瞎辖歇蝎
Ø	［7］也-{～是}压叶页业孽-{作～}噎
#uɐʔ	
t	［7］掇夺
tʰ	［7］脱托
l	［7］落烙骆洛络乐
ts	［7］拙作昨桌卓浊捉
tsʰ	［7］撮{～灰}
s	［7］刷说索
k	［7］聒刮郭
kʰ	［7］括阔廓扩
x	［7］豁活-霍藿获
Ø	［7］袜握沃
#yɐʔ	
l	［7］劣掠
ʨ	［7］绝
ʨʰ	［7］鹊
ɕ	［7］雪削薛
c	［7］决诀䦆觉{知～}角
cʰ	［7］缺确
ç	［7］学-{～费，～校}
Ø	［7］悦阅月越虐疟约药钥跃{跳～}岳乐{音～}
#əʔ	
p	［7］不北-{河～镇，地名}
m	［7］没木目穆
f	［7］副复缚福幅蝠腹覆服伏发{打～，头～}
t	［7］的
ts	［7］执汁秩质稙直值织职殖植
tsʰ	［7］尺吃
s	［7］佘{姓}湿什拾十实失室食蚀识式殖植适释石
z	［7］人{～家}
k	［7］圪给
#iəʔ	
p	［7］笔毕必逼璧闭壁
pʰ	［7］匹僻劈
m	［7］密蜜
t	［7］的{目～}滴敌狄
tʰ	［7］踢剔
l	［7］立粒栗力历
ʨ	［7］集{～合}辑疾即积迹脊籍藉绩
ʨʰ	［7］缉{～鞋口}七漆戚
ɕ	［7］习袭悉膝息熄媳惜昔席{主～}锡析
c	［7］急级及吉极击激
cʰ	［7］泣乞
ç	［7］吸
Ø	［7］乙一益役
#uəʔ	
t	［7］督毒读
tʰ	［7］突秃
l	［7］律{法～}率{机～}鹿禄六陆录绿{～的}
ts	［7］啄族竹筑逐祝粥烛嘱触
tsʰ	［7］鼠-{老～}帚出畜促
s	［7］术述速熟粟赎束属
z	［7］入辱褥
k	［7］骨国谷
kʰ	［7］窟哭酷
x	［7］忽或惑
Ø	［7］物屋
#yəʔ	
l	［7］捋绿{～的}
ʨ	［7］掬足
ʨʰ	［7］菊焌黢
ɕ	［7］肃畜{～牧}宿俗
c	［7］橘局锔
cʰ	［7］屈麴曲
Ø	［7］哕域玉狱
