#参考资料	《安徽舒城方言语音研究》《舒城县志》
#调值	[1]阴平31 [2]阳平34 [3]上声213 [5]去声55 [7a]高入5 [7b]低入24
#ɿ	
#əɯ	
t	[1]兜都[3]斗抖陡蚪[5]豆逗窦痘
tʰ	[1]偷[2]头投[3]敨[5]透
n	[2]楼娄[3]篓搂[5]漏陋
ts	[1]邹诌[3]走[5]奏皱揍
tsʰ	[2]愁[5]凑
s	[1]搜艘嗖馊[3]叟[5]嗽瘦
tʂ	[1]周舟州洲[3]肘帚[5]纣昼宙骤咒
tsʰ	[1]抽[2]绸稠筹仇酬[3]丑[5]臭
ʂ	[1]收[3]手首守[5]受兽寿授售
ʐ	[1]瓯欧殴[2]柔揉蹂[3]藕呕偶[5]肉沤怄
k	[1]勾钩沟[3]狗苟枸[5]够构购
kʰ	[1]抠眍[3]口[5]叩扣寇
x	[1]齁[2]侯喉猴瘊[3]吼[5]厚后
#iəɯ	
t	[1]丢
n	[1]溜妞榴[2]流刘留榴硫琉牛馏浏瘤丛[3]纽扭柳
tɕ	[1]纠鸠揪阄[3]酒九久韭灸[5]就臼舅咎救究旧枢
tɕʰ	[1]秋丘[2]囚泅求球仇{姓}
ɕ	[1]修羞休[3]朽[5]秀绣宿{星~}锈袖嗅
Ø	[1]幽忧优悠[2]尤邮由油游犹[3]有友酉[5]幼诱又右枯釉
#æ̃	
p	[1]班斑扳[3]板版拌[5]扮瓣
pʰ	[1]攀[5]绊[非本字]盼
m	[2]埋[5]慢漫
f	[1]帆藩翻番[2]凡烦繁矾反[3]返[5]范犯泛贩饭
t	[1]耽担{~任}唯丹单[3]胆掸[5]淡担旦蛋但弹{子~}诞
tʰ	[1]贪坍摊滩[2]潭谭谈痰弹{~琴}坛檀[3]毯坦[5]探炭碳叹
n	[2]南男蓝篮难兰栏拦[3]览揽榄缆懒[5]难{落~}烂滥
ts	[1]簪[2]咱[3]攒[5]暂
tsʰ	[1]参餐[2]蚕惭残[3]惨[5]灿
s	[1]三[3]散伞[5]散{分~}
tʂ	[1]占{~卜}瞻毡[3]斩盏展[5]站蘸栈战绽{破~}袒
tʂʰ	[1]搀掺[2]馋谗蟾蝉禅[3]产铲
ʂ	[1]杉衫删山珊[3]陕[5]疝膳善
ʐ	[1]庵安鞍[2]燃然[5]暗岸案按
k	[1]甘柑泔尴干肝间{房~}竿[3]感敢橄擀[5]赣干{~活}
kʰ	[1]堪看刊勘[3]坎砍槛[5]看{~见}
x	[1]酣憨鼾[2]含函寒韩[3]喊罕[5]撼憾汉汗焊翰旱
#iæ̃	
n	[3]两
#uæ̃	
tʂ	[5]赚
ʂ	[1]闩栓拴[5]涮
k	[5]惯
x	[2]还{~原}环
Ø	[1]弯湾[2]玩[3]晚[5]腕万
#ən	
p	[1]捹奔[3]本苯[5]笨奔{~头}
pʰ	[1]喷[2]盆
m	[1]闷[2]门扪
f	[1]分芬纷[2]焚坟[3]粉[5]愤忿粪奋份
t	[1]敦墩蹲登灯[3]等[5]盾瞪沌顿吨钝遁凳邓澄
tʰ	[1]吞[2]屯豚饨臀疼藤腾誊[5]退
n	[2]论{~语}伦轮沦仑能[3]冷暖[5]嫩论{议~}楞愣
ts	[1]尊遵曾{姓}增争筝睁臻[3]怎[5]憎赠挣{~钱}
tsʰ	[1]村撑参{~差}[2]存层曾[3]忖[5]衬寸蹭
s	[1]孙僧生甥牲森参[3]损笋省[5]疹渗逊
tʂ	[1]珍真征蒸贞侦正{~月}针斟[3]诊疹拯整枕[5]镇阵振震证症郑正政
tʂʰ	[1]称[2]陈尘辰晨臣澄橙乘承程呈成城诚盛{~饭}沉[3]惩[5]趁称{相~}秤
ʂ	[1]身申伸娠升声深[2]神绳[3]审沈婶[5]肾慎剩胜圣盛甚甚
ʐ	[1]仍扔恩[2]人仁壬任{姓}[3]忍[5]刃认任
k	[1]跟根更{五~}庚羹耕[3]梗埂哽耿粳[5]亘艮更
kʰ	[1]坑[3]恳垦肯
x	[1]哼亨[2]痕恒衡[3]很狠[5]恨
#iən	
p	[1]彬宾殡槟冰兵[3]丙秉柄饼禀[5]鬓病并
pʰ	[1]拼[2]贫频凭平坪评瓶屏萍[3]品[5]聘
m	[2]民鸣明名铭[3]闽悯阂敏抿皿[5]命
t	[1]丁钉盯[3]顶鼎[5]定钉订锭
tʰ	[1]听厅汀[2]亭停廷庭婷霆蜓[3]艇挺[5]听
n	[1]拎[2]鳞邻嶙陵凌菱凝宁灵零铃林淋临[3]领岭凛擦[5]吝令另宁{~可}赁
tɕ	[1]津巾斤筋京荆惊鲸精晶睛经今金禁{~不住}襟[3]紧仅谨景警井颈锦[5]晋尽近劲茎境敬竟镜竞静靖净径浸禁{~止}
tɕʰ	[1]亲卿清轻青蜻倾侵钦[2]秦芹勤擎情晴禽擒琴[3]请顷寝[5]庆磐沁
ɕ	[1]辛新薪欣兴{~旺}星腥心[2]行形型刑[3]省{反~}醒擤[5]信兴杏幸性姓
Ø	[1]因姻殷鹰蝇莺鹦樱婴缨音阴荫[2]银寅迎盈赢营莹萤莹荧吟淫[3]引隐影颖饮[5]印胤映
#uən	
tʂ	[1]谆[3]准
tʂʰ	[1]椿春[2]醇
ʂ	[2]纯[3]吮[5]舜顺瞬
ʐ	[5]润闰
k	[3]滚[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[1]昏婚荤[2]魂浑馄[3]混{相~}[5]混
Ø	[1]温瘟[2]文纹蚊闻[3]稳吻刎[5]问
#yən	
tɕ	[1]均钧君军[3]菌[5]俊郡骏竣峻浚
tɕʰ	[2]裙群唇
ɕ	[1]熏勋[2]旬荀循巡寻[5]迅殉训讯顺｛白读｝
Ø	[1]晕[2]匀云[3]允泳永[5]熨韵运孕
#ɑ̃	
p	[1]帮邦[3]榜绑膀[5]谤傍棒磅蚌
pʰ	[2]旁螃庞傍磅[5]胖
m	[2]忙芒茫盲[3]莽蟒
f	[1]方芳坊[2]房防妨肪[3]纺仿访[5]放
t	[1]档挡当[3]党挡[5]当{典~}宕荡凼
tʰ	[1]汤[2]唐糖塘堂棠螳搪[3]躺倘[5]烫趟
n	[1]囊郎狼廊螂[3]朗[5]浪晾
ts	[1]赃减脏[5]葬藏{西~}脏{内~}
tsʰ	[1]仓苍舱沧[2]藏
s	[1]桑丧{婚~}[3]嗓操[5]丧
tʂ	[1]张章樟[3]长涨掌[5]丈杖仗帐账胀障瘴
tʂʰ	[1]昌娼[2]长肠常尝偿[3]厂场[5]畅唱倡
ʂ	[1]伤商裳[3]赏晌[5]上尚
ʐ	[2]瓤[3]攘壤嚷[5]让
k	[1]冈岗刚钢纲缸肛[3]港[5]杠
kʰ	[1]康糠[2]扛[3]慷[5]抗炕
x	[1]夯[2]行航杭
Ø	[1]肮[2]昂[5]盎
#iɑ̃	
n	[2]娘良凉量梁粱[3]两仰[5]酿亮谅辆量
tɕ	[1]疆僵姜将浆江[3]蒋奖桨讲[5]酱将{大~}匠降虹犟
tɕʰ	[1]羌枪腔[2]强墙蔷详藏[3]强{勉~}抢[5]呛
x	[1]香乡相{互~}箱厢湘襄镶[2]降{投~}[3]享响想饷[1]象像橡相{~貌}向项巷
Ø	[1]秧央殃[2]羊洋烽杨阳扬疡[3]养痒[5]样漾恙
#uɑ̃	
tʂ	[1]庄装桩[5]壮状撞
tʂʰ	[1]疮窗[2]床[3]闯[5]创
ʂ	[1]霜孀双[3]爽
k	[1]光胱[3]广[5]逛
kʰ	[1]匡筐框眶[2]狂[5]矿况旷
x	[1]荒慌[2]黄簧皇蝗[3]晃谎[5]晃
Ø	[1]汪[2]亡王[3]枉往网惘[5]旺忘望妄
#əŋ	
p	[1]崩绷般搬[5]蹦伴拌半
pʰ	[1]烹攀潘[2]篷蓬棚彭膨朋[3]捧[5]叛判碰
m	[1]懵[2]蒙盟萌蛮瞒馒[3]猛满[5]梦孟漫
f	[1]风枫疯丰封峰蜂锋[2]冯逢缝[3]讽[5]凤奉缝{~隙}
t	[1]东冬端[3]董懂短[5]动冻栋洞断锻段缎
tʰ	[1]通[2]同铜桐筒童瞳团[3]桶捅[5]痛
n	[1]咙[2]笼聋农脓隆浓陇[3]拢陇垅笼卵[5]弄乱
ts	[1]棕鬃宗综踪钻[3]总纂[5]粽纵钻
tsʰ	[1]聪忽葱囱汆[2]丛从[5]篡窜
s	[1]松篙酸[3]怂耸[5]送宋诵颂讼算蒜
tʂ	[1]中忠终钟盅沾粘[3]冢种肿[5]中仲众重种颤
tʂʰ	[1]充冲舂[2]虫崇重{~复}缠[3]宠[5]铳
ʂ	[1]扇[3]闪[5]扇
ʐ	[2]戎融茸[3]冗软阮
k	[1]公蛤工功攻弓躬宫恭供[3]汞拱巩[5]贡供共
kʰ	[1]空[3]孔恐[5]控空{~缺}
x	[1]烘轰[2]红洪鸿宏弘[3]哄
Ø	[1]翁嗡[5]瓮
#iəŋ	
tɕ	[3]炯灵迥
tɕʰ	[2]穷琼
ɕ	[1]胸凶兄匈[2]熊雄
Ø	[1]雍癣庸痈佣[2]雄绒熔容蓉荣[3]甬勇涌蛹俑拥永泳踊[5]用
#uəŋ	
tʂ	[1]专砖[3]转{~折}[5]篆转传{~纪}
tʂʰ	[1]穿川[2]船传椽[3]喘[5]串
k	[1]关官棺观冠[3]管馆[5]贯灌罐冠{~军}
kʰ	[1]宽[3]款
x	[1]欢[3]缓[5]患宦幻换唤焕
Ø	[1]豌[2]完丸[3]碗皖[5]玩{古~}
#ĩ	
p	[1]鞭编边[3]贬扁匾[5]辨辩变汴便辫遍
pʰ	[1]篇偏[2]便{~宜}[5]骗片遍{~地}
m	[1]绵棉眠[3]免勉娩缅[5]面
t	[1]掂颠[3]点典碘[5]店电殿奠佃垫
tʰ	[1]添天[2]甜田填[3]舔腆
n	[1]拈[2]廉镰廉鲇连联年怜莲[3]敛脸碾撵[5]硷念炼练恋
tɕ	[1]监尖歼兼艰间奸煎笺肩坚[3]减嫌检俭[5]舰鉴渐剑谏涧件箭溅贱饯建健键见
tɕʰ	[1]签谦迁千牵铅[2]钳钱乾虔前黔[3]遣浅[5]欠歉
ɕ	[1]先[2]咸衔嫌闲涎贤[3]险显[5]陷馅限线宪献现县
Ø	[1]淹阉焉烟咽[2]严炎盐阎檐颜延筵言研沿[3]掩魔俨眼演衍[5]验厌艳焰雁晏谚堰砚燕宴
#yĩ	
tɕ	[1]捐娟[3]卷[5]圈眷绢倦
tɕʰ	[1]圈[2]全痊泉拳权颧[3]犬[5]券劝
ɕ	[1]喧宣鲜轩掀仙玄悬旋弦[3]选癣[5]眩漩旋羡
Ø	[1]渊冤[2]袁辕园援元原源圆员缘[3]远[5]怨愿院
#əʔ	
p	[7a]不
pʰ	[7a]扑瀑仆
m	[7a]幕莫木目穆牧
f	[7a]佛福幅蝠腹模覆服伏复
t	[7a]独读笃犊督
tʰ	[7a]突秃
n	[7a]肋鹿禄六绿氯录勒
ts	[7a]卒族足
tsʰ	[7a]促
s	[7a]速肃宿缩俗续
tʂ	[7a]掷炙值直植殖织职质秩侄执汁
tʂʰ	[7a]斥赤尺
ʂ	[7a]适释石食蚀识饰失室实湿十什拾
ʐ	[7a]日入
x	[7a]黑
#iəʔ	
p	[7a]壁璧碧逼弼笔必毕
pʰ	[7a]劈僻辟匹
m	[7a]觅蜜密
t	[7a]的滴嫡
tʰ	[7a]踢剔
n	[7a]溺历逆匿力栗立笠粒律率沥
tɕ	[7a]绩寂击激积脊跻籍藉极即螂吉疾嫉集辑急级及
tɕʰ	[7a]戚吃七漆泣
ɕ	[7a]锡析惜昔席夕息熄媳悉膝习袭吸
Ø	[7a]役疫亦易译液腋益翼抑一乙逸
#uəʔ	
tʂ	[7a]浊祝粥逐轴竹筑触
tʂʰ	[7a]出
ʂ	[7a]赎束属熟淑叔述术
ʐ	[7a]入肉
k	[7a]谷骨
kʰ	[7a]酷哭窟
x	[7a]忽
Ø	[7a]沃屋握莴物勿
#yəʔ	
tɕ	[7a]局菊掬橘
tɕʰ	[7a]曲屈
ɕ	[7a]蓄畜业恤戌
Ø	[7a]狱欲浴育郁域
#ɐʔ	
p	[7b]八拔钵拨勃博泊薄剥驳北白百伯柏
pʰ	[7b]泼魄拍迫
m	[7b]末沫膜寞墨默陌麦
f	[7b]乏法伐筏罚发
t	[7b]答搭沓达夺德掇得
tʰ	[7b]踏塔塌塌脱托特
n	[7b]纳腊蜡捺辣诺落烙骆洛络乐
ts	[7b]杂撮作泽择窄摘责宅
tsʰ	[7b]擦测侧拆册策厕
s	[7b]萨撒瑟索塞色
tʂ	[7b]眨扎闸炸折褶札铡哲辙折浙
tʂʰ	[7b]插察撤撤
ʂ	[7b]摄涉杀舌设折{~本}
ʐ	[7b]热恶
k	[7b]鸽葛割各阁搁胳格革隔角甲
kʰ	[7b]磕刻克客榷
x	[7b]合喝盒鹤赫霍
Ø	[7b]鄂额扼
#iɐʔ	
p	[7b]憋别鳖
pʰ	[7b]撇
m	[7b]蔑灭
t	[7b]跌碟碟蝶叠谍
tʰ	[7b]铁帖{请~}贴
n	[7b]劣捏列咧烈裂孽镊聂{姓}蹑猎虐略掠
tɕ	[7b]结洁节截揭杰挟劫接捷甲夹
tɕʰ	[7b]切怯恰洽
ɕ	[7b]屑歇瞎辖胁狭峡
Ø	[7b]噎曳业叶页鸭押压掖
#uɐʔ	
tʂ	[7b]镯捉桌卓压浊酌着拙
tʂʰ	[7b]戳绰
ʂ	[7b]朔勺说刷
ʐ	[7b]若弱
k	[7b]藐国郭刮
kʰ	[7b]廓扩阔括
x	[7b]获或惑滑猾活豁
Ø	[7b]袜挖
#yɐʔ	
tɕ	[7b]觉{知~}角脚爵掘倔诀决厥绝
tɕʰ	[7b]确却鹊雀缺
ɕ	[7b]学削血穴雪薛
Ø	[7b]岳乐{音~}药跃钥约月越粤曰悦阅
