星宿	ɕin1 ɕiɵu2	星星
饭蚊子	fæ5̃ uən2 tsɿ1	苍蝇
地虱子	ti5 sei2 tsɿ3	鼠妇
地虱子	ti5 sæ̃2 tsɿ3	鼠妇
地贡雷	ti5 koŋ5 luei2	
叫鸡子	tɕiɐɤ5 tɕi1 tsɿ3	蟋蟀
盐老水	iæe2 lɐɤ3 suei3	蝙蝠
蜇蛛	tsei2 tsu1	蜘蛛
蜇蛛	tsæ̃2 tsu1	蜘蛛
蛐蟮	tɕʰu2 sæ̃5	蚯蚓
雷公虫	luei2 koŋ1 tsʰoŋ2	蜈蚣
杆杆闹	kæ̃3 kæ̃3 lɐɤ5	臭虫
格蚤	ke2 tsɐɤ3	跳蚤
格蚤	kæ2 tsɐɤ3	跳蚤
偷油婆	tʰɵu1 ɵu2 pʰo2	蟑螂
叫驹子	tɕiɐɤ5 tɕy1 tsɿ1	螳螂
刺杯药	tsʰɿ5 pei1 o2	蝉
打屁虫	ta3 pʰi5 tsʰoŋ2	臭大姐，臭瓢虫
春官	tsʰun1 kuæ̃1	蜻蜓
点灯猫猫	tiɛ̃3 tən1 mɐɤ1 mɐɤ1	蜻蜓
癞疙宝麻	læe5 ke2 pɐɤ3 ma2	蟾蜍
马安桥	ma3 ŋæ̃1 tɕʰiɐɤ2	螳螂
克麻	ke2 ma2	青蛙
盘嘎	pʰæ̃2 ka2	螃蟹
偏偏	pʰiɛ̃1 pʰiɛ̃1	厢房
磉礅	saŋ tən	垫在房柱下面起支撑作用的石礅，有时指矮胖或老站着不动、不灵活之人。例：你看他啊，像个～。
街沿	kæe1 iaŋ2	屋檐下的过道
天楼地整	tʰiɛ̃1 lɵu2 ti5 tsən3	上下皆装有楼板
灶当门	tsɐɤ5 taŋ1 mən2	灶前后生火的地方
茅斯	mɐɤ2 sɿ1	厕所
圈圈	tɕuæe5 tɕuæe5	统指关牛、马等家畜的房子
鸡罩	tɕi1 tsɐɤ5	竹子编的，罩鸡的器具
八仙桌	pa2 ɕiæe1 tso1	大桌子
案板	ŋæ̃5 pæ̃3	一种狭长的桌
踏脚板凳	tʰa2 tɕio2 pæ̃3 tən5	旧式床前供上下床踏脚或放物用的凳子，由娘家送
坐月板凳	tso5 y2 pæ̃3 tən5	
草坉	tsʰɐɤ3 tən1
铺层	pʰu1 tsʰən2	床上用品，铺盖
卧单	o5 tæ̃2	床单
小坑笼	ɕiɐɤ3 kʰaŋ5 loŋ2	在里面加炭后能使手取暖的小炉子
灰笼	xei1 loŋ2	农村的取暖用具，用竹篾编成筐，筐内装取暖的土钵，便于携带
烘笼	xoŋ1 loŋ2农村的取暖用具，用竹篾编成筐，筐内装取暖的土钵，便于携带
铁夹	tʰi2 ka2	火钳
阳尘	iaŋ2 tsʰən2	
锅烟煤	ko1 iɛ̃1 mei2
牛五锅	liu2 u3 ko1	煮猪潲的大锅
牛三锅	liu2 sæ̃1 ko1	比牛五锅小
六三碗	lu2 sæ̃1 uæ̃1	比大碗小
檺竿	xaŋ2 kæ̃3	筷子
推刨	tʰuei1 pʰɐɤ5木匠用的工具
推棒	tʰuei1 paŋ5	
刨子	pɐɤ5 tsɿ3	
猫头	mɐɤ1 tʰɵu2	斧子
烫板	tʰaŋ5 pæ̃3	瓦工用来抹墙的木板
抵针	ti3 tsən1	妇女用于打鞋底的顶针，将其套在手指上，以免伤手
挖屎瓢瓢	ua2 sɿ3 pʰiɐɤ2 pʰiɐɤ2	耳挖子
耳屎瓢瓢	ɚ3 sɿ3 pʰiɐɤ2 pʰiɐɤ2	耳挖子
搓衣板	tsʰo1 i1 pæ̃3	洗衣板
捶衣棒	tsʰuei1 i1 paŋ5	洗衣服用的
出老棍	tsʰu2 lɐɤ3 kən5	中式的拐杖
解手纸	kæe3 sɐɤ3 tsɿ3	卫生纸
香雷钵钵	ɕiaŋ1 luei2 po1 po1	用于祭祀烧香的器具，喻指祖先。例：你讨卵闲，我把你家～打烂起。
男边家	læ̃2 pʰiɛ̃1 tɕia1	成年男人
女边家	ly3 pʰiɛ̃1 tɕia1	妇女
娃娃家	ua2 ua2 tɕia1	泛指小孩，有时带有贬意，喻指不懂事的人。例：你～，懂懒样事勒。
娃娃仔	ua2 ua2 tsæe3	男孩
嫩仔仔	lən5 tsæe3 tsæe3	
妹妹仔	mei5 mei5 tsæe3	女孩
妹妹家	mei5 mei5 tɕia1 	女孩
孃孃家	liaŋ1 liaŋ1 tɕia1	未结婚女性
老仔仔	lɐɤ3 tsæe3 tsæe3	老头，有时带贬意
老妑妑	lɐɤ3 pʰa1 pʰa1	老太婆
老辈子	lɐɤ3 pei5 tsɿ3	泛指长辈
矮辈子	ŋæe3 pei5 tsɿ	3泛指晚辈
国人	kuæ̃2 zən2	自己人
各人	ko2 zən2	
老庚	lɐɤ3 kən1	同年同月同日生之人
同年	tʰoŋ2 liɛ̃2	
姑孃	ku1 liaŋ1	专指未结婚的女性
老姑孃	lɐɤ3 ku1 liaŋ1	大龄未婚女性
石女	sɿ2 ly3	两性人
骚屄	sɐɤ1 pi1	性情放荡的女性
私娃仔	sɿ1 ua2 tsæe3	私生子
狗夹夹	kɵu3 tɕia2 tɕia2	吝啬鬼
告花子	kɵu5 xua1 tsɿ3	乞丐
烂仔	læ̃5 tsæe3	流氓，有时用于俚称
二流子	ɚ5 liu2 tsɿ1	
抢匪	tɕʰiaŋ3 fei	3强盗
棒老二	paŋ5 lɐɤ3 ɚ5	
扒老二	pʰa2 lɐɤ3 ɚ5	扒手
戳锅漏	tsʰo2 ko1 lɵu5	存心或总是把事情搞坏的人
门坎猴	mən2 kʰæ̃3 xɵu2	在家称霸王，在外软弱怕事人
毛三教	mɐɤ2 sæ̃1 tɕiɐɤ5	毛手毛脚的人
宝器	pɐɤ3 tɕʰi5	傻里傻气的人
憨包	xæ̃1 pɐɤ1	傻里傻气的人
脓包	loŋ2 pɐɤ1	傻里傻气的人
闷龙	mən5 loŋ2	傻里傻气的人
甩包	suæe1 pɐɤ1	无用的人
犟牛	tɕiaŋ5 liu2	对固执、死心眼人的贬称
横牛	xən2 liu2	
祖祖	tsu3 tsu3	泛称曾祖父、曾祖母
公	koŋ1	祖父，有时加排行，如"大公"、"满公"等
妑	pʰa3	祖母
婆	pʰo2	祖母
家公	ka1 koŋ1	外祖父
家婆	ka1 pʰo2	外祖母
爹	ti1	父亲的呼称，多数人称"爸爸"
爹	tia1	甘龙、乌罗等地对父亲的呼称
爷	ia2	东部某些地区对父亲的呼称
老仔	lɐɤ3 tsæe3	父亲的俗称或他称
妈	ma1	母亲的呼称，有时加重语气，称"老妈"
亲爷	tɕʰin1 i2	岳父，现多数称"爸爸"
亲娘	tɕʰin1 liaŋ	2岳母，现多数称"妈"
公公	koŋ1 koŋ1	夫之父
公公爹	koŋ1 koŋ1 ti1	
婆婆	pʰo2 pʰo2	夫之母
婆婆妈	pʰo2 pʰo2 ma1	
舅爷	tɕiu5 i2	母亲兄弟的呼称，称时加排行
舅妈	tɕiu5 ma1	
舅娘	tɕiu5 liaŋ2
舅公	tɕiu5 koŋ1	父亲的舅
舅婆	tɕiu5 pʰo2	父亲的舅妈
孃	liaŋ1	姑妈，称时加排行
公公	koŋ1 koŋ1	甘龙片区称呼，如"大公公"、"满公公"，指姑婆的丈夫
内以头	lei5 i3 tʰɵu2	妻子
屋头人	u2 tʰɵu2 zən2	妻子
姨夫老	i2 fu1 lɐɤ3	妻子姐妹之夫
继伢	tɕi5 ia2	因小孩不顺而拜继给人
保爷	pɐɤ3 i2	
保娘	pɐɤ3 liaŋ2	
后脑啄	xɵu5 lɐɤ3 tsua2脑袋后面突出的部分
颈根	tɕiaŋ3 kən1	颈部
额髅	ŋæ̃2 liu2	前额，又称"脑门"
后颈窝	xɵu5 tɕiaŋ3 o1	颈后凹处
脸包	liɛ̃3 pɐɤ1	脸面
鼻涕	pi2 li5	鼻涕
苦发	kʰu3 fa2	汗毛
毛毛汗	mɐɤ2 mɐɤ2 xæ̃5	微汗
手倒拐	sɵu3 tɐɤ1 kuæe3	手肘
锤锭子	tsʰuei2 tin5 tsɿ3	拳头
锭子	tin5 tsɿ3 	拳头
牙包骨	ia2 pɐɤ1 ku2	下颌
牙巴骨	ia2 pa1 ku2 	下颌
脇下窝	ɕi2 ɕia5 o1腋
肋巴骨	lei2 pa1 ku2	肋肢骨
胯板子	kʰua3 pæ̃1 tsɿ1	大腿
胯胯	kʰua3 kʰua3	大腿之间
胩胩	kʰa5 kʰa5 	大腿之间
胩裆	kʰa5 taŋ1 	大腿之间
脚后跟	tɕio2 xɵu5 kən1	脚掌后面
脚肚子	tɕio2 tu5 tsɿ3	小腿
螺丝拐	lo2 sɿ1 kuæe3	内踝与外踝总称
塌鼻子	tʰa2 pi1 tsɿ3	鼻子与正常人不同
驼背子	tʰo2 pei5 tsɿ3	驼背
光波	kuaŋ5 po1	头发脱光的人
麻子	ma2 tsɿ3	出天花后留下的疤痕
癞子	læe5 tsɿ3	头上有麻子的人
缺牙腔	tɕʰyu2 ia2 tɕʰiaŋ1	
缺牙巴	tɕʰyu2 ia2 pa1	
发运	fa2 yn5	甘龙片区说法，呕吐前的反应
打摆子	ta3 pæe3 tsɿ3	伤寒
打标枪	ta3 piɐɤ1 tɕʰiaŋ1	泻肚时，大便像水一样喷射出来，有时指吃饭哐倒
屙稀把把	o1 ɕi1 pa3 pa3	
干疮	kæ̃1 tsʰuaŋ1	疥疮
干疙痨	kæ̃1 kæ̃3 lɐɤ5 	疥疮
脓泡疮	loŋ2 pʰo5 tsʰuaŋ1	皮肤病的一种，多为一串串的化脓性水泡
挑针	tʰiɐɤ1 tsən1	长在眼睑内侧的麦粒肿，喻指眼红之人
母猪疯	mu3 tsu1 foŋ1	癫痫病的一种，发作时如母猪叫声
羊癫疯	iaŋ2 tiɛ̃1 foŋ1	癫痫病的一种，发作时口吐白沫
争嘴疮	tsən1 tsuei1 tsʰuaŋ1	鹅口疮
褂褂	kua5 kua5	背心或汗衫
绷绷	pən1 pən1	小孩用的涎布
中衣	tsoŋ1 i1	上衣，衣服
下衣	ɕia5 i1	裤子
摇裤	iɐɤ2 kʰu5	内裤
董篷	toŋ3 pʰoŋ2	斗笠
蓑衣	so1 i1	用棕丝制成的雨衣
球骇	tɕʰiɵu2 xæe2	球鞋
桶桶鞋	tʰoŋ3 tʰoŋ3 xæe2	靴子
鞋带带	xæe2 tæe5 tæe5	鞋带
鞋系系	xæe2 ɕi5 ɕi5	鞋带
死疙瘩	sɿ3 kɛ2 ta2	死结
活疙瘩	xo2 kɛ2 ta2	活结
喫饭	tɕʰi2 fæ̃5	吃饭，东部片区口音
喫饭	kʰi1 fæ̃5	西部片区口音
喫饭	tɕʰia1 fæ̃5	局部地方口音
少午	sɐɤ3 u3	中午加餐
晌午	sa3 u3	
淖杂	lɐɤ2 tsa2	猪牛羊的内脏
现饭	ɕiɛ̃5 fæ̃5	不是本餐新做的饭
盘子粉	pʰæ̃2 tsɿ3 fən3	用大米磨浆加工成带状
锅巴粉	ko1 pa1 fən3	用绿豆、大米加工，多以绿叶蔬菜代替绿豆，又称"绿豆粉"
角角粑	ko2 ko2 pa1	粽子
向料	ɕiaŋ5 liɐɤ5	调味品
亲事	tɕʰin1 sɿ5	
啃猪脑壳的	kʰən3 tsu1 lɐɤ3 kʰo2 ti3	媒人
吃百家饭	tsʰɿ2 pei2 tɕia1 fæ̃5
看门户	kʰæ̃5 mən2 fu0	
看年月	kʰæ̃5 liɛ̃2 u2	选择结婚良辰
拿书子	la2 su1 tsɿ2	有一回书子、二回书子等
送年月单单	soŋ5 liɛ̃2 u2 tæ̃1 tæ̃1	男方把选好的日子写在红纸上送给女家
过礼	kua5 li3	结婚前几天男方送彩礼给女家
回车马	xuei2 tsʰei1 ma3	拜堂前的仪式
回门	xuei2 mən2	新婚夫妇第一次回娘家
填房	tʰiɛ̃2 faŋ2	从女方说
害喜	xæe5 ɕi3	出现妊娠反应
双身	suaŋ1 sən1	孕妇
吃月米茶	tsʰɿ2 u2 mi3 tsʰa2	小孩一月内，亲友送礼祝贺
吃月米酒	tsʰɿ2 u2 mi3 tɕiɵu3	
打三朝	ta3 sæ̃1 tsɐɤ1	生后三天所举行的仪式
过生	ko5 sən1	60岁以上老人庆祝生日
悄盘了	tɕʰiɐɤ1 pʰæ̃2 lɐɤ3	带贬意之死
戳脱了	tsʰu1 tʰo2 lɐɤ3	带贬意
烧落气钱	sɐɤ1 lo2 tɕʰi5 tɕʰiɛ̃2	人刚咽气时，家人在他咽气的屋里焚烧纸钱
烧到头钱	sɐɤ1 tɐɤ5 tʰɐɤ2 tɕʰiɛ̃2 	人刚咽气时，家人在他咽气的屋里焚烧纸钱
放落气炮	faŋ5 lo2 tɕʰi5 pʰɐɤ5 	人刚咽气时，家人在他咽气的屋里焚烧纸钱
包孝帕	pɐɤ1 ɕiɐɤ5 pʰa5	办丧事时将孝布包在头上
顶孝	tin3 ɕiɐɤ5 	办丧事时将孝布包在头上
引路灯	in3 lu5 tən1	停放在灵柩下面的桐油灯
做家祭	tsu5 tɕia1 tɕi5	为死者举行葬礼
发丧	fa2 saŋ5	出殡
殓棺	læe2 kuæ̃1	在埋前整理死者遗容
丢发财米	tiɵu1 fa2 tsʰæe2 mi3	安葬时，死者亲属背对坟头跪下，围腰反捆，阴阳先生不停地将米与细泥撒给他们
撒衣禄米	sa3 i1 lu2 mi3	
买山	mæe3 sæ̃1	用香纸、雄鸡为死者买地
请神	tɕʰin3 sən2	在祖先前将死者灵魂请回来
烧土地纸sɐɤ1tʰu3 ti5 tsɿ3给土地神烧纸
灶神萨 tsɐɤ5 sən2 pʰu2 sa1
财神菩萨tsʰæe2 sən2 pʰu2 sa1
烧袱子sɐɤ1 fu2 tsɿ3焚烧包好的纸钱
烧七	sɐɤ1 tɕʰi2	以七天为期举行仪式
羽黄幡	i3 xuaŋ2 fæ̃1	写有死者生辰八字的小旗
烧包封	sɐɤ1 pɐɤ1 foŋ1	
泼水饭	pʰo2 suei3 fæ̃5	泼洒在碗或瓢内的凉水及饭粒以驱邪
祭平安	tɕi5 pʰin2 ŋæ̃1	
坟飘飘	fən2 pʰiɐɤ1 pʰiɐɤ1	清明时插在坟上的纸条
清明飘飘	tɕʰin1 min2 pʰiɐɤ1 pʰiɐɤ1 	清明时插在坟上的纸条
降仙婆	tɕiaŋ5 ɕiɛ̃1 pʰo2	女巫
杠香婆	kaŋ5 ɕiaŋ1 pʰo2 	女巫
观花	kuæ̃1 xua1	降仙婆到所谓阴间查看情形
看水碗	kʰæ̃5 suei3 uæ̃3	降仙婆观看水中的铜钱，根据情况进行化解
向火	ɕiaŋ5 xo3	烤火取暖
打噗汗	ta3 pʰu2 xæ̃1	打呼噜
扯噗汗	tsʰei3 pʰu2 xæ̃1	打呼噜
做活路	tsu5 xo2 lu5	去地里干活
屙把把	o1 pa3 pa3	排泄大便
解大溲	kæe3 ta5 sɵu3	大便
解小溲	kæe3 ɕiɐɤ3 sɵu3 小便
安桌子	ŋæ̃1 tso2 tsɿ3	摆酒席
安席	ŋæ̃1 ɕi2		摆酒席
舔肥	tʰiɛ̃3 fei2	巴结
赶礼	kæ̃3 li3	死人后，通知亲戚参加葬礼
赶信	kæ̃3 ɕin3	死人后，通知亲戚参加葬礼
扯谈	tsʰei3 tʰæ̃2	胡说或说一些无关紧要的事
扯闲谈	tsʰe3 ɕiɛ̃2 tʰæ̃2	胡说或说一些无关紧要的事
扯卵谈	tsʰe3 luæ̃3 tʰæ̃2	胡说或说一些无关紧要的事
闲扯	ɕiɛ̃2 tsʰei3	胡说或说一些无关紧要的事
吼架	xɵu3 tɕia5	吵架
诀	tɕye2	骂
日诀	zɿ2 tɕye2	骂
乱日诀	luæ̃5 zɿ2 tɕye2	骂 
解交	kæe3 tɕiɐɤ1	劝架，劝解
冲壳子	tsʰoŋ1 kʰo2 tsɿ3	闲聊，说大话
哆里八嗦	lo1 li3 pa1 so1	表示厌烦
心慌刨燥	ɕin1 xuaŋ1 pʰɐɤ2 sɐɤ5	心情烦燥
逗人嫌	tɵu2 zən2 ɕiɛ̃2	
逗人厌	tɵu1 zən2 iɛ̃5
逗人恨	tɵu1 zən2 xən5	
发气	fa2 tɕʰi5	
惯侍	kuæ̃5 sɿ5	习惯，娇惯
相因	ɕiaŋ1 in1	便宜
折本	sɛ2 pən3	亏本
拖账	tʰo1 tsaŋ5	长时间欠账
耍秤杆子	sua1 tsʰən5 kæ̃3 tsɿ3	称秤时玩弄花招
榨秤	tsa5 tsʰən5	分量重
敷秤	fu1 tsʰən5	补足分量
塞耗	sɛ2 xɐɤ5	有出入，减少
莽实	maŋ1 sɿ2	分量多而足，有时指胆子大
旺实	uaŋ1 sɿ2	
栽诬	tsæe1 u1	诬陷
诬赖	u1 læe5	
背黑锅	pei1 xei2 ko1	冤枉
胎腰包	tʰæe1 iɐɤ1 pɐɤ1	受贿
敲沙罐	kʰɐɤ1 sa1 kuæ̃5	枪毙
吃花生米米	tsʰɿ2 xua1 sən mi3 mi3	
发蒙	fa2 moŋ2	启蒙
睁眼瞎	tsən1 iɛ̃3 ɕia2	文盲或半文盲
读望天书	tu2 uaŋ5 tʰiɛ̃1 su1	对知识一知半解
爬桐子树	pʰa2 toŋ2 tsɿ3 su5	读书时不认真，一问三不知
跍起	ku1 tɕʰi3	蹲
跶倒	ta2 tɐɤ3	跌倒
巴起来	pa1 tɕʰi3 læe2	爬起来
抬起脑壳	tʰæe2 tɕʰi3 lɐɤ3 kʰo2	昂头
勾起脑壳	kɵu1 tɕʰi3 lɐɤ3 kʰo2	低头
把脑壳□起	pa3 lɐɤ3 kʰo2 tsua2 tɕʰi3	低头
摆脑壳	pæe3 lɐɤ3 kʰo2	摆头，表示不要的动作或比喻事情难办
摛手	tsʰɿ1 sɵu3	伸手
支手	tsɿ1 sɵu3	伸手
叉腰杆	tsʰa1 iɐɤ3 kæ̃3	两手有力放在两腰间，表示愤怒的样子
捂	u2	把某东西盖住
稀开	ɕi1 kʰæe1	物体自然张开，裂开
□开	ŋa1 kʰæe1	甘龙地区口音
抠	kʰɵu1	用手刨开
搣	mi2	把较软的东西掰开
揎	ɕyɛe1	用力推
恰	tɕʰia2	大步跨：前面大路，～开脚步
攉	xo5	搅拌
□	xɐɤ2	搅拌
摩挲	mo2 so2	动作慢
抽糞	tsʰɵu1 fən5抱持小儿双腿、哄他大便
抽屎	tsʰɵu1 sɿ3	抱持小儿双腿、哄他大便
抽屎	tsʰɵu1liɐɤ3
蹢脚	to2 tɕio2	跺脚
跷二郎腿	tɕʰiɐɤ1 ɚ5 laŋ2 tʰuei3
蜷腿	tɕyɛ̃1 tʰuei3	打盘脚
撑腰	tsʰən1 iɐɤ1	支持
打阿庆	ta3 a1 tɕʰin5	打喷嚏
嗅	ɕioŋ5	用鼻子闻
搀	tsʰæ̃	1加水等。例：往锅里～水。
捎	tɕʰiɐɤ1	借助工具用力掰开
搌	tsæ̃3	移动，挪动
搌劲	tsæ̃3 tɕin5	加油
吹劲	tsʰuei1 tɕin5
挣	tsən5	使劲憋气。例：他屙屎屙不出，就个～。
煞提	sa2 tʰi2	收拾，料理，整理
够不倒	kɵu5 pu2 tɐɤ3	拿不着
打落	ta3 lo2	失落
解凉	tɕiæe3 liaŋ2	在家里用水擦身子
退凉	tʰuei5 liaŋ2	
凫水	fu2 suei3	洗澡
板澡	pæ̃2 tsɐɤ3	
板	pæ̃3	动。例：你睡起就睡起嘞，不要紧～。
码起来	ma3 tɕʰi3 læe2	堆起来
高上	kɐɤ1 saŋ5	上面
高巷	kɐɤ1 xæ̃5 	上面
高头	kɐɤ1 tʰɵu2 	上面
退吓	tʰuei5 ɕia2	下面
退脚	tʰuei5 tɕyo2	下面
底脚	ti3 tɕyo2 下面
底吓	ti3 ɕia2	
地吓	ti5 ɕia2	地面，地上
则边	tse2 pʰiɛ̃1	旁边
这	tsɿ2	这，甘龙口音
郎个办	liaŋ2 ko5 pæ̃5	怎么办
张个做	tsaŋ2 ko5 tsu5 	怎么办
浪个办	liaŋ5 ko5 pæ̃5	这么办
懒样	læ̃3 iaŋ5	怎么样
懒样喃	læ̃3 iaŋ5 læ̃1	不是这样的，以否定语气代表肯定
差点点	tsʰa1 tiɛ̃3 tiɛ̃3
牢实	lɐɤ2 sɿ2	牢靠，坚固
硬棒	ŋən5 paŋ5	
硬得很	ŋən5 tɛ2 xən3	
□活	pʰa1 xo2	软兮兮的
松活	soŋ1 xo2	轻松
麻利	ma2 li5	动作快
