聲韻	調	
kʱi	˦˦˧	欺
kʱi	˩˦	其期旗棋麒奇騎₂琦祁祈吱岐歧鰭芪
kʱi	˧˥	起杞豈啟啓
kʱi	˩	徛企
kʱi	˥˥˦	氣汽棄器契去(懶音)
kʱi	˨˨˧	技妓伎忌
ŋi	˩˦	尼泥(文)伲妮呢宜誼儀疑倪霓
ŋi	˩	擬議耳(白)你(文)
ŋi	˥˥˦	藝(文：才～)囈蟻毅昵膩(文)
ŋi	˨˨˧	義蟻藝(白：～術)膩(白:～子粉)羿詣
xi	˦˦˧	希稀奚溪嘻嬉僖熹羲犧熙兮畦隙
xi	˩˦	攜
xi	˧˥	喜禧蟢
xi	˥˥˦	戲
xi	˨˨˧	系₂
Ǿi	˦˦˧	衣伊依醫
Ǿi	˩˦	移夷姨胰怡飴貽頤遺₁
Ǿi	˧˥	倚(白：近指也)
Ǿi	˩	以椅倚(文)已矣
Ǿi	˥˥˦	意臆億憶屹翳翼肄異裔
Ǿi	˨˨˧	易₁佾
pu	˧˥	補
pu	˥˥˦	布怖
pʱu	˦˦˧	鋪₁捕
pʱu	˩˦	葡莆蒲脯蒲菩荸鬻
pʱu	˧˥	普譜甫哺埔浦脯(果～)
pʱu	˩	部(～分)潽噗
pʱu	˥˥˦	鋪₂
pʱu	˨˨˧	部₂步埠簿
fu	˦˦˧	夫膚麩俘孵敷
fu	˩˦	扶芙俘符乎呼胡(文)葫湖蝴猢糊狐弧壺
fu	˧˥	府腑俯斧釜甫輔撫虎溥
fu	˩	腐(白)
fu	˥˥˦	富副賦付赴訃滸戽
fu	˨˨˧	父負傅袱腐(文)附婦瓠戶護滬互
ku	˦˦˧	孤辜估(文)姑沽菇箍
ku	˧˥	古牯咕估(白)鼓股盬
ku	˥˥˦	故固錮雇顧
kʱu	˦˦˧	枯骷箍(又)
kʱu	˩˦	跍₁
kʱu	˧˥	苦
kʱu	˩	□(撅嘴也)□(言被氣或水鼓脹起來也)
kʱu	˥˥˦	庫褲絝
kʱu	˨˨˧	跍₂□(耽～)
Ǿu	˦˦˧	烏塢鎢巫誣汙淤₁(～泥塅:地名也，在今甕江鎮)
Ǿu	˩˦	吳(文)蜈(文)吾梧無蕪毋胡(白，對成年男子稱呼也：次～子（李次青）)瑚(～珮：地名也，位於三墩鄉)
Ǿu	˩	五(文)伍(文)午武鵡侮舞
Ǿu	˥˥˦	寤惡騖
Ǿu	˨˨˧	誤悟戊務霧婺
fʯ	˧˥	水₂
ʧʯ	˦˦˧	居車₁枸拘駒豬諸褚朱株蛛誅硃珠追錐椎
ʧʯ	˧˥	舉矩主煮
ʧʯ	˥˥˦	遽據(文)鋸(文)劇句局(白)注蛀駐鑄著(～名)綴贅墜
ʧʱʯ	˦˦˧	區驅軀樞吹炊
ʧʱʯ	˩˦	渠瞿衢除廚櫥儲貯錘捶槌
ʧʱʯ	˧˥	處₁杵
ʧʱʯ	˩	巨苧柱拄
ʧʱʯ	˥˥˦	去(文)
ʧʱʯ	˨˨˧	具俱懼拒距櫃(白)住處₂箸
ɳʯ	˩˦	魚(文)漁(文)愚虞娛寓隅儒浯(～口)
ɳʯ	˩	女語
ɳʯ	˥˥˦	癒
ɳʯ	˨˨˧	禦俞喻愈遇寓
ʃʯ	˦˦˧	虛墟噓書輸舒
ʃʯ	˩˦	殊姝誰垂茱(～桐嶺:山名也，水桐嶺的又稱，今作薯藤嶺，在長沙縣、平江縣界（[同治]《長沙縣誌》）)
ʃʯ	˧˥	許暑薯(文)鼠₁黍水₁
ʃʯ	˥˥˦	煦恕庶墅署鼠₂戍稅
ʃʯ	˨˨˧	豎樹睡瑞
Ǿʯ	˦˦˧	于淤₂於(～是)迂盂遊
Ǿʯ	˩˦	于於盂余餘榆愉渝萸諛輿如孺兒而舁
Ǿʯ	˩	雨羽宇禹與予汝乳爾邇耳(文)餌珥蕊
Ǿʯ	˥˥˦	譽籲玉飫銳尉蔚慰
Ǿʯ	˨˨˧	於芋預豫裕二貳
pɑ	˦˦˧	巴笆爸芭粑疤杷
pɑ	˧˥	畀(訓)把靶
pɑ	˥˥˦	霸欛壩伯(變，伯～)
pʱɑ	˦˦˧	趴₁
pʱɑ	˩˦	爬扒鈀琶
pʱɑ	˩	罷(語氣詞也)趴₂
pʱɑ	˥˥˦	怕
pʱɑ	˨˨˧	罷耙稗(白)
mɑ	˦˦˧	媽(文)矇
mɑ	˩˦	麻痲
mɑ	˧˥	摸(白：摸、抓也)
mɑ	˩	馬碼瑪螞
mɑ	˥˥˦	嗎蟆沫(油～水光)
mɑ	˨˨˧	罵
fɑ	˦˦˧	花
fɑ	˩˦	華鏵樺搳劃₁
fɑ	˩	劃₂(～現)
fɑ	˥˥˦	化
fɑ	˨˨˧	畫話(文，名詞也)
tɑ	˧˥	打
tɑ	˩	嗒(～松)
tɑ	˨˨˧	著₂(動態助詞，常弱讀，猶言“了”也)
tʱɑ	˦˦˧	他(文)她它牠祂
lɑ	˦˦˧	他(懶音)鈉挪
lɑ	˩˦	拿(文：加～大)娜
lɑ	˩	哪啦(語氣詞：蠻好～)
lɑ	˥˥˦	那(文)
lɑ	˨˨˧	那(白)
ʦɑ	˦˦˧	抓渣喳吒咱
ʦɑ	˧˥	鲊酢
ʦɑ	˥˥˦	詐柞炸榨
ʦʱɑ	˦˦˧	差₁杈叉釵餷
ʦʱɑ	˩˦	茶搽查
ʦʱɑ	˩	茬槎(～柴)□(一種植物也)
ʦʱɑ	˥˥˦	岔詫汊茬
ʦʱɑ	˨˨˧	乍
sɑ	˦˦˧	沙紗挱痧砂杉鯊裟㸺(母水牛也)
sɑ	˧˥	傻耍
ʧɑ	˦˦˧	遮
ʧɑ	˧˥	者赭
ʧɑ	˥˥˦	蔗嗻
ʧʱɑ	˦˦˧	車
ʧʱɑ	˧˥	扯
ʧʱɑ	˩	扯
ʃɑ	˦˦˧	奢賒佘(向家～：地名也)□(言解開衣服也)
ʃɑ	˩˦	蛇佘
ʃɑ	˧˥	舍₁(～高)
ʃɑ	˩	社射₁
ʃɑ	˥˥˦	舍₂赦
ʃɑ	˨˨˧	射₂麝
kɑ	˦˦˧	家₁(白：～～戶戶)痂枷加(白)噶(語氣詞也)
kɑ	˧˥	假(白)
kɑ	˥˥˦	嫁駕(白)架(白)
kʱɑ	˦˦˧	拁□(一～：猶言一“把”也)
kʱɑ	˩˦	□(咒聲罵也)
kʱɑ	˧˥	卡₂
kʱɑ	˩	㐄(言一只腳在門檻這邊，一只腳在門檻那邊也)
kʱɑ	˥˥˦	胯
kʱɑ	˨˨˧	㐄(言跨在人家頭上過也)
ŋɑ	˦˦˧	鴉椏丫(張也：口一～)
ŋɑ	˩˦	牙芽伢衙涯
ŋɑ	˧˥	啞
ŋɑ	˩	雅瓦
ŋɑ	˥˥˦	□(～嘖：猶言“點兒”也)
ŋɑ	˨˨˧	砑
xɑ	˦˦˧	蝦哈₁
xɑ	˩˦	蛤
xɑ	˧˥	哈₂(蠢也)
xɑ	˩	下₁(白)
xɑ	˥˥˦	哈₃(言放蕩的笑也)
xɑ	˨˨˧	下₂(白：猶言“全都”也；又作量詞)
Ǿɑ	˦˦˧	家(白₂，用於詞中姓氏後也：張～裏、向～佘)
Ǿɑ	˥˥˦	啊₂(助詞，會與前字連讀，猶言“都、也”也：我～冇聽過)訖(訓讀：冇～著)
piɑ	˩	□(槍聲也)
tiɑ	˦˦˧	爹(白，城關、東北鄉片部分人稱祖父也：～～)
tʱiɑ	˩˦	提
liɑ	˧˥	□(歪斜也)
liɑ	˩	舐(訓，言把舌子伸出來也)
ʦiɑ	˦˦˧	嗟
ʦiɑ	˧˥	姐₁(老～)
ʦiɑ	˥˥˦	姐₂(白)借
ʦʱiɑ	˦˦˧	𨉖(躲藏也)
ʦʱiɑ	˩˦	邪斜
ʦʱiɑ	˧˥	且
ʦʱiɑ	˥˥˦	斜(又)笡
ʦʱiɑ	˨˨˧	謝
siɑ	˦˦˧	些
siɑ	˧˥	寫
siɑ	˩	□(言很快也)
siɑ	˥˥˦	瀉卸
kiɑ	˦˦˧	家₁(文：大～)傢加佳嘉
kiɑ	˧˥	賈假(文)
kiɑ	˥˥˦	稼架(文：～勢)駕(文)價(文)
kʱiɑ	˩˦	瘸茄₁(白)
ŋiɑ	˦˦˧	嗲(訓，撒嬌也)
ŋiɑ	˩˦	黏(訓，黏住也)
ŋiɑ	˩	喏(唱～：平江人見面的禮節也)
xiɑ	˦˦˧	靴
xiɑ	˩˦	霞瑕暇遐
xiɑ	˩	下₁(文)夏₁
xiɑ	˨˨˧	夏₂廈
Ǿiɑ	˦˦˧	耶椰
Ǿiɑ	˩˦	爺
Ǿiɑ	˩	也野惹冶
Ǿiɑ	˥˥˦	亞訝
Ǿiɑ	˨˨˧	夜
kwɑ	˦˦˧	瓜呱
kwɑ	˩˦	□(言肚大也)
kwɑ	˧˥	寡剮
kwɑ	˥˥˦	掛卦褂
kʱwɑ	˦˦˧	誇
kʱwɑ	˩˦	□(言肚大、懷孕也)
kʱwɑ	˧˥	垮挎
kʱwɑ	˩	咵
kʱwɑ	˥˥˦	跨(文)胯(文)
ŋwɑ	˩	瓦(又)
Ǿwɑ	˦˦˧	蛙窪哇窊剜媧
Ǿwɑ	˩˦	娃
Ǿwɑ	˧˥	搲
Ǿwɑ	˩	佤
Ǿwɑ	˥˥˦	哇凹
Ǿwɑ	˨˨˧	話(白讀，動詞：～事哩)
po	˩	□(～啵蛋)
po	˥˥˦	啵(打～：親嘴也)
pʱo	˩	啵(疑問語氣詞也)
pʱo	˨˨˧	薄₁(～荷)
mo	˩˦	摸饃模膜摹麽₁(～裏：猶言“什麼”也)
mo	˩	母拇麽₂(～裏：猶言“什麼”也，西鄉聲)
mo	˥˥˦	慕麽
mo	˨˨˧	墓暮幕募
fo	˥˥˦	□(包括式也，我～)
to	˦˦˧	多哆
tʱo	˦˦˧	拖
tʱo	˩˦	陀駝鴕佗馱
lo	˦˦˧	啰
lo	˩˦	羅籮蘿鑼腡
lo	˩	玀卵(文：～雞)謱(～謰：言迂腐過細也)
lo	˥˥˦	啰□(言很凶、很頑皮也)
ʧʱo	˦˦˧	□(言缸沒蓋好或袋子沒紮好也)
ʧʱo	˩˦	茄₂(白：～子)
ʧʱo	˥˥˦	喌(喚雞的聲音也)
ʃo	˥˥˦	□(壞也)
ko	˦˦˧	哥歌
ko	˧˥	箇(遠指：猶“那”也)
ko	˩	嘅(結構助詞，猶言“的”也)
ko	˥˥˦	個個
ko	˨˨˧	咯(語氣詞，表停頓或者解釋也)
kʱo	˦˦˧	苛柯
kʱo	˩˦	□(～～起：言呆呆地也)
kʱo	˧˥	可
kʱo	˥˥˦	課
ŋo	˦˦˧	□(～腦殼：抬頭也)
ŋo	˩˦	俄蛾峨娥鵝訛□(言驚呆也)
ŋo	˩	我
ŋo	˥˥˦	臥(文)
ŋo	˨˨˧	餓臥(白)
xo	˦˦˧	呵呵(放肆誇大也)
xo	˩˦	河何荷
xo	˨˨˧	賀
Ǿo	˦˦˧	阿(～膠)屙
Ǿo	˩	我(懶音)哦
ʦio	˨˨˧	□(言不正也)
ʦʱio	˨˨˧	□(言不正也)
sio	˦˦˧	梭(言從上往下滑動也)
Ǿio	˦˦˧	喲
Ǿio	˩˦	喲呦□(～子：猶“怎麼”也)□(言變軟、蔫也)
pø	˦˦˧	波菠玻
pø	˧˥	跛
pø	˥˥˦	簸播背(白：後～)婆(變，～則：言祖母也)
pʱø	˦˦˧	坡
pʱø	˩˦	婆鄱
pʱø	˧˥	頗叵笸
pʱø	˥˥˦	破婆(變，婆～：奶奶也)
pʱø	˨˨˧	婆(變，～婆：奶奶也)
mø	˦˦˧	摸
mø	˩˦	魔磨摩
mø	˨˨˧	磨(～粉)
fø	˩˦	和₁(文)
fø	˧˥	火夥夥
fø	˥˥˦	貨夥(包括式也，西鄉聲，我～)
fø	˨˨˧	禍和₂(文：～面)
tø	˧˥	朵文躲
tø	˥˥˦	剁
tʱø	˦˦˧	□(勸也)
tʱø	˩˦	坨砣
tʱø	˧˥	妥橢
tʱø	˩	舵垛摞(訓：疊也)
tʱø	˥˥˦	唾墮
tʱø	˨˨˧	惰
lø	˦˦˧	摞
lø	˩˦	螺騾挼
lø	˩	裸卵(白)
lø	˥˥˦	□(言樹上果實多也)
lø	˨˨˧	糯懦
ʦø	˧˥	左
ʦø	˥˥˦	佐
ʦʱø	˦˦˧	槎(張慕～，偽平江縣長也)搓磋嵯蹉
ʦʱø	˩˦	蹉
ʦʱø	˩	坐
ʦʱø	˥˥˦	挫銼錯措
ʦʱø	˨˨˧	座
sø	˦˦˧	梭唆睃蓑□(滑行也)
sø	˧˥	所鎖瑣
ʧʱø	˥˥˦	這(文)
ʧʱø	˦˦˧	□(哄也)
kø	˥˥˦	蓋(白)
kwø	˦˦˧	鍋戈
kwø	˧˥	果裹
kwø	˥˥˦	過
kʱwø	˦˦˧	科蝌窠
kʱwø	˧˥	棵顆
kʱwø	˥˥˦	課
Ǿwø	˦˦˧	窩蝸渦萵屙喔
Ǿwø	˩˦	禾和₁(白：～尚)
Ǿwø	˧˥	抈(折也)
Ǿwø	˥˥˦	□(拼命大叫也)
Ǿwø	˨˨˧	和₂(白，言摻進去也)
me	˦˦˧	哞媽(白：姆～)
te	˥˥˦	德(新～，人名，平江扯泡王也)
le	˩	嘞(陳述語氣詞也：我是平江嘅～)
le	˥˥˦	嘞(猶“呢”也)
ʧe	˧˥	這(文)
ʃe	˩	舐(白)舓是(句尾語氣詞也)
ke	˦˦˧	雞(白)
ke	˧˥	弆(言藏物也)
ke	˥˥˦	鋸(白)系(白)
kʱe	˩	渠(第三人稱面稱、包括式)
ŋe	˩˦	泥(白)
ŋe	˧˥	□(暗色也)
xe	˩	渠(第三人稱面稱、包括式也)
Ǿe	˩	渠(懶，第三人稱面稱、包括式也)呃
pie	˦˦˧	□(～淡)
pie	˧˥	癟
pʱie	˦˦˧	□(歪倒也)
pʱie	˧˥	蹩
tie	˦˦˧	爹(文)
lie	˨˨˧	捩(不正也)
kʱie	˥˥˦	去(白)
ŋie	˩	□(懶音，猶“哪兒”也：去～)
Ǿie	˩	敥(撒撒～～：言食物掉地上也)
ʃʯe	˥˥˦	水(油沫～光)
paⁱ	˦˦˧	𨃅(跛也)
paⁱ	˧˥	擺
paⁱ	˥˥˦	拜
pʱaⁱ	˩˦	牌簰排徘
pʱaⁱ	˧˥	棑(柴塊也)
pʱaⁱ	˥˥˦	派湃
pʱaⁱ	˨˨˧	敗
maⁱ	˩˦	埋霾
maⁱ	˩	買
maⁱ	˥˥˦	賣
faⁱ	˩˦	踝槐淮懷(文)
faⁱ	˨˨˧	壞
taⁱ	˦˦˧	呆(文)襶
taⁱ	˧˥	逮紿(猶“騙”也)
taⁱ	˩	辵
taⁱ	˥˥˦	帶
tʱaⁱ	˦˦˧	胎
tʱaⁱ	˩˦	台抬苔臺
tʱaⁱ	˩	□(～肚：懷孕也)
tʱaⁱ	˥˥˦	太態汰泰傣
tʱaⁱ	˨˨˧	大待殆怠代袋貸
laⁱ	˦˦˧	疓
laⁱ	˩˦	遺(訓：～尿)
laⁱ	˧˥	□(言人胖走路身子晃動也)
laⁱ	˩	乃奶
laⁱ	˨˨˧	賴癩耐奈
ʦaⁱ	˦˦˧	災齋
ʦaⁱ	˧˥	宰
ʦaⁱ	˥˥˦	債
ʦʱaⁱ	˦˦˧	差₂釵猜
ʦʱaⁱ	˩˦	柴儕
ʦʱaⁱ	˧˥	揣采彩睬踩
ʦʱaⁱ	˥˥˦	蔡菜
ʦʱaⁱ	˨˨˧	寨
saⁱ	˦˦˧	篩
saⁱ	˧˥	甩摔灑(白：～網：一種漁網也)
saⁱ	˥˥˦	曬曬(文)帥(白)率(～領)塞賽
saⁱ	˨˨˧	寨(又)
kaⁱ	˦˦˧	街階階皆喈(蔡伯～)
kaⁱ	˧˥	解
kaⁱ	˥˥˦	戒誡屆介芥界疥尬丐鈣蓋(文)
kʱaⁱ	˦˦˧	揩
kʱaⁱ	˧˥	楷愷凱
kʱaⁱ	˥˥˦	蟹械慨概溉
ŋaⁱ	˦˦˧	哀挨娭
ŋaⁱ	˩˦	崖岩埃呆(白)皚癌
ŋaⁱ	˧˥	矮靄藹
ŋaⁱ	˥˥˦	隘
ŋaⁱ	˨˨˧	挨艾外(白)
xaⁱ	˦˦˧	嗨
xaⁱ	˩˦	鞋偕諧孩駭還₁(文)
xaⁱ	˧˥	懈
xaⁱ	˩	□(～肚：懷孕也)
xaⁱ	˨˨˧	解
kwaⁱ	˦˦˧	乖
kwaⁱ	˧˥	拐□(壞)
kwaⁱ	˥˥˦	怪
kʱwaⁱ	˧˥	傀蒯
kʱwaⁱ	˩	□(懷孕也)
kʱwaⁱ	˥˥˦	快塊筷會₁噲獪膾劊
Ǿwaⁱ	˦˦˧	歪
Ǿwaⁱ	˩˦	懷(白：～抱裏)
Ǿwaⁱ	˧˥	崴(訓，言行動不穩，兩頭搖擺也)
Ǿwaⁱ	˨˨˧	外(文)
ʃʯaⁱ	˥˥˦	帥(文：時派音，～哥)
pɛⁱ	˦˦˧	杯揹陂
pɛⁱ	˥˥˦	背
pʱɛⁱ	˦˦˧	胚坯
pʱɛⁱ	˩˦	培(白)賠(白)陪(白)
pʱɛⁱ	˩	背(白：～書、～時)
pʱɛⁱ	˥˥˦	配(白)沛
pʱɛⁱ	˨˨˧	倍焙
mɛⁱ	˦˦˧	黴(倒～)痗
mɛⁱ	˩˦	玫(白)枚(白)梅(白：～仙，平江地名也)媒煤黴(發～)
mɛⁱ	˩	每
mɛⁱ	˥˥˦	妹(文)
mɛⁱ	˨˨˧	妹(白)
fɛⁱ	˦˦˧	灰(白)恢
fɛⁱ	˨˨˧	會(白)
tɛⁱ	˦˦˧	堆
tɛⁱ	˧˥	歹
tɛⁱ	˥˥˦	戴對碓兌隊
tʱɛⁱ	˦˦˧	胎(白)推(白)
tʱɛⁱ	˩˦	抬(白)臺(白)苔(白)頹□(～子：猶言“這樣兒”也)
tʱɛⁱ	˧˥	腿
tʱɛⁱ	˩	□(～處：到處也)
tʱɛⁱ	˥˥˦	退(白)蛻(白)
tʱɛⁱ	˨˨˧	代(白)袋(白)殆(白)怠(白)待(白)貸(白)
lɛⁱ	˩˦	雷擂來
lɛⁱ	˩	磊累壘餒屢
lɛⁱ	˥˥˦	耒筙
lɛⁱ	˨˨˧	累(白)內(白)
ʦɛⁱ	˦˦˧	栽哉
ʦɛⁱ	˧˥	崽載₁
ʦɛⁱ	˥˥˦	再載₂
ʦʱɛⁱ	˦˦˧	崔催摧
ʦʱɛⁱ	˩˦	才材財豺裁□(～式：猶言“這樣兒”也)
ʦʱɛⁱ	˧˥	璀
ʦʱɛⁱ	˩	□(這麼也，～ʦʱɛⁱ˥˥˦，猶“反正”也)
ʦʱɛⁱ	˥˥˦	菜
ʦʱɛⁱ	˨˨˧	在
sɛⁱ	˦˦˧	腮鰓衰
sɛⁱ	˧˥	□(～田：耕田也)
sɛⁱ	˥˥˦	碎(白)
kɛⁱ	˦˦˧	該
kɛⁱ	˧˥	改
kʱɛⁱ	˦˦˧	開
ŋɛⁱ	˦˦˧	A
ŋɛⁱ	˩˦	捱
ŋɛⁱ	˥˥˦	愛嬡
ŋɛⁱ	˨˨˧	礙
xɛⁱ	˨˨˧	害亥
Ǿwɛⁱ	˦˦˧	煨(白)
Ǿwɛⁱ	˩˦	回(白)
kwɪ	˦˦˧	歸龜規圭矽閨
kwɪ	˧˥	鬼詭晷軌
kwɪ	˥˥˦	貴劊檜會桂癸₁鱖瑰據(白)
kʱwɪ	˦˦˧	虧盔窺魁
kʱwɪ	˩˦	癸₂葵奎逵揆睽夔桅珪
kʱwɪ	˧˥	跪
kʱwɪ	˥˥˦	愧潰饋
kʱwɪ	˨˨˧	櫃(文)
Ǿwɪ	˦˦˧	威煨巍微
Ǿwɪ	˩˦	為維唯帷惟圍違危桅嵬巍遺₂
Ǿwɪ	˩	偽尾(文)偉葦緯委諉萎
Ǿwɪ	˥˥˦	畏衛
Ǿwɪ	˨˨˧	胃謂渭蝟蝟未味昧魏位
pɑᵘ	˦˦˧	褒煲包苞胞鴇
pɑᵘ	˧˥	保葆褓堡寶飽
pɑᵘ	˥˥˦	報爆豹齙鮑
pʱɑᵘ	˦˦˧	拋僄(～皮)鰾泡
pʱɑᵘ	˩˦	袍刨(文)咆匏
pʱɑᵘ	˧˥	跑
pʱɑᵘ	˩	抱(白)
pʱɑᵘ	˥˥˦	雹炮砲
pʱɑᵘ	˨˨˧	暴菢铇刨(白)
mɑᵘ	˦˦˧	貓(文)
mɑᵘ	˩˦	毛矛茅錨
mɑᵘ	˩	卯
mɑᵘ	˥˥˦	冒(文)貌(文)
mɑᵘ	˨˨˧	冇冒(白)貌(白)
tɑᵘ	˦˦˧	刀
tɑᵘ	˧˥	倒₁島搗禱
tɑᵘ	˥˥˦	到倒₂
tʱɑᵘ	˦˦˧	叨滔絛
tʱɑᵘ	˩˦	桃逃掏陶萄淘濤燾
tʱɑᵘ	˧˥	討
tʱɑᵘ	˥˥˦	套導
tʱɑᵘ	˨˨˧	稻蹈道盜
lɑᵘ	˦˦˧	□(言觸摸也)
lɑᵘ	˩˦	嘮撈勞澇癆₁牢
lɑᵘ	˩	老腦₁惱瑙
lɑᵘ	˥˥˦	腦₂堖
lɑᵘ	˨˨˧	鬧
ʦɑᵘ	˦˦˧	糟遭
ʦɑᵘ	˧˥	早蚤找棗澡藻爪笊
ʦɑᵘ	˥˥˦	灶罩
ʦʱɑᵘ	˦˦˧	抄操鈔
ʦʱɑᵘ	˩˦	曹嘈槽糟巢
ʦʱɑᵘ	˧˥	草吵炒騲
ʦʱɑᵘ	˩	皂
ʦʱɑᵘ	˥˥˦	糙噪躁燥操
ʦʱɑᵘ	˨˨˧	造濯₁
sɑᵘ	˦˦˧	筲捎梢搔騷臊
sɑᵘ	˧˥	稍嫂
sɑᵘ	˥˥˦	掃哨潲
ʧɑᵘ	˦˦˧	朝₁釗招昭沼玿
ʧɑᵘ	˥˥˦	詔照
ʧʱɑᵘ	˦˦˧	超
ʧʱɑᵘ	˩˦	朝₂潮嘲
ʧʱɑᵘ	˨˨˧	趙兆晁肇
ʃɑᵘ	˦˦˧	燒
ʃɑᵘ	˩˦	韶苕
ʃɑᵘ	˧˥	少₁
ʃɑᵘ	˥˥˦	少₂邵
ʃɑᵘ	˨˨˧	召紹
kɑᵘ	˦˦˧	高膏篙羔糕交(白：一～雨)茭跤膠(白)
kɑᵘ	˧˥	稿鎬搞攪(白)
kɑᵘ	˥˥˦	覺告誥窖教(白)校₁(白)較(白：動詞也)
kʱɑᵘ	˦˦˧	敲
kʱɑᵘ	˧˥	考烤拷巧(白)
kʱɑᵘ	˩	搞(訓：亂動別人東西也)
kʱɑᵘ	˥˥˦	靠銬犒
ŋɑᵘ	˦˦˧	凹(文)爊
ŋɑᵘ	˩˦	敖熬驁𠢕鏖翱
ŋɑᵘ	˧˥	襖拗(訓：～斷)
ŋɑᵘ	˩	咬(（文）)
ŋɑᵘ	˥˥˦	奧澳懊坳拗₁傲
xɑᵘ	˦˦˧	蒿鎬薅睾
xɑᵘ	˩˦	毫豪壕嚎號₂
xɑᵘ	˧˥	好₁
xɑᵘ	˩	浩
xɑᵘ	˥˥˦	好₂耗孝(（白）)
xɑᵘ	˨˨˧	號皓
piɑᵘ	˦˦˧	標彪鑣飆膘熛
piɑᵘ	˧˥	表錶婊裱
pʱiɑᵘ	˦˦˧	飄縹漂₁
