#ɿ
ʦ[1]资姿滋咨[3]紫姊子梓[5]自紫牸{牸牛}
ʨʰ[1]祈乞[2]奇骑岐鳍祁[3]启岂起杞[5]器弃气泣契{契约}
ȵ[2]倪泥尼逆{逆风}擬[3]你匿[5]腻溺{溺死}
ɕ[1]奚兮牺煕希稀吸[3]嬉[5]系{联系}戏
∅[1]宜仪伊医衣依揖{作揖}异[2]移夷姨疑毅疫役液[3]倚椅已以尾{白}逸乙[5]艺溢易憶抑翼意衣依

#u
p[1]不[3]卜[5]部簿布怖步埠
pʰ[1]铺[2]蒲菩脯{胸脯}瀑[3]捕谱朴擈僕仆{仆倒}
m[1]木[3]某亩牡母拇没{沉没}[5]暮慕墓募目穆牧
f[1]夫芙府甫腑付赋傅福蝠{翩蝠}腹覆{反覆}复{复原}[2]扶符浮服伏[3]抚斧腐辅[5]赴讣附富妇负埠幅父副复{复兴}凫{凫水}
l[3]庐{庐山}
ʂ[2]术{白术}[3]输{文}[5]帚{扫帚,白}
s[1]宿{文}[2]俗{文}[5]肃{文}
ʐ[1]入[3]输{白}
k[1]孤箍骨谷毂[2]姑[3]古估[5]故固錮雇
kʰ[1]窟{窟窿}枯[5]酷
x[1]呼乎忽[2]胡湖狐壶[5]户互瓠
∅[1]乌污坞物勿屋巫诬[2]无[3]五伍午武舞侮鹉吴吾梧蜈[5]雾务

#y
l[1]捋{捋袖}律率速率[2]绿{文}[3]旅屡[5]虑滤
ʦ[1]足[5]聚
ʦʰ[1]趋黢{黢黑}焌{火焌住手了}[3]取娶[5]趣
s[1]须需{无需}戌恤宿{白}[2]俗{白}续[5]肃{白}
ʨ[1]车{车马炮}橘菊拘驹居[2]巨据距剧{剧烈}局[3]举[5]据锯俱矩句具惧
ʨʰ[1]屈蛆曲{歌曲}曲{曲折}曲{酒曲}瞿[2]渠
ȵ[3]女
ɕ[1]徐墟[3]许[5]序叙绪絮
∅[1]于狱於淤[2]愚虞娱榆鱼渔余馀与[3]语雨宇禹羽[5]遇寓愈愉芋喻裕迂御誉预豫欲浴玉郁育

#ɯ
k[1]胳{胳膊白}
x[1]黑[2]儿尔二贰[3]而耳餌

#a
p[1]巴疤芭[2]爸拔[3]把[5]霸坝壩耙罢琶
pʰ[2]钯爬[5]怕帕
m[1]蟆妈抹[2]麻[3]马码[5]骂
f[1]法{方法}[2]乏罚筏伐
v[1]袜
t[1]搭[2]答达[3]打[5]大
tʰ[1]塔榻溻{汗~了}[3]他它她[5]拓{~字}
n[1]拿
l[1]腊蜡拉辣邋[2]剌{用刀~}
s[3]洒撒{撒手}撒{撒种}
tʂ[1]眨札[2]炸{用油炸}铡[3]闸[5]咋炸诈榨
tʂʰ[1]差叉杈插擦[2]茶[3]搽岔
ʂ[1]沙纱杀[3]傻[5]啥
k[1]嘎
x[1]哈
∅[3]阿{阿哥}

#ia
l[3]俩
ʨ[1]家加嘉胛甲挟佳夹裌{裌衣}[3]假贾[5]架稼驾嫁价
ʨʰ[1]掐[3]恰
ɕ[1]瞎蝦[2]霞遐瑕[5]下{下面}厦{厦门}
∅[1]鸦丫[2]牙芽衙崖{文}[3]雅[5]鸦哑亚轧轧花

#ua
tʂ[1]抓[3]爪{爪子}
ʂ[1]刷
k[1]瓜蜗{蜗牛，白}[3]寡刮
kʰ[2]侉[5]跨
x[1]花[2]华划滑侉猾{狡猾}[5]化画话划
∅[1]蛙挖[3]瓦{砖瓦}[5]瓦动词

#ɛ
p[1]百柏擘{擘开}伯[2]白[3]摆[5]拜
pʰ[1]迫拍[2]牌排[5]派
m[1]麦脉默{老}[2]埋[3]买[5]卖迈
tʰ[1]苔特胎[2]台抬薹[5]太泰
n[3]奶[5]耐奈
l[1]列烈裂肋勒[3]攋{用手抓断}[2]来[5]赖癞
ʦ[1]栽[2]截{截断}[3]宰载{一年半载}[5]再载{载重}
ʦʰ[2]才材财裁[3]彩採猜[5]蔡菜
s[1]塞
tʂ[1]则窄责摘[2]泽择{选择}宅债[3]寨
tʂʰ[1]差钗拆策测{老}侧{老}册{老}[2]柴
ʂ[1]筛{筛子}涩{老}[3]色{老}[5]晒
k[1]该[2]革{老}[3]改[5]概溉盖丐{乞丐}
kʰ[1]开客{老}刻{老}[3]凯慨咳{咳嗽}楷
x[1]吓{~唬}[2]孩亥駭[5]害蟹{白}坏{坏事,白}
∅[1]哀[2]挨{~打}[3]蔼{和蔼}崖{白}矮

#iɛ
p[1]鳖憋[2]别
pʰ[1]撇
m[1]灭蔑{竹篾}
t[1]爹跌
tʰ[1]贴帖铁[2]叠碟牒蝶谍
l[1]猎列烈裂劣{新}
ʦ[1]接节[2]劫[3]姐
ʦʰ[1]怯切{切开}[2]捷[5]妾
s[3]写些[5]泄{泄露}
ʨ[1]揭结[2]杰洁[3]解{解开}[5]借
ʨʰ[1]且
ȵ[1]聂镊蹑摄[5]孽
ɕ[1]歇蝎{蝎子}[5]泻卸谢懈屑{木屑}屑{不屑}解
∅[1]页噎{噎住了}业[2]爷[3]耶也野[5]夜腋

#uɛ
tʂ[3]跩{人显摆}[5]拽{拽拉}
tʂʰ[3]揣{揣度}
ʂ[1]衰摔[5]帅率蟀{蟋蟀}
k[1]国[3]拐[5]怪快
kʰ[5]块会{会计}筷{筷子}
x[2]槐淮获或惑[5]坏{文}
∅[1]歪[5]外

#yɘ
l[1]略掠
ʦ[3]嚼
ʦʰ[5]雀{麻雀}鹊{喜鹊}
s[1]雪薛削
ʦ[2]绝
ʨ[1]掘决诀脚觉{知觉}[2]掘橛{橛子}[5]倔{倔强}憠{脾气~}
ʨʰ[1]缺确榷{榷蒜}却
ɕ[2]穴
∅[1]月约药钥{钥匙}乐{音乐}岳

#ɔ
p[1]褒{褒奖}包胞雹[3]保堡宝饱[5]报抱暴菢{菢小鸡}豹爆铇
pʰ[1]泡抛[2]袍{袍子}[3]跑刨剖[5]炮泡
m[1]猫[2]毛茅矛[3]卯[5]冒帽貌茂贸
f[3]否
t[1]刀祷岛倒{打倒}[5]到倒{倒车}道稻盗导
tʰ[1]涛[2]桃逃淘{淘米}陶萄{葡萄}
n[3]脑恼[2]铙挠[5]闹
l[3]老[2]劳捞牢唠{唠叨}[5]烙{文}涝{旱涝}
ʦ[1]遭糟[3]早蚤澡[5]躁皂造{建造}
ʦʰ[1]操{操作}[3]草曹槽{马槽}[5]□{摩擦}
s[1]骚臊{臊气}[3]扫嫂
tʂ[1]朝{今朝}照招[3]找沼{池沼}[5]罩{罩篱}照赵召
tʂʰ[1]抄钞超[2]巢朝潮[3]炒吵
ʂ[1]梢{树梢}烧捎[2]韶{韶关}[3]稍[5]潲{潲雨}少{少年}邵绍
ʐ[2]饶[3]绕{围绕}[5]耀{耀眼}
k[1]高膏篙羔糕[3]稿[5]告膏{膏油}
kʰ[3]考烤[5]靠犒
x[1]藁蒿{蓬蒿}薅{除草的意思}[2]豪壕号{号叫}[3]好{好坏}[5]号{口号}好{喜好}耗
∅[1]爊{爊白菜}[2]熬[3]袄[5]傲鏊{烙饼用具}奥懊{懊悔}

#iɔ
p[1]臕{肥臕}彪[3]表[5]摽
pʰ[1]飘[5]票{车票}漂{漂亮}漂{漂洗}
m[1]藐渺秒[2]苗描[5]庙妙
t[1]刁貂雕[5]调{调动}
tʰ[1]挑[2]条调{调和}[5]跳
l[2]聊遼撩{撩起来}[3]了{了结}燎{火燎眉毛}[5]廖{姓}
ʦ[1]蕉{芭蕉}椒[2]嚼[3]剿
ʦʰ[1]缲{缲边}悄{静悄悄}[2]瞧[5]俏鞘{刀鞘}
s[1]消宵销箫萧硝[3]小[5]笑
ʨ[1]交郊膠教{教书}浇[2]绞狡铰搅搞搅缴{上缴}侥{侥幸}骄侥饺[3]矫{矫作}[5]校{校对}较酵窖觉{睡觉}
ʨʰ[1]敲[5]窍
ȵ[3]鸟[5]尿
ɕ[1]枵{枵薄}[3]晓[5]孝效校{学校}
∅[1]妖邀腰要{要求}幺吆{吆喝}[2]摇谣窑姚尧[3]咬舀{舀水}[5]要耀靿

#ɤ
p[1]拨博剥驳勃泊[2]薄脖
pʰ[1]泼
m[1]末沫抹摸默{新}[2]膜
f[1]佛
ʦʰ[1]册{新}[5]测{新}侧{新}
s[1]色{新}[5]涩{新}
tʂ[1]摺哲蛰折浙褶{褶子}[2]辙蛰蔗{文}
tʂʰ[5]撤彻
ʂ[1]设[2]舌折{弄折了}[5]射
ʐ[1]热
k[1]割葛各阁搁格革{新}隔胳{文}
kʰ[1]渴{新}磕颗{新}科{新}[5]课{新}
x[1]喝{喝采}赫[2]河何荷{荷花}[5]荷{负荷}鹤
∅[1]恶{善恶}[2]扼[3]额

#uɤ
t[1]多[3]朵躲[5]剁
tʰ[1]拖脱托[3]妥椭[5]唾
n[2]挪[5]糯{糯米}诺
l[2]罗箩螺骡裸[3]烙{白}[5]摞
ʦ[1]作{作坊}[2]浊[3]左佐昨[5]坐座
ʦʰ[1]搓[2]锉戳[3]撮{一撮米}[5]错
s[1]蓑梭唆索[3]锁琐
tʂ[1]桌捉拙[2]着{睡着}酌卓琢啄涿镯
ʂ[1]说{说话}[5]朔
k[1]过锅聒郭[3]果裹[5]过
kʰ[1]科{科学，老}棵括{括号}廓颗{老}[5]课{老}阔
x[1]豁{豁然}劐{用刀劐开}霍藿[2]禾和{和面}[5]货祸
∅[1]握窝蜗{蜗牛，文}[3]我[5]沃卧

#iæɛ
ʨ[1]街[5]介界芥戒械{机械}
ɕ[5]蟹{文}

#ei
p[1]杯悲北碑卑笔{白}[5]贝背{背诵}辈焙倍被避
pʰ[1]胚{胚胎}坯{土坯}披{披衣服白}[2]培陪赔[5]沛配佩
m[1]墨[2]梅枚媒煤眉楣[3]每美[5]妹昧媚
f[1]非飞妃[2]肥[3]匪翡{翡翠}
v[1]微{白}[5]味{白}未{白}
t[1]堆[5]对碓兑队
tʰ[1]推[3]腿[5]退蜕{蜕皮}
n[312]内
l[2]儡{傀儡}累{积累}畾[2]雷[5]累{连累}类泪
ʦ[3]嘴[5]罪最
ʦʰ[1]催崔[5]脆{黄瓜很脆}粹{纯粹}
s[1]虽绥[2]髓隧遂隧[5]岁碎穗
tʂ[2]贼
ʂ[2]谁[3]水[5]税睡
ʐ[5]瑞

#uei
tʂ[1]追锥[5]赘坠
tʂʰ[1]吹炊[2]垂槌锤
ʂ[5]岁{年年岁岁}
ʐ[3]蕊
k[1]圭闺规轨癸归[3]鬼[5]桂跪贵
kʰ[1]魁盔[2]傀{傀儡}逵葵奎[5]窥
x[1]恢灰麾挥辉[2]回[3]毁[5]贿悔晦溃{溃脓}惠慧会{开会}会{会不会}讳
∅[1]威煨微{文}[2]为{作为}[3]桅{桅船}卫伪危委唯维惟尾{文}违伟苇{苇草}[5]为{为什么}位未{文}味{文}魏畏慰纬胃谓

#ou
t[1]都{都城}都{都是}笃督[2]毒独读犊{犊子}[3]堵肚斗{一斗}抖陡赌[5]妬斗{斗争}踱度渡镀
tʰ[1]偷秃[2]徒屠涂途图[3]土吐{吐痰}[5]吐{呕吐}透
n[2]奴[3]努[312]怒
l[1]鹿禄绿{白}六{白}[2]炉庐芦庐楼搂耧[3]鲁橹虏篓搂{搂抱}滷[5]路露鹭{白鹭}漏陋
ʦ[1]租[2]组卒{兵卒}族[3]祖阻走[5]做作奏
ʦʰ[1]粗[2]猝{仓猝}[5]醋凑
tʂ[1]周舟州筑烛粥竹[2]骤帚{文}[3]肘掫{往上掫}嘱[5]祝助昼皱绉咒纣桀纣
tʂʰ[1]初抽畜{畜生}触[2]仇酬锄愁筹酬稠绸[3]丑楚[5]臭
ʂ[1]梳搜飕收束[2]叔熟{煮熟}熟{熟悉}赎[3]手首守属蜀数{动词}[5]数{名词}瘦兽授受寿
ʐ[2]柔揉辱褥{褥子}[5]肉
k[1]勾钩沟[3]狗苟[5]够构购勾{勾当}
kʰ[1]抠[3]口[5]叩{叩头}扣{扣住}寇
x[2]侯喉猴瘊[5]后厚侯

#iou
t[1]丢
l[1]溜[2]流刘留榴{石榴}硫{硫磺}琉{琉璃}[3]柳[5]馏
ʦ[3]酒[5]就
ʦʰ[1]秋{秋天}秋{秋千}囚
s[1]修羞[5]秀宿星宿锈袖
ʨ[1]鸠纠究[3]九韭灸针灸[5]救
ʨʰ[1]丘[2]求球仇[5]臼舅
ȵ[2]牛[3]纽扭
ɕ[1]休[3]朽
∅[1]优尤悠幽[2]尤由油游犹[3]有友酉[5]幼又右釉柚

#an
p[1]班斑颁扳般搬[3]板版[5]伴拌半绊扮瓣
pʰ[1]攀潘[2]爿盘[3]盼[5]襻判叛
m[2]蛮瞒[3]满[5]慢
f[1]翻番{几番}[2]凡帆烦藩矾[3]反[5]范犯泛贩饭嬔{嬔蛋}
v[3]挽晚
t[1]担{担任}丹单{单独}[3]胆[5]担{挑担}蛋担{担子}诞旦但弹{子弹}
tʰ[1]滩摊[2]谈痰檀墰弹{弹琴}[3]毯坦[5]炭
n[2]难{困难}[5]难{受难}
l[2]蓝篮缆兰拦栏[3]揽览榄{橄榄}懒[5]滥烂
ʦ[3]攒{积攒}[5]暂赞
ʦʰ[1]餐[2]惭残[5]燦
s[1]三珊[3]伞散{分散}
tʂ[1]粘沾毡[3]盏斩展[5]站{站立}蘸{蘸油}占绽{破绽}
tʂʰ[1]搀[2]缠蝉禅{禅宗}[3]铲产
ʂ[1]衫山删扇[3]陕[5]善
ʐ[3]染冉然燃
k[1]甘柑尴{尴尬}干肝竿{竹竿}[3]敢橄{橄榄}桿擀{擀面}
kʰ[1]看{看守}[3]砍[5]看{看见}
x[1]憨鼾{鼾睡}罕[2]寒韩[3]喊[5]旱汗汉焊
∅[1]安鞍[5]岸案按

#ian
p[1]鞭边{边幅}[3]贬扁匾[5]辩辨变便汴遍{一遍}遍{遍地}辫{辫子}
pʰ[1]篇偏[2]便{便宜}[5]骗
m[2]眠绵棉[5]面
t[1]掂癫[3]点典[5]店电殿奠佃垫
tʰ[1]添天[2]甜田填[3]舔
l[2]廉镰簾敛连怜[3]脸[5]练炼恋{新}
ʦ[1]尖歼煎[3]剪[5]剑践溅贱荐渐
ʦʰ[1]签潛迁千[2]钱前[3]浅
s[1]仙先
ʨ[1]监{监牢}兼艰间{中间}奸腱肩坚[3]检俭简柬拣[5]件键建健腱
ʨʰ[1]乾遣铅谦牵[2]钳鵮{鸟啄食}[5]嵌欠歉
ȵ[2]年黏{黏米}[3]撚{撚碎}碾辇[5]念
ɕ[1]掀[2]咸衔闲贤弦嫌[3]险馅羡献现显[5]限苋{苋菜}
∅[1]淹阉烟蔫[2]炎盐阎俨严颜延筵言沿研[3]掩魇眼演[5]厌雁谚堰砚燕宴

#uan
t[1]端[3]短[5]断{决断}锻{锻炼}段椴
tʰ[2]团
n[3]暖
l[5]乱{新}
ʦʰ[5]窜
s[1]酸[5]算蒜
tʂ[1]专砖[3]转{转眼}[5]转{转圈}篆传{传记}撰
tʂʰ[1]穿川[2]传{传达}椽船[3]喘[5]串
ʂ[1]栓闩[5]涮{涮洗}
ʐ[3]软
k[1]官棺观冠{衣冠}关[3]管馆[5]贯灌罐观寺观冠{冠军}
kʰ[1]宽[3]款
x[1]欢[2]桓还{还原}还{还有}环[3]缓[5]唤焕换幻患宦
∅[1]弯湾豌{豌豆}[2]玩{古玩}顽{顽皮}[3]皖碗剜皖宛[5]万

#yan
l[2]联卵恋{老}[5]乱{老}
s[1]鲜{新鲜}宣[2]旋[3]癣选[5]旋{旋吃旋作}
ʦʰ[2]全泉
ʨ[1]捐[3]捲{捲起}[5]卷倦圈{猪圈}
ʨʰ[1]圈{圆圈}[2]拳权颧{颧骨}[3]犬[5]劝
ɕ[1]喧[2]眩悬玄
∅[1]冤辕援渊[2]圆员缘元原源袁[5]院怨

#ən
p[1]奔锛[3]本[5]奔{奔着}笨
pʰ[1]喷{喷水}[2]盆[5]喷{喷香}
m[2]门[5]闷
f[1]分{分开}芬[3]粉焚[5]粪奋愤忿份分
v[2]文纹蚊闻[3]吻[5]问
tʂ[1]针侦贞斟真榛臻[3]枕诊珍疹[5]镇阵振震
tʂʰ[1]深{白}[2]沉陈尘辰晨臣[5]衬称{相称}趁
ʂ[1]深{文}身申娠森参{人参}[2]神[3]沈伸[5]甚肾慎渗{渗水}
ʐ[2]壬任姓人仁[3]忍[5]刃忍葚{桑葚}任{责任}纫{缝纫}
k[1]跟根
kʰ[3]恳垦
x[3]很[5]恨痕
∅[1]恩

#in
pʰ[1]拼[2]贫频{频繁}[3]品
p[1]彬宾槟{槟榔}[5]鬓殡
m[3]闽悯敏抿民
l[2]檩[3]林鳞燐鄰淋{文}[5]赁{租赁}吝{吝啬}
ʦ[1]浸津[5]进晋
ʦʰ[1]亲[2]寝[3]秦[5]吣{吣食}亲{亲家}
s[1]心辛新薪[2]信[3]寻
ʨ[1]今金禁{禁不住}襟锦巾斤筋[3]紧仅谨[5]禁{禁止}尽劲{劲敌}近
ʨʰ[1]钦侵[2]琴禽擒勤芹
ɕ[1]欣
∅[1]音隂殷[2]淫银[3]吟饮{饮酒}隐[5]饮{饮马}

#uən
t[1]敦{敦厚}[5]饨{馄饨}盾{矛盾}顿钝
tʰ[1]吞[2]屯豚臀囤[5]退{后退}
n[5]嫩
l[3]淋{白}伦{新}轮{新}[5]论{新}
ʦ[1]尊遵
ʦʰ[1]村皴{脸皴}[5]寸
s[1]孙[3]损榫{榫头}
tʂ[3]准
tʂʰ[1]春椿[2]醇纯[3]蠢
ʂ[5]顺舜
ʐ[5]闰润
k[3]滚
kʰ[1]昆坤[3]捆[5]困
x[1]昏婚荤[2]魂馄浑[5]混{相混}
∅[1]温瘟[3]稳

#yn
s[2]旬循巡[5]迅
ʨ[1]菌均钧君军[5]俊郡
ʨʰ[2]群裙
ɕ[1]熏薰[5]殉迅训
l[3]淋{淋漓}伦{老}沦轮{老}[5]论{老}
∅[1]晕[2]匀韻云雲[3]允[5]熨孕韻运

#aŋ
p[1]帮邦[3]榜绑[5]谤棒蚌
pʰ[2]滂{滂沱}旁螃{螃蟹}庞[5]胖
m[2]忙芒茫盲虻[3]莽蟒
f[1]方芳[2]肪[3]仿{仿效}纺仿{相仿}彷{彷佛}[5]放
v[2]亡芒{麦芒,白}[3]网
t[1]当{当时}[5]当{当作}宕荡
tʰ[1]汤[2]堂棠唐糖塘螳[3]倘{倘使}躺
n[2]囊
l[2]郎郎廊狼[5]浪
ʦ[1]脏[5]葬藏{西藏}
ʦʰ[1]仓苍[2]藏
s[1]桑丧{丧礼}[3]嗓搡[5]丧{丧失}
tʂ[1]张章樟[3]长{生长}涨掌[5]胀
tʂʰ[1]昌菖{菖蒲}[2]长{长短}肠场常尝[3]厂[5]唱倡{提倡}畅
ʂ[1]商伤[2]裳{衣裳}[3]赏晌{晌午}[5]上{上山}
ʐ[2]瓤{瓜瓤}穰[3]壤{土壤}攘嚷
k[1]缸刚纲钢[3]港{港口}岗冈[5]杠
kʰ[1]康糠[3]慷{慷慨}抗炕扛
x[1]夯{夯实}[2]行{行列}航杭[5]巷{巷道}
∅[1]肮[2]昂

#iaŋ
l[2]良凉量{量长短}梁粱[3]两{两个}两{几两}[5]量{重量}辆亮谅
ʦ[1]将{将来}浆[3]蒋奖桨[5]将{大将}匠
ʦʰ[1]枪[2]墙[3]抢
s[1]箱厢湘镶襄[2]祥详[3]想[5]象橡像相{相貌}
ʨ[1]疆僵礓缰{缰绳}姜江豇{豇豆}[3]讲耕{耕地}[5]强{倔强}降{下降}
ʨʰ[2]强{强大}
ȵ[2]娘[5]酿
ɕ[1]稥乡[2]降{降伏}[3]享响饷[5]向项
∅[1]央秧殃[2]羊洋烊杨阳扬[3]仰养痒[5]样

#uaŋ
tʂ[1]庄装[5]壮状
tʂʰ[1]疮窗[2]床[3]闯[5]创撞
ʂ[1]霜孀双{一双}[3]爽[5]双{双生}
k[1]光[3]广[5]逛
kʰ[1]匡筐眶{眼眶}[2]狂[5]旷况矿
x[1]荒慌[2]黄簧皇蝗[5]晃
∅[1]汪{一汪水}[2]王芒{麦芒，文}[3]枉往[5]忘妄望旺{兴旺}

#əŋ
p[1]崩绷[5]蹦
pʰ[1]烹[2]朋彭膨{膨胀}棚篷蓬
m[3]猛[5]萌盟蒙
f[1]风枫疯讽丰封蜂[2]冯峰锋逢缝{缝衣服}[5]缝{一条缝}奉
t[1]登灯[3]等[5]凳镫{鞍镫}澄{澄水}瞪
tʰ[2]腾藤疼誊{誊写}
n[2]能[5]弄
l[3]冷[5]楞
ʦ[1]曾姓增憎赠
ʦʰ[2]曾{曾经}层[5]蹭{磨蹭}
tʂ[1]筝争正{正月}征蒸[3]拯{拯救}整[5]症郑正政
tʂʰ[1]称撑[2]乘承丞[3]逞{逞能}[5]秤{一杆秤}
ʂ[1]升生牲笙甥声[2]绳[3]省{省长}省{节省}[5]胜{胜利}剩胜圣盛
ʐ[1]仍扔
k[1]更{更换}更{五更}庚羹哽{骨哽}埂耕粳{粳米}[3]耿[5]更{更加}
kʰ[1]坑
x[1]亨[2]恒衡[5]横{蛮横，文}杏{白}
∅[5]硬

#iŋ
p[1]冰乒[3]秉丙禀柄饼[5]病并{合并}
pʰ[2]平坪评甁屏萍
m[2]鸣明名铭[5]命
t[1]丁钉蜓{蜻蜓}[3]顶鼎[5]钉订锭定
tʰ[1]听[2]艇挺亭停廷庭
l[2]陵凌菱灵零铃伶[3]领[5]令另
ʦ[1]精晶睛{眼睛}[3]井[5]静净
ʦʰ[1]清青蜻[2]情晴[3]请
s[1]星腥[3]省{反省}醒[5]性姓
ʨ[1]京荆鲸经{经过}[3]景警惊[5]茎敬竟镜竞径境
ʨʰ[1]卿轻{轻重}倾[3]擎[5]庆顷
ȵ[5]宁{安宁}宁{宁可}
ɕ[1]兴{兴旺}[2]行{品行}形型刑荥{荥阳}[5]兴{高兴}幸杏{文}
∅[1]英婴缨[2]凝蝇莺鹦{鹦鹉}樱{樱桃}迎盈嬴茔颖营[3]影[5]应{应当}应{应用}映

#uəŋ
∅[1]翁[5]瓮

#uŋ
t[1]东冬[3]董懂[5]冻栋动洞
tʰ[1]通[2]同铜桐童瞳[3]桶捅{捅破了}筒统[5]痛
n[2]农脓侬浓齈
l[2]龙{文}笼聋隆[3]拢垅陇
ʦ[1]棕鬃宗综[3]总[5]粽纵{放纵}纵{纵横}
ʦʰ[1]聪怱葱[2]丛
s[1]松嵩[3]怂{怂恿}[5]送宋诵颂讼
tʂ[1]中{当中}忠终锺盅[3]种{种类}[5]中{射中}仲众重{轻重}种
tʂʰ[1]充冲[2]虫重{重复}[3]崇宠
ʐ[2]融冗{冗长}茸{参}茸荣容蓉{芙蓉}镕
k[1]公蚣工功攻{攻击}恭供{供给}[3]汞供拱手巩{巩固}[5]贡供{上供}共
kʰ[1]空{空虚}[3]孔恐[5]控空{空缺}
x[1]烘{烘干}[2]红洪鸿虹茴{茴香}弘宏[3]哄{哄骗}[5]横{横竖白}

#yŋ
l[3]龙{白}
ʨ[3]迥{迥然不同}
ʨʰ[2]琼
ɕ[2]熊雄
∅[1]埇{埇肥}庸泳詠[3]拥勇涌永[5]用
