#符号说明：-白=文/书*俗?待考	
#调值	［1］24［2］213［3］55［5］22［6］31［7］5［8］3
#ɿ	
p [3]比{比较}[5]闭陛臂痹	
ʨ [1]浆蒋张章樟疆僵姜缰江将{将来} [3]奖桨长{生长}涨掌姜 [5]酱将{大将}帐账胀仗{打～}障{保障}降{下降}	
ʨʰ [1]搀枪腔菖{菖蒲}[3]抢强{勉~} [5]畅唱倡{提倡}	
dʑ [2]详长{长短}肠场常强降{投降} [6]丈杖强{倔~}	
ɕ [1]箱厢镶商伤香乡相{互相} [3]想赏饷享响 [5]相{相貌}向项	
ɕʑ [2]墙祥尝偿 [6]象像{长得～}橡{橡树}上{上山}尚上{上面}匠	
Ǿ [1]秧养痒 [2]羊{～子}洋烊杨阳扬疡{溃疡}[3]央 [5]样	
#uã	
dz [5]赚	
s [1]拴	
k [1]关 [5]贯灌冠{冠军}惯	
kʰ [1]环{环形东西}	
hɦ [6]环{耳～}	
Ǿ [1]皖{安徽}弯湾挽 [2]丸{肉丸}还{还原}[5]万	
#ɑ	
p [1]巴{～结}芭疤 [3]把{把守，把握，一把}[5]霸欛{柄}坝{堤}爸	
pʰ [5]怕帕	
b [2]爬琶{琵琶}钯{钯子}[6]杷{枇杷}耙{犁耙，耙地}罢稗	
m [1]妈马码{码子}[2]麻痲蟆{蛤蟆} [5]骂	
t [3]打	
ɾ [6]大	
n [2]拿	
l [1]拉 [2]哪{哪个}那	
ʦ [1]渣遮蔗楂{山楂，～口果} [5]诈榨{榨油}炸{炸弹}	
ʦʰ [1]差{差别，差不多}茬车{马车}[5]叉岔杈{枝杈}	
dz [2]茶搽查{调查}	
s [1]沙纱赊舍{隔壁邻～} [3]洒舍傻洒 [5]赦舍	
sz [2]蛇畲{姓}  [6]射社	
k [1]家加 [3]假{真假}[5]架嫁价	
kʰ [6]揢{捕、拿住}抲{捕、拿住}	
ŋ [1]瓦丫{脚～}我{～家}[2]牙芽衙伢{小孩子}[5]轧{被车轧}[6]砑{砑平}	
h [1]虾{鱼虾}	
hɦ  [2]虾{虾蟆}[6]下夏□{～得很：很坏}	
Ǿ [1]丫{～鬟}桠{桠杈}也[3]哑	
#iɑ	
t [1]爹	
n [1]惹	
ʨ [1]家{家具}嘉 [3]假姐 {褒义大～}[5]驾稼借假	
ɕ [3]写 [5]泻卸	
ɕʑ [2]霞邪斜 [6]厦{偏厦}厦{厦门}夏{姓}谢-	
Ǿ [1]耶鸦 [2]雅爷涯崖 [3]野 [6]亚夜	
#uɑ	
ʦ [1]抓 [3]爪	
s [3]耍	
k [1]瓜 [3]寡剐 [5]挂卦	
kʰ [1]夸 [3]侉垮 [5]跨	
h [1]花 [5]化	
hɦ [2]华{中华}划{计～，划船}[6]画{1 名词；2 动词}话洼划华{华山、姓}	
#ᴇ	
p [3]摆 [5]拜	
pʰ [5]派	
b [2]排牌{筏} [6]败	
m [1]买 [2]埋 [5]卖迈	
t [1]呆{懛}[5]戴带	
tʰ [1]胎台{台州，天台} [5]态太泰	
ɾ [2]台苔{1 青苔；2 舌苔}抬 [6]贷待{～客}怠殆代袋大{大夫、大黄}	
n [1]乃奶 [5]耐奈	
l [2]来 [5]赖癞	
ʦ [1]者灾栽载{年载}斋  [3]宰载{载重}[5]再载{满载}债	
ʦʰ [1]猜钗差{出差}[3]彩采睬 [5]菜蔡	
dz [2]才材财 [6]寨	
s [1]腮鳃筛{筛子} [5]赛晒	
sz [2]柴{～草}裁纔豺 [6]在	
k [1]该街居{拥有(钱财或某种实物)}赅 [3]改解{解开}[5]溉盖丐{乞丐}介界芥疥届戒械概	
kʰ [1]开揩 [3]凯楷	
ŋ [1]挨{挨住}[2]呆捱{捱打} [5]碍	
h [3]海蟹	
hɦ [2]孩鞋 [6]亥害	
Ǿ [1]哀蔼[3]矮 [5]爱艾	
#uᴇ	
ʦ [5]拽	
ʦʰ [1]揣	
s [3]衰摔 [5]率帅	
k [1]乖 [3]拐 [5]怪	
kʰ [5]块会{会计}块快筷	
hɦ [2]怀槐淮 [6]坏	
Ǿ [1]歪 [5]外	
#ɔ	
p [1]褒包胞 [3]保堡宝饱 [5]报豹	
pʰ [1]泡抛 [3]跑 [5]炮{枪炮}泡{泡在水里}	
b [2]袍 [6]抱暴爆刨{木工工具}曝鲍{1 姓；2 鲍鱼}	
m [1]猫卯 [2]毛茅锚矛 [5]冒帽貌贸	
t [1]刀 [3]岛倒{打倒}[5]到倒{倒水}	
tʰ [1]掏{掏出来}滔{白浪～天}[3]讨{～打}[5]套	
ɾ [2]滔桃逃淘{淘汰}陶萄涛{～城} [6]道稻盗导	
n [1]脑恼 [5]闹	
l [1]唠老 [2]劳捞{1 捞钱；2 打捞}牢 [5]涝	
ʦ [1]遭糟招沼 [3]早枣蚤澡爪{爪子}找笊朝{今朝}[5]灶罩照	
ʦʰ [1]操抄{抄写}超 [3]草钞炒吵爪{猪脚～}[5]躁糙{粗糙}	
dz [2]曹槽巢朝{朝代}潮 [6]造{建造}赵兆皂	
s [1]骚{风～蛇}臊{臊气}梢稍烧{～火}[3]嫂少{多少}[5]扫少{少年}	
sz [6]绍邵	
k [1]高膏篙羔糕教-{～人}镐{农具} [3]稿绞搅搞-[5]告窖觉	
kʰ [1]敲 [3]考烤[5]靠	
ŋ [1]袄咬 [2]熬 [5]傲	
h [1]蒿薅 [3]好{好坏}[5]耗好{喜好}	
hɦ [2]豪壕毫号{吼}嚎 [6]浩号{号数}镐{西周的国都}	
Ǿ [5]奥懊{懊悔}	
#iɔ	
p [1]臕{肥臕}标表彪 [3]表{老～}	
pʰ [1]飘漂 [3]漂{漂亮}[5]票{车票}	
b [2]瓢嫖{嫖赌}朴{姓}	
m [1]藐秒 [2]苗描 [5]庙妙	
t [1]刁貂雕 [5]钓吊	
tʰ [1]挑{～水}[3]□{交换}[5]跳	
ɾ [2]条调{调和}[6]调{音调}调{调动}掉	
n [1]鸟[2]饶[5]绕{绕线}尿	
l [1]瞭了{没完没～}[2]燎疗聊辽撩了{～结}[3]了{～不起}[5]料廖{姓}	
ʨ [1]交郊胶狡焦{烧～}骄娇矫{矫诈}浇缴 [3]较蕉椒剿饺搅={死～棍}瞧{看不起}[5]教={教育}叫	
ʨʰ [1]锹缲{缲边}[3]巧悄{静悄悄} [5]鞘{刀鞘}窍俏	
dʑ [2]乔侨桥荞瞧[6]轿	
ɕ [1]消宵霄硝销枵萧箫 [3]小晓 [5]酵孝效笑	
ɕʑ [6]校{学校，上校}	
Ǿ [1]妖邀腰要{要求}舀{舀水}耀幺{幺二三}[2]摇谣窑姚 [5]要{重要}跃鹞{鹞鹰，～子翻身}	
#iɪ	
ʨ [3]{贬义，小～}	
ɕʑ [6]麝{麝香}谢=	
Ǿ [5]遗	
#iɪ̃	
p [1]鞭编边蝙 [3]贬扁匾 [5]变遍	
pʰ [1]偏 [5]篇骗{欺骗}遍片	
b [6]便{方便} [6]辩辫	
m [1]免勉 [2]眠绵棉 [5]面	
t [1]颠 [3]点典奠 [5]店	
tʰ [1]添天 [3]舔	
ɾ [2]甜田填 [6]电殿垫{垫钱}	
n [1]研染捻{以指捻碎}[2]年 [5]念砚验	
l [1]脸撵恋脸 [2]廉镰帘连联怜莲 [5]练炼楝{楝树}	
ʨ [1]尖歼沾粘{粘贴}兼搛{搛菜：用筷子夹}艰煎肩坚[3]减检俭简剪茧趼姐{贬义，小～} [5]剑箭建犍{犍子}荐见	
ʨʰ [1]签{抽籖}簽{簽字}谦迁遣千牵 [3]浅 [5]歉欠嵌{插}	
dʑ [2]钳掮{扛}揵{扛}[6]件键健腱	
ɕ [1]仙鲜掀宪宣 [3]闪险癣先显选□{～蛛蛛：蜘蛛}閃{～电}[5]线搧扇献	
ɕʑ [2]潜钱乾{乾坤}前贤全泉衔=[6]贱善现旋{旋床}践渐县	
Ǿ [1]掩腌蔫{食物不新鲜}蔫{花萎}烟 [2]炎盐阎檐严嫌延言 [3]演{～戏}[5]厌艳焰燕咽宴	
#ʊ̃	
p [1]搬 [5]半	
pʰ [5]判	
b [2]盘 [6]伴拌	
m [2]瞒馒 [3]满	
t [1]端 [3]短 [5]断{决断}锻	
ɾ [2]坛{菜～}团 [6]断段缎	
n [1]暖 [2]南男	
l [1]卵 [5]乱	
ʦ [1]钻{动词} [5]钻{木工用具}	
ʦʰ [1]参汆{汆丸子}	
s [1]酸 [5]算蒜	
sz [2]蚕	
k [1]甘干肝干{干湿}官棺观[3]敢竿{竹竿}杆秆{稻杆}擀{擀麺}赶管馆 [5]罐{～头}	
kʰ [1]看{看守} [3]款 [5]看{看见}	
ŋ [1]软 [5]岸	
h [1]欢{喜～} [3]罕 [5]汉	
k [1]歌哥过锅[3]果裹	
kʰ [1]科窠棵  [5]课	
hɦ [2]含寒-韩{姓} [6]汗焊{焊铁壶}旱换	
Ǿ [1]庵安鞍豌{豌豆}[3]碗揞{揞住}[5]暗按案	
#y	
t [1]兜丢 [3]斗{一～米} [5]斗{～争}	
tʰ [1]偷 [3]敨{展开，敨气}[5]透	
ɾ [2]头{～发}投 [6]豆逗	
n [1]扭[2]纽揉{～～}牛	
l [1]篓柳溜[2]楼流刘留榴{石榴}硫{硫磺}琉[5]漏	
ʨ [1]邹周舟州洲阄{拈阄}纠{纠缠}纠 [3]酒鸠九久韭帚 [5]昼皱绉咒灸救究	
ʨʰ [1]秋抽丑丘 [3]丑 [5]凑臭{香臭}	
dʑ [2]绸筹愁仇酬求球仇{姓} [6]肘宙臼舅咎旧柩	
ɕ [1]修搜飕{凉～～}馊搜收休 [3]手首守 [5]嗽秀绣宿{星宿}锈瘦	
ɕʑ [6]就受寿授售袖兽	
Ǿ [1]忧优友{朋～，～谊}悠酉幽冤援远 [2]邮由油游圆员缘元原源园 [3]有友{～好}[5]又右佑诱柚釉幼	
#ʏ	
k [1]勾钩沟[3]狗[5]够{往上彀}够构购	
kʰ [1]抠眍{眼眍}[3]口 [5]扣{扣住}寇	
g [6]厚	
ŋ [1]藕	
hɦ [2]侯喉猴候 [6]后后	
Ǿ [1]偶欧殴[3]呕[5]怄{怄气}	
#ʊ	
p [1]波菠坡玻{玻璃} [3]跛[5]簸{簸一簸}簸{簸箕}	
pʰ [5]破剖	
b [2]婆	
m [1]亩牡母某 [2]魔磨摩馍模{模子}模{模范}摹{摹仿}谋膜 [5]磨{石磨}暮慕墓募幕茂	
t [1]多都{都城}都{都是}[3]朵躲堵赌肚{鱼肚，猪肚}	
tʰ [1]拖[3]椭{椭圆}妥妬土吐{吐痰}吐{呕吐}[5]兔	
ɾ [2]驼驮徒屠途涂图[6]舵惰杜肚{腹肚}度渡镀	
n [6]糯	
l [1]啰 [2]罗锣箩螺脶{手指纹}[6]摞{摞起来}	
ʦ [3]左 [5]做	
ʦʰ [1]搓 [5]锉措错	
s [1]蓑梭{织布梭}唆[3]锁琐所	
sz [6]坐座	
k [1]歌哥过锅 [3]果裹 [5]过	
kʰ [1]科窠棵 [3]可 [5]课	
ŋ [1]我[2]蛾鹅俄讹 [6]饿	
h [3]火伙 [5]货	
hɦ [2]河何荷和{和气}禾 [6]荷{薄荷}祸和{和面}	
Ǿ [1]窝蜗	
#l	
Ǿ [1]耳饵 [2]犂黎倪离璃儿梨厘而狸{狐～}[3]礼李里里理拟 [5]例厉励隶{奴～}离{离开半寸}利痢二贰吏粒{一～米}疟{疟疾}丽{美丽}荔{荔枝}腻{油～}□{手提}	
#eᶦ	
p [1]蓖杯碑卑悲 [5]贝背	
pʰ [1]胚坯[5]佩沛配	
b [2]培陪赔 [6]辈倍背{背诵}焙备	
m [1]每某免勉 [2]梅枚媒煤楣霉 [3]美 [5]妹昧媚	
f [1]恢灰非飞妃翡挥辉徽{国～，安～} [3]匪[5]晦废肺疿{疿子}费	
v [2]肥 [6]慧	
t [3]堆碓{舂米}[5]涕{鼻涕}对	
tʰ [1]推 [3]腿 [5]退蜕褪	
ɾ [6]队兑	
n [5]内	
l [2]雷儡 [5]累{极困}累{连累}类泪	
ʦ [3]嘴 [5]醉	
ʦʰ [1]催崔炊 [3]扯 [5]脆翠粹	
s [5]碎岁	
sz [2]随髓 [6]罪隧穗	
#ueᶦ	
ʦ [1]追专砖捐锥 [3]转{转眼，转送}卷{卷起}卷 [5]转眷坠	
ʦʰ [1]吹川穿圈{圆圈} [3]喘 [5]劝券串	
dz [2]垂槌锤传{传达}椽船拳权 [6]传{传记}	
s [1]靴闩 [3]水 [5]税楦{鞋楦}	
sz [2]谁 [6]芮睡瑞	
z [1]渊 [2]阮袁辕 [5]院愿怨	
k [1]闺规归 [3]诡龟鬼轨 [5]刽桧鳜桂贵	
kʰ [1]盔亏魁 [5]跪溃{溃脓}癸愧	
ɡ [2]奎逵葵 [6]柜	
h [3]悔 [5]贿	
Ǿ [1]煨委微威伟{雄～}苇纬尾{结～}[2]桅{船桅杆}危为维唯违围回茴 [5]卫喂位未味魏慰胃谓猬会伪 [6]绘汇惠	
#ə̃	
p [1]奔 [3]本	
pʰ [1]喷{喷水}[5]喷{喷香}	
b [2]盆彭膨 [6]笨	
m [2]门 [5]闷	
f [1]分{分开}芬纷 [3]粉 [5]粪奋愤	
v [6]份	
t [1]墩蹲登灯 [3]等 [5]顿凳	
tʰ [1]吞	
ɾ [2]饨屯腾誊藤 [6]囤{～圈：装粮食的}钝遁盾邓澄瞪	
n [2]能 [5]嫩	
l [1]冷 [2]轮 [5]论	
ʦ [1]针珍臻真尊遵曾{姓}增征{征求，～收}蒸争筝睁贞侦正{正月}征 [3]枕整诊疹{麻～} [5]镇振震证症郑正政	
ʦʰ [1]村称{称呼}撑 [3]逞 [5]趁衬寸蹭称{相称}秤{一杆秤}	
dz [2]沉岑陈尘臣存乘承橙程成城诚澄惩丞 [6]阵赠	
s [1]森参{人参}深身申伸僧升生牲甥声孙 [3]审婶损笋榫{榫头}省{省长}省{节省}沈{姓，～阳}[5]胜{胜任}胜{胜败}圣逊	
sz [2]神辰晨绳盛{盛满了} [6]肾慎剩盛{兴盛}	
z [2]仁层 [5]任{姓}任{责任}纴{缝纴}	
k [1]今{～朝}跟根更{1 更换；2 五更}粳{粳米}庚羹耕 [3]哽埂梗耿 [5]更{更加}	
kʰ [3]恳龈{老鼠龈}肯	
ŋ [5]硬	
h [1]亨 [3]很	
hɦ [2]痕恒衡 [6]恨杏{～子}	
Ǿ [1]恩樱	
p [1]崩[5]迸{迸裂}	
pʰ [3]捧	
b [2]朋棚篷蓬 [6]蚌{～埠}	
m [1]猛懵{懵懂}[2]虻{牛虻}萌盟蒙 [3]蠓[5]梦孟	
f [1]风枫疯讽丰封峰蜂锋	
v [2]冯逢缝{缝衣服} [6]凤奉俸缝{一条缝}	
t [1]东冬 [3]董懂 [5]冻栋	
tʰ [1]通 [3]桶捅统 [5]痛	
ɾ [2]同铜桐筒童瞳 [6]动洞	
n [2]农脓浓 [5]弄	
l [1]笼拢 [2]聋隆龙 [3]陇{古～}[5]弄	
ʦ [1]棕鬃宗{～族}综{织布机上的综}䝋中{当中}忠终踪锺钟仲{姓}[3]总种肿 [5]粽中{射中，～枪}众纵{纵横}种{种树}	
ʦʰ [1]聪怱葱囱充冲 [5]铳{放铳}	
dz [2]虫 [6]重{轻重}	
s [1]松嵩 [5]送宋诵颂	
sz [2]崇从{跟从}重{重复}[6]仲	
k [1]公蚣{蜈蚣}工功{立～}攻弓躬宫恭供{供给} [3]拱{拱手}巩汞 [5]贡供{供养}	
g [6]共	
kʰ [1]空{空虚}[3]孔恐 [5]控空{空缺}	
h [1]轰揈{揈出去}烘{烘干} [3]哄{哄骗}	
hɦ [2]弘宏红洪鸿[6]閧	
Ǿ [1]翁	
dz [2]穷琼{～花}丛	
s [1]兄胸凶	
sz [2]熊雄	
z [1]雍拥庸甬勇涌 [2]荣绒茸容蓉镕 [5]用	
#uə̃	
ʦʰ [1]皴{脸皴}椿	
dz [2]醇{酒味醇}	
s [5]训	
sz [6]顺	
k [3]滚 [5]棍	
kʰ [1]昆{~仑}坤 [3]捆 [5]困{～觉}	
h [1]昏婚荤 [5]混{相混}	
hɦ [2]馄{馄饨}	
Ǿ [1]温瘟 [2]魂浑伦坟文纹蚊闻横{横直}[3]稳 [6]问	
#ɒ̃	
p [1]帮浜{一条浜，沙家～}邦 [3]榜绑[5]雹[6]蚌{河～～}傍棒	
pʰ [1]肨{肿} [5]胖	
b [2]旁螃{螃蟹}庞	
m [1]莽网[2]忙芒茫盲 [3]蟒[5]忘望	
f [1]荒慌方肪芳 [3]仿纺访谎 [5]放	
v [2]房防	
t [1]当{当时} [3]党挡 [5]当{当作}	
tʰ [1]汤 [3]躺 [5]烫{～斗}趟{一趟}	
ɾ [2]堂棠螳{螳螂}唐糖塘 [6]荡{放荡}宕{延宕}	
n [1]攮 [2]囊瓤{瓜瓤}	
l [2]郎{～溪}廊狼螂 [3]朗 [5]浪	
ʦʰ [1]昌 [3]厂	
sz [2]裳{衣裳}	
dz [6]藏{西藏}脏	
s [1]桑{～果果}丧 [3]磉{柱下石}嗓搡	
k [1]冈岗刚纲钢缸豇{豇豆} [3]讲港{港口} [5]钢{刀钝了}杠虹降{霜～}	
kʰ [1]康糠坑 [5]抗囥{藏}	
ɡ [2]扛	
ŋ [2]昂	
h [1]夯{打夯}	
hɦ [2]行{行列}航杭 [6]巷	
Ǿ [1]骯{肮脏}	
#uɒ̃	
ʦ [1]赃庄装桩 [5]葬壮	
ʦʰ [1]苍仓疮窗 [3]闯 [5]创	
dz [6]撞状	
s [1]霜双 [3]爽	
sz [2]床	
k [1]光 [3]广 [5]逛	
kʰ [1]筐眶 [5]匡况矿	
g [2]狂	
hɦ [6]晃	
Ǿ [1]汪{～洋大海，一汪水，姓}往 [2]黄簧{锁簧}皇蝗亡王横{蛮横} [3]枉 [5]旺	
#yɪ̃	
ʨ [1]肫{肫肝}钧君军 [3]准菌均 [5]俊	
ʨʰ [1]春 [3]顷蠢	
dʑ [2]群裙 [2]唇	
ɕ [1]熏 [5]迅	
ɕʑ [2]旬循巡殉 [6]纯	
Ǿ [1]允泳咏{歌～比赛}[2]匀云赢 [3]永[5]润闰熨韵运晕孕	
#in	
p [1]彬宾槟{槟樃}冰兵 [3]禀秉饼丙 [5]柄并殡	
pʰ [1]姘{姘头}拼 [3]品[5]聘	
b [2]贫频{频繁}凭平坪瓶屏{围屏}萍评{～～理} [6]病	
m [1]抿 [2]民敏鸣{ 自～钟}明名 [5]命	
t [1]丁钉{铁钉}疔 [3]顶 [5]钉{钉住}订{订约}	
tʰ [1]听厅[3]艇挺	
ɾ [2]亭停廷庭 [6]定	
n [2]人银宁{安宁} [5]认 [6]宁{宁可}	
l [2]林淋{淋湿}临邻鳞磷陵凌菱灵{菩萨很～}零铃伶拎 [3]鲤檩{屋上或墙上的长条形构件}领岭[5]令{命～}另	
ʨ [1]金禁{禁不住}襟津尽巾斤筋京惊鲸精晶经今{从～往后} [3]锦{～旗}尽{尽前}紧仅荆{～夹条}景警井颈 [5]浸禁{禁止}进晋劲{有劲}境敬竟镜竞劲{劲敌}径	
ʨʰ [1]钦亲清青轻{轻重}[3]寝请 [5]亲{亲家}庆	
dʑ [2]秦芹琴禽擒情{人～世故} [6]近静靖净	
ɕ [1]心辛新薪兴{～起，兴旺}行{行为}星腥 [3]醒 [5]信讯兴{高兴}性姓	
ɕʑ [2]寻勤晴{～天}形型刑 [6]幸杏{银～}	
Ǿ [1]音阴因姻殷鹰蝇莺鹦{鹦鹉}英缨应{应当}[2]寅迎盈营{～长}[3]影{电～，～子}颖饮引隐[5]荫{屋子很荫}洇印应{应用}应{应付}映蚁{蚂～子}	
#ɛʔ	
p [7]八	
b [8]拔	
m [8]抹抹袜	
f [7]法{法子}发{头发}发豁{豁口}	
v [7]挖 [8]罚伐	
t [7]答搭沓{一沓纸}獭{水獭}	
ɾ [8]踏{～板：台阶}达	
tʰ [8]塔塌	
n [8]纳捺	
l [8]辣瘌腊蜡	
ʦ [7]扎{用针扎}铡{铡刀}眨=	
ʦʰ [8]插擦察	
s [7]杀	
sz [8]杂闸炸	
k [7]眨{眨眼}夹{夹衣}	
kʰ [8]掐	
h [7]瞎	
hɦ [8]盒狭匣	
Ǿ [7]鸭押压	
#iɛʔ	
p [7]鳖笔毕必弼逼碧壁	
b [8]别{区别}别{离别}鼻	
pʰ [8]撇{1 撇捺；2 撇开}僻辟劈	
m [8]灭篾{竹篾}	
t [7]跌{～相}的{目的}滴嫡	
ɾ [8]碟笛敌狄蝶	
tʰ [8]帖{1 碑帖；2 请帖}贴踢剔铁	
n [8]聂热孽捏日{～晒雨淋}虐	
l [8]猎立笠列烈裂劣栗律率{速率}肋力历	
ʨ [7]髻甲胛接捷劫缉集辑急级杰揭截结洁疾吉脚鲫极积迹脊绩击激节	
dʑ [8]及籍藉	
ʨʰ [8]七漆乞雀鹊戚吃	
ɕ [7]吸薛歇蝎屑楔雪戌削惜昔锡析息熄媳	
ɕʑ [8]习切绝悉席夕胁协	
Ǿ [7]噎揖{作揖}乙一益[8]页业越约药钥译液腋	
#uɛʔ	
s [7]刷	
k [7]括刮呱{青～～：青蛙}	
kʰ [8]宽阔扩	
hɦ [8]猾{狡猾，～头～脑}	
#iaʔ	
ɕʑ [8]峡	
#əʔ	
p [7]薄{薄荷}钵拨不博剥驳北百柏伯	
b [8]白仆{倒}	
pʰ [8]泼泊{梁山泊}泊朴迫拍魄扑瀑	
m [8]拇末沫没{1 沉没；2 没有}莫墨默陌{陌生}麦脉木目穆牧	
f [7]福幅蝠{蝙蝠}复腹覆{反复}复	
v [8]佛缚获服伏复	
t [7]得德笃{～定}督	
ɾ [8]夺特独读毒	
tʰ [8]脱突托托{手承物}秃	
l [8]捋{捋袖}落烙骆洛络乐勒{1 勒索；2 勒脖子}鹿禄六陆绿录	
ʦ [7]只{只有}折{折迭}褶{皱纹}蛰哲折{折断}浙质卒作着{着衣}则侧织职摘责只足	
dz [8]执侄直值殖植泽择{择菜}	
ʦʰ [8]彻撤测拆㿭策册赤斥尺促厕族	
s [7]续涉涩湿拾{拾起来}设折{弄折了}瑟{～～抖}虱失室蟀索塞{阻塞}色识式饰适释速肃宿{～舍}粟俗续	
sz [8]十什{～么，什物}舌实凿贼食蚀石	
z [8]日{～出}	
k [7]个鸽割葛各阁搁胳{胳臂}郭角格革隔	
kʰ [8]磕渴壳{壳子}刻{时刻}刻{用刀刻}克客	
ŋ [8]岳额	
h [7]喝{喝酒}喝{喝彩}郝{姓}霍藿{藿香}黑赫吓{恐吓}蠚{蜂蠚人}	
hɦ [8]合鹤学核{审核}斛	
Ǿ [7]恶{善恶}	
#iɛʔ	
m [8]密蜜	
n [8]逆{逆风，～子}	
#uəʔ	
tʰ [8]出	
n [8]肉月	
ʦ [7]决诀橘桌卓琢啄浊捉觉{知觉}竹筑逐祝粥菊烛	
dz [8]镯轴嘱蜀属局	
