使用綠色的								#客	#客	#闽南		藍色是鸡老师抄的									
id	注释	单字	番禺市桥	天河石牌	花都炭步	从化吕田	增城荔城	花都梯面	白云太和	南沙东涌		番禺市橋	天河石牌	花都文崗	從化獅象	增城荔城	白雲人和	黃埔蘿崗	南沙黃閣		issame
45	药～	渣	tʃa53	tʃa53	tʃa55	tʃa53	tʃa55	tsa34	tsa22	tsa33		tʃa53	tʃa53	tʃa55	tʃa53	tʃa55	tʃa53	tʃa55	tʃa55		1
46	～药	炸	tʃa33	tʃa33	tʃa33	tʃa33	tʃa33	tsa55	tsa51	tsa12											
47	调～	查	tʃʰa31	tʃʰa21	tʃʰa21	tʃʰa22	tʃʰa21	tsʰa21	tsʰa22	tsʰɛ55											
48	泥～，～漠	沙	ʃa53	ʃa53	ʃa55	ʃa53	ʃa55	sa34	sa33	sua33		ʃa53	ʃa53	ʃa55	ʃa53	ʃa55	ʃa53	ʃa55	ʃa55		1
49	老～，～庭	家	ka53	ka53	ka55	ka53	ka55	ka34	ka33	kɛ33		ka53	ka53	ka55	ka53	ka55	ka53	ka55	ka55		1
50	真～，～设	假	ka35	ka25	ka25	ka35	ka35	ka55	ka31	kɛ51											
51	书～	架	ka33	ka33	ka33	ka33	ka33	ka55	ka51	kɛ12											
52	～齿，刷～	牙	a31	ŋa21	ŋa21	ŋa22	ŋa21	ɡa21	ŋa22	ɡɛ55											
53	鱼～，～公	蝦	ha55	ha55	ha55	ha35	ha55	ha34	ha22	hɛ55											
54	～背，底～	下	ha22	ha34	ha32	ha31	ha31	ha34	ha22	ɛ35		ha22	ha34	ha32	ha31	ha31	ha31	ha41	ha31		1
55	～降，～流	下	ha22	ha34	ha32	ha31	ha31	ha55	ha51	kɛ35		ha22	ha34	ha32	ha31	ha31	ha31	ha41	ha31		1
56	哑巴，～佬	啞	a35	ŋa25	ŋa25	ŋa35	a35	a42	a31	ɛ51											
57	小～[文]	姐	tʃɛ35	tʃɛ55	tʃɛ25		tʃɛ35	tsia42	tsia31	tsia51		tʃɛ35	tʃɛ55	tʃɛ25		tʃɛ35	tʃɛ231	tʃɛ35	tʃɛ25		
58	～钱	借	tʃɛ33	tʃɛ33	tʃɛ33	tiɛ33	tʃɛ33	tsia55	tsia51	tsioʔ21											
59	而～，况～	且	tʃʰɛ35	tʃʰɛ25	tʃʰɛ25	tʰiɛ35	tʃʰɛ35	tsʰe42	ʦʰia31	tsʰia51											
60	～字	寫		ʃɛ25	ʃɛ25	ʃiɛ35	ʃɛ35	sia42	sia31	sia51											
61	不正	斜	tʃʰɛ31	tʃʰɛ21	tʃʰɛ21	tʰiɛ22	tʃʰɛ21	tsʰia21	tsʰia22	sia55											
62	多～；姓	謝	tʃɛ22	tʃɛ31	tʃɛ32	tiɛ31	tʃɛ31	tsʰia55	tsʰia51	tsia22											
63	遮挡[动]；伞[名]	遮	tʃɛ53	tʃɛ53	tʃɛ55	tʃiɛ53	tʃɛ55	tʃa34	ʦa33	tsia33		tʃɛ53	tʃɛ53	tʃɛ55	tʃiɛ53	tʃɛ55	tʃɛ53	tʃɛ55	tʃɛ55		1
64	记～，作～	者	tʃɛ35	tʃɛ25	tʃɛ25	tʃiɛ35	tʃɛ35	tsia42	tsa31	tsia51											
65	甘蔗	蔗	tʃɛ33	tʃɛ33	tʃɛ33	tʃiɛ33	tʃɛ33	tʃa55	ʦa51	tsia12		tʃɛ33	tʃɛ33	tʃɛ33	tʃiɛ33	tʃɛ33	tʃɛ33	tʃɛ33	tʃɛ23		1
66	火～	車	tʃʰɛ53	tʃʰɛ53	tʃʰɛ55	tʃʰiɛ55	tʃʰɛ55	tʃʰa34	ʦʰa33	ʦʰia33											
67	～开，～烂	扯	tʃʰɛ35	tʃʰɛ25	tʃʰɛ25		tʃʰɛ35		tsʰa31	tʰi51											
67	～开，～烂	□				mɐŋ33		mɛt5													
68	毒～	蛇	ʃɛ31	ʃɛ21	ʃɛ21	ʃiɛ22	ʃɛ21	ʃia21	ʃa22	tsua55		ʃɛ31	ʃɛ21	ʃɛ21	ʃiɛ22	ʃɛ21	ʃɛ21	ʃɛ21	ʃɛ21		1
69	发～，～箭	射	ʃɛ22	ʃɛ31	ʃɛ32	ʃiɛ31	ʃɛ31	sia55	ʃa51	sia22		ʃɛ22	ʃɛ31	ʃɛ32	ʃiɛ31	ʃɛ31	ʃɛ31	ʃɛ41	ʃɛ31		1
70	～唔得（舍不得）	捨	ʃɛ33	ʃɛ25	ʃɛ33	ʃiɛ35	ʃɛ33	ʃa42	ʃa31	sia12											
71	～会，公～	社	ʃɛ13	ʃɛ34	ʃɛ34	ʃiɛ33	ʃɛ35	ʃa34	ʃa33	sia35		ʃɛ31	ʃɛ34	ʃɛ34	ʃiɛ33	ʃɛ35	ʃɛ231	ʃɛ13	ʃɛ23		番禺
72	～事	惹	jɛ13	jɛ34	jɛ25	ŋiɛ35	jɛ13	ɡia34	ia33	ja51											
73	父亲；爷爷[文]	爺	jɛ31	jɛ21	jɛ21	kun53	jɛ21		ia22	ia55											
74	～人	野	jɛ13	jɛ34	jɛ34	za33	jɛ13	ja34	ia33	ia51		jɛ13	jɛ34	jɛ34	za33	jɛ13	jɛ231	jɛ13	jɛ23		1
75	日～，～班	夜	jɛ22	jɛ31	jɛ32		jɛ31	ja55	ia51	mẽ55											
76	～瓜，～子	傻	ʃɔ31	ʃɔ21	ʃɔ21	ʃɔ22	ʃɔ21	sɔ21	sɔ22	sa35											
77	西～，～分	瓜	kua55	kua55	kua55	ka53	kua55	ka34	ka33	kua33		kua53	kua53	kua55	ka53	kua55	kua53	kua55	kua55		番禺, 天河
78	～大，～张	誇	kʰua53	kʰua53	kʰua55	kʰa55	kʰua55		kʰa33	kʰua33											
79	～片	瓦	a13	ŋa34	ŋa34	ŋa35	ŋa35	ɡa42	ŋa31	hia35											
80	开～	花	fa55	fa55	fa55	fa35	fa55	fa34	fa33	hue33		fa55	fa55	fa55	fa35	fa55	fa53	fa55	fa55		1
81	中～	華	wa31	wa21	wa32		wa21	fa21	fa22	hua55											
82	～鞋，～充	補	pou35	pou25	pou25	pu35	pou35	pu42	pu31	pou51											
83	红～，～料	布	pou33	pou33	pou33	pu33	pou33	pu55	pu51	pou12		pou33	pou33	pou33	pu33	pou33	pou33	pou33	pou23		1
84	～队，干～	部	pou22	pou31	pou32	pʰu31	pou31	pu55	pʰu51	pou35											
85	跑～	步	pou22	pou31	pou32	pʰu22	pou31	pʰu55	pʰu51	pou33		pou22	pou31	pou32	pʰu22	pou31	pou2	pou41	pou31		1
86	～型，～范	模	mou31	mou21	mou21	mu22	mou21	bɔ21	mu22	mõ55											
87	坟～，～地	墓	mou22	mou31	mou32	mu31	mou31	bu55	mu51	mõ35		mou22	mou31	mou32	mu31	mou31	mou31	mou41	mou31		1
88	都是	都	tou53	tou55	tou55	tu55	tou55	tu34	tu33	to33		tou53	tou53	tou55	tu53	tou55	tou53	tou55	tou55		天河, 从化
89	～博	賭	tou35	tou25	tou25	tɐu35	tou35	tu42	tu31	tou51											
90	～地	土	tʰou35	tʰou25	tʰou25	tʰɐu35	tʰou35	tʰu42	tʰu31	tʰou51		tʰou35	tʰou25	tʰou25	tʰou35	tʰou35	tʰou231	tʰou35	tʰou25		从化
91	画～，地～	圖	tʰou31	tʰou21	tʰou21	tʰɐu22	tʰou21	tʰu21	tʰu22	tou55											
92	～数，长～	度	tou22	tou31	tou32	tɐu31	tou31	tʰu55	tʰu51	tou22											
93	～隶	奴	lou31	lou21	lou21	lɐu22	nou21	lu21	lu22	nou55											
94	火～	爐	lou31	lou21	lou32	lɐu22	lou21	lu21	lu22	lou55											
95	盐～，～水	滷	lou13	lou34	lou34	lɐu33	lou13	lu34	lu33	lou51											
96	大～	路	lou22	lou31	lou32	lou31	lou31	lu55	lu51	lou22		lou22	lou31	lou32	lou31	lou31	lou31	lou41	lou31		1
97	～金，出～	租	tʃou53	tʃou53	tʃou55	tou53	tʃou55	tsɿ34	tsu33	tsou33		tʃou53	tʃou53	tʃou55	tou53	tʃou55	tʃou53	tʃou55	tʃou55		1
98	～宗，～国	祖	tʃou35	tʃou25	tʃou25	tou35	tʃou35	tsɿ42	tsu31	tsu51											
99	～好事	做	tʃou22	tʃou31	tʃou32	ty33	tʃou33	tsɔ55	tsɔ51	tso12											
100	～心	粗	tʃʰou53	tʃʰou53	tʃʰou55	tʰɐu53	tʃʰou55	tsɿ34	tsʰu33	tsʰou33		tʃʰou53	tʃʰou53	tʃʰou55	tʰou53	tʃʰou55	tʃʰou53	tʃʰou55	tʃʰou55		从化
101	～州；姓	蘇			ʃou55		ʃou55	sɿ34	su33	sou33											
102	大～	姑	ku55	ku55	ku55	ku55		ku34	ku33	kou33		ku53	ku53	ku55	ku53	ku55	ku53	ku55	ku55		
103	锣～，～励	鼓	ku35	ku25	ku25	ku35	ku35	ku42	ku31	kou51											
104	～事，～乡	故	ku33	ku33	ku33	ku33	ku33	ku55	ku51	ku12		ku33	ku33	ku33	ku33	ku33	ku33	ku33	ku23		1
105	辛～，食～（吃苦）	苦	fu35	fu25	fu25	fu35	fu35	fu42	kʰu31	kʰou51											
106	～味	苦	fu35	fu25	fu25	fu35	fu35	fu42	fu31	kʰou51											
107	裤子	褲	fu33	fu33	fu33	fu33	fu33	fu55	fu51	kʰou12											
108	姓	吳	ŋ̍31	ŋ̍21	ŋ̍32	ŋ̍22	ŋ̍55	ŋ̍21	ŋ̩22	ɡou55											
109	数字	五	ŋ̍13	ŋ̍34	ŋ̍34	ŋ̍35	m̍13	ŋ̍42	ŋ̩31	ŋou35		ŋ̍13	ŋ̍34	ŋ̍34	ŋ̍35	m̩13	ŋ̍231	ŋ̍13	ŋ̍23		增城
110	～会，错～	誤	ŋ̍22	ŋ̍21	ŋ̍32	ŋ̍31	ŋ̍31	ŋ̍55	ŋ̩31	ɡou35											
111	老～	虎	fu35	fu25	fu25	fu35	fu35	fu42	fu31	hoũ51											
112	二～ ；姓	胡	hu31	hu21	hu21	vu22	fu21	fu21	fu22	hu55		hu31	hu21	hu21	vu22	fu21	wu21	wu21	fu21		1
113	～口	戶	hu22	hu31	hu32	vu31	fu55	fu55	fu51	hou35											
114	黑	烏	wu53	wu53	wu55	vu53	wu55	vu34	vu33	ou33											
115	女人	女	løy13	lœy34	løy34	zy35	nœ35	lui42	ŋi31	nɯŋ51		løy13	løy34	løy34	zy35	nœ35	nøy231	løy13	løy23		天河
116	姓	呂	løy13	lœy34	løy34	ly33	lœ13	lui34	lui33	lu51											
117	考～	慮	løy22		løy32	lœy31	lœ31	lɛm42	lui51	lu35											
118	姓	徐	tʃʰøy53	tʃʰœy53	tʃʰøy21	ʃy22	tʃʰœ21	tsʰui21	tsʰi22	tsʰu55		tʃʰøy53	tʃʰøy53	tʃʰøy21	ʃy22	tʃʰœ21	tʃʰøy21	tʃʰøy21	tʃʰøy21		天河
119	顺～	序	tʃøy22	tʃœy53	tʃøy32	tʃœy53	tʃœ31	sun55	ʃi51	tsui35											
120	清～	楚	tʃʰɔ35	tʃʰɔ25	tʃʰɔ25	tʃʰɔ35	tʃʰɔ35	tsʰɔ42	tsʰɔ31	tsʰɔ51		tʃʰɔ35	tʃʰɔ25	tʃʰɔ25	tʃʰɔ35	tʃʰɔ35	tʃʰɔ231	tʃʰɔ35	tʃʰɔ25		1
121	～肉	豬	tʃy53	tʃy55	tʃy55	tʃy53	tʃy55	tʃu34	tʃu33	tu33											
122	～法	除	tʃʰøy31	tʃʰœy21	tʃʰøy21	tʃʰy22	tʃʰœ21	tsʰui21	tʃʰu22	tu55		tʃʰøy31	tʃʰøy21	tʃʰøy21	tʃʰy22	tʃʰœ21	tʃʰøy21	tʃʰøy21	tʃʰøy21		天河
123	当～，～中	初	tʃʰɔ55	tʃʰɔ53	tʃʰɔ55	tʃʰɔ55	tʃʰɔ55	tsʰɔ34	tsʰɔ33	tsʰɔ33		tʃʰɔ55	tʃʰɔ53	tʃʰɔ55	tʃʰɔ55	tʃʰɔ55	tʃʰɔ53	tʃʰɔ55	tʃʰɔ55		1
124	～草，～禾日当午	鋤	tʃʰɔ31	tʃʰɔ21	tʃʰɔ21	tʃʰɔ22	tʃʰɔ33	tsʰɔ21	tʰɔ22	tsʰɔ55											
125	帮～	助	tʃɔ22	tʃɔ31	tʃɔ32	tʃɔ31	tʃɔ31		tsʰu51	tsɔ35		tʃɔ22	tʃɔ31	tʃɔ32	tʃɔ31	tʃɔ31	tʃɔ31	tʃɔ41	tʃɔ31		1
126	梳子[名]；梳头[动]	梳	ʃɔ55	ʃɔ55	ʃɔ55	ʃɔ53	ʃɔ55	sɔ34	sɔ33	siu55											
127	～饭	煮	tʃy35	tʃy25	tʃy25	tʃy35	tʃi35	tʃu42	tʃu31	tsu51											
128	～理，相～	處	tʃʰy33	tʃʰy33	tʃʰy33	tʃʰy33	tʃʰi33	tʃʰu42	tʃʰu51	tsʰu12											
129	读～	書	ʃy53	ʃy53	ʃy55	ʃy53	ʃi55	ʃu34	ʃu33	tsu33											
130	老～	鼠	ʃy35	ʃy25	ʃy25	ʃy35	ʃi35	tʃʰu42	tʃʰu31	tsʰu51											
131	番～	薯	ʃy31	ʃy25	ʃy21	ʃy22	ʃi21	ʃu21	ʃu22	tsu55											
132	～果，假～	如	jy31	jy21	jy21	zy22	jy21	ju21	ji22	zu55		jy31	jy21	jy21	zy22	ji21	jy21	jy21	jy21		增城
133	～报，～重	舉	køy35	kœy25	køy25	ky35	kœ35	ki42	ki31	ku51											
134	电～	鋸	kœ33	kœ33	køy33	ky33	kœ33	ki55	ki51	ku12											
135	来～，过～	去	høy33	hœy33	høy33	hy33	hœ33	si55	kʰi51	kʰu12		høy33	høy33	høy33	hy33	hœ33	høy33	høy33	høy23		天河
136	他，第三人称	佢	kʰøy13	kʰœy34	kʰøy34	ky33	kʰœ13	ki21	ki22	tʰa33											
137	～大，艰～	巨	køy22	kœy31	køy32	ky31	kœ31	tʰai55	ki51	ku35											
138	金～	魚	jy35	jy25	jy21	zy35	ji35	ŋ̍21	ŋ̩22	hu55											
139	～文	語	jy13	jy34	jy34	zy33	ji35	ji34	ŋi33	ɡu51											
140	～心	虛	høy53	hœy53	høy55	hy53	hœ55	hui34	ʃi33	hu33											
141	允～；姓	許	høy35	hœy25	høy25	hy35	hœ35	si42	ʃi31	kʰou51											
142	多～	餘	jy31	jy21	jy21	zy22	ji21	ji21	ji33	u55											
143	～报，～备	預		jy22	jy32		ji31	ji55	ji51	u33											
144	～妻，车～	夫	fu53	fu53	fu55	fu53	fu55	fu34	fu33	hu33		fu53	fu53	fu55	fu53	fu55	fu53	fu55	fu55		1
145	政～	府	fu35	fu25	fu25	fu35	fu35	fu42	fu31	hu51											
146	～头	斧	fu35	fu25	fu25	pu35	fu35	fu42	pu31	pou51/hoũ51											
147	～导，～助	輔	fu22	pou25	fu32	fu31	fu55	pu42	fu31	hu35											
148	～器，～术	武	mou13	mou34	mou34	mu33	mou35	bu34	vu33	bu51		mou13	mou34	mou34	mu33	mou35	mou231	mou13	mou23		1
149	跳～	舞	mou13	mou34	mou34	mu35	mou13	bu42	mu31	bu51											
150	任～，～农	務	mou22	mou31	mou32	mu31	mou31	bu55	mᵇu51	bu35											
151	～钱	取	tʃʰøy35	tʃʰœy25	tʃʰøy25	tʰy35	tʃʰœ35	kʰai34	tsʰi31	tsʰu51											
152	兴～	趣	tʃʰøy33	tʃʰɔi33	tʃʰøy33	tʃʰœy33	tʃʰœ33	tsʰui55	tsʰi51	tsʰu12		tʃʰøy33	tʃʰɔi33	tʃʰøy33	tʃʰøy33	tʃʰœ33	tʃʰøy33	tʃʰøy33	tʃʰøy23		从化
153	～会	聚	tʃøy22	tʃui31	tʃøy32	tʃœy31	tʃœ31	tsui55	tsʰi51	tsui35											
154	～要	需	ʃøy53	ʃœy53	ʃøy55	ʃy55	ʃœ55	sui34	sui33	sui33/su33											
155	柱子	柱	tʃʰy13	tʃʰy34	tʃʰy34	tʃʰy33	tʃʰi13	tʃʰu34	ʧʰu33	tʰiau35		tʃʰy13	tʃʰy34	tʃʰy34	tʃʰy33	tʃʰi13	tʃʰy231	tʃʰøy13	tʃʰy23		1
156	～宿	住	tʃy22	tʃy31	tʃy32	tʃʰy31	tʃi31	tʃʰu55	tʃʰu51	tsu35		tʃy22	tʃy31	tʃy32	tʃy31	tʃi31	tʃy31	tʃy41	tʃy31		从化
157	姓	朱	tʃy53	tʃy53	tʃy55	tʃy55	tʃi55	tʃu34	tʃu33	tsu33											
158	～人，地～	主	tʃy35	tʃy25	tʃy25	ty35	tʃi35	tʃu42	tʃu31	tsu51											
159	～立，种～	樹	ʃy22	ʃy31	ʃy32	ʃy31	ʃi31	ʃu55	ʃu51	ʦʰiu22											
160	地～，～别	區	kʰøy53	kʰœy53	kʰøy55	kʰy55	kʰœ55	kʰi34	kʰi33	kʰu33											
161	～体	具	køy22	kœy31	køy32	ky31	kœ31	ki55	ki51	ku35											
162	遭～，相～，～到	遇	jy22	jy21	jy32	zy31	ji31	ji55	ŋi51	ŋɔ̃35											
163	落～，谷～，～水	雨	jy13	jy34	jy34	ʃy35	ji13		ji31	hou35		jy13	jy34	jy34	zy33	ji13	jy231	jy13	jy23		从化
164	～湾	臺		tʰɔi21	tʰɔi21		tʰɔi21	tʰɔi21	tʰɔi22	tʰai55											
165	～替，～表	代	tɔi22	tɔi31	tɔi32	hɔi31	tɔi31	tʰɔi55	tʰɔi51	tɔ33/tʰøy12											
166	～力，～心，忍～	耐	lɔi22	lɔi31	lɔi32	ŋat3	nɔi31	lɔi55	lɔi51	naĩ35											
167	过～，～去	來	lɔi31	lɔi21	lɔi21	nɔi22	lɔi21	lɔi21	lɔi22	lai55											
168	～来	再	tʃɔi33	tʃɔi33	tʃøy33	tʃɔi33	tʃɔi33	tsɔi55	tsai51	tsai12		tʃɔi33	tʃɔi33	tʃɔi33	tʃɔi33	tʃɔi33	tʃɔi33	tʃɔi33	tʃɔi23		花都
169	～色	彩	tʃʰɔi35	tʃʰɔi25	tʃʰɔi25	tʰɔi35	tʃʰɔi35	tsʰɔi42	tsʰɔi31	tsʰaĩ51											
170	煮～，青～	菜	tʃʰɔi33	tʃʰɔi33	tʃʰɔi33	tʰɔi33	tʃʰɔi33	tsʰɔi55	tsʰɔi51	tsʰai12		tʃʰɔi33	tʃʰɔi33	tʃʰɔi33	tʰɔi33	tʃʰɔi33	tʃʰɔi33	tʃʰɔi33	tʃʰɔi23		1
171	人～，～气，秀～	才	tʃʰɔi31	tʃʰɔi21	tʃʰɔi21	tʃʰɔi22	tʃʰɔi21	tsʰɔi21	tsʰɔi22	tsʰai55		tʃʰɔi31	tʃʰɔi21	tʃʰɔi21	tʃʰɔi22	tʃʰɔi21	tʃʰɔi21	tʃʰɔi21	tʃʰɔi21		1
172	比～	賽	tʃʰɔi33	tʃʰɔi33	tʃʰɔi33	ʃɔi33	tʃʰɔi33	sɔi55	sɔi51	sai12											
173	应～	該	kɔi53	kɔi53	kɔi55	kɔi55	kɔi55	kɔi34	kɔi33	kai33											
174	修～，～正	改	kɔi35	kɔi25	kɔi25	kɔi35	kɔi35	kɔi42	kɔi31	køi51											
175	公～，～门	開	hɔi53	hɔi53	hɔi55	hɔi53	hɔi55	hɔi34	kʰɔi33	kʰai33											
176	大～	海	hɔi35	hɔi25	hɔi25	hɔi35	hɔi35	hɔi42	hɔi31	hai51											
177	悲～	哀	ɔi53	ɔi53	ŋɔi55	ɔi55	ɔi55		ɔi33	ŋaĩ33											
178	～情；要	愛	ɔi33	ŋɔi55	ŋɔi33	ɔi33	ɔi33	ɔi55	ɔi51	aĩ12											
179	鞋～	帶	tai33	tai33	tai33	tai33	tai33	tai55	tai51	tua12											
180	大小	大	tai22	tai31	tai32	tʰai31	tai31	tʰai55	tʰai51	tua22		tai22	tai22	tai32	tai31	tai31	tai31	tai41	tai31		天河, 从化
181	依～，无～；姓	賴	lai22	lai22	lai32	lai31	lai31	lai55	lai51	naĩ35											
182	艾草	艾	ai22	ŋai22	ŋai32	ŋai31	ŋai31	ai55	iɔi51	ŋaĩ22											
183	～人	害	hɔi22	hɔi31	hɔi32	hɔi31	hɔi31	hɔi55	hɔi51	hai22		hɔi22	hɔi22	hɔi32	hɔi31	hɔi31	hɔi31	hɔi41	hɔi31		天河
