漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
刺		tsʰɿ²⁴	tsʰɿ²⁴	tsʰɿ⁴⁵	tsʰɿ⁵⁵	tsʰɿ³¹³；tsʰə³¹³
賜		sɿ²⁴	sɿ²⁴	─	sɿ⁵⁵	─
智		tsɿ²⁴	tsʰɿ⁵⁵	─	tʃɿ⁵⁵	tsɿ³¹³
豉		sɿ⁴³	sɿ⁵⁵	─	ʃɿ⁴⁴	sɿ⁴⁵
寄		ki²⁴	ki²⁴	─	ki⁵⁵	ki³¹³
誼		─	─	─	gi²¹	i¹¹³
義		gi⁴³	gi⁵⁵	gi⁵⁵	gi⁴⁴	gi⁴⁵
議		─	gi⁵⁵	gi⁵⁵	gi⁴⁴	gi⁴⁵
戲		ʃi²⁴	si²⁴	ʃi⁴⁵	ʃi⁵⁵	hi³¹³
易		i⁴³	i⁵⁵	i⁵⁵	i⁴⁴	i⁴⁵
悲		pi³³	pi³³	pə³³	pə²²	pe³⁵³
丕		pʰi³³	pʰi³³	─	─	pʰe³⁵³
琵		pʰi¹³	pʰi²¹	pʰi²¹	pʰi²¹	pʰi¹¹³
枇		pʰi¹³	pʰi²¹	pʰi²¹	pʰi²¹	pʰi¹¹³
眉		bi¹³	bi²¹	bi²¹	bi²¹	mi¹¹³
楣		bi¹³	bi²¹	─	─	me¹¹³
黴		mɛ¹³/bɛ¹³	bi²¹	bua²¹	bua²¹	me¹¹³
尼		gie¹³	li²¹	li²¹	li²¹	gi¹¹³；li¹¹³
梨		li¹³	lai²¹	ti²¹	ti²¹	li¹¹³
資		tsɿ³³	tsɿ³³	tsɿ³³	tsɿ²²	tsɿ³⁵³
姿		tsɿ³³	tsɿ³³	tsɿ³³	tsɿ²²	tsɿ³⁵³
瓷		tsʰɿ¹³	tsʰɿ²¹	─	─	tsʰə¹¹³
餈		tsʰi¹³	tsʰi²¹	tsʰi²¹	tsʰi²¹	tsʰɿ¹¹³
私		sɿ³³	sɿ³³	─	sɿ²²	sə³⁵³
遲		tsʰɿ¹³	tsʰɿ²¹	tʃʰɿ²¹	tʃʰɿ²¹	tsʰɿ¹¹³
師		sɿ³³	sɿ³³	sɿ³³	sɿ²²	sə³⁵³
獅		sɿ³³	sɿ³³	─	sɿ²²	sə³⁵³
脂		tsɿ³³	tsɿ³³	tʃɿ³³	tʃɿ²²	tsɿ⁵⁵
尸		─	sɿ³³	ʃɿ³³	ʃɿ²²	sɿ³⁵³
屍		sɿ³³	sɿ³³	ʃɿ³³	ʃɿ²²	sɿ³⁵³
飢		ki³³	ke³³	kue³³；ki³³	kue²²；ki²²	ki³⁵³
肌		─	ki³³	─	─	─
鰭		─	─	─	─	kʰi¹¹³
伊		─	─	─	─	i⁵⁵
夷		i¹³	─	─	─	i¹¹³
姨		i¹³	i²¹	i²¹	i²¹	i¹¹³
鄙		pʰi³¹	─	─	─	pi³¹³
比		pi³¹	pi³¹	pi²⁴	pi²⁴	pi³¹³
美		mi³¹	bi³¹	bi²⁴	bi²⁴	me³¹³
姊		tsi³¹	tsi³¹	─	tsi²⁴	tsi³¹³
死		si³¹	si³¹	─	si²⁴	sɿ³¹³
雉		─	tsʰɿ⁵⁵	tʃʰɿ³³	tʃʰɿ²²	tsʰɿ³⁵³
旨		tsɿ³¹	tsɿ³¹	─	─	tsɿ³¹³
指		tsɿ³¹	tsai³¹手~；tsɿ³¹~導	─	tʃɿ²⁴	tsɿ³¹³
屎		sɿ³¹	sɿ³¹	ʃɿ²⁴	ʃɿ²⁴	sɿ³¹³
几		ki³¹	─	─	─	─
祕		bi⁴³	bi⁵⁵	─	─	miʔ⁵⁴
泌		─	bi⁵⁵	pi⁴⁵	pi⁵⁵	miʔ⁵⁴
庇		pʰi⁴³	pi²⁴	─	─	pi³¹³
痹		pi²⁴	pi²⁴	pi⁴⁵	pi⁵⁵	pi³¹³
屁		pʰi²⁴	pʰi²⁴	pʰi⁴⁵	pʰi⁵⁵	pʰi³¹³
備		pʰi⁴³	pʰi⁵⁵	─	pʰi⁴⁴	pʰi⁴⁵
鼻		pʰi⁴³(鼻子)；pʰi²⁴(聞)	pʰi⁵⁵	─	pʰi⁴⁴	pʰi⁴⁵
媚		─	mi⁵⁵	─	─	─
地		tʰi⁴³	tʰi⁵⁵	tʰi⁵⁵	tʰi⁴⁴	tʰi⁴⁵
膩		li⁴³	─	─	─	─
利		li⁴³	li⁵⁵	─	ti⁵³/ʔ³¹	li⁵³
痢		li⁴³	li⁵⁵	─	─	li⁴⁵
次		tsʰɿ²⁴	tsʰɿ²⁴	tsʰɿ⁴⁵	tsʰɿ⁵⁵	tsʰə³¹³；tsʰɿ³¹
自		tsʰi⁴³~家；tsʰɿ⁴³~己	tsʰɿ⁵⁵	─	tsʰi⁴⁴~家	tsʰɿ⁴⁵~家；tsʰə⁴⁵~私
四		si²⁴	si²⁴	─	si⁵⁵	si³¹³
肆		─	sɿ²⁴	─	─	sɿ⁵³
致		─	─	─	tʃɿ⁵⁵	tsɿ⁵³
稚		tsɿ²⁴	tsɿ²⁴	─	tʃɿ⁵⁵	tsɿ¹¹³
至		tsɿ²⁴	─	tʃɿ⁴⁵	tʃɿ⁵⁵	tsɿ³¹³
示		sɿ⁴³	sɿ⁵⁵	─	ʃɿ⁴⁴	sɿ⁵³
視		sɿ⁴³	sɿ⁵⁵	ʃɿ⁵⁵	ʃɿ⁴⁴	sɿ⁴⁵
二		gi⁴³	gi⁵⁵	gi⁵⁵	gi⁴⁴	gi⁴⁵
貳		gi⁴³	gi⁵⁵	─	─	─
冀		─	─	─	ki⁵⁵	tsi⁵³
器		kʰi⁵⁵	kʰi²⁴	─	kʰi⁵⁵	kʰi³¹³
棄		kʰi²⁴	kʰi²⁴	─	kʰi⁵⁵	tsʰi⁵³
肄		─	i⁵⁵	─	─	gi⁴⁵
釐		li¹³	li²¹	─	─	li¹¹³
狸		li¹³	li²¹	─	─	li¹¹³
茲		─	tsɿ³³	─	─	─
滋		─	─	─	tsɿ²²	tsə³⁵³
慈		tsʰɿ¹³	tsʰɿ²¹	─	tsʰɿ²¹	tsʰə¹¹³
磁		─	tsʰɿ²¹	─	─	tsʰə¹¹³
司		sɿ³³	sɿ³³	─	sɿ²²	sə³⁵³
絲		sɿ³³	sɿ³³	sɿ³³；se³³	se²²；sɿ²²	sə³⁵³
思		sɿ³³	sɿ³³	sɿ³³	sɿ²²	sə³⁵³
辭		tsʰɿ¹³	tsʰɿ²¹	─	tsʰɿ²¹	sə¹¹³
詞		tsʰɿ¹³	tsʰɿ²¹	─	tsʰɿ²¹	sə¹¹³
祠		tsʰɿ¹³	tsʰɿ²¹	─	tsʰɿ²¹	sə¹¹³
癡		─	tsʰɿ³³	tʃʰɿ³³	tsʰɿ²²	─
持		tsʰɿ¹³	tsʰɿ²¹	tʃʰɿ²¹	tʃʰɿ²¹	tsʰɿ¹¹³
之		tsɿ³³	─	─	tʃɿ²²	tsɿ³⁵³
芝		tsɿ³³	tsɿ³³	─	─	─
詩		sɿ³³	sɿ³³	ʃɿ³³	ʃɿ²²	sɿ³⁵³
時		sɿ¹³	sɿ²¹	ʃɿ²¹	ʃɿ²¹	sɿ¹¹³
而		zɿ¹³	ɜ²¹	─	─	ə¹¹³
基		ki³³	ki³³	─	ki²²	ki³⁵³
欺		kʰi³³	kʰi³³	─	kʰi²²	kʰi³⁵³
其		kʰi¹³	kʰi²¹	─	kʰi²¹	kʰi¹¹³
棋		kʰi¹³	kʰi²¹	─	kʰi²¹	kʰi¹¹³
期		kʰi¹³	kʰi²¹	─	kʰi²¹	kʰi¹¹³
旗		kʰi¹³	kʰi²¹	─	─	kʰi¹¹³
疑		gi¹³	gi²¹	─	gi²¹	i¹¹³
嬉		─	─	─	─	hi³⁵³
熙		ʃi³³	si³³	─	─	hi³⁵³
醫		i³³	i³³	─	i²²	i³⁵³
飴		i¹³	─	─	─	─
你		gi³³	lai³¹	gi²⁴	gi²⁴	gie¹¹³
李		li³¹	li³¹	ti²⁴	ti²⁴	li³¹³
里		li³¹	li³¹	─	ti²⁴	li³¹³
裏		li³³	─	─	─	li³¹³
理		li³¹	li³¹	ti²⁴	ti²⁴	li³¹³
鯉		li³¹	li³¹	─	ti²⁴	li³⁵³
子		tsɿ³¹	tsai³¹	─	tsɿ²⁴	tsə³¹³
梓		tsɿ³¹	─	─	─	tsə³¹³
似		─	─	─	─	sɿ⁵³
祀		sɿ⁴³	─	─	sɿ⁴⁴	sɿ⁵³
巳		i³¹	sɿ⁵⁵	─	─	tsʰə⁴⁵
恥		tsʰɿ³¹	tsʰɿ³¹	tʃʰɿ²⁴	tʃʰɿ²⁴	tsʰɿ³¹³
痔		tsʰɿ⁴³	tsɿ²⁴	tʃʰɿ⁵⁵	tsʰɿ⁴⁴	tsʰɿ⁴⁵
士		sɿ⁴³	sɿ⁵⁵	sɿ⁵⁵	sɿ⁴⁴	sə⁴⁵
仕		sɿ⁴³	─	─	─	sə⁴⁵
柿		kʰi³¹	kʰi³¹	kʰi²⁴	kʰi²⁴	sə⁴⁵
使		sɿ³¹	sɿ³¹	sɿ²⁴	sɿ²⁴	sə³¹³指~；sɿ³¹³天~
史		sɿ³¹	sɿ³¹	sɿ²⁴	sɿ²⁴	sə³¹³
駛		sɿ³¹	sɿ³¹	sɿ²⁴	sɿ²⁴	sə³¹³
止		tsɿ³¹	tsɿ³¹	─	─	tsɿ³¹³
趾		tsɿ³¹	─	tʃɿ²⁴	tʃɿ²⁴	tsɿ³¹³
址		tsɿ³¹	tsɿ³¹	tʃɿ²⁴	tʃɿ²⁴	tsɿ³¹³
齒		tsʰɿ³¹	tsʰe³¹	tʃɿ²⁴	tʃɿ²⁴	tsʰɿ³¹³
始		sɿ³¹	sɿ³¹	ʃɿ²⁴	ʃɿ²⁴	sɿ³¹³
市		sɿ⁴³	sɿ⁵⁵	─	ʃɿʔ⁵⁴	sɿ⁴⁵
恃		─	sɿ⁵⁵	─	─	sɿ⁵³
耳		gi³¹	gi³¹	─	gi²⁴	gi³¹³
己		ki³¹	─	─	ki²⁴	ki³¹³
紀		ki³¹年~	ki³¹	─	ki⁵⁵	ki³¹³
起		kʰi³¹	kʰi³¹	kʰi²⁴	kʰi²⁴	hi³¹³
杞		ki³¹枸~	ki³¹	ki²⁴	ki²⁴	ki³¹³
擬		gi³¹	─	─	─	─
喜		ʃi³¹	si³¹	─	ʃi²⁴	hi³¹³
已		i³¹	i³¹	─	─	i³¹³
以		i³¹	i³¹	─	─	i³¹³
吏		li⁴³	li⁵⁵	─	ti⁴⁴	li⁵³
字		tsʰɿ⁴³	tsʰɿ⁵⁵	─	tsʰɿ⁴⁴	tsʰə⁴⁵
寺		sɿ⁴³	sɿ⁵⁵	─	sɿ⁴⁴	tsʰə⁴⁵
嗣		─	─	─	─	sɿ⁵³
飼		sɿ³³	sɿ⁵⁵	─	sɿ⁴⁴	sə¹¹³
置		tsɿ²⁴	tsɿ²⁴	─	─	─
治		tsʰɿ⁴³	tsʰɿ⁵⁵	tʃʰɿ⁵⁵	tsʰɿ⁴⁴	tsʰɿ⁴⁵；tsʰə⁴⁵
廁		tsʰɤ³¹	─	─	tsʰəʔ⁵³	─
事		sɛ⁴³	sai⁵⁵做~；sɿ⁵⁵~故	sɿ⁵⁵	sɿ⁴⁴	sə⁴⁵做~；sɿ⁴⁵~實
志		tsɿ²⁴	tsɿ²⁴	─	tʃɿ⁵⁵	tsɿ³¹³
誌		tsɿ²⁴	─	tʃɿ⁴⁵	tʃɿ⁵⁵	tsɿ³¹³
痣		tsɿ²⁴	tsɿ²⁴	tʃɿ⁴⁵	tʃɿ⁵⁵	tsɿ³¹³
試		sɿ²⁴考~、~一下	tsʰɿ²⁴~一下；sɿ²⁴考~	ʃɿ⁵³	ʃɿ⁵³	sɿ³¹³
侍		sɿ⁴³	─	─	─	sɿ⁵³
記		ki²⁴	ki²⁴	─	ki⁵⁵	ki³¹³
忌		─	ki²⁴	─	─	kʰi⁴⁵
意		i²⁴	i²⁴	i⁴⁵	i⁵⁵	i³¹³
異		i⁴³	i⁵⁵	─	i⁵⁵	i⁵³
幾	幾乎	ki³¹	ki³¹	─	─	ki³⁵³
機		ki³³	ki³³	─	ki²²	ki³⁵³
譏		ki³³	─	─	─	─
饑		ki³³	ki³³	─	ki²²	─
祈		kʰi¹³	─	─	─	─
希		ʃi³³	si³³	ʃi³³	ʃi²²	hi³⁵³
稀		ʃi³³	─	─	─	hi³⁵³
衣		i³³	i³³	i³³	i²²	i³⁵³
依		i³³	─	─	─	i³⁵³
幾	幾個	ki³¹	ki³¹	ki²⁴	ki²⁴	ki³¹³
豈		kʰi³³	─	kʰi²⁴	kʰi²⁴	─
既		kʰi²⁴	─	─	─	─
氣		kʰi²⁴	kʰi²⁴	kʰi⁴⁵	kʰi⁵⁵	hi³¹³生~、敨~；kʰi³¹³
汽		─	kʰi²⁴	─	─	kʰi³¹³
毅		i⁴³	─	i⁴⁵	i⁵⁵	i⁵³
隨		sui¹³/si¹³	si²¹~便；sui²¹跟~	─	sə²¹	sue¹¹³；tsʰɿ¹¹³
吹		tʃʰe³³	tsʰe³³	kʰue³³	kʰue²²	tsʰə³⁵³
炊		tʃʰe³³	tsʰe³³	─	─	─
垂		fi¹³	tsʰui²¹	fe²¹	fe²¹	─
規		kui³³	kui³³	kui³³	kui²²	kue³⁵³
虧		kʰui³³	kʰui³³	─	kʰui²²	kʰue³⁵³
窺		─	─	─	─	kʰue³⁵³
危		guɛ¹³	vi²¹	guə²¹	guə²¹	guai¹¹³
為	作為	vi¹³	vi²¹	vi²¹	vi²¹	vi¹¹³
累	累積	luɛ³¹	─	─	lə²⁴	le³¹³
嘴		tsi³¹	tsi³¹	kue⁴⁵(嘴巴)；tsi²⁴雞~夾	kue⁵⁵(嘴巴)	tsə³¹³；tsɿ³¹³
髓		suɛ¹³	sui²¹	─	─	sue¹¹³
蕊		luɛ¹³	li³¹	─	─	─
詭		kui³¹	─	kui²⁴	kui²⁴	kue³¹³
跪		kʰui⁴³	kʰui⁵⁵	kʰui⁵⁵	kʰui⁴⁴	kʰi³¹³
毀		fi³¹	fi³¹	fi²⁴	fi²⁴	fi³¹³
委		vi³¹	vi³¹	vi²⁴	vi²⁴	vi³¹³
累	連累	lua⁴³	lue⁵⁵；lui⁵⁵	lua⁵⁵	lua⁴⁴	luai⁴⁵好~；le³¹³拖~
睡		fe⁴³	fe⁵⁵	fe⁵⁵	fe⁴⁴	─
瑞		fi⁴³	─	─	fi⁴⁴	fi⁴⁵
偽		vi³¹	─	─	─	─
為	為什麼	vi¹³	vi²¹	vi²¹	vi²¹	vi¹¹³
雖		ʃy³³	si³³	─	─	sue⁵⁵
綏		suɛ³³	─	─	─	─
追		tsuɛ³³	─	tsə³³	tsə²²	─
槌		tʃʰy¹³	tsʰi²¹	kʰui²¹	kʰui²¹	tsʰue¹¹³
錘		tʃʰy¹³	tsʰi²¹	─	─	tsʰue¹¹³
衰		suɛ³³	sue³³	sə³³	sə²²	se³⁵³好~；suai³⁵³~弱
錐		─	tsui³³	─	tsə²²	tsue⁵⁵
誰		sui¹³	─	─	sə²¹	sue¹¹³
龜		kui³³	kui³³	─	kui²²	ki³⁵³；kue³⁵³
逵		kʰuɛ¹³	─	─	─	kʰue¹¹³
葵		kʰuɛ¹³~花；kʰi¹³~扇	kʰui²¹	kʰui²¹	kʰui²¹	─
維		vi¹³	vi²¹	─	vi²¹	ue¹¹³
惟		vi¹³	vi²¹	─	─	ue¹¹³
遺		i¹³	i²¹	─	vi²¹	─
壘		─	li³¹	─	lə²⁴	le³¹³
水		fi³¹	fi³¹	─	fi²⁴	fi³¹³
軌		kui³¹	kui³¹	─	─	kue³¹³
癸		kʰuɛ¹³	kui³¹	kʰui²¹	kui²⁴	kue³¹³
唯		vi¹³	─	vi²¹	vi²¹	─
類		luɛ⁴³	lui⁵⁵	lə⁵⁵	lə⁴⁴	le⁴⁵
淚		luɛ⁴³	─	─	─	le⁴⁵
醉		tsi²⁴	tsi²⁴	tsi⁴⁵	tsi⁵⁵	tsi³¹³
翠		tsʰi²⁴[老]；tsʰuɛ²⁴[新]	tsʰi²⁴	─	tsʰə⁵⁵	tsʰue³¹³
粹		tsʰuɛ²⁴	─	tsʰə⁵⁵	tsʰə⁵⁵	tsʰue⁵³
隧		suɛ²⁴	sui⁵⁵	─	─	sue⁵³
穗		suɛ²⁴	─	─	─	fi⁴⁵
墜		tsʰɿ⁴³	─	─	─	─
帥		sa²⁴	suai²⁴	─	sa⁵⁵	sai³¹³
愧		kʰuɛ²⁴	kʰui²⁴	─	kʰui⁵⁵	kʰue³¹³
季		kui²⁴/ki²⁴	kui²⁴	─	kui⁵⁵	ki³¹³
櫃		kʰui⁴³	kʰui⁵⁵	kʰui⁵⁵	kʰui⁴⁴	kʰi⁴⁵
位		vi⁴³	vi⁵⁵	─	vi⁴⁴	vi⁴⁵
非		fi³³	fi³³	fi³³	fi²²	fi³⁵³
飛		pɛ³³(動詞)；fi³³~機	pe³³~起來；fi³³張~	pua³³	pua²²	pe³⁵³；fi³⁵³
妃		fi³³	fi³³	─	fi²²	fe³⁵³
肥		pʰɛ¹³；fi¹³~料	pʰi²¹	pʰə²¹	pʰə²¹	pʰe¹¹³大~；fi¹¹³~料
微		vi³³	bi²¹	─	vi²¹	vi¹¹³
歸		kui³³	kui³³	kui³³	kui²²	ki³⁵³
揮		fi³³	fi³³	fi³³	fi²²	fi³⁵³
輝		fi³³	fi³³	fi³³	fi²²	fi³⁵³
徽		fi³³	fi³³	─	─	vi³⁵³
威		vi³³	vi³³	vi³³	vi²²	vi³⁵³
違		vi¹³	vi²¹	vi²¹	vi²¹	vi¹¹³
圍		vi¹³	vi²¹	vi²¹	vi²¹	vi¹¹³
匪		fi³¹	fi³¹	fi²⁴	fi²⁴	fi³¹³
尾		mɛ³¹	bi³¹	bua²⁴	bua²⁴	me³¹³
鬼		kui³¹	kui³¹	kui²⁴	kui²⁴	kue³¹³；ki³¹³
偉		vi³¹	vi³¹	vi²⁴	vi²⁴	vi³¹³
葦		vi³¹	─	─	─	ue³¹
疿		pɛ²⁴	pi²⁴	pə⁴⁵	pə⁵⁵	pe³¹³
費		fi²⁴	fi²⁴	─	fi⁵⁵	fi³¹³
翡		─	─	fi²⁴	fi²⁴	─
未		vi⁴³	vi⁵⁵	vi⁵⁵	vi⁴⁴	vi⁴⁵
味		vi⁴³	vi⁵⁵	vi⁵⁵	vi⁴⁴	vi⁴⁵
貴		kui²⁴	kui²⁴	kui⁴⁵	kui⁵⁵	ki³¹³
魏		guɛ⁴³	gui⁵⁵	guə⁵⁵	guə⁴⁴	ue⁵³
諱		─	fi²⁴	─	─	hue⁵³
畏		vi²⁴(怕)	─	─	─	─
慰		vi³¹	vi⁵⁵	vi⁵³	vi⁵³	vi⁵³
緯		vi³¹	vi³¹	─	─	ue³¹³
胃		vi⁴³	vi⁵⁵	vi⁵⁵	vi⁴⁴	vi⁴⁵
謂		vi⁴³	vi⁵⁵	─	─	vi⁴⁵
蝟		vi⁴³	vi⁵⁵	─	─	─
彙		fɛ⁴³	fi⁵⁵	─	─	─
褒		pɑɔ³¹	pau³³	po³³	po²²	pau⁵⁵
袍		pʰɑɔ¹³	pʰau²¹	pʰo²¹	pʰo²¹	pʰau¹¹³
毛		mɑɔ³³	mau³³	mo³³	mo²²	mau³⁵³
刀		tɑɔ³³	tau³³	─	to²²	tau³⁵³
叨		tɑɔ³³	─	─	to²²	─
滔		tʰɑɔ³³	tʰau³³	─	tʰo²²	tʰau³⁵³
桃		tʰɑɔ¹³	tʰau²¹	tʰo²¹	tʰo²¹	tʰau¹¹³
逃		tʰɑɔ¹³	─	tʰo²¹	tʰo²¹	tʰau¹¹³
淘		─	─	tʰo²¹	tʰo²¹	─
陶		tʰɑɔ¹³	tʰau²¹	─	─	tʰau¹¹³
萄		tʰɑɔ¹³	tʰau²¹	tʰo²¹	tʰo²¹	tʰau¹¹³
濤		tʰɑɔ¹³	─	─	─	─
勞		lɑɔ¹³	lau²¹	lo²¹	lo²¹	lau¹¹³
撈		lɑɔ³³	lau²⁴/²¹	─	─	lau¹¹³
牢		lɑɔ¹³	lau²¹	─	─	lau¹¹³
糟		tsɑɔ³³	tsau³³	─	tso²²	tsau⁵⁵
操		tsʰɑɔ³³	tsʰau³³	─	tsʰo⁵⁵	tsʰau⁵⁵
曹		tsʰɑɔ¹³	tsʰau²¹	─	tsʰo²¹	tsʰau¹¹³
槽		tsʰɑɔ¹³	tsʰau²¹	─	─	tsʰau¹¹³
騷		sɑɔ³³	─	─	so²²	sau⁵⁵
臊		sɑɔ³³	sau³³	─	so²²	sau³⁵³
高		kɑɔ³³	kau³³	ko³³	ko²²	kau³⁵³
膏		kɑɔ³³	kau³³	ko³³	ko²²	kau³⁵³
篙		kɑɔ³³	kau³³	ko³³	ko²²	kau³⁵³
糕		kɑɔ³³	kau³³	ko³³	ko²²	kau³⁵³
熬		ŋɑɔ¹³/gɑɔ¹³	gau²¹	go²¹	go²¹	ŋau¹¹³
蒿		kɑɔ³³	─	─	─	─
豪		hɑɔ¹³英~、~門；ho¹³~豬	hau²¹	hau²¹	hau²¹	hau¹¹³
壕		ho¹³	─	─	─	hau¹¹³
毫		hɑɔ¹³	hau²¹	─	─	hau¹¹³
保		pɑɔ³¹	pau³¹	po²⁴	po²⁴	pau³¹³
堡		pɑɔ³¹	pau³¹	─	─	pau³¹³
寶		pɑɔ³¹	kau²⁴(寶物口語)；pau³¹	po²⁴	po²⁴	pau³¹³
抱		pʰɑɔ³³	pʰau³¹	─	─	pau³⁵³
禱		tɑɔ³¹	─	─	to²⁴	tau³¹³
島		tɑɔ³¹	tau³¹	─	─	tuo³¹³
倒	打倒	tɑɔ³¹	tau³¹	to²⁴	to²⁴	tau³¹³
討		tʰɑɔ³¹	tʰau³¹	tʰo²⁴	tʰo²⁴	tʰau³¹³
道		tʰɑɔ⁴³	tʰau⁵⁵	─	─	tʰau⁴⁵
稻		tʰɑɔ⁴³	tʰau⁵⁵	─	─	tʰau⁴⁵
腦		lɑɔ³¹	lau³¹	─	lo²⁴	lau³¹³
惱		lɑɔ³¹	lau³¹	─	lo²⁴	lau³¹³
老		lɑɔ³¹	lau³¹	lo²⁴	lo²⁴	lau³¹³
早		tsɑɔ³¹	tsau³¹	tso²⁴	tso²⁴	tsau³¹³
棗		tsɑɔ³¹	tsau³¹	tso²⁴	tso²⁴	tsau³¹³
蚤		tsɑɔ³¹	tsau³¹	tso²⁴	tso²⁴	tsau³¹³
澡		─	─	─	─	tsau³¹³
草		tsʰɑɔ³¹	tsʰau³¹	─	tsʰo²⁴	tsʰau³¹³
皂		tsɑɔ²⁴	─	─	─	─
造		tsʰɑɔ²⁴	tsʰau⁵⁵	─	tsʰo⁴⁴	tsʰau⁴⁵
掃		sɑɔ²⁴	sau²⁴~地；sau³¹打~	so⁴⁵	so⁵⁵	sau³¹³
嫂		sɑɔ³¹	sau³¹	─	so²⁴	sau³¹³
稿		kɑɔ³¹	kau³¹	ko²⁴	ko²⁴	kau³¹³
考		kʰɑɔ³¹	kʰau³¹	─	kʰo²⁴	kʰau³¹³
烤		kʰɑɔ³¹	kʰau³¹	─	─	kʰau³¹³
好	好壞	hɑɔ³¹	hau³¹	─	ho²⁴	hau³¹³
浩		hɑɔ⁴³	hau²⁴	─	─	hau⁴⁵
襖		ɑɔ³¹	au³¹	o²⁴	o²⁴	au³¹³
懊	懊惱	─	─	─	─	au⁴⁵
報		pɑɔ²⁴	pau²⁴	po⁴⁵	po⁵⁵	pau³¹³
暴		pɑɔ²⁴	pau²⁴	pau⁴⁵	pau⁵⁵	pʰau⁴⁵
冒		mɑɔ⁴³	mau⁵⁵	─	─	mau⁴⁵
帽		mɑɔ⁴³	mau⁵⁵	bo⁵⁵	bo⁴⁴	mau⁴⁵
到		tɑɔ²⁴	tau²⁴	to⁴⁵	to⁵⁵	tau³¹³
倒	倒水	tɑɔ²⁴	─	─	─	tau³¹³
套		tʰɑɔ²⁴	tʰau²⁴	tʰo⁴⁵	tʰo⁵⁵	tʰau³¹³
盜		tʰɑɔ⁴³	tʰau⁵⁵	tʰo⁵⁵	tʰo⁴⁴	tʰau⁴⁵
導		tʰɑɔ⁴³；tɑɔ³¹	tʰau⁵⁵	tʰo²⁴	tʰo²⁴	tau³¹³~師；tʰau³¹³領~
澇		lɑɔ¹³	─	─	─	lau¹¹³
躁		tsʰɑɔ²⁴	tsʰau²⁴	─	tsau⁵⁵	tsau³¹³
糙		tsʰɑɔ²⁴	tsʰau²⁴	tsʰo⁵⁵	tsʰo⁵⁵	tsʰau³¹³
掃	掃帚	sɑɔ²⁴	sau²⁴	so⁴⁵	so⁵⁵	sau³¹³
告		kɑɔ²⁴	kau²⁴	─	ko⁵⁵	kau³¹³
靠		kʰɑɔ²⁴	kʰau²⁴	─	kʰo⁵⁵	kʰau³¹³
犒		kʰɑɔ³¹	kʰau²⁴	─	─	─
傲		ŋɑɔ⁴³/gɑɔ⁴³	gau⁵⁵	─	go⁴⁴	ŋau⁴⁵
好	喜好	─	hau²⁴喜~	─	ho⁵⁵	hau³¹³
耗		hɑɔ²⁴	─	ho⁵⁵	ho⁴⁴	hau⁴⁵
號	號數	hɑɔ⁴³	hau⁵⁵	─	ho⁴⁴	hau⁴⁵
奧		─	au²⁴	─	─	au⁴⁵
懊	懊悔	─	au²⁴	─	─	au⁴⁵
包		pɑɔ³³	pau³³	─	pau²²	pau³⁵³
胞		pɑɔ³³	pau³³	─	pau²²	pau³⁵³
泡		pʰɑɔ²⁴	pʰau²⁴	─	─	pʰau⁵³
跑		pʰɑɔ³¹	pʰau³¹	─	─	pʰau³¹³
刨		pʰɑɔ¹³	─	─	─	─
茅		mɑɔ¹³	mau²¹	─	bo²¹	mau¹¹³
貓		miɑɔ³³	miau²¹	─	bio²⁴	miau³¹³
抓		tso³³	─	─	─	tsɑ³⁵³
抄		tsʰɑɔ³³	tsʰau³³	─	─	tsʰau³⁵³
鈔		tsʰɑɔ³³	─	─	tsʰau²²	tsʰau³⁵³
巢		tsʰɑɔ¹³	tsʰau²¹	tsʰo²¹	tsʰo²¹	tsʰau¹¹³
交		kɑɔ³³	kau³³	─	cau²²	kau³⁵³
郊		kɑɔ³³	─	─	cau²²	─
膠		kɑɔ³³	kau³³	kau³³	cau²²	kau³⁵³
教	教書	kɑɔ³³	kau³³	kau³³	cau²²	kau³⁵³
敲		kʰɑɔ²⁴	─	kʰau³³	cʰau²²	kʰiau³⁵³
坳		ɑɔ³³	au³³	─	─	au³⁵³
飽		pɑɔ³¹	pau³¹	pau²⁴	pau²⁴	pau³¹³
鮑		pʰɑɔ³³	─	─	─	─
卯		mɑɔ³¹	mau³¹	mau²⁴	mau²⁴	mau³¹³
爪		tsɑɔ³¹	tsau³¹	tsau²⁴	tsau²⁴	tsau³¹³
炒		tsʰɑɔ³¹	tsʰau³¹	tsʰau²⁴	tsʰau²⁴	tsʰau³¹³
吵		tsʰɑɔ³¹	─	tsʰo²¹	tsʰo²¹	tsʰau³¹³
絞		kiɑɔ³¹	─	kau²⁴	cau²⁴	kiau³¹³
狡		kiɑɔ³¹	─	─	─	─
攪		kiɑɔ³¹	─	─	─	kiau³¹³；kau³¹³
搞		─	─	─	─	kau³¹³
巧		kʰiɑɔ³¹	kʰiau³¹	─	kʰio²⁴	kʰiau³¹³
咬		ŋɑɔ³¹/gɑɔ³¹	ŋau³¹/gau³¹	gau³³	ɟau²²	ŋai⁴⁵
豹		pɑɔ²⁴	pau²⁴	─	pau⁵⁵	pʰau⁴⁵
爆		pɑɔ²⁴	pau²⁴	─	─	pau⁵³
