漢字	注釋	清流城關	清流林畬	清流長校(長校村)	清流長校(江坊村)	寧化石壁
化		fo²⁴	fo²⁴/fuo²⁴	fɒ⁴⁵	fɒ⁵⁵	fɑ³¹³
樺		fo¹³	─	─	─	─
鋪	鋪設	pʰu³³	pʰu³³	pʰu³³	pʰu²²	pʰu³⁵³
蒲		pʰu¹³	pʰu²¹	pʰu²¹	pʰu²¹	pʰu¹¹³
菩	菩薩	pʰu¹³	pʰu²¹	pʰu²¹	pʰu²¹	pʰu¹¹³
脯	胸脯	pʰu³¹	pʰu²¹	pʰu²¹	pʰu²¹	─
模	模子	bu¹³	mu²¹	bu²¹	bu²¹	bu¹¹³
模	模範	bu¹³	mu²¹	bu²¹	bu²¹	bu¹¹³
摹	摹仿	─	mu²¹	─	─	─
都	都城	tu³³	tu³³	tu³³	tu²²	tu³⁵³
都	都是	tu³³	tu³³	─	─	─
徒		tʰu¹³	tʰu²¹	tʰu²¹	tʰu²¹	tʰu¹¹³
屠		tʰu¹³	─	─	─	─
途		tʰu¹³	tʰu²¹	tʰu²¹	tʰu²¹	tʰu¹¹³
塗		tʰu¹³	tʰu²¹	─	─	tʰu¹¹³
圖		tʰu¹³	tʰu²¹	tʰu²¹	tʰu²¹	tʰu¹¹³
奴		lu¹³	lu²¹	lu²¹	─	lu¹¹³
盧		lu¹³	lu²¹	─	─	lu¹¹³
爐		lu¹³	lu²¹	lu²¹	lu²¹	lu¹¹³
蘆	蘆葦	lu¹³	─	─	─	lu¹¹³
鸕	鸕鶿	lu¹³	─	─	─	─
租		tsu³³	tsu³³	tsu³³	─	tsu³⁵³
粗		tsʰu³³	tsʰu³³	tsʰɿ³³	tsʰɿ²²	─
蘇		su³³	su³³	sɿ³³	sɿ²²	su³⁵³
酥		su³³	su³³	─	─	su³⁵³
姑		ku³³	ku³³	ku³³	ku²²	ku³⁵³
孤		ku³³	ku³³	ku³³	ku²²	ku³⁵³
箍		kʰɤ³³桶~；kʰu³³桶~、~緊	kʰai³³	kʰu³³	kʰu²²	kʰu³⁵³
枯		kʰu³³	kʰu³³	─	─	kʰu³⁵³
吳		gu¹³/vu¹³	gu²¹	gu²¹	gu²¹	vu¹¹³
蜈		gu¹³/vu¹³	─	gu²¹	gu²¹	─
梧		gu¹³/vu¹³	u²¹	gu²¹	gu²¹	vu¹¹³
呼		fu³³	fu³³	─	─	fu³⁵³
胡		fu¹³	fu²¹	fu²¹	fu²¹	fu¹¹³
湖		fu¹³	fu²¹	fu²¹	fu²¹	fu¹¹³
狐		fu¹³	fu²¹	fu²¹	fu²¹	fu¹¹³
壺		fu¹³	fu²¹	fu²¹	fu²¹	fu¹¹³
乎		fu³³	─	─	─	fu³⁵³
瓠		pʰu¹³	pʰu²¹	─	─	pʰu¹¹³
鬍		─	─	fu²¹	fu²¹	─
烏		vu³³	u³³	vu³³	vu²²	vu³⁵³
汙		vu³³	u³³	─	─	vu³⁵³
補		pu³¹	pu³¹	pu²⁴	pu²⁴	pu³¹³
譜		pʰu³¹	pʰu³¹	pʰu²⁴	pʰu²⁴	pʰu³¹³
普		pʰu³¹	pʰu³¹	pʰu²⁴	pʰu²⁴	pʰu³¹³
浦		─	pʰu³¹	─	─	─
部		pʰu⁴³	pʰu⁵⁵	pʰu⁵⁵	pʰu⁴⁴	pʰu⁴⁵
簿		pʰu⁴³	pʰu⁵⁵	pʰu⁵⁵	pʰu⁴⁴	pʰu⁴⁵
堵		tu³¹	─	─	─	tu³¹³
賭		tu³¹	tu³¹	tu²⁴	tu²⁴	tu³¹³
肚	魚肚、豬肚	tu³¹	tu³¹	tu²⁴	tu²⁴	tu³¹³
土		tʰu³¹	tʰu³¹	tʰu²⁴	tʰu²⁴	tʰu³¹³
吐	吐痰	tʰu³¹	tʰu³¹	tʰu⁴⁵	tʰu⁵⁵	─
杜		tʰu⁴³	tʰu⁵⁵	tʰu⁵⁵	tʰu⁴⁴	tʰu⁴⁵
肚	腹肚	─	─	─	─	tʰu³⁵³~痛
努		lu³¹	lu³¹	─	lu²¹	lu³¹³
魯		lu³¹	lu³¹	─	lu²⁴	lu³¹³
虜		lu³¹	lu³¹	─	─	lu³¹³
滷		lu³¹	lu³¹	lu²⁴	lu²⁴	lu³¹³
祖		tsu³¹	tsi³¹祭~、~先；tsu³¹祭~	tsɿ²⁴	tsɿ²⁴	tsu³¹³
組		tsu³¹	tsu³¹	tsɿ²⁴	tsɿ²⁴	tsu³¹³
古		ku³¹	ku³¹	ku²⁴	ku²⁴	ku³¹³
估		ku³³	ku³¹	─	─	ku³⁵³；kʰu³⁵³
牯		ku³¹	ku³¹	─	─	ku³¹³
股		ku³¹	ku³¹	ku²⁴	ku²⁴	ku³¹³
鼓		ku³¹	ku³¹	ku²⁴	ku²⁴	ku³¹³
苦		kʰu³¹	kʰu³¹	kʰu²⁴辛~、~瓜	kʰu²⁴辛~、~瓜	kʰu³¹³
五		ŋ³¹	ŋ³¹/ʔəŋ³¹	ŋ²⁴	ŋ²⁴	ŋ³¹³
伍		ŋ³¹	ŋ³¹/ʔəŋ³¹	─	─	ŋ³¹³
午		ŋ³¹	ŋ³¹/ʔəŋ³¹	ŋ²⁴	ŋ²⁴	ŋ³¹³
虎		fu³¹	fu³¹	fu²⁴	fu²⁴	fu³¹³
滸		fu³¹	fu³¹	─	─	fu³¹³
戶		fu⁴³	fu⁵⁵	fu⁵⁵	fu⁴⁴	fu⁴⁵
滬		fu⁴³	fu⁵⁵	─	─	fu⁴⁵
塢		vu³³	─	─	─	─
布		pu²⁴	pu²⁴	pu⁴⁵	pu⁵⁵	pu³¹³
佈		pu²⁴	pu²⁴	─	─	pu³¹³
鋪	店鋪	pʰu³³	─	─	─	pʰu³⁵³
