V1	V2	V2	
lin	3	22	領
Ǿin	3	22	引隱影
pʰin	5	24	平
tin	1	55	釘
tʰin	5	24	聽
tɕin	1	55	金筋經
ɕin	1	55	心新興星
tɕʰin	1	55	親清輕青
Ǿin	5	24	印
tʰin	1	55	廳
Ǿin	1	55	音蠅
tɕyn	2	13	渠
ɕyn	5	24	順純
tɕʰyn	2	13	裙
Ǿyn	2	13	勻雲榮營
tɕyn	3	22	准
ɕyn	1	55	熏
tɕʰyn	1	55	春
Ǿyn	3	22	永
tɕyn	5	24	俊
Ǿyn	5	24	閏運
tɕyn	1	55	均軍
pʰɤŋ	2	13	朋棚蓬
fɤŋ	2	13	縫
tɤŋ	3	22	懂
tʰɤŋ	2	13	銅
tsɤŋ	3	22	腫
sɤŋ	2	13	松
tsʰɤŋ	2	13	蟲
kɤŋ	1	55	公宮恭
kʰɤŋ	3	22	孔
xɤŋ	2	13	紅
mɤŋ	3	22	猛
lɤŋ	2	13	膿濃龍
Ǿɤŋ	1	55	翁
pʰɤŋ	1	55	蜂
fɤŋ	5	24	鳳
tɤŋ	5	24	凍
tʰɤŋ	3	22	桶動統
tsɤŋ	5	24	粽種
sɤŋ	5	24	送宋
tsʰɤŋ	3	22	重
kʰɤŋ	5	24	共
xɤŋ	1	55	烘
mɤŋ	1	55	夢
lɤŋ	5	24	弄
fɤŋ	1	55	風豐封蜂
tɤŋ	1	55	東冬
tʰɤŋ	5	24	痛洞
tsɤŋ	1	55	中終
sɤŋ	1	55	松
tsʰɤŋ	1	55	蔥充沖
lɤŋ	1	55	聾
tʰɤŋ	1	55	通
ɕiɤŋ	2	13	熊雄
tɕʰiɤŋ	2	13	窮
Ǿiɤŋ	2	13	容
ɕiɤŋ	1	55	兄兇
Ǿiɤŋ	3	22	擁
Ǿiɤŋ	1	55	用
pã	3	22	板
pʰã	2	13	盤
fã	5	24	犯反
tã	3	22	膽
tʰã	2	13	潭彈
tsã	5	24	占戰
sã	3	22	傘
tsʰã	2	13	蠶纏
kã	3	22	感減
kʰã	5	24	看
xã	2	13	含鹹
mã	3	22	滿
ŋã	3	22	眼
lã	2	13	南藍難蘭
pã	5	24	扮辦半
pʰã	5	24	判
fã	1	55	歡換翻飯
tã	1	55	單
tʰã	3	22	毯淡
sã	5	24	扇善
tsʰã	3	22	鏟產
kã	1	55	甘監間奸肩
xã	3	22	喊
mã	5	24	慢
ŋã	5	24	暗岸
lã	3	22	懶
pã	1	55	班搬
tʰã	5	24	炭
sã	1	55	三衫山
xã	5	24	漢限
ŋã	1	55	安
lã	5	24	爛
tʰã	1	55	貪
pɑ̃	3	22	綁
pʰɑ̃	5	24	胖
fɑ̃	2	13	黃房防
tɑ̃	3	22	黨
tʰɑ̃	2	13	糖
tsɑ̃	5	24	壯
sɑ̃	2	13	嘗
tsʰɑ̃	2	13	長床
kɑ̃	3	22	講
kʰɑ̃	1	55	糠
xɑ̃	2	13	行
mɑ̃	2	13	忙
ŋɑ̃	1	55	硬
lɑ̃	3	22	冷
pɑ̃	5	24	棒
fɑ̃	3	22	紡
tʰɑ̃	1	55	湯
tsɑ̃	1	55	張裝章樁
sɑ̃	5	24	上
tsʰɑ̃	3	22	廠撞
kɑ̃	1	55	鋼江
xɑ̃	5	24	項
lɑ̃	5	24	浪
pɑ̃	1	55	幫
fɑ̃	5	24	放
sɑ̃	1	55	霜傷雙生
tsʰɑ̃	5	24	唱
lɑ̃	1	55	讓
fɑ̃	1	55	慌方
tsʰɑ̃	1	55	倉瘡窗
piã	3	22	扁
pʰiã	5	24	騙便片
tiã	3	22	點典
tʰiã	2	13	甜田
tɕiã	3	22	剪
ɕiã	2	13	嫌
tɕʰiã	2	13	鉗錢前
miã	2	13	棉
ȵiã	2	13	黏嚴連年蓮
Ǿiã	2	13	炎鹽顏延言
piã	5	24	變
tiã	5	24	店
tʰiã	5	24	墊
tɕiã	5	24	劍建健見
ɕiã	3	22	險顯選
tɕʰiã	3	22	淺
miã	5	24	面
ȵiã	3	22	染
Ǿiã	5	24	厭
tʰiã	1	55	添天
tɕiã	1	55	監尖
ɕiã	5	24	線現縣
tɕʰiã	5	24	欠件
ȵiã	5	24	驗
Ǿiã	1	55	煙
ɕiã	1	55	鮮先
tɕʰiã	1	55	簽牽
ȵiã	1	55	念
pʰiɑ̃	2	13	平
tɕiɑ̃	3	22	講井
ɕiɑ̃	2	13	降
tɕʰiɑ̃	3	22	搶
miɑ̃	2	13	名
ȵiɑ̃	2	13	娘
Ǿiɑ̃	2	13	贏
pʰiɑ̃	5	24	病
tɕiɑ̃	1	55	漿薑江
ɕiɑ̃	3	22	想響
tɕʰiɑ̃	5	24	匠像
miɑ̃	1	55	命
ȵiɑ̃	3	22	兩
Ǿiɑ̃	3	22	癢
ɕiɑ̃	5	24	像向
tɕʰiɑ̃	1	55	清輕青
ȵiɑ̃	1	55	亮
Ǿiɑ̃	5	24	樣
ɕiɑ̃	1	55	星
Ǿiɑ̃	1	55	秧
tuã	3	22	短
tʰuã	5	24	斷
suã	5	24	算
kuã	3	22	敢
kʰuã	1	55	寬
xuã	2	13	還
luã	3	22	暖
Ǿuã	2	13	完頑
tuã	1	55	端
suã	1	55	酸閂
kuã	5	24	慣
xuã	1	55	汗
luã	1	55	亂
Ǿuã	3	22	碗晚
kuã	1	55	肝官關
Ǿuã	5	24	萬
Ǿuã	1	55	彎
kuɑ̃	1	55	光
kʰuɑ̃	2	13	狂
Ǿuɑ̃	2	13	黃王
kʰuɑ̃	1	55	筐
Ǿuɑ̃	3	22	網
Ǿuɑ̃	1	55	旺
tɕyã	3	22	卷
ɕyã	2	13	船
tɕʰyã	2	13	全傳權
ȵyã	3	22	軟
Ǿyã	2	13	圓鉛原園
tɕyã	5	24	賺轉傳
tɕʰyã	5	24	勸
Ǿyã	3	22	遠
tɕyã	1	55	磚
tɕʰyã	1	55	圈
Ǿyã	5	24	院
Ǿyã	1	55	冤
