繁體	简体	拼音	/IPa/	[IPA]	注释
紙	纸	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
只	只	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	仅仅
幟	帜	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
旨	旨	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
指	指	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
滓	滓	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	文读
止	止	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
趾	趾	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
址	址	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
子	子	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
仔	仔	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
吇	吇	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
梓	梓	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
紫	紫	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
姊	姊	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	
入	入	zı̈3	tsɿ˦˧	tsɿᵊ˦˧	狗~的，部分人的口头禅，无实际意义
製	制	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
智	智	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
雉	雉	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
稚	稚	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
至	至	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
致	致	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
窒	窒	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
痔	痔	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
治	治	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
字	字	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
志	志	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
痣	痣	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
置	置	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	~纸篓，垃圾桶
自	自	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
翅	翅	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	白读
恣	恣	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
牸	牸	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
巳	巳	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	
做	做	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	挑~，即故意
這	这	zı̈4	tsɿ˨˦	tsɿᵊ˨˦	白读1
差	差	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	参~
齜	龇	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	
呲	呲	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	
癡	痴	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	
嗤	嗤	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	
伸	伸	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	~手，即“摛”
摛	摛	cı̈1	tsʰɿ˦˥	tsʰɿᵊ˦˥	
雌	雌	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
疵	疵	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
池	池	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
馳	驰	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
瓷	瓷	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
餈	餈	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
粢	粢	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
遲	迟	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
持	持	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
慈	慈	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
磁	磁	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
糍	糍	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
辭	辞	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
詞	词	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
祠	祠	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
秩	秩	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
赤	赤	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
斥	斥	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
尺	尺	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
齒	齿	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	咬牙切~
吃	吃	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
喫	吃	cı̈2	tsʰɿ˨˩	tsʰɿᵊ˨˩	
此	此	cı̈3	tsʰɿ˦˧	tsʰɿᵊ˦˧	
齒	齿	cı̈3	tsʰɿ˦˧	tsʰɿᵊ˦˧	
恥	恥	cı̈3	tsʰɿ˦˧	tsʰɿᵊ˦˧	
侈	侈	cı̈3	tsʰɿ˦˧	tsʰɿᵊ˦˧	奢~
刺	刺	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	
賜	赐	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	
侈	侈	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	
滯	滞	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	
翅	翅	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	文读
次	次	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	
秩	秩	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	~序
伺	伺	cı̈4	tsʰɿ˨˦	tsʰɿᵊ˨˦	
斯	斯	sı̈1	sɿ˦˥	sɿᵊ˦˥	
撕	撕	sı̈1	sɿ˦˥	sɿᵊ˦˥	文读
廝	厮	sı̈1	sɿ˦˥	sɿᵊ˦˥	
廁	厕	sı̈1	sɿ˦˥	sɿᵊ˦˥	茅~
施	施	sı̈1	sɿ˦˥	sɿᵊ˦˥	
尸	尸	sı̈1	sɿ˦˥	sɿᵊ˦˥	
師	师	sı̈1	sɿ˦˥	sɿᵊ˦˥	
獅	狮	sı̈1	sɿ˦˥	sɿᵊ˦˥	
詩	诗	sı̈1	sɿ˦˥	sɿᵊ˦˥	
司	司	sı̈1	sɿ˦˥	sɿᵊ˦˥	
絲	丝	sı̈1	sɿ˦˥	sɿᵊ˦˥	
私	私	sı̈1	sɿ˦˥	sɿᵊ˦˥	
厶	厶	sı̈1	sɿ˦˥	sɿᵊ˦˥	~处，指阴部
什	什	sı̈1	sɿ˦˥	sɿᵊ˦˥	家~
是	是	sı̈1	sɿ˦˥	sɿᵊ˦˥	这个~不消了咯，相当于“……的话”，表示条件假设
思	思	sı̈1	sɿ˦˥	sɿᵊ˦˥	
匙	匙	sı̈2	sɿ˨˩	sɿᵊ˨˩	
豉	豉	sı̈2	sɿ˨˩	sɿᵊ˨˩	白读
時	时	sı̈2	sɿ˨˩	sɿᵊ˨˩	
濕	湿	sı̈2	sɿ˨˩	sɿᵊ˨˩	
十	十	sı̈2	sɿ˨˩	sɿᵊ˨˩	
什	什	sı̈2	sɿ˨˩	sɿᵊ˨˩	文读
拾	拾	sı̈2	sɿ˨˩	sɿᵊ˨˩	
實	实	sı̈2	sɿ˨˩	sɿᵊ˨˩	
失	失	sı̈2	sɿ˨˩	sɿᵊ˨˩	
室	室	sı̈2	sɿ˨˩	sɿᵊ˨˩	
食	食	sı̈2	sɿ˨˩	sɿᵊ˨˩	
蝕	蚀	sı̈2	sɿ˨˩	sɿᵊ˨˩	
識	识	sı̈2	sɿ˨˩	sɿᵊ˨˩	
適	适	sı̈2	sɿ˨˩	sɿᵊ˨˩	
釋	释	sı̈2	sɿ˨˩	sɿᵊ˨˩	
石	石	sı̈2	sɿ˨˩	sɿᵊ˨˩	
式	式	sı̈2	sɿ˨˩	sɿᵊ˨˩	~子；各~各样
軾	轼	sı̈2	sɿ˨˩	sɿᵊ˨˩	
入	入	sı̈2	sɿ˨˩	sɿᵊ˨˩	鬼眉~眼
使	使	sı̈3	sɿ˦˧	sɿᵊ˦˧	
史	史	sı̈3	sɿ˦˧	sɿᵊ˦˧	
始	始	sı̈3	sɿ˦˧	sɿᵊ˦˧	
屎	屎	sı̈3	sɿ˦˧	sɿᵊ˦˧	
死	死	sı̈3	sɿ˦˧	sɿᵊ˦˧	
鼠	鼠	sı̈3	sɿ˦˧	sɿᵊ˦˧	兔眉~眼
世	世	sı̈4	sɿ˨˦	sɿᵊ˨˦	
勢	势	sı̈4	sɿ˨˦	sɿᵊ˨˦	
誓	誓	sı̈4	sɿ˨˦	sɿᵊ˨˦	
逝	逝	sı̈4	sɿ˨˦	sɿᵊ˨˦	
似	似	sı̈4	sɿ˨˦	sɿᵊ˨˦	
姒	姒	sı̈4	sɿ˨˦	sɿᵊ˨˦	
祀	祀	sı̈4	sɿ˨˦	sɿᵊ˨˦	
適	适	sı̈4	sɿ˨˦	sɿᵊ˨˦	合~；惯~，指溺爱小孩
士	士	sı̈4	sɿ˨˦	sɿᵊ˨˦	
仕	仕	sı̈4	sɿ˨˦	sɿᵊ˨˦	
市	市	sı̈4	sɿ˨˦	sɿᵊ˨˦	
柿	柿	sı̈4	sɿ˨˦	sɿᵊ˨˦	
豉	豉	sı̈4	sɿ˨˦	sɿᵊ˨˦	文读
是	是	sı̈4	sɿ˨˦	sɿᵊ˨˦	
俟	俟	sı̈4	sɿ˨˦	sɿᵊ˨˦	
寺	寺	sı̈4	sɿ˨˦	sɿᵊ˨˦	
侍	侍	sı̈4	sɿ˨˦	sɿᵊ˨˦	
恃	恃	sı̈4	sɿ˨˦	sɿᵊ˨˦	
飼	饲	sı̈4	sɿ˨˦	sɿᵊ˨˦	
祠	祠	sı̈4	sɿ˨˦	sɿᵊ˨˦	阳明~
飾	饰	sı̈4	sɿ˨˦	sɿᵊ˨˦	
事	事	sı̈4	sɿ˨˦	sɿᵊ˨˦	
式	式	sı̈4	sɿ˨˦	sɿᵊ˨˦	
試	试	sı̈4	sɿ˨˦	sɿᵊ˨˦	
四	四	sı̈4	sɿ˨˦	sɿᵊ˨˦	
肆	肆	sı̈4	sɿ˨˦	sɿᵊ˨˦	
示	示	sı̈4	sɿ˨˦	sɿᵊ˨˦	
氏	氏	sı̈4	sɿ˨˦	sɿᵊ˨˦	
日	日	zrı̈2	zɿ˨˩	zɿᵊ˨˩	
入	入	zrı̈2	zɿ˨˩	zɿᵊ˨˩	性交，粗语
肏	肏	zrı̈2	zɿ˨˩	zɿᵊ˨˩	白读
尿	尿	sÿ1	sʮ˦˥	sʮ˦˥	催尿声
噓	嘘	sÿ1	sʮ˦˥	sʮ˦˥	语气词，提醒他人保持安静
啐	啐	cÿ3	tsʰʮ˦˧	tsʰʮ˦˧	语气词，撵走人或动物
嗶	哔	bi1	pi˦˥	b̥ɨ˦˥	
不	不	bi1	pi˦˥	b̥ɨ˦˥	~有得
筆	笔	bi2	pi˨˩	b̥ɨ˨˩	
潷	滗	bi2	pi˨˩	b̥ɨ˨˩	
蓽	荜	bi2	pi˨˩	b̥ɨ˨˩	
畢	毕	bi2	pi˨˩	b̥ɨ˨˩	
鉍	铋	bi2	pi˨˩	b̥ɨ˨˩	
䖩	䖩	bi2	pi˨˩	b̥ɨ˨˩	
怭	怭	bi2	pi˨˩	b̥ɨ˨˩	
必	必	bi2	pi˨˩	b̥ɨ˨˩	
鼻	鼻	bi2	pi˨˩	b̥ɨ˨˩	
逼	逼	bi2	pi˨˩	b̥ɨ˨˩	
璧	璧	bi2	pi˨˩	b̥ɨ˨˩	
壁	壁	bi2	pi˨˩	b̥ɨ˨˩	
碧	碧	bi2	pi˨˩	b̥ɨ˨˩	
比	比	bi3	pi˦˧	b̥ɨ˦˧	
匕	匕	bi3	pi˦˧	b̥ɨ˦˧	
彼	彼	bi3	pi˦˧	b̥ɨ˦˧	
閉	闭	bi4	pi˨˦	b̥ɨ˨˦	
痺	痺	bi4	pi˨˦	b̥ɨ˨˦	
箄	箅	bi4	pi˨˦	b̥ɨ˨˦	
蔽	蔽	bi4	pi˨˦	b̥ɨ˨˦	
弊	弊	bi4	pi˨˦	b̥ɨ˨˦	
幣	币	bi4	pi˨˦	b̥ɨ˨˦	
斃	毙	bi4	pi˨˦	b̥ɨ˨˦	
敝	敝	bi4	pi˨˦	b̥ɨ˨˦	
避	避	bi4	pi˨˦	b̥ɨ˨˦	
臂	臂	bi4	pi˨˦	b̥ɨ˨˦	把~，指把柄
備	备	bi4	pi˨˦	b̥ɨ˨˦	
被	被	bi4	pi˨˦	b̥ɨ˨˦	
鼻	鼻	bi4	pi˨˦	b̥ɨ˨˦	鼻~，儿语，鼻涕
𤻖	𤻖	bi4	pi˨˦	b̥ɨ˨˦	
屄	屄	pi1	pʰi˦˥	pʰɨ˦˥	
毴	毴	pi1	pʰi˦˥	pʰɨ˦˥	
𣭈	𣭈	pi1	pʰi˦˥	pʰɨ˦˥	
䏘	䏘	pi1	pʰi˦˥	pʰɨ˦˥	相当于“屄”
牝	牝	pi1	pʰi˦˥	pʰɨ˦˥	
批	批	pi1	pʰi˦˥	pʰɨ˦˥	~斗
匹	匹	pi2	pʰi˨˩	pʰɨ˨˩	
䏘	䏘	pi2	pʰi˨˩	pʰɨ˨˩	
弼	弼	pi2	pʰi˨˩	pʰɨ˨˩	
皮	皮	pi2	pʰi˨˩	pʰɨ˨˩	
疲	疲	pi2	pʰi˨˩	pʰɨ˨˩	
陂	陂	pi2	pʰi˨˩	pʰɨ˨˩	
脾	脾	pi2	pʰi˨˩	pʰɨ˨˩	
啤	啤	pi2	pʰi˨˩	pʰɨ˨˩	
痺	痺	pi2	pʰi˨˩	pʰɨ˨˩	麻~
痹	痹	pi2	pʰi˨˩	pʰɨ˨˩	
枇	枇	pi2	pʰi˨˩	pʰɨ˨˩	
吡	吡	pi2	pʰi˨˩	pʰɨ˨˩	
琵	琵	pi2	pʰi˨˩	pʰɨ˨˩	
芘	芘	pi2	pʰi˨˩	pʰɨ˨˩	花草名，锦葵；化学名
僻	僻	pi2	pʰi˨˩	pʰɨ˨˩	
擗	擗	pi2	pʰi˨˩	pʰɨ˨˩	
𢹐	𢹐	pi2	pʰi˨˩	pʰɨ˨˩	
劈	劈	pi2	pʰi˨˩	pʰɨ˨˩	
擘	擘	pi2	pʰi˨˩	pʰɨ˨˩	
孹	孹	pi2	pʰi˨˩	pʰɨ˨˩	
霹	霹	pi2	pʰi˨˩	pʰɨ˨˩	
闢	辟	pi2	pʰi˨˩	pʰɨ˨˩	
癖	癖	pi2	pʰi˨˩	pʰɨ˨˩	
痞	痞	pi2	pʰi˨˩	pʰɨ˨˩	地~流氓
鄙	鄙	pi3	pʰi˦˧	pʰɨ˦˧	
否	否	pi3	pʰi˦˧	pʰɨ˦˧	臧~；~极泰来
痞	痞	pi3	pʰi˦˧	pʰɨ˦˧	
譬	譬	pi3	pʰi˦˧	pʰɨ˦˧	~如
彼	彼	pi3	pʰi˦˧	pʰɨ˦˧	此起~伏
媲	媲	pi3	pʰi˦˧	pʰɨ˦˧	
庇	庇	pi3	pʰi˦˧	pʰɨ˦˧	托~；~佑
庇	庇	pi4	pʰi˨˦	pʰɨ˨˦	
屁	屁	pi4	pʰi˨˦	pʰɨ˨˦	
芘	芘	pi4	pʰi˨˦	pʰɨ˨˦	庇护
匕	匕	pi4	pʰi˨˦	pʰɨ˨˦	~首
片	片	pi4	pʰi˨˦	pʰɨ˨˦	鸦~烟；鸦~花
丕	丕	pi4	pʰi˨˦	pʰɨ˨˦	构词法“……~剌沙”
不	不	pi4	pʰi˨˦	pʰɨ˨˦	构词法“……~剌沙”
咪	咪	mi1	mi˦˥	mᵇɨ˦˥	
瞇	眯	mi1	mi˦˥	mᵇɨ˦˥	
梅	梅	mi1	mi˦˥	mᵇɨ˦˥	杨~
微	微	mi1	mi˦˥	mᵇɨ˦˥	小~~
奶	奶	mi1	mi˦˥	mᵇɨ˦˥	乳房
蔤	蔤	mi2	mi˨˩	mᵇɨ˨˩	
密	密	mi2	mi˨˩	mᵇɨ˨˩	
蜜	蜜	mi2	mi˨˩	mᵇɨ˨˩	
迷	迷	mi2	mi˨˩	mᵇɨ˨˩	
謎	谜	mi2	mi˨˩	mᵇɨ˨˩	
瀰	弥	mi2	mi˨˩	mᵇɨ˨˩	
靡	靡	mi2	mi˨˩	mᵇɨ˨˩	
糜	糜	mi2	mi˨˩	mᵇɨ˨˩	
眉	眉	mi2	mi˨˩	mᵇɨ˨˩	~毛；脑~心，双眉之间；憨~憨眼
泌	泌	mi2	mi˨˩	mᵇɨ˨˩	
秘	秘	mi2	mi˨˩	mᵇɨ˨˩	
覓	觅	mi2	mi˨˩	mᵇɨ˨˩	
米	米	mi3	mi˦˧	mᵇɨ˦˧	
迷	迷	mi4	mi˨˦	mᵇɨ˨˦	猫猫~，童谣音
謎	谜	mi4	mi˨˦	mᵇɨ˨˦	猜~~
咪	咪	mi4	mi˨˦	mᵇɨ˨˦	猫猫~，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫
沕	沕	mi4	mi˨˦	mᵇɨ˨˦	
沒	没	mi4	mi˨˦	mᵇɨ˨˦	~头；~子
低	低	di1	ti˦˥	d̥ɨ˦˥	
的	的	di1	ti˦˥	d̥ɨ˦˥	文读
點	点	di1	ti˦˥	d̥ɨ˦˥	~~个；一~点
滴	滴	di1	ti˦˥	d̥ɨ˦˥	~~，拟声词
的	的	di2	ti˨˩	d̥ɨ˨˩	目~；~确
滴	滴	di2	ti˨˩	d̥ɨ˨˩	
嫡	嫡	di2	ti˨˩	d̥ɨ˨˩	
笛	笛	di2	ti˨˩	d̥ɨ˨˩	
迪	迪	di2	ti˨˩	d̥ɨ˨˩	
敵	敌	di2	ti˨˩	d̥ɨ˨˩	
踢	踢	di2	ti˨˩	d̥ɨ˨˩	~脚扳手
狄	狄	di2	ti˨˩	d̥ɨ˨˩	
滌	涤	di2	ti˨˩	d̥ɨ˨˩	
迭	迭	di2	ti˨˩	d̥ɨ˨˩	~忙、~住，指赶忙、抓紧
底	底	di3	ti˦˧	d̥ɨ˦˧	
抵	抵	di3	ti˦˧	d̥ɨ˦˧	
弟	弟	di4	ti˨˦	d̥ɨ˨˦	
第	第	di4	ti˨˦	d̥ɨ˨˦	
涕	涕	di4	ti˨˦	d̥ɨ˨˦	
遞	递	di4	ti˨˦	d̥ɨ˨˦	
帝	帝	di4	ti˨˦	d̥ɨ˨˦	
隸	隶	di4	ti˨˦	d̥ɨ˨˦	
地	地	di4	ti˨˦	d̥ɨ˨˦	
滴	滴	di4	ti˨˦	d̥ɨ˨˦	娇~~
剔	剔	ti1	tʰi˦˥	tʰɨ˦˥	
梯	梯	ti1	tʰi˦˥	tʰɨ˦˥	
銻	锑	ti1	tʰi˦˥	tʰɨ˦˥	
剃	剃	ti1	tʰi˦˥	tʰɨ˦˥	白读
堤	堤	ti2	tʰi˨˩	tʰɨ˨˩	
提	提	ti2	tʰi˨˩	tʰɨ˨˩	文读
醍	醍	ti2	tʰi˨˩	tʰɨ˨˩	
題	题	ti2	tʰi˨˩	tʰɨ˨˩	
蹄	蹄	ti2	tʰi˨˩	tʰɨ˨˩	
啼	啼	ti2	tʰi˨˩	tʰɨ˨˩	
踢	踢	ti2	tʰi˨˩	tʰɨ˨˩	
體	体	ti3	tʰi˦˧	tʰɨ˦˧	
替	替	ti4	tʰi˨˦	tʰɨ˨˦	
剃	剃	ti4	tʰi˨˦	tʰɨ˨˦	文读
嚏	嚏	ti4	tʰi˨˦	tʰɨ˨˦	
戻	戻	ti4	tʰi˨˦	tʰɨ˨˦	
躧	躧	ni1	ni˦˥	nᵈɨ˦˥	踩着物品磨擦以粉碎破坏；利用路面积水或凸起蹭掉鞋底异物
裡	里	ni1	ni˦˥	nᵈɨ˦˥	叽~咕噜
哩	哩	ni1	ni˦˥	nᵈɨ˦˥	叽~咕噜
抳	抳	ni1	ni˦˥	nᵈɨ˦˥	研磨
黎	黎	ni2	ni˨˩	nᵈɨ˨˩	
犁	犁	ni2	ni˨˩	nᵈɨ˨˩	
梨	梨	ni2	ni˨˩	nᵈɨ˨˩	
離	离	ni2	ni˨˩	nᵈɨ˨˩	
璃	璃	ni2	ni˨˩	nᵈɨ˨˩	
籬	篱	ni2	ni˨˩	nᵈɨ˨˩	
尼	尼	ni2	ni˨˩	nᵈɨ˨˩	
呢	呢	ni2	ni˨˩	nᵈɨ˨˩	直贡~
泥	泥	ni2	ni˨˩	nᵈɨ˨˩	
妮	妮	ni2	ni˨˩	nᵈɨ˨˩	
暱	昵	ni2	ni˨˩	nᵈɨ˨˩	
匿	匿	ni2	ni˨˩	nᵈɨ˨˩	
釐	厘	ni2	ni˨˩	nᵈɨ˨˩	
狸	狸	ni2	ni˨˩	nᵈɨ˨˩	
喱	喱	ni2	ni˨˩	nᵈɨ˨˩	
立	立	ni2	ni˨˩	nᵈɨ˨˩	
粒	粒	ni2	ni˨˩	nᵈɨ˨˩	
栗	栗	ni2	ni˨˩	nᵈɨ˨˩	
律	律	ni2	ni˨˩	nᵈɨ˨˩	
聿	聿	ni2	ni˨˩	nᵈɨ˨˩	
力	力	ni2	ni˨˩	nᵈɨ˨˩	
率	率	ni2	ni˨˩	nᵈɨ˨˩	效~；频~；概~
歷	历	ni2	ni˨˩	nᵈɨ˨˩	
瀝	沥	ni2	ni˨˩	nᵈɨ˨˩	
溺	溺	ni2	ni˨˩	nᵈɨ˨˩	
宜	宜	ni2	ni˨˩	nᵈɨ˨˩	
誼	谊	ni2	ni˨˩	nᵈɨ˨˩	
疑	疑	ni2	ni˨˩	nᵈɨ˨˩	
逆	逆	ni2	ni˨˩	nᵈɨ˨˩	
倪	倪	ni2	ni˨˩	nᵈɨ˨˩	
掜	掜	ni2	ni˨˩	nᵈɨ˨˩	
婗	婗	ni2	ni˨˩	nᵈɨ˨˩	
霓	霓	ni2	ni˨˩	nᵈɨ˨˩	
凝	凝	ni2	ni˨˩	nᵈɨ˨˩	~定，指发呆走神
儀	仪	ni2	ni˨˩	nᵈɨ˨˩	~器
女	女	ni3	ni˦˧	nᵈɨ˦˧	
旅	旅	ni3	ni˦˧	nᵈɨ˦˧	
禮	礼	ni3	ni˦˧	nᵈɨ˦˧	
履	履	ni3	ni˦˧	nᵈɨ˦˧	
你	你	ni3	ni˦˧	nᵈɨ˦˧	
李	李	ni3	ni˦˧	nᵈɨ˦˧	
裡	里	ni3	ni˦˧	nᵈɨ˦˧	
理	理	ni3	ni˦˧	nᵈɨ˦˧	文读
鯉	鲤	ni3	ni˦˧	nᵈɨ˦˧	
俚	俚	ni3	ni˦˧	nᵈɨ˦˧	
娌	娌	ni3	ni˦˧	nᵈɨ˦˧	
擬	拟	ni3	ni˦˧	nᵈɨ˦˧	
慮	虑	ni4	ni˨˦	nᵈɨ˨˦	
濾	滤	ni4	ni˨˦	nᵈɨ˨˦	
麗	丽	ni4	ni˨˦	nᵈɨ˨˦	
荔	荔	ni4	ni˨˦	nᵈɨ˨˦	
膩	腻	ni4	ni˨˦	nᵈɨ˨˦	
溺	溺	ni4	ni˨˦	nᵈɨ˨˦	~巴子，指唾沫星子；屙~，指小便
利	利	ni4	ni˨˦	nᵈɨ˨˦	
痢	痢	ni4	ni˨˦	nᵈɨ˨˦	
例	例	ni4	ni˨˦	nᵈɨ˨˦	
吏	吏	ni4	ni˨˦	nᵈɨ˨˦	
戾	戾	ni4	ni˨˦	nᵈɨ˨˦	
義	义	ni4	ni˨˦	nᵈɨ˨˦	遵~
議	议	ni4	ni˨˦	nᵈɨ˨˦	白读
蟻	蚁	ni4	ni˨˦	nᵈɨ˨˦	蚂~子
毅	毅	ni4	ni˨˦	nᵈɨ˨˦	
藝	艺	ni4	ni˨˦	nᵈɨ˨˦	~艺；手~
離	离	ni4	ni˨˦	nᵈɨ˨˦	~婚
居	居	ji1	tɕi˦˥	tɕɨ˦˥	
啹	啹	ji1	tɕi˦˥	tɕɨ˦˥	叫~，即口哨；叫~~，即蟋蟀
車	车	ji1	tɕi˦˥	tɕɨ˦˥	象棋用语
拘	拘	ji1	tɕi˦˥	tɕɨ˦˥	
驹	驹	ji1	tɕi˦˥	tɕɨ˦˥	
俱	俱	ji1	tɕi˦˥	tɕɨ˦˥	
狙	狙	ji1	tɕi˦˥	tɕɨ˦˥	
雞	鸡	ji1	tɕi˦˥	tɕɨ˦˥	
稽	稽	ji1	tɕi˦˥	tɕɨ˦˥	
