"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"鮯"	"鮯"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"蛤"	"蛤"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"匌"	"匌"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"佮"	"佮"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"㠷"	"㠷"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"鞈"	"鞈"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"韐"	"韐"	"kæ̠ʔ˧"	""	"k"	"æ̠ʔ"	"˧"
"㬎"	"㬎"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"礏"	"礏"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"儑"	"儑"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"砐"	"砐"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"礘"	"礘"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"䑥"	"䑥"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"魥"	"魥"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"𤸱"	"𤸱"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"姶"	"姶"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"罯"	"罯"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"媕"	"媕"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"㔩"	"㔩"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"搕"	"搕"	"ŋᶢæ̠ʔ˧"	""	"ŋᶢ"	"æ̠ʔ"	"˧"
"喝"	"喝"	"xɔ˦˥"	"白讀"	"x"	"ɔ"	"˦˥"
"喝"	"喝"	"xæ̠ʔ˧"	"文讀"	"x"	"æ̠ʔ"	"˧"
"呷"	"呷"	"ɕi̯æ̠ʔ˧"	""	"ɕ"	"i̯æ̠ʔ"	"˧"
"郃"	"郃"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"䢔"	"䢔"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"榙"	"榙"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"㭘"	"㭘"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"詥"	"詥"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"耠"	"耠"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"𪘁"	"𪘁"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"頜"	"頜"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"合"	"合"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"欱"	"欱"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"㽺"	"㽺"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"㾑"	"㾑"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"盒"	"盒"	"xæ̠ʔ˧"	""	"x"	"æ̠ʔ"	"˧"
"䟃"	"䟃"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"㜗"	"㜗"	"t͡sʰæ̠ʔ˧"	""	"t͡sʰ"	"æ̠ʔ"	"˧"
"糝"	"糁"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"趿"	"趿"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
