"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"畢"	"毕"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"必"	"必"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"䏘"	"䏘"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"鷝"	"鷝"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"匹"	"匹"	"pʰi̯e̠ʔ˧"	""	"pʰ"	"i̯e̠ʔ"	"˧"
"㢸"	"㢸"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"佖"	"佖"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"胇"	"胇"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"弼"	"弼"	"pi̯e̠ʔ˧"	""	"p"	"i̯e̠ʔ"	"˧"
"蔤"	"蔤"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"宓"	"宓"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"滵"	"滵"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"樒"	"樒"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"密"	"密"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"謐"	"谧"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"䤉"	"䤉"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"榓"	"榓"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"宓"	"宓"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"淧"	"淧"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"蜜"	"蜜"	"mᵇi̯e̠ʔ˧"	""	"mᵇ"	"i̯e̠ʔ"	"˧"
"㧒"	"㧒"	"ɥoʔ˧"	""	"j"	"y̑oʔ"	"˧"
"䫻"	"䫻"	"ɥoʔ˧"	""	"j"	"y̑oʔ"	"˧"
"暱"	"匿"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䵒"	"䵒"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䵑"	"䵑"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䘌"	"䘌"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㥾"	"㥾"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"昵"	"昵"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"𦨇"	"𦨇"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"𡿩"	"𡿩"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"圪"	"圪"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㔎"	"㔎"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"怩"	"怩"	"nᵈi˨˩"	""	"nᵈ"	"i"	"˨˩"
"㮚"	"㮚"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"慄"	"慄"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"溧"	"溧"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䬆"	"䬆"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"鷅"	"鷅"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"凓"	"凓"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"篥"	"篥"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"麜"	"麜"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"瑮"	"瑮"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"塛"	"塛"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"搮"	"搮"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"䔁"	"䔁"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㗚"	"㗚"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㟳"	"㟳"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"栗"	"栗"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"㯃"	"㯃"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"桼"	"桼"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"䣛"	"䣛"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"柒"	"七"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"漆"	"漆"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"迄"	"迄"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"忔"	"忔"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"䒗"	"䒗"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"汔"	"汔"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"莔"	"莔"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"肸"	"肸"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"䛥"	"䛥"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"釳"	"釳"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"厀"	"厀"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"蟋"	"蟋"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"䊝"	"䊝"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"僁"	"僁"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"窸"	"窸"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"悉"	"悉"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"膝"	"膝"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"挃"	"挃"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"庢"	"庢"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"銍"	"銍"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"秷"	"秷"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"㲳"	"㲳"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"㗧"	"㗧"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"螲"	"螲"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"窒"	"窒"	"t͡sɹ̆ᵚ˩˧ "	""	"t͡s"	"ɹ̆ᵚ"	"˧"
"侄"	"侄"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"姪"	"姪"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"妷"	"妷"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"豑"	"豑"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"翐"	"翐"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"柣"	"柣"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"紩"	"紩"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"帙"	"帙"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"袠"	"袠"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"秩"	"秩"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"抶"	"抶"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"咥"	"咥"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"眣"	"眣"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"跮"	"跮"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"叱"	"叱"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"瑟"	"瑟"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𧒓"	"𧒓"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"濏"	"濏"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𨆙"	"𨆙"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𧌡"	"𧌡"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"蝨"	"虱"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"飋"	"飋"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"𦆄"	"𦆄"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"璱"	"璱"	"sæ̠ʔ˧"	""	"s"	"æ̠ʔ"	"˧"
"晊"	"晊"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"郅"	"郅"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"桎"	"桎"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"櫍"	"櫍"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"厔"	"厔"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"蛭"	"蛭"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"騭"	"骘"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"劕"	"劕"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"銍"	"銍"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"䑇"	"䑇"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"𡂒"	"𡂒"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"懫"	"懫"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"躓"	"躓"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"質"	"质"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"實"	"实"	"sɘʔ˧"	""	"s"	"ɘʔ"	"˧"
"失"	"失"	"sɘʔ˧"	""	"s"	"ɘʔ"	"˧"
"室"	"室"	"sɘʔ˧"	""	"s"	"ɘʔ"	"˧"
"𩋡"	"𩋡"	"sɘʔ˧"	""	"s"	"ɘʔ"	"˧"
"楖"	"楖"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"櫛"	"櫛"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"𥠈"	"𥠈"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"瀄"	"瀄"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"𪗨"	"𪗨"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"㘉"	"㘉"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"𪗨"	"𪗨"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"擳"	"擳"	"t͡sɘʔ˧"	""	"t͡s"	"ɘʔ"	"˧"
"㓼"	"㓼"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"𠞩"	"𠞩"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"𪘧"	"𬺋"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"𬺋"	"𬺋"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"䜉"	"䜉"	"t͡sʰɘʔ˧"	""	"t͡sʰ"	"ɘʔ"	"˧"
"馹"	"驲"	"zɘʔ˧"	""	"z"	"ɘʔ"	"˧"
"衵"	"衵"	"zɘʔ˧"	""	"z"	"ɘʔ"	"˧"
"㠴"	"㠴"	"zɘʔ˧"	""	"z"	"ɘʔ"	"˧"
"臸"	"臸"	"zɘʔ˧"	""	"z"	"ɘʔ"	"˧"
"日"	"日"	"zɘʔ˧"	""	"z"	"ɘʔ"	"˧"
"䰴"	"䰴"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"扢"	"扢"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"訖"	"讫"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"堲"	"堲"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"㲺"	"㲺"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"㘍"	"㘍"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"唧"	"唧"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"㲺"	"㲺"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"蝍"	"蝍"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"疾"	"疾"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"嫉"	"嫉"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"蒺"	"蒺"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"㑵"	"㑵"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"揤"	"揤"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"愱"	"愱"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"槉"	"槉"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"吉"	"吉"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"狤"	"狤"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"拮"	"拮"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"郆"	"郆"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"潔"	"洁"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"趌"	"趌"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"姞"	"姞"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"鮚"	"鮚"	"t͡ɕi̯e̠ʔ˧"	""	"t͡ɕ"	"i̯e̠ʔ"	"˧"
"契"	"契"	"t͡ɕʰi̯e̠ʔ˧"	"契丹"	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"汔"	"汔"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"䒗"	"䒗"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"迄"	"迄"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"乞"	"乞"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"詰"	"诘"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"蛣"	"蛣"	"t͡ɕʰi̯e̠ʔ˧"	""	"t͡ɕʰ"	"i̯e̠ʔ"	"˧"
"莔"	"莔"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"䛥"	"䛥"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"肸"	"肸"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"欯"	"欯"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"欪"	"欪"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"咭"	"咭"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"恄"	"恄"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"㣟"	"㣟"	"ɕi̯e̠ʔ˧"	""	"ɕ"	"i̯e̠ʔ"	"˧"
"仡"	"仡"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"疙"	"疙"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"疙"	"疙"	"kæ̠ʔ˧"	"～瘩(㾑)，表示身上隆起的小包"	"k"	"æ̠ʔ"	"˧"
"圪"	"圪"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"𧆫"	"𧆫"	"nᵈi̯e̠ʔ˧"	""	"nᵈ"	"i̯e̠ʔ"	"˧"
"屹"	"屹"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"壹"	"一"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"弌"	"弌"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"鳦"	"鳦"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"亄"	"亄"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"乙"	"乙"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"逸"	"逸"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"佚"	"佚"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"佾"	"佾"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"溢"	"溢"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"軼"	"轶"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"鎰"	"镒"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"泆"	"泆"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"齸"	"齸"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"劮"	"劮"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"欥"	"欥"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"䭿"	"䭿"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"䳀"	"䳀"	"je̠ʔ˧"	""	"j"	"i̯e̠ʔ"	"˧"
"䬂"	"䬂"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"怴"	"怴"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"䎉"	"䎉"	"ɕy̑oʔ˧"	""	"ɕ"	"y̑oʔ"	"˧"
"奔"	"奔"	"pə̞n˦˥"	""	"p"	"ə̞n"	"˦˥"
"賁"	"贲"	"pə̞n˦˥"	""	"p"	"ə̞n"	"˦˥"
"本"	"本"	"pə̞n˦˩"	""	"p"	"ə̞n"	"˦˩"
"畚"	"畚"	"pə̞n˦˩"	""	"p"	"ə̞n"	"˦˩"
"翉"	"翉"	"pʰə̞n˦˩"	""	"pʰ"	"ə̞n"	"˦˩"
"噴"	"喷"	"fə̞n˩˧"	"白讀，如：打～嚏"	"f"	"ə̞n"	"˩˧"
"噴"	"喷"	"pʰə̞n˦˥"	""	"pʰ"	"ə̞n"	"˦˥"
"𫣶"	"𫣶"	"pʰə̞n˦˥"	"動詞，表示倚靠"	"pʰ"	"ə̞n"	"˦˥"
"盆"	"盆"	"pʰə̞n˨˩"	""	"pʰ"	"ə̞n"	"˨˩"
"笨"	"笨"	"pə̞n˩˧"	""	"p"	"ə̞n"	"˩˧"
"𨁼"	"𨁼"	"pə̞n˩˧"	"表示努力掙扎，擺脫束縛。如：～脫.同(捹)"	"p"	"ə̞n"	"˩˧"
"捹"	"捹"	"pə̞n˩˧"	"表示努力掙扎，擺脫束縛。如：～脫.同(𨁼)"	"p"	"ə̞n"	"˩˧"
"們"	"们"	"mᵇə̞n˨˩"	""	"mᵇ"	"ə̞n"	"˨˩"
"門"	"门"	"mᵇə̞n˨˩"	""	"mᵇ"	"ə̞n"	"˨˩"
"捫"	"扪"	"mᵇə̞n˦˥"	""	"mᵇ"	"ə̞n"	"˦˥"
"悶"	"闷"	"mᵇə̞n˦˥"	"形容一個人把心事憋在心裏的樣子"	"mᵇ"	"ə̞n"	"˦˥"
"悶"	"闷"	"mᵇə̞n˩˧"	""	"mᵇ"	"ə̞n"	"˩˧"
"敦"	"敦"	"tə̞n˦˥"	""	"t"	"ə̞n"	"˦˥"
"墩"	"墩"	"tə̞n˦˥"	""	"t"	"ə̞n"	"˦˥"
"頓"	"顿"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"褪"	"褪"	"tʰwə̞ɪ̯˩˧"	""	"tʰ"	"wə̞ɪ̯"	"˩˧"
"屯"	"屯"	"tʰə̞n˨˩"	""	"tʰ"	"ə̞n"	"˨˩"
"豚"	"豚"	"tʰə̞n˨˩"	""	"tʰ"	"ə̞n"	"˨˩"
"飩"	"饨"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"臀"	"臀"	"tʰə̞n˨˩"	""	"tʰ"	"ə̞n"	"˨˩"
"囤"	"囤"	"tʰə̞n˨˩"	""	"tʰ"	"ə̞n"	"˨˩"
"囤"	"囤"	"tə̞n˩˧"	"動詞，表示把物品放置在某處"	"t"	"ə̞n"	"˩˧"
"扽"	"扽"	"tə̞n˩˧"	"動詞，表示把物品放置在某處"	"t"	"ə̞n"	"˩˧"
"沌"	"沌"	"tʰə̞n˨˩"	""	"tʰ"	"ə̞n"	"˨˩"
"沌"	"沌"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"盾"	"盾"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"鈍"	"钝"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"燉"	"炖"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"遁"	"遁"	"tə̞n˩˧"	""	"t"	"ə̞n"	"˩˧"
"嫩"	"嫩"	"l̃ə̞n˩˧"	""	"l̃"	"ə̞n"	"˩˧"
"論"	"论"	"l̃ə̞n˨˩"	""	"l̃"	"ə̞n"	"˨˩"
"崙"	"仑"	"l̃ə̞n˨˩"	""	"l̃"	"ə̞n"	"˨˩"
"論"	"论"	"l̃ə̞n˩˧"	""	"l̃"	"ə̞n"	"˩˧"
"尊"	"尊"	"t͡sə̞n˦˥"	""	"t͡s"	"ə̞n"	"˦˥"
"村"	"村"	"t͡sʰə̞n˦˥"	""	"t͡sʰ"	"ə̞n"	"˦˥"
"忖"	"忖"	"t͡sʰə̞n˩˧"	""	"t͡sʰ"	"ə̞n"	"˩˧"
"寸"	"寸"	"t͡sʰə̞n˩˧"	""	"t͡sʰ"	"ə̞n"	"˩˧"
"存"	"存"	"t͡sʰə̞n˨˩"	""	"t͡sʰ"	"ə̞n"	"˨˩"
"蹲"	"蹲"	"tə̞n˦˥"	""	"t"	"ə̞n"	"˦˥"
"黗"	"黗"	"tʰə̞n˦˩"	"說話或其他動作不流暢"	"tʰ"	"ə̞n"	"˦˩"
"旽"	"旽"	"tʰə̞n˩˧"	"互相拖，等別人先行動"	"tʰ"	"ə̞n"	"˩˧"
"孫"	"孙"	"sə̞n˦˥"	""	"s"	"ə̞n"	"˦˥"
"損"	"损"	"sə̞n˦˩"	""	"s"	"ə̞n"	"˦˩"
"遜"	"逊"	"ɕy̑in˩˧"	""	"ɕ"	"y̑in"	"˩˧"
"昆"	"昆"	"kʰwə̞n˦˥"	""	"kʰ"	"wə̞n"	"˦˥"
"崑"	"崑"	"kʰwə̞n˦˥"	""	"kʰ"	"wə̞n"	"˦˥"
"滾"	"滚"	"kwə̞n˦˩"	""	"k"	"wə̞n"	"˦˩"
"棍"	"棍"	"kwə̞n˩˧"	""	"k"	"wə̞n"	"˩˧"
"坤"	"坤"	"kʰwə̞n˦˥"	""	"kʰ"	"wə̞n"	"˦˥"
"坤"	"坤"	"kʰwə̞n˦˥"	""	"kʰ"	"wə̞n"	"˦˥"
"坤"	"坤"	"kʰwə̞n˦˥"	""	"kʰ"	"wə̞n"	"˦˥"
"捆"	"捆"	"kʰwə̞n˦˩"	""	"kʰ"	"wə̞n"	"˦˩"
"困"	"困"	"kʰwə̞n˩˧"	"困難"	"kʰ"	"wə̞n"	"˩˧"
"睏"	"睏"	"kʰwə̞n˩˧"	"睡覺"	"kʰ"	"wə̞n"	"˩˧"
"昏"	"昏"	"xwə̞n˦˥"	"昏君"	"x"	"wə̞n"	"˦˥"
"婚"	"婚"	"xwə̞n˦˥"	""	"x"	"wə̞n"	"˦˥"
"魂"	"魂"	"xwə̞n˨˩"	""	"x"	"wə̞n"	"˨˩"
