					#调值 [1]31 [2]55 [3]24 [4]212
实	s	ɿ	55		
失	s	ɿ	31		
日	Ǿ	ᵊɻ	31		
吉	tɕ	iɛ	31		
一	Ǿ	i	31		
筋	tɕ	in	31		
劲	tɕ	in	212		
勤	tɕʰ	in	55		
近	tɕ	in	212		
隐	Ǿ	in	24		
本	p	ən	24		
盆	pʰ	ən	55		
门	m	ən	55		
墩	t	ən	31		
嫩	l	ən	212		
村	tsʰ	ən	31		
寸	tsʰ	ən	212		
蹲	t	ən	31		
孙	s	ən	31		
滚	k	un	24		
困	kʰ	un	212		
婚	f	ən	31		
魂	f	ən	55		
温	v	ən	31		
卒	ts	əu	55		
骨	k	u	31		
轮	l	ən	55		
俊	tʃ	yn	31		
笋	s	ən	24		
准	tʃ	yn	24		
春	tʃʰ	yn	31		
唇	tʃʰ	yn	55		
顺	ʃ	yn	212		
纯	ʃ	yn	55		
闰	Ǿ	yn	212		
均	tʃ	yn	31		
匀	Ǿ	yn	55		
律	l	i	31		
出	tʃʰ	y	31		
橘	tʃ	y	31		
分	f	ən	31		
粉	f	ən	24		
粪	f	ən	212		
坟	f	ən	55		
蚊	v	ən	55		
问	v	ən	212		
军	tʃ	yn	31		
裙	tʃʰ	yn	55		
熏	ʃ	yn	31		
云	Ǿ	yn	55		
运	Ǿ	yn	212		
佛	f	u	31		
物	v	u	212		
帮	p	ɑŋ	31		
忙	m	ɑŋ	55		
党	t	ɑŋ	24		
汤	tʰ	ɑŋ	31		
糖	tʰ	ɑŋ	55		
浪	l	ɑŋ	212		
仓	tsʰ	ɑŋ	31		
钢	k	ɑŋ	31		
糠	kʰ	ɑŋ	31		
薄	p	o	55		
摸	m	o	31		
托	tʰ	o	31		
落	l	o	31		
作	ts	o	31		
索	s	o	31		
各	k	o	31		
鹤	x	o	31		
恶	Ǿ	o	31		
娘	ȵ	iɑŋ	55		
两	l	iɑŋ	24		
亮	l	iɑŋ	212		
浆	tɕ	iɑŋ	31		
抢	tɕʰ	iɑŋ	24		
匠	tɕ	iɑŋ	212		
想	ɕ	iɑŋ	24		
像	ɕ	iɑŋ	212		
张	ts	ɑŋ	31		
长	tsʰ	ɑŋ	55		
装	ts	ɑŋ	31		
壮	ts	ɑŋ	212		
疮	tsʰ	ɑŋ	31		
床	tsʰ	ɑŋ	55		
霜	s	ɑŋ	31		
章	ts	ɑŋ	31		
厂	tsʰ	ɑŋ	24		
唱	tsʰ	ɑŋ	212		
伤	s	ɑŋ	31		
尝	tsʰ	ɑŋ	55		
上	s	ɑŋ	212		
让	z	ɑŋ	212		
姜	tɕ	iɑŋ	31		
响	ɕ	iɑŋ	24		
向	ɕ	iɑŋ	212		
秧	Ǿ	iɑŋ	31		
痒	Ǿ	iɑŋ	24		
样	Ǿ	iɑŋ	212		
雀	tʃʰ	yo	31		
削	ʃ	yo	31		
着	ts	o	55		
勺	s	o	55		
弱	z	o	31		
脚	tʃ	yo	31		
约	Ǿ	yo	31		
药	Ǿ	yo	31		
光	k	uɑŋ	31		
慌	f	ɑŋ	31		
黄	f	ɑŋ	55		
郭	k	o	31		
霍	x	o	212		
方	f	ɑŋ	31		
放	f	ɑŋ	212		
纺	f	ɑŋ	24		
房	f	ɑŋ	55		
防	pʰ	ɑŋ	55		
网	v	ɑŋ	24		
筐	kʰ	uɑŋ	31		
狂	kʰ	uɑŋ	55		
王	v	ɑŋ	55		
旺	v	ɑŋ	212		
绑	p	ɑŋ	24		
胖	pʰ	ɑŋ	212		
棒	p	ɑŋ	212		
桩	ts	ɑŋ	31		
撞	ts	ɑŋ	212		
窗	tsʰ	ɑŋ	31		
双	s	ɑŋ	31		
江	tɕ	iɑŋ	31		
讲	tɕ	iɑŋ	24		
降	tɕʰ	iɑŋ	55		
项	ɕ	iɑŋ	212		
剥	p	o	31		
桌	ts	o	31		
镯	ts	o	55		
角	k	o	31		
壳	kʰ	o	31		
学	ɕ	yo	55		
握	Ǿ	o	31		
朋	pʰ	əŋ	55		
灯	t	ən	31		
等	t	ən	24		
凳	t	ən	212		
藤	tʰ	ən	55		
能	l	ən	55		
层	tsʰ	ən	55		
僧	s	ən	31		
肯	kʰ	ən	24		
北	p	ɛ	31		
墨	m	iɛ	31		
得	t	ɛ	31		
特	t	iɛ	55		
贼	ts	ɛ	55		
塞	s	ɛ	31		
刻	kʰ	ɛ	31		
黑	x	ɛ	31		
冰	p	in	31		
证	ts	ən	212		
秤	tsʰ	ən	212		
绳	s	ən	55		
剩	s	ən	212		
升	s	ən	31		
兴	ɕ	in	212		
蝇	Ǿ	in	31		
逼	p	i	31		
力	l	i	31		
息	ɕ	i	31		
直	ts	ɿ	55		
侧	tsʰ	ɛ	31		
测	tsʰ	ɛ	31		
色	s	ɛ	31		
织	ts	ɿ	31		
食	s	ɿ	55		
式	s	ɿ	31		
极	tɕ	i	31		
国	k	uɛ	31		
或	x	o	55		
猛	m	əŋ	24		
打	t	a	24		
冷	l	ən	24		
生	s	ən	31		
省	s	ən	24		
更	k	ən	31		
梗	k	ən	24		
坑	kʰ	ən	31		
硬	ŋ	ən	212		
行	ɕ	in	55		
百	p	ɛ	31		
拍	pʰ	ɛ	31		
白	p	ɛ	55		
拆	tsʰ	ɛ	31		
择	ts	ɛ	55		
窄	ts	ɛ	31		
格	k	ɛ	31		
客	kʰ	ɛ	31		
额	ŋ	ɛ	31		
棚	pʰ	əŋ	55		
争	ts	ən	31		
耕	k	ən	31		
麦	m	iɛ	31		
摘	ts	ɛ	31		
策	tsʰ	ɛ	31		
隔	k	ɛ	31		
兵	p	in	31		
柄	p	in	212		
平	pʰ	in	55		
病	p	in	212		
明	m	in	55		
命	m	in	212		
镜	tɕ	in	212		
庆	tɕʰ	in	212		
迎	Ǿ	in	55		
影	Ǿ	in	24		
剧	tʃ	y	212		
饼	p	in	24		
名	m	in	55		
领	l	in	24		
井	tɕ	in	24		
清	tɕʰ	in	31		
静	tɕ	in	212		
姓	ɕ	in	212		
贞	ts	ən	31		
程	tsʰ	ən	55		
整	ts	ən	24		
正	ts	ən	212		
声	s	ən	31		
城	tsʰ	ən	55		
轻	tɕʰ	in	31		
赢	Ǿ	in	55		
积	tɕ	i	31		
惜	ɕ	i	31		
席	ɕ	i	55		
尺	tsʰ	ɿ	31		
石	s	ɿ	55		
益	Ǿ	i	212		
瓶	pʰ	in	55		
钉	t	in	31		
顶	t	in	24		
厅	tʰ	in	31		
听	tʰ	in	31		
停	tʰ	in	55		
挺	tʰ	in	24		
定	t	in	212		
零	l	in	55		
青	tɕʰ	in	31		
星	ɕ	in	31		
经	tɕ	in	31		
形	ɕ	in	55		
壁	p	i	31		
劈	pʰ	i	31		
踢	tʰ	i	31		
笛	t	i	55		
