tsɿ⁵²	之知栀蜘兹咨姿资滋芝枝支肢
kʰə⁵	克苛咳刻
ŋə⁴⁴	饵
ŋə³⁵	鄂
ŋə³¹	颚
xə²²	哈
xə³⁵	壑
xə³¹	赫嚇
xə⁵	呵
ə³⁵	额
pie⁵²	鞭边蝙编
pie²²	别便{~宜}
pie⁴⁴	扁匾瘪贬
pie³⁵	变辨辩辫
pie³¹	遍便{方~}
pie⁵	憋鳖
pʰie⁵²	篇偏
pʰie³⁵	骗片
pʰie⁵	撇
mie²²	绵棉眠
mie⁴⁴	免勉娩缅
mie³¹	面麺
mie⁵	灭篾
tie⁵²	颠癫爹
tie²²	田甜填蝶叠碟谍跌
tie⁴⁴	典点碘
tie³⁵	甸
tie³¹	殿掂电佃店垫淀奠靛簟
tʰie⁵²	天添
tʰie⁴⁴	舔
tʰie⁵	贴铁帖
lie⁵²	研
lie²²	列劣烈年业连帘怜莲廉鲢镰猎裂聂阎镊蹑黏热联蔫
lie⁴⁴	脸燃撵捻敛碾
lie³¹	念练砚楝孽验恋捏炼鍊
lie⁵	捡
tɕie⁵²	艰尖坚煎肩搛犍楔监兼歼奸间{中~}
tɕie²²	疖捷前钱钳桔
tɕie⁴⁴	剪检简拣践俭柬笕碱茧趼
tɕie³⁵	建剑荐健渐腱箭暂键见给{供~}
tɕie³¹	件饯贱涧溅锏谏间{~断}
tɕie⁵	接揭节洁截褶结折
tɕʰie⁵²	千迁牵铅掀笺谦签
tɕʰie²²	虔乾潜妾
tɕʰie⁴⁴	浅遭且谴
tɕʰie³⁵	欠怯窃芡歉
tɕʰie⁵	切
ɕie⁵²	先仙些
ɕie²²	舌闲贤舷衔嵌嫌协邪穴折
ɕie⁴⁴	显险
ɕie³⁵	线羡宪献泄懈
ɕie³¹	县现胁谢
ɕie⁵	虱歇蝎
ie⁵²	烟胭淹阉掩椰腌
ie²²	然燃焉延严言炎盐筵檐谚颜
ie⁴⁴	辇染演冶
ie³⁵	厌宴艳堰咽燕嚥
ie³¹	焰
ie⁵	噎页叶
lye⁵	月
tɕye⁵²	捐鹃娟绢
tɕye²²	劫决诀绝瘸全权泉拳颧觉{~悟}
tɕye⁴⁴	眷卷捲圈
tɕye³⁵	绢倔
tɕye³¹	倦券
tɕʰye⁵²	圈
tɕʰye⁴⁴	犬
tɕʰye³⁵	劝
tɕʰye⁵	缺厥
ɕye⁵²	靴宣喧玄悬鲜
ɕye⁴⁴	选癣
ɕye³¹	眩弦旋
ɕye⁵	薛雪血
ye⁵²	鸳渊曰冤
ye²²	园援辕悦阅粤越袁阮丸元员原圆袁缘源猿沿
ye⁴⁴	远
ye³⁵	媛
ye³¹	皖怨院愿
pai⁵²	掰□{女阴}
pai²²	排牌
pai⁴⁴	摆
pai³⁵	拜簰
pai³¹	败稗
pʰai³⁵	派
mai²²	埋
mai⁴⁴	买
mai³¹	迈卖
fai²²	怀淮槐踝
fai³¹	坏
tai⁵²	呆
tai²²	头抬苔臺
tai⁴⁴	歹斗
tai³⁵	带待怠殆贷袋代戴黛
tai³¹	豆逗痘大
tʰai⁵²	胎偷
tʰai³⁵	太态泰透汰
lai⁵²	搂{掏}
lai²²	来楼
lai⁴⁴	奶篓搂{抱}
lai³¹	赖癞陋漏奈耐
tsai⁵²	灾栽斋瞻
tsai²²	才材财裁柴豺哉
tsai⁴⁴	在宰走崽
tsai³⁵	再债载
tsai³¹	寨
tsʰai⁵²	猜钗差{当~}
tsʰai⁴⁴	采彩睬採
tsʰai³⁵	菜蔡
sai⁵²	腮鳃筛
sai³⁵	赛晒瘦嗽
kai⁵²	该沟钩阶皆秸街谐勾{~结}
kai⁴⁴	狗苟改解{~开}
kai³⁵	界构丐盖购够介戒芥届疥械
kai³¹	 勾{姓}
kʰai⁵²	楷开
kʰai⁴⁴	凯楷口
kʰai³⁵	溉概慨
ŋai⁵²	哀喉欧{姓}
ŋai²²	埃捱
ŋai⁴⁴	矮葛藕偶
ŋai³⁵	爱艾隘呕碍
xai⁵²	□{佝}
xai²²	孩喉猴瘊鞋侯行
xai³⁵	海蟹骇
xai³¹	亥害厚候后後解{姓}
ai³⁵	隘
tsuai⁵²	□{稻穗}
tsuai³⁵	□{栗凿}
tsʰuai⁵²	搋{搓揉}
suai⁵²	衰
suai²²	摔
suai³⁵	帅蟀率{~领}
kuai⁵²	乖
kuai⁴⁴	拐
kuai³⁵	怪
kʰuai⁴⁴	 □{拔；扯}
kʰuai³⁵	刽桧快筷块会{~计}
uai⁵²	歪
uai⁴⁴	崴{~脚}
uai³¹	外
pəi⁵²	兵杯悲碑婢范卑
pəi²²	贫陪培赔频平评坪苹屏瓶萍凭
pəi⁴⁴	丙秉饼柄禀
pəi³⁵	倍焙辈贝背并
pəi³¹	病
pəi⁵	北壁
pʰəi⁵²	胚坯□{箅子}
pʰəi²²	裴霹劈
pʰəi³⁵	佩配
məi²²	名铭某枚莓梅媒煤霉
məi⁴⁴	每美
məi³⁵	玫妹昧
məi³¹	命媚
məi⁵	墨默
fəi⁵²	飞妃非灰恢挥辉麾徽晖
fəi²²	肥回茴
fəi⁴⁴	匪毁悔榧翡彙
fəi³⁵	讳吠废肺费痱绘彗惠慧诲晦卉会{开~}
fəi³¹	贿穗汇
təi⁵²	丁疗叮堆灯钉
təi²²	停亭
təi⁴⁴	等戥顶鼎
təi³⁵	队对
təi³¹	定锭订澄钉
tʰəi⁴⁴	腿
tʰəi³⁵	听
tʰəi⁵	剔踢
ləi²²	雷
ləi⁴⁴	垒冷岭领屡磊
ləi³¹	内类令泪累擂曆
ləi⁵	力儡肋勒
tsəi⁵²	蒸贞侦罾甑正{~月}
tsəi²²	贼直睛蓆
tsəi⁴⁴	井诊疹拯整
tsəi³⁵	最
tsəi³¹	净
tsəi⁵	则侧
tsʰəi⁵²	青清蜻称撑
tsʰəi⁴⁴	请
tsʰəi⁵	吃赤尺
səi⁵²	声虽
səi²²	石谁
səi⁴⁴	髓醒擤
səi⁵	锡塞
kəi²²	□{拿}
kəi⁴⁴	颈
kʰəi⁵²	轻
ŋəi²²	赢
xəi⁵²	兄
xəi⁵	黑核
əi²²	儿而
əi⁴⁴	尔
tuəi⁵²	堆
tuəi³⁵	兑碓
tʰuəi⁵²	推
tʰuəi³⁵	退褪
luəi³⁵	蕊
luəi³¹	锐
tsuəi⁵²	追锥摧
tsuəi²²	槌锤垂捶
tsuəi⁴⁴	嘴
tsuəi³⁵	醉赘
tsuəi³¹	罪坠
tsʰuəi⁵²	吹炊崔催
tsʰuəi³⁵	脆翠
suəi²²	谁随
suəi⁴⁴	水
suəi³⁵	岁碎粹瑞税遂隧隋
suəi³¹	睡
kuəi⁵²	归闺圭龟规
kuəi²²	睽
kuəi⁴⁴	轨诡鬼
