#ɿ
s [224]色={颜～}塞={闭～}[31]色={好～}
tʂ [224]蔗{～糖}折{～叠}褶{～子}蜇{～人}浙{～江}[53]蛰{惊～}辙折{打～}[45]者[31]遮
tʂʰ [224]车[45]扯[31]彻撤饬{倒～：打扮}
ʂ [224]赊[53]蛇舌折{～了}[45]舍{四～五入}设[31]射麝{～香}赦舍{鸡～}佘{姓}社摄{～影}涉{干～}
ʐ [45]惹[31]热
k [224]歌哥戈鸽{～子}割搁胳革隔痂{【又】～巴儿}旮{～旯儿}葛{～庄}[53]硌{～脚}阁{～下}格□{～□ lou0：皱}[45]葛{姓}各嗝{打～}[31]个虼{～蚤}
kʰ [224]科颗棵磕渴括-{～号儿}苛咳坷克{～服}□{巴～闲儿：猪或小宠物狗}窠{～蝼儿：七八十斤的半大猪}[53]壳{蛋～儿}揢{～住：夹住}剋{【又】呵斥}[45]可[31]课扩{～大}刻={时～}克{一～}客=骒{～马}
x [224]喝{～水}豁{～出去}[53]荷{薄～}河何={姓}荷={～花儿}和{～气}禾合={～起来}盒核{～桃}蛤{～蟆}[31]贺{【又】}喝{～彩}鹤嚇{～住}褐
Ǿ [53]俄鹅={～蛋脸}额={小～贷款}娥蛾=峨{～眉山}[45]恶={～心}[31]饿{饥～}恶={～有～报}

#uo
t [224]多{忒～嗹：太多了}掇哆{～嗦}[53]夺[45]躲朵={量词}多{～么}[31]舵垛跺剁柁{房～：瓦房起脊的架子}
tʰ [224]拖脱托={～着：用手承物}[53]驼{羊～}驮{～起来}椭{～圆}□{住：黏在一起}砣{～秤}鸵{～鸟}佗{华～}唾{【又】}[45]妥[31]拓{开～}
n [53]挪[31]诺糯
l [224]啰{～嗦}[53]罗萝锣箩骡螺摞{～起来}脶{手指肚上的长形指纹}[45]裸{～体}虏{俘～}[31]落骆{姓}洛{～阳}络{联～}
ʦ [224]作{工～}桌{～子}捉嘬{吮吸}[53]琢{～磨}啄涿{～州}镯{～子}[45]左佐撮{一～头发}昨[31]坐座做{～人}作{～业}
ʦʰ [224]搓戳{～子}挫{～折}撮{～合}[53]矬矮[31]措{～施}错锉
s [224]梭{～子}缩蓑{～衣}嗍{吮吸}索{线～}[53]□{调皮捣蛋}[45]锁所嗽{【俗】咳～}[31]塑{【又】～料}
ʂ [224]说[31]硕{～士}朔{名}
ʐ [31]若{【又】}弱{【又】}
k [224]锅郭[53]国={中～}[45]果裹馃{～子}裹{～妈妈儿：吃奶}国={【又】}[31]过
kʰ [224]括={包～}[31]阔扩{【又】}廓
x [224]劐{用刀～开}豁={～子嘴儿}[53]和{～面}活何-{～庄儿}荷-{～包蛋}合-{菜～子}[45]火伙[31]货祸霍藿{～香}惑{迷～}获喝{【又】吆～}贺和{【又】～～：搅拌}或={～然率}
Ǿ [224]踒{～了脚}窝{儿}蜗[53]蛾-{儿}[45]我[31]饿-{～嗹}卧握沃窝{【又】～眍眼儿：深邃的眼睛}

#ɭ
Ǿ [53]儿-{～女}[45]耳-{～朵}[31]二-{第～}

#ɚ
Ǿ [53]儿={～童}[45]耳={木～}[31]二={这人儿真～}

#ai
p [224]百{数词}柏{～树}掰百{～叶：牛的消化器官}[53]白[45]摆伯-{叔～兄弟}[31]拜稗{～草}败
pʰ [224]迫{压～}拍[53]排牌膊{【又】}[31]派
m [53]埋[45]买[31]卖迈麦脉
f [53]膊{【又】}
t [224]待呆[53]□{逗弄小孩儿之语}[45]在逮歹傣[31]戴带贷待怠代袋大{～夫}
tʰ [224]胎态苔{舌～}[53]台抬[31]太泰
n [224]挨{～着}[53]捱{～打}[45]乃奶[31]耐奈碍-{～事儿}爱-{～好儿}艾-{～草}
l [224]赖{只用于“不赖”}[53]来[31]赖癞
ʦ [224]灾栽斋窄摘责{～任}[53]择-{～菜}宅泽-{人名用字}[45]宰载{年～}崽侧-{～歪}[31]再载{～重}在{【又】}债寨
ʦʰ [224]猜钗差{出～}拆策䜺{豆～子：破豆子}册{第一～}[53]才材裁财柴豺[45]彩睬踩[31]菜蔡
s [224]腮鳃筛色-{上～}塞-{瓶～}[53]塞-{强～：吃不了硬吃}[31]赛晒
tʂ [45]䍉{碗上有个～儿}
k [224]该[45]改[31]概溉盖丐钙
kʰ [224]开[45]凯楷
x [53]孩[45]海[31]亥害
Ǿ [224]哀{悲～}埃{尘～落地}[31]碍={妨～}爱={～心}艾={～灸}蔼{和～可亲}

#iai
Ǿ [45]矮

#uai
l [45]攋{薅}
ʦ [53]拽{摘}[31]拽{拖}
