汉字	音标	注释
枯	kʰvu⁵¹▲	
苦	fu³²⁴味~	
苦	kʰvu³²⁴受~	
库	kʰvu⁴⁴	
裤	kʰvu⁴⁴	
吴	vu⁴⁵▲	
五	ɡau²¹	
误	ɡau²²	
呼	fu⁵¹	
虎	fu³²⁴	
戽	fu⁴⁴	
胡	fu⁴⁵	姓~
湖	fu⁴⁵	
胡	vu⁴⁵	~须
户	fu²²	
互	fu²²	
护	fu²²	
乌	vu⁵¹	
女	lau²¹崽~	
女	lau⁴孙~	
吕	løy⁴	
旅	løy⁴	
徐	tsʰai⁴⁵	
序	tsʰøy²²	
猪	au⁵¹	
著	tsy⁴⁴	
除	tsʰy⁴⁵	
苎	tʰau⁴⁴	
阻	tsɔu³²⁴	
初	tsʰɔu⁵¹	
楚	tsʰɔu³²⁴	
锄	tsʰøy⁴⁵	
助	tsʰɔu²²	
梳	søy⁵¹	
蔬	sɔu⁵¹	
所	sɔu³²⁴	
诸	tsy⁵¹	
煮	tsy³²⁴	
处	tsʰy⁴	~所
书	sy⁵¹	
舒	sy⁵¹	
鼠	sy³²⁴老~	
鼠	sy⁴飞~	
薯	sy⁴⁵▲	红~
如	jy⁴⁵	
居	kau⁵¹	
车	kau⁵¹	~马炮
举	kau³²⁴	
锯	kau⁴⁴动词	
锯	kau⁴名词	
去	hau⁴⁵▲	
渠	kʰei⁴▲	
巨	kʰau²²	
距	kʰau⁵¹▲	
鱼	ɡau⁴	
语	ɡau⁴	
虚	hau⁵¹	
许	hau³²⁴	
余	jy⁴⁵	
预	jy²²	
肤	fu⁵¹	
府	fu³²⁴	
斧	pau³²⁴~头	
斧	fu³²⁴字音	
傅	fu⁵¹▲	
符	fu⁴⁵	
扶	pau⁴⁵话音	
扶	fu⁴⁵字音	
腐	fu²²	
辅	fu²²	
附	fu⁴⁴▲	
无	vu⁴⁵	
舞	bau²¹	
武	bau²¹	
务	bau²²	
雾	bau²²	
屡	løy⁴	
取	tsʰau³²⁴	
娶	tsʰau³²⁴	
趣	tsʰøy⁴⁴	
聚	tsʰøy²²	
须	sau⁵¹	胡~
需	sau⁵¹	
株	tsy⁵¹	
驻	tsy⁴⁴	
厨	tsʰy⁴⁵	
柱	tʰau²¹	
住	tau²²	
数	sau⁴	名词
朱	tsy⁵¹	
珠	tsy⁵¹~算	
珠	tsy⁴脚眼~	
主	tsy³²⁴	
注	tsy⁴⁴	
输	sy⁵¹	
殊	sy⁴⁵	
竖	sau²²	
树	sau⁴	
儒	jy⁴⁵	
拘	kʰau⁵¹▲	
句	kau⁴⁴	
区	kʰau⁵¹	
具	kʰau²²	
愚	jy⁴⁵	
娱	jy⁴⁵	
遇	ɡau²²	
雨	jy³²⁴	
羽	jy⁴	
芋	vy⁵¹▲	
愉	jy²²▲	
裕	jy²²	
戴	u⁴⁴	
胎	tʰu⁵¹	
态	tʰu⁴⁴	
贷	tu²²▲	
台	tu⁴⁵	
待	tu²²	
代	tu²²	
袋	tu⁴	
耐	lu²²	
来	lei⁴⁵话音▲	
来	lu⁴⁵~往	
灾	tsu⁵¹	
栽	tsu⁵¹	
宰	tsu³²⁴	
再	tsu⁴⁴	
彩	tsʰu³²⁴	
菜	tsʰu⁴⁴青~	
菜	tsʰu⁴韭~	
财	tsʰu⁴⁵	
裁	tsʰu⁴⁵	
在	tsʰu²²	
鳃	si⁵¹▲	
赛	tsʰu⁴⁴▲	
该	kvu⁵¹	
改	kvu³²⁴	
概	kʰvu⁴⁴▲	
开	kʰvu⁵¹	
碍	ɡu²²	
海	hu³²⁴	
亥	hu²²	
哀	u⁵¹	
爱	u⁴⁴	
贝	pu⁴⁴	
带	u⁴⁴动词	
带	u⁴名词	
太	tʰu⁴⁴	
泰	tʰu⁴⁴	
大	tu²²	~夫
赖	lu²²	
蔡	tsʰu⁴⁴	
盖	kvu⁴⁴动词	
盖	kvu⁴名词	
艾	ɡu²²	
害	hu²²	
拜	pie⁴⁴	
排	pie⁴⁵	
埋	bie⁴⁵	
斋	tsie⁵¹	
豺	tsʰie⁴⁵	
阶	kie⁵¹	
介	kie⁴⁴	
界	kie⁴⁴	
戒	kie⁴⁴	
楷	kie⁵¹▲	
械	hie²²	
挨	ai⁵¹	~着
摆	pie³²⁴	
派	pʰie⁴⁴	
牌	pie⁴	
稗	pie²²	
买	bie²¹	
卖	bie²²	
奶	lœn⁴▲	
债	tsie⁴⁴	
差	tsʰie⁵¹	出~
柴	tsʰie⁴⁵	
筛	søy⁵¹动词▲	
筛	søy⁴名词▲	
洒	sie³²⁴	
晒	sie⁴⁴	
佳	kie⁵¹	
街	kie⁵¹	
解	kie³²⁴	
鞋	hie⁴	
蟹	hie³²⁴▲	
矮	ie³²⁴	
败	pie²²	
寨	tsʰie²²	
币	pai⁴⁴▲	
毙	pai²²	
例	lei⁴	
际	tsei⁴⁴	
祭	tsai⁴⁴	
制	tsei⁴⁴	
世	si⁴⁴	
势	sei⁴⁴	
誓	sei²²	
艺	ɡei²²	
闭	pai⁴⁴	
批	pʰie⁵¹	
迷	bai⁴⁵	
米	bøy²¹	
低	ie⁵¹	
堤	tie⁴⁵▲	
底	ie³²⁴~下	
底	ie⁴背~	
帝	ai⁴⁴	
梯	tʰie⁵¹	
体	tʰai³²⁴	
替	tʰei⁴⁴	
剃	tʰie⁴⁴	
题	tie⁴⁵	
提	tie⁴⁵	
弟	tʰie⁴	
弟	tie⁴徒~▲	
第	tai²²	
泥	lie⁴⁵	
泥	lie⁴饭~	
犁	lie⁴⁵	
礼	lai²¹	
丽	lai²²	
挤	tsai⁵¹▲	
济	tsai⁴⁴	
妻	tsʰei⁵¹	
齐	tsʰei⁴⁵	
脐	tsʰai⁴	
西	sei⁵¹~瓜	
西	sei⁴东~	
洗	sei³²⁴	
细	sei⁴⁴	
鸡	kei⁵¹	
鸡	kei⁴灶~	
计	kei⁴⁴	
继	kei⁴⁴	
启	kʰai³²⁴	
系	hei²²	~统
杯	pu⁵¹	
背	pu⁴⁴~脊	
背	pu⁴~底	
配	pʰei⁴⁴	
陪	pu⁴⁵	
赔	pu⁴⁵	
倍	pʰu⁴	
背	pu²²	~诵
佩	pʰei⁴⁴	
梅	bu⁴⁵~花	
梅	bu⁴杨~	
煤	bu⁴⁵	
妹	bu⁴	
堆	øy⁵¹	
对	øy⁴⁴形容词	
对	øy⁴名词	
推	tʰøy⁵¹	
腿	tʰøy³²⁴	
退	tʰøy⁴⁴	
队	øy⁴▲	
内	løy²²	
雷	løy⁴⁵	
累	løy²²	劳~
催	tsʰøy⁵¹	
罪	tsʰøy²²	
碎	søy⁴⁴	
恢	fu⁵¹	
灰	fu⁵¹	
悔	fei²²▲	
回	fu⁴⁵	
汇	fei²²	
兑	øy⁴⁴	
最	tsøy⁴⁴	
会	fei²²▲	~计
外	ɡu²²	
会	fei²²	~议
会	vu²²	不~
乖	kvie⁵¹	
怪	kvie⁴⁴	
块	kʰvie³²⁴▲	
怀	fie⁴⁵	
坏	fie²²	
拐	kvie³²⁴	
挂	kvɔu⁴⁴	
歪	vie⁵¹	
画	fɔu⁴⁴▲	
快	kʰvie⁴⁴	
筷	kʰvie⁴⁴	
话	vɔu²²动词	
话	vɔu⁴名词	
脆	tsʰøy⁴⁴	
岁	søy⁴⁴	
税	søy⁴⁴	
卫	vei²²	
废	fei⁴⁴	
肺	fei⁴⁴	
桂	kvei⁴⁴	
惠	vei²²	
慧	vei²²	
碑	pai⁵¹	
彼	pʰai³²⁴▲	
披	pʰai⁵¹	
皮	pʰai⁴⁵	
皮	pʰai⁴信~	
脾	pai⁴⁵	
被	pʰai²¹	~子
避	pai²²	
弥	bai⁴⁵	~补
离	lai⁴⁵	
篱	lai⁴⁵	
荔	lai²²	
紫	tsi³²⁴	
此	tsʰi³²⁴	
刺	tsʰi⁴⁴	
斯	si⁵¹	
赐	tsʰi⁴⁴▲	
知	tsi⁵¹	
智	tsi⁴⁴	
池	tsʰi⁴⁵	
支	tsi⁵¹	
枝	tsi⁵¹	
纸	tsi³²⁴	
只	tsi³²⁴	~有
舐	sei²¹	舔
施	si⁵¹	
是	si²²	
氏	si²²	
儿	jy⁴⁵	
寄	kai⁴⁴	
企	kʰai²¹▲	~业
奇	kʰai⁴⁵	
骑	kʰai⁴⁵	
技	kʰai⁵¹▲	
徛	kʰai²¹	站立
宜	ɡai⁴⁵	
蚁	ɡai²¹	
义	ɡai²²	
议	ɡai²¹▲	
牺	hai⁵¹	
戏	hai⁴⁴	
椅	ji³²⁴	
移	ji⁴⁵	
易	ji²²	难~
悲	pai⁵¹	
比	pai³²⁴	
秘	pai⁴⁴	~书
屁	pʰai⁴⁴	
备	pai²²	
鼻	pai²²	
眉	bai⁴⁵	
美	bai²¹	
地	tai²²	
尼	lie⁴⁵▲	
梨	lai⁴	
利	lai²²	
资	tsi⁵¹	
次	tsʰi⁴⁴	
瓷	tsʰi⁴⁵	
餈	tsʰai⁴⁵	粽~
餈	tsʰai⁴⁴	hai³²⁴~
自	si⁵¹▲	
私	si⁵¹	
死	sai³²⁴	
四	sai⁴⁴	
致	tsi⁴⁴	
迟	tsʰi⁴⁵	
师	si⁵¹	
脂	tsi⁵¹	
指	tsi³²⁴	
指	tsi⁴手~	
至	tsi⁴⁴	
示	si²²	
尸	si⁵¹	
屎	si³²⁴	
视	si⁴⁴▲	
二	ɡai²²	
饥	kai⁵¹	
器	hai⁴⁴	
夷	ji⁴⁵	
姨	ji⁴⁵	
你	lei²¹	
李	lai²¹姓氏	
李	lai⁴水果	
里	lai²¹	
里	lai⁴~子	
理	lai²¹	
子	tsi³²⁴	
子	tsi⁴二行~	
慈	tsʰi⁴⁵	
字	si⁴▲	
司	si⁵¹	
思	si⁵¹	
辞	tsʰi⁴⁵	
祠	si⁴⁵	
寺	si⁴	
饲	tsʰi⁴⁵▲	
置	tsi⁴⁴	
耻	tsʰi³²⁴	
持	tsʰi⁴⁵	
痔	tsi⁴⁴▲	
治	tsʰi²²	
士	si²²	
柿	si²²	
事	si²²	
使	si³²⁴	
史	si³²⁴	
之	tsi⁵¹	
止	tsi³²⁴	
志	tsi⁴⁴	
痣	tsi⁴⁴	
齿	tsʰi³²⁴字音	
诗	si⁴⁴	
始	tsʰi³²⁴▲	
试	si⁴⁴	
时	si⁴⁵	
市	si⁴	
耳	ɡai²¹	
基	kai⁵¹	
己	kai³²⁴	
记	kai⁴⁴	
欺	kʰai⁵¹	
起	hai³²⁴	
其	kʰai⁴⁵	
棋	kʰai⁴	
旗	kʰai⁴⁵	
疑	ɡai⁴⁵	
喜	hai³²⁴	
医	ji⁵¹	
意	ji⁴⁴	
以	ji³²⁴	
异	ji²²	
机	kai⁵¹	
几	kai³²⁴	~个
气	hai⁴⁴	
汽	hai⁴⁴	
毅	ɡei²²	
希	hai⁵¹	
衣	ji⁵¹	
依	ji⁵¹	
累	løy²²▲	积~
嘴	tsau³²⁴	
随	tsʰau⁴⁵	
吹	tsʰy⁵¹	
炊	tsʰøy⁵¹	
垂	søy⁴⁵	
瑞	søy²²	祥~
规	kʰvei⁵¹▲	
亏	kʰvei⁵¹	
跪	kʰvei²²	
危	vei⁴⁵	
毁	kʰvei³²⁴	
委	vei³²⁴	
为	vei⁴⁵	作~
为	vei⁴⁵▲	~了
类	løy²²	
泪	lau⁴	
醉	tsøy⁴⁴	
虽	sau⁵¹	
隧	søy²²	
追	tsøy⁵¹	
锤	tau⁴名词	
衰	søy⁵¹	
帅	sie⁴⁴▲	
水	sy³²⁴	
龟	kvei⁵¹	
轨	kvei³²⁴	
季	kvei⁴⁴	
葵	kʰvei⁴⁵	
柜	kʰvei⁴	
位	vei²²字音	
位	vei⁴	
唯	vei⁴⁵▲	
遗	vei⁴⁵▲	
非	fei⁵¹	
飞	fei⁵¹	
匪	fei³²⁴	
费	fei⁴⁴	
肥	fei⁴⁵	
微	bai⁴⁵	
尾	bei²¹狗~粟	
尾	bei⁴	
未	bai²²	
味	bai²²	
归	kvei⁵¹	
鬼	kvei³²⁴	
贵	kvei⁴⁴	
魏	ɡei²²	
挥	fei⁵¹	
威	vei⁵¹	
慰	vei²²	
违	vei⁴⁵	
围	vei⁴⁵	
伟	vei³²⁴	
胃	vei²²	
谓	vei²²	
保	po³²⁴	
宝	po³²⁴	
报	po⁴⁴	
袍	po⁴⁵	
抱	pʰo²¹	
暴	po⁴⁴▲	
菢	pei²²▲	孵
毛	bo⁴⁵	
毛	bo⁴松~	
冒	bo²²	
帽	bo⁴	
刀	o⁴	
岛	o³²⁴	
到	o⁴⁴	
倒	o³²⁴▲	~水
讨	tʰo³²⁴	
套	tʰo⁴⁴	
桃	to⁴	
逃	to⁴⁵	
陶	to⁴⁵	
道	to²²	
稻	tʰo⁵¹▲	
导	tʰo⁴⁴▲	
脑	lo²¹	
脑	lo⁴头~壳	
劳	lo⁴⁵	
牢	lo⁴⁵	
老	lo²¹	
老	lo³²⁴	
捞	lo⁴⁵	
糟	tso⁵¹	
早	tso³²⁴	
枣	tso⁴	
灶	tso⁴⁴	
操	tsʰo⁵¹	体~
草	tsʰo³²⁴	
曹	tsʰo⁴⁵	
皂	tsʰo²²	
造	tsʰo²¹	
臊	so⁵¹	~气
扫	so⁴⁴▲	~地
嫂	so³²⁴	
嫂	so⁴大~	
扫	so⁴⁴	~帚
高	ko⁵¹	
糕	ko⁵¹	
稿	ko³²⁴	
告	ko⁴⁴	
考	kʰo³²⁴	
靠	kʰo⁴⁴	
熬	ɡo⁴⁵	
蒿	/	
好	ho³²⁴	~坏
好	ho⁴⁴	喜~
毫	ho⁴⁵	
号	ho²²	~码
袄	o³²⁴	
奥	o⁴⁴	
包	po⁵¹	
包	po⁴一~烟	
饱	po³²⁴	
豹	po⁴⁴	
爆	po⁴⁴	
泡	pʰo⁴⁴▲	
泡	pʰo⁴水~	
炮	pʰo⁴⁴	
跑	pʰo³²⁴▲	
猫	bo⁴⁵	
猫	bo⁴	~牯tso³²⁴
貌	bo²²	
闹	lo²²	
罩	tso⁴⁴	
爪	tso³²⁴	~子
抄	tsʰo⁵¹	
炒	tsʰo³²⁴	
吵	tsʰo⁴⁵▲	
巢	tsʰo⁴⁵	
稍	sau³²⁴▲	
交	ko⁵¹	
胶	ko⁵¹	~布
搅	ko³²⁴	
搞	ko³²⁴	
教	ko⁴⁴	~育
觉	ko⁴⁴	睡~
巧	kʰo³²⁴	
咬	ɡo⁴⁴	
孝	ho⁴⁴	
效	ho²²	
校	ko³²⁴▲	学~
标	pɛi⁵¹	
表	pɛi⁵¹▲	手~
表	pɛi³²⁴	~格
飘	pʰɛi⁵¹	
票	pʰɛi⁴	车~
薸	pɛi⁴	浮萍
苗	bɛi⁴⁵	
秒	bɛi³²⁴	
庙	bɛi²²	
妙	bɛi²²	
疗	lɛi⁴⁵▲	
焦	tsɛi⁵¹	
椒	tsɛi⁴	
噍	tsʰɛi²²	嚼
消	sɛi⁵¹	
小	sɛi³²⁴	
笑	sɛi⁴⁴	
朝	ɛi⁵¹	~lei⁴
朝	ɛi⁴	早~
超	tsʰɛi⁵¹	
朝	tsʰɛi⁴⁵	~代
潮	tsʰɛi⁴⁵	
赵	tsʰɛi²²	
召	tsɛi³²⁴▲	
昭	tsɛi⁵¹	
招	tsɛi⁵¹	
照	tsɛi⁴⁴	
烧	sɛi⁵¹	
少	sɛi³²⁴	多~
少	sɛi⁴⁴	~年
绍	tsɛi³²⁴▲	
饶	jɛi⁴⁵	
骄	kɛi⁵¹	
桥	kʰɛi⁴⁵	
轿	kʰɛi⁴	
嚣	hɛi⁵¹	
妖	jɛi⁵¹	
要	jɛi⁵¹	~求
要	jɛi⁴⁴	重~
摇	jɛi⁴⁵	
窑	jɛi⁴⁵	
舀	jøy³²⁴▲	
耀	jɛi⁴⁴▲	
鹞	jɛi⁴	
刁	ɛi⁵¹	
鸟	ɛi³²⁴	
钓	ɛi⁴⁴	
挑	tʰɛi⁵¹	
跳	tʰɛi⁴⁴	
粜	tʰɛi⁴⁴	卖出
条	tɛi⁴⁵	
条	tɛi⁴雪~	
调	tɛi²²	~动
尿	lɛi²²	
聊	lɛi⁴⁵	
了	lɛi³²⁴▲	~解
料	lɛi²²	
萧	sɛi⁵¹	
缴	kɛi³²⁴	
叫	kɛi⁴⁴	
尧	jɛi⁴⁵	
晓	hɛi³²⁴	
某	bei²¹	
亩	bei²¹	
牡	bei²²▲	
母	bau²¹	
贸	bei²²	
兜	ei⁵¹	
斗	ei³²⁴	
斗	øy⁴跟~▲	
陡	ei³²⁴	
斗	ei⁴⁴	~争
偷	tʰei⁵¹	
敨	tʰei³²⁴	
透	tʰei⁴⁴	
头	tei⁴⁵	
头	tei⁴热~	
豆	tei²²~角	
豆	tei⁴黄~	
逗	tei⁴	
楼	lei⁴⁵	
漏	lei²²	
走	tsei³²⁴	
奏	tsei⁴⁴	
凑	tsʰei⁴⁴	
勾	kei⁵¹	
钩	kei⁵¹动词	
钩	kei⁴名词	
沟	kei⁴	
狗	kei³²⁴	
够	kei⁴⁴	
构	kei⁴⁴	
口	kʰei³²⁴	
扣	kʰei⁴⁴	
藕	ɡyẽ²¹▲	
偶	ɡei³²⁴	配~
侯	hei⁴⁵	
喉	høy⁴⁵▲	
猴	hei⁴	
后	hei²¹~年	
后	hei²²岭~	
厚	hei²¹	
候	hei⁴	
欧	ei⁵¹	
呕	ei³²⁴	
沤	ei⁴⁴	~肥
否	fei³²⁴	
富	fu⁴⁴	
副	fu⁴⁴	
浮	fei⁴⁵	
妇	pʰau²¹新~：儿媳▲	
妇	fu²²~女	
妇	pʰei⁴新~：新娘	
负	fu²²	
谋	bei⁴⁵	
矛	bo⁴⁵	
纽	liu³²⁴	
流	liu⁴⁵	
刘	liu⁴⁵	
留	liu⁴⁵	
柳	liu⁴	
酒	tsiu³²⁴	
秋	tsʰiu⁵¹	
就	tsʰiu²²	
修	siu⁵¹	
秀	siu⁴⁴	
绣	siu⁴⁴	
袖	tsʰiu²²	
昼	jiu⁴	
抽	tsʰiu⁵¹	
丑	tsʰiu³²⁴	
绸	tsʰiu⁴	
宙	tsʰiu²²	
邹	tsei⁵¹	
皱	tsei⁴⁴	
愁	tsʰo⁵¹▲	
愁	siu⁴⁵▲	
搜	sei⁵¹	
馊	sei⁵¹	
瘦	sei⁴⁴	
周	tsiu⁵¹	
州	tsiu⁵¹	
咒	tsiu⁴⁴	
臭	tsʰiu⁴⁴	
收	siu⁵¹	
手	siu³²⁴	
守	siu³²⁴	
兽	tsʰiu⁴⁴▲	
仇	siu⁴⁵	报~
受	siu²²	
寿	siu²²	
售	tsʰiu⁴⁵▲	
柔	jiu⁴⁵	
阄	kiu⁴	掂~
九	kiu³²⁴	
久	kiu³²⁴	
救	kiu⁴⁴	
丘	kʰiu⁵¹	
求	kʰiu⁴⁵	
球	kʰiu⁴⁵	
舅	kʰiu²¹~娘	
舅	kʰiu⁴阿~	
旧	kʰau²²▲	
旧	kʰiu²²	
牛	ɡiu⁴⁵	
休	siu⁵¹▲	
优	jiu⁵¹	
尤	jiu⁴⁵	
邮	jiu⁴⁵	
有	jiu²¹	
友	jiu⁴	
又	jiu²²	
右	jiu²²	
由	jiu⁴⁵	
油	jiu⁴⁵	
酉	jiu⁴	
柚	jiu⁴	
彪	pɛi⁵¹	
谬	bɛi²²	
幼	jiu⁴⁴	
耽	œn⁵¹	
答	ie²¹	
搭	ie²¹	
贪	tʰœn⁵¹	
探	tʰœn⁴⁴	~亲
踏	tʰie⁴⁴▲	
潭	tœn⁴⁵	
南	lœn⁴⁵	
男	lœn⁴⁵	
纳	lie⁴⁴	
参	tsʰœn⁵¹	~加
惨	tsʰœn³²⁴	
蚕	tsʰœn⁴	
杂	tsʰie⁴⁴	
感	kœn³²⁴	
鸽	kɔu⁴	
含	hœn⁴⁵	
合	hu⁴⁴	
庵	/	佛寺
暗	œn⁴⁴	
担	œn⁵¹	~任
胆	œn³²⁴	
担	œn⁴⁴~竿	
担	œn⁴扁~	
毯	tʰœn³²⁴	
塔	tʰie⁴	
塌	tʰie⁴⁴▲	
谈	tʰœn⁴⁵	
痰	tʰœn⁴⁵	
淡	tʰœn²¹	
蓝	lœn⁴⁵	
篮	lœn⁴⁵~球	
篮	lœn⁴竹~	
览	lœn³²⁴	
腊	lie⁴⁴	
蜡	lie⁴⁴	
暂	tsʰœn²²	
三	sœn⁵¹	
甘	kœn⁵¹	
柑	kœn⁴	
敢	kœn³²⁴	
喊	kʰœn⁴⁴▲	
站	tsʰœn²²	车~
赚	tsʰœn²²▲	
斩	tsœn³²⁴	
插	tsʰie²¹	
闸	tsʰie⁴⁴	
杉	sɔu⁵¹▲	
减	kœn³²⁴	
夹	kie²¹	
恰	kʰie²¹	
咸	hœn⁴⁵	
陷	hœn²²	
馅	hœn⁴	
狭	hie⁴⁴	
峡	hie⁴	
衫	sœn⁵¹	
监	kœn⁵¹	~狱
甲	kie⁴	
岩	ɡœn⁴⁵	
癌	ɡœn⁴⁵	
衔	hœn⁴⁵	
舰	lœn³²⁴▲	
鸭	ie⁴	
压	ie²¹	
贬	pœn³²⁴	
聂	lɛi⁴	
廉	lɛn⁴⁵	
镰	lɛn⁴⁵	~ɔu³²⁴
镰	lɛn⁴	禾~
猎	lɛi⁴⁴	
猎	lɛi⁴~人	
尖	tsɛn⁵¹	
接	tsɛi²¹	
签	tsʰɛn⁵¹	
妾	tsʰɛi²¹	
潜	tsʰɛn⁴⁵	
渐	tsʰɛn²²	
捷	tsɛi²¹▲	
沾	tsɛn⁵¹	
占	tsɛn⁴⁴	~领
折	tsɛi²¹	~叠
陕	sɛn³²⁴	
闪	sɛn³²⁴	
摄	sɛi²¹	
涉	sɛi²¹▲	
染	ɡɛn²¹	
检	kaŋ³²⁴▲	
钳	kʰɛn⁴⁵	
验	lɛn²²▲	
险	hɛn³²⁴	
厌	jɛn⁴⁴	
盐	jɛn⁴⁵	
阎	jɛn⁴⁵	
檐	jɛn⁴	
艳	jɛn⁴	
叶	jɛi⁴	
页	jɛi⁴	
剑	kɛn⁴⁴	
劫	kɛi²¹	
欠	kʰɛn⁴⁴	
严	ɡɛn⁴⁵	
业	ɡɛi⁴	
胁	hɛi²¹	
点	ɛn³²⁴	
店	ɛn⁴	
添	tʰɛn⁵¹	
帖	tʰɛi⁴	
贴	tʰɛi²¹	
甜	tʰœn⁴⁵	
叠	tʰɛi⁴	
碟	tʰɛi⁴	
谍	tʰɛi⁴	
拈	lɛn⁵¹▲	~起
念	lɛn²²	
兼	kɛn⁵¹	
谦	hɛn⁵¹	
歉	kʰɛn⁴⁴	
嫌	hɛn⁴⁵	
