#a
p[232]爬[32]罷
h[232]寒韓[55]刊[324]旱[51]看漢[32]岸汗
ʔ[54]安鞍[51]按案
#in
p[232]便[32]辨辯便
pʰ[54]篇偏編[51]徧遍騙片
ɓ[54]辮鞭邊[55]匾貶扁[51]變
m[232]綿棉眠[324]免勉[32]面
t[54]煎箋[232]田填[55]剪[51]薦箭[32]電殿佃
tʰ[54]千天[324]淺
ɗ[54]顛[55]典
n[232]年
l[54]憐{可}[232]蓮連憐[55]輦攆[32]練煉鍊
ɬ[54]仙鮮先[232]錢前[55]癬[51]線[32]賤
tʃ[54]氈[232]纏[55]碾展[51]戰
ȵ[54]煙[232]言燃然{文}
ʃ[51]扇羶搧[32]善
k[54]肩堅[232]乾虔[51]建見[32]件健腱
h[54]掀
j[54]牽研[232]賢[55]顯[324]延演[51]燕嚥晏憲獻[32]硯現
#iɛn
ɓ[55]扁{白}
#un
p[232]盤盆[324]拌胖伴
pʰ[54]潘[51]判
ɓ[54]般搬[55]本[51]半
m[54]瞞[232]門[324]滿[32]悶
f[55]款
ʋ[54]歡寬[55]豌碗[324]玩緩援[32]喚煥換
t[54]尊[232]團[324]斷{絕}[51]鑽[32]鍛段緞
tʰ[54]村[51]寸
ɗ[54]端[55]短[51]斷{判}
n[324]暖[32]嫩
l[232]聯[324]卵[51]戀[32]亂
ɬ[54]酸孫宣[232]栓存全泉[55]選損[51]算蒜[32]旋
tʃ[54]專磚[232]傳[55]轉[51]轉
tʃʰ[54]穿川皴[55]喘[51]釧串
ȵ[232]元原源[324]軟[32]願
ʃ[232]船
k[54]官捐觀冠[232]拳權顴[55]管館卷捲[51]貫灌罐觀絹眷[32]倦
kʰ[54]圈
j[54]冤[232]員丸篆椽緣圓玄園鉛袁園轅[55]犬[324]遠[51]勸楦怨[32]縣懸
ʔ[232]懸
#ɐŋ
p[232]憑朋彭膨棚
pʰ[54]烹
ɓ[54]崩
m[232]盟[324]猛孟
ʋ[232]橫
t[54]增曾[232]騰滕藤疼[32]鄧
ɗ[54]登燈[55]等[51]凳
n[232]能
l[232]楞
ɬ[54]僧[232]曾層[32]贈
tʃ[232]橙瞪
tʃʰ[54]撐
k[54]更{~改，打~}羹[51]更
ŋ[32]硬
h[54]坑[232]衡恒[55]肯啃[32]杏
kʰʋ[54]轟
#oŋ
p[232]篷
pʰ[51]碰
ɓ[55]捧棒
m[232]蒙[32]夢
f[54]豐風瘋封峯鋒蜂[232]馮逢縫蓬[55]諷[32]奉風俸
t[54]椶鬃宗蹤[232]銅童桐瞳筒同[55]總[324]動[51]粽縱[32]洞
tʰ[54]通聰悤蔥囪[55]桶捅[51]痛
ɗ[54]東冬[55]董懂[51]凍
n[232]農膿
l[232]籠聾隆龍[55]攏隴壠
ɬ[54]叢鬆[232]從松[51]送宋[32]誦頌訟
tʃ[54]終中忠鐘鍾盅舂[232]蟲重崇[55]種腫[324]重[51]中眾種[32]仲
tʃʰ[54]充沖衝[55]統寵
ȵ[232]濃
k[54]公工功攻弓躬宮恭供[232]竆[55]拱鞏[51]貢槓[32]共
kʰ[51]控烘
h[54]胸空兇{~恶}空[232]紅雄弘宏洪洪鴻虹[55]孔恐
j[54]翁凶{吉~}[232]熊绒戎茸融容鎔蓉[55]擁勇[32]用
ʔ[51]甕
#ɪŋ
p[232]平評坪瓶屏萍[324]並[32]病
pʰ[51]拼聘
ɓ[54]兵冰[55]餅丙秉併
m[232]明鳴名銘[32]命
ʋ[232]榮營螢[324]永
t[54]精晶旌睛[232]亭停廷庭[55]井[324]挺艇[32]定
tʰ[54]廳清青[55]請[51]聽
ɗ[54]丁釘[55]頂鼎[51]訂
n[232]寧
l[232]靈拎陵凌鈴伶零[324]冷領嶺[32]令另
ɬ[54]星腥[232]情晴[55]醒省[324]靜[51]性姓[32]淨
tʃ[54]爭蒸貞偵箏睜征正{~月}[232]程呈[55]整[51]證癥政正[32]鄭
tʃʰ[54]稱{~心，~呼}[51]秤稱{相~}
ȵ[232]迎凝仍
ʃ[54]生聲升牲甥[232]繩乘城成誠丞承蠅[55]省[51]勝聖[32]盛{興~，~滿}剩
k[54]經庚京荊驚耕[232]瓊[55]景警頸境[51]敬鏡[32]竟競勁
kʰ[54]傾[55]頃
ŋ[232]盈
h[54]輕興兄[232]行[51]興慶[32]幸
j[54]鷹應鸚櫻英嬰纓[232]盈贏螢形型刑[55]影[51]應
#iaŋ
t[54]將漿[55]蔣獎[51]醬將
tʰ[54]槍[55]搶[51]嗆
n[232]娘
l[232]良涼量糧梁粱[55]兩{斤}輛[324]兩倆[51]亮{光~}[32]亮{月~}諒量
ɬ[54]相箱廂湘鑲[232]墻詳翔[55]想[324]像[51]相[32]匠象橡
tʃ[54]張章樟[232]長腸場常[55]長掌[324]杖丈{兩讀}[51]漲仗帳賬脹障[32]丈杖
tʃʰ[54]昌倡[324]暢[51]唱
ȵ[232]壤攘嚷[324]仰[32]讓
ʃ[54]商傷[232]常嘗償[55]賞[324]上[32]上
k[54]疆僵[232]強
h[54]香鄉[55]享響餉[51]向
j[54]央秧殃[232]羊洋楊陽揚[324]養癢[32]樣恙
#œŋ
p[232]旁
ɓ[54]幫邦[55]榜綁
m[232]忘亡忙[324]網[32]望
f[54]芳方[232]房防妨[55]訪紡彷仿倣[51]放
ʋ[54]荒慌謊汪[232]王黃皇蝗[55]汪枉[324]往[32]旺
t[54]臧贓髒[232]堂唐糖塘搪[51]葬
tʰ[54]蒼嗆{噎}湯倉[55]倘躺[51]燙趟{熨}
ɗ[54]當[55]擋黨[51]當
n[232]囊瓤
l[232]郎廊狼[32]浪
ɬ[54]喪嗓桑[232]藏[51]喪[32]藏臟
tʃ[54]樁莊裝[51]壯[32]撞狀
tʃʰ[54]窗瘡[55]廠創闖
ʃ[54]雙霜[232]牀[55]爽
k[54]岡剛鋼缸肛江光[232]狂逛[55]廣港講[51]鋼槓降
kʰ[54]筐扛腔
ŋ[232]昂
h[54]慷康糠[232]行航杭[324]項[51]炕[32]巷
ʔ[54]骯
#ŋ
[232]吳梧吾[324]伍午五[32]誤悟唔
#at
pʰ[51]拍
ɓ[51]八
m[32]襪
f[51]發法髮[32]罰乏
ʋ[51]挖滑
tʃ[51]窄察紮札扎[32]閘鍘
tʃʰ[51]察擦刷涮
ʃ[51]殺
h[51]客
ʔ[51]押
#ap
t[51]恰[32]踏
tʰ[51]塌塔
ɗ[51]答搭
n[32]納
l[32]臘
ɬ[32]雜
tʃʰ[51]插
ȵ[51]澀{不滑}
k[51]裌甲夾[32]及
h[32]夾
ʔ[51]鴨
#ɐp
n[5]粒
l[32]立
tʃ[5]拾執汁
ȵ[32]入
ʃ[5]濕
k[5]急[51]鴿
kʰ[5]給級吸
#ip
t[51]接[32]疊蝶諜碟
tʰ[51]貼帖
n[32]捏
l[32]獵
ȵ[32]業
ʃ[51]協涉
k[51]澀
h[51]怯
j[51]醃[32]葉
#iɛp
n[51]□
#ap
t[32]達
kʋ[51]刷{印~}刮
ʔ[51]壓歹{好~}
#ɐt
pʰ[5]匹
ɓ[5]不畢筆
m[32]密蜜物勿
f[5]恤[32]佛
ʋ[5]忽屈[32]核
t[5]卒[32]突
tʰ[5]七漆
l[32]律栗
ɬ[5]摔率[32]疾
tʃ[5]質[32]姪
tʃʰ[5]出
ȵ[32]日
ʃ[5]蝨室瑟失[32]實術述
k[5]吉
h[5]喫[32]核轄瞎
kʋ[5]骨橘[32]掘
#ɔt
k[51]割
h[51]渴
#it
p[32]別
pʰ[51]撇
ɓ[51]必鼈
m[32]滅
t[51]節
tʰ[51]鐵切
ɗ[51]跌
l[51]列烈裂
ɬ[51]泄薛[32]截
tʃ[51]哲折浙
tʃʰ[51]徹撤設
ȵ[32]熱
ʃ[32]舌
k[51]潔結[32]傑
kʰ[51]歇
j[51]噎
#ut
pʰ[32]潑
ɓ[32]撥
m[51]沫抹[32]末沒
f[51]雪
ʋ[51]闊[32]活
t[32]奪
tʰ[32]脫
l[32]劣
ɬ[51]雪[32]絕
tʃ[32]拙
ȵ[32]月
ʃ[51]說
kʰ[51]決抉
j[51]乙[32]悅閱越
#ak
pʰ[51]拍
t[5]則
ɗ[5]摘
tʃ[51]窄
k[51]隔{(kɪk²)}
h[51]客
#ɐk
ɓ[5]北
m[32]墨默
ʋ[32]獲劃或
t[32]特
ɗ[5]得德
l[32]肋勒
ɬ[5]塞[32]賊
tʃ[5]側
tʃʰ[5]測
h[5]克嚇刻黑
ʔ[5]握
#œk
p[32]薄
pʰ[51]撲
ɓ[51]博駁
m[51]剝幕[32]莫
t[51]作
tʰ[51]託托錯
n[32]虐瘧
l[51]烙酪洛駱絡[32]樂落
ɬ[51]索[32]鑿昨
tʃ[51]桌捉[32]濁
tʃʰ[51]戳
k[51]角覺閣各郭國
kʰ[51]確
ŋ[32]岳樂
h[51]殼[32]學
ʔ[51]惡
#ok
p[32]僕
m[32]牧目木
f[5]復腹複福[32]服伏
t[5]足[32]獨讀毒
tʰ[5]速透
l[32]六綠祿陸鹿
ɬ[5]宿粟[32]牘續族俗
tʃ[5]粥濁觸祝囑竹鐲[32]軸
tʃʰ[5]畜蓄築
ȵ[32]肉玉獄褥
ʃ[5]叔縮[32]熟屬贖
k[5]菊谷榖[32]局
kʰ[5]曲麯
h[5]哭
j[32]育辱褥欲
ʔ[5]屋
#ek
p[32]白
pʰ[5]劈
ɓ[5]柏逼璧壁迫伯百
m[32]脈麥覓
ʋ[32]疫役域
t[5]脊即迹蹟績積[32]敵狄笛
tʰ[5]剔刺踢
ɗ[5]的滴摘{文}
l[32]歷曆力
ɬ[5]錫析息熄惜[32]籍席
tʃ[5]職隻責織[32]擇宅值植摘直
tʃʰ[5]拆赤策冊尺
ȵ[32]逆額
ʃ[5]識式適釋嗇色[32]食蝕石
k[5]革隔激擊格[32]極
kʰ[5]劇
j[5]億益[32]亦譯易
#iɛk
t[51]嚼鵲
l[32]略
ɬ[51]削嚼鵲
tʃ[51]著{~重}[32]著{睡~}
tʃʰ[51]鵲{喜~}
ȵ[32]弱若鑰
ʃ[32]勺
k[51]腳
kʰ[32]卻
j[51]約[32]樂
